Borough,Cohort Year,Cohort Category,Demographic,Total Cohort Num,Total Grads Num,Total Grads Pct of cohort,Total Regents Num,Total Regents Pct of cohort,Total Regents Pct of grads,Advanced Regents Num,Advanced Regents Pct of cohort,Advanced Regents Pct of grads,Regents w/o Advanced Num,Regents w/o Advanced Pct of cohort,Regents w/o Advanced Pct of grads,Local Num,Local Pct of cohort,Local Pct of grads,Still Enrolled Num,Still Enrolled Pct of cohort,Dropped Out Num,Dropped Out Pct of cohort
Brooklyn,2006,4 Year August,Female,"10,790","7,484",69.40%,"5,825",54.00%,77.80%,"2,064",19.10%,27.60%,"3,761",34.90%,50.30%,"1,659",15.40%,22.20%,"1,877",17.40%,"1,155",10.70%
Brooklyn,2006,5 Year  June,Female,"10,847","8,025",74.00%,"6,046",55.70%,75.30%,"2,074",19.10%,25.80%,"3,972",36.60%,49.50%,"1,979",18.20%,24.70%,715,6.60%,"1,749",16.10%
Brooklyn,2006,5 Year August,Female,"10,847","8,131",75.00%,"6,073",56.00%,74.70%,"2,074",19.10%,25.50%,"3,999",36.90%,49.20%,"2,058",19.00%,25.30%,623,5.70%,"1,732",16.00%
Brooklyn,2007,4 Year  June,Female,"10,803","7,030",65.10%,"6,156",57.00%,87.60%,"1,868",17.30%,26.60%,"4,288",39.70%,61.00%,874,8.10%,12.40%,"2,379",22.00%,"1,178",10.90%
Brooklyn,2007,4 Year August,Female,"10,803","7,497",69.40%,"6,427",59.50%,85.70%,"1,885",17.40%,25.10%,"4,542",42.00%,60.60%,"1,070",9.90%,14.30%,"1,929",17.90%,"1,165",10.80%
Brooklyn,2001,4 Year  June,Male,"10,112","4,220",41.70%,"2,722",26.90%,64.50%,"1,261",12.50%,29.90%,"1,461",14.40%,34.60%,"1,505",14.90%,35.70%,"3,445",34.10%,"2,101",20.80%
Brooklyn,2001,5 Year,Male,"10,112","5,260",52.00%,"2,999",29.70%,57.00%,"1,307",12.90%,24.80%,"1,692",16.70%,32.20%,"2,272",22.50%,43.20%,"1,243",12.30%,"3,093",30.60%
Brooklyn,2001,6 Year,Male,"10,112","5,568",55.10%,"3,072",30.40%,55.20%,"1,317",13.00%,23.70%,"1,755",17.40%,31.50%,"2,519",24.90%,45.20%,550,5.40%,"3,426",33.90%
Brooklyn,2002,4 Year  June,Male,"10,555","4,614",43.70%,"3,189",30.20%,69.10%,"1,331",12.60%,28.80%,"1,858",17.60%,40.30%,"1,431",13.60%,31.00%,"3,541",33.50%,"1,981",18.80%
Brooklyn,2002,5 Year,Male,"10,555","5,686",53.90%,"3,538",33.50%,62.20%,"1,388",13.20%,24.40%,"2,150",20.40%,37.80%,"2,188",20.70%,38.50%,"1,555",14.70%,"2,727",25.80%
Brooklyn,2002,6 Year,Male,"10,555","6,088",57.70%,"3,624",34.30%,59.50%,"1,392",13.20%,22.90%,"2,232",21.10%,36.70%,"2,504",23.70%,41.10%,706,6.70%,"3,112",29.50%
Brooklyn,2003,4 Year  June,Male,"10,853","4,917",45.30%,"3,409",31.40%,69.30%,"1,412",13.00%,28.70%,"1,997",18.40%,40.60%,"1,508",13.90%,30.70%,"3,763",34.70%,"1,881",17.30%
Brooklyn,2003,5 Year,Male,"10,853","6,092",56.10%,"3,867",35.60%,63.50%,"1,467",13.50%,24.10%,"2,400",22.10%,39.40%,"2,225",20.50%,36.50%,"1,468",13.50%,"2,746",25.30%
Brooklyn,2003,6 Year,Male,"10,869","6,459",59.40%,"3,973",36.60%,61.50%,"1,469",13.50%,22.70%,"2,504",23.00%,38.80%,"2,486",22.90%,38.50%,698,6.40%,"3,041",28.00%
Brooklyn,2004,4 Year  June,Male,"11,435","5,493",48.00%,"3,967",34.70%,72.20%,"1,697",14.80%,30.90%,"2,270",19.90%,41.30%,"1,526",13.30%,27.80%,"3,756",32.80%,"1,796",15.70%
Brooklyn,2004,5 Year,Male,"11,467","6,664",58.10%,"4,379",38.20%,65.70%,"1,727",15.10%,25.90%,"2,652",23.10%,39.80%,"2,285",19.90%,34.30%,"1,498",13.10%,"2,483",21.70%
Brooklyn,2004,6 Year,Male,"11,448","7,142",62.40%,"4,514",39.40%,63.20%,"1,728",15.10%,24.20%,"2,786",24.30%,39.00%,"2,628",23.00%,36.80%,788,6.90%,"2,833",24.70%
Brooklyn,2005,4 Year  June,Male,"11,389","5,736",50.40%,"4,339",38.10%,75.60%,"1,679",14.70%,29.30%,"2,660",23.40%,46.40%,"1,397",12.30%,24.40%,"3,641",32.00%,"1,546",13.60%
Brooklyn,2005,4 Year August,Male,"11,389","6,232",54.70%,"4,586",40.30%,73.60%,"1,718",15.10%,27.60%,"2,868",25.20%,46.00%,"1,646",14.50%,26.40%,"3,145",27.60%,"1,546",13.60%
Brooklyn,2005,5 Year,Male,"11,414","6,996",61.30%,"4,899",42.90%,70.00%,"1,754",15.40%,25.10%,"3,145",27.60%,45.00%,"2,097",18.40%,30.00%,"1,212",10.60%,"2,464",21.60%
Brooklyn,2005,6 Year,Male,"11,379","7,400",65.00%,"5,031",44.20%,68.00%,"1,755",15.40%,23.70%,"3,276",28.80%,44.30%,"2,369",20.80%,32.00%,599,5.30%,"2,642",23.20%
Brooklyn,2006,4 Year  June,Male,"11,387","6,006",52.70%,"4,822",42.30%,80.30%,"1,669",14.70%,27.80%,"3,153",27.70%,52.50%,"1,184",10.40%,19.70%,"3,317",29.10%,"1,568",13.80%
Brooklyn,2006,4 Year August,Male,"11,387","6,559",57.60%,"5,120",45.00%,78.10%,"1,699",14.90%,25.90%,"3,421",30.00%,52.20%,"1,439",12.60%,21.90%,"2,771",24.30%,"1,561",13.70%
Brooklyn,2006,5 Year  June,Male,"11,492","7,248",63.10%,"5,410",47.10%,74.60%,"1,714",14.90%,23.60%,"3,696",32.20%,51.00%,"1,838",16.00%,25.40%,"1,185",10.30%,"2,401",20.90%
Brooklyn,2006,5 Year August,Male,"11,492","7,387",64.30%,"5,453",47.50%,73.80%,"1,714",14.90%,23.20%,"3,739",32.50%,50.60%,"1,934",16.80%,26.20%,"1,071",9.30%,"2,370",20.60%
Brooklyn,2007,4 Year  June,Male,"11,792","6,415",54.40%,"5,528",46.90%,86.20%,"1,671",14.20%,26.00%,"3,857",32.70%,60.10%,887,7.50%,13.80%,"3,290",27.90%,"1,667",14.10%
Brooklyn,2007,4 Year August,Male,"11,792","7,011",59.50%,"5,890",49.90%,84.00%,"1,698",14.40%,24.20%,"4,192",35.50%,59.80%,"1,121",9.50%,16.00%,"2,724",23.10%,"1,643",13.90%
Manhattan,2001,4 Year  June,Female,"6,720","4,434",66.00%,"2,995",44.60%,67.50%,"1,040",15.50%,23.50%,"1,955",29.10%,44.10%,"1,440",21.40%,32.50%,"1,286",19.10%,831,12.40%
Manhattan,2001,5 Year,Female,"6,720","4,954",73.70%,"3,155",46.90%,63.70%,"1,057",15.70%,21.30%,"2,098",31.20%,42.30%,"1,806",26.90%,36.50%,376,5.60%,"1,171",17.40%
Manhattan,2001,6 Year,Female,"6,720","5,050",75.10%,"3,172",47.20%,62.80%,"1,059",15.80%,21.00%,"2,113",31.40%,41.80%,"1,893",28.20%,37.50%,158,2.40%,"1,277",19.00%
Manhattan,2002,4 Year  June,Female,"7,277","4,652",63.90%,"3,265",44.90%,70.20%,990,13.60%,21.30%,"2,275",31.30%,48.90%,"1,394",19.20%,30.00%,"1,645",22.60%,806,11.10%
Manhattan,2002,5 Year,Female,"7,277","5,137",70.60%,"3,432",47.20%,66.80%,"1,012",13.90%,19.70%,"2,420",33.30%,47.10%,"1,742",23.90%,33.90%,815,11.20%,"1,099",15.10%
Manhattan,2002,6 Year,Female,"7,277","5,387",74.00%,"3,476",47.80%,64.50%,"1,016",14.00%,18.90%,"2,460",33.80%,45.70%,"1,948",26.80%,36.20%,369,5.10%,"1,272",17.50%
Manhattan,2003,4 Year  June,Female,"7,465","4,619",61.90%,"3,318",44.40%,71.80%,"1,507",20.20%,32.60%,"1,811",24.30%,39.20%,"1,301",17.40%,28.20%,"1,958",26.20%,761,10.20%
Manhattan,2003,5 Year,Female,"7,465","5,352",71.70%,"3,544",47.50%,66.20%,"1,527",20.50%,28.50%,"2,017",27.00%,37.70%,"1,808",24.20%,33.80%,720,9.60%,"1,199",16.10%
Manhattan,2003,6 Year,Female,"7,476","5,588",74.70%,"3,605",48.20%,64.50%,"1,529",20.50%,27.40%,"2,076",27.80%,37.20%,"1,983",26.50%,35.50%,303,4.10%,"1,343",18.00%
Manhattan,2004,4 Year  June,Female,"8,070","5,178",64.20%,"3,743",46.40%,72.30%,"1,601",19.80%,30.90%,"2,142",26.50%,41.40%,"1,435",17.80%,27.70%,"2,001",24.80%,803,10.00%
Manhattan,2004,5 Year,Female,"8,148","6,037",74.10%,"4,112",50.50%,68.10%,"1,641",20.10%,27.20%,"2,471",30.30%,40.90%,"1,925",23.60%,31.90%,654,8.00%,"1,172",14.40%
Manhattan,2004,6 Year,Female,"8,163","6,275",76.90%,"4,182",51.20%,66.60%,"1,640",20.10%,26.10%,"2,542",31.10%,40.50%,"2,093",25.60%,33.40%,299,3.70%,"1,296",15.90%
Manhattan,2005,4 Year  June,Female,"8,566","5,784",67.50%,"4,525",52.80%,78.20%,"1,546",18.00%,26.70%,"2,979",34.80%,51.50%,"1,259",14.70%,21.80%,"1,819",21.20%,722,8.40%
Manhattan,2005,4 Year August,Female,"8,566","6,081",71.00%,"4,633",54.10%,76.20%,"1,558",18.20%,25.60%,"3,075",35.90%,50.60%,"1,448",16.90%,23.80%,"1,522",17.80%,722,8.40%
Manhattan,2005,5 Year,Female,"8,673","6,561",75.60%,"4,857",56.00%,74.00%,"1,575",18.20%,24.00%,"3,282",37.80%,50.00%,"1,704",19.60%,26.00%,562,6.50%,"1,218",14.00%
Manhattan,2005,6 Year,Female,"8,662","6,780",78.30%,"4,934",57.00%,72.80%,"1,576",18.20%,23.20%,"3,358",38.80%,49.50%,"1,846",21.30%,27.20%,251,2.90%,"1,286",14.80%
Manhattan,2006,4 Year  June,Female,"8,907","6,214",69.80%,"5,205",58.40%,83.80%,"1,593",17.90%,25.60%,"3,612",40.60%,58.10%,"1,009",11.30%,16.20%,"1,708",19.20%,753,8.50%
Manhattan,2006,4 Year August,Female,"8,907","6,479",72.70%,"5,328",59.80%,82.20%,"1,596",17.90%,24.60%,"3,732",41.90%,57.60%,"1,151",12.90%,17.80%,"1,449",16.30%,747,8.40%
Manhattan,2006,5 Year  June,Female,"8,905","6,930",77.80%,"5,571",62.60%,80.40%,"1,606",18.00%,23.20%,"3,965",44.50%,57.20%,"1,359",15.30%,19.60%,502,5.60%,"1,177",13.20%
Manhattan,2006,5 Year August,Female,"8,905","6,993",78.50%,"5,603",62.90%,80.10%,"1,606",18.00%,23.00%,"3,997",44.90%,57.20%,"1,390",15.60%,19.90%,454,5.10%,"1,159",13.00%
Manhattan,2007,4 Year  June,Female,"8,586","5,866",68.30%,"5,292",61.60%,90.20%,"1,697",19.80%,28.90%,"3,595",41.90%,61.30%,574,6.70%,9.80%,"1,713",20.00%,812,9.50%
Manhattan,2007,4 Year August,Female,"8,586","6,255",72.90%,"5,526",64.40%,88.30%,"1,710",19.90%,27.30%,"3,816",44.40%,61.00%,729,8.50%,11.70%,"1,341",15.60%,799,9.30%
Manhattan,2001,4 Year  June,Male,"5,950","3,046",51.20%,"1,968",33.10%,64.60%,811,13.60%,26.60%,"1,157",19.40%,38.00%,"1,079",18.10%,35.40%,"1,543",25.90%,"1,131",19.00%
Manhattan,2001,5 Year,Male,"5,950","3,583",60.20%,"2,154",36.20%,60.10%,828,13.90%,23.10%,"1,326",22.30%,37.00%,"1,436",24.10%,40.10%,541,9.10%,"1,497",25.20%
Manhattan,2001,6 Year,Male,"5,950","3,718",62.50%,"2,182",36.70%,58.70%,830,13.90%,22.30%,"1,352",22.70%,36.40%,"1,553",26.10%,41.80%,215,3.60%,"1,659",27.90%
Manhattan,2002,4 Year  June,Male,"6,186","3,094",50.00%,"2,232",36.10%,72.10%,882,14.30%,28.50%,"1,350",21.80%,43.60%,865,14.00%,28.00%,"1,916",31.00%,937,15.10%
Manhattan,2002,5 Year,Male,"6,186","3,628",58.60%,"2,442",39.50%,67.30%,928,15.00%,25.60%,"1,514",24.50%,41.70%,"1,219",19.70%,33.60%,918,14.80%,"1,311",21.20%
Manhattan,2002,6 Year,Male,"6,186","3,898",63.00%,"2,510",40.60%,64.40%,932,15.10%,23.90%,"1,578",25.50%,40.50%,"1,421",23.00%,36.50%,441,7.10%,"1,495",24.20%
Manhattan,2003,4 Year  June,Male,"6,414","2,994",46.70%,"2,181",34.00%,72.80%,"1,020",15.90%,34.10%,"1,161",18.10%,38.80%,813,12.70%,27.20%,"2,282",35.60%,968,15.10%
Manhattan,2003,5 Year,Male,"6,414","3,811",59.40%,"2,450",38.20%,64.30%,"1,052",16.40%,27.60%,"1,398",21.80%,36.70%,"1,361",21.20%,35.70%,886,13.80%,"1,440",22.50%
Manhattan,2003,6 Year,Male,"6,426","4,116",64.10%,"2,551",39.70%,62.00%,"1,054",16.40%,25.60%,"1,497",23.30%,36.40%,"1,565",24.40%,38.00%,358,5.60%,"1,603",24.90%
Manhattan,2004,4 Year  June,Male,"7,057","3,602",51.00%,"2,706",38.30%,75.10%,"1,210",17.10%,33.60%,"1,496",21.20%,41.50%,896,12.70%,24.90%,"2,242",31.80%,"1,039",14.70%
Manhattan,2004,5 Year,Male,"7,174","4,439",61.90%,"3,062",42.70%,69.00%,"1,244",17.30%,28.00%,"1,818",25.30%,41.00%,"1,377",19.20%,31.00%,868,12.10%,"1,418",19.80%
Manhattan,2004,6 Year,Male,"7,176","4,723",65.80%,"3,158",44.00%,66.90%,"1,246",17.40%,26.40%,"1,912",26.60%,40.50%,"1,565",21.80%,33.10%,390,5.40%,"1,585",22.10%
Manhattan,2005,4 Year  June,Male,"7,277","4,032",55.40%,"3,098",42.60%,76.80%,"1,127",15.50%,28.00%,"1,971",27.10%,48.90%,933,12.80%,23.10%,"2,055",28.20%,875,12.00%
Manhattan,2005,4 Year August,Male,"7,277","4,292",59.00%,"3,235",44.50%,75.40%,"1,147",15.80%,26.70%,"2,088",28.70%,48.60%,"1,056",14.50%,24.60%,"1,796",24.70%,875,12.00%
