category,c_name,sd_disqual_from,sd_disqual_to
Suspended,LEHR Construction Corp.,3/27/2012,
Disqualified,Liberty Contracting Corp.,7/19/2012,3/10/2017
Suspended,liberty water and sewer llc,4/18/2011,
Suspended,LIGHTNING DEMOLITION & WASTE REMOVL,2/26/1996,
Suspended,LONG ISLAND PAINTING,7/22/2009,
Suspended,M & M MECHANICAL CORP.,5/5/1999,
Suspended,M. Lopez Contracting Corp.,7/31/2012,
Disqualified,"M.A. ANGELIADES, INC.",2/17/2011,7/28/2015
Suspended,M.E.H. CONSTRUCTION INC.,6/8/2010,
Suspended,Macedos Construction LLC,1/18/2013,
Suspended,MANSHUL CONSTRUCTION CORP.,5/27/1994,
Disqualified,MARI ELECTRIC CONTRACTORS INC.,5/10/2011,4/30/2016
Suspended,"MARMER BROTHERS CONSTRUCTION, LLC",10/6/2000,
Suspended,"MARTECH WINDOW SYSTEMS, INC.",10/18/2000,
Suspended,"MAT BUILDERS, INC.",1/25/2005,
Suspended,"MCALLISTER & JOHNSON, INC.",9/20/1995,
Disqualified,MDA Contracting Inc.,6/18/2012,2/4/2017
Suspended,MELWOOD CONSTRUCTION CORP.,9/12/1995,
Disqualified,Merit Constructors Inc.,5/25/2012,4/12/2017
Suspended,METROPOLITAN BRIDGE & SCAFFOLD CORP.,10/15/2010,
Suspended,METROTEK CONSTRUCTION GROUP INC,4/18/2011,
Suspended,MIETEK MASON CONTRACTORS INC,10/6/2000,
Disqualified,MILVEEN ENVIRONMENTAL SERVICES INC,1/27/2009,9/28/2013
Suspended,"MODULAR FIRE PROTECTION, INC.",12/31/2001,
Suspended,MONARCH CONSTRUCTION CORP.,5/22/1999,
Suspended,MONARCH CONSTRUCTION CORPORATION,8/25/2000,
Suspended,Mr. Rooter Plumbing,5/14/2012,
Suspended,MRI DISMANTLERS INC.,12/20/2006,
Suspended,"N B CONSTRUCTION USA, INC.",4/1/2009,
Suspended,"NAB MANAGEMENT ASSOCIATES, INC.",3/9/1999,
Suspended,NATIONAL TELEVIEW PROTECTIVE SYSTEM,12/31/1994,
Suspended,NATIONAL WINDOWS INC.(NEW JERSEY),12/31/1994,
Suspended,ND WATERPROOFING & ROOFING,4/16/2008,
Suspended,NEW JERSEY OFFICE SUPPLY,8/7/1995,
Suspended,NEW WALL INTERIORS,5/8/2000,
Disqualified,"NEW YORK INSULATION, INC",6/27/2012,5/16/2017
Suspended,NEW YORK MODULAR HOUSING CORP.,12/31/1994,
Suspended,"NEXUS MECHANICAL, INC.",3/8/2010,
Suspended,"NORTH BERRY STRUCTURES, INC.",10/6/2000,
Suspended,NORTHEAST SECURITY GUARD SVCS INC,10/30/2009,
Suspended,NORTHEAST SECURITY SERVICES,10/30/2009,
Disqualified,NORTHERN CONSTRUCTION OF N.Y.,6/18/2008,4/25/2013
Disqualified,NORTOM CONSTRUCTION CORP.,8/20/2009,5/9/2014
Disqualified,"NOTIAS CONSTRUCTION, INC.",3/20/2009,2/1/2014
Suspended,ONE TEN CONTRACTING INC,12/16/2008,
Suspended,"Onekey,LLC",4/27/2010,
Suspended,ORTEGA GROUP LLC,12/11/2012,
Disqualified,"P & K CONTRACTING, INC.",3/8/2010,4/30/2013
Suspended,P & T EXCAVATION CORPORATION,9/11/1995,
Disqualified,"P.J. DEMPSEY & Co Electrical Contractors, Inc",11/22/2010,10/31/2013
Suspended,"PARAMOUNT ENTERPRISES OF NY, INC.",6/25/2008,
Disqualified,PETRILLO SETTING CORP.,2/11/2011,11/6/2015
Disqualified,PETRILLO STONE CORPORATION,2/18/2011,11/6/2015
Suspended,PLATO CONSTRUCTION CORP.,12/15/1997,
Suspended,PNP BUILDERS INC.,2/9/2011,
Suspended,"POPULAR CONTRACTING, INC.",9/13/2002,
Disqualified,PORT MORRIS TILE & MARBLE CORP.,7/18/2011,2/11/2016
Suspended,"POWERHOUSE CONSTRUCTION, INC.",6/10/2002,
Suspended,PRECISION ABATEMENT CORPORATION,9/11/1995,
Suspended,PRINCETON RESTORATION CORP.,3/22/2002,
Suspended,PROSTAR CONTRACTING CORP.,12/28/2007,
Suspended,RB CONSTRUCTION MANAGEMENT CORP.,9/14/2005,
Suspended,"REGIONAL SCAFFLD'G & HOIST'G CO., I",1/26/2009,
Suspended,REM CONTRACTING CORP.,3/7/1995,
Suspended,Remy Builders Corp.,3/29/2010,
Suspended,RESPLANDECER INC,10/28/2009,
Suspended,ROYAL PRINTING & DESIGN,7/26/2002,
Suspended,S & G CONSTRUCTION COMPANY,1/5/2001,
Disqualified,"S & P CONSTRUCTION MANAGEMENT, INC.",11/6/2009,3/10/2014
Suspended,"S.A.L. ELECTRIC CO., INC.",12/20/2005,
Suspended,S.O.S. PLUMBING & HEATING LTD.,3/14/2003,
Suspended,S.R.D. CONTRACTING CORP,3/12/2008,
Suspended,"SACCO CONSTRUCTION CO., INC.",4/24/1996,
Suspended,SALAMAT ULLAH CONTRACTING,11/21/2000,
Disqualified,"SAMAR PAINTING & DECORATING, INC.",2/9/2010,12/1/2013
Suspended,SMAC Corp,3/29/2010,
Suspended,"SPECIALTY SERVICE CONTRACT'G, INC.",3/24/2004,
Disqualified,STONEWALL CONTRACTING CORPORATIO,4/13/2011,4/12/2016
Suspended,SUP-TECH CONSTRUCTION CORP.,1/21/2003,
Suspended,"SUPER CHEEMA GENERAL CONST., INC.",10/27/1999,
Suspended,SURTON CONSTRUCTION CONTRACTING CORP.,4/16/2008,
Disqualified,SYNERGY DESIGN & CONSTRUCTION INC.,10/26/2010,5/15/2015
Suspended,"TAKBEER ENTERPRISES, INC.",4/22/2009,
Suspended,TAORMINA CONTRACTING CORP.,12/15/1997,
Suspended,"TARRA CONSTRUCTION OF NY, INC.",9/11/2003,
Disqualified,"TESTWELL, INC.",6/10/2010,12/31/2020
Suspended,TEXAS SECURITY CORP.,5/26/2005,
Disqualified,"THE HILLIER GROUP ARCHITECTURE, NEW YORK PC",4/9/2012,4/5/2017
Disqualified,"Ticket Busters, Inc.",3/15/2011,10/6/2015
Disqualified,TM & M MECHANICAL CORPORATION,1/26/2009,6/12/2013
Suspended,"TONY RUGGIERO, INC.",10/15/1997,
Disqualified,TOP PENTHOUSE LLC,11/10/2008,3/7/2013
Disqualified,TOTAL DOOR SUPPLY & INSTALLATION,5/20/2010,1/5/2015
Disqualified,Touro Contracting Corp.,6/26/2012,3/4/2017
Disqualified,TOWNE & COUNTRY WOOD FLOORNG LLC,1/11/2012,6/23/2016
Suspended,"TRATAROS CONSTRUCTION, INC.",10/18/1999,
Disqualified,Tri-Rail Construction Inc.,1/28/2013,12/14/2017
Suspended,TRI-STATE ENVIRONMENTAL CONTRACTING,11/23/1998,
Suspended,"TRIPLE M CONTRACTING, LTD.",9/11/1995,
Suspended,U.S.A. CON-FORCE WATERPROOFING,6/2/1999,
Suspended,"UNESCO, INC.",7/21/1995,
Disqualified,"Unitech Services Group, Inc.",6/8/2012,1/10/2017
Disqualified,"Universal Construction Resources, Inc.",10/27/2011,1/14/2014
Suspended,URBAN VISIONS MANAGEMENT CONSULTING,5/19/1997,
Suspended,"USA PAINTING, INC.",12/6/2007,
Suspended,"V.V.S.S. CO., INC.",1/16/2002,
Suspended,"Valentis Electric, Inc.",1/14/2010,
Suspended,"VECTOR MECHANICAL CONTRACTING, INC.",10/27/1999,
Suspended,WALL-TONE PAINTING & FINISHING CORP,5/17/2004,
Suspended,"WASCO CONTRACTING, INC.",8/3/2012,
Suspended,well built development corp.,6/16/2011,
Disqualified,WJL EQUITIES CORPORATION,3/18/2009,9/16/2013
Suspended,"WORTH CONSTRUCTION CO., INC.",5/19/1998,
Disqualified,Xyamica Air Conditioning & Piping Corp.,12/13/2012,11/14/2013
Disqualified,ZHN CONTRACTING CORPORATION,4/21/2011,2/10/2016
Suspended,ZOLLO CONSTRUCTION CORP.,6/12/1997,
Ineligible,"Alps Mechanical, Inc.",2/26/2013,
Ineligible,Andron Construction Corp.,1/28/2013,
Ineligible,"Dean Builders, Inc.",10/25/2012,
Ineligible,"G & F.A.S.T. Electric, Inc.",2/26/2013,
Ineligible,Grand Mechanical Corp,9/14/2012,
Ineligible,Metropolis Electric Corp.,2/26/2013,
Ineligible,Milad Contracting Corp.,2/26/2013,
Ineligible,"Stealth Contracting, Inc.",5/12/2011,
