DBN,School Year,Overall Rating
20K490,SY06-07,WD
13K492,SY06-07,P
23K493,SY06-07,P
22K495,SY06-07,P
15K497,SY06-07,P
16K498,SY06-07,U
13K499,SY06-07,WD
18K415,SY06-07,P
19K502,SY06-07,P
20K503,SY06-07,P
19K504,SY06-07,U
20K505,SY06-07,WD
20K506,SY06-07,P
19K507,SY06-07,P
13K509,SY06-07,P
19K510,SY06-07,P
23K514,SY06-07,WD
19K420,SY06-07,P
23K518,SY06-07,P
15K519,SY06-07,P
19K435,SY06-07,P
23K522,SY06-07,P
21K525,SY06-07,WD
13K527,SY06-07,P
17K528,SY06-07,P
15K529,SY06-07,P
15K530,SY06-07,U
16K534,SY06-07,U
22K535,SY06-07,P
17K537,SY06-07,P
17K539,SY06-07,P
21K540,SY06-07,WD
17K543,SY06-07,P
17K544,SY06-07,P
32K545,SY06-07,P
17K547,SY06-07,P
17K548,SY06-07,P
32K549,SY06-07,P
17K469,SY06-07,P
32K552,SY06-07,U
13K553,SY06-07,P
32K554,SY06-07,WD
22K555,SY06-07,WD
32K556,SY06-07,P
14K558,SY06-07,U
14K561,SY06-07,WD
32K564,SY06-07,U
17K568,SY06-07,P
13K571,SY06-07,P
13K575,SY06-07,P
14K577,SY06-07,P
14K582,SY06-07,P
16K584,SY06-07,P
17K479,SY06-07,P
17K587,SY06-07,U
13K595,SY06-07,WD
17K600,SY06-07,P
13K605,SY06-07,P
14K610,SY06-07,P
19K615,SY06-07,WD
21K620,SY06-07,P
17K625,SY06-07,P
18K500,SY06-07,U
18K515,SY06-07,U
15K656,SY06-07,WD
19K659,SY06-07,P
19K660,SY06-07,P
21K690,SY06-07,WD
15K698,SY06-07,WD
84K704,SY06-07,WD
75K721,SY06-07,WD
75K753,SY06-07,P
75K771,SY06-07,P
75K811,SY06-07,U
15K821,SY06-07,WD
15K520,SY06-07,P
15K520,SY07-08,P
02M001,SY06-07,WD
02M002,SY06-07,WD
02M003,SY06-07,WD
06M004,SY06-07,P
06M005,SY06-07,WD
02M006,SY06-07,P
04M007,SY06-07,P
06M008,SY06-07,P
03M009,SY06-07,WD
02M011,SY06-07,WD
04M012,SY06-07,P
04M013,SY06-07,U
01M015,SY06-07,U
06M018,SY06-07,P
01M019,SY06-07,P
01M020,SY06-07,WD
06M028,SY06-07,WD
02M033,SY06-07,WD
01M034,SY06-07,P
75M035,SY06-07,WD
05M036,SY06-07,P
04M037,SY06-07,P
04M038,SY06-07,P
02M040,SY06-07,WD
02M041,SY06-07,WD
02M042,SY06-07,WD
15K520,SY08-09,P
05M046,SY06-07,WD
02M047,SY06-07,P
06M048,SY06-07,P
02M051,SY06-07,WD
06M052,SY06-07,P
03M054,SY06-07,P
04M057,SY06-07,P
02M059,SY06-07,WD
01M063,SY06-07,P
01M064,SY06-07,WD
04M072,SY06-07,P
03M076,SY06-07,U
02M077,SY06-07,WD
75M079,SY06-07,P
04M083,SY06-07,WD
03M084,SY06-07,P
03M087,SY06-07,P
02M089,SY06-07,WD
05M092,SY06-07,P
75M094,SY06-07,P
04M096,SY06-07,P
06M098,SY06-07,P
32K551,SY06-07,P
04M102,SY06-07,P
02M104,SY06-07,P
04M108,SY06-07,WD
01M110,SY06-07,P
02M111,SY06-07,P
04M112,SY06-07,WD
06M115,SY06-07,P
02M116,SY06-07,WD
32K551,SY07-08,P
05M123,SY06-07,WD
02M124,SY06-07,WD
05M125,SY06-07,P
02M126,SY06-07,P
06M128,SY06-07,P
05M129,SY06-07,P
02M130,SY06-07,WD
02M131,SY06-07,WD
06M132,SY06-07,P
05M133,SY06-07,WD
01M137,SY06-07,U
75M138,SY06-07,WD
01M140,SY06-07,P
01M142,SY06-07,P
06M143,SY06-07,P
03M145,SY06-07,P
04M146,SY06-07,P
03M149,SY06-07,P
02M150,SY06-07,WD
06M152,SY06-07,P
06M153,SY06-07,WD
05M154,SY06-07,P
04M155,SY06-07,WD
02M158,SY06-07,WD
05M161,SY06-07,P
03M163,SY06-07,WD
03M165,SY06-07,P
03M166,SY06-07,WD
02M167,SY06-07,WD
75M169,SY06-07,WD
04M171,SY06-07,WD
22K585,SY06-07,P
06M173,SY06-07,P
05M175,SY06-07,WD
06M178,SY06-07,WD
03M180,SY06-07,WD
04M182,SY06-07,WD
02M183,SY06-07,P
01M184,SY06-07,P
03M185,SY06-07,WD
01M188,SY06-07,P
06M189,SY06-07,P
03M191,SY06-07,WD
06M192,SY06-07,P
05M194,SY06-07,P
05M195,SY06-07,P
05M197,SY06-07,WD
02M198,SY06-07,P
05M200,SY06-07,P
04M206,SY06-07,P
03M208,SY06-07,P
06M210,SY06-07,P
02M212,SY06-07,WD
02M217,SY06-07,U
06M218,SY06-07,P
06M223,SY06-07,P
04M224,SY06-07,P
02M225,SY06-07,P
75M226,SY06-07,WD
02M234,SY06-07,P
03M241,SY06-07,P
03M242,SY06-07,WD
03M243,SY06-07,WD
03M245,SY06-07,WD
14K640,SY06-07,P
03M247,SY06-07,WD
03M250,SY06-07,WD
02M255,SY06-07,WD
03M256,SY06-07,P
03M258,SY06-07,P
02M260,SY06-07,U
06M278,SY06-07,P
05M285,SY06-07,P
05M286,SY06-07,U
02M288,SY06-07,P
02M289,SY06-07,P
02M290,SY06-07,WD
01M292,SY06-07,P
06M293,SY06-07,P
02M296,SY06-07,P
02M300,SY06-07,P
01M301,SY06-07,P
05M302,SY06-07,P
02M303,SY06-07,P
02M308,SY06-07,P
06M311,SY06-07,WD
02M312,SY06-07,P
06M314,SY06-07,P
01M315,SY06-07,U
23K645,SY06-07,U
05M318,SY06-07,P
06M319,SY06-07,WD
06M322,SY06-07,P
06M324,SY06-07,P
06M325,SY06-07,P
06M326,SY06-07,P
06M328,SY06-07,WD
84M329,SY06-07,U
01M332,SY06-07,P
03M333,SY06-07,P
03M334,SY06-07,WD
79K957,SY06-07,U
01M345,SY06-07,P
06M346,SY06-07,P
02M347,SY06-07,WD
06M348,SY06-07,P
06M349,SY06-07,P
01M361,SY06-07,P
01M363,SY06-07,P
01M364,SY06-07,WD
05M369,SY06-07,P
02M400,SY06-07,WD
02M408,SY06-07,P
04M409,SY06-07,P
02M411,SY06-07,P
02M413,SY06-07,WD
02M414,SY06-07,P
03M415,SY06-07,P
02M416,SY06-07,P
02M418,SY06-07,P
02M419,SY06-07,P
02M425,SY06-07,P
02M429,SY06-07,U
04M435,SY06-07,P
02M439,SY06-07,WD
03M044,SY06-07,U
02M442,SY06-07,P
01M448,SY06-07,P
01M450,SY06-07,WD
02M460,SY06-07,P
06M462,SY06-07,WD
06M463,SY06-07,WD
06M467,SY06-07,WD
06M468,SY06-07,WD
05M469,SY06-07,P
03M044,SY07-08,P
02M475,SY06-07,P
03M485,SY06-07,WD
02M489,SY06-07,WD
03M492,SY06-07,P
03M494,SY06-07,P
05M499,SY06-07,WD
02M500,SY06-07,P
03M505,SY06-07,P
01M509,SY06-07,U
01M515,SY06-07,P
02M520,SY06-07,P
06M528,SY06-07,WD
02M529,SY06-07,P
02M531,SY06-07,P
01M539,SY06-07,U
06M540,SY06-07,P
03M541,SY06-07,P
02M542,SY06-07,P
02M543,SY06-07,P
02M544,SY06-07,P
02M545,SY06-07,WD
02M550,SY06-07,P
06M552,SY06-07,P
04M555,SY06-07,P
02M565,SY06-07,WD
02M575,SY06-07,WD
02M580,SY06-07,P
02M586,SY06-07,P
02M600,SY06-07,WD
02M605,SY06-07,P
02M615,SY06-07,U
02M620,SY06-07,P
02M625,SY06-07,P
02M630,SY06-07,P
04M635,SY06-07,U
01M650,SY06-07,P
02M655,SY06-07,P
05M670,SY06-07,P
04M680,SY06-07,U
05M685,SY06-07,WD
04M101,SY06-07,P
04M117,SY06-07,U
75M721,SY06-07,P
75M751,SY06-07,P
75M811,SY06-07,P
04M825,SY06-07,U
01M839,SY06-07,WD
03M860,SY06-07,P
02M896,SY06-07,P
04M964,SY06-07,P
30Q002,SY06-07,WD
75Q004,SY06-07,WD
24Q005,SY06-07,WD
24Q007,SY06-07,P
28Q008,SY06-07,WD
75Q009,SY06-07,P
30Q010,SY06-07,WD
30Q011,SY06-07,WD
24Q012,SY06-07,WD
24Q013,SY06-07,P
24Q014,SY06-07,P
29Q015,SY06-07,P
24Q016,SY06-07,WD
30Q017,SY06-07,P
26Q018,SY06-07,P
24Q019,SY06-07,P
25Q020,SY06-07,WD
25Q021,SY06-07,WD
25Q022,SY06-07,P
75Q023,SY06-07,WD
25Q024,SY06-07,WD
25Q025,SY06-07,WD
26Q026,SY06-07,WD
24Q028,SY06-07,P
25Q029,SY06-07,P
28Q030,SY06-07,P
26Q031,SY06-07,WD
25Q032,SY06-07,WD
29Q033,SY06-07,P
29Q034,SY06-07,WD
29Q035,SY06-07,P
29Q036,SY06-07,P
29Q037,SY06-07,P
29Q038,SY06-07,P
28Q040,SY06-07,U
26Q041,SY06-07,WD
27Q042,SY06-07,P
27Q043,SY06-07,WD
27Q045,SY06-07,P
26Q046,SY06-07,WD
27Q047,SY06-07,P
28Q048,SY06-07,U
28Q050,SY06-07,P
27Q051,SY06-07,WD
29Q052,SY06-07,P
27Q053,SY06-07,P
28Q054,SY06-07,U
28Q055,SY06-07,P
27Q056,SY06-07,WD
24Q058,SY06-07,WD
29Q059,SY06-07,P
27Q060,SY06-07,WD
24Q061,SY06-07,WD
27Q062,SY06-07,WD
27Q063,SY06-07,WD
27Q064,SY06-07,P
27Q065,SY06-07,WD
27Q066,SY06-07,WD
26Q067,SY06-07,P
24Q068,SY06-07,P
30Q069,SY06-07,P
30Q070,SY06-07,WD
24Q071,SY06-07,P
24Q073,SY06-07,U
26Q074,SY06-07,WD
75Q075,SY06-07,P
30Q076,SY06-07,P
24Q077,SY06-07,WD
30Q078,SY06-07,P
25Q079,SY06-07,WD
28Q080,SY06-07,WD
24Q081,SY06-07,P
28Q082,SY06-07,WD
30Q084,SY06-07,P
30Q085,SY06-07,P
28Q086,SY06-07,P
24Q087,SY06-07,P
24Q088,SY06-07,P
24Q089,SY06-07,WD
27Q090,SY06-07,WD
24Q091,SY06-07,P
30Q092,SY06-07,WD
26Q094,SY06-07,WD
29Q095,SY06-07,WD
27Q096,SY06-07,P
27Q097,SY06-07,P
26Q098,SY06-07,WD
28Q099,SY06-07,WD
27Q100,SY06-07,P
28Q101,SY06-07,P
24Q102,SY06-07,P
27Q104,SY06-07,P
27Q105,SY06-07,WD
27Q106,SY06-07,P
25Q107,SY06-07,WD
27Q108,SY06-07,WD
30Q111,SY06-07,P
30Q112,SY06-07,P
24Q113,SY06-07,P
27Q114,SY06-07,P
26Q115,SY06-07,WD
29Q116,SY06-07,P
28Q117,SY06-07,WD
29Q118,SY06-07,WD
24Q119,SY06-07,P
25Q120,SY06-07,P
28Q121,SY06-07,WD
30Q122,SY06-07,WD
27Q123,SY06-07,U
27Q124,SY06-07,WD
24Q125,SY06-07,P
30Q126,SY06-07,P
30Q127,SY06-07,P
24Q128,SY06-07,WD
25Q129,SY06-07,WD
25Q130,SY06-07,WD
29Q131,SY06-07,WD
29Q132,SY06-07,WD
26Q133,SY06-07,WD
29Q134,SY06-07,P
29Q136,SY06-07,U
27Q137,SY06-07,WD
29Q138,SY06-07,P
28Q139,SY06-07,WD
28Q140,SY06-07,P
30Q141,SY06-07,P
24Q143,SY06-07,P
28Q144,SY06-07,P
30Q145,SY06-07,WD
27Q146,SY06-07,WD
29Q147,SY06-07,P
30Q148,SY06-07,P
30Q149,SY06-07,P
30Q150,SY06-07,P
30Q151,SY06-07,P
30Q152,SY06-07,P
24Q153,SY06-07,WD
25Q154,SY06-07,WD
27Q155,SY06-07,P
29Q156,SY06-07,U
28Q157,SY06-07,WD
26Q158,SY06-07,WD
26Q159,SY06-07,WD
28Q160,SY06-07,P
28Q161,SY06-07,WD
26Q162,SY06-07,WD
25Q163,SY06-07,P
25Q164,SY06-07,P
25Q165,SY06-07,WD
03M172,SY06-07,P
25Q169,SY06-07,P
30Q171,SY06-07,U
26Q172,SY06-07,P
26Q173,SY06-07,WD
28Q174,SY06-07,WD
28Q175,SY06-07,WD
29Q176,SY06-07,WD
75Q177,SY06-07,P
26Q178,SY06-07,P
29Q181,SY06-07,P
28Q182,SY06-07,P
27Q183,SY06-07,WD
25Q184,SY06-07,WD
25Q185,SY06-07,WD
26Q186,SY06-07,P
25Q189,SY06-07,P
28Q190,SY06-07,P
26Q191,SY06-07,WD
29Q192,SY06-07,P
25Q193,SY06-07,P
25Q194,SY06-07,WD
29Q195,SY06-07,P
27Q197,SY06-07,P
24Q199,SY06-07,WD
25Q200,SY06-07,P
25Q201,SY06-07,WD
27Q202,SY06-07,P
26Q203,SY06-07,WD
30Q204,SY06-07,P
26Q205,SY06-07,WD
28Q206,SY06-07,WD
27Q207,SY06-07,P
29Q208,SY06-07,WD
25Q209,SY06-07,WD
27Q210,SY06-07,P
30Q212,SY06-07,P
26Q213,SY06-07,WD
25Q214,SY06-07,WD
27Q215,SY06-07,P
26Q216,SY06-07,P
28Q217,SY06-07,WD
25Q219,SY06-07,WD
28Q220,SY06-07,WD
26Q221,SY06-07,WD
30Q222,SY06-07,P
27Q223,SY06-07,P
75Q224,SY06-07,WD
03M246,SY06-07,U
27Q226,SY06-07,P
30Q227,SY06-07,WD
30Q228,SY06-07,WD
24Q229,SY06-07,WD
30Q230,SY06-07,P
29Q231,SY06-07,P
27Q232,SY06-07,WD
75Q233,SY06-07,P
30Q234,SY06-07,WD
30Q235,SY06-07,P
25Q237,SY06-07,P
29Q238,SY06-07,P
24Q239,SY06-07,P
25Q242,SY06-07,WD
29Q248,SY06-07,P
25Q250,SY06-07,P
29Q251,SY06-07,U
27Q253,SY06-07,P
27Q254,SY06-07,P
75Q255,SY06-07,WD
75Q256,SY06-07,WD
29Q259,SY06-07,P
27Q260,SY06-07,P
27Q262,SY06-07,P
24Q264,SY06-07,P
29Q265,SY06-07,P
26Q266,SY06-07,WD
24Q267,SY06-07,P
29Q268,SY06-07,P
29Q270,SY06-07,WD
29Q272,SY06-07,P
25Q281,SY06-07,P
27Q282,SY06-07,P
29Q283,SY06-07,P
28Q284,SY06-07,U
25Q285,SY06-07,P
30Q286,SY06-07,P
27Q323,SY06-07,WD
27Q333,SY06-07,P
27Q400,SY06-07,WD
27Q410,SY06-07,P
26Q415,SY06-07,WD
03M246,SY07-08,U
25Q425,SY06-07,P
26Q430,SY06-07,WD
26Q435,SY06-07,P
28Q440,SY06-07,P
30Q445,SY06-07,P
24Q455,SY06-07,P
25Q460,SY06-07,P
28Q470,SY06-07,P
27Q475,SY06-07,P
24Q485,SY06-07,P
29Q492,SY06-07,P
29Q494,SY06-07,P
29Q496,SY06-07,P
29Q498,SY06-07,P
30Q501,SY06-07,WD
30Q502,SY06-07,P
25Q525,SY06-07,WD
05M317,SY06-07,P
25Q540,SY06-07,P
24Q550,SY06-07,WD
30Q555,SY06-07,WD
24Q560,SY06-07,P
30Q575,SY06-07,WD
24Q600,SY06-07,P
24Q610,SY06-07,WD
28Q620,SY06-07,P
27Q650,SY06-07,P
25Q670,SY06-07,WD
28Q680,SY06-07,P
28Q687,SY06-07,P
28Q690,SY06-07,WD
84Q705,SY06-07,P
75Q721,SY06-07,P
75Q752,SY06-07,P
75Q811,SY06-07,WD
28Q896,SY06-07,P
75Q993,SY06-07,WD
31R001,SY06-07,WD
31R002,SY06-07,WD
31R003,SY06-07,P
31R004,SY06-07,WD
31R005,SY06-07,WD
31R007,SY06-07,WD
31R008,SY06-07,WD
31R011,SY06-07,P
31R013,SY06-07,P
31R014,SY06-07,P
31R016,SY06-07,P
31R018,SY06-07,P
31R019,SY06-07,WD
31R020,SY06-07,WD
31R021,SY06-07,P
31R022,SY06-07,WD
31R023,SY06-07,WD
31R024,SY06-07,WD
75R025,SY06-07,WD
31R026,SY06-07,P
31R027,SY06-07,P
31R029,SY06-07,WD
31R030,SY06-07,P
31R031,SY06-07,P
31R032,SY06-07,WD
31R034,SY06-07,WD
31R036,SY06-07,P
75R037,SY06-07,P
31R038,SY06-07,WD
31R039,SY06-07,WD
31R041,SY06-07,WD
31R042,SY06-07,WD
31R044,SY06-07,P
31R045,SY06-07,P
31R046,SY06-07,P
31R047,SY06-07,P
31R048,SY06-07,WD
31R049,SY06-07,P
31R050,SY06-07,P
31R051,SY06-07,P
31R052,SY06-07,WD
31R053,SY06-07,WD
31R054,SY06-07,WD
31R055,SY06-07,WD
31R056,SY06-07,WD
31R057,SY06-07,P
31R058,SY06-07,WD
31R060,SY06-07,WD
31R061,SY06-07,WD
31R069,SY06-07,WD
31R072,SY06-07,WD
31R075,SY06-07,WD
31R080,SY06-07,WD
75R373,SY06-07,WD
31R440,SY06-07,WD
31R445,SY06-07,P
31R450,SY06-07,WD
31R455,SY06-07,WD
31R460,SY06-07,WD
