PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Italian American Civil Rights League,Brooklyn,Italian American Civil Rights League,718-642-2180 ,14 to 24,"1460 Pennsylvania Avenue
11239
(40.64607779528712, -73.87995018190169)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718-784-7447 ,14 to 24,"10 25 41st Avenue
11101
(40.74570244980828, -73.93866902925225)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,The Lucile Palmaro Clubhouse,Bronx,Kips Bay Boys & Girls Club,718-893-8600 x258/261,14 to 24,"1930 Randall Avenue
10473
(40.81782677019028, -73.85668537336207)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718-882-4000  x279,14 to 24,"3450 Dekalb Avenue
10467
(40.8811069447426, -73.88170846616941)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,National Society for Hebrew Day School,Brooklyn,National Society for Hebrew Day School,718-252-4446 ,14 to 24,"1545 Coney Island Avenue
11230
(40.6198266571999, -73.9641398661296)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Department of Education,Manhattan,New York City Department of Education,212-374-2498  ,14 to 24,"52 Chambers Street
10007
(40.713695753375475, -74.00528819904025)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Bronx,Bronx,New York City Housing Authority - Bronx,212-306-3985,14 to 24,"350 Livingston Street
10007
(40.71363051943297, -74.00913138370635)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Brooklyn,Brooklyn,New York City Housing Authority - Brooklyn,212-306-3985,14 to 24,"350 Livingston Street
10007
(40.71363051943297, -74.00913138370635)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Manhattan,Manhattan,New York City Housing Authority - Manhattan,212-306-3985,14 to 24,"350 Livingston Street
10007
(40.71363051943297, -74.00913138370635)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Youth Education Thru Sports,Manhattan,New York City Mission Society,212-368-8400,14 to 24,"646 Malcolm X Blvd
10037
(40.818574610432336, -73.93746544310494)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Phipps Community Education Center,Bronx,Phipps Community Development,718-542-0109,14 to 24,"1030 178thStreet
10460
(40.84134504810141, -73.88030387915799)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PAL-New South Bx. Center,Bronx,"Police Athletic League, Inc. - Bronx ",718-389-5306,14 to 24,"991 Longwood Ave
10459
(40.817260540416946, -73.89773839589843)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Brownsville Beacon PAL,Brooklyn,"Police Athletic League, Inc. - Brooklyn ",718-389-5309,14 to 24,"985 Rockaway Ave
11212
(40.656451255408264, -73.90732282830548)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Harlem PAL,Manhattan,"Police Athletic League, Inc. - Manhattan ",718-389-5309,14 to 24,"441 Manhattan Avenue
10026
(40.80669464442542, -73.95561864336202)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PAL-Foster Laurie Center,Queens,"Police Athletic League, Inc. - Queens ",718-389-5309,14 to 24,"199 10 11th Ave
11412
(40.69812711747255, -73.75923519834566)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Police Athletic League, Inc. - Vulnerable Youth",Manhattan,"Police Athletic League, Inc. - Vulnerable Youth",718-389-5309,14 to 24,"34 1 2 East 12th Street
10003
(40.734434119371144, -73.99401070079284)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Queens Community House, Inc.",Queens,"Queens Community House, Inc.",718-592-5757 ,14 to 24,"108 25 62nd Drive
11375
(40.720707263029794, -73.84628429608335)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - LaGuardia CC,Queens,Research Foundation of CUNY - LaGuardia CC,718-482-5340,14 to 24,"29 10 Thomson Avenue
Rm C 11101
(40.74570244980828, -73.93866902925225)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - Medgar Evers College,Brooklyn,Research Foundation of CUNY - Medgar Evers College,718-270-6152,14 to 24,"1155 Carroll Street
11225
(40.667224464013074, -73.95102489963955)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,All City Leadership School,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718-381-9653 ,14 to 24,"1474 Gates Avenue
11237
(40.69784030864716, -73.91383248246076)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718-327-5300 ,14 to 24,"1920 Mott Avenue
11691
(40.6038795254241, -73.7521789315517)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,SCO Family of Services,Brooklyn,SCO Family of Services,718-788-3500 ,14 to 24,"345 43rd Street
11232
(40.6510383207887, -74.0095131568878)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PS 35/1232,Brooklyn,"Sesame Flyers International, Inc.",718-221-8880 ,14 to 24,"905 Winthrop Street
11203
(40.65845142217417, -73.92913135988232)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Simpson Street Development Association, Inc.",Bronx,"Simpson Street Development Association, Inc.",718-589-1510,14 to 24,"997 163rd Street
10459
(40.82101228286123, -73.89341802447647)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718-292-3113,14 to 24,"555 Bergen Avenue
10455
(40.81594441525443, -73.91641591148277)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Southern Queens Park Association,Queens,Southern Queens Park Association,718-276-4630  x107,14 to 24,"177 01 Baisley Boulevard
11434
(40.6769452621142, -73.77530690169215)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"St. Mary's Community Services, Inc.",Brooklyn,"St. Mary's Community Services, Inc.",718-230-0827 ,14 to 24,"230 Classon Avenue
11205
(40.692595753923804, -73.96084829313692)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,St. Nicholas Neighborhood Preservation Corporation,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718-599-9224 ,14 to 24,"850 Grand Street
11211
(40.712157465495466, -73.93973216278714)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"United Activities Unlimited, Inc.",Staten Island,"United Activities Unlimited, Inc.",718-448-4834,14 to 24,"221 Broadway
10301
(40.62678550844453, -74.09611291088208)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - ",Brooklyn,"Vannguard Urban Improvement Association, Inc. - ",718-453-3330 ,14 to 24,"141 Macon Street
11216
(40.681569834987634, -73.94559613967623)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - Vulnerable Youth",Brooklyn,"Vannguard Urban Improvement Association, Inc. - Vulnerable Youth",718-453-3330,14 to 24,"613 619 Throop Avenue
11216
(40.680758670876, -73.94926775090596)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Pulse High School,Bronx,Wildcat Service Corporation,718-294-0230 x3080,14 to 24,"560 179th Street
10457
(40.84859421167427, -73.89369212762725)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Woodycrest Center For Human Development,Bronx,Woodycrest Center For Human Development,718-992-4256,14 to 24,"153 165th Street
10452
(40.83108457687954, -73.92085753444195)"
Jobs & Internships,In-School Youth Employment (ISY),"Children's Arts & Science Workshops, Inc.",New York,"Children's Arts & Science Workshops, Inc.",212.923.7766,,"686 204th Street
10034
(40.867820783175965, -73.92367507747998)"
Jobs & Internships,In-School Youth Employment (ISY),"Harlem Children's Zone, Inc",New York,"Harlem Children's Zone, Inc",212.534.0700,,"35 125th Street
10035
(40.80596750958526, -73.9411236532852)"
Jobs & Internships,In-School Youth Employment (ISY),East Harlem Council For Community Improvement,New York,East Harlem Council For Community Improvement,212.410.7707,,"413 120th Street
10035
(40.79846398023503, -73.93320299844886)"
Jobs & Internships,In-School Youth Employment (ISY),New York City Mission Society,New York,New York City Mission Society,212.979.5764,,"646 Malcolm X Boulevard
10037
(40.818574610432336, -73.93746544310494)"
Jobs & Internships,In-School Youth Employment (ISY),"Stanley M. Isaacs Neighborhood Center, Inc.",New York,"Stanley M. Isaacs Neighborhood Center, Inc.",212.360.7620,,"415 93rd Street
10128
(40.7812386658001, -73.94580276497054)"
Jobs & Internships,In-School Youth Employment (ISY),Police Athletic League (PAL),Queens,"Police Athletic League, Inc.",212.477.6504,,"55 Layton Avenue
10301
(40.6415823266761, -74.08535650074658)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,Staten Island,"Police Athletic League, Inc.",212.477.6504,,"715 Ocean Terrace
10301
(40.60745891713139, -74.10148829317096)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 14 - Cornelius Vanderbilt Elementary School,Staten Island,"Police Athletic League, Inc.",212.477.6504,,"100 Tompkins Avenue
10304
(40.622148795415534, -74.07837687526822)"
Jobs & Internships,In-School Youth Employment (ISY),United Activities Unlimited @ PS 18 Beacon,Staten Island,"United Activities Unlimited, Inc.",718.987.8111,,"221 Broadway
10310
(40.63603930909672, -74.11747369098056)"
Jobs & Internships,In-School Youth Employment (ISY),"Bronx School for Law, Government & Justice - H.S. 505",Bronx,"Federation Employment and Guidance Service, Inc.",212.366.8441,,"244 163rd Street
10451
(40.82755758070661, -73.91861304157015)"
Jobs & Internships,In-School Youth Employment (ISY),Family Preservation Center/MBCS,Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,,"1125 Grand
Concourse 10452
(40.83772426336412, -73.9233322114124)"
Jobs & Internships,In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.292.3113,,"555 Bergen Avenue
10455
(40.81594441525443, -73.91641591148277)"
Jobs & Internships,In-School Youth Employment (ISY),Citizens Advice Bureau/Girls Club of New York,Bronx,"Citizens Advice Bureau, Inc.",718.365.0910,,"1130 Grand
Concourse 10456
(40.8304366800088, -73.9077651995043)"
Jobs & Internships,In-School Youth Employment (ISY),Grace Dodge Vocational High School - H.S. 660,Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,,"2474 Crotona Avenue
10458
(40.85598037390898, -73.88255350719163)"
Jobs & Internships,In-School Youth Employment (ISY),"Simpson Street Development Association, Inc.",Bronx,"Simpson Street Development Association, Inc.",718.589.1510,,"997 163rd Street
10459
(40.82101228286123, -73.89341802447647)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 217 - Rafael Hernandez School,Bronx,"Simpson Street Development Association, Inc.",718.589.1510,,
Jobs & Internships,In-School Youth Employment (ISY),Herbert H. Lehman High School - H.S. 405,Bronx,"Henkels & McCoy, Inc.",800.622.5577,,"3000 Tremont Avenue
10461
(40.840618266233676, -73.83830582037355)"
Jobs & Internships,In-School Youth Employment (ISY),John F. Kennedy High School - H.S. 475,Bronx,"Henkels & McCoy, Inc.",800.622.5577,,"99 Terrace View Avenue
10463
(40.877210772673564, -73.91213621128965)"
Jobs & Internships,In-School Youth Employment (ISY),"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.882.4000,,"3400 Reservoir Oval
10467
(40.87877505492227, -73.87563356258636)"
Jobs & Internships,In-School Youth Employment (ISY),Christopher Columbus High School - H.S. 415,Bronx,"Henkels & McCoy, Inc.",800.622.5577,,"925 Astor Avenue
Bronx 10469
(40.859680011813644, -73.86106256531913)"
Jobs & Internships,In-School Youth Employment (ISY),Adlai E. Stevenson High School - H.S. 450,Bronx,"Episcopal Social Services, of New York, Inc.",212.886.5602,,"1980 Lafayette Avenue
10473
(40.82225901265785, -73.85628678256198)"
Jobs & Internships,In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,,"10 25 41st Avenue
11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,In-School Youth Employment (ISY),LaGuardia Community College,Queens,Research Foundation of CUNY/LaGuardia Community College,718.270.6908,,"31 10 Thomson Avenue
11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,In-School Youth Employment (ISY),Hellenic American Neighborhood Action Committee (HANAC),Queens,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,,"23 16 30th Avenue
11102
(40.77152402451418, -73.92643545073543)"
Jobs & Internships,In-School Youth Employment (ISY),"Sunnyside Community Service, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173,,"43 31 39th Street
11104
(40.74489336663561, -73.92054134530679)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 181 - John Steptoe School,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,,"1023 New York Avenue
11203
(40.648253402034975, -73.94634447537274)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 232 - Winthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,,"905 Winthrop Street
11203
(40.65845142217417, -73.92913135988232)"
Jobs & Internships,In-School Youth Employment (ISY),"Sesame Flyers International, Inc.",Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,,"3510 Church Avenue
11203
(40.65104606617694, -73.9446401676269)"
Jobs & Internships,In-School Youth Employment (ISY),East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2129,,"2644 Atlantic Avenue
11207
(40.67565526230447, -73.89675297527339)"
Jobs & Internships,In-School Youth Employment (ISY),Franklin K. Lane High School - H.S. 420,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,,"999 Jamaica Avenue
11208
(40.6907285274162, -73.87016567362916)"
Jobs & Internships,In-School Youth Employment (ISY),"Beth Chana, Ltd",Brooklyn,National Society For Hebrew Day Schools,212.227.1000,,"712 Bedford Avenue
11222
(40.72825312178418, -73.94715978319738)"
Jobs & Internships,In-School Youth Employment (ISY),Bnos Ahavas Israel Viznitz,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,,"12 Franklin Street
11222
(40.72531118436204, -73.95751636662311)"
Jobs & Internships,In-School Youth Employment (ISY),"Asociaciones Dominicanas, Inc",Brooklyn,"Asociaciones Dominicanas, Inc",212.247.2929,,"202 Union Avenue
11211
(40.706434807769, -73.95033181160849)"
Jobs & Internships,In-School Youth Employment (ISY),"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,,"3001 37th Street
11224
(40.573273749723825, -74.00249064003097)"
Jobs & Internships,In-School Youth Employment (ISY),P.S. 138,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,,"760 Prospect Place
11216
(40.674353675202426, -73.95141196170016)"
Jobs & Internships,In-School Youth Employment (ISY),Bedford Stuyvesant Restoration Corporation,Brooklyn,Bedford Stuyvesant Restoration Corporation,718.636.6931,,"1368 Fulton Street
11216
(40.68016709769277, -73.94592248315027)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 1 - Bergen Elementary School,Brooklyn,SCO Family of Services,516.671.1253,,"309 47 Street
11220
(40.64919427766737, -74.01249722815565)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 314 - Luis Munoz Marin Elementary School,Brooklyn,SCO Family of Services,516.671.1253,,"330 59th Street
11220
(40.64220161479856, -74.0191758017247)"
Jobs & Internships,In-School Youth Employment (ISY),"Chinese-American Planning Council, Inc/Brooklyn Branch",Brooklyn,Chinese American Planning Council,212.941.0920,,"4101 8th Avenue
11232
(40.64613150332472, -73.99844270592891)"
Jobs & Internships,In-School Youth Employment (ISY),The International High School @ Prospect Heights (K524),Brooklyn,Chinese American Planning Council,212.941.0920,,"883 Classon Avenue
11225
(40.67045865769921, -73.96162827573441)"
Jobs & Internships,In-School Youth Employment (ISY),Middle School 2,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,,"655 Parkside Avenue
11226
(40.6561968174429, -73.95158492978685)"
Jobs & Internships,In-School Youth Employment (ISY),Bais Yaakov Academy,Brooklyn,National Society For Hebrew Day Schools,212.227.1000,,"2 Franklin Street
11222
(40.72426648164826, -73.95768334814491)"
Jobs & Internships,In-School Youth Employment (ISY),SCO Family Services/Center for Family Life,Brooklyn,SCO Family of Services,516.671.1253,,"345 43rd Street
11232
(40.6510383207887, -74.0095131568878)"
Jobs & Internships,In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,Brooklyn,SCO Family of Services,516.671.1253,,"4004 4th Avenue
11232
(40.65208990853318, -74.00688510833078)"
Jobs & Internships,In-School Youth Employment (ISY),Ridgewood Bushwick Youth Center,Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",718.381.9653,,"1474 Gates Avenue
11237
(40.69784030864716, -73.91383248246076)"
Jobs & Internships,In-School Youth Employment (ISY),Italian American Civil Rights League (Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,,"1460 Pennsylvania Avenue
11239
(40.64607779528712, -73.87995018190169)"
Jobs & Internships,In-School Youth Employment (ISY),Public School 346 - Abe Stark Elementary School,Brooklyn,Italian American Civil Rights League (Italian American Civil,718.642.2857,,"1400 Pennsylvania Avenue
11239
(40.64752174991216, -73.88154676244247)"
Jobs & Internships,In-School Youth Employment (ISY),Flushing High School - H.S. 460,Queens,"Sports & Arts In Schools Foundation, Inc.",718.786.7110,,"35 01 Union Street
11354
(40.76862022064671, -73.82719028070687)"
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council,Queens,Chinese American Planning Council,212.941.0920,,"136 18 39th Avenue
11354
(40.76862022064671, -73.82719028070687)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 168 - Parsons School,Queens,Queens Child Guidance Center,718.651.7770,,"158 40 76th Road
11366
(40.72816440726166, -73.79226817393703)"
Jobs & Internships,In-School Youth Employment (ISY),"Elmcor Youth and Adult Activities, Inc.",Queens,"Elmcor Youth & Adult Activities, Inc.",718.651.0096,,"33 16 108th Street
11368
(40.749678220373596, -73.85304068857687)"
Jobs & Internships,In-School Youth Employment (ISY),"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,,"62 04 Myrtle Avenue
11385
(40.70122489161548, -73.88334858436963)"
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 93 - Ridgewood Intermediate School,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,,"66 56 Forest Avenue
11385
(40.70122489161548, -73.88334858436963)"
Jobs & Internships,In-School Youth Employment (ISY),Foster-Laurie,Queens,"Police Athletic League, Inc.",212.477.6504,,"199 10 112th Avenue
11412
(40.69812711747255, -73.75923519834566)"
