License Number,Name of Licensee,Alternative Name of Licensee,Street_Address,Zip_Code,Telephone,License Type,Location 1
B90419,D & J SERVICES INC,,1200 ZEREGA AVENUE,10462,(718) 828-9800,TLC Licensed Base - Paratransit,
B90455,RELIANCE AMBULETTE INC,,163-07 DEPOT ROAD,11358,(718) 961-6655,TLC Licensed Base - Paratransit,
B90469,MERCY CARE TRANS INC,,2381 HYLAN BOULEVARD,10306,(718) 266-3355,TLC Licensed Base - Paratransit,
B90471,CROSS TOWN TRANSP. INC.,,7 HIGHLAWN AVENUE,11223,(718) 232-4103,TLC Licensed Base - Paratransit,
B90477,AMBU-CARE INC.,,615   81 STREET,11209,(718) 745-3411,TLC Licensed Base - Paratransit,
B90487,UPWARD MOBILITY LIMO INC,,18-65 STEINWAY STREET,11105,(718) 777-3330,TLC Licensed Base - Paratransit,
B90496,ASCONA AMBLT SVC INC,,1260 AVENUE Y,11235,(718) 646-1611,TLC Licensed Base - Paratransit,
B90497,COMFORT AMBULETTE SVCE INC,,333 PEARL STREET 6D,10038,(212) 619-8194,TLC Licensed Base - Paratransit,
B90506,WINDSOR LEASING CORP,RITE-WAY PVT. CAR SVCE,962 BARBERRY ROAD,10598,(914) 965-5551,TLC Licensed Base - Paratransit,
B90513,DEPENDABLE AMBULETTE INC.,,2 HORTON AVENUE,11581,(516) 596-0830,TLC Licensed Base - Paratransit,
B90522,UNIVERSAL CARRIER INC.,GOLDEN AGE AMBULETTE,1805 GRAVESEND NECK ROAD,11229,(718) 646-4444,TLC Licensed Base - Paratransit,
B90523,STARLIGHT AMBULETTE,,3055 WEBSTER AVENUE,10467,(718) 518-8056,TLC Licensed Base - Paratransit,
B90530,MEDICAL EXPRESS AMBULANCE CORP.,MEDICAL EXPRESS,1028 FREEMAN STREET,10459,(718) 617-1522,TLC Licensed Base - Paratransit,
B90531,GALAXY TRANSPORTATION INC.,,154 AMSTERDAM AVENUE,10532,(866) 464-2529,TLC Licensed Base - Paratransit,
B90533,"ALL AROUND TRANS, INC.",,345 AVENUE X 2ND FL,11223,(718) 332-6033,TLC Licensed Base - Paratransit,
B90536,"D-J AMBULETTE SERVICE,INC.",CITICARE,1200 ZEREGA AVENUE,10462,(718) 829-9700,TLC Licensed Base - Paratransit,
B90537,ALMAZ TRANSPORTATION INC.,,2313 AVENUE X,11235,(718) 769-5600,TLC Licensed Base - Paratransit,
B90540,APPLE TRANSPORTATION OF N.Y. INC.,,3-01   27 AVENUE,11102,(917) 682-4950,TLC Licensed Base - Paratransit,
B90542,KLAV-TRANSIT LLC,,162-15 HIGHLAND AVENUE APT 6C,11432,(718) 739-0341,TLC Licensed Base - Paratransit,
B90544,SAFA AMBULETTE LLC,,228 BAY   43 STREET 2 FL.,11214,(718) 284-2654,TLC Licensed Base - Paratransit,
B90545,M.J. TRANS CORP.,,1788 STILLWELL AVENUE,11223,(718) 333-0400,TLC Licensed Base - Paratransit,
B90548,NINA'S TRANSPORTATION_SERVICE INC.,,2379 EAST    1 STREET,11223,(718) 376-9747,TLC Licensed Base - Paratransit,
B90552,"TYMPF CO., INC.",,354 KINGS HIGHWAY SECOND FLOOR,11223,(718) 946-0606,TLC Licensed Base - Paratransit,
B90553,NXK CORP.,AMBU-TRANS AMBULETTE,8 EAST PROSPECT AVENUE STE C,10550,(914) 699-0785,TLC Licensed Base - Paratransit,
B90554,GALAXY TRANSPORTATION INC.,,1865 MAYFLOWER AVENUE,10461,(718) 824-7504,TLC Licensed Base - Paratransit,
B90556,JEWISH HOME LIFECARE TRANSP. SVCS LLC,JEWISH HOME LIFECARE,151 WEST  105 STREET 1A,10025,(718) 410-1241,TLC Licensed Base - Paratransit,
B90558,ORIENT EXPRESS  TRANSIT INC.,,3099 EMMONS AVENUE,11235,(718) 769-6600,TLC Licensed Base - Paratransit,
B90562,STATEWIDE AMBULETTE SERVICE INC,,557 N MACQUESTEN PARKWAY 1FL,10552,(914) 668-8750,TLC Licensed Base - Paratransit,
B90563,REM TRANSPORTATION INC,,2404 EAST   23 STREET,11235,(718) 891-5800,TLC Licensed Base - Paratransit,
B90568,AMG TRANSPORTATION INC.,,375 SUNRISE HIGHWAY SUITE #8,11563,(516) 792-1674,TLC Licensed Base - Paratransit,
B90570,BANNER INTERNATIONAL CORP.,,226-12  144 AVENUE,11413,(718) 525-3497,TLC Licensed Base - Paratransit,
B90571,MAJESTIC TRANSPORTATION INC,,164 BRIGHTON 11 STREET,11235,(718) 616-1300,TLC Licensed Base - Paratransit,
B90574,J.P. AMBULETTE CORP,,19-58   81 STREET 1ST FL,11370,(718) 274-7402,TLC Licensed Base - Paratransit,
B90577,"VITAL TRANSIT, INC.",,113-50 SPRINGFIELD BOULEVARD,11429,(718) 464-6071,TLC Licensed Base - Paratransit,
B90579,BLACK SEA TRANSPORTATION INC,,1754 HYLAND BLVD,10305,(718) 605-1200,TLC Licensed Base - Paratransit,
B90581,ACT AMBULETTE INC,ALL COUNTY TRANSPORTATION,9 GRANITE AVENUE,10303,(718) 556-5566,TLC Licensed Base - Paratransit,
B90582,"DEDICATED TRANSPORTATION, INC.",,98-12  211 STREET,11429,(718) 558-8900,TLC Licensed Base - Paratransit,
B90583,WESTCHESTER AMBULETTE SERVICE INC,,58 PALISADE AVENUE,10701,(914) 403-0923,TLC Licensed Base - Paratransit,
B90584,SABE AMBULETTE SERVICE INC,MOBILITY TRANSPORTATION,701 HILDA STREET,11710,(718) 712-5300,TLC Licensed Base - Paratransit,
B90587,V O PARTNERS INC.,EXPRESS AMBULETTE SERVICE,371 NEPTUNE AVENUE,11235,(718) 332-6001,TLC Licensed Base - Paratransit,
B90588,APPROVED TRANSPORTATION SERVICES INC,,925 SHEPHERD AVENUE,11208,(718) 927-1500,TLC Licensed Base - Paratransit,
B90592,B L P TRANSPORTATION OF NY CORP.,,2918 AVENUE J,11210,(718) 676-4100,TLC Licensed Base - Paratransit,
B90594,STARRETT AMBULETTE INC.,,919 EAST  107 STREET,11236,(718) 272-3682,TLC Licensed Base - Paratransit,
B90596,ORION  TRANSPORTATION INC,,179-05 UNION TURNPIKE,11366,(718) 441-2344,TLC Licensed Base - Paratransit,
B90601,SAFE AMBULETTE CORP,,4-6 HIGHLAWN AVENUE,11223,(718) 714-7171,TLC Licensed Base - Paratransit,
B90602,S.M. TRANSPORTATION LTD.,,150-35 HILLSIDE AVENUE,11435,(718) 658-0742,TLC Licensed Base - Paratransit,
B90603,LIFE TRANSMED INC,,2667 CONEY ISLAND AVENUE 2ND FL,11223,(718) 934-6111,TLC Licensed Base - Paratransit,
B90604,"MARINA AMBULETTE SERVICES, INC.",,3034 CONEY ISLAND AVENUE,11235,(718) 934-8844,TLC Licensed Base - Paratransit,
B90605,"ALLMEDICAL SERVICE, INC.",ALLMEDICAL TRANSPORTATION,2899 OCEAN AVENUE,11235,(718) 676-0126,TLC Licensed Base - Paratransit,
B90606,ALL-POINTS AMBULETTE INC.,,2 HORTON AVENUE,11581,(516) 792-3389,TLC Licensed Base - Paratransit,
B90610,"BARUKH MEDICAL TRANSPORTATION, INC.",,62-69 99 STREET SUITE A1,11374,(718) 699-3333,TLC Licensed Base - Paratransit,
B90612,ESTHER TRANSPORTATION INC.,,302 SLATER BOULEVARD,10305,(718) 987-1555,TLC Licensed Base - Paratransit,
B90616,JORA MGT. CORP.,,1598 BRONXDALE,10462,(718) 892-7625,TLC Licensed Base - Paratransit,
B90617,EXCLUSIVE AMBULETTE SERVICE INC,,440 BEACH   21 STREET SEE PF10 FOR MAILING ADDRESS,11691,(718) 327-5500,TLC Licensed Base - Paratransit,
B90619,COURTESY TRANSPORTATION SERVICES INC,,1020 EAST   48 STREET 2ND FL,11203,(718) 693-1999,TLC Licensed Base - Paratransit,
B90620,WHEELS OF FORTUNE TRANSPORTATON INC,,4-6 HIGHLAWN AVENUE,11223,(718) 265-2700,TLC Licensed Base - Paratransit,
B90622,G & L AMBULETTE CO. INC.,SUNNY TRANSPORTATION,778 ROCKAWAY PARKWAY,11236,(718) 495-7300,TLC Licensed Base - Paratransit,
B90623,MEDSTAR AMBULETTE INC,,718 THIRD AVENUE,11232,(718) 778-4200,TLC Licensed Base - Paratransit,
B90624,ANABELLA TRANSPORTATION LLC,,120 STEVENS AVENUE,10550,(718) 205-5050,TLC Licensed Base - Paratransit,
B90625,"LSLAT,INC",OLYMPIC TRANSPORTATION,293 AVENUE Z,11223,(718) 265-1584,TLC Licensed Base - Paratransit,
B90627,ATLAS AMBULETTE INC,,89-38  217 STREET,11427,(718) 776-3314,TLC Licensed Base - Paratransit,
B90628,ALLURE TRANSPORTATION INC,,360-A WEST MERRICK ROAD,11580,(718) 943-4040,TLC Licensed Base - Paratransit,
B90630,STERLING AMBULETTE INC,,14 CORTLANDT STREET,10550,(914) 667-8176,TLC Licensed Base - Paratransit,
B90631,RYE AMBULETTE TRANSPORT INC,,219 HARRISON AVENUE 2FL,10528,(914) 490-0939,TLC Licensed Base - Paratransit,
B90633,TEMANA ASSOCIATES INC,,77-45 VLEIGH PLACE,11367,(718) 380-0580,TLC Licensed Base - Paratransit,
B90634,MORNING STAR AMBULETTE SERVICES INC,,8422 AVENUE J,11236,(718) 377-7782,TLC Licensed Base - Paratransit,
B90635,SOVEREIGN TRANSPORTATION INC,,5905 A   11 AVENUE 1ST,11219,(718) 435-0700,TLC Licensed Base - Paratransit,
B90636,MOZART TRANSPORTATION CORP,,2084 EAST 8 STREET,11223,(718) 676-2350,TLC Licensed Base - Paratransit,
B90639,ACA TRANSPORTATION INC.,,2410   65 STREET,11204,(718) 787-0410,TLC Licensed Base - Paratransit,
B90640,GREAT AMBULETTE SERVICE INC,,1614 NEPTUNE AVENUE,11224,(718) 449-2600,TLC Licensed Base - Paratransit,
B90643,MR TRANSPORTATION INC,MARQUIS AMBULETTE,3 HOOVER STREET,11096,(516) 569-2400,TLC Licensed Base - Paratransit,
B90647,APOLLO NY-CITY AMBULETTE INC.,,208-01 NORTHERN BOULEVARD #4B 4TH FL.,11361,(718) 224-3331,TLC Licensed Base - Paratransit,
B90648,MEGA LINE INC.,,61-29 WOODHAVEN BOULEVARD,11374,(718) 639-0200,TLC Licensed Base - Paratransit,
B90650,JEWISH HOME LIFECARE TRANSP. SVCS LLC,JEWISH HOME LIFECARE,100 WEST KINGSBRIDGE ROAD FBLDS PENTHOUSE,10468,(718) 410-1241,TLC Licensed Base - Paratransit,
B90651,AFFORDABLE SENIOR CARE INC,ASC TRANSPORTATION,1650 EASTERN PARKWAY RM 304,11233,(718) 261-7399,TLC Licensed Base - Paratransit,
B90653,LAKEVILLE AMBULETTE TRANSPORTATION LLC,,271-11   76 AVENUE,11040,(718) 289-2235,TLC Licensed Base - Paratransit,
B90654,JAMES KUSI-APPOUH,TLC TRANSPORTATION,363 NEW YORK AVENUE #3D,11213,(718) 385-3585,TLC Licensed Base - Paratransit,
B90655,MR. D'S AMBULETTE SERVICES INC.,,337 WINTHROP STREET,11225,(718) 813-5189,TLC Licensed Base - Paratransit,
B90656,CHELSEA EXPRESS TRANSPORTATION INC.,,108-36 CORONA AVENUE,11368,(718) 897-5838,TLC Licensed Base - Paratransit,
B90657,DIANE TRANSPORTATION INC,,73-14 YELLOWSTONE BOULEVARD SUITE A,11375,(718) 544-4414,TLC Licensed Base - Paratransit,
B90660,G & M AMBULETTE SERVICE INC,,1550 MCDONALD AVENUE,11230,(718) 801-6420,TLC Licensed Base - Paratransit,
B90662,MAYOOR TRANSPORTATION INC.,,498 MAIN STREET SUITE 4,10801,(914) 235-4700,TLC Licensed Base - Paratransit,
B90663,"CITI COACH NYC, INC.",,551 GRAND STREET SUITE 5,10002,(212) 777-1277,TLC Licensed Base - Paratransit,
B90664,SALMA TRANSPORTATION LLC,,1300 JERICHO TKPE. SUITE 201,11040,(516) 502-2018,TLC Licensed Base - Paratransit,
B90665,FIRST ADVANCE CARE INC.,ADVANCE CARE AMBULETTE,73 BAY 14 STREET,11214,(718) 743-2100,TLC Licensed Base - Paratransit,
B90666,"DELFENIC ENTERPRISES,INC",,951 EAST  218 STREET,10469,(718) 882-2490,TLC Licensed Base - Paratransit,
B90667,BRIDGEMAN TRANSPORTATION OF NY CORP,TKB AMBULETTE SERVICE,202 LEWIS AVENUE,11221,(718) 602-2100,TLC Licensed Base - Paratransit,
B90671,TEJET EXPRESS TRANSPORTATION INC.,TEJET TRANSPORTATION,2309 AVENUE Z 2ND FL.,11235,(718) 252-7272,TLC Licensed Base - Paratransit,
B90672,PERFECT CHOICE AMBULETTE INC.,,6610 BAY PARKWAY SUITE 1A,11204,(347) 462-1700,TLC Licensed Base - Paratransit,
B90673,MENAHEM SIMKHO TRANSPORTATION INC.,,1428   36 STREET SUITE 225,11218,(718) 848-8840,TLC Licensed Base - Paratransit,
B90674,ELBRUS AMBULETTE INC.,,4214 GLENWOOD ROAD,11210,(718) 499-8800,TLC Licensed Base - Paratransit,
B90675,ABBA LOCAL TRANSPORTATION INC,U.S. AMBULETTE,2827 OCEAN PARKWAY 3B,11235,(718) 332-1216,TLC Licensed Base - Paratransit,
B90676,MANHATTAN AMBULETTE INC,,92-29 QUEENS BOULEVARD,11374,(718) 841-7424,TLC Licensed Base - Paratransit,
B90677,EXCLUSIVE AMBULETTE SERVICE,,76-16 ROCKAWAY BOULEVARD,11421,(718) 327-5500,TLC Licensed Base - Paratransit,
B90678,"COAST 2 COAST ENTERPRISES, INC",COAST 2 COAST TRANSPORTATION,84 HOWARD AVE,11520,(646) 624-1283,TLC Licensed Base - Paratransit,
B90679,YUNTONG TRANSPORTATION,,52-15 MARATHON PARKWAY,11362,(718) 530-0262,TLC Licensed Base - Paratransit,
B90680,U & ME TRANSPORT INC.,,623 BARRETTO STREET,10474,(646) 228-7101,TLC Licensed Base - Paratransit,
B90681,SENIOR RIDE TRANSPORTATION LLC,,855 BRUSH AVENUE,10465,(718) 713-3700,TLC Licensed Base - Paratransit,
B90682,"COUNTYWIDE TRANSPORTATION, INC.",,58 PALISADE AVENUE,10701,(718) 968-2500,TLC Licensed Base - Paratransit,
B90684,PRINCIPAL TRANSPORTATION SVCS. INC.,,1612 NEPTUNE AVENUE FL. #3,11224,(917) 335-5324,TLC Licensed Base - Paratransit,
B90685,AVA AMBULETTE CORP.,,1811 STILLWELL AVENUE,11223,(718) 975-2000,TLC Licensed Base - Paratransit,
B90686,FORWARD AMBULETTE INC,,105 CEDAR GROVE COURT,10306,(646) 808-4404,TLC Licensed Base - Paratransit,
B90687,"WORLD AMBULETTE TRANSPORTATION, INC.",,40-29  149 STREET,11354,(718) 445-8899,TLC Licensed Base - Paratransit,
B90691,"ALTA MEDICAL TRANSPORTATION, INC.",,2834 CONEY ISLAND AVENUE,11235,(212) 202-5555,TLC Licensed Base - Paratransit,
B90692,DIANE TRANSPORTATION INC.,,175 EAST SHORE ROAD STE.110,11023,(718) 544-4414,TLC Licensed Base - Paratransit,
B90693,SUPPORT TRANSPORTATION INC.,,1231 AVENUE U 2ND FL.,11229,(718) 382-4949,TLC Licensed Base - Paratransit,
B90695,PRIVATE ESCORT SERVICE INC,,1261 RALPH AVENUE,11236,(718) 629-6520,TLC Licensed Base - Paratransit,
B90696,CENTURY AMBULANCE SERVICE INC,CENTURY AMBULANCE SERVICE,87-30  123 STREET,11418,(718) 235-9000,TLC Licensed Base - Paratransit,
