"Borough, Block, Lot #",Street Address,Zip Code,Borough,Utility,Building Manager,Owner,Owner Telephone,DEP Boiler Application #,#6 Deadline,Boiler Model,# of Identical Boilers,Boiler Capacity (Gross  BTU),Boiler Installation Date,Boiler Age Range,Est. Retirement Year,Burner Model,Primary Fuel,Total Gallons (High),Total Gallons (Low),Total MMBTU (High),Total MMBTU (low),Greener Greater Buildings,GGB Deadline,Building Type,City Council District,City Community Board,Bldg Sqft,# of Bldgs,# of Floors,# of Res. Units,Total Units,Year Built,Condo?,Coop?,Location 1,Owner Address
1000520021,120 LIBERTY STREET,10006,Manhattan,Con Edison,SAMSON,SAMSON MGMT. LLC,x,CA011497P,3/19/15,FEDERAL  FST-125  (NEW),1,5.30,1997,11 to 15 years old,2032,INDUSTRIAL COMB. MM-54S(EXIST),#4,57488,40241,8336,5835,Yes,2022,Elevator Apartments,1,101,57945,1,13,21,24,1900,NO,YES,"120 LIBERTY STREET
Manhattan, New York 10006
(40.70996356695389, -74.01233888374998)","97-77 QUEENS BLVD, REGO PARK NY 11374"
1000560001,130 CEDAR STREET,10006,Manhattan,Con Edison,A.J. GOLDSTEI & CO.,A. J. GOLDSTEIN & CO.,212-732-5055,CA032776K,5/23/15,ROCKMILLS MP250,1,10.30,1976,31 to 35 years old,2011,HEV-E-OIL DE 105 TYPE P,#6,114975,80483,7500,5250,Yes,2016,Hotels,1,101,181297,1,21,0,1,1931,NO,NO,"130 CEDAR STREET
Manhattan, New York 10006
(40.7101074584786, -74.01384974475917)","130 CEDAR STREET, MANHATTAN NY 10006"
1000560004,90 WEST STREET,10006,Manhattan,Con Edison,BROADWAY ASSOCIATES,90 WEST ASSOCIATES,212 732 9477,CA080889N,8/1/14,ROCKMILLS MP300,1,11.90,1989,21 to 26 years old,2024,ICI DEG 145 P,#6,131400,91980,18750,13125,Yes,2016,Elevator Apartments,1,101,357000,1,24,410,413,1908,NO,NO,"90 WEST STREET
Manhattan, New York 10006
(40.71007148559738, -74.01462316170438)","90 WEST STREET, MANHATTAN NY 10006"
1000640015,160 BROADWAY,10038,Manhattan,Con Edison,DAROR ASSOC.,"DAROR ASSOC. LLC CO.,% BRUN MGMT.",212-349-2154,CA159380M,12/11/12,ROCKMILLS MP175,1,7.30,1980,26 to 30 years old,2015,IRON FIREMAN A0-6-9.8RK,#6,341640,239148,22776,15943,Yes,2014,Office Buildings,1,101,150000,4,16,0,77,1908,NO,NO,"160 BROADWAY
Manhattan, New York 10038
(40.70954088560012, -74.01018051087965)","160 BROADWAY, MANHATTAN NY 10038"
1000640016,170 BROADWAY,10038,Manhattan,Con Edison,AMG REALTY PARTNERS LLP,170 BROADWAY OWNERS CORP c/o CB RICHARD ELLIS,x,CA063777Y,1/6/14,ROCKMILLS MP-200,1,9.00,1977,31 to 35 years old,2012,HEV-E-OIL DE-105(S)  ( I.C.I.),#6,91250,63875,13688,9581,Yes,2014,Office Buildings,1,101,147844,1,18,0,81,1903,NO,NO,"170 BROADWAY
Manhattan, New York 10038
(40.70969696447376, -74.00999546565647)","170 BROADWAY, MANHATTAN NY 10037"
1000750001,127 JOHN STREET,10038,Manhattan,Con Edison,"CENTRIFUGAL ASSOCIATES, INC.","CENTRIFUGAL ASSOCIATES, INC.",212 823-5102,CA097498R,11/5/13,CLEAVER BROOKS CB 900-350,2,14.64,1998,11 to 15 years old,2033,CLEAVER BROOKSCB 900-350,#4,297040,207928,42751,29926,Yes,2015,Elevator Apartments,1,101,541000,1,31,576,579,1973,NO,NO,"127 JOHN STREET
Manhattan, New York 10038
(40.707202648323914, -74.00525222615909)","13-15 JACKSON AVENUE, LONG ISLAND CITY NY 11101"
1000880005,20 VESEY STREET,10007,Manhattan,Con Edison,"CASTEGA -20 VESEY STREET, LLC.","CASTEGA -20 VESEY STREET, LLC.",212-732-7663,CA233189R,3/5/14,ROCKMILLS MP125,1,5.30,1989,21 to 26 years old,2024,ICI MM54P,#4,41063,28744,5945,4162,Yes,2018,Office Buildings,1,101,80298,1,13,0,35,1907,NO,NO,"20 VESEY STREET
Manhattan, New York 10007
(40.711879122876326, -74.00965890410265)","20 VESEY STREET, MANHATTAN NY 10007"
1000880018,225 BROADWAY,10007,Manhattan,Con Edison,225 BROADWAY CO. % BRAUN MGMT.,225 BROADWAY CO. % BRAUN MGMT.,212 349-2154,CB590103K,8/17/14,ROCKMILLS MP-500 (EXSTG),1,16.70,2003,5 to 10 years old,2038,ICI DEG-210P  (NEW),#6,82405,57683,12361,8653,Yes,2018,Office Buildings,1,101,480831,1,44,0,146,1927,NO,NO,"225 BROADWAY
Manhattan, New York 10007
(40.71179818389368, -74.00832790749928)","160 BROADWAY, NEW YORK NY 10038"
1000890001,139 FULTON STREET,10038,Manhattan,Con Edison,SMALL COMMERCIAL PROPERTY OWNERS,SMALL COMMERCIAL PROPERTY OWN.,212 292-2707,CB296100P,1/17/14,BABCOX&WILCOX-TYPE H-3 STIRLING,2,11.86,2000,5 to 10 years old,2035,(NEW)ICI DEG-84P,#6,45825,32077,6874,4812,Yes,2019,Office Buildings,1,101,100000,1,12,0,149,1900,NO,NO,"139 FULTON STREET
Manhattan, New York 10038
(40.71036810480511, -74.00789681623553)","139 FULTON STREET (SUITE 310A), MANHATTAN N.Y. 10038"
1000900014,5 BEEKMAN STREET,10038,Manhattan,Con Edison,LARSAN HOLDING CORP.,LARSAN HOLDING CORP.,212-564-3194 EXT.114,CA062998N,2/26/14,(EXIST)FEDERAL  FST-200,1,7.70,1998,11 to 15 years old,2033,(NEW)IRON FIREMAN  EED-GO-6 8.5,#6,58400,40880,8760,6132,Yes,2020,Office Buildings,1,101,128220,3,10,0,77,1900,NO,NO,"5 BEEKMAN STREET
Manhattan, New York 10038
(40.7113743084501, -74.00672951628499)","1220 BROADWAY, MANHATTAN NY 10001"
1000907501,15 PARK ROW,10038,Manhattan,Con Edison,UNITED ENTERPRISES LTD.,PARK ROW REALTY,x,CA110192H,8/15/13,FEDERAL FST-600,1,24.22,1992,16 to 20 years old,2027,ICI DEG-252 (P),#6,75688,52981,11353,7947,Yes,2020,Condominiums,1,101,336447,1,29,2,5,1896,YES,NO,"15 PARK ROW
Manhattan, New York 10038
(40.71141147542107, -74.007950192247)","80 BROAD ST 29th STREET, MANHATTAN NY 10004"
1000907501,15 PARK ROW,10038,Manhattan,Con Edison,PARK ROW REALTY,PARK ROW REALTY,x,CA082684Z,8/23/14,FEDERAL FST-600,1,21.00,1984,26 to 30 years old,2019,JOHNSON RD 68 CAHM-500,#6,81000,56700,12150,8505,Yes,2020,Condominiums,1,101,336447,1,29,2,5,1896,YES,NO,"15 PARK ROW
Manhattan, New York 10038
(40.71141147542107, -74.007950192247)","80 BROAD STREET,29th FL., MANHATTAN NY 10004"
1000920030,132 NASSAU STREET,10038,Manhattan,Con Edison,J.W. REALTY CO.,J.W. REALTY CO.LLC,212-964-3180,CA533385Z,5/29/14,PACIFIC 47L2,2,5.02,1985,21 to 26 years old,2020,INDUSTRIAL COMBUSTION MMG-34(P),#4,37559,26291,5446,3812,Yes,2022,Office Buildings,1,101,96412,2,14,0,61,1925,NO,NO,"132 NASSAU STREET
Manhattan, New York 10038
(40.711096166606744, -74.00656872539004)","15 MAIDEN LANE, MANHATTAN NY 10038"
1001240004,9 PARK PLACE,10007,Manhattan,Con Edison,11 PK PLACE ASS/WM ESTATE,11 PK PLACE ASS/WMC/O GVA WILLIAMS,212-716-3646,CA308184L,7/2/15,ROCKMILLS MP 400,1,16.50,1984,26 to 30 years old,2019,HEVE DEG-175,#6,114975,80483,17246,12072,Yes,2014,Office Buildings,1,101,205000,1,18,0,60,1927,NO,NO,"9 PARK PLACE
Manhattan, New York 10007
(40.71289535676942, -74.00839985326161)","380 MADISON AVE 3RD FLOOR, MANHATTAN NY 10017"
1001260013,53 PARK PLACE,10007,Manhattan,Con Edison,53 PARK PLACE REALTY CO.,ROSA ASSOC./HECTOR JUAREZ,212 227-5233,CA345683Z,4/6/14,FEDERAL #FST-175,1,7.30,1983,26 to 30 years old,2018,INDUST COMBUS #DEG-84-P,#6,70263,49184,7050,4935,Yes,2016,Elevator Apartments,1,101,138600,1,12,115,116,1921,NO,NO,"53 PARK PLACE
Manhattan, New York 10007
(40.71374971269722, -74.01028842952314)","200 MADISON AVE, MANHATTAN NY 10016"
1001280026,125 BARCLAY STREET,10007,Manhattan,Con Edison,DISTRICT COUNCIL 37 BENEF TRUST,DISTRICT COUNCIL 37 BENEFIT TRUST,212-815-1445,CA104298P,10/21/13,FEDERAL  FST-250,2,68.20,1998,11 to 15 years old,2033,INDUSTRIAL COMB. DEG 105 P,#6,153092,107164,22404,15683,Yes,2018,Office Buildings,1,101,258000,1,10,0,4,1932,NO,NO,"125 BARCLAY STREET
Manhattan, New York 10007
(40.714289305914804, -74.01305834137338)","125 BARCLAY STREET, MANHATTAN NY 10007"
1001340025,258 BROADWAY,10007,Manhattan,Con Edison,CITY HALL TOWER CORP.,MATTH. ADAM PROP.,212-699-8900,CA249383R,11/14/13,FEDERAL FST 150,1,6.30,1983,26 to 30 years old,2018,I.C.I.DEG-84 P,#6,142569,99798,20942,14659,Yes,2014,Elevator Apartments,1,101,88320,1,8,45,46,1915,NO,YES,"258 BROADWAY
Manhattan, New York 10007
(40.71347092286817, -74.00691597191326)","127 E.59TH STREET 3RD FL., MANHATTAN NY 10022"
1001347503,9 MURRAY STREET,10007,Manhattan,Con Edison,KELLO PROPORTIES INC.,THE FRANKLIN BUILDING CONDO/ABC RLTY.,212-307-0500,CA027576J,7/1/14,ROCKMILLS  MP-175,1,7.35,1976,31 to 35 years old,2011,HEVEOIL  DE-84S,#6,134138,93896,20121,14084,Yes,2014,Condominiums,1,101,111719,1,12,27,28,1900,YES,NO,"9 MURRAY STREET
Manhattan, New York 10007
(40.713313500998105, -74.00763581147339)","152 WEST 57 STREET,FL.#12, MANHATTAN NY 10019"
1001357501,261 BROADWAY,10007,Manhattan,Con Edison,TUDOR REALTY SERVICES,CITY HALL TENANTS CORP. JUDOR REALTY,212 557-3600,CA282094P,3/9/13,FEDERAL/EASTMOND  FST-175,1,6.44,1994,16 to 20 years old,2029,INDUSTRIAL COMB. DEG-84 (P),#6,49275,34493,1380,966,Yes,2015,Condominiums,1,101,117714,1,12,63,64,1915,YES,NO,"261 BROADWAY
Manhattan, New York 10007
(40.71372112056828, -74.00676149787083)","250 PARK AVE S., MANHATTAN NY 10017"
1001370035,90 WEST BROADWAY,10007,Manhattan,Con Edison,THE GERKEN BUILDING .,A SPAULDING ASSOCIATES,718 797-9330,CA081775J,11/15/14,SPENCER 4F450-45,1,3.70,1975,31 to 35 years old,2010,ICI AM6CM,#4,38836,27185,5631,3942,No,NA,Elevator Apartments,1,101,48079,1,14,16,21,1920,NO,NO,"90 WEST BROADWAY
Manhattan, New York 10007
(40.715377485570286, -74.00938910749386)","162 MONTAGUE STREET, BKLYN NY 11201"
1001407505,157 CHAMBERS STREET,10007,Manhattan,Con Edison,GREINER-MALTZ/G.GALLO,GREINER-MALTZ/G.GALLO,212-823-2330,CA079777K,7/1/13,TITISVILLE 227-0,2,10.36,1977,31 to 35 years old,2012,HEVEOIL IND.COMB. DE 105S,#6,102200,71540,15330,10731,Yes,2020,Condominiums,1,101,92408,1,16,38,40,1931,YES,NO,"157 CHAMBERS STREET
Manhattan, New York 10007
(40.71600701099078, -74.0102614498623)","42-12 28TH STREET, LONG ISLAND CIT NY 11101"
1001430021,335 GREENWICH STREET,10013,Manhattan,Con Edison,HANOVER RIVER HOUSE INC., HANOVER RIVER HSE. INC.,212 557-3600,CA176798Y,11/25/13,BEST 5C-125,1,5.30,1998,11 to 15 years old,2033,INDUSTRIAL COMB. DEG-54 (P),#4,57488,40241,8336,5835,Yes,2013,Elevator Apartments,1,101,55800,1,13,28,29,1931,NO,YES,"335 GREENWICH STREET
Manhattan, New York 10013
(40.717967533014644, -74.01052225325077)","250 PARK AVE SOUTH 4TH FIR , NEW YORK  NY 10013"
1001440001,16 HUDSON STREET,10013,Manhattan,Con Edison,ONE HUDSON PARK INC,1 HUDSON PK INC/ANDREW BL. CORP.,212-529-5688,CA028979Z,10/13/13,ROCKMILLS MP-4-162,1,6.40,1979,31 to 35 years old,2014,ICI DE-84-P,#6,75555,52889,11333,7933,Yes,2014,Elevator Apartments,1,101,78306,3,6,25,33,1915,NO,YES,"16 HUDSON STREET
Manhattan, New York 10013
(40.71650163810688, -74.00912830410533)","666 BROADWAY, MANHATTAN NY 10012"
1001440040,60 HUDSON STREET,10013,Manhattan,Con Edison,HUDSON TELEGRAPH ASSOC./GVA WILLIAMS,FIRST SERVICE/GVA WILLIAMS,212 619-2890,CA062982Z,2/1/13,ROCKMILLS MP-700,2,28.20,1982,26 to 30 years old,2017,ICI #DEG300P,#6,339810,237867,45300,31710,Yes,2014,Office Buildings,1,101,802000,1,23,0,144,1936,NO,NO,"60 HUDSON STREET
Manhattan, New York 10013
(40.7179137270873, -74.00886969787321)","60 HUDSON STREET, MANHATTAN NY 10013"
1001450012,125 CHAMBERS STREET,10007,Manhattan,Con Edison,ENF. 11/20/92,HOLD BOUNCED CHECK,212-243-7700,CA475970R,4/11/14,ROCKMILLS MP-60,1,2.50,1970,36 - 40 year old,2010,HEV-E-OIL AM 4 12 DH,#4,26280,18396,3811,2667,No,NA,Hotels,1,101,39075,1,7,0,6,1920,NO,NO,"125 CHAMBERS STREET
Manhattan, New York 10007
(40.71539547201087, -74.00888548715744)","999999999999 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX, XXXXXXXXXXXXXXX XX 99999"
1001477508,200 CHURCH STREET,10013,Manhattan,Con Edison,200 CHURCH ST ASSOCIATES,200 CHURCH ST ASSOCIATES,212 354 3600,CA367688P,5/18/13,FEDERAL FST 70SP,1,2.94,1988,21 to 26 years old,2023,ICI MEG34P,#6,24638,17246,3696,2587,No,NA,Condominiums,1,101,47441,1,7,20,21,1915,NO,NO,"200 CHURCH STREET
Manhattan, New York 10013
(40.71625602853944, -74.00697479471911)","1407 BROADWAY; SUITE 920, MANHATTAN NY 10018"
1001477509,137 DUANE STREET,10013,Manhattan,Con Edison,STELLAR MGMT INC,R.A. COHEN & ASSOCIATES  SIUTE1250,212 972-5900,CA258691N,1/4/13,FEDERAL  FST-100,1,4.10,1991,16 to 20 years old,2026,HEVE  MMG 42 P,#4,20250,14175,2936,2055,Yes,2017,Condominiums,1,101,74927,1,5,19,24,1915,YES,NO,"137 DUANE STREET
Manhattan, New York 10013
(40.7163487533619, -74.00777932106143)","60 EAST 42ND STREET , MANHATTAN NY 10165"
1001480015,40 WORTH STREET,10013,Manhattan,Con Edison,NEWMARK & CO REAL ESTATE.,NEWMARK KNIGHT FRANK/ED CAMUZO,212 625 6212,CA159781N,12/11/13,ROCKMILLS  #MP 600,2,24.22,1981,26 to 30 years old,2016,HEVE DEG 252 P,#6,303041,212129,44348,31043,Yes,2018,Office Buildings,1,101,702815,1,20,0,10,1929,NO,NO,"40 WORTH STREET
Manhattan, New York 10013
(40.71734700081447, -74.00691597191326)","594 BROADWAY RM# 311, MANHATTAN NY 10012"
1001490033,277 BROADWAY,10007,Manhattan,Con Edison,CHAMBERS COMPANY LLC.,CHAMBERS COMPANY LLC.,212 233-5688,CA172980M,3/28/15,FEDERAL FST 150,1,5.80,1980,26 to 30 years old,2015,HEVEOIL DEG 63,#4,41500,29050,6018,4212,Yes,2019,Office Buildings,1,101,93615,1,18,0,40,1900,NO,NO,"277 BROADWAY
Manhattan, New York 10007
(40.71440038612696, -74.00621245700955)","277 BROADWAY, MANHATTAN NY 10007"
1001500031,299 BROADWAY,10007,Manhattan,Con Edison,OLDMSTEAD PROPERTIES,OLMSTEAD PROPERTIES,212-233-2662,CA224486Z,9/15/12,ROCKMILLS MP350,1,14.70,1986,21 to 26 years old,2021,ICI DEG 145P,#4,108576,76003,15950,11165,Yes,2020,Office Buildings,1,101,253033,1,18,0,97,1910,NO,NO,"299 BROADWAY
Manhattan, New York 10007
(40.715017756758584, -74.00564792785195)","299 BROADWAY, MANHATTAN NY 10007"
1001500038,291 BROADWAY,10007,Manhattan,Con Edison,291 B'WAY RLTY ASSOC.,291 B'WAY RLTY ASSOC.,212 997-1234,CA429887Z,7/13/12,FEDERAL FST 200 SP,1,8.20,1987,21 to 26 years old,2022,INDUSTRIAL COMBUSTION MEG 84 P,#6,49275,34493,7391,5174,Yes,2020,Office Buildings,1,101,128940,1,19,0,43,1910,NO,NO,"291 BROADWAY
Manhattan, New York 10007
(40.71481990591212, -74.00580980581725)","291 BROADWAY 19TH FLOOR, MANHATTAN NY 10007"
1001510032,305 BROADWAY,10007,Manhattan,Con Edison,READE BROADWAY ASSOCIATES,H. LIEBLICH & CO ,212-227-2084,CA000983R,6/6/13,ROCKMILLS MP-250,1,10.50,1983,26 to 30 years old,2018,HEV-E DEG-105 P,#6,82125,57487,12319,8623,Yes,2021,Office Buildings,1,101,132600,1,14,0,31,1900,NO,NO,"305 BROADWAY
Manhattan, New York 10007
(40.715377485570286, -74.00533316514174)","470 HEPPERHAL AVE STE 312, YONKERS NY 10701"
1001580009,20 CARDINAL HAYES PLACE,10007,Manhattan,Con Edison,ST. ANDREW CHURCH,ST. ANDREWS CHURCH,212-962-3972,CA120577H,3/13/14,H.B.SMITH 44,2,10.00,1977,31 to 35 years old,2012,HEVE AM4DH  ( I.C.I. ),#4,44676,31273,1450,1015,No,NA,"Churches, Synagogues, etc.",1,101,13500,1,4,0,1,1937,NO,NO,"20 CARDINAL HAYES PLACE
Manhattan, New York 10007
(40.71321911269996, -74.00232942956387)","20 CARDINAL HAYES PLACE, MANHATTAN NY 10007"
1001710001,350 BROADWAY,10013,Manhattan,Con Edison,JEFFREY MANAGEMENT,EXTELL DEVELOPMENT COMPANY ,x,CA213972K,7/1/13,TITUSVILLE  UNKNOWN,1,10.50,1972,36 - 40 year old,2010,PETRO  WD  8 AH,#6,205313,143719,30797,21558,Yes,2021,Office Buildings,1,101,141311,1,12,0,68,1920,NO,NO,"350 BROADWAY
Manhattan, New York 10013
(40.717005258443294, -74.00386727023397)","805 THIRD AVE 7TH FL., MANHATTAN NY 10022"
1001720001,366 BROADWAY,10013,Manhattan,Con Edison,ANDREWS BUILDING CORP.,ANDREWS BUILDING CORP.,x,CA131697X,4/29/13,FEDERAL FST-125,1,5.25,1997,11 to 15 years old,2032,ICI  MMG-54 P,#4,41063,28744,5954,4168,Yes,2022,Elevator Apartments,1,101,93378,1,12,39,40,1920,NO,YES,"366 BROADWAY
Manhattan, New York 10013
(40.717526222862254, -74.00337502489242)","382 LAFAYETTE STREET, MANHATTAN NY 10003"
1001720020,80 LAFAYETTE STREET,10013,Manhattan,Con Edison,ICEBERG DEVELOPMENT%FORKOSH CONST.,LAFAYETTE 80 LLC.,212 219-3800,CB049100P,2/15/13,PACIFIC  9425,1,15.50,2000,5 to 10 years old,2035,IND COMB.  DEG-145 P,#6,52650,36855,7898,5528,Yes,2022,Hotels,1,101,317464,1,17,0,4,1920,NO,NO,"80 LAFAYETTE STREET
Manhattan, New York 10013
(40.717075348785286, -74.00184919764831)","400 BROOME STREET, MANHATTAN N.Y. 10013"
1001730033,93 WORTH STREET,10013,Manhattan,Con Edison,"SNOW PLOW, LLC",SIERRA REALTY,x,CA217667M,4/19/14,TITUSVILLE HRT,2,7.00,1967,41 - 45 years old,2010,ENTERPRISE #H2P,#6,127750,89425,6750,4725,Yes,2013,Office Buildings,1,101,166215,1,13,0,30,1924,NO,NO,"93 WORTH STREET
Manhattan, New York 10013
(40.716347522388666, -74.0045464183252)","12 E.46TH ST. 6th fl., NY NY 10017"
1001737501,66 LEONARD STREET,10013,Manhattan,Con Edison,NEAL FELLENBAUM,CHESSED 241 CO.,212 983 3630,CA050174M,7/2/12,TITUSVILLE HRT,1,8.40,1974,36 - 40 year old,2010,TODD C-1,#6,175200,122640,14783,10348,Yes,2013,Condominiums,1,101,136112,1,14,47,49,1900,YES,NO,"66 LEONARD STREET
Manhattan, New York 10013
(40.71760864380968, -74.00576783537453)","19 RECTOR STREET, MANHATTAN NY 10006"
1001790056,100 HUDSON STREET,10013,Manhattan,Con Edison,100 HUDSON CO%ANDREWS BLG.,100 HUDSON CO%ANDREWS BLG,212 529-5688,CA022492J,3/4/13,FEDERAL FST-100 (EXG),1,4.20,1992,16 to 20 years old,2027,ICI  MMG-42 (P) (NEW),#4,31755,22229,4604,3223,Yes,2019,Elevator Apartments,1,101,73954,1,10,47,49,1919,NO,YES,"100 HUDSON STREET
Manhattan, New York 10013
(40.71914564487304, -74.0086966295313)","100 HUDSON ST., MANHATTAN NY 10012"
1001790066,139 FRANKLIN STREET,10013,Manhattan,Con Edison,139 141 FRANKIN ST RTY.,SOFIA BROTHERS INC.,212-873-3600,CA187482L,11/12/12,ROCKMILLS MP 80,1,3.10,1982,26 to 30 years old,2017,ICI MM 34,#4,16500,11550,2393,1675,Yes,2019,Loft Buildings,1,101,56384,1,10,0,11,1915,NO,NO,"139 FRANKLIN STREET
Manhattan, New York 10013
(40.71914564487304, -74.00730268038586)","475 AMSTERDAM AVENUE, MANHATTAN NY 10024"
1001817504,99 HUDSON STREET,10013,Manhattan,Con Edison,JANOFF & OLSHAN.INC.,JANOFF & OLSHAN AGENCY,212-362-5822,CA304584M,11/3/14,ROCKMILLS MP200,1,7.80,1984,26 to 30 years old,2019,ICI-DEG 84P,#6,54760,38332,8250,5775,Yes,2021,Condominiums,1,101,133010,1,16,0,6,1930,YES,NO,"99 HUDSON STREET
Manhattan, New York 10013
(40.71907369911071, -74.00877756851395)","654 MADISON AVE, NEW YORK NY  10065"
