Standard Code,Standard Name,Standard Agency Address,Standard Reference Number,Standard Title,Reference Code Section Number
ASTM,ASTM International,"102 Barr Harbor Drive
West Conshohocken, PA 19428-2959",D 92—01,Test Method for Flash and Fire Points by Cleveland Open Cup,"3401.1, 3402.1"
ASTM,ASTM International,"103 Barr Harbor Drive
West Conshohocken, PA 19428-2959",D 93—00,Test Method for Flash Point by Pensky-Martens Closed Up Tester,3402.1
ASTM,ASTM International,"104 Barr Harbor Drive
West Conshohocken, PA 19428-2959",D 323—99a,Test Method for Vapor Pressure of Petroleum Products (Reid Method),2702.1
ASTM,ASTM International,"105 Barr Harbor Drive
West Conshohocken, PA 19428-2959",D 3278—96e01,Test Methods for Flash Point of Liquids by Small Scale Closed-Cup Apparatus,3402.1
ASTM,ASTM International,"106 Barr Harbor Drive
West Conshohocken, PA 19428-2959",E 681—01,Test Method for Concentration Limits of Flammability of Chemicals (Vapors and Gases),3502.1
ASTM,ASTM International,"107 Barr Harbor Drive
West Conshohocken, PA 19428-2959",E 1529—00,Test Method for Determining Effects of Large Hydrocarbon Pool Fires on Structural Members and Assemblies,3404.2.9.1.3
ASTM,ASTM International,"108 Barr Harbor Drive
West Conshohocken, PA 19428-2959",E 1537—01,Test Method for Fire Testing of Upholstered Furniture,803.5.2
ASTM,ASTM International,"109 Barr Harbor Drive
West Conshohocken, PA 19428-2959",E 1590—01,Test Method for Fire Testing of Mattresses,"803.5.3, 803.6.3, 803.7.4"
CGA,Compressed Gas Association,"1725 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",C-7—(2000),Guide to the Preparation of Precautionary Labeling and Marking of Compressed Gas Containers,"3003.2.2, 3203.4.2"
CGA,Compressed Gas Association,"1726 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",G-8.1—(1990),Nitrous Oxide Systems at Consumer Sites,4001.1.4
CGA,Compressed Gas Association,"1727 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",P-1—(2000),Safe Handling of Compressed Gases in Containers,3005.7
CGA,Compressed Gas Association,"1728 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",P-18—(1992),Standard for Bulk Inert Gas Systems at Consumer Sites,3201.1.3
CGA,Compressed Gas Association,"1729 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",S-1.1—(1994),Pressure Relief Device Standards—Part 1—Cylinders for Compressed Gases,3203.2
CGA,Compressed Gas Association,"1730 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",S-1.2—(1995),Pressure Relief Device Standards—Part 2—Cargo and Portable Tanks for Compressed Gases,3203.2
CGA,Compressed Gas Association,"1731 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",S-1.3—(1995),Pressure Relief Device Standards—Part 3—Stationary Storage Containers for Compressed Gases,3203.2
CGA,Compressed Gas Association,"1732 Jefferson Davis Highway
5th Floor
Arlington, VA 22202-4102",V-1—(2001),Compressed Gas Association Standard Compressed Gas Cylinder Valve Outlet and Inlet Connections,4106.1.3
CPSC,Consumer Product Safety Commission,"4330 East West Highway
Bethesda, MD 20814",16 CFR Section 1500.41,Method for Testing Primary Irritant Substances,202
CPSC,Consumer Product Safety Commission,"4331 East West Highway
Bethesda, MD 20814",16 CFR Section 1500.42,Test for Eye Irritants,202
CPSC,Consumer Product Safety Commission,"4332 East West Highway
Bethesda, MD 20814",16 CFR Section 1500.44,Method for Testing Extremely Flammable and Flammable Solids,3602.1
DOC,U.S. Department of Commerce,"100 Bureau Drive, Stop 3460
Gaithersburg, MD 20899",16 CFR Part 1632,"Standard for the Flammability of Mattress and Mattress Pads (FF 4—72, Amended)","803.6.2, 803.7.3"
DOJ,U.S. Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives
c/o Superintendent of Documents
U.S. Government Printing Office
Washington, DC 20402-9325",27 CFR Part 555,Commerce in Explosives,"3302.1, Table 3304.5.2(1), 3304.6.5.3"
DOL,U.S. Department of Labor,"c/o Superintendent of Documents
U.S. Government Printing Office
Washington, DC 20402-9325",29 CFR Section 1910.1000,Air Contaminants,"1204.2.1, 2702.1"
DOL,U.S. Department of Labor,"c/o Superintendent of Documents
U.S. Government Printing Office
Washington, DC 20402-9326",29 CFR Section 1910.1200,Hazard Communication,"2702.1, 3303.6"
DOTn,U.S. Department of Transportation,"Office of Hazardous Material Standards
400 7th Street, Southwes
tWashington, DC 20590",49 CFR,Transportation,2605.4
DOTn,U.S. Department of Transportation,"Office of Hazardous Material Standards
400 7th Street, Southwes
tWashington, DC 20591",49 CFR Section 173.52,Transportation,3302.1
DOTn,U.S. Department of Transportation,"Office of Hazardous Material Standards
400 7th Street, Southwes
tWashington, DC 20592",49 CFR Part 178,Transportation,"3203.4.3, 3203.8"
DOTn,U.S. Department of Transportation,"Office of Hazardous Material Standards
400 7th Street, Southwes
tWashington, DC 20593",49 CFR Part 172,"Hazardous Materials Tables, Special Provisions, Hazardous Materials Communications, Emergency Response Information and Training Requirements",3304.6.5.3
DOTn,U.S. Department of Transportation,"Office of Hazardous Material Standards
400 7th Street, Southwes
tWashington, DC 20594",49 CFR Sections 173.136 & 137,Shippers — General Requirements for Shipments and Packagings: Class 8 — Assignment of Packing Group,3102.1
DOTn,U.S. Department of Transportation,"Office of Hazardous Material Standards
400 7th Street, Southwes
tWashington, DC 20595",49 CFR Parts 100-178,Hazardous Materials Regulations,"3301.3, 3406.5.1.15"
NEMA,National Electrical Manufacturer’s Association,"1300 N. 17th Street
Suite 1847
Rosslyn, VA 22209",250—1997,"Enclosures for Electrical Equipment (1,000 Volt Maximum)",3705.2
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02269",10—07,Portable Fire Extinguishers,"Table 901.6.1, 906.2, 906.2.1.2, 906.2.1.3, 906.3, Table 906.3(1), Table 906.3(2), 2106.3"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02270",11—02,Low Expansion Foam,"904.7, Table 901.6.1, 3404.2.9.1.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02271",11A—99,Medium- and High-Expansion Foam Systems,"904.7, 3404.2.9.1.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02272",12—02,Carbon Dioxide Extinguishing Systems.,"Table 901.6.1, 904.8"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02273",12A—97,Halon 1301 Fire Extinguishing Systems,"Table 901.6.1, 904.9"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02274",13—02,Installation of Sprinkler Systems.,"314.5.1, 2301.1, 2304.2, Table 2306.2, 2306.9, 2307.2, 2307.2.1, 2308.2, 2308.2.2, 2308.2.2.1, 2308.4, 2310.1, 2804.1, 3404.3.3.9, Table 3404.3.6.3(7), 3404.3.7.5.1, 3404.3.8.4"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02275",13R—02,Installation of Sprinkler Systems in Residential Occupancies up to and Including Four Stories in Height,"903.4, 903.6"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02276",16—03,Installation of Foam-Water Sprinkler and Foam-Water Spray Systems,904.7
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02277",17—02,Dry Chemical Extinguishing Systems,"Table 901.6.1, 904.6"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02278",17A—02,Wet Chemical Extinguishing Systems,"Table 901.6.1, 904.5"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02279",20—99,Installation of Stationary Pumps for Fire Protection,"913.1, 913.2, 913.5.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02280",22—98,Water Tanks for Private Fire Protection.,508.2.2
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02281",24—07,Installation of Private Fire Service Mains and their Appurtenances,508.2.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02282",25—02,"Inspection, Testing and Maintenance of Water-Based Fire Protection Systems","508.5.3, Table 901.6.1, 901.6.2.1, 905.12, 912.6, 913.5, 914.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02283",30—00,Flammable and Combustible Liquids Code,"3403.6.2, 3404.2.7, 3404.2.7.1, 3404.2.7.2, 3404.2.7.3.6, 3404.2.7.4, 3404.2.7.6, 3404.2.7.7, 3404.2.7.8, 3404.2.7.9, 3404.2.9.2, 3404.2.9.3, 3404.2.9.5.1.1, 3404.2.9.5.1.2, 3404.2.9.5.1.3, 3404.2.9.5.1.4, 3404.2.9.5.1.5, 3404.2.9.5.2, 3404.2.9.6.4, 3404.2.10.2, 3404.2.11.4, 3404.2.11.5.2, 3404.2.12.1, 3404.3.1, 3404.3.6, 3404.3.8.4, 3406.8.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02284",30A—00,Code for Motor Fuel-Dispensing Facilities and Repair Garages,"2201.4, 2201.5, 2201.6, 2206.6.3, 2210.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02285",30B—02,Manufacture and Storage of Aerosol Products,"2801.4, 2804.1, 2804.3, Table 2804.3.1, Table 2804.3.2, Table 2804.3.2.2, 2804.4.1, 2804.5.2, 2804.6, Table 2806.2, Table 2806.3, 2806.5, 2806.8, Table 2804.3.2, Table 2804.3.2.2, 2804.4.1, 2804.5.2, 2804.6, Table 2806.2, Table 2806.3"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02286",32—00,Drycleaning Plants,1207.0999999999999
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02287",33—00,Spray Application Using Flammable or Combustible Materials,1504.1.2
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02288",34—00,Dipping and Coating Processes Using Flammable or Combustible Liquids,"1505.3, 1505.6.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02289",35—99,Manufacture of Organic Coatings,"2001.3, 2005.4"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02290",40—01,Storage and Handling of Cellulose Nitrate [Motion Picture]Film,306.2
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02291",45—04,Fire Protection for Laboratories Using Chemicals,"2706.2, 2706.6.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02292",50—01,Bulk Oxygen Systems at Consumer Sites,"1406.2.2.5, 3201.1.1, Table 3504.2.1, Table 3809.12, 4001.1.4"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02293",50A—99,Gaseous Hydrogen Systems at Consumer Sites,"2209.2.1, 3501.1.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02294",50B—99,Liquefied Hydrogen Systems at Consumer Sites.,"2209.2.1, 3201.1.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02295",51—02,"Design and Installation of Oxygen-Fuel Gas Systems for Welding, Cutting, and Allied Processes","601.5, 2609.1, Table 3504.2.1, Table 3809.12"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02296",52—98,Compressed Natural Gas (CNG) Vehicular Fuel Systems,3001.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02297",58—01,Liquefied Petroleum Gas Code,"3801.1.1, 3803.1, 3803.2.1, 3803.2.1.2, 3803.2.2, 3807.2, 3808.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02298",61—99,Prevention of Fires and Dust Explosions in Agricultural and Food Products Facilities,Table 1304.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02299",69—97,Explosion Prevention Systems,"911.1, 911.3, Table 1304.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02300",72—02,National Fire Alarm Code,"509.1, Table 901.6.1, 907.2, 907.15, 907.17, 907.18, 907.20, 907.20.2, 907.20.3, 907.20.5, 908.10, 908.10.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02301",77—00,Static Electricity,3406.8.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02302",80—99,Fire Doors and Fire Windows,703.2
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02303",85—01,Boiler and Combustion System Hazards Code,Table 1304.1 (Note: NFPA 8503 has been incorporated into NFPA 85)
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02304",86—99,Ovens and Furnaces,2101.3000000000002
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02305",99—05,Health Care Facilities,"3005.7, 3006.4"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02306",110—99,Emergency and Standby Power Systems,604.4
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02307",111—01,Stored Electrical Energy Emergency and Standby Power systems,604.4
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02308",120—99,Coal Preparation Plants,Table 1304.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02309",160—01,Flame Effects Before an Audience,"308.3.6, 3309.17"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02310",231D—98,Storage of Rubber Tires.,"2501.1.1, 2505.3"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02311",241—00,"Safeguarding Construction, Alteration, and Demolition Operations",1401.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02312",260—98,Methods of Tests and Classification System for Cigarette Ignition Resistance of Components of Upholstered Furniture,"803.6.1, 803.7.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02313",261—98,Method of Test for Determining Resistance of Mock-Up Upholstered Furniture Material Assemblies to Ignition by Smoldering Cigarettes,803.5.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02314",266—98,Method of Test for Fire Characteristics of Upholstered Furniture Exposed to Flaming Ignition Source,803.5.2
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02315",267—98,Method of Test for Fire Characteristics of Mattresses and Bedding Assemblies Exposed to Flaming Ignition Source.,"803.5.3, 803.6.3, 803.7.4"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02316",407—96,Aircraft Fuel Servicing,"1106.2, 1106.3"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02317",430---00,Storage of Liquid and Solid Oxidizers ,4004.1.4
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02318",484—02,"Combustible Metals, Metal Powders, and Metal Dusts","Table 1304.1, 3603.2, 3604.1, 3604.2, 3605.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02319",490—98,Storage of Ammonium Nitrate,"4001.1.3, 3301.1.5"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02320",495—96,Explosive Materials Code,"911.1, 911.4, 3302.1, 3304.3, 3304.6.2, 3304.6.3, 3304.7.1, 3306.1, 3307.1, 3307.11"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02321",498—96,Safe Havens and Interchange Lots for Vehicles Transporting Explosives,3301.3.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02322",505—99,"Powered Industrial Trucks, Including Type Designations, Areas of Use, Maintenance, and Operation","309.1.1, 2703.7.3"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02323",654—00,"Prevention of Fire and Dust Explosions from the Manufacturing, Processing and Handling of Combustible Particulate Solids",Table 1304.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02324",655—93,Prevention of Sulfur Fires and Explosions,Table 1304.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02325",701—99,Standard Methods of Fire Tests for Flame-Propagation of Textiles and Films,"202, 306.3, 802.1,.803.2.2, 805.1, 805.1.3, 2404.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02326",704—96,Identification of the Hazards of Materials for Emergency Response,"606.9.3.4, 1802.1, 2702.1, 2703.2.2.1, 2703.2.2.2, 2703.5, 2703.10.2, 2703.10.4, 2705.1.10, 2705.2.1.1, 3203.4.1, 3404.2.3.2"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02327",750—00,Standard on Water Mist Fire Protection Systems,"Table 901.6.1, 904.12"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02328",780—00,Installation of Lightning Protection Systems,3406.8.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02329",1122—97,Model Rocketry,3301.3.6
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02330",1123—00,Fireworks Display,"3302.1, 3308.1, 3308.5, 3308.6.1"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02331",1124—98,"Manufacture, Transportation, and Storage of Fireworks and Pyrotechnic Articles","3302.1, 3304.3"
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02332",1125—95,Manufacture of Model Rocket and High Power Rocket Motors,3301.1.4
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02333",1126—01,Use of Pyrotechnics Before a Proximate Audience,3309.1
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02334",1127—98,High Power Rocketry,3301.1.4
NFPA,National Fire Protection Association,"Batterymarch Park
Quincy, MA 02335",2001—04,Clean Agent Fire Extinguishing Systems,"Table 901.6.1, 904.10, 904.10.7"
UL,"Underwriters Laboratories, Inc.","333 Pfingsten Road
Northbrook, IL 60062",30—95,Metal Safety Cans—with Revisions through 2000,"2703.8.7.1, 2705.1.10, 3405.2.4"
UL,"Underwriters Laboratories, Inc.","334 Pfingsten Road
Northbrook, IL 60062",300—96,Fire Testing of Fire Extinguishing Systems for Protection of Restaurant Cooking Areas—with Revisions through December 1998,904.11
UL,"Underwriters Laboratories, Inc.","335 Pfingsten Road
Northbrook, IL 60062",900—94,Air Filter Units—with Revisions through October 1999,1504.3
UL,"Underwriters Laboratories, Inc.","336 Pfingsten Road
Northbrook, IL 60062",1275—94,Flammable Liquid Storage Cabinets—with Revisions through March 1997,"805.2.1, 2703.8.7.1, 3404.3.2.1.1"
UL,"Underwriters Laboratories, Inc.","337 Pfingsten Road
Northbrook, IL 60062",1975—96,Fire Tests for Foamed Plastics Used for Decorative Purpose,"803.2.1, 805.2.1"
UL,"Underwriters Laboratories, Inc.","338 Pfingsten Road
Northbrook, IL 60062",2085—97,Protected Aboveground Tanks for Flammable and Combustible Liquids—with Revisions through December 1999,"2202.1, 3402.1, 3404.2.9.1.3, 3404.2.9.6.5, 3405.3.8.2"
UL,"Underwriters Laboratories, Inc.","339 Pfingsten Road
Northbrook, IL 60062",2208—96,Solvent Distillation Units—with Revisions through March 1999,3405.4.1
