AGN,AGENCY NAME, FY 2002 Actual , FY 2003 Actual , FY 2004 Actual , FY 2005 Actual , FY 2006 Actual , FY 2007 Actual , FY 2008 Actual , FY 2009 Actual ,FY 2010 Actual,FY 2011 Plan,FY 2012 Plan,FY 2013 Plan,FY 2014 Plan,FY 2015 Plan,EXPENSE ($ IN THOUSANDS) - CITY FUNDS
226,Commission on Human Rights,3192,3222,2828,2590,2457,2683,2506,2496,2308,2763,2860,2860,2860,2860,
260,Youth & Community Development,93682,89979,115124,126952,180391,210724,259368,254942,220245,223475,157422,146239,146239,146239,
312,Conflicts of Interest Board,1624,1547,1438,1423,1435,1741,1882,1898,1909,2023,1988,1988,1988,1988,
313,Office of Collective Barg.,1330,1378,1411,1456,1534,1634,1671,1690,1831,1945,1946,1947,1947,1947,
499,Community Boards (All),11407,11531,11940,12285,13007,13131,13601,13882,13931,14719,14570,14570,14570,14570,
781,Department of Probation,59297,54502,56678,60587,60637,62434,64131,62980,62683,62187,59658,56597,56693,56799,
801,Dept. Small Business Services,88085,18957,36452,31075,38369,55308,75386,75404,53278,70610,65687,56998,49373,44085,
806,Housing Preservation & Dev.,64788,57099,56286,53362,68516,74217,75273,74461,68171,68318,52028,51238,51165,51165,
810,Department of Buildings,55750,57445,57770,64240,81467,87086,99387,109677,101530,99218,89665,89665,89683,89665,
816,Dept Health & Mental Hygiene,448564,518861,555913,539751,587106,589107,570456,656111,641651,607536,578213,576186,576279,576488,
817,Dept of Mental Health,84754,0,0,0,0,0,0,0,0,0,0,0,0,0,
819,Health and Hospitals Corp.,826437,826571,818027,997358,1469669,663259,128181,94268,88756,59317,81914,81245,81245,81245,
820,Office of Administrative Trials and Hearings,0,0,0,0,0,0,0,0,0,26566,26567,26566,26566,26566,
826,Dept of Environmental Prot.,626224,655668,661119,704929,757796,808320,849897,907759,1138928,958454,926953,922696,922696,922696,
827,Department of Sanitation,909921,956840,965605,1009084,1049104,1144784,1206386,1221933,1267964,1362844,1268962,1311081,1394700,1394782,
829,Business Integrity Commission,2627,4680,4378,4816,4957,5135,5771,6264,6914,7360,7305,7232,7232,7232,
836,Department of Finance,179816,176556,201277,197565,196201,200698,210240,218656,224716,219270,217099,215860,215866,215616,
841,Department of Transportation,271260,255506,280376,300156,337331,358108,421804,457419,434353,416823,417976,437217,441793,441793,
846,Dept of Parks and Recreation,167554,159653,184256,202613,221867,250150,277209,279250,273753,258730,222104,230141,230395,230479,
850,Dept. of Design & Construction,27269,6436,0,0,3235,4671,7579,9360,3671,6182,6012,6538,6538,6538,
856,Dept of Citywide Admin Srvces,162231,143601,136922,150719,153615,179008,195882,216716,218360,201084,194736,200306,200123,199940,
858,D.O.I.T.T.,53505,70636,82440,101330,107867,132641,179365,220647,219914,248601,252523,251976,249150,249728,
860,Dept of Records & Info Serv.,3303,3386,3698,3678,3886,4078,5178,5278,4740,4873,4875,5214,5214,5214,
866,Department of Consumer Affairs,12258,12153,11800,12934,12781,15398,17052,18506,17425,19253,19889,19253,19339,19253,
901,District Attorney - N.Y.,67086,63777,66875,64975,68466,71183,74669,74574,82882,77501,71904,71904,71904,71904,
902,District Attorney - Bronx,38992,35897,36601,37902,38857,41163,43715,43263,45749,44624,41709,41709,41709,41709,
903,District Attorney - Kings,71802,61516,61269,66247,67447,70429,73589,73393,78033,73641,71224,71224,71224,71224,
904,District Attorney - Queens,35201,32592,34698,34351,35567,37909,40364,40715,43733,43776,42199,42199,42199,42199,
905,District Attorney - Richmond,6045,5431,5765,5902,5958,6591,7231,7235,7671,7551,7036,7036,7036,7036,
906,Off. of Prosec. & Spec. Narc.,13986,12920,13490,13511,14141,15066,16105,15725,16904,15986,15201,15201,15201,15201,
941,Public Administrator - N.Y.,915,992,964,1030,1086,1104,1143,1148,1168,1268,1156,1156,1156,1156,
942,Public Administrator - Bronx,329,331,320,308,317,429,418,508,426,499,425,425,425,425,
943,Public Administrator- Brooklyn,439,419,403,356,454,501,536,493,549,605,526,526,526,526,
944,Public Administrator - Queens,343,344,344,350,414,408,421,436,424,473,400,400,400,400,
945,Public Administrator -Richmond,237,223,234,269,339,348,362,365,376,380,307,307,307,307,
989,Prior Payable Adjustment,-415258,-116736,-329305,-225859,-453518,-514796,-398740,-452765,-854415,-500000,0,0,0,0,
991,General Reserve,0,0,0,0,0,0,0,0,0,100000,300000,300000,300000,300000,
992,IT Efficiency Savings,0,0,0,0,0,0,0,0,0,-4407,-8294,-8794,-8794,-8794,
995,Energy Adjustment,0,0,0,0,0,0,0,0,0,29693,72118,119904,143774,164077,
996,Lease Adjustment,0,0,0,0,0,0,0,0,0,0,23642,85344,136982,140328,
998,OTPS Inflation Adjustment,0,0,0,0,0,0,0,0,0,0,0,55519,111038,166557,
,Prepayment Adjustment,-2263063,736774,705916,1805707,372197,1955308,1602961,-2496716,-1892941,-495187,-3150956,0,0,0,
,CITYWIDE TOTAL - CITY FUNDS,26567530,29935872,32575659,36947706,38370484,42697117,43931949,40960288,41868262,44270617,46765834,52911965,54414011,56362196,
