TYPE,APPROVAL STATUS,TRADE NAME,BUS NAME,MAILING OFFICE,MAIL CITY,State,Zip
CL.2-EXEMPT,APPROVED,A & A CONSTRUCTION AND MANAGEMENT CORP,A & A CONSTRUCTION AND MANAGEMENT CORP,117-23 134TH STREET,SOUTH OZONE PARK,NY,11420
LICENSE,DENIED,A & D CARTING CORP.,A & D CARTING CORP.,1270 SAW MILL RIVER ROAD,YONKERS,NY,10710
CL.2-EXEMPT,APPROVED,A & G PLASTERING AND TILES CORP.,A & G PLASTERING AND TILES CORP.,1601 BRONXDALE AVE  SUITE 201,BRONX,NY,10462
CL.1,APPROVED,A & J LANDSCAPING OF STATEN ISLAND INC.,A & J LANDSCAPING OF STATEN ISLAND INC.,348 ELVERTON AVENUE,STATEN ISLAND,NY,10308
CL.1,APPROVED,"A & M IMBRIANO LANDSCAPING, INC.","A & M IMBRIANO LANDSCAPING, INC.",153-16 80TH STREET,HOWARD BEACH,NY,11414
LICENSE,APPROVED,"A & R LOBOSCO RECYCLING, INC.","A & R LOBOSCO RECYCLING, INC.",31 - 33 FARRINGTON STREET,FLUSHING,NY,11354
CL.1,APPROVED,A & S WHITESTONE NURSERY INC.,A & S WHITESTONE NURSERY INC.,23-02 FRANCIS LEWIS BLVD.,WHITESTONE,NY,11357
LICENSE,APPROVED,A A A SHREDDING LLC,A A A SHREDDING LLC,P O BOX 50,RIDGEWOOD,NJ,7450
CL.1,APPROVED,A FRESH LANDSCAPE CORP,A FRESH LANDSCAPE CORP,82 SHARPE AVE 2ND FLOOR,STATEN ISLAND,NY,10302
CL.2-EXEMPT,APPROVED,A PLUS CONCRETE AND PAVERS GROUP LLC,A PLUS CONCRETE AND PAVERS GROUP LLC,10 MALLOW STREET,STATEN ISLAND,NY,10309
CL.2-EXEMPT,APPROVED,A REAL ADVANTAGE INC.,A REAL ADVANTAGE INC.,P.O. BOX 580066,FLUSHING,NY,11358
CL.1,APPROVED,ANTONIO SALERNO,A SALERNO CUSTOM & EXOTIC LANDSCAPING,95-06  157 AVENUE,HOWARD BEACH,NY,11414
CL.1,APPROVED,A&C LANDSCAPING & LAWN CARE OF S.I.,A&C LANDSCAPING & LAWN CARE OF S.I.,11 BRIARWOOD AVE,ATLANTIC HIGHLANDS,NJ,7716
LICENSE,APPROVED,A&L RECYCLING,A&L CESSPOOL SERVICE CORP.,38-40 REVIEW AVENUE,LONG ISLAND CITY.,NY,11101
CL.1,APPROVED,A&M GARDENING SERVICE INC.,A&M GARDENING SERVICE INC.,178 AVENUE P,BROOKLYN,NY,11204
CL.1,APPROVED,"A&S LANDSCAPE DESIGN & CONSULTING, INC.","A&S LANDSCAPE DESIGN & CONSULTING, INC.",151-08 6TH ROAD,WHITESTONE,NY,11357
CL.1,APPROVED,A. BIANCO LANDSCAPING INC.,A. BIANCO LANDSCAPING INC.,660 GULF AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,A. DILEMME CONTRACTING INC.,A. DILEMME CONTRACTING INC.,46 SATTERIE AVENUE,VALLEY STREAM,NY,11580
CL.1,APPROVED,A. IMBRIALE LANDSCAPING,A. IMBRIALE LANDSCAPING,149-59 TAHOE STREET,OZONE PARK,NY,11417
CL.2-EXEMPT,APPROVED,A. MALEK CONTRACTING INC.,A. MALEK CONTRACTING INC.,926 FULTON STREET,BROOKLYN,NY,11238
CL.2-EXEMPT,APPROVED,A. MASTRONARDI INDUSTRIES INC.,A. MASTRONARDI INDUSTRIES INC.,P.O. BOX 370647,BROOKLYN,NY,11237
CL.1,APPROVED,A. MONTEMARANO LANDSCAPING CORP,A. MONTEMARANO LANDSCAPING CORP,1445 72 STREET,BROOKLYN,NY,11228
CL.2-EXEMPT,APPROVED,"A. MORRISON TRUCKING, INC.","A. MORRISON TRUCKING, INC.",834 ROGERS AVENUE,BROOKLYN,NY,11226
CL.1,APPROVED,A. PALMIERI LANDSCAPING CO. INC,A. PALMIERI LANDSCAPING CO. INC,820 SOUTH FULTON AVE.,MOUNT VERNON,NY,10550
CL.2-EXEMPT,APPROVED,A. PETER LUGER CONSTRUCTION INC.,A. PETER LUGER CONSTRUCTION INC.,"94-42 121 STREET, 2ND FLOOR",S. RICHMOND HILL,NY,11419
CL.2-EXEMPT,APPROVED,A. RUSSO WRECKING INC.,A. RUSSO WRECKING INC.,67 EAST AVENUE,LAWRENCE,NY,11559
CL.2-EXEMPT,APPROVED,A. VITALE & SON CONSTRUCTION CORP.,A. VITALE & SON CONSTRUCTION CORP.,2237 E 72ND STREET,BROOKLYN,NY,11234
CL.2-EXEMPT,APPROVED,A.A. DANZO SANITATION INC.,A.A. DANZO SANITATION INC.,131 SCOOTER LANE,HICKSVILLE,NY,11801
CL.2-EXEMPT,DENIED,A.C. CARTING OF NEW YORK INC.,A.C. CARTING OF NEW YORK INC.,1641 RESEACH AVENUE,BRONX,NY,10465
CL.1,APPROVED,A.C.P LANDSCAPING INC.,A.C.P. LANDSCAPING INC.,19 MANILA PLACE,STATEN ISLAND,NY,10306
CL.2-EXEMPT,APPROVED,"A.J.C TRUCKING, INC.","A.J.C TRUCKING, INC.",28 ELISSA LANE,YONKERS,NY,10710
CL.2-EXEMPT,APPROVED,"A.V. MASONRY, INC.","A.V. MASONRY, INC.",4293 RICHMOND AVENUE,STATEN ISLAND,NY,10312
LICENSE,DENIED,A.V.F. CARTING CO. INC.,A.V.F. CARTING CO. INC.,50 2ND AVENUE,GARDEN CITY PARK,NY,11040
LICENSE,DENIED,A-1 MEDICAL WASTE REMOVAL INC.,A-1 MEDICAL WASTE REMOVAL INC.,60 HUNT LANE,STATEN ISLAND,NY,10304
CL.2-EXEMPT,APPROVED,A1RELIABLE INDUSTRIES CORPORATION,A1RELIABLE INDUSTRIES CORPORATION,141C- CENTRAL AVE,FARMINGDALE,NY,11735
LICENSE,APPROVED,AAA ENVIRONMENTAL SERVICES INC.,AAA ENVIRONMENTAL SERVICES INC.,P. O. BOX 338,FLORHAM PARK,NJ,7932
CL.2-EXEMPT,APPROVED,AAC BUILDERS CARTING LLC,AAC BUILDERS CARTING LLC,P O BOX 1031,BAYONNE,NJ,7002
CL.2-EXEMPT,APPROVED,AARCO ENVIRONMENTAL SERVICES CORP,AARCO ENVIRONMENTAL SERVICES CORP,50 GEAR AVE,LINDENHURST,NY,11757
CL.1,APPROVED,AB GARDEN CENTER INC,AB GARDEN CENTER INC,162-24 DEPOT ROAD,FLUSHING,NY,11358
LICENSE,APPROVED,ABC CARTING INC.,ABC CARTING INC.,245 WILSON AVENUE,BROOKLYN,NY,11237
CL.2-EXEMPT,APPROVED,ABC CONSTRUCTION CONTRACTING INC,ABC CONSTRUCTION CONTRACTING INC,36-16 19TH AVENUE,ASTORIA,NY,11105
CL.2-EXEMPT,APPROVED,ABC RESTORATION INC.,ABC RESTORATION INC.,24-29 83RD STREET,E ELMHURST,NY,11370
CL.2-EXEMPT,APPROVED,D/B/A ABCO FACILITY MAINTENANCE,ABCO MAINTENANCE INC.,834 MORROW STREET,STATEN ISLAND,NY,10303
CL.1,APPROVED,A VENTURA LANDSCAPING,ABEL VENTURA,283 ELLERY STREET,BENTWOOD,NY,11717
CL.2-EXEMPT,APPROVED,ABI'S MASONRY INC.,ABI'S MASONRY INC.,274 MORNING STAR ROAD,STATEN ISLAND,NY,10303
CL.2-EXEMPT,APPROVED,ABLE RUBBISH REMOVAL INC.,ABLE RUBBISH REMOVAL INC.,4 SPRUCE DRIVE,E. BRUNSWICK,NJ,8816
CL.2-EXEMPT,APPROVED,PASQUA CONCRETE,ABOVE THE REST BRICK AND CONCRETE CORP.,21 ATLANTA AVENUE,E. WILLISTON,NY,11596
CL.2-EXEMPT,APPROVED,"ABRUZZI CONTRACTING, INC.","ABRUZZI CONTRACTING, INC.",53-80 STATE ROUTE 55,LIBERTY,NY,12754
CL.2-EXEMPT,APPROVED,ABSOLUTE MASONARY INC.,ABSOLUTE MASONARY INC.,313 WEST 259 STREET,BRONX,NY,10471
CL.2-EXEMPT,DENIED,ABSOLUTE TRUCKING INC.,ABSOLUTE TRUCKING INC.,301 MILL ROAD SUITE U6,HEWLETT,NY,11557
CL.2-EXEMPT,DENIED,ABSTRACT EQUIPMENT INC.,ABSTRACT EQUIPMENT INC.,125 HALF MILE RD STE.200,REDBANK,NJ,7707
CL.2-EXEMPT,DENIED,ACA WASTE SERVICES INC.,ACA WASTE SERVICES INC.,40 EAD STREET,WEST BABYLON,NY,11704
LICENSE,APPROVED,ACCELERATED WASTE SYSTEM INC.,ACCELERATED WASTE SYSTEM INC.,278 SECAUCUS ROAD,SECAUCUS,NJ,7094
CL.2-EXEMPT,APPROVED,ACCORD ENTERPRISE CORP.,ACCORD ENTERPRISE CORP.,63 BRYANT AVE,STATEN ISLAND,NY,10306
CL.2-EXEMPT,APPROVED,ACCURA RESTORATION INC.,ACCURA RESTORATION INC.,18-54 42ND STREET,ASTORIA,NY,11105
CL.2-EXEMPT,APPROVED,ACD QUALITY CORP,ACD QUALITY CORP,7125 BERGEN COURT,BROOKLYN,NY,11234
CL.2-EXEMPT,DENIED,ACE CONCRETE PAVING CORP.,ACE CONCRETE PAVING CORP.,P.O. BOX 1789,BRONX,NY,10451
CL.1,APPROVED,"ACE LANDSCAPING SERVICES, INC.","ACE LANDSCAPING SERVICES, INC.",P.O. BOX 622,VALLEY STREAM,NY,11582
CL.2-EXEMPT,APPROVED,"ACME SKILLMAN CONCRETE CO, INC.","ACME SKILLMAN CONCRETE CO, INC.",56-22 58TH STREET,MASPETH,NY,11378
CL.2-EXEMPT,APPROVED,ACO-DEL GROUP CO INC,ACO-DEL GROUP CO INC,143 PROSPECT AVENUE,BROOKLYN,NY,11215
LICENSE,APPROVED,ACTION CARTING ENVIRONMENTAL SERVICES INC.,ACTION CARTING ENVIRONMENTAL SERVICES INC.,P.O.BOX 2698,NEWARK,NJ,7114
LICENSE,DENIED,ACWELL PRIVATE SANITATION SERVICE INC.,ACWELL PRIVATE SANITATION SERVICE INC.,P.O. BOX 389 OLD CHELSEA STATION,NEW YORK,NY,10011
CL.1,APPROVED,ADAMS A&M CORP.,ADAMS A&M CORP.,2641 EAST 6 STREET,BROOKLYN,NY,11235
CL.2-EXEMPT,APPROVED,ADAM'S EUROPEAN CONTRACTING INC.,ADAM'S EUROPEAN CONTRACTING INC.,589 JOHNSON AVENUE,BROOKLYN,NY,11237
CL.2-BROKER,APPROVED,ADM ENVIRONMENTAL GROUP LLC.,ADM ENVIRONMENTAL GROUP LLC.,1370 CONEY ISLAND AVENUE,BROOKLYN,NY,11230
CL.1,APPROVED,ADM LANDSCAPE CORP.,ADM LANDSCAPE CORP.,125-08 84TH RD,KEW GARDENS,NY,11415
CL.2-EXEMPT,APPROVED,ADM SAND & STONE CONSTRUCTION CORP,ADM SAND & STONE CONSTRUCTION CORP,2840 STEVENS STREET,OCEANSIDE,NY,11572
CL.1,APPROVED,ADOLFO MORENO LANDSCAPING,ADOLFO MORENO LANDSCAPING,382 GRAND CENTRAL PLACE,INWOOD,NY,11096
CL.2-EXEMPT,APPROVED,ADRIMAR LOGISTICS INC.,ADRIMAR LOGISTICS INC.,P.O. BOX 971,VALLEY STREAM,NY,11582
CL.2-EXEMPT,APPROVED,AD-TECH ENTERPRISES LTD,AD-TECH ENTERPRISES LTD,21 WARREN PLACE,MOUNT VERNON,NY,10550
CL.1,APPROVED,"ADVANCE LANDSCAPING, LLC.","ADVANCE LANDSCAPING, LLC.",24 ARNPRIOR STREET,STATEN ISLAND,NY,10302
CL.2-EXEMPT,APPROVED,"ADVANCED HOME REPAIRS, LLC","ADVANCED HOME REPAIRS, LLC",609 NORTH GREENBUSH ROAD,BLAUVELT,NY,10913
CL.2-EXEMPT,APPROVED,"ADVANCED SITE CONTRACTORS, INC.","ADVANCED SITE CONTRACTORS, INC.",37 WILBUR STREET,STATEN ISLAND,NY,10309
LICENSE,DENIED,ADVANCED WASTE SERVICES INC.,ADVANCED WASTE SERVICES INC.,2400 NATIONAL DRIVE,BROOKLYN,NY,11234
CL.2-EXEMPT,APPROVED,AFFORDABLE ENTERPRISES OF WESTCHESTER INC,AFFORDABLE ENTERPRISES OF WESTCHESTER INC,2025 MAPLE AVENUE,CORTLANDT MANOR,NY,10567
CL.2-EXEMPT,APPROVED,AG GENERAL CONSTRUCTION INC.,AG GENERAL CONSTRUCTION INC.,8664 18TH AVENUE,BROOKLYN,NY,11214
CL.2-EXEMPT,APPROVED,AGAR CONTRACTING INC.,AGAR CONTRACTING INC.,58-08 48TH STREET,MASPETH,NY,11378
CL.1,APPROVED,AGGER FISH CORP.,AGGER FISH CORP.,"BROOKLYN NAVY YARD, BLDG#7,63 FLUSHING AVE, UNT313",BROOKLYN,NY,11205
LICENSE,APPROVED,"A-H CONSTRUCTION, LLC","A-H CONSTRUCTION, LLC",322 FOXWOOD LN,MILL NECK,NY,11765
CL.1,APPROVED,AHMED BOTI DBA M & B LANDSCAPING,AHMED BOTI DBA M & B LANDSCAPING,78-37 160 STREET,FLUSHING,NY,11366
CL.1,APPROVED,CONSOLIDATED BOILER SERVICE,AIR-O-VAC SERVICE CORP.,1416 FERRIS PLACE,BRONX,NY,10461
CL.2-EXEMPT,APPROVED,AIZAGA TRUCKING LLC,AIZAGA TRUCKING LLC,546 JORALEMON ST.,BELLEVILLE,NJ,7109
LICENSE,APPROVED,ORION CARTING,AJ CONTAINERS CORP.,"4403 15TH AVENUE, PMB #538",BROOKLYN,NY,11219
CL.1,APPROVED,AJ'S LANDSCAPING DESIGN CONTRACTING LLC,AJ'S LANDSCAPING DESIGN CONTRACTING LLC,P.O. BOX 140428,STATEN ISLAND,NY,10314
CL.1,APPROVED,,AL PAOLUCCI LANDSCAPING LLC,4208 FILLMORE AVENUE,BROOKLYN,NY,11234
CL.2-EXEMPT,APPROVED,ALAN LANDSMAN DBA STAR AGE WASTE CONTROL,ALAN LANDSMAN DBA STAR AGE WASTE CONTROL,217 OCEANVIEW AVENUE,BROOKLYN,NY,11235
CL.2-EXEMPT,APPROVED,ALASIA WASTE REMOVAL INC.,ALASIA WASTE REMOVAL INC.,151-43 21 AVENUE,WHITESTONE,NY,11357
CL.2-EXEMPT,APPROVED,ALBA CARTING & DEMOLITION INC.,ALBA CARTING & DEMOLITION INC.,402 W 46TH STREET APT 2W,NEW YORK,NY,10036
CL.1,APPROVED,ALBERT FERRARI D/B/A  A. FERRARI,ALBERT FERRARI D/B/A  A. FERRARI,57 HAMDEN AVE,STATEN ISLAND,NY,10306
CL.1,APPROVED,ALBERT SAVELLO,ALBERT SAVELLO,288 DOW AVENUE,CARLE PL,NY,11514
CL.2-EXEMPT,APPROVED,"ALCA GENERAL CONTRACTOR, LLC","ALCA GENERAL CONTRACTOR, LLC",795 CHARLOTTE TERRACE,RIDGEFIELD,NJ,7657
CL.2-EXEMPT,APPROVED,ALD MANAGEMENT SERVICES INC,ALD MANAGEMENT SERVICES INC,54 28 73RD PLACE,MASPETH,NY,11378
CL.2-EXEMPT,APPROVED,ALDO LATTANZIO,ALDO LATTANZIO,7410 AVENUE W.,BROOKLYN,NY,11234
CL.1,APPROVED,VALDOVINOS LANDSCAPING,ALEJANDRO VALDOVINOS,124 COLIGNI AVE.,NEW ROCHELLE,NY,10805
CL.2-EXEMPT,DENIED,ALEX FIGLIOLIA CONTRACTING,ALEX FIGLIOLIA PLUMBING CO.,420 CARROLL STREET,BROOKLYN,NY,11215
CL.1,APPROVED,ALFA LANDSCAPING & CONTRACTING  INC.,ALFA LANDSCAPING & CONTRACTING  INC.,2272 TILLOTSON AVE,BRONX,NY,10475
CL.2-EXEMPT,APPROVED,ALFONSO PETITO CONTRACTING INC,ALFONSO PETITO CONTRACTING INC,157-27 85TH STREET,HOWARD BEACH,NY,11414
CL.1,APPROVED,ALFRED J. LUDWIG d/b/a TOT'N LAWN SERVICES,ALFRED J. LUDWIG d/b/a TOT'N LAWN SERVICES,37 SPRAGUE AVE,STATEN ISLAND,NY,10307
CL.1,APPROVED,ALFREDO C GUERRA D/B/A RIO LEMPA LANDSCAPING,ALFREDO C GUERRA D/B/A RIO LEMPA LANDSCAPING,89-15 144 STREET APT 4C,JAMAICA,NY,11435
CL.2-EXEMPT,APPROVED,"A. ESPOSITO CONSTRUCTION, CO.","ALFREDO ESPOSITO DBA A. ESPOSITO CONSTRUCTION, CO.",35 SOUTH FRANKLIN AVENUE,LYNBROOK,NY,11563
LICENSE,APPROVED,"ALL BORO MEDICAL WASTE, INC.","ALL BORO MEDICAL WASTE, INC.",44-10 30TH AVENUE 1L,ASTORIA,NY,11103
CL.2-EXEMPT,APPROVED,ALL BORO RUBBISH AND DEMOLITION LLC,ALL BORO RUBBISH AND DEMOLITION LLC,438 6TH STREET,BROOKLYN,NY,11215
CL.2-EXEMPT,APPROVED,ALL BOROUGH BUILDERS CORP.,ALL BOROUGH BUILDERS CORP.,2176 EAST 38TH STREET,BROOKLYN,NY,11234
CL.2-EXEMPT,APPROVED,ALL CITY REMODELING INC.,ALL CITY REMODELING INC.,4714 32nd PLACE,LONG ISLAND CITY,NY,11101
CL.2-EXEMPT,APPROVED,ALL DIMENSION CONSTRUCTION,"ALL DIMENSION HOME IMPROVEMENT & RESTORATION, INC.",12 GRUBER DRIVE,GLEN COVE,NY,11542
CL.2-EXEMPT,APPROVED,ALL GREEN TRUCKING,ALL GREEN TRANSPORTATION INC,56-30 49TH STREET,MASPETH,NY,11378
CL.2-EXEMPT,APPROVED,ALL MATT TRUCKING INC,ALL MATT TRUCKING INC,54-45  63 PL,MASPETH,NY,11378
LICENSE,APPROVED,ALL METRO CLEANOUTS & RUBBISH REMOVAL LLC,ALL METRO CLEANOUTS & RUBBISH REMOVAL LLC,7014 13TH AVENUE SUITE 202,BROOKLYN,NY,11228
CL.2-EXEMPT,DENIED," ALL PRO CONTRACTING, LLC","ALL PRO CONTRACTING, LLC",180 HICKORY STREET,ORANGE,NJ,7050
CL.2-EXEMPT,APPROVED,"ALL PRO ROOFING & SIDING, INC.","ALL PRO ROOFING & SIDING, INC.",72 GOFF AVENUE,STATEN ISLAND,NY,10309
CL.2-EXEMPT,APPROVED,ALL SEASONS LANDSCAPING TS INC.,ALL SEASONS LANDSCAPING TS INC.,136 CROWELL AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,ALL SITE CONTRACTORS INC.,ALL SITE CONTRACTORS INC.,875 W. JERICHO TPKE,SMITHTOWN,NY,11787
CL.1,APPROVED,ALL THINGS GREEN INC.,ALL THINGS GREEN INC.,194 BARD AVENUE,STATEN ISLAND,NY,10310
CL.2-EXEMPT,APPROVED,ALLBORO RESTORATION CORP,ALLBORO RESTORATION CORP,1150 PROSPECT AVENUE,BROOKLYN,NY,11218
CL.2-EXEMPT,DENIED,ALL-CITY INTERIOR CONTRACTING INC.,ALL-CITY INTERIOR CONTRACTING INC.,1174 COMMERCE AVENUE,BRONX,NY,10462
LICENSE,APPROVED,ALLGONE REMOVAL INC,ALLGONE REMOVAL INC,3165 HARKNESS AVENUE,BROOKLYN,NY,11235
LICENSE,APPROVED,ALLOCCO RECYCLING LTD.,ALLOCCO RECYCLING LTD.,540 KINGSLAND AVENUE,BROOKLYN,NY,11222
CL.2-EXEMPT,APPROVED,ALL-RITE CONSTRUCTION CO INC.,ALL-RITE CONSTRUCTION CO INC.,73 DEWEY ST,GARFIELD,NJ,7026
CL.2-EXEMPT,APPROVED,ALL-SAFE LLC,ALL-SAFE LLC,2 NOBLE STREET,BROOKLYN,NY,11222
LICENSE,APPROVED,ALL-STAR CONCRETE & MASON INC.,ALL-STAR CONCRETE & MASON INC.,212 PARKWAY NORTH,YONKERS,NY,10704
CL.2-EXEMPT,APPROVED,ALLSTATE INTERIOR DEMOLITION INC.,ALLSTATE INTERIOR DEMOLITION INC.,242 RANDOLPH STREET,BROOKLYN,NY,11237
LICENSE,APPROVED,ALLSTATE POWER VAC INC.,ALLSTATE POWER VAC INC.,928 EAST HAZELWOOD AVENUE,RAHWAY,NJ,7065
CL.2-EXEMPT,APPROVED,ALMAR SUPPLIES INC.,ALMAR SUPPLIES INC.,57-00 47 TH STREET,MASPETH,NY,11378
CL.1,APPROVED,"ALMSTEAD TREE & SHRUB CARE COMPANY, LLC","ALMSTEAD TREE & SHRUB CARE COMPANY, LLC",58 BEECHWOOD AVENUE,NEW ROCHELLE,NY,10801
CL.1,APPROVED,ALOIZIO BRASIL ALVES D.B.A. ALVES LANDSCAPING,ALOIZIO BRASIL ALVES D.B.A. ALVES LANDSCAPING,P.O BOX 570047,WHITESTONE,NY,11357
LICENSE,APPROVED,"ALPHA MEDICAL WASTE REMOVAL, INC.","ALPHA MEDICAL WASTE REMOVAL, INC.",26 LAMPORT BLVD,STATEN ISLAND,NY,10305
CL.1,APPROVED,ALVAREZ & SONS LANDSCAPING CORP.,ALVAREZ & SONS LANDSCAPING CORP.,78 SHARPE AVENUE,STATEN ISLAND,NY,10302
CL.2-EXEMPT,APPROVED,ALVIN PETROLEUM SYSTEMS INC.,ALVIN PETROLEUM SYSTEMS INC.,65-50 FRESH MEADOW LANE,FLUSHING,NY,11365
CL.2-EXEMPT,DENIED,AMANDA CARTING CORP.,AMANDA CARTING CORP.,24 CREAMER STREET,BROOKLYN,NY,11231
CL.2-EXEMPT,APPROVED,AMANO CONTRACTING INC.,AMANO CONTRACTING INC.,P.O. BOX 650247,FRESHMEADOWS,NY,11365
CL.1,APPROVED,A. GONZALEZ LANDSCAPING & DESIGN,AMBIORIX GONZALEZ,P.O. BOX 267,BALDWIN,NY,11510
LICENSE,APPROVED,AMERICAN BY-PRODUCTS RECYCLERS LLC.,AMERICAN BY-PRODUCTS RECYCLERS LLC.,P.O.BOX 2446,MORRISTOWN,NJ,7962
LICENSE,DENIED,AMERICAN COMPACTION SYSTEMS INC.,AMERICAN COMPACTION SYSTEMS INC.,44 N.SAW MILL RIVER ROAD,ELMSFORD,NY,10523
CL.2-BROKER,DENIED,AMERICAN ENVIRONMENTAL GROUP LLC,AMERICAN ENVIRONMENTAL GROUP LLC,141-50 73 RD TERRACE,FLUSHING,NY,11367
LICENSE,APPROVED,AMERICAN ENVIRONMENTAL WASTE MANAGEMENT,AMERICAN ENVIRONMENTAL WASTE MANAGEMENT,60-68 69 LANE,MASPETH,NY,11378
CL.1,APPROVED,AMERICAN LANDSCAPING BY BENNY INC,AMERICAN LANDSCAPING BY BENNY INC.,45-50  158TH STREET,FLUSHING,NY,11358
LICENSE,APPROVED,"AMERICAN RECYCLING MANAGEMENT, LLC","AMERICAN RECYCLING MANAGEMENT, LLC",172-33 DOUGLAS AVENUE,JAMAICA,NY,11433
LICENSE,APPROVED,"AMERICAN UNITED WOOD, INC.","AMERICAN UNITED WOOD, INC.",392 FLAG PLACE,STATEN ISLAND,NY,10304
CL.1,APPROVED,AMERISCAPE CORP,AMERISCAPE CORP,301 CROMWELL AVE,STATEN ISLAND,NY,10305
LICENSE,APPROVED,AMRO CARTING CORP.,AMRO CARTING CORP.,337 COSTER STREET,BRONX,NY,10474
CL.2-EXEMPT,APPROVED,AMSTERDAM RESTORATION CORP.,AMSTERDAM RESTORATION CORP.,335 CALYER STREET,BROOKLYN,NY,11222
LICENSE,APPROVED,,"ANALYTICAL BIO TREATMENT, INC",158 LINWOOD AVE,PATERSON,NJ,7502
CL.2-EXEMPT,DENIED,ANCAR TRUCKING CORP.,ANCAR TRUCKING CORP.,1237 72ND STREET,BROOKLYN,NY,11228
CL.2-EXEMPT,DENIED,ANCAR TRUCKING CORP.,ANCAR TRUCKING CORP.,434 CRYSTAL AVENUE,STATEN ISLAND,NY,10314
CL.1,APPROVED,ANDOLINA LANDSCAPING INC,ANDOLINA LANDSCAPING INC,5 ORMONDE PLACE,NEW ROCHELLE,NY,10801
CL.2-EXEMPT,APPROVED,ANDRADES TRANSPORTATION INC.,ANDRADES TRANSPORTATION INC.,4345 BELLAIR PLACE,NEWARK,NJ,7104
CL.1,APPROVED,ANDRES FLORES d/b/a FLORES LANDSCAPING,ANDRES FLORES d/b/a FLORES LANDSCAPING,91-40 109TH STREET.,RICHMOND HILL,NY,11418
CL.1,APPROVED,ANDRZEJ GLAZ d/b/a ANDREW'S LANDSCAPING,ANDRZEJ GLAZ d/b/a ANDREW'S LANDSCAPING,218 49TH STREET,LINDENHURST,NY,11757
CL.2-EXEMPT,APPROVED,ANFLO CONSTRUCTION LLC,ANFLO CONSTRUCTION LLC,57-01 134 STREET,FLUSHING,NY,11355
CL.2-EXEMPT,APPROVED,ANFLO CONTRACTING CORP.,ANFLO CONTRACTING CORP.,43-24 54th RD,MASPETH,NY,11378
CL.1,APPROVED,ANGELS LANDSCAPING,ANGEL A GUZMAN D/B/A ANGELS LANDSCAPING,32 B COLUMBUS AVE,BRENTWOOD,NY,11717
CL.1,APPROVED,ANGELO COMPETIELLO LANDSCAPING,ANGELO COMPETIELLO LANDSCAPING,21 BALDWIN STREET,FARMINGDALE,NY,11735
CL.1,APPROVED,ANGELO GIUGLIANO LANDSCAPING INC.,ANGELO GIUGLIANO LANDSCAPING INC.,1042 82ND STREET,BROOKLYN,NY,11228
CL.1,APPROVED,ANGELO MARRA LANDSCAPING,ANGELO MARRA LANDSCAPING,2136 83 STREET,BROOKLYN,NY,11214
CL.1,APPROVED,ANGELO PIZZIRUSSO LANDSCAPING,ANGELO PIZZIRUSSO LANDSCAPING,1735 WEST 12TH STREET,BROOKLYN,NY,11204
CL.1,APPROVED,ANGELO'S NURSERY,ANGELO'S NURSERY,309 AVENUE X,BROOKLYN,NY,11223
CL.1,APPROVED,ANIBAL LANDSCAPING CORPORATION,ANIBAL LANDSCAPING CORPORATION,25 B HENDRICKS AVE.,HEMPSTEAD,NY,11550
