PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,"Southeast Bronx Neighborhood Centers, Inc.",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718-542-2727,A parent 16 Years Old or Older ,"955 Tinton Avenue
Bronx, NEW YORK 10456
(40.82309725417601, -73.90303414045628)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 112 - Jose Celso Barbosa School,New York,"Stanley M. Isaacs Neighborhood Center, Inc.",212-360-7625,A parent 16 Years Old or Older ,"535 119 Street
New York, NEW YORK 10035
(40.796415393630525, -73.93038366721987)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 198/77 - Isador & Ida Straus School,New York,"Stanley M. Isaacs Neighborhood Center, Inc.",212-360-7625,A parent 16 Years Old or Older ,"1700 Third Avenue
New York, NEW YORK 10128
(40.7852258951129, -73.94934848503704)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 199Q - Maurice Fitzgerald,Queens,"Sunnyside Community Service, Inc.",718-784-6173,A parent 16 Years Old or Older ,"39 20 48th Avenue
Queens, NEW YORK 11104
(40.74489336663561, -73.92054134530679)"
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Queens Library,Queens,Queens Borough Public Library (Central),718-784-2112,A parent 16 Years Old or Older ,"35 32 21 Street
Queens, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,M.S. 860 Frederick Douglass Academy II ,New York,Creative Arts Team/CUNY,212.652.2800,grades 6 to 8,"215 114 Street
New York, NEW YORK 10026
(40.802154978703435, -73.9539796369881)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,M.S. 635- Academy for Enviornmental Sciences ,New York,Supportive Childrens Advocacy Network (SCAN),212.683.2522,grades 6 to 8,"410 100 Street
New York, NEW YORK 10029
(40.785470644533916, -73.94206586038047)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,MS 324 - Patria Mirabal School,New York,The Children's Aid Society,212.740.8655,grades 6 to 8,"21 Jumel Place
New York, NEW YORK 10032
(40.83932420490237, -73.93612610353428)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,JHS 22- Jordan L Mott School,Bronx,Supportive Childrens Advocacy Network (SCAN),212.683.2522,grades 6 to 8,"270 167th Street
Bronx, NEW YORK 10456
(40.83322765425807, -73.91408537225458)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,M.S. 368- IN-Tech Academy,Bronx,Creative Arts Team/CUNY,212.652.2800,grades 6 to 8,"Tibbett Avenue
Bronx, NEW YORK 10463
(40.87834957539748, -73.9112816097151)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,I.S.168 - Parsons School ,Queens,The Child Center of NY,718.458.4243 ext. 205,grades 6 to 8,"158 40 76th Road
Queens, NEW YORK 11366
(40.72816440726166, -73.79226817393703)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,Q 705- The Renaissance Charter School ,Queens,Creative Arts Team/CUNY,212.652.2800,grades 6 to 8,"35 59 81st Street
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,K 533- School for Democracy and Leadership 600 Kingston Avenue,Brooklyn,CAMBA,718.282.5575,grades 6 to 8,
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,I.S. 126- Astoria Intermediate School,Queens,Jacob Riis Neighborhood Settlement,718.204.6797,grades 6 to 8,"31 51 21st Street
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Reading & Writing,NDA Programs,Family Literacy",Adolescent Literacy,MS 35- Decatur Clearpool School,Brooklyn,Stanton Heiskell Center,212.817.2106,grades 6 to 8,"272 McDonough Street
Brooklyn, NEW YORK 11233
(40.68189209294426, -73.93584163199317)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"African Services Committee, Inc.",New York,"African Services Committee, Inc.",(212) 222-3882,16+,"429 127 Street
New York, NEW YORK 10027
(40.813196742697244, -73.95433261286013)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Project COPE / Adult Education,Brooklyn,"Agudath Israel of America Community Services, Inc.",(212) 809-5935 x 104,16+,"1577 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61904739455146, -73.96399704536418)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Agudath Israel of America Community Services, Inc.",New York,"Agudath Israel of America Community Services, Inc.",(212) 809-5935 x 104,16+,"225 Broadway
New York, NEW YORK 10007
(40.711843149995104, -74.00822898207605)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,"5006 8th Avenue
Brooklyn, NEW YORK 11220
(40.64107406995503, -74.00379511862667)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Brooklyn Chinese-American Association,Brooklyn,Brooklyn Chinese-American Association,(718) 438-0008,16+,"6809 20th Avenue
Brooklyn, NEW YORK 11204
(40.614704025531445, -73.98771039717887)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,PS 25 - Eubie Blake School,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,"787 Lafayette Avenue
Brooklyn, NEW YORK 11221
(40.691050099236115, -73.94139499953165)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,CAMBA,Brooklyn,CAMBA,(718) 940-1737 x 424,16+,"885 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.65037559450013, -73.95866477725933)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Astoria,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"23 40 Astoria Boulevard
Astoria, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Astoria,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"9 18 27th Avenue
Astoria, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Corona,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"35 33 104th Street
Corona, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Catholic Charities Neighborhood Services,Long Island City,Catholic Charities Neighborhood Services,(718) 726-9790 x 128,16+,"25 63 22nd Street
Long Island City, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Chinatown Manpower Project, Inc",New York,"Chinatown Manpower Project, Inc",(212) 571-1691 x 235,16+,"70 Mulberry Street
New York, NEW YORK 10013
(40.716141909295175, -73.99917280924103)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,"4101 8th Avenue
Brooklyn, NEW YORK 11232
(40.64613150332472, -73.99844270592891)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,Brooklyn,Chinese American Planning Council,(212) 941-0041 x 302,16+,"4812 9th Avenue
Brooklyn, NEW YORK 11220
(40.64083540267695, -74.00045650048278)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Chinese American Planning Council,New York,Chinese American Planning Council,(212) 941-0041 x 302,16+,"220 Church Street
New York, NEW YORK 10013
(40.71698884234022, -74.00638009998525)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,CAB Community Center,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,"1130 Grand
Bronx, NEW YORK 10456
(40.8316941436386, -73.9160410469591)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Davidson Community Center,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,"2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.85374837851653, -73.90853996733885)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,CAB Immigration Office,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,"2070 Grand Concourse
Bronx, NEW YORK 10457
(40.85309059209145, -73.90280877587541)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 171 - Abraham Lincoln School,Brooklyn,Cypress Hills Local Development Corporation,(718) 647-2800,16+,"528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.6861530810444, -73.86966791838911)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 204 - Oliver W. Holmes School,Long Island City,"HANAC, INC.",(212) 996-3949 x 12,16+,"36 41 28 Street
Long Island City, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,"1038 Ogden Avenue
Bronx, NEW YORK 10452
(40.83388703055701, -73.92880933918217)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,"950 Anderson Avenue
Bronx, NEW YORK 10452
(40.831063771587196, -73.92801825784692)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 52 - Inwood Junior High School,New York,"Inwood Community Services, Inc.",(212) 942-0043 x 126,16+,"650 Academy Street
New York, NEW YORK 10034
(40.8659943773106, -73.92483806023611)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Inwood Community Services, Inc.",New York,"Inwood Community Services, Inc.",(212) 942-0043 x 126,16+,"651 Academy Street
New York, NEW YORK 10034
(40.866018005306515, -73.92477264483693)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 126 - Astoria Intermediate School,Astoria,Jacob A Riis Neighborhood Settlement House,(718) 784-7447 x 112,16+,"31 51 21st Street
Astoria, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"1081 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.631085769961786, -73.96632046954319)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925353555, -73.95126983806618)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"283 Prospect Avenue
Brooklyn, NEW YORK 11215
(40.66327557621057, -73.9890518678046)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288322754, -73.961743706863)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592155, -73.94250335499902)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.63667021309369, -73.9904592808461)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"8635 21st Avenue
Brooklyn, NEW YORK 11214
(40.60253429326686, -73.99678043887103)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Korean Community Services of Metropolitan New York, Inc.",Flushing,"Korean Community Services of Metropolitan New York, Inc.",(718) 353-2253,16+,"35 56 159th Street
Flushing, NEW YORK 11358
(40.760350968822195, -73.79632645819947)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Jackson Heights,Make the Road New York,(718) 418-7690 x 211,16+,"71 24 Roosevelt Avenue
Jackson Heights, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Staten Island,Make the Road New York,(718) 418-7690 x 211,16+,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Woodside,Make the Road New York,(718) 418-7690 x 211,16+,"46 09 Skillman Avenue
Woodside, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"330 59th Street
Brooklyn, NEW YORK 11220
(40.64220161479856, -74.0191758017247)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Our Lady of Perpetual Help,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"552 59 Street
Brooklyn, NEW YORK 11220
(40.639335782578094, -74.01443140643113)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"6025 6th Avenue
Brooklyn, NEW YORK 11220
(40.637992703156115, -74.01409498889532)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Mercy Center, Inc.",Bronx,"Mercy Center, Inc.",(718) 993-2789 x 233,16+,"377 145th Street
Bronx, NEW YORK 10454
(40.81385583017525, -73.92035529273)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,New Heights Neighborhood Center,New York,Northern Manhattan Improvement Corporation,(212) 822-8300,16+,"216 Ft Washington Avenue
New York, NEW YORK 10032
(40.842343769666854, -73.94220075868486)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Opportunities for a Better Tomorrow,Brooklyn,Opportunities for a Better Tomorrow,(718) 369-0303,16+,"25 Thornton Street
Brooklyn, NEW YORK 11206
(40.70091258928835, -73.94390057487814)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Queens Community House,Jackson Heights,Queens Community House,(718) 898-7461,16+,"74 09 37 Avenue
Jackson Heights, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,"Ridgewood Bushwick Senior Citizens Council, Inc.",Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",(718) 381-9653,16+,"1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.69784030864716, -73.91383248246076)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SCO Family of Services,Brooklyn,SCO Family of Services,(718) 455-1166,16+,"75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,PS 225 - Eileen E Zaglin School,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.5797910944251, -73.95643350547934)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Oceanview Jewish Center,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"3100 Brighton 4th Street
Brooklyn, NEW YORK 11235
(40.57664578354686, -73.96320963266943)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SoBRO,Bronx,SoBRO,(718) 292-3113 x 7611,16+,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SoBRO,New York,SoBRO,(718) 292-3113 x 7611,16+,"361 125th Street
New York, NEW YORK 10027
(40.81100239694575, -73.95314550778141)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,IS 8 - R. S. Grossley Junior High School,Jamaica,SQPA-NY Southern Queens Park Association NY,(718) 276-4630,16+,"108 35 167th Street
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SQPA-NY Southern Queens Park Association NY,Jamaica,SQPA-NY Southern Queens Park Association NY,(718) 276-4630,16+,"177 01 Baisley Boulevard
Jamaica, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,St. Nicholas NPC/Williamsburg Works,Brooklyn,St Nicholas NPC - Williamsburg Works,(718) 302-2057 x 204,16+,"545 Broadway
Brooklyn, NEW YORK 11206
(40.70493361836181, -73.94926253242915)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,The Arab American Family Support Center,Brooklyn,The Arab American Family Support Center,(718) 643-8000 x 19,16+,"150 Court Street
Brooklyn, NEW YORK 11201
(40.688807894259774, -73.99283183663935)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Fortune Society,New York,The Fortune Society,(212) 691-7554,16+,"53 23rd Street
New York, NEW YORK 10010
(40.74063893398753, -73.98734451687551)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"1297 Arthur Kill Road
Staten Island, NEW YORK 10312
(40.565263465623865, -74.18400335105152)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"285 Vanderbilt Avenue
Staten Island, NEW YORK 10304
(40.618099835028865, -74.08072506821757)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"475 Victory Boulevard
Staten Island, NEW YORK 10301
(40.630627751644205, -74.08851956408898)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"485 Victory Boulevard
Staten Island, NEW YORK 10301
(40.63034573041622, -74.08886716173346)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point Education Center,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,"5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.64235365356344, -74.00596380753073)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,"5224 6th Avenue
Brooklyn, NEW YORK 11220
(40.64252330888736, -74.00947286580126)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Washington Houses Community Center,Manhattan,Union Settlement Association,(212) 828-6298,16+,"1775 3rd Avenue
Manhattan, NEW YORK 10029
(40.7870466388226, -73.94792934815561)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Union Settlement Association,Manhattan,Union Settlement Association,(212) 828-6298,16+,"237 104th Street
Manhattan, NEW YORK 10029
(40.78992458809426, -73.94476913120286)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Flatbush YMCA,Brooklyn,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"1401 Flatbush Avenue
Brooklyn, NEW YORK 11210
(40.636590672567, -73.95160259310835)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Harlem YMCA,New York,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"180 135th Street
New York, NEW YORK 10030
(40.81502333827274, -73.94312298241152)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,YMCA of Greater New York / ELESAIR,New York,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"229 14th Street
New York, NEW YORK 10011
(40.739101600703236, -74.00098044651992)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,YWCA of Queens,Flushing,YWCA of Queens,(718) 353-4553,16+,"42 08 Parsons Boulevard
Flushing, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Murray Bergtraum HS,New York,BCA Sunset Park Asian Senior Center,(212) 748-1225, High School,"411 Pearl Street
New York, NEW YORK 10001
(40.71134852287901, -74.00080058211404)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,NEW UTRECHT HIGH SCHOOL (K445),Brooklyn,BCA 6th Avenue Senior Center,(718) 951-5015, High School,"1601 80 Street
Brooklyn, NEW YORK 11210
(40.61345273159829, -74.00368977353216)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Brooklyn College Arts Lab,Brooklyn,NEW UTRECHT HIGH SCHOOL (K445),(718) 951-5015, High School,"2900 Bedford Avenue
Brooklyn, NEW YORK 11210
(40.631966842282914, -73.95273309690995)"
