Entity Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Location 1
LAUNDRY,927029,O'HENRY LAUNDROMAT INC,,HENRY STREET,37 HENRY STREET,,10002,2122334327,"37 HENRY STREET
NEW YORK, NY 10002
(40.71289535676942, -73.99607014823994)"
LAUNDRY,937773,IPANEMA LAUNDRY INC,,LENOX AVENUE,25 LENOX AVENUE,,10026,2128449505,"25 LENOX AVENUE
NEW YORK, NY 10026
(40.79901605008118, -73.95201203102212)"
LAUNDRY,945560,"SOTO-RAMOS,  JOSE MIGUEL",KIKO LAUNDROMAT,FREEMAN STREET,1011 FREEMAN STREET,,10459,9175154586,"1011 FREEMAN STREET
BRONX, NY 10459
(40.82923079832681, -73.88737012836667)"
LAUNDRY,951727,AQUA CLARA LAUNDROMAT INC,,37 AVENUE,78-09 37 AVENUE,,11372,7183978772,"78 09 37 AVENUE
QUEENS, NY 11372
(40.75163073936716, -73.88361254528269)"
LAUNDRY,954106,ARLEO CLEANERS CORP,,MORRIS PARK AVENUE,1015 MORRIS PARK AVENUE,,10462,7184090086,"1015 MORRIS PARK AVENUE
BRONX, NY 10462
(40.84838786498272, -73.85569084655256)"
LAUNDRY,955029,PRESTIGE FIRST AVE. CLEANING CORP.,,1 AVENUE,646 1 AVENUE,,10016,2126839164,"646 1 AVENUE
NEW YORK, NY 10016
(40.74587349558385, -73.97197731107497)"
LAUNDRY,956895,"A G HOPE, INC",,3 AVENUE,259 3 AVENUE,,10010,2129662822,"259 3 AVENUE
NEW YORK, NY 10010
(40.73742886172869, -73.98418111101256)"
LAUNDRY,957074,"MALLAY, PHILLIP",MELISSA LAUNDROMAT,JAMAICA AVENUE,183-15 JAMAICA AVENUE,,11423,7187262254,"183 15 JAMAICA AVENUE
HOLLIS, NY 11423
(40.71722229567246, -73.7671414999802)"
LAUNDRY,957515,NEWERA LAUNDROMAT INC,,MESEROLE AVENUE,120 MESEROLE AVENUE,,11222,7183891607,"120 MESEROLE AVENUE
BROOKLYN, NY 11222
(40.72734956186224, -73.95182570337737)"
LAUNDRY,964391,ULTIMATE COIN-OP CORP,,RUTLAND ROAD,1015 RUTLAND ROAD,,11212,7189999999,"1015 RUTLAND ROAD
BROOKLYN, NY 11212
(40.66294312217545, -73.92601954893856)"
LAUNDRY,971945,OFF-BROADWAY LAUNDROMAT INC,,WEST  104 STREET,224 WEST  104 STREET,,10025,2126638320,"224 104 STREET
NEW YORK, NY 10025
(40.799563020733046, -73.9676785517749)"
LAUNDRY,976366,"HOM, MUI YUNG",HOM'S LAUNDROMAT,MADISON STREET,107 MADISON STREET,,10002,2129629504,"107 MADISON STREET
NEW YORK, NY 10002
(40.71225683812861, -73.99499995502504)"
LAUNDRY,209244,"ENG, DICK KANG",,3 AVENUE,8210 3 AVENUE,,11209,7187489616,"8210 3 AVENUE
BKLYN, NY 11209
(40.62629386515773, -74.0299373096142)"
LAUNDRY,404343,GUFRAN LAUNDRETTE INC,,ST JOHN PLACE,1444 ST JOHN PLACE,,11213,7187714805,"1444 ST JOHN PLACE
BROOKLYN, NY 11213
(40.67053782942641, -73.93050660983113)"
LAUNDRY,430336,3267 3RD AVENUE LAUNDROMAT CORP,,3 AVENUE,3267 3 AVENUE,,10456,2129879424,"3267 3 AVENUE
BRONX, NY 10456
(40.82448780294147, -73.9085589670526)"
LAUNDRY,627162,"NOTARO, GIOVANNI",STARBRITE LAUNDRY,AVENUE N,4705 AVENUE N,,11234,7183776734,"4705 AVENUE
BROOKLYN, NY 11234
(40.61636866748006, -73.92773224974349)"
LAUNDRY,677620,"MOY, WILLIAM",JAN SUN LAUNDRY,EAST   17 STREET,123 EAST   17 STREET,,10003,2122541850,"123 17 STREET
NEW YORK, NY 10003
(40.735896242499194, -73.98735110766117)"
LAUNDRY,694668,"KIM, BYUNG HONG",B & K LAUNDROMAT,SKILLMAN AVENUE,50-02 SKILLMAN AVENUE,,11377,7184578990,"50 02 SKILLMAN AVENUE
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,699664,"DANG, LONG GIANG",LONG GIANG DANG CO,ELIZABETH STREET,168 ELIZABETH STREET,,10012,2129665191,"168 ELIZABETH STREET
NEW YORK, NY 10012
(40.72089032960986, -73.99484707028006)"
LAUNDRY,787923,"APOSTOLAKIS, APOSTOLOS",,24 AVENUE,28-03 24 AVENUE,,11102,7187210846,"28 03 24 AVENUE
ASTORIA, NY 11102
(40.77152402451418, -73.92643545073543)"
LAUNDRY,809472,"LEONG, FOOK THONG & LEONG, SHOO MOI",NAJAY CLEANERS,PROSPECT PARK WEST,230 PROSPECT PARK WEST,,11215,7187990416,"230 PROSPECT PARK
BKLYN, NY 11215
(40.66444879231645, -73.9910945065831)"
LAUNDRY,817934,BWAY-PILLING LAUNDROMAT INC,,BROADWAY,1785 BROADWAY,,11207,7184532500,"1785 BROADWAY
BROOKLYN, NY 11207
(40.6822464253853, -73.90926605155408)"
LAUNDRY,833279,LOUISMA ENTERPRISES INC,,REMSEN AVENUE,413-415 REMSEN AVENUE,,11212,7183450459,"413 415 REMSEN AVENUE
BROOKLYN, NY 11212
(40.66279716995348, -73.91298489433734)"
LAUNDRY,835737,"ROWSER, CURTIS J",ROWSER LAUNDROMAT,FRANCIS LEWIS BOULEVARD,112-19 FRANCIS LEWIS BOULEVARD,,11429,7182172125,"112 19 FRANCIS LEWIS BOULEVARD
QUEENS VILLAGE, NY 11429
(40.70991312049415, -73.73864031609764)"
LAUNDRY,836000,526 COLUMBUS MERCHANTS INC,,COLUMBUS AVENUE,526 COLUMBUS AVENUE,,10024,2127877025,"526 COLUMBUS AVENUE
NEW YORK, NY 10024
(40.78602999597699, -73.97254427526738)"
LAUNDRY,837813,BIG RUSS LTD,,NORTHERN BOULEVARD,105-04 NORTHERN BOULEVARD,,11368,7183356846,"105 04 NORTHERN BOULEVARD
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,858581,ISABEL'S LAUNDRY CORP,,103 STREET,37-24 103 STREET,,11368,7188990970,"37 24 103 STREET
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,884442,"RHEE, CHUNG",DAISY FRESH DRIVE   IN CLEANER,MERRICK BOULEVARD,225-06 MERRICK BOULEVARD,,11413,7185252020,"225 06 MERRICK BOULEVARD
LAURELTON, NY 11413
(40.66971118122609, -73.75087393328533)"
LAUNDRY,886729,"ASHOURZADEH, M, RABANIPOUR, R & RABANIPOUR, H",1ST AVE LAUNDRY CENTER,1 AVENUE,33 1 AVENUE,,10009,2125331395,"33 1 AVENUE
NEW YORK, NY 10009
(40.72397181106872, -73.98799353757941)"
LAUNDRY,889794,"FRANCOIS, MARIE P",MARIE P FRANCOIS    LAUNDROMAT,HOWARD AVENUE,192 HOWARD AVENUE,,11233,7189193174,"192 HOWARD AVENUE
BROOKLYN, NY 11233
(40.681688217904984, -73.91979472217818)"
LAUNDRY,891783,BRONXWOOD LAUNDER CENTER CORP,,BRONXWOOD AVENUE,3951 BRONXWOOD AVENUE,3951-53,10466,5164811993,"3951 BRONXWOOD AVENUE
BRONX, NY 10466
(40.88535580831615, -73.85509305642609)"
LAUNDRY,893280,"CHEN, YUK CHUN",THRIFT-O-WASH,3 AVENUE,8920 3 AVENUE,,11209,7188333517,"8920 3 AVENUE
BROOKLYN, NY 11209
(40.62100592117313, -74.03211687593061)"
LAUNDRY,893749,"YAE, WON H",SUPER LAUNDERCENTER,GRAND CONCOURSE,2235 GRAND CONCOURSE,,10453,2122830045,"2235 GRAND
BRONX, NY 10453
(40.858160126074154, -73.90627313467424)"
LAUNDRY,895418,C U LAUNDERETTE INC,,WEST   72 STREET,244 WEST   72 STREET,,10023,2127246505,"244 72 STREET
NEW YORK, NY 10023
(40.77940921405644, -73.98352460593117)"
LAUNDRY,896392,LEU SNOW WHITE      LAUNDROMAT INC,,MYRTLE AVENUE,64-19 MYRTLE AVENUE,,11385,7182961128,"64 19 MYRTLE AVENUE
RIDGEWOOD, NY 11385
(40.70122489161548, -73.88334858436963)"
LAUNDRY,896770,TONY & MIKE LAUNDROMAT INC,,MIDDLETOWN ROAD,2951 MIDDLETOWN ROAD,,10461,7188920241,"2951 MIDDLETOWN ROAD
BRONX, NY 10461
(40.84378009946614, -73.83102687944594)"
LAUNDRY,899374,"ZABLOCKI, KRYSTYNA",KRYSTYNA LAUNDROMAT,BERRY STREET,75 BERRY STREET,,11211,7189639146,"75 BERRY STREET
BROOKLYN, NY 11211
(40.719930033045884, -73.95755191119702)"
LAUNDRY,902777,"WONG, YOKE MOY",VALET 52 EAST,EAST   52 STREET,302 EAST   52 STREET,,10022,2127599095,"302 52 STREET
NEW YORK, NY 10022
(40.75605381959692, -73.96749819840763)"
LAUNDRY,903550,"LERNER, BELLA",B & B  LAUNDROMAT,AVENUE H,811 AVENUE H,,11230,7183827728,"811 AVENUE
BROOKLYN, NY 11230
(40.62192951023877, -73.96551106018723)"
LAUNDRY,905417,JERIC ENTERPRISES INC.,,DITMARS BOULEVARD,37-13 DITMARS BOULEVARD,,11105,5166616771,"37 13 DITMARS BOULEVARD
QUEENS, NY 11105
(40.780092072491186, -73.90960650023976)"
LAUNDRY,916231,66 CARMINE DRY CLEANING & LAUNDROMAT INC,66 CARMINE DRY CLEANING & LAUNDROMAT,CARMINE STREET,66 CARMINE STREET,,10014,2122555043,"66 CARMINE STREET
NEW YORK, NY 10014
(40.72973965837821, -74.0043259244689)"
LAUNDRY,917552,COMFORT II INC.,,CORONA AVENUE,93-34 CORONA AVENUE,,11373,7182715020,"93 34 CORONA AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
LAUNDRY,918494,FARINHA BROS INC,FARINHA BROS,ALBANY AVENUE,567 ALBANY AVENUE,,11203,7187565227,"567 ALBANY AVENUE
BROOKLYN, NY 11203
(40.66082109421241, -73.93978432763107)"
LAUNDRY,918822,THANH BINH LAUNDRY INC,THANH BINH LAUNDRY,EMPIRE BOULEVARD,565 EMPIRE BOULEVARD,,11225,7183427571,"565 EMPIRE BOULEVARD
BROOKLYN, NY 11225
(40.664130830748746, -73.94350234613735)"
LAUNDRY,918938,R & S LAUNDROMAT INC,R & S LAUNDROMAT,WILLIAMSBRIDGE ROAD,2051-53 WILLIAMSBRIDGE ROAD,,10565,9147221940,"2051 53 WILLIAMSBRIDGE ROAD
BRONX, NY 10565
(40.82557699997852, -73.91844899972153)"
LAUNDRY,920256,"KIM, BYONG-JOE",PINE FOREST LAUNDROMAT,FOREST AVENUE,1309 FOREST AVENUE,,10302,7189813658,"1309 FOREST AVENUE
STATEN ISLAND, NY 10302
(40.62640626798154, -74.13343272684403)"
LAUNDRY,924128,J & M CROCHERON LAUNDROMAT CORP,J & M CROCHERON LAUNDROMAT,CROCHERON AVENUE,169-14 CROCHERON AVENUE,,11358,7189390880,"169 14 CROCHERON AVENUE
QUEENS, NY 11358
(40.760350968822195, -73.79632645819947)"
LAUNDRY,925883,POLANCO & SON LAUNDROMAT CORP,,AMSTERDAM AVENUE,944 AMSTERDAM AVENUE,,10025,2126663633,"944 AMSTERDAM AVENUE
NEW YORK, NY 10025
(40.80092099699732, -73.96536729415959)"
LAUNDRY,927278,"LEE, WAI KING",LEE CLEANERS,GUYON AVENUE,80-84 GUYON AVENUE,,10306,7189874818,"80 84 GUYON AVENUE
STATEN ISLAND, NY 10306
(40.56602048965391, -74.11994566905736)"
LAUNDRY,927382,14TH STREET LAUNDROMAT INC,,EAST   14 STREET,426 EAST   14 STREET,,10009,9124815740,"426 14 STREET
NEW YORK, NY 10009
(40.73080085837279, -73.98128529407825)"
LAUNDRY,927666,"OH, YEONG RYE",DAMOWA DRY CLEANING & LAUNDRY CENTER,MARSH AVENUE,280 MARSH AVENUE,,10314,7187619304,"280 MARSH AVENUE
STATEN ISLAND, NY 10314
(40.57725629001394, -74.16404019547078)"
LAUNDRY,934626,"CHAN, AI GUANG",CHAN'S LAUNDRONAT,5 AVENUE,3920 5 AVENUE,,11232,7188532576,"3920 5 AVENUE
BROOKLYN, NY 11232
(40.651178341181335, -74.00407000963948)"
LAUNDRY,935858,LAUNDROMAT CAFE INC.,,WEST   50 STREET,439 WEST   50 STREET,,10019,2123152740,"439 50 STREET
NEW YORK, NY 10019
(40.76421067176125, -73.99065622962354)"
LAUNDRY,938120,"RICHARDS, LASCELLES",ADNAK SUDS LAUNDROMAT,RUTLAND ROAD,1093 RUTLAND ROAD,,11212,7187730395,"1093 RUTLAND ROAD
BROOKLYN, NY 11212
(40.664436251689196, -73.92371338762801)"
LAUNDRY,949598,"S.I. SUPERLEAN, INC.",,HYLAN BOULEVARD,2435 HYLAN BOULEVARD,,10306,7186678069,"2435 HYLAN BOULEVARD
STATEN ISLAND, NY 10306
(40.57179140960661, -74.1085760061024)"
LAUNDRY,952670,5416 CORP,,7 AVENUE,5416 7 AVENUE,,11220,7189721401,"5416 7 AVENUE
BROOKLYN, NY 11220
(40.64013259502377, -74.0083678160212)"
LAUNDRY,953144,"RAMOS, ISMAEL J",AROUND THE BLOCK LAUNDROMAT,MELVILLE STREET,1707 MELVILLE STREET,,10460,7185976191,"1707 MELVILLE STREET
BRONX, NY 10460
(40.841737013414345, -73.86957640813192)"
LAUNDRY,206974,"HUANG, KEH LIEH",,7 AVENUE,101 7 AVENUE,,11215,7186585477,"101 7 AVENUE
BROOKLYN, NY 11215
(40.674102633540386, -73.97566269051187)"
LAUNDRY,442794,"ROBINSON, LEROY",MAURICE'S LAUNDROMAT,LENOX AVENUE,151 LENOX AVENUE,,10026,2128643381,"151 LENOX AVENUE
NEW YORK, NY 10026
(40.80306138342701, -73.94900862644664)"
LAUNDRY,521908,J-R LAUNDROMAT INC,,BROADWAY,42-12 BROADWAY,,11103,7182748368,"42 12
L I CITY, NY 11103
(40.76286893025696, -73.91327185810974)"
LAUNDRY,526598,BORO PARK WASH CENTER INC,,FT HAMILTON PARKWAY,5321 FT HAMILTON PARKWAY,,11219,7184383823,"5321 FT HAMILTON PARKWAY
BKLYN, NY 11219
(40.63632842450077, -74.00064890283463)"
LAUNDRY,620851,ESPERANZA LAUNDROMAT INC,,SKILLMAN AVE,4512 SKILLMAN AVE,,11104-2117,7187863245,"4512 SKILLMAN AVE
SUNNYSIDE, NY 11104-2117
(40.746631134074754, -73.91881402553862)"
LAUNDRY,621599,"GRAHAM, CLINTON",C G LAUNDROMAT,VAN WYCK EXPRESSWAY,111-58 VAN WYCK EXPRESSWAY,,11420,7185236800,"111 58 VAN WYCK EXPRESSWAY
JAMAICA, NY 11420
(40.67334524268887, -73.81770717164864)"
LAUNDRY,622093,"KAO, CHIAO-O",SEVENTY-SEVEN LAUNDROMAT,1 AVENUE,1481-83 1 AVENUE,,10021,2122442711,"1481 83 1 AVENUE
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
LAUNDRY,622722,"MOY, KAM P",,WHITE PLAINS ROAD,1507 WHITE PLAINS ROAD,,10462,7188920160,"1507 WHITE PLAINS ROAD
BRONX, NY 10462
(40.838097787658356, -73.86363874583671)"
LAUNDRY,624747,WILL-BET LAUNDROMATIC INC,,7 AVENUE,173 7 AVENUE,,11215,7187681469,"173 7 AVENUE
BROOKLYN, NY 11215
(40.67155659756331, -73.97763620438164)"
LAUNDRY,625886,BAY RIDGE LAUNDER CENTER INC,,3 AVENUE,7007 3 AVENUE,,11209,7186802948,"7007 3 AVENUE
BROOKLYN, NY 11209
(40.63477833655325, -74.02640438505058)"
LAUNDRY,733889,"YING, CHIN SUET",CHIN LAUNDRY AND DRY CLEANING,NASSAU AVENUE,199 NASSAU AVENUE,,11222,7183898638,"199 NASSAU AVENUE
BKLYN, NY 11222
(40.72560508610749, -73.94491801989217)"
LAUNDRY,739493,FAST WASH INC,MR MACHINE LAUNDROMAT,CHERRY AVENUE,140-11 CHERRY AVENUE,,11355,7185598602,"140 11 CHERRY AVENUE
QUEENS, NY 11355
(40.7512997969481, -73.82147854789662)"
LAUNDRY,815341,"ROSCIGNO, FRANK",FRANK'S LAUNDRY,34 AVENUE,42-01 34 AVENUE,,11101,7187267813,"42 01 34 AVENUE
QUEENS, NY 11101
(40.74570244980828, -73.93866902925225)"
LAUNDRY,830261,"PETZNICK, BRUCE",PARADISE LAUNDROMAT,GRAND STREET,578 GRAND STREET,,11211,7183666921,"578 GRAND STREET
BROOKLYN, NY 11211
(40.71115801097404, -73.94870807436615)"
LAUNDRY,836456,"PARK, HO-CHIN",MAJOR LAUNDRY,EAST TREMONT AVENUE,2504 EAST TREMONT AVENUE,,10461,7185973995,"2504 TREMONT AVENUE
BRONX, NY 10461
(40.84278821773556, -73.85027647218675)"
LAUNDRY,839096,MALCOM/HANCOCK      LAUNDRY INC,,HANCOCK STREET,656 HANCOCK STREET,,11233,7186248623,"656 HANCOCK STREET
BROOKLYN, NY 11233
(40.6848739184073, -73.92934629790007)"
LAUNDRY,853212,1590 WHITE PLAINS ROAD LAUNDROMAT CORPORATION,,WHITE PLAINS ROAD,1590 WHITE PLAINS ROAD,,10462,7187922655,"1590 WHITE PLAINS ROAD
BRONX, NY 10462
(40.84073350217221, -73.86424823081062)"
LAUNDRY,855212,"THOMPSON, GLORIA",G'S LAUNDRYMAT,NOSTRAND AVENUE,315 NOSTRAND AVENUE,,11216,7186224293,"315 NOSTRAND AVENUE
BROOKLYN, NY 11216
(40.68756675263005, -73.95098483951091)"
LAUNDRY,857900,"FEDERICO, ONOFRIO   ET AL",THE KLEENOFAB       PROCESS,WILLIAMSBRIDGE ROAD,2103 WILLIAMSBRIDGE ROAD,,10461,7188281120,"2103 WILLIAMSBRIDGE ROAD
BRONX, NY 10461
(40.85549145867556, -73.85543001436244)"
LAUNDRY,890272,"KO, KYUNG SIK",FAMILY LAUNDROMAT,NORTHERN BOULEVARD,147-14A NORTHERN BOULEVARD,,11354,7184632309,"147 14A NORTHERN BOULEVARD
QUEENS, NY 11354
(40.76862022064671, -73.82719028070687)"
LAUNDRY,892474,KROBO LAUNDROMAT INC,,EAST  166 STREET,277 EAST  166 STREET,,10456,7185885515,"277 166 STREET
BRONX, NY 10456
(40.83048528413773, -73.91545058928783)"
LAUNDRY,893122,WELL MORE LAUNDROMAT INC,,8 AVENUE,204 8 AVENUE,,10011,2129999999,"204 8 AVENUE
NEW YORK, NY 10011
(40.74366116339178, -73.99967642957739)"
LAUNDRY,896428,"AYALA, MARIO",MARIO LAUNDROMA,103 STREET,37-89 103 STREET,,11368,7186723062,"37 89 103 STREET
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,898213,SHEN INC,,37 AVENUE,97-14 37 AVENUE,,11368,7189999999,"97 14 37 AVENUE
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,898696,"HAN, CHI-SEI",45 AVE LAUNDRY,45 AVENUE,143-01 45 AVENUE,,11355,7189392869,"143 01 45 AVENUE
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
LAUNDRY,901600,"BROOKES, LEROY &    COOPER, ANGELLA",FUN O MAT,WHITE PLAINS ROAD,3828 WHITE PLAINS ROAD,,10467,7186529516,"3828 WHITE PLAINS ROAD
BRONX, NY 10467
(40.88436540464331, -73.86236539856115)"
LAUNDRY,905509,"KONG, APRIL",TOM'S LAUNDRY,FOSTER AVENUE,424 FOSTER AVENUE,,11230,7184354949,"424 FOSTER AVENUE
BROOKLYN, NY 11230
(40.62909179653021, -73.97335504312599)"
LAUNDRY,905775,L S E DOUGLASTON    LAUNDROMAT INC,,DOUGLASTON PARKWAY,44-19 DOUGLASTON PARKWAY,,11363,7182241191,"44 19 DOUGLASTON PARKWAY
QUEENS, NY 11363
(40.772398418252465, -73.74679788741253)"
