design_id,proj_type,name,boro_name,geodist,projdesc,range,desi_compl,ccate,cstat,newsf,newseats
D013199,CIP,P.S. 154,QUEENS,25,ACCESSIBILITY/ELEC SYS/MA, 4 M - 5 M,03/02/2010 08:00:00 AM +0000,Electrical,Design,,
D013271,CIP,P.S. 256 ANNEX,QUEENS,27,CAFE-MULTIPURPOSE RM UPGR, 1 M - 2 M,03/18/2010 07:00:00 AM +0000,Electrical,Design,,
D013271,CIP,P.S. 256 ANNEX,QUEENS,27,CAFE-MULTIPURPOSE RM UPGR, 1 M - 2 M,03/18/2010 07:00:00 AM +0000,Room Conversions/upgrades,Design,,
D013283,CIP,J.H.S. 168,QUEENS,25,ACCESSIBILITY/FIRE ALARM/, 6 M - 7 M,12/01/2010 08:00:00 AM +0000,Building Systems,Design,,
D013445,CIP,AUGUST MARTIN HS,QUEENS,27,RESO A GREEN HOUSE, 1 M - 2 M,03/25/2011 07:00:00 AM +0000,Ext.  Work,Design,,
D013542,CIP,J.H.S. 168,QUEENS,25,ACCESSIBILITY/FIRE ALARM/, 3 M - 4 M,12/06/2010 08:00:00 AM +0000,Accessibility,Design,,
D013542,CIP,J.H.S. 168,QUEENS,25,ACCESSIBILITY/FIRE ALARM/, 3 M - 4 M,12/06/2010 08:00:00 AM +0000,Electrical,Design,,
D013593,CIP,I.S. 171/P.S. 7,BROOKLYN,19,SWB-FACADE/PARAPETS/PAVED, 4 M - 5 M,02/18/2011 08:00:00 AM +0000,Ext.  Work,Design,,
D013641,CIP,I.S. 220,BROOKLYN,20,CEC REQ - AUDITORIUM SEAT, 0   - 1 M,11/12/2010 08:00:00 AM +0000,Auditorium grades,Design,,
D013658,CIP,P.S. 68,QUEENS,24,PAVED AREA - BLACKTOP/ROO, 1 M - 2 M,05/24/2011 07:00:00 AM +0000,Ext.  Work,Scope,,
D013658,CIP,P.S. 68,QUEENS,24,PAVED AREA - BLACKTOP/ROO, 1 M - 2 M,05/24/2011 07:00:00 AM +0000,Site,Scope,,
D013665,CIP,I.S. 171/P.S. 7,BROOKLYN,19,SWB-FACADE/PARAPETS/PAVED, 0   - 1 M,11/02/2010 07:00:00 AM +0000,Site,Design,,
D013678,CIP,P.S. 36,MANHATTAN,5,ELEVATORS/ESCALATORS, 0   - 1 M,05/06/2011 07:00:00 AM +0000,Building Systems,Scope,,
D013721,CIP,P.S. 256,BROOKLYN,13,SCIENCE LAB UPGRADE, 0   - 1 M,06/17/2011 07:00:00 AM +0000,Science Lab Upgrades,Design,,
D013757,CIP,P.S. 46,BROOKLYN,13,SCIENCE DEMO ROOM, 0   - 1 M,02/28/2011 08:00:00 AM +0000,Science Lab Upgrades,Scope,,
D013793,CIP,TOTTENVILLE H.S.,STATEN ISLAND,31,RESO A LIBRARY UPGRADE, 0   - 1 M,06/15/2011 07:00:00 AM +0000,Library Upgrades,Scope,,
D013795,CIP,P.S. 156,BRONX,7,SANITARY PIPING, 0   - 1 M,12/09/2010 08:00:00 AM +0000,Other,Design,,
D013798,CIP,WESTINGHOUSE VOC HS,BROOKLYN,13,CULINARY ARTS ROOM, 1 M - 2 M,08/22/2011 07:00:00 AM +0000,Room Conversions/upgrades,Scope,,
D013813,CIP,FOREST HILLS HS,QUEENS,28,RESO A LIBRARY UPGRADE, 0   - 1 M,03/04/2011 08:00:00 AM +0000,Library Upgrades,Scope,,
