Trade Code,Trade Description,Vendor Name,Address,City,State,Zip,Phone,Fax,Contact Person,MBE,WBE,LBE,>1M,Prequalified Date
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,STANCO SYS. ELEC. CONTRACTING INC,4061 Victory Blvd,Staten Island,NY,10314,718-761-7373,718-761-8383,Robert Imburgia,N,N,N,Y,02/27/2015
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,SUKHMANY CONSTRUCTION INC.,95-01 134th Street,Richmond Hill,NY,11419,718-739-9100,718-739-9101,Sunny Singh,Y,Y,Y,N,02/11/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"SWING STAGING, INC.",49-47 31st Street,Long Island City,NY,11101,718-361-2861,661-458-3925,Ali Shieh,N,N,N,N,05/27/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,"TECHNICO CONSTRUCTION SVCS., INC.",41-33 38th STREET,Long Island City,NY,11101,718-937-3800,718-937-3838,Steve Aniftos,N,N,N,Y,06/10/2013
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,UNITED HOISTING & SCAFFOLDING CORP.,38-51 11TH STREET,LONG ISLAND CITY,NY,11101,718-786-3338,718-784-4215,Christopher Amodeo,N,N,N,Y,09/08/2014
01530,TEMP CONSTR/BRDGS/DECK/OVERPASS,YORK SCAFFOLD EQUIPMENT CORP.,37-20 12TH STREET,LONG ISLAND CITY,NY,11101,718-784-6666,718-482-9016,Tammy Wood,N,N,N,N,06/21/2013
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,"192 BRANCH INTERIOR SERVICES, INC.",119  Gary Way,Ronkonkoma,NY,11779,631-467-6600,516-563-7389,Arthur Chu,N,N,N,N,12/10/2015
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,AARCO Environmental Services Corp.,1 50 Gear Avenue,Lindenhurst,NY,11757,631-586-5900,631-586-5910,Colleen Higgison,N,N,N,N,12/08/2013
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,AB OIL SERVICE LTD.,1599 OCEAN AVENUE,BOHEMIA,NY,11716,631-567-6545,631-567-9390,John Wade,N,N,N,Y,01/11/2014
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,ADAM'S EUROPEAN CONTRACTING INC.,589 Johnson Avenue,Brooklyn,NY,11237,718-417-9000,718-417-1093,M.  SKARZYNSKI,N,N,N,Y,02/24/2014
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,Classic Environmental Inc,112 Wade Road,Latham,NY,12110,518-591-0234,518-591-0704,Greg Streeter,N,N,N,Y,09/10/2013
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,"Clean Earth of North Jersey, Inc.",115  Jacobus Avenue,Kearny,NJ,07032,516-867-6452,973-344-8652,Alan Hershkowitz,N,N,N,Y,10/18/2013
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,"Environmental Waste Minimization, Incorporated",14 Brick Kiln Court,Northampton,PA,18067,484-275-6900,484-275-6970,Michael Bliss,N,N,N,N,10/08/2013
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,"GRAMERCY GROUP, INC.",3000  Burns Avenue,Wantagh,NY,11793,516-876-0020,516-876-0021,Vincent Parziale,N,N,N,Y,03/20/2015
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,"J and D Trucking , Inc.",3526 NW Blvd,Vineland,NJ,08360,856-691-5145,856-691-5134,Renee A Burger,N,N,N,Y,01/11/2014
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,"POSILLICO ENVIRONMENTAL, INC.",1750 New Highway,Farmingdale,NY,11735,631-249-1872,631-249-8124,Michael J. Trotta,N,N,N,Y,07/27/2013
02110,REMOVAL OF TOXIC/HAZ SITE MTRLS,Spectrum Coverage Corp.,323 Merrick Avenue,Merrick,NY,11566,516-546-1100,516-213-8156,Jill Haimson,N,Y,N,Y,05/27/2013
,,,,,,,,,,,,,,
02115,UNDERGROUND STORAGE TANK RMVL,"ACTION REMEDIATION, INC.",3010 BURNS AVENUE,WANTAGH,NY,11793,516-781-3000,516-781-3085,RALPH V. PANTONY,N,N,N,N,02/15/2016
02115,UNDERGROUND STORAGE TANK RMVL,Aventura Construction Corp,1101 Waverly Avenue,Holtsvill,NY,11742,631-654-0660,631-654-0990,Frank DeMeyer,N,N,N,Y,01/19/2014
02115,UNDERGROUND STORAGE TANK RMVL,"Brookside Environmental, Inc.",7 Willis Court,Hicksville,NY,11801,516-377-6300,516-377-6846,Richard Taylor,N,N,N,N,07/12/2014
02115,UNDERGROUND STORAGE TANK RMVL,"E.A.I., Inc. Executive Abatement Industries",50 Prescott Street,JERSEY CITY,NJ,07304,201-686-7272,201-395-0020,ROBERT CARVALHO,N,N,N,N,05/14/2013
02115,UNDERGROUND STORAGE TANK RMVL,GEMSTAR CONSTRUCTION CORP.,83 JEWETT AVENUE,STATEN ISLAND,NY,10302,718-442-8200,718-442-1509,JOHN SAIA,N,N,N,N,04/29/2014
02115,UNDERGROUND STORAGE TANK RMVL,PAUL J. SCARIANO INC,916 Old Nepperhan Avenue,Yonkers,NY,10706,914-623-9200,914-623-9201,Paul Scariano,N,N,N,Y,01/11/2014
02115,UNDERGROUND STORAGE TANK RMVL,"POSILLICO ENVIRONMENTAL, INC.",1750 New Highway,Farmingdale,NY,11735,631-249-1872,631-249-8124,Michael J. Trotta,N,N,N,Y,07/27/2013
02115,UNDERGROUND STORAGE TANK RMVL,Rite Way Tank Maintenance Corp.,700 Hicks Street,Brooklyn,NY,11231,718-855-7272,718-855-7244,Anthony J. Lara,N,N,N,N,04/23/2015
02115,UNDERGROUND STORAGE TANK RMVL,"SOIL SOLUTIONS, INC.",110  CHERRY VALLEY AVENUE,WEST HEMPSTEAD,NY,11552,516-292-6000,516-292-6090,Vincent DeJana,N,N,N,Y,07/15/2014
02115,UNDERGROUND STORAGE TANK RMVL,"THE FRANKLIN COMPANY CONTRACTORS,INC.",22-04 119th Street,College Point,NY,11356,718-762-5200,718-359-7865,William R. Klein,N,N,N,N,02/04/2014
,,,,,,,,,,,,,,
02120,OFF-SITE TRANSPORT & DISPOSAL,AARCO Environmental Services Corp.,1 50 Gear Avenue,Lindenhurst,NY,11757,631-586-5900,631-586-5910,Colleen Higgison,N,N,N,N,12/08/2013
02120,OFF-SITE TRANSPORT & DISPOSAL,"BLACKRIDGE CONSTRUCTION,  LLC",470 Malcom X Blvd.,New York,NY,10037,917-992-3722,212-202-5252,Gregory D. Carroll,Y,N,N,N,04/29/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,Brandenburg Industrial Service Company,37-10 Skillman Avenue,Long Island City,NY,11101,718-685-3710,877-759-1831,John O'Keefe,N,N,N,Y,06/02/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,"Brookside Environmental, Inc.",7 Willis Court,Hicksville,NY,11801,516-377-6300,516-377-6846,Richard Taylor,N,N,N,N,07/12/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,Classic Environmental Inc,112 Wade Road,Latham,NY,12110,518-591-0234,518-591-0704,Greg Streeter,N,N,N,Y,09/10/2013
02120,OFF-SITE TRANSPORT & DISPOSAL,"Clean Earth of North Jersey, Inc.",115  Jacobus Avenue,Kearny,NJ,07032,516-867-6452,973-344-8652,Alan Hershkowitz,N,N,N,Y,10/18/2013
02120,OFF-SITE TRANSPORT & DISPOSAL,"Environmental Waste Minimization, Incorporated",14 Brick Kiln Court,Northampton,PA,18067,484-275-6900,484-275-6970,Michael Bliss,N,N,N,N,10/08/2013
02120,OFF-SITE TRANSPORT & DISPOSAL,Genrus Corporation,107-50 Guy R. Brewer Boulevard,Jamaica,NY,11433,718-291-5789,718-291-5824,Lascelve Allen,Y,N,N,N,04/07/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,"J and D Trucking , Inc.",3526 NW Blvd,Vineland,NJ,08360,856-691-5145,856-691-5134,Renee A Burger,N,N,N,Y,01/11/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,JEG Inc,560 Sylvan Avenue,Englewood Cliffs,NJ,07632,973-357-1111,973-357-1180,Jorge Goni,Y,N,Y,N,06/15/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,"NUGENT TRUCKING,  INC.",955 EAST 80TH STREET,BROOKLYN,NY,11236,718-241-6972,718-241-6912,Maxine Nugent,Y,N,N,N,05/19/2014
02120,OFF-SITE TRANSPORT & DISPOSAL,RICI CORP.,41 Liberty Street,Passaic,NJ,07055,973-614-1266,973-614-1268,Risto Trajkov,N,N,N,Y,05/24/2015
02120,OFF-SITE TRANSPORT & DISPOSAL,Rizzo Environmental Services Corp.,54-01  43rd Street,Maspeth,NY,11378,516-791-9000,516-927-0903,Kelly Rizzo,N,N,N,N,02/20/2016
02120,OFF-SITE TRANSPORT & DISPOSAL,Tri State Soil Solutions LLC,28 Lake Shore Drive South,Randolph,NJ,07869,973-578-2601,973-578-2603,Manuel Raza,Y,N,N,N,08/15/2014
,,,,,,,,,,,,,,
02145,GROUNDWATER TREATMENT SYSTEMS,"CREAMER ENVIRONMENTAL, INC.",215 UNION STREET,HACKENSACK,NJ,07601,201-968-3300,201-968-3301,Tracy Straka,N,N,N,Y,07/27/2014
02145,GROUNDWATER TREATMENT SYSTEMS,Maximum Environmental Management,1170  Lincoln Avenue,Holbrook,NY,11741,631-589-1225,631-589-1157,Michelle Lamberson,N,N,N,Y,01/11/2016
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
02195,REMEDIATION SOIL STABILIZATION,AARCO Environmental Services Corp.,1 50 Gear Avenue,Lindenhurst,NY,11757,631-586-5900,631-586-5910,Colleen Higgison,N,N,N,N,12/08/2013
02195,REMEDIATION SOIL STABILIZATION,ADAM'S EUROPEAN CONTRACTING INC.,589 Johnson Avenue,Brooklyn,NY,11237,718-417-9000,718-417-1093,M.  SKARZYNSKI,N,N,N,Y,02/24/2014
02195,REMEDIATION SOIL STABILIZATION,"Brookside Environmental, Inc.",7 Willis Court,Hicksville,NY,11801,516-377-6300,516-377-6846,Richard Taylor,N,N,N,N,07/12/2014
02195,REMEDIATION SOIL STABILIZATION,"CREAMER ENVIRONMENTAL, INC.",215 UNION STREET,HACKENSACK,NJ,07601,201-968-3300,201-968-3301,Tracy Straka,N,N,N,Y,07/27/2014
02195,REMEDIATION SOIL STABILIZATION,ENVIROTRAC LTD,5 Old Dock Road,Yaphank,NY,11980,631-924-3001,631-924-5001,Bryan L. Rivera,N,N,N,Y,05/10/2014
02195,REMEDIATION SOIL STABILIZATION,"J and D Trucking , Inc.",3526 NW Blvd,Vineland,NJ,08360,856-691-5145,856-691-5134,Renee A Burger,N,N,N,Y,01/11/2014
02195,REMEDIATION SOIL STABILIZATION,P.A.L. ENVIRONMENTAL SAFETY CORP.,11-02 Queens Plaza South,LONG ISLAND CITY,NY,11101,718-349-0900,718-349-2800,Aric Domozick,N,N,N,Y,09/04/2015
02195,REMEDIATION SOIL STABILIZATION,"SOIL SOLUTIONS, INC.",110  CHERRY VALLEY AVENUE,WEST HEMPSTEAD,NY,11552,516-292-6000,516-292-6090,Vincent DeJana,N,N,N,Y,07/15/2014
02195,REMEDIATION SOIL STABILIZATION,Spectrum Coverage Corp.,323 Merrick Avenue,Merrick,NY,11566,516-546-1100,516-213-8156,Jill Haimson,N,Y,N,Y,05/27/2013
02195,REMEDIATION SOIL STABILIZATION,"UTB-UNITED TECHNOLOGY, INC.",141 NEW HYDE PARK ROAD,FRANKLIN SQUARE,NY,11010,516-326-1160,516-326-1162,MOHAN SHARMA,Y,N,N,Y,07/25/2015
,,,,,,,,,,,,,,
02200,SITE PREPARATION,A. Williams Trucking & Backhoe Trenching  INC.,225 3RD AVENUE,BROOKLYN,NY,11217,718-923-9600,718-923-1603,SALLY WILLIAMS,Y,Y,N,Y,11/22/2013
02200,SITE PREPARATION,"AD-TECH ENTERPRISES, LTD",21 Warren Place,Mount Vernon,NY,10550,914-665-0083,914-699-5434,Marcus Jarl,N,N,N,Y,03/20/2015
02200,SITE PREPARATION,ALZA CONSTRUCTION CORPORATION,146-20 Guy R. Brewer Blvd.,Jamaica,NY,11434,718-276-2600,718-276-4100,Thomas A. Marlow,Y,N,Y,N,06/30/2013
02200,SITE PREPARATION,"AMCI CONSTRUCTION, INC.",50-18 Vernon Blvd,Long Island City,NY,11101,718-472-9500,718-472-2250,Charles Marino,N,N,N,N,02/04/2014
02200,SITE PREPARATION,Applied Landscape Technologies Inc.,145 River Road,Montville,NJ,07045,973-402-6544,973-402-6709,Cory LaBarre,N,N,N,Y,12/20/2014
02200,SITE PREPARATION,ARAZ INDUSTRIES INC.,45 JERSEY STREET,West Babylon,NY,11704,631-491-1229,631-491-1602,MIRRA ZARA,N,N,N,Y,11/09/2013
02200,SITE PREPARATION,Atlantic Lining Co. Inc.,2206 Saylors Pond Rd,Jobstown,NJ,08041,609-723-2400,609-723-2700,"Wayne T. Farrow, J",N,N,N,Y,01/03/2016
02200,SITE PREPARATION,BANCKER CONSTRUCTION CORP.,218 Blydenburgh Road,Islandia,NY,11749,631-582-8880,631-582-3698,Stephen M. Beyer,N,N,N,Y,12/13/2014
02200,SITE PREPARATION,Benaka Inc,7 Lawrence Street,New Brunswick,NJ,08901,732-246-7060,732-246-7073,Chickballapur Manj,N,N,N,Y,05/24/2014
02200,SITE PREPARATION,CARNAK CONSTRUCTION INC.,500 Ocean Avenue,East Rockaway,NY,11518,516-593-6460,516-887-5320,Soteris Zografakis,N,N,N,Y,07/14/2013
02200,SITE PREPARATION,COPPOLA PAVING & LANDSCAPING CORP.,3830 BOSTON ROAD,BRONX,NY,10475,718-325-8815,718-325-9305,ERIC COPPOLA,N,N,N,Y,08/17/2013
02200,SITE PREPARATION,Cormican Construction LLC,90 West Sandford Blvd.,Mount Vernon,NY,10550,914-663-9622,914-663-9623,Lisa Buchanan,N,N,Y,N,03/16/2013
02200,SITE PREPARATION,Cruz Contractors LLC,952  Holmdel Road,Holmdel,NJ,07733,732-946-8400,732-946-8956,Lisa Gulino,N,N,N,Y,12/12/2014
02200,SITE PREPARATION,DATA CONSTRUCTION CO L.L.C.,6  Debracy Court,Manalapan,NJ,07726,732-972-0740,732-972-9390,Dominick Ali,N,N,N,N,02/08/2014
02200,SITE PREPARATION,"Davrial Enterprises, Inc.",135  Millet Street N.,Dix Hills,NY,11746,631-858-0812,631-486-5117,Nalini Durgana,Y,Y,N,N,11/07/2015
02200,SITE PREPARATION,DeThomas & Son Concrete Corp,163 Sullivan La,Westbury,NY,11590,516-333-2828,516-997-0834,Thomas Buscher,Y,N,N,N,06/08/2013
02200,SITE PREPARATION,"DiFazio Industries, Inc.",38  Kinsey Place,Staten Island,NY,11358,718-720-6966,718-816-5689,John DiFazio,N,N,N,Y,03/24/2013
02200,SITE PREPARATION,DOM''S LAWN MAKER INC.,101 Harbor Road,Port Washington,NY,11050,516-944-6497,516-944-9273,Dominick D''Alonzo,N,N,N,N,08/05/2013
02200,SITE PREPARATION,"DOYLE-BALDANTE, INC.",535 BROAD HOLLOW ROAD,MELVILLE,NY,11747,631-694-7171,631-694-9174,"JAMES T. DOYLE, JR",N,N,N,Y,12/19/2014
02200,SITE PREPARATION,"EASTERN EXCAVATION, INC.",59 Nepperhan Avenue,Elmsford,NY,10523,914-592-7275,914-592-0151,Lenore Delucie,N,N,N,Y,01/09/2015
02200,SITE PREPARATION,FGI CORPORATION,1901 AMETHYST STREET,BRONX,NY,10462,718-824-0264,718-824-9438,JOHN MARRICCO,N,N,N,Y,04/02/2013
02200,SITE PREPARATION,Fredante Construction Corp.,18 Woodlee Road,Cold Spring Harbor,NY,11724,631-367-4479,631-692-4414,THOMAS BALDANTE,N,N,N,N,10/03/2014
02200,SITE PREPARATION,"FRITCH CONSTRUCTION CO., INC.",2 RAILROAD AVENUE,EAST NORTHPORT,NY,11731,631-757-5702,631-757-1151,MAUREEN FRITCH,N,Y,N,Y,06/01/2014
02200,SITE PREPARATION,G. Fiore Concrete & Construction Inc.,4233 Arthur Kill Rd,Staten Island,NY,10309,718-967-7635,718-605-3103,Glenn Fiore,N,N,N,N,03/01/2015
02200,SITE PREPARATION,GEMSTAR CONSTRUCTION CORP.,83 JEWETT AVENUE,STATEN ISLAND,NY,10302,718-442-8200,718-442-1509,JOHN SAIA,N,N,N,N,04/29/2014
02200,SITE PREPARATION,GREEN GOLD DEVELOPMENT CORP.,18-56 42ND STREET,ASTORIA,NY,11105,718-721-6677,718-626-2110,Alfonso Taibi,N,N,N,N,08/21/2015
02200,SITE PREPARATION,KROYWEN RLTY & CONSTRUCTION CORP,36-02 ASTORIA BOULEVARD,ASTORIA,NY,11103,718-626-7272,718-932-4667,Vincent Wade,N,N,N,Y,12/29/2013
02200,SITE PREPARATION,let it Grow INc,52  Ackerson Street,River Edge,NJ,07661,201-478-6266,201-489-0808,Donna O'Reilly,N,N,N,Y,02/22/2015
02200,SITE PREPARATION,LIGHT HOUSE DESIGNS INC.,10 Shore Blvd.,Brooklyn,NY,11235,718-934-2029,718-504-3933,Isabella Anatolia,N,Y,Y,N,09/02/2013
02200,SITE PREPARATION,Long Island Concrete Inc.,31-31 48th Avenue,Long Island City,NY,11101,718-784-4606,718-784-4624,Thomas J. Perno,N,N,N,Y,10/31/2014
02200,SITE PREPARATION,Malcolm Patrick Corporation,55 Webster Avenue,New Rochelle,NY,10801,914-633-3755,914-633-1415,Deighton Taylor,Y,N,N,N,09/19/2015
02200,SITE PREPARATION,MARGARELLA INDUSTRIAL CONSTRUCTION CORP,2351 Richmond Terrace,Staten Island,NY,10302,718-980-7569,718-668-1812,Stephen Margarella,N,N,Y,N,12/29/2014
02200,SITE PREPARATION,MAYRICH CONSTRUCTION CORP.,1141 OAK POINT AVENUE,BRONX,NY,10474,718-378-2600,718-893-1800,Mike Giacopelli,N,N,N,Y,12/22/2013
02200,SITE PREPARATION,Maysonet Limited Liability Company,4 Orchard Terrace,Clark,NJ,07066,732-396-0873,732-396-0009,Mark  Maysonet,Y,N,N,N,05/04/2014
02200,SITE PREPARATION,"N. J. D. WIRING & ELECTRIC, INC.",213-08 99th Avenue,Queens Village,NY,11429,718-479-5400,718-479-3063,PETER KARAGEORGIOU,N,N,N,Y,04/14/2014
02200,SITE PREPARATION,"NASDI, LLC",2705 Richmond Terrace,Staten Island,NY,10303,718-981-9100,781-250-6703,Albert Mandrafino,N,N,N,Y,07/09/2013
02200,SITE PREPARATION,NEW YORK CONCRETE CORP.,708 Sharrotts Road,STATEN ISLAND,NY,10309,718-967-3720,718-967-0144,DONNA MARIE RUSSO,N,Y,N,Y,10/04/2013
02200,SITE PREPARATION,"OLIVEIRA CONTRACTING, INC.",15 Albertson Ave,Albertson,NY,11507,516-333-6343,516-333-6367,Joel Martins,N,N,N,Y,01/12/2014
02200,SITE PREPARATION,"PADILLA CONSTRUCTION SERVICES, INC.",299 Main Street,Westbury,NY,11590,516-338-6848,516-338-6920,Jefferson Sa,Y,N,N,Y,03/19/2013
02200,SITE PREPARATION,PAUL J. SCARIANO INC,916 Old Nepperhan Avenue,Yonkers,NY,10706,914-623-9200,914-623-9201,Paul Scariano,N,N,N,Y,01/11/2014
02200,SITE PREPARATION,PERFETTO CONTRACTING CO.,250 SIXTH STREET,BROOKLYN,NY,11215,718-858-8600,718-858-8604,Cesare Perfetto,N,N,N,Y,11/09/2014
02200,SITE PREPARATION,"PHASE 1 GROUP, INC.",59 ENGLEWOOD AVENUE,STATEN ISLAND,NY,10309,718-966-7700,718-966-7790,Jane M. Petri,N,N,N,Y,04/01/2013
02200,SITE PREPARATION,"POSILLICO CIVIL, INC.",1750 NEW HIGHWAY,FARMINGDALE,NY,11735,631-249-1872,631-249-8124,Mike Trotta,N,N,N,Y,06/18/2013
02200,SITE PREPARATION,RECINE MATERIALS CORP.,147 E. 2nd Street,Mineola,NY,11501,516-833-6481,516-833-6308,TINA RECINE,N,N,N,N,12/21/2013
02200,SITE PREPARATION,RESTANI CONSTRUCTION CORP.,42-04 BERRIAN BLVD.,ASTORIA,NY,11105,718-728-0870,718-728-0873,SALVATORE RESTIVO,N,N,N,Y,09/09/2014
02200,SITE PREPARATION,RMSK Contracting Corp.,440 West St.,Fort Lee,NJ,07024,201-346-0100,201-346-0500,Peter Viceconte,N,N,N,N,04/04/2015
02200,SITE PREPARATION,scaffidi paving and drainage inc;,34  rte 9w,west haverstraw,NY,10993,845-596-0590,845-429-7030,danny scaffidi,Y,N,N,N,08/17/2013
02200,SITE PREPARATION,Scope Contracting Corp.,"160-20,  85th Ave",Jamaica,NY,11432,917-803-5638,718-262-0394,Mominul Hoque,Y,Y,N,N,09/14/2013
02200,SITE PREPARATION,SILVERLANDS SERVICES INC.,4475 SOUTH CLINTON AVE,SOUTH PLAINFIELD,NJ,07080,609-903-7777,732-518-6666,MADHU RAJAN,Y,N,N,N,08/23/2014
02200,SITE PREPARATION,"SUPERIOR SITEWORK, INC.",28 GARFIELD AVENUE,BAYSHORE,NY,11706,631-595-1202,631-595-2302,Susan Caruso,N,N,N,N,02/28/2015
02200,SITE PREPARATION,TRIUMPH CONSTRUCTION CORP.,1354 Seneca Avenue,Bronx,NY,10474,718-861-6060,718-861-6660,Dominick Cuzzi,N,N,N,Y,11/16/2015
02200,SITE PREPARATION,"URBAN FOUNDATIONENGINEERING, LLC",32-33 111th Street,EAST ELMHURST,NY,11369,718-478-3021,718-397-1917,Heymi Kuriel,N,N,N,Y,01/07/2016
02200,SITE PREPARATION,"UTB-UNITED TECHNOLOGY, INC.",141 NEW HYDE PARK ROAD,FRANKLIN SQUARE,NY,11010,516-326-1160,516-326-1162,MOHAN SHARMA,Y,N,N,Y,07/25/2015
02200,SITE PREPARATION,"VENUS GROUP, INC.",97-06 117th Street,Richmond Hill,NY,11419,347-480-5450,347-480-5451,DHARMBIR SINGH,Y,N,Y,Y,11/22/2014
02200,SITE PREPARATION,WILLIAM A. GROSS CONST. ASSOC. INC.,117 South 4th Street,NEW HYDE PARK,NY,11040,516-437-0909,516-437-7768,Donna Destefano,N,N,N,Y,01/31/2016
02200,SITE PREPARATION,"Yonkers Contracting Company, Inc.",969 Midland Avenue,Yonkers,NY,10704,914-965-1500,914-378-8880,John L. Kolaya,N,N,N,Y,05/13/2013
,,,,,,,,,,,,,,
02210,SUBSURFACE INVESTIGATION,"Admiral Conservation Services II, Inc.",73 Redding Road,Redding,CT,06896,203-544-7190,203-544-8712,Jo Schimke,N,N,N,N,01/05/2014
02210,SUBSURFACE INVESTIGATION,"Aquifer Drilling & Testing, Inc.",150 NASSAU TERMINAL ROAD,NEW HYDE PARK,NY,11040,516-616-6026,516-616-6194,Steve Wolf,N,N,N,N,01/26/2014
02210,SUBSURFACE INVESTIGATION,"BEM SYSTEMS, INC.",100 PASSAIC AVENUE,CHATHAM,NJ,07928,908-598-2600,908-598-2622,Mittul Patel,N,N,N,Y,06/30/2014
02210,SUBSURFACE INVESTIGATION,"Diversified Geophysics, Inc.",75 East 2nd Street,Mineola,NY,11501,516-326-0586,516-616-6194,Andrew Silver,N,N,N,N,06/14/2013
02210,SUBSURFACE INVESTIGATION,"Environmental Liability Management, LLC","267 Broadway, Fifth Floor",New York,NY,10007,212-962-4301,212-962-4302,Richard Kampf,N,N,N,Y,04/27/2013
02210,SUBSURFACE INVESTIGATION,"Hager-Richter Geoscience, Inc.",8 Industrial Way,Salem,NH,03079,603-893-9944,603-893-8313,Dorothy Richter,N,Y,N,Y,11/01/2015
02210,SUBSURFACE INVESTIGATION,J.P. HOGAN CORING & SAWING CORP.,680 GULF AVENUE,STATEN ISLAND,NY,10314,718-761-7014,718-370-2826,Kathy Stimphil,N,N,N,N,07/08/2014
