Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
Borough Total,Manhattan,Aug 2006,16416,10947,66.7%,8993,54.8%,82.2%,2791,17%,25.5%,6202,37.799999999999997%,56.7%,1954,11.9%,17.8%,3194,19.5%,1674,10.199999999999999%
Borough Total,Queens,2001,17011,9180,54%,6452,37.9%,70.3%,2694,15.8%,29.3%,3758,22.1%,40.9%,2738,16.100000000000001%,29.8%,4679,27.5%,2696,15.8%
Borough Total,Queens,2002,18262,9869,54%,7250,39.700000000000003%,73.5%,2837,15.5%,28.7%,4413,24.2%,44.7%,2624,14.4%,26.6%,4961,27.2%,2816,15.4%
Borough Total,Queens,2003,18415,10455,56.8%,7917,43%,75.7%,3395,18.399999999999999%,32.5%,4522,24.6%,43.3%,2538,13.8%,24.3%,4869,26.4%,2718,14.8%
Borough Total,Queens,2004,18725,10922,58.3%,8450,45.1%,77.400000000000006%,3604,19.2%,33%,4846,25.9%,44.4%,2472,13.2%,22.6%,5001,26.7%,2505,13.4%
Borough Total,Queens,2005,19511,11863,60.8%,9290,47.6%,78.3%,3618,18.5%,30.5%,5672,29.1%,47.8%,2573,13.2%,21.7%,4435,22.7%,2435,12.5%
Borough Total,Queens,2006,19558,12465,63.7%,10285,52.6%,82.5%,3637,18.600000000000001%,29.2%,6648,34%,53.3%,2180,11.1%,17.5%,4272,21.8%,2256,11.5%
Borough Total,Queens,Aug 2006,19558,13378,68.400000000000006%,10752,55%,80.400000000000006%,3681,18.8%,27.5%,7071,36.200000000000003%,52.9%,2626,13.4%,19.600000000000001%,3363,17.2%,2252,11.5%
Borough Total,Staten Island,2001,3872,2565,66.2%,1901,49.1%,74.099999999999994%,876,22.6%,34.200000000000003%,1025,26.5%,40%,665,17.2%,25.9%,786,20.3%,417,10.8%
Borough Total,Staten Island,2002,4134,2721,65.8%,2040,49.3%,75%,861,20.8%,31.6%,1179,28.5%,43.3%,683,16.5%,25.1%,844,20.399999999999999%,426,10.3%
Borough Total,Staten Island,2003,4218,2812,66.7%,2169,51.4%,77.099999999999994%,883,20.9%,31.4%,1286,30.5%,45.7%,643,15.2%,22.9%,919,21.8%,374,8.9%
Borough Total,Staten Island,2004,4142,2788,67.3%,2220,53.6%,79.599999999999994%,1029,24.8%,36.9%,1191,28.8%,42.7%,568,13.7%,20.399999999999999%,844,20.399999999999999%,381,9.199999999999999%
Borough Total,Staten Island,2005,4460,3098,69.5%,2467,55.3%,79.599999999999994%,1059,23.7%,34.200000000000003%,1408,31.6%,45.4%,631,14.1%,20.399999999999999%,758,17%,362,8.1%
Borough Total,Staten Island,2006,4603,3346,72.7%,2818,61.2%,84.2%,1192,25.9%,35.6%,1626,35.299999999999997%,48.6%,528,11.5%,15.8%,683,14.8%,414,9%
Borough Total,Staten Island,Aug 2006,4603,3423,74.400000000000006%,2856,62%,83.4%,1194,25.9%,34.9%,1662,36.1%,48.6%,567,12.3%,16.600000000000001%,607,13.2%,413,9%
English Language Learners,Bronx,2001,1984,388,19.6%,78,3.9%,20.1%,10,0.5%,2.6%,68,3.4%,17.5%,311,15.7%,80.2%,799,40.3%,592,29.8%
English Language Learners,Bronx,2002,1693,333,19.7%,77,4.5%,23.1%,7,0.4%,2.1%,70,4.1%,21%,257,15.2%,77.2%,725,42.8%,509,30.1%
English Language Learners,Bronx,2003,1905,391,20.5%,95,5%,24.3%,12,0.6%,3.1%,83,4.4%,21.2%,296,15.5%,75.7%,790,41.5%,586,30.8%
English Language Learners,Bronx,2004,1894,640,33.8%,214,11.3%,33.4%,27,1.4%,4.2%,187,9.9%,29.2%,426,22.5%,66.6%,711,37.5%,437,23.1%
English Language Learners,Bronx,2005,1940,694,35.8%,317,16.3%,45.7%,53,2.7%,7.6%,264,13.6%,38%,377,19.4%,54.3%,685,35.3%,357,18.4%
English Language Learners,Bronx,2006,2143,791,36.9%,396,18.5%,50.1%,30,1.4%,3.8%,366,17.1%,46.3%,395,18.4%,49.9%,722,33.7%,429,20%
English Language Learners,Bronx,Aug 2006,2143,899,42%,422,19.7%,46.9%,31,1.4%,3.4%,391,18.2%,43.5%,477,22.3%,53.1%,619,28.9%,424,19.8%
English Language Learners,Brooklyn,2001,2543,691,27.2%,268,10.5%,38.8%,116,4.6%,16.8%,152,6%,22%,424,16.7%,61.4%,1070,42.1%,658,25.9%
English Language Learners,Brooklyn,2002,1902,428,22.5%,145,7.6%,33.9%,46,2.4%,10.7%,99,5.2%,23.1%,287,15.1%,67.1%,765,40.2%,622,32.7%
English Language Learners,Brooklyn,2003,1899,448,23.6%,217,11.4%,48.4%,82,4.3%,18.3%,135,7.1%,30.1%,231,12.2%,51.6%,849,44.7%,542,28.5%
English Language Learners,Brooklyn,2004,2055,730,35.5%,381,18.5%,52.2%,142,6.9%,19.5%,239,11.6%,32.7%,349,17%,47.8%,799,38.9%,447,21.8%
English Language Learners,Brooklyn,2005,2220,864,38.9%,474,21.4%,54.9%,177,8%,20.5%,297,13.4%,34.4%,390,17.6%,45.1%,851,38.3%,409,18.4%
English Language Learners,Brooklyn,2006,2181,905,41.5%,641,29.4%,70.8%,186,8.5%,20.6%,455,20.9%,50.3%,264,12.1%,29.2%,764,35%,433,19.9%
English Language Learners,Brooklyn,Aug 2006,2181,988,45.3%,674,30.9%,68.2%,188,8.6%,19%,486,22.3%,49.2%,314,14.4%,31.8%,681,31.2%,433,19.9%
English Language Learners,Manhattan,2001,1956,691,35.3%,237,12.1%,34.3%,49,2.5%,7.1%,188,9.6%,27.2%,454,23.2%,65.7%,592,30.3%,527,26.9%
English Language Learners,Manhattan,2002,1397,331,23.7%,133,9.5%,40.2%,17,1.2%,5.1%,116,8.3%,35%,202,14.5%,61%,610,43.7%,392,28.1%
English Language Learners,Manhattan,2003,1761,489,27.8%,195,11.1%,39.9%,51,2.9%,10.4%,144,8.2%,29.4%,294,16.7%,60.1%,751,42.6%,453,25.7%
English Language Learners,Manhattan,2004,1854,698,37.6%,344,18.6%,49.3%,124,6.7%,17.8%,220,11.9%,31.5%,354,19.1%,50.7%,737,39.8%,351,18.9%
English Language Learners,Manhattan,2005,1909,815,42.7%,462,24.2%,56.7%,148,7.8%,18.2%,314,16.4%,38.5%,352,18.4%,43.2%,637,33.4%,365,19.1%
English Language Learners,Manhattan,2006,1977,817,41.3%,563,28.5%,68.9%,169,8.5%,20.7%,394,19.9%,48.2%,254,12.8%,31.1%,643,32.5%,411,20.8%
English Language Learners,Manhattan,Aug 2006,1977,881,44.6%,576,29.1%,65.4%,169,8.5%,19.2%,407,20.6%,46.2%,305,15.4%,34.6%,580,29.3%,410,20.7%
English Language Learners,Queens,2001,2689,873,32.5%,362,13.5%,41.5%,136,5.1%,15.6%,226,8.4%,25.9%,512,19%,58.6%,1023,38%,673,25%
English Language Learners,Queens,2002,1963,476,24.2%,223,11.4%,46.8%,58,3%,12.2%,165,8.4%,34.7%,254,12.9%,53.4%,789,40.2%,614,31.3%
English Language Learners,Queens,2003,2127,579,27.2%,314,14.8%,54.2%,112,5.3%,19.3%,202,9.5%,34.9%,265,12.5%,45.8%,857,40.3%,621,29.2%
English Language Learners,Queens,2004,2456,919,37.4%,537,21.9%,58.4%,183,7.5%,19.9%,354,14.4%,38.5%,382,15.6%,41.6%,957,39%,523,21.3%
English Language Learners,Queens,2005,2508,1049,41.8%,630,25.1%,60.1%,202,8.1%,19.3%,428,17.1%,40.8%,419,16.7%,39.9%,827,33%,516,20.6%
English Language Learners,Queens,2006,2598,1168,45%,793,30.5%,67.9%,195,7.5%,16.7%,598,23%,51.2%,375,14.4%,32.1%,832,32%,497,19.1%
English Language Learners,Queens,Aug 2006,2598,1328,51.1%,856,32.9%,64.5%,207,8%,15.6%,649,25%,48.9%,472,18.2%,35.5%,672,25.9%,497,19.1%
English Language Learners,Staten Island,2001,171,42,24.6%,16,9.4%,38.1%,4,2.3%,9.5%,12,7%,28.6%,26,15.2%,61.9%,78,45.6%,38,22.2%
English Language Learners,Staten Island,2002,153,41,26.8%,17,11.1%,41.5%,4,2.6%,9.8%,13,8.5%,31.7%,24,15.7%,58.5%,64,41.8%,39,25.5%
English Language Learners,Staten Island,2003,201,74,36.8%,46,22.9%,62.2%,5,2.5%,6.8%,41,20.4%,55.4%,28,13.9%,37.8%,73,36.3%,36,17.9%
English Language Learners,Staten Island,2004,153,36,23.5%,15,9.8%,41.7%,2,1.3%,5.6%,13,8.5%,36.1%,21,13.7%,58.3%,70,45.8%,38,24.8%
English Language Learners,Staten Island,2005,187,59,31.6%,25,13.4%,42.4%,3,1.6%,5.1%,22,11.8%,37.3%,34,18.2%,57.6%,59,31.6%,41,21.9%
English Language Learners,Staten Island,2006,153,74,48.4%,44,28.8%,59.5%,13,8.5%,17.6%,31,20.3%,41.9%,30,19.6%,40.5%,40,26.1%,24,15.7%
English Language Learners,Staten Island,Aug 2006,153,79,51.6%,45,29.4%,57%,13,8.5%,16.5%,32,20.9%,40.5%,34,22.2%,43%,35,22.9%,24,15.7%
English Proficient Students,Bronx,2001,9469,4525,47.8%,2566,27.1%,56.7%,988,10.4%,21.8%,1578,16.7%,34.9%,1960,20.7%,43.3%,2713,28.7%,1846,19.5%
English Proficient Students,Bronx,2002,10339,4995,48.3%,3041,29.4%,60.9%,985,9.5%,19.7%,2056,19.9%,41.2%,1960,19%,39.2%,3322,32.1%,1631,15.8%
English Proficient Students,Bronx,2003,11727,5998,51.1%,3766,32.1%,62.8%,1243,10.6%,20.7%,2523,21.5%,42.1%,2232,19%,37.2%,3468,29.6%,1886,16.1%
English Proficient Students,Bronx,2004,12470,6808,54.6%,4411,35.4%,64.8%,1368,11%,20.1%,3043,24.4%,44.7%,2397,19.2%,35.2%,3458,27.7%,1866,15%
English Proficient Students,Bronx,2005,13235,7535,56.9%,5301,40.1%,70.4%,1491,11.3%,19.8%,3810,28.8%,50.6%,2234,16.9%,29.6%,3258,24.6%,1790,13.5%
English Proficient Students,Bronx,2006,13436,7733,57.6%,5916,44%,76.5%,1528,11.4%,19.8%,4388,32.7%,56.7%,1817,13.5%,23.5%,3102,23.1%,1973,14.7%
English Proficient Students,Bronx,Aug 2006,13436,8316,61.9%,6183,46%,74.4%,1541,11.5%,18.5%,4642,34.5%,55.8%,2133,15.9%,25.6%,2541,18.9%,1951,14.5%
English Proficient Students,Brooklyn,2001,17418,9067,52.1%,5909,33.9%,65.2%,2713,15.6%,29.9%,3196,18.3%,35.2%,3167,18.2%,34.9%,5031,28.9%,2889,16.6%
English Proficient Students,Brooklyn,2002,18906,9909,52.4%,6905,36.5%,69.7%,2819,14.9%,28.4%,4086,21.6%,41.2%,3011,15.9%,30.4%,5603,29.6%,2747,14.5%
English Proficient Students,Brooklyn,2003,19435,10616,54.6%,7494,38.6%,70.6%,3157,16.2%,29.7%,4337,22.3%,40.9%,3122,16.1%,29.4%,5722,29.4%,2656,13.7%
English Proficient Students,Brooklyn,2004,20298,11573,57%,8491,41.8%,73.4%,3599,17.7%,31.1%,4892,24.1%,42.3%,3082,15.2%,26.6%,5688,28%,2526,12.4%
English Proficient Students,Brooklyn,2005,20111,11739,58.4%,9014,44.8%,76.8%,3441,17.1%,29.3%,5573,27.7%,47.5%,2725,13.5%,23.2%,5469,27.2%,2169,10.8%
English Proficient Students,Brooklyn,2006,19996,12135,60.7%,9799,49%,80.7%,3531,17.7%,29.1%,6268,31.3%,51.7%,2336,11.7%,19.3%,4872,24.4%,2298,11.5%
English Proficient Students,Brooklyn,Aug 2006,19996,13055,65.3%,10271,51.4%,78.7%,3575,17.9%,27.4%,6696,33.5%,51.3%,2784,13.9%,21.3%,3967,19.8%,2283,11.4%
English Proficient Students,Manhattan,2001,10714,6789,63.4%,4726,44.1%,69.6%,1802,16.8%,26.5%,2924,27.3%,43.1%,2065,19.3%,30.4%,2237,20.9%,1435,13.4%
English Proficient Students,Manhattan,2002,12066,7415,61.5%,5364,44.5%,72.3%,1855,15.4%,25%,3509,29.1%,47.3%,2057,17%,27.7%,2951,24.5%,1351,11.2%
English Proficient Students,Manhattan,2003,12118,7124,58.8%,5304,43.8%,74.5%,2476,20.4%,34.8%,2828,23.3%,39.7%,1820,15%,25.5%,3489,28.8%,1276,10.5%
English Proficient Students,Manhattan,2004,13273,8082,60.9%,6105,46%,75.5%,2687,20.2%,33.2%,3418,25.8%,42.3%,1977,14.9%,24.5%,3506,26.4%,1491,11.2%
English Proficient Students,Manhattan,2005,13934,9001,64.6%,7161,51.4%,79.6%,2525,18.1%,28.1%,4636,33.3%,51.5%,1840,13.2%,20.4%,3237,23.2%,1232,8.8%
English Proficient Students,Manhattan,2006,14439,9594,66.4%,8152,56.5%,85%,2612,18.1%,27.2%,5540,38.4%,57.7%,1442,10%,15%,3076,21.3%,1273,8.8%
English Proficient Students,Manhattan,Aug 2006,14439,10066,69.7%,8417,58.3%,83.6%,2622,18.2%,26%,5795,40.1%,57.6%,1649,11.4%,16.4%,2614,18.1%,1264,8.8%
English Proficient Students,Queens,2001,14322,8307,58%,6090,42.5%,73.3%,2558,17.9%,30.8%,3532,24.7%,42.5%,2226,15.5%,26.8%,3656,25.5%,2023,14.1%
English Proficient Students,Queens,2002,16299,9393,57.6%,7027,43.1%,74.8%,2779,17.1%,29.6%,4248,26.1%,45.2%,2370,14.5%,25.2%,4172,25.6%,2202,13.5%
English Proficient Students,Queens,2003,16288,9876,60.6%,7603,46.7%,77%,3283,20.2%,33.2%,4320,26.5%,43.7%,2273,14%,23%,4012,24.6%,2097,12.9%
English Proficient Students,Queens,2004,16269,10003,61.5%,7913,48.6%,79.1%,3421,21%,34.2%,4492,27.6%,44.9%,2090,12.8%,20.9%,4044,24.9%,1982,12.2%
English Proficient Students,Queens,2005,17003,10814,63.6%,8660,50.9%,80.1%,3416,20.1%,31.6%,5244,30.8%,48.5%,2154,12.7%,19.9%,3608,21.2%,1919,11.3%
English Proficient Students,Queens,2006,16960,11297,66.6%,9492,56%,84%,3442,20.3%,30.5%,6050,35.7%,53.6%,1805,10.6%,16%,3440,20.3%,1759,10.4%
English Proficient Students,Queens,Aug 2006,16960,12050,71%,9896,58.3%,82.1%,3474,20.5%,28.8%,6422,37.9%,53.3%,2154,12.7%,17.9%,2691,15.9%,1755,10.3%
English Proficient Students,Staten Island,2001,3701,2523,68.2%,1885,50.9%,74.7%,872,23.6%,34.6%,1013,27.4%,40.2%,639,17.3%,25.3%,708,19.1%,379,10.2%
English Proficient Students,Staten Island,2002,3981,2680,67.3%,2023,50.8%,75.5%,857,21.5%,32%,1166,29.3%,43.5%,659,16.6%,24.6%,780,19.6%,387,9.7%
English Proficient Students,Staten Island,2003,4017,2738,68.2%,2123,52.9%,77.5%,878,21.9%,32.1%,1245,31%,45.5%,615,15.3%,22.5%,846,21.1%,338,8.4%
English Proficient Students,Staten Island,2004,3989,2752,69%,2205,55.3%,80.1%,1027,25.7%,37.3%,1178,29.5%,42.8%,547,13.7%,19.9%,774,19.4%,343,8.6%
English Proficient Students,Staten Island,2005,4273,3039,71.1%,2442,57.1%,80.4%,1056,24.7%,34.7%,1386,32.4%,45.6%,597,14%,19.6%,699,16.4%,321,7.5%
English Proficient Students,Staten Island,2006,4450,3272,73.5%,2774,62.3%,84.8%,1179,26.5%,36%,1595,35.8%,48.7%,498,11.2%,15.2%,643,14.4%,390,8.8%
English Proficient Students,Staten Island,Aug 2006,4450,3344,75.1%,2811,63.2%,84.1%,1181,26.5%,35.3%,1630,36.6%,48.7%,533,12%,15.9%,572,12.9%,389,8.7%
Special Education,Bronx,2001,2259,309,13.7%,40,1.8%,12.9%,6,0.3%,1.9%,34,1.5%,11%,271,12%,87.7%,561,24.8%,866,38.3%
Special Education,Bronx,2002,1594,255,16%,41,2.6%,16.1%,1,0.1%,0.4%,40,2.5%,15.7%,214,13.4%,83.9%,580,36.4%,489,30.7%
Special Education,Bronx,2003,2273,362,15.9%,60,2.6%,16.6%,8,0.4%,2.2%,52,2.3%,14.4%,302,13.3%,83.4%,1022,45%,593,26.1%
Special Education,Bronx,2004,2388,518,21.7%,127,5.3%,24.5%,15,0.6%,2.9%,112,4.7%,21.6%,391,16.4%,75.5%,947,39.7%,553,23.2%
Special Education,Bronx,2005,2665,585,22%,200,7.5%,34.2%,16,0.6%,2.7%,184,6.9%,31.5%,385,14.4%,65.8%,1017,38.2%,588,22.1%
Special Education,Bronx,2006,2889,741,25.6%,261,9%,35.2%,17,0.6%,2.3%,244,8.4%,32.9%,480,16.6%,64.8%,988,34.2%,655,22.7%
Special Education,Bronx,Aug 2006,2889,818,28.3%,272,9.4%,33.3%,17,0.6%,2.1%,255,8.8%,31.2%,546,18.9%,66.7%,914,31.6%,652,22.6%
Special Education,Brooklyn,2001,2702,402,14.9%,69,2.6%,17.2%,11,0.4%,2.7%,58,2.1%,14.4%,339,12.5%,84.3%,869,32.2%,947,35%
Special Education,Brooklyn,2002,2169,325,15%,79,3.6%,24.3%,13,0.6%,4%,66,3%,20.3%,246,11.3%,75.7%,918,42.3%,584,26.9%
Special Education,Brooklyn,2003,2796,469,16.8%,118,4.2%,25.2%,30,1.1%,6.4%,88,3.1%,18.8%,351,12.6%,74.8%,1417,50.7%,650,23.2%
Special Education,Brooklyn,2004,3066,603,19.7%,185,6%,30.7%,35,1.1%,5.8%,150,4.9%,24.9%,418,13.6%,69.3%,1323,43.2%,649,21.2%
Special Education,Brooklyn,2005,3021,649,21.5%,217,7.2%,33.4%,41,1.4%,6.3%,176,5.8%,27.1%,432,14.3%,66.6%,1254,41.5%,649,21.5%
Special Education,Brooklyn,2006,3183,789,24.8%,310,9.7%,39.3%,43,1.4%,5.4%,267,8.4%,33.8%,479,15%,60.7%,1289,40.5%,666,20.9%
Special Education,Brooklyn,Aug 2006,3183,893,28.1%,329,10.3%,36.8%,46,1.4%,5.2%,283,8.9%,31.7%,564,17.7%,63.2%,1188,37.3%,663,20.8%
Special Education,Manhattan,2001,1586,292,18.4%,58,3.7%,19.9%,5,0.3%,1.7%,53,3.3%,18.2%,235,14.8%,80.5%,407,25.7%,553,34.9%
Special Education,Manhattan,2002,1159,234,20.2%,76,6.6%,32.5%,10,0.9%,4.3%,66,5.7%,28.2%,158,13.6%,67.5%,471,40.6%,303,26.1%
Special Education,Manhattan,2003,1503,281,18.7%,90,6%,32%,18,1.2%,6.4%,72,4.8%,25.6%,191,12.7%,68%,728,48.4%,333,22.2%
Special Education,Manhattan,2004,1847,454,24.6%,163,8.8%,35.9%,21,1.1%,4.6%,142,7.7%,31.3%,291,15.8%,64.1%,758,41%,418,22.6%
Special Education,Manhattan,2005,1916,514,26.8%,202,10.5%,39.3%,20,1%,3.9%,182,9.5%,35.4%,312,16.3%,60.7%,754,39.4%,382,19.9%
Special Education,Manhattan,2006,2170,686,31.6%,327,15.1%,47.7%,26,1.2%,3.8%,301,13.9%,43.9%,359,16.5%,52.3%,774,35.7%,424,19.5%
Special Education,Manhattan,Aug 2006,2170,722,33.3%,335,15.4%,46.4%,26,1.2%,3.6%,309,14.2%,42.8%,387,17.8%,53.6%,738,34%,424,19.5%
Special Education,Queens,2001,1999,419,21%,63,3.2%,15%,14,0.7%,3.3%,49,2.5%,11.7%,359,18%,85.7%,559,28%,643,32.2%
Special Education,Queens,2002,1366,294,21.5%,75,5.5%,25.5%,8,0.6%,2.7%,67,4.9%,22.8%,219,16%,74.5%,500,36.6%,385,28.2%
Special Education,Queens,2003,1782,343,19.2%,72,4%,21%,8,0.4%,2.3%,64,3.6%,18.7%,271,15.2%,79%,900,50.5%,379,21.3%
Special Education,Queens,2004,2099,495,23.6%,171,8.1%,34.5%,28,1.3%,5.7%,143,6.8%,28.9%,324,15.4%,65.5%,908,43.3%,442,21.1%
Special Education,Queens,2005,2366,629,26.6%,232,9.8%,36.9%,21,0.9%,3.3%,211,8.9%,33.5%,397,16.8%,63.1%,930,39.3%,502,21.2%
Special Education,Queens,2006,2345,643,27.4%,259,11%,40.3%,29,1.2%,4.5%,230,9.8%,35.8%,384,16.4%,59.7%,952,40.6%,489,20.9%
Special Education,Queens,Aug 2006,2345,736,31.4%,274,11.7%,37.2%,30,1.3%,4.1%,244,10.4%,33.2%,462,19.7%,62.8%,860,36.7%,488,20.8%
Special Education,Staten Island,2001,622,184,29.6%,26,4.2%,14.1%,2,0.3%,1.1%,24,3.9%,13%,158,25.4%,85.9%,184,29.6%,160,25.7%
Special Education,Staten Island,2002,475,158,33.3%,28,5.9%,17.7%,3,0.6%,1.9%,25,5.3%,15.8%,131,27.6%,82.9%,180,37.9%,91,19.2%
Special Education,Staten Island,2003,636,174,27.4%,52,8.2%,29.9%,8,1.3%,4.6%,44,6.9%,25.3%,122,19.2%,70.1%,308,48.4%,88,13.8%
Special Education,Staten Island,2004,712,216,30.3%,73,10.3%,33.8%,12,1.7%,5.6%,61,8.6%,28.2%,143,20.1%,66.2%,256,36%,118,16.6%
Special Education,Staten Island,2005,777,283,36.4%,107,13.8%,37.8%,15,1.9%,5.3%,92,11.8%,32.5%,176,22.7%,62.2%,256,32.9%,127,16.3%
Special Education,Staten Island,2006,778,308,39.6%,113,14.5%,36.7%,13,1.7%,4.2%,100,12.9%,32.5%,195,25.1%,63.3%,240,30.8%,141,18.1%
Special Education,Staten Island,Aug 2006,778,321,41.3%,117,15%,36.4%,13,1.7%,4%,104,13.4%,32.4%,204,26.2%,63.6%,227,29.2%,141,18.1%
General Education,Bronx,2001,9194,4604,50.1%,2604,28.3%,56.6%,992,10.8%,21.5%,1612,17.5%,35%,2000,21.8%,43.4%,2951,32.1%,1572,17.1%
General Education,Bronx,2002,10438,5073,48.6%,3077,29.5%,60.7%,991,9.5%,19.5%,2086,20%,41.1%,2003,19.2%,39.5%,3467,33.2%,1651,15.8%
General Education,Bronx,2003,11359,6027,53.1%,3801,33.5%,63.1%,1247,11%,20.7%,2554,22.5%,42.4%,2226,19.6%,36.9%,3236,28.5%,1879,16.5%
General Education,Bronx,2004,11976,6930,57.9%,4498,37.6%,64.9%,1380,11.5%,19.9%,3118,26%,45%,2432,20.3%,35.1%,3222,26.9%,1750,14.6%
General Education,Bronx,2005,12510,7644,61.1%,5418,43.3%,70.9%,1528,12.2%,20%,3890,31.1%,50.9%,2226,17.8%,29.1%,2926,23.4%,1559,12.5%
General Education,Bronx,2006,12690,7783,61.3%,6051,47.7%,77.7%,1541,12.1%,19.8%,4510,35.5%,57.9%,1732,13.6%,22.3%,2836,22.3%,1747,13.8%
General Education,Bronx,Aug 2006,12690,8397,66.2%,6333,49.9%,75.4%,1555,12.3%,18.5%,4778,37.7%,56.9%,2064,16.3%,24.6%,2246,17.7%,1723,13.6%
General Education,Brooklyn,2001,17259,9356,54.2%,6108,35.4%,65.3%,2818,16.3%,30.1%,3290,19.1%,35.2%,3252,18.8%,34.8%,5232,30.3%,2600,15.1%
General Education,Brooklyn,2002,18639,10012,53.7%,6971,37.4%,69.6%,2852,15.3%,28.5%,4119,22.1%,41.1%,3052,16.4%,30.5%,5450,29.2%,2785,14.9%
