NAME,ST. #,ST,PHONE,(none),Location 1
"FedEx Kinko's,21,Astor Place,New York,NY,10003, Fichera & Perkins Antiques,50,University Place,New York,NY,10003, Financier Patisserie,2,Astor Place,New York,NY,10003,(212) 228-2787 First Republic Bank,442,6th Ave,,,, First Rich Gift Shop,1,St. Marks Place,New York,NY,10003, Food Emporium Supermarket,475,6th Ave,New York,NY,10011, French Roast Restaurant,78,West 11th St,New York,NY,10011,(212) 533-2233 Funky Town,14,St. Marks Place,New York,NY,10003, Furry Paws,9,East 8th St,New York,NY,10003, G.A.P. Adventures,364,6th Ave,New York,NY,10011,(212)228-6655 Games Workshop,54,East 8th St,New York,NY,10003, GameStop,349,6th Ave.,New York,NY,10011, GAP - Body,750,Broadway,New York,NY,10003, GAP - Men's Store",750,NY,,,
"GAP - Women's Store,750,Broadway,New York,NY,10003, Gem Spa Newsstand,131,2nd Ave,New York,NY,10003, Gigi*K,42,University Place,New York,NY,10003, Gizzi's Café",16,NY,,,
Gobo - food for the five senses,401,NY,(212)255-3902,,
Golden French Cleaners,71,NY,,,
Good Sense,38,NY,(212) 614-2464,,
Goodwill Industries,46,NY,(212)477-7024,,
Gothic Cabinet Craft,360,NY,,,
Grab & Go,388,NY,,,
"Grand Sichuan Int'l Chinese,23,St. Marks Place,New York,NY,10003,(212)529-4800 Grassroots Tavern,20,St. Marks Place,New York,NY,10003, Gray's Papaya",402,NY,,,
Green Mobile Solutions (2nd Floor),9,NY,,,
Greenwich Gallery Frame Shop,462,NY,,,
Grey Dog Café,90,NY,(212)228-8490,,
Gristedes,25,NY,,,
Groom-O-Rama,496,NY,,,
Gus & Us Deli,178,NY,,,
H & H Fruit & Vegetable,471,NY,,,
H & R Block,5,NY,,,
Haagen Dazs,55C,NY,,,
Hair Mates,13,NY,,,
Hair Mode,478,NY,,,
Hickey Chemists (Invite Health),434,NY,,,
Himalayan Visions,127,NY,,,
Hirai Mong Fusion Restaurant ,12,NY,,,
Hong Kong Tailor Jack,136,NY,,,
Hong Wah Laundromat,176,NY,,,
Hottie,5,NY,,,
HQC Jewelry & Accessory,480,NY,,,
HSBC,354,NY,,,
HSBC,771,NY,,,
Ideal Food & Drink,9,NY,,,
Ilana Fine Jewelry,42,NY,,,
Insomnia Cookies,50,NY,,,
Institute of Audio Research,64,NY,,,
Iris Nails & Spa,71,NY,,,
J & J Harmony Cleaners,71,NY,,,
Jack Bistro & Bar,80,NY,(212)620-5544,,
Jackson Diner - Indian Cuisine,72,NY,,,
"""Jacobs Asset Management","  LLC""",New York,10003,,"1 5th Ave
New York, NY
(40.73203292955293, -73.99648383637339)"
Japonica Restaurant,100,NY,(212)243-7752,,
Jay Nails,780,NY,,,
Jay Nails,50,NY,,,
"JeBon Noodle & Sushi,15,St. Marks Place,New York,NY,10003,(212)388-1313 Jeffrey Stein Salon,779,Broadway,New York,NY,10003, Jerri's Cleaners",446,NY,,,
Jewels 32,32,NY,(212) 253-5341,,
JF & Son,56,NY,,,
JJ 5 Spa (2nd Fl),61,NY,(212) 228-7009,,
Joy Burger Bar,361,NY,(212)414-9500,,
"Js Mart,13,East 8th St,New York,NY,10003,(212)982-3707 Jubilee,57,West 8th St,New York,NY,10011,(212)598-1050 Khan Gift Shop,1,St. Marks Place,New York,NY,10003, Khyber Pass Afghan Restaurant,34,St. Marks Place,New York,NY,10003,(212)473-0989 Kin Shop,469,6th Ave,New York,NY,10011,(212) 675-4295 Kinway Shoes,5,West 8th St,New York,NY,10011,(212) 777-3848 Klong,7,St. Marks Place,New York,NY,10003,(212)505-9955 Kmart,770,Broadway,New York,NY,10003, Knickerbocker Bar & Grill,33,University Place,New York,NY,10003,(212)228-8490 La Mode Organic Cleaners,9,East 8th St,New York,NY,10003, La Petite Coquette Lingerie,51,University Place,New York,NY,10003, Lauren Vidal,46,University Place,New York,NY,10003, Le Mino Hair Salon (2nd Fl),28,West 8th St,New York,NY,10011,(212) 228-3260 Le Pain Quotidien,10,Fifth Ave,New York,NY,10011,(212) 253-2324 Lenny's",418,NY,,,
LensCrafters Optique,755,NY,,,
Liberty Travel,55A,NY,,,
Lids,740,NY,,,
Life Thyme Natural Market,408-410,NY,,,
"Lily's Eyebrow Threading Salon (2nd Fl),35,West 8th St,New York,NY,10011,(212) 982-8678 LImpasse (2nd Fl)",29,NY,(212) 533-3255,,
Little Tokyo Gift Shop,36,NY,,,
Little Tony & Igor Hairstylists,101,NY,,,
Little Village Exit,52,NY,(212) 598-9951,,
Lomography,41,NY,(212) 529-4353,,
"Madhu's Eyebrows,3,Greenwich Ave,New York,NY,10011, Magic,29,West 8th St,New York,NY,10011,(212) 388-0348 Mamoun's Falafel",22,NY,,,
Mandala Tibetan Store,17,NY,,,
Manhattan Theater Source,177,NY,(212) 260-4698,,
Mansions Catering,40,NY,(212) 627-8838,,
Maoz Vegetarian,59,NY,(212) 420-5999,,
Mark Burger,33,NY,,,
"Marshall's Shoes (2nd Fl),740,Broadway,New York,NY,10003,(212) 475-4981  McDonald's",405,NY,,,
Medical Building,95,NY,,,
Meurice Dry Cleaners,31,NY,,,
Mind Boggler,43,NY,(212) 529-8755,,
"Mom's Cooking,33,East 8th St,New York,NY,10003,(917)886-3051 Mondini,38,West 8th St,New York,NY,10011, Monk Thrift Shop,175,MacDougal St,New York,NY,10011, Mountain Side Craft,51,West 8th St,New York,NY,10011,(646) 982-7886 Murray's Bagels",500,NY,,,
Nanoosh,111,NY,,,
New Corner Magazine,23,NY,,,
New York Studio School,8,NY,(212) 673-6466,,
News Coffee Bar,107,NY,,,
Nicky Smoke & Magazine,462,NY,,,
Nori,129,NY,(212)677-4825,,
Num Pang Sandwich Shop,21,NY,(212)255-3271,,
NY Gifts,375,NY,,,
O Café,482,NY,(212) 229-2233,,
O.M.G.,364,NY,,,
Oh! Taisho,9,NY,(212)673-1300,,
Olio Pizza e Piu,1,NY,(212) 243-6546,,
Once Upon a Time Antiques,34,NY,,,
Otto Enoteca Pizzeria,1,NY,(212)995-9559,,
Organic Avenue,,NY,,,
Pandora,443,NY,,,
Papyrus,753,NY,,,
Parapsychology Reader & Advisor,31,NY,,,
Pari Gift Shop,23,NY,,,
"Patsy's Pizzeria,67,University Place,New York,NY,10003,(212)533-3500 Paul's Da Burger Joint",131,NY,,,
Pearl Beauty Clinic & Spa (2nd Floor),27,NY,(212) 533-2101,,
Pet Palace,111,NY,,,
Petland Discounts,389,NY,,,
Pho 32 & Shabu,13,NY,,,
Pierre at Marc Optique ,101,NY,,,
Pinkberry,24,NY,,,
Pleasure Cave,29,NY,(212) 674-4228,,
Pop Pub,83,NY,(212) 477-7574,,"83 University Place
New York, NEW YORK 10003
(40.73336032545784, -73.99320647755009)"
Pops Burger,42,NY,,,
Pour George,35,NY,(212) 253-2999,,
Queen Beauty Nails,4,NY,,,
Radio Shack,781,NY,,,
Radio Shack Express,360,NY,,,
Ramen Setagaya,34,NY,,,
Ramen Takumi,90,NY,,,
Reservoir Restaurant,70,NY,(212)598-0055,,
"Ricky's,466,6th Ave,New York,NY,10011, Ricky's NYC",44,NY,,,
Roastown Coffee,133,NY,,,
Rockit Scientist Records,33,NY,,,
Blitz! Brasserie,504,NY,(646) 360-4143,,
Royal Barber Shop,16,NY,,,
Rugby,99,NY,,,
Rugged Sole,360,NY,,,
Sabon,434,NY,,,
Saigon Market,91-93,NY,,,
Salon Threading (2nd Floor),11,NY,,,
"Sammy's Noodle Shop & Grill,453-461,6th Ave,New York,NY,10011,(212)924-6688 Scarpina,88,University Place,New York,NY,10003, Search & Destroy,25,St. Marks Place,New York,NY,10003, ""Shop Untitled NYC, Inc."",27,West 8th St,New York,NY,10011,(212)228-5166 Silver Spurs Diner,777,Broadway,New York,NY,10003,(212)473-5517 Sing Sing Karaoke,9,St. Marks Place,New York,NY,10003, Soto Japanese Restaurant,357,6th Ave,New York,NY,10011,(212)414-3088 Sovereign Bank,43,East 8th St,New York,NY,10003, Spa Lotus Nails and Facial (2nd Fl),63,West 8th St,New York,NY,10011,(646) 654-0808 Spot Dessert Bar,13,St. Marks Place,New York,NY,10003, Sprint,405-407,6th Ave,New York,NY,10011, SS Int'l Newsstand",405,NY,,,
St. Marks Ale House,2,NY,,,
St. Marks Comics,11,NY,(212) 598-9439,,
St. Marks Convenience,31,NY,,,
St. Marks Hotel,2,NY,,,
St. Marks Market,21,NY,,,
St. Marks Sounds,20,NY,,,
Staples,390,NY,,,
Staples,769,NY,,,
Starbucks,378,NY,,,
Starbucks,13-25,NY,,,
State Room (2 flrs),47,NY,(212) 473-2800,,
Stellar Nail & Spa,49,NY,(212) 260-1338,,
Stevdan Stationers,474-A,NY,,,
Stromboli Pizza,112,NY,,,
Stylish Shoe,19,NY,"""(212) 533-5909",,
"""",,,,,
Subway,29,NY,,,
Sunshine Cleaners,51,NY,,,
Supercuts,378,NY,,,
Supercuts,21,NY,,,
Supercuts,69,NY,,,
Sushi Yawa,25,NY,(212) 253-9888,,
T.S. Hardware & Locksmith,52,NY,,,
Tahini,23,NY,,,
Taiji Qi Gong Body Work - 2nd Fl,45,NY,(212) 982-8295,,
Taishu-Kenka,25,NY,(212) 254-6363,,
TAJ Jewelry,375,NY,,,
Tanti Baci Caffe,31,NY,"""(212) 647-9651",,
"""",,,,,
Tertulia,359,NY,(646) 559-9909,,
Textile Arts Center,26,NY,(646) 225-6554,,
The Body Shop,747,NY,,,
The Brevoort Garage,?116,NY,,,
The Eye Shop,50,NY,(212) 673-9450,,
The Growler Station (Lower level),26,NY,,,
The Light Choice (TLC),434,NY,,,
The Nutbox,49,NY,(212) 677-7165,,
The Sock Man,27,NY,,,
The Tobacco Store,108,NY,,,
The Vitamin Shoppe,375,NY,,,
The Vitamin Shoppe,740,NY,,,
The Waddle Agency,58,NY,(212) 253-2230,,
Think Pink Nails,445,NY,(212) 366-5111,,
"Timi's Gelateria Classica,37,St. Marks Place,New York,NY,10003, TKettle,26,St. Marks Place,New York,NY,10003, Toosh New York Inc.,60,West 8th St,New York,NY,10011,(212) 252-0056 Tower Cleaner,21,East 10th St,New York,NY,10003, Traffic Barber Shop,179,MacDougal St,New York,NY,10011, Trash & Vaudeville Apparel,4,St. Marks Place,New York,NY,10003, Travel Appointments (2nd Fl),116,University Place,New York,NY,10003, Tri-Rite Deli,353,6th Ave,New York,NY,10011,(212) 924-6865 Tue Thai Food,5,Greenwich Ave,New York,NY,10011,(212) 929-9888 Tui-Na Center Inc. (2nd Fl),498,6th Ave,New York,NY,10011, Two Toots,38,West 8th St,New York,NY,10011,(212) 475-3285 U2 Karaoke,6,St. Marks Place,New York,NY,10003, Udon West,11,St. Marks Place,New York,NY,10003,(212)353-3888 Uncle Sam's Army Navy Outfitters",37,NY,(212) 674-2222,,
Unique Collection,3,NY,,,
University Chemists/Super Buy,74,NY,,,
University Floral Design,51,NY,(212)673-5004,,
University Pita,21,,,,
University Place Deli,116,NY,,,
University Restaurant,101,NY,(212)475-7727,,
Unlimited Jeans,492,NY,,,
UPS Store,7,NY,,,
Urban Outfitters,374,NY,,,
Vada Spa,387,NY,,,
Vapiano,113,NY,,,
Variazioni,60,NY,,,
Verizon Wireless,61,NY,,,
Verizon Wireless Stay Connected ,101,NY,,,
Village Bazaar,351,NY,,,
Village Bleachers Laundromat,34,NY,,,
Village Dream,3,NY,,,
Village Gifts,36,NY,,,
Village Leather,38,NY,,,
Village Party Store,13,NY,"""(212)675-9697",,
"""",,,,,
Village Shoe Repair,52,NY,,,
Village Studio 03 Unisex Salon,16,NY,,,
Village Vintner Wine & Liquor,448,NY,,,
Village Wine & Spirit Shop,486,NY,,,
Village X,36,NY,,,
Vive la Crepe!,114,NY,,,
Waga African & Ethnic Gift Shop,22,NY,,,
"Walgreen's,20,Astor Place,New York,NY,10003, Washington Square Parking Garage,2,5th Ave,New York,NY,10011, Waverly Restaurant,385,6th Avenue,New York,NY,10011,(212)675-3181 Waverly Wines & Spirits,394,6th Ave,New York,NY,10011,(212) 727-0483 Wells Fargo,784,Broadway,New York,NY,10003, West Force USA,2,St. Marks Place,New York,NY,10003, Whatever Tattoo,17,St. Marks Place,New York,NY,10003, Whitney Chemists,50,University Place,New York,NY,10003, wichcraft,60,East 8th St,New York,NY,10003, William Wayne & Co.,40,University Place,New York,NY,10003, Wok New York,106,University Place,New York,NY,10003, World Class Cleaners,66,West 9th St,New York,NY,10011, Yakitori Taisho Japanese Restaurant,5,St. Marks Place,New York,NY,10003,(212)228-5086 Yoga to the People (2nd fl),12,St. Marks Place,New York,NY,10003, Yogurt Station,18,St. Marks Place,New York,NY,10003, Yolato,418,6th Ave,New York,NY,10011, Zen Noodle Café,31,St. Marks Place,New York,NY,10003,(212)533-6855 Rented ,391,6th Ave,New York,NY,10011, Rented - Marshall's Shoes",742,NY,,,
Vacant,474,NY,,,
Vacant,498,NY,,,
Vacant,        41-45,NY,,,
Vacant,52,NY,,,
Vacant,30,NY,,,
Vacant,52,NY,,,
Vacant - 2nd Floor,31,NY,,,
Vacant - 2nd Floor,31,NY,,,
Vacant - 2nd Floor,33,NY,,,
Vacant - A Plus Jeweler,1,NY,,,
Vacant - Ansonia Pharmacy,442,NY,,,
Vacant - Blockbuster Video ,774,NY,,,
"Vacant - Bobo's Hair & Nail Salon,490,6th Ave,New York,NY,10011, Vacant - Butterfly,20,West 8th St,New York,NY,10011, Vacant - Café Hanover,6,St. Marks Place,New York,NY,10003, Vacant - Café St. Marks,23,St. Marks Place,New York,NY,10003, Vacant - Cedar Tavern,82,University Place,New York,NY,10003, Vacant - Commercial Office,179,MacDougal St,New York,NY,10011, Vacant - Go Japanese Restaurant,30,St. Marks Place,New York,NY,10003, Vacant - HSBC,5,East 8th St,New York,NY,10003, Vacant - Ikunoku Restaurant & Bar,6,St. Marks Place,New York,NY,10003, Vacant - Jefferson Market,450,6th Ave,New York,NY,10011, Vacant - Karen's Health Food",1,NY,,,
Vacant - Lower Level,35,NY,,,
Vacant - MLB Kaye International Realty,38,NY,,,
Vacant - Patty and Bun,61,NY,,,
Vacant - Rockwells Express,53,NY,,,
Vacant - Rugged Sole,7,NY,,,
Vacant - Subway,59,NY,,,
Vacant - TLA,52,NY,,,
Vacant - Village Leather,355,NY,,,
Vacant - Washington Square Pharmacy,48,NY,(212)460-5838 ,,
