BORO,BLOCK,LOT,PARCEL_NAME,PARCEL_ADDRESS,JURIS,Jurisdiction Description,RPAD,RPAD_DESCRIPTION,PROP_FRONT,PROP_DEPTH,PROP_SQFT,IRREG,BLD_FRONT,BLD_DEPTH,BLD_SQFT,NUM_BLD,FLOORS,CD,COUNCIL_DISTRICT,COUNCILMEMBER_NAME,PR_ZONE,OV_ZONE,SD_ZONE,BBL,WATERFRONT,URBAN RENEWAL SITE,Agency,Owned/Leased,Primary Use Text,Final Commitment Text,Agreement (Lease-Out)
1,16,1,PIER A / MARINE UNIT #1,PIER A,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,77,293,83100,I,43,293,32000,1,3,1,1,MARGARET CHIN,C6-4,,LM,1000160001,Y,,EDC,O,IN USE-TENANTED,,SHORT-TERM AGREEMENT
1,16,1,PIER A / MARINE UNIT #1,PIER A,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,77,293,83100,I,43,293,32000,1,3,1,1,MARGARET CHIN,C6-4,,LM,1000160001,Y,,DSBS,O,NO USE,,
1,16,12,BATTERY PARK CITY,BATERY PK CTY LNDFILL,PARKS,DEPT OF PARKS & RECREATION,Z9,OTHER,239,975,237948,I,,,,,,1,1,MARGARET CHIN,M2-3,,,1000160012,Y,,EDC,O,IN USE-TENANTED,,SHORT-TERM AGREEMENT
1,16,12,BATTERY PARK CITY,BATERY PK CTY LNDFILL,PARKS,DEPT OF PARKS & RECREATION,Z9,OTHER,239,975,237948,I,,,,,,1,1,MARGARET CHIN,M2-3,,,1000160012,Y,,PARKS,O,PARK,,
1,17,45,BROOKLYN BATTERY TUNNEL GARAGE,25 WEST STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V1,VACANT LAND,389,179,67342,I,116,165,112000,1,8,1,1,MARGARET CHIN,C6-9,,LM,1000170045,,,TBTA,O,GARAGE,,
1,17,9045,,JOSEPH P WARD STREET,DOT,DEPT OF TRANSPORTATION,,,,,,,,,,,,,,,,,,1000179045,,,DOT,O,AIR RIGHTS,,
1,18,100,B'KLYN BATTERY TUNNEL APPROACH,BATTERY PL,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,T9,TRANSPORTATION FACILITIES/MISC,1020,176,183456,I,249,176,193026,2,7,1,1,MARGARET CHIN,C6-9,,LM,1000180100,,,TBTA,O,OTHER TRANS FACILITY,,
1,28,28,HANOVER SQUARE PARK,HANOVER SQUARE,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,145,39,5075,I,,,,,,1,1,MARGARET CHIN,PARK,,,1000280028,,,PARKS,O,PARK,,
1,29,19,COENTIES ALLEY,75 PEARL STREET,DOT,DEPT OF TRANSPORTATION,V9,VACANT LAND/MISC,22,92,2048,I,,,,,,1,1,MARGARET CHIN,C5-5,,LM,1000290019,,,DOT,O,ROAD/HIGHWAY,,
1,29,73,DEPARTMENT OF SANITATION,44 BEAVER STREET,SANIT,DEPT OF SANITATION,O3,OFCE BLG 10 FLS & OVER/MAIN AVE,98,72,9010,I,98,72,97596,1,12,1,1,MARGARET CHIN,C5-5,,LM,1000290073,,,SANIT,O,AGCY OFFICE,,
1,29,73,DEPARTMENT OF SANITATION,44 BEAVER STREET,SANIT,DEPT OF SANITATION,O3,OFCE BLG 10 FLS & OVER/MAIN AVE,98,72,9010,I,98,72,97596,1,12,1,1,MARGARET CHIN,C5-5,,LM,1000290073,,,DHS,O,TRANSL HSG - ADULT,,
1,34,37,NYC POLICE MUSEUM,100 OLD SLIP,CULT,DEPT OF CULTURAL AFFAIRS,Z9,OTHER,360,33,11346,I,162,30,19568,1,5,1,1,MARGARET CHIN,C6-9,,LM,1000340037,,,CULT,O,MUSEUM/GALLERY,,
1,36,12,FORMER PIER 9,PIER 9,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,534,604,320800,,,604,320800,1,,1,1,MARGARET CHIN,C4-6,,LM,1000360012,Y,Y,DSBS,O,NO USE-WFT (ANY AGY),,
1,36,12,FORMER PIER 9,PIER 9,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,534,604,320800,,,604,320800,1,,1,1,MARGARET CHIN,C4-6,,LM,1000360012,Y,Y,EDC,O,NO USE,,
1,36,18,PIER 11,PIER 11,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",328,547,199625,,14,34,199625,1,1,1,1,MARGARET CHIN,C4-6,,LM,1000360018,Y,Y,DOT,O,FERRY TERMINAL,,
1,36,18,PIER 11,PIER 11,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",328,547,199625,,14,34,199625,1,1,1,1,MARGARET CHIN,C4-6,,LM,1000360018,Y,Y,EDC,O,IN USE-TENANTED,,SHORT-TERM AGREEMENT
1,36,18,PIER 11,PIER 11,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",328,547,199625,,14,34,199625,1,1,1,1,MARGARET CHIN,C4-6,,LM,1000360018,Y,Y,DSBS,O,NO USE,,
1,36,25,PIER 13,PIER 13,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",352,607,202275,I,98,24,202275,1,1,1,,,C4-6,,LM,1000360025,Y,,DSBS,O,NO USE,,
1,36,25,PIER 13,PIER 13,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",352,607,202275,I,98,24,202275,1,1,1,,,C4-6,,LM,1000360025,Y,,EDC,O,NO USE,,
1,36,30,PIER 14,PIER 14,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",273,606,169425,I,50,488,169425,1,1,1,,,C2-8,,LM,1000360030,Y,Y,DSBS,O,NO USE,,
1,36,30,PIER 14,PIER 14,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",273,606,169425,I,50,488,169425,1,1,1,,,C2-8,,LM,1000360030,Y,Y,EDC,O,NO USE,,
1,52,22,"ENG 10, LAD 10",124 LIBERTY STREET,FIRE,FIRE DEPARTMENT,Y1,GOV'T INSTALLATIONS/FIRE DEPT,114,44,4381,I,112,40,8008,1,3,1,1,MARGARET CHIN,C5-5,,LM,1000520022,,,FIRE,O,FIREHOUSE,,
1,73,2,FORMER PIER 15 -TO BE REBUILT,PIER 15,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",273,597,164325,I,,540,164325,1,1,1,,,C2-8,,LM,1000730002,Y,Y,DSBS,O,NO USE,,
1,73,2,FORMER PIER 15 -TO BE REBUILT,PIER 15,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",273,597,164325,I,,540,164325,1,1,1,,,C2-8,,LM,1000730002,Y,Y,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
1,73,8,PIER 16,PIER 16,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",238,597,146025,I,,557,35691,3,1,1,,,C2-8,,LM,1000730008,Y,Y,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,73,8,PIER 16,PIER 16,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",238,597,146025,I,,557,35691,3,1,1,,,C2-8,,LM,1000730008,Y,Y,DSBS,O,NO USE,,
1,73,10,PIER 17 / SOUTH STREET SEAPORT,SOUTH STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",114,597,208475,I,242,535,331550,3,3,1,1,MARGARET CHIN,C2-8,,LM,1000730010,Y,,DSBS,O,NO USE,,
1,73,10,PIER 17 / SOUTH STREET SEAPORT,SOUTH STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",114,597,208475,I,242,535,331550,3,3,1,1,MARGARET CHIN,C2-8,,LM,1000730010,Y,,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,73,11,FORMER FULTON FISH MARKET BLDG,95 MARGINAL STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,208,105,21475,,208,105,21475,1,4,1,1,MARGARET CHIN,C2-8,,LM,1000730011,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
1,73,11,FORMER FULTON FISH MARKET BLDG,95 MARGINAL STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,208,105,21475,,208,105,21475,1,4,1,1,MARGARET CHIN,C2-8,,LM,1000730011,,,DSBS,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
1,73,14,FORMER FULTON FIS MARKET BLDG,SOUTH STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",166,140,23350,,166,140,23350,1,2,1,1,MARGARET CHIN,C2-8,,LM,1000730014,Y,Y,DSBS,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
1,73,14,FORMER FULTON FIS MARKET BLDG,SOUTH STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",166,140,23350,,166,140,23350,1,2,1,1,MARGARET CHIN,C2-8,,LM,1000730014,Y,Y,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
1,73,17,"FORMERLY PIERS 19, 20 & 21",MARGINAL STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,T2,"PIERS, DOCKS, BULKHEADS",660,560,404450,I,,,30081,1,,1,,,C2-8,,LM,1000730017,Y,,DSBS,O,NO USE-WFT (ANY AGY),FINAL COMMITMNT-DISP,
1,73,28,L.U.W. FOOT OF DOVER STREET,MARGINAL STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,183,52,9650,,,,,,,1,,,C2-8,,LM,1000730028,Y,Y,DSBS,O,NO USE-WFT (ANY AGY),FINAL COMMITMNT-DISP,
1,73,29,L.U.W. UNDER BKLYN BRIDGE,,DSBS,DEPT OF SMALL BUSINESS SERVICES,Y7,DEPT OF MARINE & AVIATION,90,500,147775,I,90,258,23240,1,1,1,1,MARGARET CHIN,C2-8,,LM,1000730029,Y,Y,DSBS,O,NO USE-WFT (ANY AGY),FINAL COMMITMNT-DISP,
1,74,1,SOUTH ST SEAPORT/BURLING SLIP,2 FULTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,L8,LOFT BLDGS/WITH RETAIL STORES,195,249,47539,I,19,70,125500,17,6,1,1,MARGARET CHIN,C5-3,,LM,1000740001,,Y,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
1,74,1,SOUTH ST SEAPORT/BURLING SLIP,2 FULTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,L8,LOFT BLDGS/WITH RETAIL STORES,195,249,47539,I,19,70,125500,17,6,1,1,MARGARET CHIN,C5-3,,LM,1000740001,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,74,1,SOUTH ST SEAPORT/BURLING SLIP,2 FULTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,L8,LOFT BLDGS/WITH RETAIL STORES,195,249,47539,I,19,70,125500,17,6,1,1,MARGARET CHIN,C5-3,,LM,1000740001,,Y,PARKS,O,PARK,,
1,74,20,SOUTH ST SEAPORT/BURLING SLIP,8 FULTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V1,VACANT LAND,286,291,22533,I,,,,,,1,1,MARGARET CHIN,C5-3,,LM,1000740020,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,74,20,SOUTH ST SEAPORT/BURLING SLIP,8 FULTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V1,VACANT LAND,286,291,22533,I,,,,,,1,1,MARGARET CHIN,C5-3,,LM,1000740020,,Y,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
1,74,20,SOUTH ST SEAPORT/BURLING SLIP,8 FULTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V1,VACANT LAND,286,291,22533,I,,,,,,1,1,MARGARET CHIN,C5-3,,LM,1000740020,,Y,PARKS,O,PARK,,
1,93,30,ENG 6,49 BEEKMAN STREET,FIRE,FIRE DEPARTMENT,Y1,GOV'T INSTALLATIONS/FIRE DEPT,24,81,1837,I,24,81,5926,1,4,1,1,MARGARET CHIN,C6-4,,LM,1000930030,,,FIRE,O,FIREHOUSE,,
1,94,2,DELURY SQUARE PARK,FULTON STREET,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,92,76,5881,I,,,,,,1,1,MARGARET CHIN,R8,,,1000940002,,,PARKS,O,PARK,,
1,94,25,OFFICE BLDG,100 GOLD STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O1,OFCE BLG/FIREPROOF TO 9 STORIES,232,330,95255,I,184,295,655775,1,10,1,1,MARGARET CHIN,C6-4,,LM,1000940025,,,DCAS,O,CUSTODIAL,,
1,94,25,OFFICE BLDG,100 GOLD STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O1,OFCE BLG/FIREPROOF TO 9 STORIES,232,330,95255,I,184,295,655775,1,10,1,1,MARGARET CHIN,C6-4,,LM,1000940025,,,MAYOR,O,AGCY OFFICE,,
1,94,25,OFFICE BLDG,100 GOLD STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O1,OFCE BLG/FIREPROOF TO 9 STORIES,232,330,95255,I,184,295,655775,1,10,1,1,MARGARET CHIN,C6-4,,LM,1000940025,,,AGING,O,SENIOR CENTER,,
1,94,25,OFFICE BLDG,100 GOLD STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O1,OFCE BLG/FIREPROOF TO 9 STORIES,232,330,95255,I,184,295,655775,1,10,1,1,MARGARET CHIN,C6-4,,LM,1000940025,,,DOITT,O,OFFICE,,
1,94,25,OFFICE BLDG,100 GOLD STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O1,OFCE BLG/FIREPROOF TO 9 STORIES,232,330,95255,I,184,295,655775,1,10,1,1,MARGARET CHIN,C6-4,,LM,1000940025,,,HPD,O,AGCY EXECUTVE OFFICE,,
1,95,101,SEAPORT PARK,206-14 WATER ST,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,Q0,RECREATION FACILITIES(OUTDOOR),133,65,5361,I,,,5361,1,,1,1,MARGARET CHIN,C6-2A,,LM,1000950101,,Y,DSBS,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,95,101,SEAPORT PARK,206-14 WATER ST,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,Q0,RECREATION FACILITIES(OUTDOOR),133,65,5361,I,,,5361,1,,1,1,MARGARET CHIN,C6-2A,,LM,1000950101,,Y,EDC,O,PUBLIC PLACE/PLAZA,,
1,95,101,SEAPORT PARK,206-14 WATER ST,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,Q0,RECREATION FACILITIES(OUTDOOR),133,65,5361,I,,,5361,1,,1,1,MARGARET CHIN,C6-2A,,LM,1000950101,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,96,1,SOUTH ST SEAPORT (MKT BLDG),89 SOUTH STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,K9,STORE BLDGS/MISCELLANEOUS,203,170,33348,I,203,145,128123,1,3,1,1,MARGARET CHIN,C6-2A,,LM,1000960001,,Y,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,96,1,SOUTH ST SEAPORT (MKT BLDG),89 SOUTH STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,K9,STORE BLDGS/MISCELLANEOUS,203,170,33348,I,203,145,128123,1,3,1,1,MARGARET CHIN,C6-2A,,LM,1000960001,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,96,5,SOUTH ST SEAPORT MUSEUM,210 FULTON STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,Z9,OTHER,62,205,24165,I,23,77,80000,12,4,1,1,MARGARET CHIN,C6-2A,,LM,1000960005,,Y,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,96,5,SOUTH ST SEAPORT MUSEUM,210 FULTON STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,Z9,OTHER,62,205,24165,I,23,77,80000,12,4,1,1,MARGARET CHIN,C6-2A,,LM,1000960005,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,96,8,,205 FRONT ST.,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,L8,LOFT BLDGS/WITH RETAIL STORES,20,72,1455,I,20,73,4960,1,4,1,1,MARGARET CHIN,C6-2A,,LM,1000960008,,Y,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,96,8,,205 FRONT ST.,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,L8,LOFT BLDGS/WITH RETAIL STORES,20,72,1455,I,20,73,4960,1,4,1,1,MARGARET CHIN,C6-2A,,LM,1000960008,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,96,12,,201-3 FRONT ST.,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,O1,OFCE BLG/FIREPROOF TO 9 STORIES,51,83,2896,I,48,99,11500,1,4,1,1,MARGARET CHIN,C6-2A,,LM,1000960012,,,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,96,12,,201-3 FRONT ST.,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,O1,OFCE BLG/FIREPROOF TO 9 STORIES,51,83,2896,I,48,99,11500,1,4,1,1,MARGARET CHIN,C6-2A,,LM,1000960012,,,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,96,13,IND 8TH AVE. ROW & VENT,201 FRONT STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,P7,MUSEUM,49,23,,I,,,,,,1,1,MARGARET CHIN,C6-2A,,LM,1000960013,,,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,96,13,IND 8TH AVE. ROW & VENT,201 FRONT STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,P7,MUSEUM,49,23,,I,,,,,,1,1,MARGARET CHIN,C6-2A,,LM,1000960013,,,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,96,13,IND 8TH AVE. ROW & VENT,201 FRONT STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,P7,MUSEUM,49,23,,I,,,,,,1,1,MARGARET CHIN,C6-2A,,LM,1000960013,,,MTA,O,TRANSIT WAY,,
1,97,7,SEAPORT MUSEUM,109 SOUTH STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,L8,LOFT BLDGS/WITH RETAIL STORES,16,80,1290,I,17,81,4772,1,4,1,1,MARGARET CHIN,C6-2A,,LM,1000970007,,Y,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,LONG-TERM AGREEMENT
1,97,7,SEAPORT MUSEUM,109 SOUTH STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,L8,LOFT BLDGS/WITH RETAIL STORES,16,80,1290,I,17,81,4772,1,4,1,1,MARGARET CHIN,C6-2A,,LM,1000970007,,Y,HPD,O,NO USE,FINAL COMMITMNT-DISP,
1,106,22,FISHBRIDGE GARDEN,PEARL STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,11,261,4034,I,,,,,,1,1,MARGARET CHIN,C6-2A,,LM,1001060022,,Y,PARKS,O,PARK,,
1,107,60,PECK SLIP PARK,PECK SLIP,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,142,66,8165,I,,,,,,1,1,MARGARET CHIN,PARK,,,1001070060,,,EDC,O,IN USE-TENANTED,FINAL COMMITMNT-DISP,SHORT-TERM AGREEMENT
1,107,60,PECK SLIP PARK,PECK SLIP,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,142,66,8165,I,,,,,,1,1,MARGARET CHIN,PARK,,,1001070060,,,PARKS,O,PARK,,
1,108,4,DUGOUT HIGHWAY YARD,0 DOVER STREET,DOT,DEPT OF TRANSPORTATION,V0,VACANT LAND,118,691,82775,I,,,,,,1,1,MARGARET CHIN,C6-4,,LM,1001080004,,,DOT,O,OUTDOOR STRG-EQUIP,,
1,111,150,CATHERINE ST FAMILY RESIDENCE,78 CATHERINE STREET,DHS,DEPT OF HOMELESS SERVICES,W1,PUBLIC ELEMENTARY JR & SR HS,191,201,39875,I,188,191,115659,1,4,3,1,MARGARET CHIN,R7-2,,,1001110150,,,DHS,O,TRANSL HSG - FAMILY,,
1,111,160,PS 126 & ALFRED E. SMITH PARK,80 CATHERINE STREET,EDUC,DEPT OF EDUCATION,W1,PUBLIC ELEMENTARY JR & SR HS,425,401,117191,I,250,145,111673,2,4,3,1,MARGARET CHIN,R7-2,,,1001110160,,,PARKS,O,PARK,,
1,111,160,PS 126 & ALFRED E. SMITH PARK,80 CATHERINE STREET,EDUC,DEPT OF EDUCATION,W1,PUBLIC ELEMENTARY JR & SR HS,425,401,117191,I,250,145,111673,2,4,3,1,MARGARET CHIN,R7-2,,,1001110160,,,EDUC,O,ELEMENTARY SCHOOL,,
1,113,1,MURRAY BERGTRAUM HS PLAYGROUND,AVENUE OF THE FINEST,DOT,DEPT OF TRANSPORTATION,V0,VACANT LAND,659,104,67553,I,,,,,,1,1,MARGARET CHIN,C6-4,,LM,1001130001,,,EDUC,O,PLAYING FIELD,,
1,113,1,MURRAY BERGTRAUM HS PLAYGROUND,AVENUE OF THE FINEST,DOT,DEPT OF TRANSPORTATION,V0,VACANT LAND,659,104,67553,I,,,,,,1,1,MARGARET CHIN,C6-4,,LM,1001130001,,,DOT,O,ROAD/HIGHWAY,,
1,115,1,JAMES MADISON PLAZA,MADISON ST,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,188,148,15264,I,,,,,,3,1,MARGARET CHIN,PARK,,,1001150001,,Y,PARKS,O,PARK,,
1,117,100,KIMLAU SQUARE.PARK,427-55 PARK ROW,PARKS,DEPT OF PARKS & RECREATION,Q1,PARKS,121,36,3311,I,,,,,,3,1,MARGARET CHIN,PARK,,,1001170100,,Y,PARKS,O,PARK,,
1,119,1,NYPD HEADQUARTERS/POLICE PLAZA,1 POLICE PLAZA,NYPD,POLICE DEPARTMENT,Y2,GOV'T INSTALLATIONS/POLICE DEPT,382,334,152553,I,335,245,1000518,1,16,1,1,MARGARET CHIN,C6-4,,,1001190001,,,NYPD,O,AGCY EXECUTVE OFFICE,,
1,120,9,BROOKLYN BRIDGE,FRANKFORT ST,DOT,DEPT OF TRANSPORTATION,U1,"BRIDGES, TUNNELS, HIGHWAYS",216,114,,I,,,,,,1,1,MARGARET CHIN,C6-4,,LM,1001200009,,,DOT,O,NO USE-NON RES STRC,,
1,121,1,MANHATTAN MUNICIPAL BUILDING,1 CENTRE STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O4,OFFICE BLDG/TOWER TYPE,327,182,50184,I,327,182,1056600,1,39,1,1,MARGARET CHIN,C6-4,,,1001210001,,,VAC,O,AGCY OFFICE,,
1,121,1,MANHATTAN MUNICIPAL BUILDING,1 CENTRE STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,O4,OFFICE BLDG/TOWER TYPE,327,182,50184,I,327,182,1056600,1,39,1,1,MARGARET CHIN,C6-4,,,1001210001,,,DCAS,O,AGCY EXECUTVE OFFICE,,LONG-TERM AGREEMENT
