Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
3,2006,EP,59271,663,6381,10.8%,15595,26.3%,34126,57.6%,3169,5.3%,37295,62.9%
3,2007,EP,58413,662,5733,9.8%,16221,27.8%,32149,55%,4310,7.4%,36459,62.4%
3,2008,EP,57164,664,3827,6.7%,15642,27.4%,32256,56.4%,5439,9.5%,37695,65.9%
3,2009,EP,58094,668,2830,4.9%,12246,21.1%,37615,64.7%,5403,9.3%,43018,74%
3,2010,EP,57523,666,8482,14.7%,19504,33.9%,20929,36.4%,8608,15%,29537,51.3%
3,2011,EP,59189,663,7341,12.4%,20232,34.2%,29261,49.4%,2355,4%,31616,53.4%
4,2006,EP,61795,659,6420,10.4%,17809,28.8%,33772,54.7%,3794,6.1%,37566,60.8%
4,2007,EP,59060,660,4560,7.7%,17632,29.9%,33438,56.6%,3430,5.8%,36868,62.4%
4,2008,EP,59093,662,4699,8%,14896,25.2%,35526,60.1%,3972,6.7%,39498,66.8%
4,2009,EP,58543,667,2573,4.4%,12616,21.5%,39780,68%,3574,6.1%,43354,74.1%
4,2010,EP,59511,670,5512,9.3%,23962,40.3%,26977,45.3%,3060,5.1%,30037,50.5%
4,2011,EP,59399,672,4260,7.2%,21484,36.2%,32028,53.9%,1627,2.7%,33655,56.7%
5,2006,EP,64208,657,4447,6.9%,21377,33.3%,32383,50.4%,6001,9.3%,38384,59.8%
5,2007,EP,62650,661,2780,4.4%,21270,34%,35478,56.6%,3122,5%,38600,61.6%
5,2008,EP,60255,664,981,1.6%,14421,23.9%,41908,69.6%,2945,4.9%,44853,74.4%
5,2009,EP,59490,672,345,0.6%,11844,19.9%,40683,68.4%,6618,11.1%,47301,79.5%
5,2010,EP,58778,672,6973,11.9%,21976,37.4%,22298,37.9%,7531,12.8%,29829,50.7%
5,2011,EP,60241,669,5208,8.6%,22321,37.1%,29600,49.1%,3112,5.2%,32712,54.3%
6,2006,EP,65192,649,5453,8.4%,26466,40.6%,28385,43.5%,4888,7.5%,33273,51%
6,2007,EP,62016,656,1406,2.3%,26608,42.9%,30059,48.5%,3943,6.4%,34002,54.8%
6,2008,EP,61464,655,1061,1.7%,25032,40.7%,33861,55.1%,1510,2.5%,35371,57.5%
6,2009,EP,60371,665,75,0.1%,13503,22.4%,42372,70.2%,4421,7.3%,46793,77.5%
6,2010,EP,60041,660,7621,12.7%,25695,42.8%,24322,40.5%,2403,4%,26725,44.5%
6,2011,EP,59645,661,7331,12.3%,23179,38.9%,27377,45.9%,1758,2.9%,29135,48.8%
7,2006,EP,65513,645,6094,9.3%,28582,43.6%,27550,42.1%,3287,5%,30837,47.1%
7,2007,EP,65354,650,3624,5.5%,29204,44.7%,29850,45.7%,2676,4.1%,32526,49.8%
7,2008,EP,63541,658,1057,1.7%,21537,33.9%,39809,62.7%,1138,1.8%,40947,64.4%
7,2009,EP,62305,663,203,0.3%,14645,23.5%,44538,71.5%,2919,4.7%,47457,76.2%
7,2010,EP,60888,664,6685,11%,28380,46.6%,20849,34.2%,4974,8.2%,25823,42.4%
7,2011,EP,61033,662,5294,8.7%,30888,50.6%,23302,38.2%,1549,2.5%,24851,40.7%
8,2006,EP,66314,642,7786,11.7%,32793,49.5%,23811,35.9%,1924,2.9%,25735,38.8%
8,2007,EP,65315,648,3846,5.9%,31160,47.7%,28323,43.4%,1986,3%,30309,46.4%
8,2008,EP,64061,651,3015,4.7%,30983,48.4%,28017,43.7%,2046,3.2%,30063,46.9%
8,2009,EP,63871,657,907,1.4%,23253,36.4%,37698,59%,2013,3.2%,39711,62.2%
8,2010,EP,63412,654,6138,9.7%,30884,48.7%,23291,36.7%,3099,4.9%,26390,41.6%
8,2011,EP,62039,653,4605,7.4%,33099,53.4%,23646,38.1%,689,1.1%,24335,39.2%
All Grades,2006,EP,382293,652,36581,9.6%,142622,37.3%,180027,47.1%,23063,6%,203090,53.1%
All Grades,2007,EP,372808,656,21949,5.9%,142095,38.1%,189297,50.8%,19467,5.2%,208764,56%
All Grades,2008,EP,365578,659,14640,4%,122511,33.5%,211377,57.8%,17050,4.7%,228427,62.5%
All Grades,2009,EP,362674,665,6933,1.9%,88107,24.3%,242686,66.9%,24948,6.9%,267634,73.8%
All Grades,2010,EP,360153,664,41411,11.5%,150401,41.8%,138666,38.5%,29675,8.2%,168341,46.7%
All Grades,2011,EP,361546,663,34039,9.4%,151203,41.8%,165214,45.7%,11090,3.1%,176304,48.8%
