TYPE,BUS NAME,MAILING OFFICE,MAIL CITY,MSTAT,COMP PHONE,Location 1
CL.1,ANDOLINA LANDSCAPING INC,5 ORMONDE PLACE,NEW ROCHELLE,NY,(914) 654-9174,"5 ORMONDE PLACE
NEW ROCHELLE, NY 10801
(40.921295250619096, -73.80064747127301)"
CL.1,ANGEL A GUZMAN,32 B COLUMBUS AVE,BRENTWOOD,NY,(917) 676-4563,"32 B COLUMBUS AVE
BRENTWOOD, NY 11717
(40.79659525803635, -73.23394868772994)"
CL.1,ANGELO SCICCHITANO,"71-08 252ND STREET, APT. 1",BELLEROSE,NY,(718) 887-6002,"71 08 252ND STREET
BELLEROSE, NY 11426
(40.73704138495202, -73.72415699894628)"
CL.1,ANIBAL LANDSCAPING CORPORATION,25 B HENDRICKS AVE.,HEMPSTEAD,NY,(516) 489-5504,"25 B HENDRICKS AVE
HEMPSTEAD, NY 11550
(40.710858555737644, -73.6102765285788)"
CL.1,ANTHONY GALLO NURSERIES INC.,2187 FLATBUSH AVENUE,BROOKLYN,NY,(718) 377-1046,"2187 FLATBUSH AVENUE
BROOKLYN, NY 11234
(40.61663684187814, -73.93023698524937)"
CL.1,ANTOLIN RAMIREZ,35-30 153RD STREET APT 4B,FLUSHING,NY,(347) 403-5184,"35 30 153RD STREET
FLUSHING, NY 11354
(40.76862022064671, -73.82719028070687)"
CL.1,ANTONINO D'AMORE,25 WHITEWOOD RD.,WHITE PLAINS,NY,(914) 592-0192,"25 WHITEWOOD RD
WHITE PLAINS, NY 10603
(41.062507034149924, -73.79796289560704)"
CL.1,ARMANDO ALVARENGA,"138-32 90TH AVENUE, SUITE B8",JAMAICA,NY,(516) 425-8765,"138 32 90TH AVENUE
JAMAICA, NY 11435
(40.70119264912154, -73.80979665579099)"
CL.1,ASPEN LANDSCAPING INC.,12-48 150TH STREET SUITE 104,WHITESTONE,NY,(516) 354-8212,"12 48 150TH STREET
WHITESTONE, NY 11357
(40.78628404147537, -73.81123206101074)"
CL.1,ATALA C LANDSCAPING INC,148 SHERIDAN BLVD,INWOOD,NY,(516) 239-2019,"148 SHERIDAN BLVD
INWOOD, NY 11096
(40.61554374709766, -73.75229092575756)"
CL.1,AUBREY D GRANT,35 RONALD AVE,STATEN ISLAND,NY,(917) 916-7540,"35 RONALD AVE
STATEN ISLAND, NY 10303
(40.62770062674284, -74.14929351983017)"
CL.1,AUDELIO D. CALERO,65 WEBERFIELD AVENUE,FREEPORT,NY,(718) 877-3956,"65 WEBERFIELD AVENUE
FREEPORT, NY 11520
(40.663711434986965, -73.57261537752373)"
CL.1,AURELIE LALGEE,286 PORT RICHMOND AVE,STATEN ISLAND,NY,(347) 236-5144,"286 PORT RICHMOND AVE
STATEN ISLAND, NY 10302
(40.63461970337126, -74.13570840868684)"
CL.1,BART VARVARA LANDSCAPING & GARDENING LLC.,1138-66 ST.,BROOKLYN,NY,(718) 236-1316,"1138 66 ST
BROOKLYN, NY 11219
(40.627494285983495, -74.00570602926445)"
CL.1,BARTOLOME AREVALO,191-10 CROCHERON AVENUE,FLUSHING,NY,(646) 431-4745,"191 10 CROCHERON AVENUE
FLUSHING, NY 11358
(40.760350968822195, -73.79632645819947)"
CL.1,BAY RIDGE LANDSCAPING INC.,167 AUBURN AVENUE,STATEN ISLAND,NY,(718) 354-7393,"167 AUBURN AVENUE
STATEN ISLAND, NY 10314
(40.61218590593577, -74.14728476702179)"
CL.1,BELCASTRO LTD,215 LAMPORT BLVD,STATEN ISLAND,NY,(718) 833-6566,"215 LAMPORT BLVD
STATEN ISLAND, NY 10305
(40.59353347842298, -74.07647803907831)"
CL.1,BELLOTTI LANDSCAPING INC.,49 RANDALL AVENUE,STATEN ISLAND,NY,(718) 447-6806,"49 RANDALL AVENUE
STATEN ISLAND, NY 10301
(40.632554615546894, -74.09903458029277)"
CL.1,BEST LANDSCAPING AND CONSTRUCTION INC.,29 LINDEN BLVD.,HICKSVILLE,NY,(917) 881-9880,"29 LINDEN BLVD
HICKSVILLE, NY 11801
(40.755613153161164, -73.51192912698656)"
CL.1,BILL TSUGRANES,24 WENTWORTH DRIVE,DIX HILLS,NY,(631) 667-3416,"24 WENTWORTH DRIVE
DIX HILLS, NY 11746
(40.77663030898589, -73.33934023634362)"
CL.1,BLUE SKY LANDSCAPING SERVICES INC,161-05 96TH STREET,HOWARD BEACH,NY,(718) 848-8682,"161 05 96TH STREET
HOWARD BEACH, NY 11414
(40.65817022817356, -73.84496263981396)"
CL.1,BRYAN SCHILLING D.B.A. BRYAN SCHILLING LANDSCAPING,327 51ST STREET,LINDENHURST,NY,(631) 956-1601,"327 51ST STREET
LINDENHURST, NY 11757
(40.702319329704835, -73.38899180558127)"
CL.1,C & A LANDSCAPING,27 CHURCHILL DR,BRENTWOOD,NY,(631) 647-4789,"27 CHURCHILL DR
BRENTWOOD, NY 11717
(40.759471244666884, -73.23496492162303)"
CL.1,CABRERA LANDSCAPING,427 BEACH 35TH ST,FAR ROCKAWAY,NY,(718) 337-6440,"427 BEACH 35TH ST
FAR ROCKAWAY, NY 11691
(40.59657129107103, -73.76780757963621)"
CL.1,CAPRI DESIGN GROUP LLC,4005 VICTORY BLVD,STATEN ISLAND,NY,(718) 494-1297,"4005 VICTORY BLVD
STATEN ISLAND, NY 10314
(40.59338123138988, -74.18785841534675)"
CL.1,CAREY SMITH,177 ANDERSON STREET,TRENTON,NY,(718) 551-7961,"177 ANDERSON STREET
TRENTON, NY 08611
(40.20583825553115, -74.75779974975859)"
CL.1,CARLOS HUMBERTO MEJIA,249 ROCKAWAY TPKE,LAWRENCE,NY,(516) 371-0163,"249 ROCKAWAY TPKE
LAWRENCE, NY 11559
(40.621470279270795, -73.73356704110756)"
CL.1,CARMINE LANDSCAPING INC,96-36 149TH AVENUE,OZONE PARK,NY,(718) 738-2707,"96 36 149TH AVENUE
OZONE PARK, NY 11417
(40.6763637308016, -73.84454275534387)"
CL.1,CLEARVIEW TREE AND LAND CORP.,342 IVY AVENUE,WESTBURY,NY,(516) 640-5586,"342 IVY AVENUE
WESTBURY, NY 11590
(40.75823018026642, -73.59695103163659)"
CL.1,"CON-KEL LANDSCAPING , INC",P.O. BOX 267,FLORAL PARK,NY,(516) 775-0413,"267 FLORAL PARK
NY 11001
(40.720467709397866, -73.71909551452886)"
CL.1,CRISTIAN R. RIVERO,230 ELM RD.,INWOOD,NY,(516) 371-6011,"230 ELM RD
INWOOD, NY 11096
(40.617792052170955, -73.753684874903)"
CL.1,CRISTOBAL DELGADO,94 SEA CLIFF AVE.,GLEN COVE,NY,(347) 387-5742,"94 SEA CLIFF AVE
GLEN COVE, NY 11542
(40.85176686924412, -73.62386493522337)"
CL.1,CUT RIGHT LANDSCAPING & CONSTRUCTION INC.,59 POMPEY AVENUE,STATEN ISLAND,NY,(718) 216-3032,"59 POMPEY AVENUE
STATEN ISLAND, NY 10312
(40.554634227312505, -74.17309342723973)"
CL.1,D' THE ROSE LANDSCAPING,P.O. BOX 506,BRONX,NY,,"506 BRONX
NY 10452
(40.83772426336412, -73.9233322114124)"
CL.1,DAHILL LANDSCAPING & DESIGN CORP.,15 WYNDHAM LANE,HOLBROOK,NY,(917) 468-3345,"15 WYNDHAM LANE
HOLBROOK, NY 11741
(40.80554351222787, -73.06671076316132)"
CL.1,DANIEL BIVONA,234 CLEVELAND AVENUE,STATEN ISLAND,NY,(718) 948-7632,"234 CLEVELAND AVENUE
STATEN ISLAND, NY 10308
(40.545048890011905, -74.14613536367465)"
CL.1,DANIEL MOLINA,97-23 107TH STREET,OZONE PARK,NY,(516) 315-2117,"97 23 107TH STREET
OZONE PARK, NY 11416
(40.68457809700163, -73.8496016684822)"
CL.1,DAVID KERR D/B/A DAVE'S LANDSCAPING,94-28 133RD AVE,OOZONE PARK,NY,(718) 641-8936,"94 28 133RD AVE
OOZONE PARK, NY 11417
(40.6763637308016, -73.84454275534387)"
CL.1,DENNIS E. MARTINEZ-ALVARENGA,102 ROGER AVENUE,INWOOD,NY,(516) 724-3875,"102 ROGER AVENUE
INWOOD, NY 11096
(40.61539086235268, -73.75464714947435)"
CL.1,"DNJ LANDSCAPING, INC.",433 SKYLINE DRIVE,STATEN ISLAND,NY,(347) 327-2416,"433 SKYLINE DRIVE
STATEN ISLAND, NY 10304
(40.61258120231714, -74.08145482951542)"
CL.1,DONALD FRANCOMANO,5 TUDOR STREET,STATEN ISLAND,NY,(718) 966-9490,"5 TUDOR STREET
STATEN ISLAND, NY 10308
(40.557401574546006, -74.14563819345403)"
CL.1,DONHAUSER LAND SERVICES INC.,71-01 ASTORIA BLVD.,EAST ELMHURST,NY,(718) 278-0515,"71 01 ASTORIA BLVD
EAST ELMHURST, NY 11370
(40.75935377085989, -73.89184400040028)"
CL.1,DORATO LANDSCAPING CORP.,18 LAKE AVENUE,HAZLET,NJ,(732) 888-8265,"18 LAKE AVENUE
HAZLET, NJ 07730
(40.43392566328055, -74.16760683210862)"
CL.1,DOUGLAS RAMOS,147-15 NORTHERN BLVD. 3P,FLUSHING,NY,(917) 284-7923,"147 15 NORTHERN BLVD
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
CL.1,DRAGONETTI BROTHERS LANDSCAPE NURSERY & FLORIST INC.,129 LOUISIANA AVENUE,BROOKLYN,NY,(718) 451-1300,"129 LOUISIANA AVENUE
BROOKLYN, NY 11207
(40.65631887625785, -73.89430728842342)"
CL.1,DUQUE LANDSCAPING AND MASONRY,718 NORTHERN PKWY,UNIONDALE,NY,(516) 596-7812,"718 NORTHERN PKWY
UNIONDALE, NY 11553
(40.6957272992301, -73.59193281471306)"
CL.1,"E.C. LANDSCAPE, LLC",252 PACIFIC AVE,LAWRENCE,NY,(516) 371-3440,"252 PACIFIC AVE
LAWRENCE, NY 11559
(40.620157269108006, -73.73509588855734)"
CL.1,EDGAR APARICIO,PO BOX 960403,INWOOD,NY,(516) 668-4481,"960403 INWOOD
NY 11096
(40.61958612160231, -73.75090594735155)"
CL.1,EDGARDO UMANZOR,59 CUNNINGHAM AVE.,UNIONDALE,NY,(516) 996-5494,"59 CUNNINGHAM AVE
UNIONDALE, NY 11553
(40.7177786753885, -73.5889290791352)"
CL.1,EDGAR'S LANDSCAPING,22 PROVANZANO ST,INWOOD,NY,(347) 782-7777,"22 PROVANZANO ST
INWOOD, NY 11096
(40.61991445216006, -73.74229945801204)"
CL.1,EFRAIN PEREZ FUENTES D.B.A. FUENTES LANDSCAPING,8907 169TH STREET APT. 1H,JAMAICA,NY,(718) 725-0878,"8907 169TH STREET
JAMAICA, NY 11432
(40.70914701331356, -73.79209062251664)"
CL.1,EGER LANDSCAPING INC.,45-65 OCEANIA STREET,BAYSIDE,NY,(718) 229-1506,"45 65 OCEANIA STREET
BAYSIDE, NY 11361
(40.76418884813688, -73.77232552860022)"
CL.1,ELEGANT LAWNS & LANDSCAPING INC.,260 DOUGHTY BOULEVARD,INWOOD,NY,(877) 591-5296,"260 DOUGHTY BOULEVARD
INWOOD, NY 11096
(40.61890751647187, -73.74653459393733)"
CL.1,EMIL YEDOWITZ LANDSCAPING CORP.,16 CANTERBURY AVENUE,CORNWALL,NY,(914) 377-9039,"16 CANTERBURY AVENUE
CORNWALL, NY 12518
(41.43619308527451, -74.04059558191057)"
CL.1,EMILIO FERRUFINO LANDSCAPING,P.O. BOX 892,FAR ROCKAWAY,NY,(917) 723-6499,"892 FAR
ROCKAWAY, NY 11691
(40.600614338480966, -73.76256777468302)"
CL.1,ENRIQUE TURCIOS,59 PEARL STREET,INWOOD,NY,(516) 239-4599,"59 PEARL STREET
INWOOD, NY 11096
(40.62123723926589, -73.73881021005472)"
CL.1,ERNESTO ALVARADO LANDSCAPING,3 FAIRWAY DRIVE,INWOOD,NY,(718) 327-1544,"3 FAIRWAY DRIVE
INWOOD, NY 11096
(40.622495506384155, -73.74979980373644)"
CL.1,ETON LANDSCAPING SERVICE,2 WILTON ROAD,VALLEY STREAM,NY,(718) 723-5597,"2 WILTON ROAD
VALLEY STREAM, NY 11580
(40.68249827217909, -73.71010372936308)"
CL.1,EURO CONCRETE AND CONSTRUCTION INC,247-24 88 ROAD,BELLEROSE,NY,(718) 343-2564,"247 24 88 ROAD
BELLEROSE, NY 11426
(40.73704138495202, -73.72415699894628)"
CL.1,EVERGREEN TREES AND SHRUBS CORP,122 ASHLAND PLACE APT 8H,BROOKLYN,NY,(888) 727-3235,"122 ASHLAND PLACE
BROOKLYN, NY 11201
(40.69212888200956, -73.97905451229555)"
CL.1,EZRA CAMPBELL DBA CAMPBELL LANDSCAPING,209-29 111RD,QUEENS VILLAGE,NY,(718) 465-1216,"209 29
QUEENS VILLAGE, NY 11429
(40.70991312049415, -73.73864031609764)"
CL.1,F&M LANDSCAPING,42 CLINTON AVE.,INWOOD,NY,(516) 239-0628,"42 CLINTON AVE
INWOOD, NY 11096
(40.617432323359196, -73.73856727159045)"
CL.1,F. CASTELLANO LANDSCAPING ASSOCIATES INC.,103 HAYES STREET,GARDEN CITY,NY,(516) 352-9398,"103 HAYES STREET
GARDEN CITY, NY 11530
(40.72536895331581, -73.67257502108043)"
CL.1,FAMILY TREE SERVICE INC.,110 A DINSMORE STREET,STATEN ISLAND,NY,(718) 698-2725,"110 A DINSMORE STREET
STATEN ISLAND, NY 10314
(40.603757172732216, -74.16985704102494)"
CL.1,FBLG OF STATEN ISLAND INC.,P.O. BOX 61367,STATEN ISLAND,NY,(347) 861-0497,"61367 STATEN ISLAND
NY 10306
(40.56602048965391, -74.11994566905736)"
CL.1,FELIPE A. ANDRADES,123-02 11TH AVENUE,COLLEGE POINT,NY,(718) 460-5827,"123 02 11TH AVENUE
COLLEGE POINT, NY 11356
(40.7849280967543, -73.84181070040347)"
CL.1,FERNANDO LANDSCAPING,185 WOODLAND AVE,NEW ROCHELLE,NY,(914) 576-2797,"185 WOODLAND AVE
NEW ROCHELLE, NY 10805
(40.89848844395607, -73.78386612220629)"
CL.1,FIORE LANDSCAPING INC.,110-26 101 AVE,RICHMOND HILL,NY,(718) 845-3049,"110 26 101 AVE
RICHMOND HILL, NY 11419
(40.68871379040917, -73.82288833053201)"
CL.1,FIORINI LANDSCAPE INC.,124 HALF HOLLOW RD,MELVILLE,NY,(631) 253-0321,"124 HALF HOLLOW RD
MELVILLE, NY 11747
(40.78351012251005, -73.39596155130835)"
CL.1,FITZBERT CAMPBELL,116-40 237TH STREET,ELMONT,NY,(516) 285-3948,"116 40 237TH STREET
ELMONT, NY 11003
(40.69928860358624, -73.70558101105479)"
CL.1,FITZ'S LAWN CARE INC.,34 HARVEST AVE,STATEN ISLAND,NY,(917) 578-5022,"34 HARVEST AVE
STATEN ISLAND, NY 10310
(40.62771087386505, -74.10646367780178)"
CL.1,FLOR LANDSCAPING INC.,8 CARPENTER STREET,GLEN COVE,NY,(516) 656-0859,"8 CARPENTER STREET
GLEN COVE, NY 11542
(40.86603191191864, -73.64644971612927)"
CL.1,"FORTRESS CONSTRUCTION & LANDSCAPING, INC",1660 70TH STREET,BROOKLYN,NY,(347) 675-9215,"1660 70TH STREET
BROOKLYN, NY 11204
(40.61823913373146, -73.99640666760013)"
CL.1,FRANCESCO VENTIMGLIA,250 MAIN STREET,EAST ROCKAWAY,NY,(646) 872-3939,"250 MAIN STREET
EAST ROCKAWAY, NY 11518
(40.641821936793804, -73.67158576684818)"
CL.1,FRANGELLA LANDSCAPING INC.,31 LESLIE AVE,STATEN ISLAND,NY,(718) 273-9215,"31 LESLIE AVE
STATEN ISLAND, NY 10305
(40.60067214332441, -74.08211156070186)"
CL.1,FRANK & SONS LANDSCAPING,8850 BAY 16TH STREET,BROOKLYN,NY,(718) 259-4991,"8850 BAY 16TH STREET
BROOKLYN, NY 11214
(40.6031666568765, -74.00933987349185)"
CL.1,FRANK FRANCIAMORE INC,156 MONTGOMERY AVENUE,SCARSDALE,NY,(914) 725-9558,"156 MONTGOMERY AVENUE
SCARSDALE, NY 10583
(40.97803746534476, -73.80418699823926)"
CL.1,FREDY A SANTOS,40 CHESTNUT ROAD,INWOOD,NY,(516) 239-6508,"40 CHESTNUT ROAD
INWOOD, NY 11096
(40.61736937081719, -73.75545653930072)"
CL.1,FRUCTUOSO GIL,1992 CONEY ISLAND AVENUE APT 2F,BROOKLYN,NY,(718) 998-7465,"1992 CONEY ISLAND AVENUE
BROOKLYN, NY 11223
(40.60869937459951, -73.96222697903747)"
CL.1,FUENTES LANDSCAPING & CONSTRUCTION INC,57 TARGEE STREET,STATEN ISLAND,NY,(718) 442-7068,"57 TARGEE STREET
STATEN ISLAND, NY 10304
(40.62564675265818, -74.08335018402447)"
CL.1,FUSCHETTO LANDSCAPING INC,81 JAMES STREET,FRANKLIN SQUARE,NY,(516) 437-5457,"81 JAMES STREET
FRANKLIN SQUARE, NY 11010
(40.70498132291158, -73.67447259056223)"
CL.1,G & F OLIVEROS LANDSCAPING INC.,570 5TH AVENUE APT. 4J,NEW ROCHELLE,NY,(914) 494-9401,"570 5TH AVENUE
NEW ROCHELLE, NY 10801
(40.93048604113901, -73.76872484569131)"
CL.1,G & G LANDSCAPING INC.,48-18 190TH STREET,FRESH MEADOWS,NY,(718) 229-0970,"48 18 190TH STREET
FRESH MEADOWS, NY 11358
(40.760350968822195, -73.79632645819947)"
CL.1,G. RUGGIERO LANDSCAPING INC.,5 LUNDSTEN AVENUE,STATEN ISLAND,NY,(718) 605-9115,"5 LUNDSTEN AVENUE
STATEN ISLAND, NY 10309
(40.538692603912686, -74.23561157024604)"
CL.1,GABRIEL LANDSCAPING INC,1251 73 STEET,BROOKLYN,NY,(718) 680-7163,"1251 73
BROOKLYN, NY 11228
(40.61654071408276, -74.0132778473947)"
CL.1,GARDEN CARE CORP,2151 GEORGES LANE,WARRINGTON,PA,(718) 698-4215,"2151 GEORGES LANE
WARRINGTON, PA 18976
(40.23498663717908, -75.13519639665276)"
CL.1,GARDEN OF EDEN LANDSCAPING CONTRACTOR INC,13 CYPRESS RD,INWOOD,NY,(516) 371-6913,"13 CYPRESS RD
INWOOD, NY 11096
(40.6164160894661, -73.75242582406196)"
CL.1,GASPARE CRUCIATA/D.B.A. GASPARE CRUCIATA CONTRACTING,537 RENSSELEAR AVE,STATEN ISLAND,NY,(718) 984-5025,"537 RENSSELEAR AVE
STATEN ISLAND, NY 10312
(40.54156502972888, -74.19232123629284)"
CL.1,GAUDIO LOPRESTI,158 ANN STREET,VALLEY STREAM,NY,(516) 872-8676,"158 ANN STREET
VALLEY STREAM, NY 11580
(40.672902506126434, -73.68745880066535)"
CL.1,GENARO LARA D.B.A. GL LANDSCAPING,42-41 156TH STREET 2ND FLOOR,FLUSHING,NY,(718) 791-0280,"42 41 156TH STREET
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
CL.1,GIORGIO AGOSTINO D/B/A GIORGIO AGOSTINO LANDSCAPE,2245 TIEMANN AVE.,BRONX,NY,(718) 515-6698,"2245 TIEMANN AVE
BRONX, NY 10469
(40.85823494258552, -73.83818044804106)"
CL.1,GLORILANDO B. APARICIO,126 SOLOMON AVE.,INWOOD,NY,(516) 343-5618,"126 SOLOMON AVE
INWOOD, NY 11096
(40.61668588607489, -73.7512117393224)"
CL.1,GNC LANDSCAPING LTD.,155 -80 90TH STREET,HOWARD BEACH,NY,(718) 641-1268,"155 80 90TH STREET
HOWARD BEACH, NY 11414
(40.65817022817356, -73.84496263981396)"
CL.1,GREAT LANDSCAPING & DESIGN,126 SOLOMON AVE.,INWOOD,NY,(516) 343-5618,"126 SOLOMON AVE
INWOOD, NY 11096
(40.61668588607489, -73.7512117393224)"
CL.1,GREEN EDGE LANDSCAPING LLC,556 FOREST AVENUE,MASSAPEQUA,NY,(516) 541-3232,"556 FOREST AVENUE
MASSAPEQUA, NY 11758
(40.68036799396164, -73.47771564836609)"
CL.1,GREEN GRO INC,48-50 210th ST,BAYSIDE,NY,(718) 229-2734,"48 50 210th ST
BAYSIDE, NY 11364
(40.745924680379744, -73.75790275560763)"
CL.1,GREEN VALLEY LANDSCAPING CORP.,226 E. JAMAICA AVENUE,VALLEY STREAM,NY,(516) 593-4059,"226 JAMAICA AVENUE
VALLEY STREAM, NY 11580
(40.6637992168682, -73.70907471947243)"
CL.1,GRO-KIND ORGANICS INC,739 STERLING ST,N. BELLMORE,NY,(516) 679-1510,"739 STERLING ST
N BELLMORE, NY 11710
(40.704252872067855, -73.54213735395075)"
CL.1,GUADALUPE PRADO,"213 CLAYWOOD DR,",BRENTWOOD,NY,(917) 299-8295,"213 CLAYWOOD DR
BRENTWOOD, NY 11717
(40.76587441751548, -73.23191621994368)"
CL.1,H GONZALEZ LANDSCAPING INC,173-08 47TH AVE,FLUSHING,NY,(718) 279-0631,"173 08 47TH AVE
FLUSHING, NY 11358
(40.760350968822195, -73.79632645819947)"
CL.1,HANDYMAN LANDSCAPING CO INC.,8727 133RD STREET,RICHMOND HILL,NY,(718) 523-8701,"8727 133RD STREET
RICHMOND HILL, NY 11418
(40.70127779011942, -73.8190691518353)"
CL.1,HARVEY LANDSCAPING CORP.,9426 34TH RD.,JACKSON HEIGHTS,NY,(718) 779-4160,"9426 34TH RD
JACKSON HEIGHTS, NY 11372
(40.75383619318046, -73.87268480226442)"
CL.1,HEBER ROMERO,29-32 BEACH CHANNEL DRIVE # 20,FAR ROCKAWAY,NY,(347) 424-8506,"29 32 BEACH CHANNEL DRIVE
FAR ROCKAWAY, NY 11691
(40.600614338480966, -73.76256777468302)"
CL.1,HECTOR JUAREZ D.B.A. JUAREZ LANDSCAPING,87-77 169TH STREET APT. A1,JAMAICA,NY,(718) 790-3451,"87 77 169TH STREET
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)"
CL.1,HERMAN SERVICES INC,976 MCLEAN AVENUE,YONKERS,NY,(718) 653-3791,"976 MCLEAN AVENUE
YONKERS, NY 10704
(40.903016366055105, -73.86538952301994)"
CL.1,HERNANDEZ LANDSCAPING,104-19 93RD AVENUE,RICHMOND HILL,NY,(646) 764-4744,"104 19 93RD AVENUE
RICHMOND HILL, NY 11418
(40.69637041236467, -73.84031024991805)"
CL.1,HERRERA MAINTENANCE,185 BARRETT ROAD,LAWRENCE,NY,(516) 239-2519,"185 BARRETT ROAD
LAWRENCE, NY 11559
(40.60445278283004, -73.72509114659954)"
CL.1,HILARION RAFAEL ANGEL BALBUENA,209 61ST STREET,BROOKLYN,NY,(718) 492-1697,"209 61ST STREET
BROOKLYN, NY 11220
(40.64201680981198, -74.0218859819277)"
CL.1,"HINES & ZAFFARESE LANDSCAPING, INC.",150 BROADWAY,GARDEN CITY,NY,(516) 747-3095,"150 BROADWAY
GARDEN CITY, NY 11040
(40.73784974598706, -73.65918647707362)"
CL.1,"HUDSON LANDSCAPING, LLC",24 BROOKSIDE PLACE,NEW ROCHELLE,NY,(914) 636-8349,"24 BROOKSIDE PLACE
NEW ROCHELLE, NY 10801
(40.92404717602875, -73.78658207473478)"
