Category,Type of Business,Business,Parsed Address,City/State,Zip Code,Phone Number,Location 1
Food and Drink,Casual Eateries,Cosi,841,"New York, NY",10003,212-614-8544,"841 Broadway
New York, NY 10003
(40.73396689745794, -73.99097622768353)"
Food and Drink,Casual Eateries,Crumbs Bake Shop,124,"New York, NY",10003,212-206-8011,"124 University Place
New York, NY 10003
(40.73459157572197, -73.9922458683952)"
Food and Drink,Casual Eateries,Cupcake Café,18,"New York, NY",10003,212-465-1530,"18 18th Street
New York, NY 10003
(40.738031407488336, -73.9907191821656)"
Food and Drink,Casual Eateries,Curly's Vegetarian ,330,"New York, NY",10003,212-598-9998,"330 14th Street
New York, NY 10003
(40.73202198510755, -73.98424298823417)"
Food and Drink,Casual Eateries,Daily Juice,331,"New York, NY",10003,212-228-2098,"331 14th Street
New York, NY 10003
(40.7317991058253, -73.98364151779498)"
Food and Drink,Casual Eateries,David's Bagels,273,"New York, NY",10003,,"273 1st Avenue
New York, NY 10003
(40.732428631245796, -73.98177092797403)"
Food and Drink,Casual Eateries,Di Fiore Marquet Café,15,"New York, NY",10003,212-229-9313,"15 12th Street
New York, NY 10003
(40.73420928886384, -73.99347110757526)"
Food and Drink,Casual Eateries,Diet Lite Ice Cream,44,"New York, NY",10003,212-673-4420,"44 Union Square
New York, NY 10003
(40.73634967529358, -73.98909140929254)"
Food and Drink,Casual Eateries,Dig Inn,17,"New York, NY",10003,212-253-7676,"17 17th Street
New York, NY 10003
(40.73746483460991, -73.99114186351937)"
Food and Drink,Casual Eateries,Dogmatic,26,"New York, NY",10003,212-414-0600,"26 17th Street
New York, NY 10003
(40.73718712344551, -73.99055102740563)"
Food and Drink,Casual Eateries,Donna's Deli,325,"New York, NY",10003,,"325 1st Avenue
New York, NY 10003
(40.734314817593834, -73.98042628116374)"
Food and Drink,Casual Eateries,Dos Toros Taqueria,137,"New York, NY",10003,212-677-7300,"137 4th Avenue
New York, NY 10003
(40.73354082374494, -73.98981571892276)"
Food and Drink,Casual Eateries,Dunkin Donuts,40,"New York, NY",10003,212-254-2055,"40 Union Square
New York, NY 10003
(40.7362272703127, -73.9891351371314)"
Food and Drink,Casual Eateries,Dunkin Donuts,215,"New York, NY",10003,,"215 1st Avenue
New York, NY 10003
(40.730576027865425, -73.98316487711946)"
Food and Drink,Casual Eateries,Dunkin Donuts,218,"New York, NY",10003,212-388-9992,"218 14th Street
New York, NY 10003
(40.73294124480253, -73.98635747032347)"
Food and Drink,Casual Eateries,Dunkin Donuts and Baskin Robbins,536,"New York, NY",10011,212-727-0444,"536 6th Avenue
New York, NY 10011
(40.73765369223605, -73.9966007482372)"
Food and Drink,Casual Eateries,Ennju,20,"New York, NY",10003,646-336-7004,"20 17th Street
New York, NY 10003
(40.73735489545888, -73.99095875241487)"
Food and Drink,Casual Eateries,EO Pizza Bar,171,"New York, NY",10003,,"171 3rd Avenue
New York, NY 10003
(40.73481183462343, -73.98607868049442)"
Food and Drink,Casual Eateries,Everyman Espresso,136,"New York, NY",10003,212-533-0524,"136 13th Street
New York, NY 10003
(40.73314860789777, -73.98906004695999)"
Food and Drink,Casual Eateries,Flavaboom,600,"New York, NY",10011,212-414-0010,"600 6th Avenue
New York, NY 10011
(40.739471155967024, -73.99525162328676)"
Food and Drink,Casual Eateries,Food Works,10,"New York, NY",10011,212-352-9333,"10 19th Street
New York, NY 10011
(40.73918627037213, -73.99170180963286)"
Food and Drink,Casual Eateries,Friendhouse,99,"New York, NY",10003,212-388-1838,"99 3rd Avenue
New York, NY 10003
(40.732437624466115, -73.98781437201097)"
Food and Drink,Casual Eateries,Golden Krust,47,"New York, NY",10011,212-627-0851,"47 14th Street
New York, NY 10011
(40.736970207493755, -73.99591726349496)"
Food and Drink,Casual Eateries,Goodburger,870,"New York, NY",10003,212-529-9100,"870 Broadway
New York, NY 10003
(40.73753678037224, -73.99017958894802)"
Food and Drink,Casual Eateries,Gramercy Café,184,"New York, NY",10003,212-982-2121,"184 3rd Avenue
New York, NY 10003
(40.73510861089312, -73.98585384998705)"
Food and Drink,Casual Eateries,Green Café,213,"New York, NY",10003,212-460-0910,"213 Park Avenue
New York, NY 10003
(40.736889268511106, -73.98871369404026)"
Food and Drink,Casual Eateries,Hale and Hearty,11,"New York, NY",10003,212-675-6611,"11 17th Street
New York, NY 10003
(40.73755476681282, -73.99135770080642)"
Food and Drink,Casual Eateries,Hawkers,225,"New York, NY",10003,212-982-1688,"225 14th Street
New York, NY 10003
(40.732869299040146, -73.98617760591765)"
Food and Drink,Casual Eateries,Hollywood Diner,574,"New York, NY",10011,212-691-8465,"574 6th Avenue
New York, NY 10011
(40.738744125446374, -73.99578268963093)"
Food and Drink,Casual Eateries,Hotel Tortuga,246,"New York, NY",10003,212-228-1884,"248 14th Street
New York, NY 10003
(40.73280477488535, -73.9861083395686)"
Food and Drink,Casual Eateries,IHOP,235,"New York, NY",10011,212-388-1499,"235 14th Street
New York, NY 10011
(40.73920951934673, -74.0012232634678)"
Food and Drink,Casual Eateries,Il Forno Pizzeria Restaurant,343,"New York, NY",10003,212-358-8300,"343 2nd Avenue
New York, NY 10003
(40.736012349432755, -73.98231918195508)"
Food and Drink,Casual Eateries,J. East Chine Takeout,175,"New York, NY",10003,,"175 3rd Avenue
New York, NY 10003
(40.7348673739425, -73.98599270073521)"
Food and Drink,Casual Eateries,Jamba Juice,125,"New York, NY",10003,212-420-1179,"125 University Place
New York, NY 10003
(40.73457866965574, -73.99217174920021)"
Food and Drink,Casual Eateries,Joe Junior Restaurant,167,"New York, NY",10003,212-473-5150,"167 3rd Avenue
New York, NY 10003
(40.73473089564084, -73.98613263981616)"
Food and Drink,Casual Eateries,Joe the Art of Coffee,9,"New York, NY",10003,212-924-7400,"9 13th Street
New York, NY 10003
(40.73512963905717, -73.99360759596391)"
Food and Drink,Casual Eateries,Johnny's Pizza and Pasta,261,"New York, NY",10003,212-254-6649,"261 1st Avenue
New York, NY 10003
(40.73218581429791, -73.9819507923799)"
Food and Drink,Casual Eateries,Kambi Ramen House,351,"New York, NY",10003,212-228-1366,"351 14th Street
New York, NY 10003
(40.73186195313072, -73.98370975921253)"
Food and Drink,Casual Eateries,KFC,242,"New York, NY",10003,212-533-7299,"252 14th Street
New York, NY 10003
(40.73276923513077, -73.98602414830532)"
Food and Drink,Casual Eateries,Krust Pizzeria,226,"New York, NY",10003,212-510-8869,"226 14th Street
New York, NY 10003
(40.73282433293872, -73.9860696872741)"
Food and Drink,Casual Eateries,Le Pain Quotidien,38,"New York, NY",10013,212-673-7900,"38 19th Street
New York, NY 10013
(40.5393232842816, -74.16913934362)"
Food and Drink,Casual Eateries,Le Pain Quotidien,801,"New York, NY",10003,646-478-8871,"801 Broadway
New York, NY 10003
(40.73280634649814, -73.9912138092817)"
Food and Drink,Casual Eateries,Led Zeppole,330,"New York, NY",10003,212-228-2807,"330 14th Street
New York, NY 10003
(40.73202198510755, -73.98424298823417)"
Food and Drink,Casual Eateries,Little Italy Pizza III,122,"New York, NY",10003,212-989-4225,"122 University Place
New York, NY 10003
(40.73457510198661, -73.99225887397576)"
Food and Drink,Casual Eateries,Little Pakistan Deli Corp,200,"New York, NY",10003,,"200 2nd Avenue
New York, NY 10003
(40.73122624284666, -73.98572141412383)"
Food and Drink,Casual Eateries,Maoz,38,"New York, NY",10003,212-260-1988,"38 Union Square
New York, NY 10003
(40.73621105933508, -73.9891465645042)"
Food and Drink,Casual Eateries,Mapi Expresso and Sandwich Bar,1,"New York, NY",10011,212-929-1041,"1 13th Street
New York, NY 10011
(40.73537973737967, -73.99419794934298)"
Food and Drink,Casual Eateries,Mariella Pizza,180,"New York, NY",10003,212-777-1220,"180 16th Street
New York, NY 10003
(40.734757701861504, -73.98662176912835)"
Food and Drink,Casual Eateries,Marquet,15,"New York, NY",10003,212-229-9313,"15 12th Street
New York, NY 10003
(40.73420928886384, -73.99347110757526)"
Food and Drink,Casual Eateries,Max Brenner,841,"New York, NY",10003,212-675-2304,"841 Broadway
New York, NY 10003
(40.73396689745794, -73.99097622768353)"
Food and Drink,Casual Eateries,McDonald's,39,"New York, NY",10011,212-645-9079,"39 Union Square
New York, NY 10011
(40.73696121427349, -73.9904673719974)"
Food and Drink,Casual Eateries,Mikey's Burger,241,"New York, NY",10003,212-533-3335,"241 3rd Avenue
New York, NY 10003
(40.73688389596985, -73.98452781343042)"
Food and Drink,Casual Eateries,Milk Bar,251,"New York, NY",10003,212-254-3500,"251 13th Street
New York, NY 10003
(40.73214686748006, -73.98653439915726)"
Food and Drink,Casual Eateries,Motorino Pizzeria,349,"New York, NY",10003,212-777-2644,"349 12th Street
New York, NY 10003
(40.73022529227404, -73.98401923304732)"
Food and Drink,Casual Eateries,Mr. Lee's Food Court,271,"New York, NY",10003,212-995-9261,"271 1st Avenue
New York, NY 10003
(40.73238366514437, -73.98180690085525)"
Food and Drink,Casual Eateries,Murray's Bagels,500,"New York, NY",10011,212-462-2830,"500 6th Avenue
New York, NY 10011
(40.73649356681824, -73.99746409738532)"
Food and Drink,Casual Eateries,Murray's Falafel,261,"New York, NY",10003,212-533-1956,"261 1st Avenue
New York, NY 10003
(40.73218581429791, -73.9819507923799)"
Food and Drink,Casual Eateries,Nana's Treats,46,"New York, NY",10011,212-647-1610,"46 17th Street
New York, NY 10011
(40.73884079731471, -73.99441539570603)"
Food and Drink,Casual Eateries,New Amici Pizza,88,"New York, NY",10003,212-979-9686,"88 3rd Avenue
New York, NY 10003
(40.73210487531526, -73.98804819573854)"
Food and Drink,Casual Eateries,New Andy's Deli,873,"New York, NY",10003,212-477-1110,"873 Broadway
New York, NY 10003
(40.73808536681008, -73.99003569742331)"
Food and Drink,Casual Eateries,New Taco Grill,211,"New York, NY",10003,212-353-3728,"211 14th Street
New York, NY 10003
(40.73294124480253, -73.98635747032347)"
Food and Drink,Casual Eateries,Newsbar,107,"New York, NY",10003,212-353-1246,"107 University Place
New York, NY 10003
(40.73413172944021, -73.99254302576149)"
Food and Drink,Casual Eateries,No. 1 Kitchen,265,"New York, NY",10003,212-529-0539,"265 1st Avenue
New York, NY 10003
(40.732329705822565, -73.98185186695667)"
Food and Drink,Casual Eateries,Num Pang,21,"New York, NY",10003,212-255-3271,"21 12th Street
New York, NY 10003
(40.73415941925228, -73.99328928325086)"
Food and Drink,Casual Eateries,Ole Kebab,49,"New York, NY",10011,212-989-1166,"49 14th Street
New York, NY 10011
(40.73668421656696, -73.99517177179868)"
Food and Drink,Casual Eateries,One Lucky Duck,125,"New York, NY",10003,212-477-7151,"125 17th Street
New York, NY 10003
(40.73587834070102, -73.98730883952659)"
Food and Drink,Casual Eateries,Papaya Dog,239,"New York, NY",10003,646-654-7010,"239 1st Avenue
New York, NY 10003
(40.73152031599619, -73.982445419496)"
Food and Drink,Casual Eateries,Paquito's,175,"New York, NY",10003,212-477-5797,"175 3rd Avenue
New York, NY 10003
(40.7348673739425, -73.98599270073521)"
Food and Drink,Casual Eateries,Peridance Café,126,"New York, NY",10003,212-505-0886,"126 13th Street
New York, NY 10003
(40.73323659463594, -73.9892679371943)"
Food and Drink,Casual Eateries,Piccolo Café,157,"New York, NY",10003,212-260-1175,"157 3rd Avenue
New York, NY 10003
(40.734425126150825, -73.98636646354379)"
Food and Drink,Casual Eateries,Pie,124,"New York, NY",10003,212-475-4977,"124 4th Avenue
New York, NY 10003
(40.73293925014889, -73.99001748560201)"
Food and Drink,Casual Eateries,Pinkberry,523,"New York, NY",10011,212-414-8429,"523 6th Avenue
New York, NY 10011
(40.73713208545905, -73.9969874567098)"
Food and Drink,Casual Eateries,Pita Joe,2,"New York, NY",10011,212-627-7877,"2 14th Street
New York, NY 10011
(40.73600705846937, -73.99372903824292)"
Food and Drink,Casual Eateries,Pizza Bash NYC,42,"New York, NY",10003,212-410-2274,"42 Union Square
New York, NY 10003
(40.736237561680085, -73.9891277861547)"
Food and Drink,Casual Eateries,Pizza Paradise,12,"New York, NY",10011,212-206-0500,"12 18th Street
New York, NY 10011
(40.73895770917852, -73.99292252113736)"
Food and Drink,Casual Eateries,Popeye's,47,"New York, NY",10011,212-206-8405,"47 14th Street
New York, NY 10011
(40.736970207493755, -73.99591726349496)"
Food and Drink,Casual Eateries,Posto,310,"New York, NY",10003,212-716-1200,"310 2nd Avenue
New York, NY 10003
(40.734964719368406, -73.98303897203539)"
Food and Drink,Casual Eateries,Potbelly Sandwich,22,"New York, NY",10003,,"22 17th Street
New York, NY 10003
(40.737298971417445, -73.99082284398858)"
Food and Drink,Casual Eateries,Pret A Manger,857,"New York, NY",10003,646-810-0167,"857 Broadway
New York, NY 10003
(40.737320943085194, -73.99024254149003)"
Food and Drink,Casual Eateries,Qdoba,120,"New York, NY",10003,212-367-2168,"120 University Place
New York, NY 10003
(40.734694922759616, -73.9921221245313)"
Food and Drink,Casual Eateries,Rainbow Falafel,26,"New York, NY",10003,212-691-8641,"26 17th Street
New York, NY 10003
(40.73718712344551, -73.99055102740563)"
Food and Drink,Casual Eateries,Ray's Gourmet,201,"New York, NY",10003,212-529-5414,"201 2nd Avenue
New York, NY 10003
(40.73135843803095, -73.98567398558123)"
Food and Drink,Casual Eateries,Red Mango,63,"New York, NY",10011,212-414-3009,"63 14th Street
New York, NY 10011
(40.73686778102659, -73.99560290674663)"
Food and Drink,Casual Eateries,Redhouse,203,"New York, NY",10003,212-228-8288,"204 14th Street
New York, NY 10003
(40.733195712003116, -73.98703444303203)"
Food and Drink,Casual Eateries,Regale Deli,75,"New York, NY",10003,646-336-7101,"75 5th Avenue
New York, NY 10003
(40.736889268511106, -73.99295849401852)"
Food and Drink,Casual Eateries,Riceton,223,"New York, NY",10003,212-982-8999,"223 14th Street
New York, NY 10003
(40.73290527192131, -73.98626753812056)"
Food and Drink,Casual Eateries,Robin Raj Deli,114,"New York, NY",10003,212-995-5932,"114 3rd Avenue
New York, NY 10003
(40.732950238022795, -73.98742766353837)"
Food and Drink,Casual Eateries,Salt and Pepper Restaurant,239,"New York, NY",10003,212-677-0005,"239 1st Avenue
New York, NY 10003
(40.73152031599619, -73.982445419496)"
Food and Drink,Casual Eateries,Sausage Inc,106,"New York, NY",10003,212-414-4344,"106 University Place
New York, NY 10003
(40.73413717111702, -73.99262417502284)"
Food and Drink,Casual Eateries,Señor Pollo,221,"New York, NY",10003,212-777-0362,"221 1st Avenue
New York, NY 10003
(40.73082783803363, -73.98297601949332)"
Food and Drink,Casual Eateries,Slice & Co.,527,"New York, NY",10011,212-255-6333,"527 6th Avenue
New York, NY 10011
(40.73723101088228, -73.99692450416774)"
