Publication,Category,Format,Date,Category 2,Description,Category 3,URL
Fiscal 2005 Preliminary Budget Response - Part V,City Council,Part V - Highlights,29-Mar-04,Finance and Budget,Fiscal 2005 Preliminary Budget Response - Part V,Budget Report,http://nyc.gov/html/records/pdf/govpub/934budresp05v.pdf
Fiscal 2005 Preliminary Budget Response - Part IV,City Council,Part IV - Capital Budget Response,29-Mar-04,Finance and Budget,Fiscal 2005 Preliminary Budget Response - Part IV,Budget Report,http://nyc.gov/html/records/pdf/govpub/933budresp05iv.pdf
Fiscal 2005 Preliminary Budget Response - Part III,City Council,Part III - Committee Reports Based on the Preliminary Budget Hearings,29-Mar-04,Finance and Budget,Fiscal 2005 Preliminary Budget Response - Part III,Budget Report,http://nyc.gov/html/records/pdf/govpub/932budresp05iii.pdf
Fiscal 2005 Preliminary Budget Response - Part II,City Council,Part II - City Council Tax Revenue Forecast Fiscal 2004-2008,29-Mar-04,Finance and Budget,Fiscal 2005 Preliminary Budget Response - Part II,Budget Report,http://nyc.gov/html/records/pdf/govpub/931budresp05ii.pdf
Fiscal 2005 Preliminary Budget Response - Part I,City Council,Part I - Comment on the Fiscal 2005 Preliminary Budget,29-Mar-04,Finance and Budget,Fiscal 2005 Preliminary Budget Response - Part I,Budget Report,http://nyc.gov/html/records/pdf/govpub/930budresp05i.pdf
January 2004 Financial Plan - Community Boards Register by Boro,Management and Budget,January 2004 Financial Plan - Community Boards Register by Boro,15-Jan-04,Finance and Budget,January 2004 Financial Plan - Community Boards Register by Boro,Budget Report,http://nyc.gov/html/records/pdf/govpub/890cbrboro1_04.pdf
January 2004 Financial Plan - Community Boards Geographic Report for Expense Budget,Management and Budget,January 2004 Financial Plan - Community Boards Geographic Report for Expense Budget,15-Jan-04,Finance and Budget,January 2004 Financial Plan - Community Boards Geographic Report for Expense Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/889cbgeo1_04.pdf
"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 3",Management and Budget,"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 3",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 3",Budget Report,http://nyc.gov/html/records/pdf/govpub/888com1_04c.pdf
"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 2",Management and Budget,"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 2",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 2",Budget Report,http://nyc.gov/html/records/pdf/govpub/887com1_04b.pdf
"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 1",Management and Budget,"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 1",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Capital Commitment Plan, Fiscal Year 2004 - Volume 1",Budget Report,http://nyc.gov/html/records/pdf/govpub/886com1_04a.pdf
"January 2004 Financial Plan - Preliminary Capital Budget, Fiscal Year 2005",Management and Budget,"January 2004 Financial Plan - Preliminary Capital Budget, Fiscal Year 2005",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Preliminary Capital Budget, Fiscal Year 2005",Budget Report,http://nyc.gov/html/records/pdf/govpub/885pcb1_04.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume VII",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume VII",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume VII",Budget Report,http://nyc.gov/html/records/pdf/govpub/884de1_04g.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume VI",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume VI",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume VI",Budget Report,http://nyc.gov/html/records/pdf/govpub/883de1_04f.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume V",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume V",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume V",Budget Report,http://nyc.gov/html/records/pdf/govpub/882de1_04e.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume IV",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume IV",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume IV",Budget Report,http://nyc.gov/html/records/pdf/govpub/881de1_04d.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume III",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume III",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume III",Budget Report,http://nyc.gov/html/records/pdf/govpub/880de1_04c.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume II",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume II",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume II",Budget Report,http://nyc.gov/html/records/pdf/govpub/879de1_04b.pdf
"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume I",Management and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume I",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Departmental Estimates, Fiscal Year 2005 - Volume I",Budget Report,http://nyc.gov/html/records/pdf/govpub/878de1_04a.pdf
"January 2004 Financial Plan - Contract Budget, Fiscal Year 2005",Management and Budget,"January 2004 Financial Plan - Contract Budget, Fiscal Year 2005",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Contract Budget, Fiscal Year 2005",Budget Report,http://nyc.gov/html/records/pdf/govpub/877cont1_04.pdf
"January 2004 Financial Plan - Preliminary Expense Budget, Fiscal Year 2005",Management and Budget,"January 2004 Financial Plan - Preliminary Expense Budget, Fiscal Year 2005",15-Jan-04,Finance and Budget,"January 2004 Financial Plan - Preliminary Expense Budget, Fiscal Year 2005",Budget Report,http://nyc.gov/html/records/pdf/govpub/876peb1_04.pdf
January 2004 Financial Plan - Financial Plan Fiscsal Years 2004-2008 - Detail,Management and Budget,January 2004 Financial Plan - Financial Plan Fiscsal Years 2004-2008 - Detail,15-Jan-04,Finance and Budget,January 2004 Financial Plan - Financial Plan Fiscsal Years 2004-2008 - Detail,Budget Report,http://nyc.gov/html/records/pdf/govpub/875tech1_04.pdf
January 2004 Financial Plan - Financial Plan Fiscsal Years 2004-2008 - Summary,Management and Budget,January 2004 Financial Plan - Financial Plan Fiscsal Years 2004-2008 - Summary,15-Jan-04,Finance and Budget,January 2004 Financial Plan - Financial Plan Fiscsal Years 2004-2008 - Summary,Budget Report,http://nyc.gov/html/records/pdf/govpub/874sum1_04.pdf
Emergency Contraception: Available at your pharmacy yet?,City Council,"On Sunday, February 8, 2004 The New York City Council members were joined by advocates in releasing an investigation report that reveals 25% of New York City pharmacies are not stocking Emergency Contraception Pills (ECPs), also known as the ""Morning-Afte",08-Feb-04,Business and Consumers,Emergency Contraception: Available at your pharmacy yet?,Report,http://nyc.gov/html/records/pdf/govpub/872emergpills.pdf
"A Time of Examination, A Time of Discovery, A Time of Accomplishment January 220 - June 2003",Human Rsrcs - HRA,"HRA's Progress Report.  The report lists HRA's Program Areas.  HRA's Accomplishments Improving Customer Service through technology, accountability and strategic planning.  Looking forward - Commissioner's priorities - Charting the Course, TANF Reauthoriza",23-Sep-03,Human Services,"A Time of Examination, A Time of Discovery, A Time of Accomplishment January 220 - June 2003",Annual Report,http://nyc.gov/html/records/pdf/govpub/865annual_progress_report.pdf
District Resource Statement,Human Rsrcs - HRA,"District Resource Statement provides FY2002 and FY2003 information for each Community district on demographic and socioeconomic data, HRA income support population and programs and services provided through contracts with service providers.",01-Aug-03,Human Services,District Resource Statement,Report,http://nyc.gov/html/records/pdf/govpub/864drs2002_2003nocontracts.pdf
Prescription Drug Prices: All Over the Map,City Council,"A New York City Council Investigation Division (CID) investigation finds that a senior citizen with arthritis, high cholesterol, hypertension and gastric acid disorders could save more than $2,600 per year just by shopping around within New York City.  Pr",01-Feb-04,Business and Consumers,Prescription Drug Prices: All Over the Map,Report,http://nyc.gov/html/records/pdf/govpub/859prescdrugs.pdf
2003 Accounting of Department of Consumer Affairs Tow Truck Trust Fund,Consumer Affairs,"Under 6 RCNY Section 2-375 (d), DCA is required to perform an annual accounting of its Tow Truck Trust Fund.  This accounting shows the opening and closing balances, deposits and disbursements in 2003.",31-Jan-04,Business and Consumers,2003 Accounting of Department of Consumer Affairs Tow Truck Trust Fund,Annual Report,http://nyc.gov/html/records/pdf/govpub/858dca.2003.tttfaccounting.20040202.pdf
2003 Accounting of NYC Department of Consumer Affairs HIC Trust Fund,Consumer Affairs,"Under 6 RCNY Section 2-224 (d), DCA is required to perform an annual accounting of its Home Improvement Contractor Trust Fund.  This accounting shows the opening and closing balances, deposits and disbursements in 2003.",31-Jan-04,Business and Consumers,2003 Accounting of NYC Department of Consumer Affairs HIC Trust Fund,Annual Report,http://nyc.gov/html/records/pdf/govpub/857dca.2003.hictfaccounting.20040202.pdf
"Citywide Statement Of Needs, FY'05/'06",City Planning,"The SON identifies by agency and program all new facilities the city plans to site and all existing facilities the city plans to close, or significantly expand or reduce in size during the next two fiscal years.",30-Nov-03,Government Policy,"Citywide Statement Of Needs, FY'05/'06",Annual Report,http://nyc.gov/html/records/pdf/govpub/852final.12-29-03.pdf
12/31/03 Quarterly Provisional Report,Citywide Admin Svcs,The Department of Citywide Administrative Services 22a Charter Provisional Report on Provisionals within City agencies as of 12/31/03.,31-Dec-03,Labor Relations,12/31/03 Quarterly Provisional Report,Report,http://nyc.gov/html/records/pdf/govpub/851quarterly_provisional_report.pdf
"Despite Economic Upturn, City Still Faces Budget Shortfalls",Independent Budget,"Fiscal Outlook Report, 4 Pages (PDF Format)",18-Dec-03,Finance and Budget,"Despite Economic Upturn, City Still Faces Budget Shortfalls",Budget Report,http://nyc.gov/html/records/pdf/govpub/842fiscaloutlookdec2003.pdf
"Inside the Budget, No.125, School Capital Plan Counts on More Seats, Falling Enrollment To Ease Overcrowding",Independent Budget,"IBO Newsfax, 4 Pages PDF Format",11-Dec-03,Finance and Budget,"Inside the Budget, No.125, School Capital Plan Counts on More Seats, Falling Enrollment To Ease Overcrowding",Budget Report,http://nyc.gov/html/records/pdf/govpub/841insidethebudget125.pdf
Toy Guns: A Deadly Game,City Council,"On December 14, 2003 City Council Speaker Gifford Miller and Council Member Eric Gioia, Chair of the Committee on Oversight and Investigations, released a report that shows illegal toy guns are being sold in almost 20% of stores visited in New York City.",14-Dec-03,Business and Consumers,Toy Guns: A Deadly Game,Report,http://nyc.gov/html/records/pdf/govpub/838toyguns.pdf
PARENTS BEWARE: Retail stores ignore video game ratings,City Council,"On Sunday, December 7, 2003 the Council Investigation Division(CID) released a report to the Committee on Oversight and Investigations entiltled "" Parents Beware: Retail stores ignore video game ratings. The report found that a voluntary industry-wide rat",07-Dec-03,Cultural/Entertainment,PARENTS BEWARE: Retail stores ignore video game ratings,Report,http://nyc.gov/html/records/pdf/govpub/834gameviolence.pdf
Will New State Law Help Reclaim New York's Brownfields,Independent Budget,Fiscal Brief (7 pages-PDF Format),03-Dec-03,Finance and Budget,Will New State Law Help Reclaim New York's Brownfields?,Budget Report,http://nyc.gov/html/records/pdf/govpub/831brownfields.pdf
"Inside the Budget, No.124 Priorities Shift in City's Plans for Spending on Housing",Independent Budget,"IBO Newsfax, 3 pages PDF Format",04-Dec-03,Finance and Budget,"Inside the Budget, No.124 Priorities Shift in City's Plans for Spending on Housing",Budget Report,http://nyc.gov/html/records/pdf/govpub/830insidethebudget124.pdf
Fiscal Year 2004 AIMS Report - Department of Citywide Administrative Services,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Citywide Administrative Services,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Citywide Administrative Services,Report,http://nyc.gov/html/records/pdf/govpub/829ad11_03u.pdf
"Fiscal Year 2004 AIMS Report - Department of Parks & Recreation, Volume 2 of 2",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Parks & Recreation, Volume 2 of 2",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Parks & Recreation, Volume 2 of 2",Report,http://nyc.gov/html/records/pdf/govpub/828ad11_03t.pdf
"Fiscal Year 2004 AIMS Report - Department of Parks & Recreation, Volume 1 of 2",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Parks & Recreation, Volume 1 of 2",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Parks & Recreation, Volume 1 of 2",Report,http://nyc.gov/html/records/pdf/govpub/827ad11_03s.pdf
Fiscal Year 2004 AIMS Report - Department of Transportation,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Transportation,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Transportation,Report,http://nyc.gov/html/records/pdf/govpub/826ad11_03r.pdf
Fiscal Year 2004 AIMS Report - Department of Sanitation,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Sanitation,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Sanitation,Report,http://nyc.gov/html/records/pdf/govpub/825ad11_03q.pdf
Fiscal Year 2004 AIMS Report - Dept. of Health & Mental Hygiene and Health & Hospitals Corporation,Management and Budget,Fiscal Year 2004 AIMS Report - Dept. of Health & Mental Hygiene and Health & Hospitals Corporation,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Dept. of Health & Mental Hygiene and Health & Hospitals Corporation,Report,http://nyc.gov/html/records/pdf/govpub/824ad11_03p.pdf
Fiscal Year 2004 AIMS Report - Department of Small Business Services,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Small Business Services,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Small Business Services,Report,http://nyc.gov/html/records/pdf/govpub/823ad11_03o.pdf
Fiscal Year 2004 AIMS Report - Department of Cultural Affairs,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Cultural Affairs,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Cultural Affairs,Report,http://nyc.gov/html/records/pdf/govpub/822ad11_03n.pdf
Fiscal Year 2004 AIMS Report - Department of Correction and Department of Juvenile Justice,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Correction and Department of Juvenile Justice,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Correction and Department of Juvenile Justice,Report,http://nyc.gov/html/records/pdf/govpub/821ad11_03m.pdf
Fiscal Year 2004 AIMS Report - Department of Homeless Services,Management and Budget,Fiscal Year 2004 AIMS Report - Department of Homeless Services,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Department of Homeless Services,Report,http://nyc.gov/html/records/pdf/govpub/820ad11_03l.pdf
Fiscal Year 2004 AIMS Report - Administration for Children's Services and Human Resources Administration,Management and Budget,Fiscal Year 2004 AIMS Report - Administration for Children's Services and Human Resources Administration,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Administration for Children's Services and Human Resources Administration,Report,http://nyc.gov/html/records/pdf/govpub/819ad11_03k.pdf
Fiscal Year 2004 AIMS Report - Police Department and Fire Department,Management and Budget,Fiscal Year 2004 AIMS Report - Police Department and Fire Department,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Police Department and Fire Department,Report,http://nyc.gov/html/records/pdf/govpub/818ad11_03j.pdf
Fiscal Year 2004 AIMS Report - City University,Management and Budget,Fiscal Year 2004 AIMS Report - City University,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - City University,Report,http://nyc.gov/html/records/pdf/govpub/817ad11_03i.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 7 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 7 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 7 of 7",Report,http://nyc.gov/html/records/pdf/govpub/816ad11_03h.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 6 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 6 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 6 of 7",Report,http://nyc.gov/html/records/pdf/govpub/815ad11_03g.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 5 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 5 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 5 of 7",Report,http://nyc.gov/html/records/pdf/govpub/814ad11_03f.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 4 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 4 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 4 of 7",Report,http://nyc.gov/html/records/pdf/govpub/813ad11_03e.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 3 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 3 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 3 of 7",Report,http://nyc.gov/html/records/pdf/govpub/812ad11_03d.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 2 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 2 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 2 of 7",Report,http://nyc.gov/html/records/pdf/govpub/811ad11_03c.pdf
"Fiscal Year 2004 AIMS Report - Department of Education, Volume 1 of 7",Management and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 1 of 7",31-Oct-03,Finance and Budget,"Fiscal Year 2004 AIMS Report - Department of Education, Volume 1 of 7",Report,http://nyc.gov/html/records/pdf/govpub/810ad11_03b.pdf
Fiscal Year 2004 AIMS Report - Public Library,Management and Budget,Fiscal Year 2004 AIMS Report - Public Library,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Public Library,Report,http://nyc.gov/html/records/pdf/govpub/809ad11_03a.pdf
Fiscal Year 2004 AIMS Report - Executive Summary,Management and Budget,Fiscal Year 2004 AIMS Report - Executive Summary,31-Oct-03,Finance and Budget,Fiscal Year 2004 AIMS Report - Executive Summary,Report,http://nyc.gov/html/records/pdf/govpub/808as11_03.pdf
"Inside the Budget, No.123 Paying for the City Workforce: Costs Rise as Headcount Falls",Independent Budget,"IBO Newsfax, 3 pages (PDF Format)",06-Nov-03,Finance and Budget,"Inside the Budget, No.123 Paying for the City Workforce: Costs Rise as Headcount Falls",Budget Report,http://nyc.gov/html/records/pdf/govpub/773insidethebudget123.pdf
"Inside the Budget, No. 122 Despite Free Space in Some Middle Schools, Many Packed Classrooms",Independent Budget,"IBO Newsfax, 3 pages (PDF Format)",31-Oct-03,Finance and Budget,"Inside the Budget, No. 122 Despite Free Space in Some Middle Schools, Many Packed Classrooms",Budget Report,http://nyc.gov/html/records/pdf/govpub/772insidethebudget122.pdf
"Inside the Budget, No. 121 Homeless Prevention Spending Flat, But Programs Are Changing",Independent Budget,"IBO Newsfax, 3 Pages (PDF Format)",23-Oct-03,Finance and Budget,"Inside the Budget, No. 121 Homeless Prevention Spending Flat, But Programs Are Changing",Budget Report,http://nyc.gov/html/records/pdf/govpub/771insidethebudget121.pdf
Bridge Tolls: Who Would Pay? And How Much?,Independent Budget,Fiscal Brief (7 pages-PDF format),07-Oct-03,Finance and Budget,Bridge Tolls: Who Would Pay? And How Much?,Budget Report,http://nyc.gov/html/records/pdf/govpub/762bridgetolls.pdf
IDLING BUSES: Exhausting Our Health,City Council,"This NYC Council Investigation Division report found that in some parts of the City, over 30% of buses were observed idling longer than is legally allowed, which contributes to the City’s already serious pollution problem.  The average idling time for the",09-Oct-03,Environment,IDLING BUSES: Exhausting Our Health,Report,http://nyc.gov/html/records/pdf/govpub/760busidling.pdf
"Inside the Budget, No. 118 Unintended Consequences: New Absentee Landlord Tax Will Hit Poorer Neighborhoods Hardest",Independent Budget,"IBO Newsfax, 3 pages (PDF Format) ",05-Aug-03,Finance and Budget,"Inside the Budget, No. 118 Unintended Consequences: New Absentee Landlord Tax Will Hit Poorer Neighborhoods Hardest",Budget Report,http://nyc.gov/html/records/pdf/govpub/729insidethebudget118.pdf
"Inside the Budget, No. 120 Five Year, $3.7 Billion School Spending Rise: Where Did It Go?",Independent Budget,"IBO Newsfax, 3 pages (PDF Format)",30-Sep-03,Finance and Budget,"Inside the Budget, No. 120 Five Year, $3.7 Billion School Spending Rise: Where Did It Go?",Budget Report,http://nyc.gov/html/records/pdf/govpub/728insidethebudget120.pdf
September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 3,Management and Budget,September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 2,29-Sep-03,Finance and Budget,September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 3,Budget Report,http://nyc.gov/html/records/pdf/govpub/726ccp9_03c.pdf
September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 2,Management and Budget,September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 2,29-Sep-03,Finance and Budget,September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 2,Budget Report,http://nyc.gov/html/records/pdf/govpub/725ccp9_03b.pdf
September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 1,Management and Budget,September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 1,29-Sep-03,Finance and Budget,September 2003 Capital Commitment Plan - Fiscal Year 2004 - Volume 1,Budget Report,http://nyc.gov/html/records/pdf/govpub/724ccp9_03a.pdf
Stamping Out Hunger: Access to Food Stamp Applications in New York City,City Council,"On Sunday, September 21, 2003, Council Members Eric Gioia, Chair of the Committee on Oversight and Investigations, and Bill de Blasio, Chair of the General Welfare Committee, were joined by Public Advocate Betsey Gotbaum in releasing the results of a Coun",21-Sep-03,Business and Consumers,Stamping Out Hunger: Access to Food Stamp Applications in New York City,Report,http://nyc.gov/html/records/pdf/govpub/698foodstampappl.pdf
WAIVED AWAY: Lack of Access to HHC Prescription Fee Waivers,City Council,"On Sunday, September 14, 2003 the Council Investigation Division (CID) released a report to the Committee on Oversight and Investigations and the Committee on Health entitled ""Waived Away: Lack of Access to HHC Prescription Waivers"".  The report that foun",14-Sep-03,Health,WAIVED AWAY: Lack of Access to HHC Prescription Fee Waivers,Report,http://nyc.gov/html/records/pdf/govpub/668hhcfeewaivers.pdf
"Fiscal Year 2004 Adopted Budget - Community Boards Register, Staten Island",Management and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Staten Island",29-Aug-03,Finance and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Staten Island",Budget Report,http://nyc.gov/html/records/pdf/govpub/667cbrsi7_03.pdf
