Type of Business,Business Type Other,Company Name,Company Description,Street Address,Apt  Number,Borough,Postal Code,Business Phone,Contact Name,Contact Title,Contact Phone,Contact Fax,Location 1
Production Company,,BOND,"BOND is a dynamic full-service editorial and FX studio. Our editors, graphic designers and effects team have had many years of success creating award-winning work for Hispanic advertisers and broadcasters.",665 Broadway,12th Floor,Manhattan,10012,(212)533-9400,Jeff Beckerman,President/Creative Director,(212)533-9400,(212)533-0463,"665 Broadway
Manhattan, NY 10012
(40.72709323153663, -73.99536310518687)"
Production Company,,Caicedo Productions,"Caicedo Productions was founded by Veronica Caicedo in 1990. The company's mission continues to be that of providing creative and technical space for actors, writers and visual artists from inter-related genres (i.e. theater, film video and television). It seeks to have them shared and cooperatively develop their concepts in an environment that seeks to support and bring to the audiences their â€œminds eyeâ€ creations.",7304 5th Avenue,PMB 184,Brooklyn,11209,201-969-8599,Veronica Caicedo,Executive Director,201-969-8599,718-389-0864,"7304 5th Avenue
Brooklyn, NY 11209
(40.63095523788613, -74.02208662008653)"
Production Company,,"Chica Luna Productions, Inc.","Chica Luna Productions is a non-profit organization that seeks to develop and support women of color who use popular media to engage social justice themes and are accountable to their communities. Founded in September 2001 by three working artists who gathered to produce progressive multi-media projects, Chica Luna has since grown to include members in both New York and Los Angeles, and has established a track record of partnering with like-minded individuals and organizations toward promoting socially conscious media by, about and for people of color.",1690 Lexington Ave,2nd Floor,Manhattan,10029,(212) 410-3544,Karly Beaumont,Director Of Operations,212-410-3544,212-410-3545,"1690 Lexington Ave
Manhattan, NY 10029
(40.792386430939246, -73.94617576205434)"
PR / Communications / Marketing,,Cindy Byram PR,Music PR company with focus on crossover media coverage from Latin to non-Latin. Specializes in artists from Spain and Latin America releasing CDs and touring in North America,49 West 27th St,#930,Manhattan,10001,212-545-7536,Cindy Byram,Director,201-400-4104,212-889-2771,"49 27th St
Manhattan, NY 10001
(40.744879108350105, -73.98959499222492)"
Advertising,,Conill,"Our purpose is to transform our clients' brands, businesses and reputations within the rapidly expnading U.S. Latino market.",375 Hudson St.,8th Floor,Manhattan,10014,(212)463-2500,Cynthia McFarlane,EVP/Managing Director,(212)463-2500,(212)463-2509,"375 Hudson St
Manhattan, NY 10014
(40.7284341989157, -74.00716314953092)"
Advertising,,d exposito & partners llc,"Mission statement: To deliver work that: - Moves! Products, Services, Hearts, Minds - Delights! Breaks through, Entertains, Captivates, Connects - Sells! Builds Brands, Profitability, ROI.",875 Ave. of the Americas,25th Floor,Manhattan,10001,(646)747-8800,Daisy Exposito-Ulla,Partner,(646)747-8800,(212)273-0778,"875 Ave
Manhattan, NY 10001
(40.75025902143676, -73.99688630375988)"
Advertising,,"Directo Hispano, Inc.","We help our clients to plan and execute their Hispanic direct marketing campaigns. We have a flexible business model that lets us give them the lowest Agency or project fee out there. In other words, they will have access to the leading Hispanic direct marketers, with substansial savings for their company.",436 E. 58th St.,Suite 3D,Manhattan,10022,(212)935-9353,Humberto Freydell,Partner,(212)935-9353,,"436 58th St
Manhattan, NY 10022
(40.758603896653426, -73.961614941852)"
Magazine / Newspaper / Publishing,Newspaper,El Diario - La Prensa,"Established in 1913, El Diario - La Prensa is the oldest Spanish-language daily newspaper in America and the #1 read newspaper in New York.  It's also the longest running and one of the most reputable Hispanic media organizations in the United States.",345 Hudson Street,13th Floor,Manhattan,10014,212-807-4600,Jorge Ayala,General Sales Manager,212-807-4608,212-807-4746,"345 Hudson Street
Manhattan, NY 10014
(40.7274787554078, -74.00731308699234)"
Other,,"Emanon Entertainment, Inc.","Emanon Entertainment, Inc.is the product of an enterprising Latina, Rosalind Rodriguez. Emanon is a full service organization that fosters the continuous development of artist management, consulting and media divisions that cater to all aspects of the entertainment industry.  Early 2004 a catering division was created with new partner Chef Steve Paret their clients have been Nickelodeon, Convergence, model Heidi Klum, Comedy Central.",30-27 31 Street,Ste.4A,Queens,11102,718-204-8276,Rosalind Rodriguez / Steve Paret,President / CFO,718-204-8276,718-204-0668,"30 27 31 Street
Queens, NY 11102
(40.77152402451418, -73.92643545073543)"
Cable Network,,ESPN Deportes,"ESPN Deportes is ESPN new 24-hour, Spanish-language sports network serving the U.S. Hispanic sports fans. ESPN Deportes telecasts a wide variety of domestic and international sports programming, including Major League Baseball, the NBA, the NFL, UEFA Champions League, Wimbledon, the French Open, IRL Indy Car Series, and more. ESPN Deportes also showcases a selection of Spanish-language sports and information shows, including a its own production of SportsCenter. Since launching on January 7, ESPN Deportes has secured distribution agreements with six of the ten largest cable operators in the U.S., including Adelphia, Cablevision, Charter, Cox, Insight, Cable One, and with the National Cable Television Cooperative (NCTC).  ESPN Deportes affiliates serve many of the largest U.S. Hispanic markets including Los Angeles, New York, Miami-Ft. Lauderdale, Houston, Dallas-Ft. Worth, San Antonio, Phoenix, Denver, and San Diego.",77 West 66th Street,21st Floor,Manhattan,10023,212-456-7777,Felix Perez,Director of Sales,212-456-0268,212-456-0236,"77 66th Street
Manhattan, NY 10023
(40.77334420825488, -73.98086792892911)"
Advertising,,Euro RSCG Latino,We help engage Latino consumers with brands at every stage of acculturation through creative business ideas.,350 Hudson Street,,Manhattan,10014,(212)886-4100,Gustavo Razzetti,CEO,(212)886-4100,(212)886-4602,"350 Hudson Street
Manhattan, NY 10014
(40.727672322272475, -74.00720833106116)"
Music Company,,Fuerte Group,"Fuerte Group is a multi-cultural music promotion and lifestyle marketing company with specific expertise in the US Hispanic market. The company has three divisions: Fuerte Marketing, Fuerte Artist Management, and Fuerte Records.",73 Spring Street,# 406,Manhattan,11552,212-219-2525,Rich Isaacson ,Principal,212-219-2525,212-219-8915,"73 Spring Street
Manhattan, NY 11552
(40.6939334150951, -73.6515418060095)"
Television Network,,Galavision,"Mission statement: To provide a live, direct connection to the people, places and events that matter most to Hispanic America.",605 Third Ave.,12th Floor,Manhattan,10158,(212)455-5330,Joanne Lynch,SVP/General Manager,(212)455-5330,(212)953-0198,"605 Third Ave
Manhattan, NY 10158
(40.74906266831222, -73.97575490046646)"
Advertising,,GlobalHue ,"Mission statement: To provide ""Never the Expected"" marketing and advertising solutions to our client partners' business needs.",300 Park Avenue South,6th Floor,Manhattan,10010,(212)344-16111,Christopher Campos,"EVP, Director of Client Services",(212)344-16111,(917)344-1616,"300 Park Avenue
Manhattan, NY 10010
(40.73998827858055, -73.98666293815647)"
Advertising,,Hispanamerica,"We believe Hispanic consumers deserve excellent brand experiences at all points of their relationship with a company, from acquisition through retention and winback.  Our mission is to build and maintain those consumer relationships for our clients.",49 W. 37th St.,13th Floor,Manhattan,10018,(212)994-0202,Beatriz Mallory,CEO & Chief Strategist,(212)994-0202,(212)994-0203,"49 37th St
Manhattan, NY 10018
(40.75119329959356, -73.9851304167664)"
Advertising,,HispanicWorks,"At HispanicWorks, we see the brand, not the Hispanic consumer, as the outsider. Our mission is to build bridges into the Hispanic community for our Client brands in a way that drives preference and generates revenue.",220 5th Ave,11th Floor,Manhattan,10001,(212)252-8800,William Ortiz,President,(212)252-8800,(212)252-0002,"220 5th Ave
Manhattan, NY 10001
(40.74373257064336, -73.9880340051811)"
Cable Network,,HITN-TV,"Hispanic Information & Telecommunications Network TV began operations in 1987 as the first Hispanic public television network in the U.S.  Reaching an audience of 12.5 million, HITN-TV is the #1 distributed Spanish-language cable network in the U.S., and is the source for educational, enriching and empowering content (e3) for our nation's largest and fastest-growing minority group.",449 Broadway,3rd Fl,Manhattan,10013,212-966-5660,Jill Lewis,Director of Public Relations,212-966-5660,212-966-5725,"449 Broadway
Manhattan, NY 10013
(40.720431675374925, -74.0009984329605)"
Magazine / Newspaper / Publishing,,ImpreMedia,ImpreMedia is the #1 Spanish language newspaper and online news publisher in the United States. They provide marketers with effective multi-platform solutions in print and online to reach the rapidly growing and influential Latino market.,345 Hudson St.,13th Floor,Manhattan,10014,(212)807-4626,Erich Linker,SVP National Advertising,(212)807-4626,(212)807-4746,"345 Hudson St
Manhattan, NY 10014
(40.7274787554078, -74.00731308699234)"
PR / Communications / Marketing,"Events, Magazine, Internet",LatCom Communications,"LatCom Communications is a leading New Generation Latino media and entertainment company with properties that generate millions of targeted impressions including: iCaramba College Tour,  iCaramba Comedy Series, Latin Alternative Series, iCaramba U. Magazine, iCaramba.com,  LatinoGreeks.com, LatinosStep.com, and Lugar Heights TV Cartoon. All of our properties exclusively target the New Generation Latino making us one of only a handful of companies who specialize in this lucrative audience.",262 West 38th Street,# 1503,Manhattan,10018,212-967-8267,David Chitel,CEO,212-967-8267,212-792-5839,"262 38th Street
Manhattan, NY 10018
(40.75424087897249, -73.99057940560432)"
Other,,Latin American Video Archives,The Latin American Video Archives is a non-profit organization dedicated to the promotion and distribution of Latin American and U.S. Latino films and videos.,124 Washington Place,,Manhattan,10014,212-243-4804,N/A,N/A,212-243-4804,212-243-2007,"124 Washington Place
Manhattan, NY 10014
(40.73276138039665, -74.00142111431427)"
PR / Communications / Marketing,Consulting & Marketing,"Latin Force, LLC","Latin Force, LLC is a Hispanic market consulting firm. We provide the following services: Strategic Planning, Press and Publicity, Grassroots Marketing, Events and Promotions, and Web Development.",670 Broadway,2nd Floor,Manhattan,10012,212-813-6767,David Perez,CEO,212-813-6767,212-253-9799,"670 Broadway
Manhattan, NY 10012
(40.72736544822084, -73.995089887228)"
Magazine / Newspaper / Publishing,,Latina Media Ventures,"Our mission is to bring the U.S. Hispanic community the best, most empowering, engaging and culturally relevant content across a range of media platforms that include publishing, digital and live events. Through it all, we entertain and inspire Hispanic women with award-winning content that covers Latin culture, style, beauty, food, and music, and create products and services that have, at their core, the real Latina woman.",1500 Broadway,Suite 700,Manhattan,10036,(212)642-0200,Fabio Freyre,CEO,(212)642-0200,(917)770-0860,"1500 Broadway
Manhattan, NY 10036
(40.75687220400221, -73.98599774151177)"
Magazine / Newspaper / Publishing,Media Company/Publishing,"Latina Media Ventures, LLC","Publishers of LATINA Magazine, the leading lifestyle magazine for bicultural Hispanic women in the US today. Covering the best of Latino fashion, beauty and culture, LATINA also features celebrity profiles and interviews, as well as the real women inspiring change in their communities, their families, and their jobs. ",1500 Broadway,Suite 700,Manhattan,10036,212-642-0200,Charlotte Castillo,Marketing & Creative Services Director,212-642-0238,917-777-0860,"1500 Broadway
Manhattan, NY 10036
(40.75687220400221, -73.98599774151177)"
Production Company,,Latino Flavored Productions Inc.,Latino Flavored Productions Inc. produces English language theater/film/television projects flavored with the Latino experience.,648 Bay Street,#301,Staten Island,10314,(718) 720-7979,Linda Nieves-Powell,President/CEO,(718) 720-7979,(718) 720-7979,"648 Bay Street
Staten Island, NY 10314
(40.626249538888615, -74.07544200294559)"
Advertising,,Latinvox,We are a 100+ minority-owned Hispanic business and advertising communications agency helping clients communicate effectively with the U.S. Hispanic markets in a fully integrated fashion.,28 West 25th Street,6th Floor,Manhattan,10010,(212)633-0440,Roberto Ramos,President/CEO,(212)633-0440,(212)633-0434,"28 25th Street
Manhattan, NY 10010
(40.741935692384075, -73.98662225981803)"
Music Company,,Mariachi Real De Mexico,Mariachi Real De Mexico is considered to be the ambassador of mariachi music in New York. They are also founders of the Mariachi Academy of New York. The first and only mariachi educational program in New York.,84-19 112th Street,,Queens,11418,917-673-7101,Ramon Ponce,Director,917-673-7101,,"84 19 112th Street
Queens, NY 11418
(40.69637041236467, -73.84031024991805)"
Production Company,,Maximas Productions,"Maximas Productions is a boutique, fully functional production facility based in New York City, which combines the business acumen of Robert Rose, President with the creative talents of Renzo Devia, Creative Director and Supervising Producer. Maximas is an award winning production company that specializes in producing content for the young, U.S. born Latino market. The production company is best known for producing ""Urban Latino TV"", ""American Latino TV"", ""Sonidos"" and ""Latin Fuze.""",201 East 16th Street,5th Floor,Manhattan,10003,212-255-0595,Renzo Devia ,Supervising Producer,212-255-0595,212-255-9232,"201 16th Street
Manhattan, NY 10003
(40.734628220570805, -73.98615233249988)"
Other,,Medialink,"Medialink is a global leader in providing unique news and marketing media strategies and solutions that enable corporations and organizations to inform and educate their target audiences with maximum impact on television, radio, print and the Internet.",708 Third Avenue,,Manhattan,10017,(212)682-8300,Laurence Moskowitz,"Chairman, President & CEO",(212)682-8300,(212)682-5260,"708 Third Avenue
Manhattan, NY 10017
(40.75237006993255, -73.9733233627241)"
Other,,Mediamark Research Inc.,"MRI provides the sharpest picture possible of the American consumer: who they are, what they buy, how they think, and how they can be reached. As the nation's fastest growing minority community, MRI recognizes Hispanic consumers as a large and influential segment of the American consumer.",75 Ninth Ave,5th Floor,Manhattan,10011,(212)884-9200,Kathi Love,President/CEO,(212)884-9200,(212)884-9339,"75 Ninth Ave
Manhattan, NY 10011
(40.741880143007116, -74.00478864041595)"
Other,,Metro Newspaper Advertising Services,"Our mission is twofold: Demonstrate the effectiveness and efficieny of newspapers to advertisers, and bring our 70+ years of newpaper planning and execution to the Hispanic and other multicultural markets.",8 W. 38th Street,,Manhattan,10018,(212)689-8200,Phyllis Cavaliere,President/CEO,(212)689-8200,(212)532-1710,"8 38th Street
Manhattan, NY 10018
(40.75108854154199, -73.98303674630506)"
Internet,,MiGente.com,"Latino online community boasting 2.2 Million members. Latest U.S.-Latino-relevant news. Offers email, job searches and dating.",205 Hudson Street,6th Floor,Manhattan,10013,212-431-4477,Carlos VÃ¡zquez-Firpi,Editor,212-431-4477,212-505-5483,"205 Hudson Street
Manhattan, NY 10013
(40.72361642845634, -74.0079908260427)"
Magazine / Newspaper / Publishing,,MIRA!,"Mira! Features exclusive news, gossip and goings-on about the hottest movie, music and TV stars in the Latino community. With its emphasis on newsstand sales, Mira! Is the Spanish language celebrity title that's ""bought to be read"".",One Park Avenue,,Manhattan,10016,(212)743-6683,Michelle Cortes,Associate Publisher,(212)743-6683,(212)743-6627,"One Park Avenue
Manhattan, NY 10016
(40.745242969987146, -73.97823298586354)"
Advertising,,MosaicaMD,"Mission statement: To propel our clients' success ino America's growing multicultural marketplace in a way that's impactful, relevant and respectful.",20 Cooper Square,4th Floor,Manhattan,10003,(212)780-5900,Eddie Gonzalez,Chairman,(212)780-5900,(212)780-5959,"20 Cooper Square
Manhattan, NY 10003
(40.728016462282866, -73.99135996323734)"
Other,,MPG Diversity,"MPG Diversity aims to provide a full range of multicultural media services including media and market research, strategic planning, and a strong media buying operation. MPG Diversity's goal is to optimize its client's investments and to contribute to build up brand equity through effective multicultural media communication consulting.",195 Broadway,12th Floor,Manhattan,10007,(646)587-5000,Jorge Percovich,EVP/Managing Director,(646)587-5000,(646)587-5005,"195 Broadway
Manhattan, NY 10007
(40.7106020855947, -74.00929018207063)"
Other,,National Association of Latino Independent Producers,"National members organization of Latino/a film, television and documentary writers, directors, producers and craftspeople, educators, advocates and students.  eNewsletter LATINOS IN THE INDUSTRY, a national conference and other programs develop skills and relationships to increase employment and projects by and about Latinos.",32 Broadway,Fl. 14,Manhattan,10004,646-336-6664,Kathryn Galan,Executive Director,310-457-4445,310-589-9997,"32 Broadway
Manhattan, NY 10004
(40.70604252290616, -74.01308532103428)"
Advertising,,National Cable Communications,"NCC is the nation's premiere Spot Cable advertising firm. NCC is the only company who represents every U.S. market and reaches virtually every wired cable home. We harness the enormous impact of every MSO's new technologies, products and services on behalf of America's leading regional and national advertisers",405 Lexington Ave,6th Floor,Manhattan,10174,(212)548-3300,Greg Schaefer,President,(212)548-3300,(212)519-0099,"405 Lexington Ave
Manhattan, NY 10174
(40.75137600010237, -73.9758449998468)"
Television Network,,NBC4,WNBC is the flagship station of NBC/Universal serving the New York Metropolitan area.,30 Rockefeller Plaza,615E,Manhattan,10112,212-664-5247,Anna Carbonell,VP - Stations Relations,212-664-5247,212-790-4710,"30 Rockefeller Plaza
Manhattan, NY 10112
(40.759031999727085, -73.97837200036747)"
Production Company,,Newyoricanfilms,Newyoricanfilms develops and films its own independent projects.,77 Fulton Street,# 298,Manhattan,10038,212-393-9039,Ralph Nieves,Owner,917-589-4056,212-393-9047,"77 Fulton Street
Manhattan, NY 10038
(40.70913698193562, -74.00552828146262)"
Internet,,nocheLatina.com,"nocheLatina provides a destination for the affluent, bicultural trendsetting ""New Generation"" Latino who enjoys the nightlife arena and is looking for a guide to the latest Latino lifestyle events.",485 Madison Ave.,21st Fl.,Manhattan,10022,212-921-2100,Alex Frias,Managing Director,212-921-2100,212-921-2290,"485 Madison Ave
Manhattan, NY 10022
(40.75888668534782, -73.97479218902669)"
Other,,"Nouveau Media, Corp.","Coaching Shoots And Techniques is a program created for Models and Actors within a workshop environment. It was developed in order to create new ways of showing individuals within the entertainment industry the steps needed to enter this industry, the people to contact, the safety aspects behind - Personal Safety For Models and Actors, and the digital photography & digital video modeling and acting workshop. Coaching Shoots And Techniques were developed by Mike Racioppo retired NYC Employee, Cable TV program producer for the Fire Departments FDTV cable show, and safety video programs for the Board of Education, Bronx Crosswalks cable programming. Mike is also a Latino - American FilmMaker, currently judging Films for NY Festivals, and has in the past worked with Tribeca Film Festivals and the IFP Market. Mike has associated himself with the National Association of Latino Independent Producers, DiversitInc, Mas Ruido, latin style magazine, and Hispanic film, to name a few. Mike has been certified by the New Jersey Institute of Technology as a Webmaster, Graphic Artist, and Multimedia certifications.",233 Pelton Avenue,Suite 2,Staten Island,10310, 973-258-1781,Mike Racioppo,Director,973-258-1781,,"233 Pelton Avenue
Staten Island, NY 10310
(40.63734701650073, -74.11069012813226)"
Production Company,,Nuyorktricity,"Nuyorktricity (a.k.a. NY3) is a full service one-stop shop for all your video, graphic, and music productions.  Services include the production, direction, and editing of affordable live event coverage, promos, music videos, E.P.K.'s, television commercials, photography, feature films, and web design.",325 3rd Avenue,Suite 42,Manhattan,10010,212-213-9890,Michael Vargas,"CEO, Director of Production",917-496-4813,212-213-9890,"325 3rd Avenue
Manhattan, NY 10010
(40.73973112612373, -73.98249038559749)"
Internet,,NYMosaico,"Online guide to Latin American and Latino culture in NYC.  Site is made up of event listings, articles, interviews, forum, photo galleries, and more!  ARTE . CULTURA . MUSICA . CINE . COMER Y BEBER ",236 Devoe St.,#2,Brooklyn,11211,646-265-5241,Claire Frisbie,Editor-in-Chief,646-265-5241,718-387-3560,"236 Devoe St
Brooklyn, NY 11211
(40.713953656867254, -73.9413489301016)"
Advertising,,OLE,"Our philosophy is in our name.  For Hispanics ""ole!"" is an expression that celebrates creativity, enthusiasm and things well done.  That is OLE's promise: clients should asy ""ole!"" after seeing our work and what is does for their business.",41-51 E. 11th St.,11th Floor,Manhattan,10003,(212)465-3222,Javier Escobedo,Managing Partner,(212)465-3222,(212)937-3652,"41 51 E 11th St
Manhattan, NY 10003
(40.73194394755518, -73.98887214913032)"
Magazine / Newspaper / Publishing,,People en Español,"With unparalleled access and powerful, exclusive coverage of cultural icons, trends and community, People en Espanol celebrates the pride and passion of Hispanic culture.",1271 Ave. of the Americas,35th Floor,Manhattan,10020,(212) 522-1212,Peter Castro,Publisher,(212) 522-1212,(212)467-4845,"1271 Ave
Manhattan, NY 10020
(40.7594985131459, -73.98007439721562)"
PR / Communications / Marketing,Marketing & Media ,Planet Sur ,"Planet Sur is a lifestyle marketing and media company that develops innovative in-culture brand strategies through original content that engages; culture that inspires; events that entertain; marketing campaigns that call to action. Our mission is to become the go-to resource for marketers who wish to connect with cultural creative, professionals and urban influentials pushing the edge of Latin-American art, culture, music, fashion, film, media and entertainment. ",210 East 15th Street,6H,Manhattan,10003,212-533-9544,Shari Grossman,Founder & CEO,212-533-9544,212-375-1513,"210 15th Street
Manhattan, NY 10003
(40.73377042389632, -73.98627328008709)"
Production Company,,Red Creek Productions,"Red Creek Productions is a film, TV spots, live events, theater and television production company. It has its headquarters in New York City and offices in Buenos Aires, Argentina and San Jose, Costa Rica. It has produced over 100 television commercials for the likes of Nintendo, Procter & Gamble and Beck's, and it's currently completing its first two feature films.",184 Kent Avenue,Suite 305,Brooklyn,11211,718-486-8928,Nicolas Entel,Producer/Director,718-486-8928,718-486-8928,"184 Kent Avenue
Brooklyn, NY 11211
(40.71852885343062, -73.96368609078408)"
Advertising,,REVOLUCION,Mission statement: INSPIRE CHANGE.,22 West 23rd Street,3rd Floor,Manhattan,10010,(212)229-0700,Alberto Rodriguez,Chief Creative Officer,(212)229-0700,(212)229-0770,"22 23rd Street
Manhattan, NY 10010
(40.74082997678864, -73.98794786577571)"
Advertising,,Reynardus & Moya Advertising,We are committed to creating measurable value for our clients in every service we offer; a great work environment where our people can thrive; relevant advertising that touches the heart and talks to the intellect; above all we are committed to our clients' success.,817 Broadway,2nd Floor,Manhattan,10003,(212)204-8340,Jorge E. Reynardus,Principal,(212)204-8340,(212)979-9357,"817 Broadway
Manhattan, NY 10003
(40.73318406175042, -73.99113287029905)"
Production Company,,rhinoedit,"rhinoedit and rhinofx are committed to providing the advertising, broadcast television and feature film industries with the best in post-production services. What began as a creative editorial company has expanded into one of the largest boutiques in the industry.",50 E. 42nd St.,3rd Floor,Manhattan,10017,(212)986-1577,David Binstock,CEO,(212)986-1577,(212)972-0702,"50 42nd St
Manhattan, NY 10017
(40.752621047366034, -73.97889260067437)"
Production Company,,RiverFish Productions Inc.,"RiverFish Productions Inc., is a New York City based multi-media company.  We specialize in television programming targeting the US Hispanic market in English.",30 West 61 Street,,Manhattan,10023,212-489-9781,Isabel Rivera,President,212-489-9781,212-489-9781,"30 61 Street
Manhattan, NY 10023
(40.76991996203977, -73.98263895888438)"
PR / Communications / Marketing,Hispanic Public Relations,RL Public Relations & Marketing,"Young, vibrant and creative, RL Public Relations  Marketing is a bi-coastal full-service agency dedicated to developing and executing breakthrough public relations and marketing communications programs for the Latino market both in the U.S. and Latin America. Founded in 1996, RLPR is the brainchild of Argentina-born Roxana Lissa, a marketing professional and visionary who at age 25 recognized and responded to an untapped opportunity to connect clients with this growing, diverse and rich population.",27 West 20th Street,# 307,Manhattan,10011,212-206-8668,Melissa Karp,Senior Vice President,212-206-8668,212-206-8778,"27 20th Street
Manhattan, NY 10011
(40.74009603043664, -73.99183500725866)"
Advertising,,Schramm Sports & Entertainment,"Schramm Sports & Entertainment is committed to serving the diverse, new American family, by marketing a variety of sports & entertainment properties that are of particular interest and appeal to America's many different sports fans and audience segments. Schramm promotes each property to is particular fan or audience segment with respect for each culture and with special attention to the interests that make each audience group unique.",363 Seventh Ave.,22nd Floor,Manhattan,10001,(212)983-0219,Joseph Schramm  ,President,(212)983-0219,(212)983-0524,"363 Seventh Ave
Manhattan, NY 10001
(40.74860743455292, -73.99237393469951)"
