PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Family Support,Seniors,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,Seniors,"3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749723825, -74.00249064003097)"
Family Support,Seniors,Caledonian Health Campus Center Brooklyn Hospital,Brooklyn,"Diaspora Community Services, Inc",718.399.0200,Seniors,"100 Parkside Avenue
Brooklyn, NEW YORK 11226
(40.65318029394583, -73.9661250479036)"
Family Support,Seniors,"Homecrest Community Services, Inc",Brooklyn,"Homecrest Community Services, Inc",718.376.4036,Seniors,"1413 Avenue
Brooklyn, NEW YORK 11229
(40.60123350732056, -73.94436854117521)"
Family Support,Seniors,Project Care Volunteer Services for the Elderly & Homebound ,Brooklyn,Council of Jewish Organizations of Flatbush,718.377.2900,Seniors,"1658 Coney Island
Brooklyn, NEW YORK 11230
(40.62192951023877, -73.96551106018723)"
Family Support,Seniors,Webster Terrace,Brooklyn,Agudath Israel of America / SBCO,718.435.1300,Seniors,"680 Ocean Parkway
Brooklyn, NEW YORK 11230
(40.63173065136666, -73.97221160532617)"
Family Support,Older Adult Program,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,Seniors,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
Family Support,Older Adult Program,Plaza Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"297 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.697076322390316, -73.91928647007668)"
Family Support,Older Adult Program,Berkshire Farm Center and Services for Youth,Brooklyn,Berkshire Farm Center and Services for Youth,518.781.4567,Seniors,"732 Dean Street
Brooklyn, NEW YORK 11238
(40.67975348048512, -73.9659835792308)"
Family Support,Older Adult Program,AAFE Queens,Queens,Asian Americans for Equality,212.680.1374,Seniors,"133 04 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Older Adult Program,Jackson Heights Senior Center,Queens,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"75 01
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
Family Support,Older Adult Program,International Tower for Seniors,Jamaica,Conscientious Musical Revues,800.624.8474,Seniors,"90 20 170th Street
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
Family Support,Older Adult Program,"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",Queens,"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",718.723.1119,Seniors,"117 08 Merrick Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
