Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
Amigos del Museo del Barrio,1230 Fifth Avenue,New York,NY,10029,(212) 831-7272,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"An Claidheamh Soluis, Inc.",553 West 51st Street,New York,NY,10019,(212) 757-3318 x205,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Angel Orensanz Foundation, Inc",172 Norfolk Street,New York,NY,10002,(212) 529-7194,,,,Manhattan
"Annabella Gonzalez Dance Theater, Inc.","4 East 89th Street, #PH-C",New York,NY,10128,(212) 722-4128,Dance,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Anne Frank Center USA, Inc.",44 Park Place / 100 Church Street,New York,NY,10007,(212) 431-7993 x301,Humanities,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Ansonia Music Outreach Organization, Inc.",330 Wadsworth Avenue 2G,New York,NY,10040,(212) 567-3554,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Anthology Film Archives, Inc.",32 Second Avenue,New York,NY,10003,(212) 505-5181 x11,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Anthropologists, Inc.",100 Cabrini Blvd. #24,New York,NY,10033,(917) 557-3517,Theater,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
Anthropology Museum of the People of New York,64-19 Kissena Boulevard,Flushing,NY,11367,(718) 428-5650,Museum,Queens Council District #24,Queens Community Board #8,Queens
"Anti-Social Music, Inc.",213 27th Street,Brooklyn,NY,11232,(646) 489-8791,Music,Brooklyn Council District #33,Brooklyn Community Board #8,Brooklyn
Anyone Corporation,41 West 25th Street,New York,NY,10010,(212) 645-1400,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Aperture Foundation, Inc.","547 West 27th Street, 4th Floor",New York,NY,10001,(212) 946-7117,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
ApexArt Curatorial Program,291 Church Street,New York,NY,10013,(212) 431-5270,Visual Arts,Manhattan Council District #1,Manhattan Community Board #10,Manhattan
"Apollo Theater Foundation, Inc.",253 West 125th Street,New York,NY,10027,(212) 531-5332,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Appleby Foundation, Inc.","579 Broadway, 4B, Apt. 4B",New York,NY,10012,(212) 431-8489,Dance,Manhattan Council District #2,Manhattan Community Board #1,Manhattan
"Aquila Theatre Company, Inc.","4 Washington Square North, Room 452",New York,NY,10003,(212) 992-9642,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Arab American Association of NY, Inc.",7111 5th Avenue,Brooklyn,NY,11209,(718) 745-3523,"Multi-Discipline, Performing",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"Archipelago Books, Inc.","232 Third Street, Room A111",Brooklyn,NY,11215,(718) 852-6134,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
Architectural League of New York,"594 Broadway, Suite 607",New York,NY,10012,(212) 753-1722,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Arcos Orchestra, Ltd.",17 E 96th St 14B,New York,NY,10128,(772) 766-2851,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Arete Living Arts Foundation,64 Dupont St 2L,Brooklyn,NY,11222,(718) 349-1681,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
Argento New Music Project,PO Box 824,New York,NY,10024-0540,(212) 665-4444,Music,Manhattan Council District #9,Manhattan Community Board #9,Manhattan
Armitage Foundation Ltd.,"139 Fulton Street, #317",New York,NY,10038,(212) 431-4314,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Around the Block, Inc.","5 East 22nd Street, Suite 9K",New York,NY,10010,(212) 673-9187,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Ars Nova Theater I, Inc",511 West 54th Street,New York,NY,10019,(212) 489-9800 x139,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #4,Manhattan
Art Connects New York,PO Box 320460,Brooklyn,NY,11232,(646) 546-5334,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Art Directors Club, Inc.",106 West 29th Street,New York,NY,10001,(212) 643-1440,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Art Education for the Blind,589 Broadway,New York,NY,10012,(212) 334-8720,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Art For Progress,"133 Mulberry Street, #4W1",New York,NY,10013,(212) 475-4185,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Art Lab, Inc.",1000 Richmond Terrace,Staten Island,NY,10301,(718) 447-8667,Visual Arts,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
Art Loisaida Foundation,608 E.9th St.,New York,NY,10009,(212) 674-4057,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Art Omi Inc.,"55 Fifth Avenue, 15th Floor",New York,NY,10003,(212) 206-5660,"Multi-Discipline, Performing",Manhattan Council District #2,Brooklyn Community Board #3,Manhattan
"Art Radio International, Inc.",108 Leonard Street,New York,NY,10013,(212) 233-1096,New Media,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Art Resources for Teachers and Students, Inc.",134 Henry Street,New York,NY,10002,(212) 962-8231,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Art Students League of New York,215 West 57th Street,New York,NY,10019,(212) 247-4510 x108,Visual Arts,Manhattan Council District #7,Manhattan Community Board #5,Manhattan
"Art Sweats, Inc.","140 Second Avenue, Apt. 503",New York,NY,10003,(212) 677-2503,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Art for Change, Inc.",1699 Lexington Avenue,New York,NY,10029,(212) 348-7044,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Art in General, Inc.",79 Walker Street,New York,NY,10013,(212) 219-0473 x36,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Art of the Early Keyboard, Inc.","170 West 73rd Street, Apt. 3C",New York,NY,10023,(212) 967-9157,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Art's House Schools, Inc.",1001-1003 Surf Avenue,Brooklyn,NY,11224,(718) 996-2000,Dance,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Art21, Inc.","286 Spring Street, Ste. 405",New York,NY,10013,(212) 741-7133,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"ArtCouncil, Inc.","210 Eleventh Avenue, Ste. 503",New York,NY,10001,(212) 727-2233 x207,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"ArtCrawl Harlem, Inc.",363 Malcolm X Blvd,New York,NY,10027,(212) 866-7427,Visual Arts,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"ArteEast, Inc.","1178 Broadway, 3rd Floor",New York,NY,10001,(718) 282-5938,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Arthur Aviles Typical Theatre, Inc.",P.O. Box 740082,New York,NY,10474,(718) 842-5223,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx
"Artichoke Dance Company, Inc.",121 Sterling Place,Brooklyn,NY,11217,(917) 627-8770,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
Artist Exchange International on Broadway,"107 Suffolk Street, #35",New York,NY,10002,(212) 226-5169,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Artist's Theatre Repertory Ensemble, Inc.",6776 Booth St,Forest Hills,NY,11375,(718) 683-2225,Theater,Queens Council District #29,Queens Community Board #6,Queens
"Artistic Noise, Inc.",315 Flatbush Ave #507,Brooklyn,NY,11217,(718) 496-8873,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Bronx
"Artists Alliance, Inc.","107 Suffolk Street, Room 411",New York,NY,10002,(212) 420-9202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Artists Space,"38 Greene Street, 3rd Floor",New York,NY,10013,(212) 226-3970 x307,Visual Arts,Manhattan Council District #8,Manhattan Community Board #1,Manhattan
"Artists Unite, Inc.",730 W. 183rd Street #3D,New York,NY,10033,(917) 312-6691,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Artists in Residence, Inc.","111 Front Street, Apt. 228",Brooklyn,NY,11201,(212) 255-6651,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Arts & Business Council, Inc.","1 East 53rd Street, 3rd Floor",New York,NY,10022,(212) 279-5910 x1119,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Arts Connection, Inc.","520 Eighth Avenue, Suite 321",New York,NY,10018,(212) 302-7433 x468,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Arts Engine, Inc.",145 West 24th Street,New York,NY,10011,(646) 230-6368 x214,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Arts Resources in Collaboration, Inc.",70 East 10th Street,New York,NY,10003,(212) 206-6492,Dance,Manhattan Council District #6,Manhattan Community Board #3,Manhattan
"Arts for Art, Inc.","107 Suffolk Street, #3.5",New York,NY,10002,(212) 254-5420,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Artsgenesis, Inc.","154 Christopher Street, Suite 2A",New York,NY,10014,(212) 741-1414 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Ascension Music Chorus and Orchestra, Inc.",12 West 11th Street,New York,NY,10011,(212) 358-1469,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Asia Society,725 Park Avenue,New York,NY,10021,(212) 327-9218,Museum,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
"Asian American Activity Center, Inc.","396 Broadway, Suite 205",New York,NY,10013,(212) 431-0368,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Asian American Arts Alliance,"20 Jay Street, Suite 740",Brooklyn,NY,11201,(212) 941-9208 x1,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Asian American Arts Centre, Inc.","26 Bowery, 3rd Floor",New York,NY,10013,(212) 233-2154,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
Asian American Coalition for Education,202-39 Rocky Hill Road,Bayside,NY,11361,(718) 229-1368,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #11,Queens
"Asian American Women Artists Alliance, Inc.",136 15th Street,Brooklyn,NY,11215,(718) 788-6170,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
Asian American Writers' Workshop,110-112 West 27th Street,New York,NY,10001,(212) 494-0061,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Asian CineVision, Inc.","133 West 19th Street, Suite 300",New York,NY,10011,(212) 989-1422,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Asian Cultural Council, Inc.",6 West 48th Street,New York,NY,10036,(212) 843-0367,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Association for Development of Dramatic Arts, Inc.","301 East 57th St., 3rd Fl.",New York,NY,10022,(212) 583-2706 x15,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Association of Hispanic Arts, Inc.",1702 Lexington Avenue,New York,NY,10029,(212) 876-1242,Other,Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Astoria Big Band,"161 Sixth Avenue, 14th floor",New York,NY,10013,(212) 691-6969 x13,Music,,Manhattan Community Board #1,Manhattan
"Astoria Music Society, Inc.",38-11 Ditmars Blvd.,Astoria,NY,11105,(718) 721-8311,Music,Queens Council District #22,Queens Community Board #1,Queens
Astoria Performing Arts Center,Kaufman Astoria Studios,Astoria,NY,11106,(917) 566-0969,Theater,Queens Council District #22,Queens Community Board #1,Queens
"At Hand Theatre Company, Inc.",214 West 122nd Street #2,New York,NY,10027,(646) 334-8352,Theater,Queens Council District #26,Queens Community Board #2,Queens
Atlantic Avenue Local Development Corporation,494 Atlantic Avenue,Brooklyn,NY,11217,(212) 710-0010,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Atlantic Theater Company,"76 Ninth Avenue, Ste. 537",New York,NY,10011,(212) 691-5919,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Audience Development Committee, Inc.",P.O. Box 30,New York,NY,10027,(212) 368-6906,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
