DESIGNER,INFO,LOCATION,SKETCH BY DESIGNER
Donald Brooks,"Donald Brooks was one of the most important sportswear designers in the mid-twentieth century. He began his fashion career in the 1950s before launching his line in 1965. His designs, which featured uncluttered silhouettes, bold colors, and large graphic patterns, garnered accolades and a Coty Award. Later, Brooks became a costumer for both film and stage; he won an Emmy award, and was nominated for a Tony and an Oscar.",535 7th Avenue,FC_Walk_of_Fame_plaque_12.jpg
Rudi Gernreich,"Bold, original, and controversial, Gernreich was America’s first fashion futurist, a social commentator who worked in the medium of clothes. Best known for his body-baring creations such as the no-bra bra and the topless bathing suit, he also designed colorful knits and mini-dresses with clear plastic insertions. His love of modern dance and his eternal youthfulness were themes that animated his designs.",535 7th Avenue,FC_Walk_of_Fame_plaque_13.jpg
Halston,"The ‘70s belonged to Halston. Though he began his career as a milliner, his shift to ready-to-wear clothing made him a superstar. He was America’s first minimalist designer. By combining clean lines and classic fabrics, Halston designed clothing that was seasonless, made for travel and looked elegant night or day. It is no surprise that many members of the burgeoning “jet set” became his most celebrated clients.",525 7th Avenue,FC_Walk_of_Fame_plaque_14.jpg
Claire McCardell,"One of the most important designers of the 20th Century, Claire McCardell  helped create the “American Look.” McCardell pioneered the American style of casual sportswear. Inspired by activewear and menswear, she made practical, comfortable and wearable clothes. She was dedicated to the democratization of fashion. As she once said, “I belong to a mass production country where any of us, all of us, deserve the right to good fashion.”",525 7th Avenue,FC_Walk_of_Fame_plaque_15.jpg
Normal Norell,"Norman Norell demonstrated that clothes designed on Seventh Avenue could rival the most elegant creations from Paris. Norell was sometimes called “the American Balenciaga” because of the perfection of his tailoring. He also used the finest fabrics in the world and made sure that every detail, from buttonhole to hemline, was beautifully finished.  This superb workmanship was all the more remarkable since he made ready-to-wear, not couture. His sequined mermaid dress epitomized glamour.",525 7th Avenue,FC_Walk_of_Fame_plaque_16.jpg
Perry Eillis,"One of the most popular designers of the 1980s, Perry Ellis brought a new look to American sportswear. His clothes were relaxed, unpretentious and fresh. “I don’t make fashion,” Ellis insisted, “I make clothes.” By experimenting with proportion, juxtaposing the oversized and the shrunken, he made traditional ideas modern and witty. He also pioneered the revival of hand-knit sweaters.",515 7th Avenue,FC_Walk_of_Fame_plaque_17.jpg
Willi Smith,"Willi Smith was inspired, he said, not by Paris, but by Sunday church in Harlem. His WilliWear line, founded in 1976, was characterized by loose silhouettes in brightly colored fabrics. Exuberant and witty, his clothes were sophisticated, yet inexpensive. Signature garments, such as violet linen blazers and loose cotton separates, appealed to both men and women. His “street couture” had a significant impact on fashion in the 1980s.",515 7th Avenue,FC_Walk_of_Fame_plaque_18.jpg
Lily Dache,"Lilly Dache was one of the world’s most successful milliners. Working in New York, she utilized techniques learned in her native France. Her hats were characterized by bold, sculptural shapes, which required complex blocking. Many were also decorated with seductive veils and trimmings. Most famous during the 1930s and 1940s when a chic hat was at leats as important as a stylish dress, Dache was a milliner extraordinaire.",501 7th Avenue,FC_Walk_of_Fame_plaque_19.jpg
Mainbocher,"Mainbocher was known for the understated elegance of his couture clothing. Among his innovations were his short evening dresses, jeweled sweaters, and a revival of the corset that anticipated Dior’s New Look. Most famous for designing the Duchess of Windsor’s trousseau in 1937, he also designed uniforms for the WAVES, the Red Cross, and the Girl Scouts.",501 7th Avenue,FC_Walk_of_Fame_plaque_20.jpg
Bonnie Cashin,"Following a career in costume design, Cashin launched her fashion business in the 1950s. Calling her clothing “kinetic art forms for living,” she adapted simple cuts from the history of world clothing to meet the needs of modern women.  She advocated playful but subtle exoticism and introduced layered, interlocking garments that could be rearranged to suit the wearer’s taste and activity. Fusing practicality and whimsy, Cashin’s distinctive style and philosophy celebrated independence.",499 7th Avenue,FC_Walk_of_Fame_plaque_21.jpg
Giorgio Si' Sant'Angelo,"Di Sant’Angelo emplified the individual designer. He rose to prominence during the late 1960s when exuberant youth styles dominated. Inspired by non-western dress and hippy anti-fashion, di Sant’Angelo’s clothes were and eclectic mix of vibrant fabrics, rich ornamentation and ease of cut. Freeing the body was a prime focus. Leotards, bandeaux and tube dresses made of stretch fabrics covered with layers of filmy chiffon became his leitmotif.",499 7th Avenue,FC_Walk_of_Fame_plaque_22.jpg
Charles James,"This Anglo-American couturier is widely regarded as one of the greatest fashion designers in history. Having begun his career as a milliner in the 1920s, James later incorporated the sculptural techniques of hat making into his dress designs. His juxtaposition of opulent fabrics and unparalleled color combinations was enhanced by his inimitable and complex constructions. James’ engineered garments came as close to works of art as anything ever made in the realm of fashion.",485 7th Avenue,FC_Walk_of_Fame_plaque_23.jpg
Anne Klein,"The work of Anne Klein epitomized the ease and comfort associated with Post War American sportswear. She was instrumental in the development and popularization of coordinated separates for both day and evening. These separates, such as body suits and zippered skirts, have become classic staples of the modern wardrobe.  Klein’s company was also a training ground for others who would become leading designers.",485 7th Avenue,FC_Walk_of_Fame_plaque_24.jpg
Oscar De La Renta,"Born in the Dominican Republic,  de la Renta came to New York in the 1960s and soon became known for the charm of his designs. His work balances the seemingly disparate qualities of sexiness and elegance. He deftly combines body fitting silhouettes and the exposure of just enough skin, with multi-colored tiers of ruffles and embroideries that ornament blouses and full skirts. His vivacious fashions blend the best of Latin elegance and American ease.",469 7th Avenue,FC_Walk_of_Fame_plaque_25.jpg
James Galanos,"Galanos rose to prominence in the 1950s. The couture quality of his designs is conspicuous, although his clothes were meant to be sold “off the rack.” Disdaining mass production, Galanos the finest tailoring and draping techniques and used the finest materials.  He consistently earned kudos for his reworking of proportion and scale, making his otherwise classic style unique.  Galanos’ most memorable pieces were ornamented with his virtuoso sewing and beaded elements.",469 7th Avenue,FC_Walk_of_Fame_plaque_26.jpg
Donna Karan,"Successful and independent-minded women are Karan’s inspiration. She is credited with providing comfortable, practical and decidedly elegant clothes for the burgeoning professional woman who came to prominence in the 1980s. Using rich fabrics and her concept of “seven easy pieces,” Karan broke the trend of the masculine corporate uniform. Her ensembles strike a perfect balance of serious professionalism and sensual individualism.",463 7th Avenue,FC_Walk_of_Fame_plaque_27.jpg
Pauline Trigere,"The daughter of European-trained tailors, Trigere brought the mastery of traditional craftsmanship to dramatic and clean-lined designs. From her first independent collection in 1942, she has been known for expert draping techniques and imaginative tailoring, in which garments were cut directly on live models. Trigere pioneered new looks in jumpsuits, dresses, timeless suits and her  signature double-faced coats.",463 7th Avenue,FC_Walk_of_Fame_plaque_28.jpg
