TITLE,DESCR,SFFX,SFX DESCR,STD HRS,ASG LVL,JOBCODE,UNION CD,UNION DESCR,BARG UNIT,BARG DESCR,MIN RATE,MAX RATE
70265,CAPTAIN (POLICE SERVICE)(REC N,4,CAPTAIN (POLICE SERICE)(NON-REC N/S)(=> 5YRS),40,0,5781,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$110556.00,$140945.00
70265,CAPTAIN (POLICE SERVICE)(REC N,5,CAPTAIN (POLICE SERVICE)(10 HOURS)(REC N/S)(=> 5YRS),40,0,5782,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$110556.00,$140945.00
7026D,CAPTAIN D/A DEPUTY INSPECTOR (,0,CAPTAIN D/A DEPUTY INSPECTOR (REC N/S),40,0,5792,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$123485.00,$148365.00
7026D,CAPTAIN D/A DEPUTY INSPECTOR (,2,CAPTAIN D/A DEPUTY INSPECTOR (NON-RECUR N/S),40,0,5793,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$123485.00,$148365.00
7026F,CAPTAIN D/A DEPUTY CHIEF INSPE,0,CAPTAIN D/A DEPUTY CHIEF INSPECTOR (REC N/S),40,0,5800,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$136592.00,$164560.00
7026F,CAPTAIN D/A DEPUTY CHIEF INSPE,2,CAPTAIN D/A DEPUTY CHIEF INSPECTOR (NON-RECUR N/S),40,0,5801,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$136592.00,$164560.00
7027A,SURGEON DETAILED AS DEPUTY CHI,0,SURGEON DETAILED AS DEPUTY CHIEF SURGEON,40,0,5821,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$118323.00,$133525.00
7027B,CHIEF SURGEON,0,CHIEF SURGEON,40,0,5822,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$130905.00,$146085.00
53051,POLICE SURGEON,0,POLICE SURGEON,40,0,5284,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$104005.00,$122593.00
7026E,CAPTAIN D/A INSPECTOR (REC N/S,0,CAPTAIN D/A INSPECTOR (REC N/S),40,0,5796,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$129845.00,$156223.00
7026E,CAPTAIN D/A INSPECTOR (REC N/S,2,CAPTAIN D/A INSPECTOR (NON-RECUR N/S),40,0,5797,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$129845.00,$156223.00
70270,*SURGEON,0,*SURGEON,40,0,5820,17,CAPTAINS ENDOWMENT ASSOCIATION,CEA,Captains Endowment Association,$104005.00,$122593.00
SUPLS,PRINCIPAL PER SESSION,0,PRINCIPAL PER SESSION,35,0,8451,400,CSA,CSA,Council of School Supvs&Admins,$38.00,$38.00
E2211,"PRINCIPAL, IS/JHS",0,"PRINCIPAL, IS/JHS",35,0,7850,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E2770,EDUCATION ADMINISTRATOR-LWOP,0,EDUCATION ADMINISTRATOR-LWOP,35,0,7953,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E9769,SPECIAL ASSISTANT TO THE EXECU,0,SPECIAL ASSISTANT TO THE EXECUTIVE DIRECTOR,35,0,8359,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0311,PRINCIPAL DAY HIGH SCHOOL,0,PRINCIPAL DAY HIGH SCHOOL,35,0,7611,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0315,ASSISTANT PRINCIPAL SPECIAL ED,0,ASSISTANT PRINCIPAL SPECIAL ED,35,0,7613,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0316,ASSISTANT PRINCIPAL (ADMINIS),0,ASSISTANT PRINCIPAL (ADMINIS),35,0,7614,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0317,ASSISTANT PRINCIPAL (SUPERV),0,ASSISTANT PRINCIPAL (SUPERV),35,0,7615,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0111,PRINCIPAL ELEMENTARY SCHOOL,0,PRINCIPAL ELEMENTARY SCHOOL,35,0,7560,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0211,PRINCIPAL IS/JHS,0,PRINCIPAL IS/JHS,35,0,7587,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0214,ASSITANT PRINCIPAL (ADMINISTRA,0,ASSITANT PRINCIPAL (ADMINISTRATION),35,0,7588,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
SUSUS,SUPERVISOR PER SESSION,0,SUPERVISOR PER SESSION,35,0,8456,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0524,"ASSISTANT PRINCIPAL, SMED SCHO",0,"ASSISTANT PRINCIPAL, SMED SCHOOL",35,0,7670,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0608,"PRINCIPAL, ASG, JHS",0,"PRINCIPAL, ASG, JHS",35,0,7709,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0610,PRINCIPAL ASSIGNED TO DISTRICT,0,PRINCIPAL ASSIGNED TO DISTRICT HEADQUARTERS,35,0,7711,400,CSA,CSA,Council of School Supvs&Admins,$87379.00,$98298.00
E0628,SUPERVISOR,0,SUPERVISOR,35,0,7719,400,CSA,CSA,Council of School Supvs&Admins,$71808.00,$88051.00
E0791,DIVISIONAL SUPERVISING ATT OFF,0,DIVISIONAL SUPERVISING ATT OFF,35,0,7791,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0799,ASSISTANT COORDINATOR OF ADULT,0,ASSISTANT COORDINATOR OF ADULT EDUCATION,35,0,7795,400,CSA,CSA,Council of School Supvs&Admins,$39769.00,$41233.00
E0920,COORDINATOR,0,COORDINATOR,35,0,7803,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0921,ASSISTANT COORDINATOR,0,ASSISTANT COORDINATOR,35,0,7804,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E1142,"TEACHER, REGULAR GRADES",0,"TEACHER, REGULAR GRADES",35,0,7812,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0415,ASSISTANT PRINCIPAL SPECIAL ED,0,ASSISTANT PRINCIPAL SPECIAL ED,35,0,7642,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0501,PRINCIPAL - SCHOOL FOR DEAF,0,PRINCIPAL - SCHOOL FOR DEAF,35,0,7660,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0502,ASSISTANT PRINCIPAL SCHOOL-DEA,0,ASSISTANT PRINCIPAL SCHOOL-DEAF,35,0,7661,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0521,PRINCIPAL SMED SCHOOL,0,PRINCIPAL SMED SCHOOL,35,0,7668,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0715,DIRECTOR OF MEDIA AND TELECOMM,0,DIRECTOR OF MEDIA AND TELECOMMUNICATIONS,35,0,7739,400,CSA,CSA,Council of School Supvs&Admins,$98595.00,$105419.00
E0716,DIRECTOR,0,DIRECTOR,35,0,7740,400,CSA,CSA,Council of School Supvs&Admins,$77228.00,$151181.00
E0720,ASSISTANT  DIRECTOR,0,ASSISTANT  DIRECTOR,35,0,7742,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0722,SUPERVISOR (SUBJECT AREAS),0,SUPERVISOR (SUBJECT AREAS),35,0,7743,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0724,ASSISTANT ADMINSTR DIRECTOR,0,ASSISTANT ADMINSTR DIRECTOR,35,0,7745,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0734,ASSISTANT ADMINISTRATIVE DIREC,0,ASSISTANT ADMINISTRATIVE DIRECTOR,35,0,7749,400,CSA,CSA,Council of School Supvs&Admins,$76156.00,$90495.00
E0736,ASSISTANT DIRECTOR,0,ASSISTANT DIRECTOR,35,0,7751,400,CSA,CSA,Council of School Supvs&Admins,$76156.00,$89650.00
E0743,CHIEF ATTENDANCE OFFICER,0,CHIEF ATTENDANCE OFFICER,35,0,7754,400,CSA,CSA,Council of School Supvs&Admins,$38574.00,$38574.00
E0749,SUPERVISING SCHOOL SOCIAL WORK,0,SUPERVISING SCHOOL SOCIAL WORKER,35,0,7757,400,CSA,CSA,Council of School Supvs&Admins,$43701.00,$43701.00
E0760,SCHOOL PSYCHIATRIST-PART TIME,0,SCHOOL PSYCHIATRIST-PART TIME,35,0,7764,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0761,SUPERVISOR SCH PSYCHOLOGISTS,0,SUPERVISOR SCH PSYCHOLOGISTS,35,0,7765,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0762,SUPERVISOR SCH SOCIAL WORKERS,0,SUPERVISOR SCH SOCIAL WORKERS,35,0,7766,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0770,EDUCATION ADMINISTRATOR,0,EDUCATION ADMINISTRATOR,35,0,7772,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0773,EDUCATION ADMINISTRATOR INSTRU,0,EDUCATION ADMINISTRATOR INSTRUCTION SPECIALIST,35,0,7775,400,CSA,CSA,Council of School Supvs&Admins,$65216.00,$107464.00
E2618,ASSISTANT PRINCIPAL ASG EXEC,0,ASSISTANT PRINCIPAL ASG EXEC,35,0,7930,400,CSA,CSA,Council of School Supvs&Admins,$0.00,$0.00
E0669,DISTRICT SUPERVISING ATTENDANC,0,DISTRICT SUPERVISING ATTENDANCE OFFICER,35,0,7725,400,CSA,CSA,Council of School Supvs&Admins,$41126.00,$58073.00
E0731,SENIOR ASSISTANT TO THE CHANCE,0,SENIOR ASSISTANT TO THE CHANCELLOR FOR INSTRUCTION,35,0,7748,400,CSA,CSA,Council of School Supvs&Admins,$52452.00,$52452.00
E0788,ASSISTANT PRINCIPAL ASSIGNED-C,0,ASSISTANT PRINCIPAL ASSIGNED-CENTRAL HEADQUARTERS,35,0,7789,400,CSA,CSA,Council of School Supvs&Admins,$77297.00,$85312.00
06745,SCHOOL BUSINESS MANAGER,0,SCHOOL BUSINESS MANAGER,35,1,1749,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,$48300.00,$63262.00
06745,SCHOOL BUSINESS MANAGER,0,SCHOOL BUSINESS MANAGER,35,2,1750,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,$62695.00,$77957.00
06745,SCHOOL BUSINESS MANAGER,0,SCHOOL BUSINESS MANAGER,35,0,1748,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,$59767.00,$74202.00
10187,DISTRICT BUSINESS OFFICER,0,DISTRICT BUSINESS OFFICER,35,0,2199,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,$34128.00,$38271.00
10200,DISTRICT MANAGER OF ADMINISTRA,0,DISTRICT MANAGER OF ADMINISTRATION AND BUSINESS AFFAIRS,35,0,2208,414,DISTR BUSN MG BD ED LOCAL 1180,CWA,Communication Wrkrs of America,$41126.00,$58073.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,8,PRINCIPAL ADMINISTRATIVE ASSOCIATE -LEV 1&2 SUPVR,35,2,13241,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$51445.00,$65028.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,16,PRINCIPAL ADMINISTRATIVE ASSOCIATE-CWW-14 H/D-L1&2 SPVR,35,1,13252,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$45978.00,$58568.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,16,PRINCIPAL ADMINISTRATIVE ASSOCIATE-CWW-14 H/D-L1&2 SPVR,35,2,13253,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$51445.00,$65028.00
00031,HCPPA,0,HCPPA,37,0,1,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$38451.00,$71820.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,9,PRINCIPAL ADMINISTRATIVE ASSOCIATE -LEV 3 FLSA E,35,3,13242,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$56911.00,$75630.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,18,PRINCIPAL ADMINISTRATIVE ASSOCIATE-CWW-12 H/D L1&2 SPVR,35,1,13255,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$45978.00,$58568.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,18,PRINCIPAL ADMINISTRATIVE ASSOCIATE-CWW-12 H/D L1&2 SPVR,35,2,13256,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$51445.00,$65028.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,19,PRINCIPAL ADMINISTRATIVE ASSOCIATE-CWW-12 H/D L3  FLSA E,35,3,13257,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$56911.00,$75630.00
10229,LEGAL SECRETARIAL ASSISTANT,0,LEGAL SECRETARIAL ASSISTANT- AL I-ONLY,35,2,2286,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$28269.00,$30422.00
10229,LEGAL SECRETARIAL ASSISTANT,0,LEGAL SECRETARIAL ASSISTANT- AL I-ONLY,35,3,2287,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$31498.00,$34722.00
10229,LEGAL SECRETARIAL ASSISTANT,1,LEGAL SECRETARIAL ASSISTANT - AL I,35,2,2289,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$32028.00,$34468.00
10229,LEGAL SECRETARIAL ASSISTANT,1,LEGAL SECRETARIAL ASSISTANT - AL I,35,3,2290,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$35687.00,$39339.00
10229,LEGAL SECRETARIAL ASSISTANT,1,LEGAL SECRETARIAL ASSISTANT - AL I,35,4,2291,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$39972.00,$59816.00
10229,LEGAL SECRETARIAL ASSISTANT,2,LEGAL SECRETARIAL ASSISTANT (CWW-8HR/DAY),35,2,2293,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$32028.00,$34468.00
10229,LEGAL SECRETARIAL ASSISTANT,2,LEGAL SECRETARIAL ASSISTANT (CWW-8HR/DAY),35,3,2294,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$35687.00,$39339.00
10229,LEGAL SECRETARIAL ASSISTANT,2,LEGAL SECRETARIAL ASSISTANT (CWW-8HR/DAY),35,4,2295,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$39972.00,$59816.00
10229,LEGAL SECRETARIAL ASSISTANT,3,LEGAL SECRETARIAL ASSISTANT (CWW-12 HR/DAY),35,2,2297,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$32028.00,$34468.00
10229,LEGAL SECRETARIAL ASSISTANT,3,LEGAL SECRETARIAL ASSISTANT (CWW-12 HR/DAY),35,3,2298,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$35687.00,$39339.00
10229,LEGAL SECRETARIAL ASSISTANT,3,LEGAL SECRETARIAL ASSISTANT (CWW-12 HR/DAY),35,4,2299,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$39372.00,$59816.00
10229,LEGAL SECRETARIAL ASSISTANT,5,LEGAL SECRETARIAL ASSISTANT (CWW-8 3/4HR/DAY,35,2,2301,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$32028.00,$34468.00
10229,LEGAL SECRETARIAL ASSISTANT,5,LEGAL SECRETARIAL ASSISTANT (CWW-8 3/4HR/DAY,35,3,2302,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$35687.00,$39339.00
10229,LEGAL SECRETARIAL ASSISTANT,5,LEGAL SECRETARIAL ASSISTANT (CWW-8 3/4HR/DAY,35,4,2303,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$39972.00,$59816.00
10229,LEGAL SECRETARIAL ASSISTANT,7,LEGAL SECRETARIAL ASSISTANT (CWW-8HR/DAY),35,2,2305,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$32028.00,$34468.00
10229,LEGAL SECRETARIAL ASSISTANT,7,LEGAL SECRETARIAL ASSISTANT (CWW-8HR/DAY),35,3,2306,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$35687.00,$39339.00
10229,LEGAL SECRETARIAL ASSISTANT,7,LEGAL SECRETARIAL ASSISTANT (CWW-8HR/DAY),35,4,2307,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$39972.00,$59816.00
10229,LEGAL SECRETARIAL ASSISTANT,9,LEGAL SECRETARIAL ASSISTANT (CWW-12 HR/DAY),35,2,2309,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$32028.00,$34468.00
10229,LEGAL SECRETARIAL ASSISTANT,9,LEGAL SECRETARIAL ASSISTANT (CWW-12 HR/DAY),35,3,2310,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$35687.00,$39339.00
10229,LEGAL SECRETARIAL ASSISTANT,9,LEGAL SECRETARIAL ASSISTANT (CWW-12 HR/DAY),35,4,2311,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$39372.00,$59816.00
10248,ADMINISTRATIVE JOB OPPORTUNITY,0,ADMINISTRATIVE JOB OPPORTUNITY SPECIALIST-NON MANAGERIAL,35,0,2334,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$44000.00,$77600.00
10248,ADMINISTRATIVE JOB OPPORTUNITY,0,ADMINISTRATIVE JOB OPPORTUNITY SPECIALIST-NON MANAGERIAL,35,1,11837,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$44000.00,$77600.00
10248,ADMINISTRATIVE JOB OPPORTUNITY,0,ADMINISTRATIVE JOB OPPORTUNITY SPECIALIST-NON MANAGERIAL,35,2,11838,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$44000.00,$77600.00
94526,COMPUTER SPECIALIST (SOFTWARE,0,COMPUTER SPECIALIST (SOFTWARE - BOARD OF ELECTIONS),35,1,7106,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,$66489.00,$72059.00
94526,COMPUTER SPECIALIST (SOFTWARE,0,COMPUTER SPECIALIST (SOFTWARE - BOARD OF ELECTIONS),35,2,7107,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,$69265.00,$77597.00
94526,COMPUTER SPECIALIST (SOFTWARE,0,COMPUTER SPECIALIST (SOFTWARE - BOARD OF ELECTIONS),35,3,7108,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,$74800.00,$84385.00
94526,COMPUTER SPECIALIST (SOFTWARE,0,COMPUTER SPECIALIST (SOFTWARE - BOARD OF ELECTIONS),35,4,7109,24,BD OF ELECTIONS CWA LOCAL 1183,CWA,Communication Wrkrs of America,$80241.00,$96620.00
10271,ASSOCIATE CALL CENTER REPRESEN,3,ASSOCIATE CALL CENTER REPRESENTATIVE-9 H/D-SPVR FLSA E,35,1,13260,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$47416.00,$66074.00
10271,ASSOCIATE CALL CENTER REPRESEN,3,ASSOCIATE CALL CENTER REPRESENTATIVE-9 H/D-SPVR FLSA E,35,2,13261,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$61648.00,$88506.00
10124,PRINCIPAL ADMINISTRATIVE ASSOC,11,PRINCIPAL ADMINISTRATIVE ASSOCIATE-CWW-8 3/4 H/D-LEV 3  E,35,3,13245,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$56911.00,$75630.00
10271,ASSOCIATE CALL CENTER REPRESEN,0,ASSOCIATE CALL CENTER REPRESENTATIVE- NON-SPVR,35,1,2519,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$47416.00,$66074.00
10271,ASSOCIATE CALL CENTER REPRESEN,0,ASSOCIATE CALL CENTER REPRESENTATIVE- NON-SPVR,35,2,2520,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$61648.00,$88506.00
10271,ASSOCIATE CALL CENTER REPRESEN,1,ASSOCIATE CALL CENTER REPRESENTATIVE- 9 H/D- NON-SPVR,35,1,2521,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$47416.00,$66074.00
10271,ASSOCIATE CALL CENTER REPRESEN,1,ASSOCIATE CALL CENTER REPRESENTATIVE- 9 H/D- NON-SPVR,35,2,2522,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$61648.00,$88506.00
10271,ASSOCIATE CALL CENTER REPRESEN,2,ASSOCIATE CALL CENTER REPRESENTATIVE -SPVR FLSA E,35,1,13258,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$47416.00,$66074.00
10271,ASSOCIATE CALL CENTER REPRESEN,2,ASSOCIATE CALL CENTER REPRESENTATIVE -SPVR FLSA E,35,2,13259,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$61648.00,$88506.00
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,0,ADM MANAGER-NON-MGRL FROM M1/M2,35,0,13014,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$53373.00,$119841.00
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,1,ADM MANAGER-NON-MGRL FROM M1/M2 (CWW 8H),35,0,13015,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$53373.00,$119841.00
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,2,ADM MANAGER-NON-MGRL FROM M1/M2 (CWW 8 3/4 H),35,0,13016,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$53373.00,$119841.00
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,3,ADM MANAGER-NON-MGRL FROM M1/M2 (SPECIAL NARCOTICS),7,0,13017,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$53373.00,$119841.00
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,4,ADM MANAGER-NON MGRL CONF FROM M1/M2,35,0,13019,23,PRINCIPAL ADMINISTRATIVE ASSOC,CWA,Communication Wrkrs of America,$53373.00,$119841.00
71651,TRAFFIC ENFORCEMENT AGENT,0,TRAFFIC ENFORCEMENT AGENT AL1 & 2 ONLY,40,1,5956,22,TRAFFIC ENFORCEMENT AGENTS L11,CWA,Communication Wrkrs of America,$33600.00,$36359.00
71651,TRAFFIC ENFORCEMENT AGENT,0,TRAFFIC ENFORCEMENT AGENT AL1 & 2 ONLY,40,2,5957,22,TRAFFIC ENFORCEMENT AGENTS L11,CWA,Communication Wrkrs of America,$36210.00,$38159.00
71651,TRAFFIC ENFORCEMENT AGENT,1,TRAFFIC ENFORCEMENT AGENT,40,1,5959,22,TRAFFIC ENFORCEMENT AGENTS L11,CWA,Communication Wrkrs of America,$33600.00,$36359.00
71651,TRAFFIC ENFORCEMENT AGENT,1,TRAFFIC ENFORCEMENT AGENT,40,2,5960,22,TRAFFIC ENFORCEMENT AGENTS L11,CWA,Communication Wrkrs of America,$36210.00,$38159.00
71651,TRAFFIC ENFORCEMENT AGENT,2,TRAFFIC ENFORCEMENT AGENT AL 1 & 2 (CWW 10 HR/DAY),40,1,5962,22,TRAFFIC ENFORCEMENT AGENTS L11,CWA,Communication Wrkrs of America,$33600.00,$36359.00
71651,TRAFFIC ENFORCEMENT AGENT,2,TRAFFIC ENFORCEMENT AGENT AL 1 & 2 (CWW 10 HR/DAY),40,2,5963,22,TRAFFIC ENFORCEMENT AGENTS L11,CWA,Communication Wrkrs of America,$36210.00,$38159.00
