DBN,School Name,Cohort Year,Demographic,Total Cohort Num,Total Grads Num,Num achieving APM ,Pct of cohort achieving APM,Pct of graduates achieving APM
01M539,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL",2007,Student with Disability,3,3,s,s,s
01M650,CASCADES HIGH SCHOOL,2006,Not Student with Disability,87,47,8,9.20%,17.00%
01M650,CASCADES HIGH SCHOOL,2007,Not Student with Disability,110,45,4,3.60%,8.90%
01M650,CASCADES HIGH SCHOOL,2006,Student with Disability,2,2,s,s,s
01M650,CASCADES HIGH SCHOOL,2007,Student with Disability,8,0,s,s,s
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,Not Student with Disability,139,134,99,71.20%,73.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2007,Not Student with Disability,125,122,93,74.40%,76.20%
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,Not Student with Disability,18,16,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,Not Student with Disability,20,16,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2006,Student with Disability,7,3,s,s,s
02M047,AMERICAN SIGN LANGUAGE & ENGLISH SCHOOL,2007,Student with Disability,3,0,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,Not Student with Disability,84,76,14,16.70%,18.40%
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,Not Student with Disability,75,59,8,10.70%,13.60%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,Student with Disability,18,15,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2007,Student with Disability,15,10,s,s,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,Not Student with Disability,67,54,13,19.40%,24.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,Not Student with Disability,71,54,7,9.90%,13.00%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,Student with Disability,8,4,s,s,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2007,Student with Disability,11,7,s,s,s
02M298,PACE HIGH SCHOOL,2006,Not Student with Disability,73,66,27,37.00%,40.90%
02M298,PACE HIGH SCHOOL,2007,Not Student with Disability,85,78,26,30.60%,33.30%
02M298,PACE HIGH SCHOOL,2006,Student with Disability,19,12,s,s,s
02M298,PACE HIGH SCHOOL,2007,Student with Disability,9,8,s,s,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,Not Student with Disability,73,47,12,16.40%,25.50%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,Not Student with Disability,67,41,14,20.90%,34.10%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2006,Student with Disability,7,2,s,s,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2007,Student with Disability,19,6,s,s,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,Not Student with Disability,56,42,3,5.40%,7.10%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,Not Student with Disability,48,36,8,16.70%,22.20%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2006,Student with Disability,5,4,s,s,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2007,Student with Disability,11,1,s,s,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,Not Student with Disability,51,38,5,9.80%,13.20%
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,Not Student with Disability,46,38,3,6.50%,7.90%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,Student with Disability,17,8,s,s,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2007,Student with Disability,17,8,s,s,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,Not Student with Disability,65,50,5,7.70%,10.00%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2007,Not Student with Disability,47,34,2,4.30%,5.90%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,Student with Disability,7,3,s,s,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2007,Student with Disability,14,3,s,s,s
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,Not Student with Disability,81,61,3,3.70%,4.90%
02M374,GRAMERCY ARTS HIGH SCHOOL,2007,Not Student with Disability,63,50,1,1.60%,2.00%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,Student with Disability,12,7,s,s,s
02M374,GRAMERCY ARTS HIGH SCHOOL,2007,Student with Disability,9,3,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2006,Not Student with Disability,10,0,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2007,Not Student with Disability,14,1,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,Not Student with Disability,309,240,122,39.50%,50.80%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2007,Not Student with Disability,309,252,125,40.50%,49.60%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,Student with Disability,43,22,0,0.00%,0.00%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2007,Student with Disability,31,21,0,0.00%,0.00%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2006,Not Student with Disability,78,72,25,32.10%,34.70%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2007,Not Student with Disability,98,88,30,30.60%,34.10%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2006,Student with Disability,2,2,s,s,s
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,2007,Student with Disability,2,2,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,Not Student with Disability,102,101,74,72.50%,73.30%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2007,Not Student with Disability,104,103,86,82.70%,83.50%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,Student with Disability,3,2,s,s,s
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2007,Student with Disability,2,2,s,s,s
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2006,Not Student with Disability,104,95,65,62.50%,68.40%
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2007,Not Student with Disability,117,105,89,76.10%,84.80%
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2006,Student with Disability,20,18,s,s,s
02M412,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,2007,Student with Disability,20,19,s,s,s
02M414,NYC MUSEUM SCHOOL,2006,Not Student with Disability,89,86,20,22.50%,23.30%
02M414,NYC MUSEUM SCHOOL,2007,Not Student with Disability,86,83,38,44.20%,45.80%
02M414,NYC MUSEUM SCHOOL,2006,Student with Disability,17,14,s,s,s
02M414,NYC MUSEUM SCHOOL,2007,Student with Disability,12,11,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,Not Student with Disability,126,126,103,81.70%,81.70%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2007,Not Student with Disability,110,110,98,89.10%,89.10%
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2006,Student with Disability,1,1,s,s,s
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,2007,Student with Disability,4,4,s,s,s
02M418,MILLENNIUM HIGH SCHOOL,2006,Not Student with Disability,140,136,95,67.90%,69.90%
02M418,MILLENNIUM HIGH SCHOOL,2007,Not Student with Disability,128,118,90,70.30%,76.30%
02M418,MILLENNIUM HIGH SCHOOL,2006,Student with Disability,10,9,s,s,s
02M418,MILLENNIUM HIGH SCHOOL,2007,Student with Disability,18,16,s,s,s
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2006,Not Student with Disability,322,275,90,28.00%,32.70%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2007,Not Student with Disability,335,273,85,25.40%,31.10%
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2006,Student with Disability,19,5,s,s,s
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICE,2007,Student with Disability,23,10,s,s,s
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2006,Not Student with Disability,117,67,18,15.40%,26.90%
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2007,Not Student with Disability,125,93,20,16.00%,21.50%
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2006,Student with Disability,27,11,s,s,s
02M425,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,2007,Student with Disability,26,13,s,s,s
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,Not Student with Disability,312,133,19,6.10%,14.30%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2007,Not Student with Disability,253,77,20,7.90%,26.00%
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2006,Student with Disability,53,6,s,s,s
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,2007,Student with Disability,39,7,s,s,s
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,Not Student with Disability,376,216,24,6.40%,11.10%
02M460,WASHINGTON IRVING HIGH SCHOOL,2007,Not Student with Disability,346,171,18,5.20%,10.50%
02M460,WASHINGTON IRVING HIGH SCHOOL,2006,Student with Disability,67,14,s,s,s
02M460,WASHINGTON IRVING HIGH SCHOOL,2007,Student with Disability,61,17,s,s,s
02M475,STUYVESANT HIGH SCHOOL,2006,Not Student with Disability,785,772,771,98.20%,99.90%
02M475,STUYVESANT HIGH SCHOOL,2007,Not Student with Disability,783,761,754,96.30%,99.10%
02M475,STUYVESANT HIGH SCHOOL,2006,Student with Disability,2,2,s,s,s
02M475,STUYVESANT HIGH SCHOOL,2007,Student with Disability,1,0,s,s,s
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2006,Not Student with Disability,144,125,53,36.80%,42.40%
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2007,Not Student with Disability,162,133,58,35.80%,43.60%
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2006,Student with Disability,33,11,s,s,s
02M489,HIGH SCHOOL OF ECONOMICS & FINANCE,2007,Student with Disability,30,21,1,3.30%,4.80%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,Not Student with Disability,45,36,1,2.20%,2.80%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2007,Not Student with Disability,41,30,0,0.00%,0.00%
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2006,Student with Disability,8,3,s,s,s
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,2007,Student with Disability,18,4,s,s,s
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,Not Student with Disability,131,122,45,34.40%,36.90%
02M519,TALENT UNLIMITED HIGH SCHOOL,2007,Not Student with Disability,81,76,33,40.70%,43.40%
02M519,TALENT UNLIMITED HIGH SCHOOL,2006,Student with Disability,5,4,s,s,s
02M519,TALENT UNLIMITED HIGH SCHOOL,2007,Student with Disability,4,3,s,s,s
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2006,Not Student with Disability,546,339,109,20.00%,32.20%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2007,Not Student with Disability,495,319,90,18.20%,28.20%
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2006,Student with Disability,91,20,s,s,s
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2007,Student with Disability,67,9,s,s,s
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2006,Not Student with Disability,128,85,29,22.70%,34.10%
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2007,Not Student with Disability,152,86,24,15.80%,27.90%
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2006,Student with Disability,20,11,s,s,s
02M529,JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL,2007,Student with Disability,34,14,s,s,s
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2006,Not Student with Disability,45,38,2,4.40%,5.30%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2007,Not Student with Disability,35,28,0,0.00%,0.00%
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2006,Student with Disability,4,4,s,s,s
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,2007,Student with Disability,4,4,s,s,s
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2006,Not Student with Disability,111,77,13,11.70%,16.90%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2007,Not Student with Disability,114,79,11,9.60%,13.90%
02M542,MANHATTAN BRIDGES HIGH SCHOOL,2007,Student with Disability,2,1,s,s,s
02M543,NEW DESIGN HIGH SCHOOL,2006,Not Student with Disability,73,54,8,11.00%,14.80%
02M543,NEW DESIGN HIGH SCHOOL,2007,Not Student with Disability,74,56,7,9.50%,12.50%
02M543,NEW DESIGN HIGH SCHOOL,2006,Student with Disability,28,14,s,s,s
02M543,NEW DESIGN HIGH SCHOOL,2007,Student with Disability,15,7,s,s,s
02M544,INDEPENDENCE HIGH SCHOOL,2006,Not Student with Disability,128,20,s,s,s
02M544,INDEPENDENCE HIGH SCHOOL,2007,Not Student with Disability,196,42,2,1.00%,4.80%
02M544,INDEPENDENCE HIGH SCHOOL,2006,Student with Disability,17,5,s,s,s
02M544,INDEPENDENCE HIGH SCHOOL,2007,Student with Disability,29,0,s,s,s
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2006,Not Student with Disability,53,50,40,75.50%,80.00%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2007,Not Student with Disability,77,71,46,59.70%,64.80%
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,2006,Student with Disability,1,0,s,s,s
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2006,Not Student with Disability,94,46,13,13.80%,28.30%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2007,Not Student with Disability,79,37,12,15.20%,32.40%
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2006,Student with Disability,3,2,s,s,s
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,2007,Student with Disability,4,0,s,s,s
02M551,NEW YORK HARBOR SCHOOL,2006,Not Student with Disability,63,53,7,11.10%,13.20%
02M551,NEW YORK HARBOR SCHOOL,2007,Not Student with Disability,71,52,5,7.00%,9.60%
02M551,NEW YORK HARBOR SCHOOL,2006,Student with Disability,14,9,s,s,s
02M551,NEW YORK HARBOR SCHOOL,2007,Student with Disability,19,9,s,s,s
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2006,Not Student with Disability,252,117,48,19.00%,41.00%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2007,Not Student with Disability,340,138,73,21.50%,52.90%
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2006,Student with Disability,8,1,s,s,s
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,2007,Student with Disability,15,3,s,s,s
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2006,Not Student with Disability,114,77,27,23.70%,35.10%
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2007,Not Student with Disability,106,66,13,12.30%,19.70%
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2006,Student with Disability,20,10,s,s,s
02M580,RICHARD R GREEN HIGH SCHOOL OF TEACHING,2007,Student with Disability,20,1,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2006,Not Student with Disability,24,10,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2007,Not Student with Disability,23,7,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2006,Student with Disability,6,2,s,s,s
02M586,HARVEY MILK HIGH SCHOOL,2007,Student with Disability,8,3,s,s,s
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,Not Student with Disability,376,342,144,38.30%,42.10%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2007,Not Student with Disability,337,295,166,49.30%,56.30%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2006,Student with Disability,40,23,1,2.50%,4.30%
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,2007,Student with Disability,47,29,0,0.00%,0.00%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2006,Not Student with Disability,139,78,8,5.80%,10.30%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2007,Not Student with Disability,134,61,8,6.00%,13.10%
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2006,Student with Disability,34,5,s,s,s
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,2007,Student with Disability,19,9,s,s,s
02M620,NORMAN THOMAS HIGH SCHOOL,2006,Not Student with Disability,397,212,16,4.00%,7.50%
02M620,NORMAN THOMAS HIGH SCHOOL,2007,Not Student with Disability,473,255,21,4.40%,8.20%
02M620,NORMAN THOMAS HIGH SCHOOL,2006,Student with Disability,67,10,s,s,s
02M620,NORMAN THOMAS HIGH SCHOOL,2007,Student with Disability,79,17,s,s,s
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2006,Not Student with Disability,328,185,20,6.10%,10.80%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2007,Not Student with Disability,327,191,18,5.50%,9.40%
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2006,Student with Disability,79,17,s,s,s
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,2007,Student with Disability,74,22,0,0.00%,0.00%
02M630,ART AND DESIGN HIGH SCHOOL,2006,Not Student with Disability,282,195,43,15.20%,22.10%
02M630,ART AND DESIGN HIGH SCHOOL,2007,Not Student with Disability,243,186,52,21.40%,28.00%
02M630,ART AND DESIGN HIGH SCHOOL,2006,Student with Disability,38,21,1,2.60%,4.80%
02M630,ART AND DESIGN HIGH SCHOOL,2007,Student with Disability,31,15,s,s,s
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,Not Student with Disability,97,83,10,10.30%,12.00%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2007,Not Student with Disability,96,73,16,16.70%,21.90%
02M655,LIFE SCIENCES SECONDARY SCHOOL,2006,Student with Disability,21,11,s,s,s
02M655,LIFE SCIENCES SECONDARY SCHOOL,2007,Student with Disability,17,9,s,s,s
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,Not Student with Disability,61,38,3,4.90%,7.90%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2007,Not Student with Disability,78,25,1,1.30%,4.00%
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2006,Student with Disability,13,3,s,s,s
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2007,Student with Disability,13,0,s,s,s
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2006,Not Student with Disability,81,49,4,4.90%,8.20%
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2007,Not Student with Disability,69,37,3,4.30%,8.10%
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2006,Student with Disability,8,6,s,s,s
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",2007,Student with Disability,18,5,s,s,s
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2006,Not Student with Disability,81,45,4,4.90%,8.90%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2007,Not Student with Disability,77,58,9,11.70%,15.50%
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2006,Student with Disability,19,15,s,s,s
03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES,2007,Student with Disability,18,10,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2006,Not Student with Disability,36,10,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2007,Not Student with Disability,119,28,2,1.70%,7.10%
03M404,INNOVATION DIPLOMA PLUS,2006,Student with Disability,3,1,s,s,s
03M404,INNOVATION DIPLOMA PLUS,2007,Student with Disability,12,1,s,s,s
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2006,Not Student with Disability,104,64,11,10.60%,17.20%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2007,Not Student with Disability,103,69,8,7.80%,11.60%
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2006,Student with Disability,23,7,s,s,s
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING ARTS,2007,Student with Disability,19,4,s,s,s
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,Not Student with Disability,457,177,18,3.90%,10.20%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,Not Student with Disability,395,138,14,3.50%,10.10%
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2006,Student with Disability,64,8,s,s,s
03M470,LOUIS D BRANDEIS HIGH SCHOOL,2007,Student with Disability,57,7,s,s,s
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2006,Not Student with Disability,640,622,483,75.50%,77.70%
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2007,Not Student with Disability,596,581,504,84.60%,86.70%
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2006,Student with Disability,6,5,s,s,s
03M485,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,2007,Student with Disability,5,5,s,s,s
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2006,Not Student with Disability,81,66,10,12.30%,15.20%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2007,Not Student with Disability,88,64,16,18.20%,25.00%
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2006,Student with Disability,26,15,s,s,s
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",2007,Student with Disability,14,7,s,s,s
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,Not Student with Disability,104,74,16,15.40%,21.60%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2007,Not Student with Disability,123,90,18,14.60%,20.00%
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2006,Student with Disability,33,12,s,s,s
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,2007,Student with Disability,19,11,s,s,s
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2006,Not Student with Disability,155,49,4,2.60%,8.20%
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2007,Not Student with Disability,191,51,7,3.70%,13.70%
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2006,Student with Disability,45,6,s,s,s
03M505,EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,2007,Student with Disability,47,8,s,s,s
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2006,Not Student with Disability,88,82,66,75.00%,80.50%
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2007,Not Student with Disability,107,92,59,55.10%,64.10%
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2006,Student with Disability,2,2,s,s,s
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,2007,Student with Disability,5,5,s,s,s
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2006,Not Student with Disability,43,37,6,14.00%,16.20%
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2007,Not Student with Disability,49,40,9,18.40%,22.50%
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2006,Student with Disability,11,3,s,s,s
03M860,FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,2007,Student with Disability,15,2,s,s,s
04M099,JULIA DE BURGOS EDUCATION COMPLEX,2006,Student with Disability,1,0,s,s,s
04M117,TITO PUENTE EDUCATION COMPLEX,2006,Not Student with Disability,1,0,s,s,s
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,Not Student with Disability,52,42,3,5.80%,7.10%
04M409,COALITION SCHOOL FOR SOCIAL CHANGE,2006,Student with Disability,24,8,s,s,s
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2006,Not Student with Disability,354,331,212,59.90%,64.00%
04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS,2007,Not Student with Disability,358,332,210,58.70%,63.30%
