SITE_NAME,SITE_NUMBER,VOTER_ENTRANCE,HANDICAP_ENTRANCE,STREET_NUMBER,STREET_NAME,STREET_SUFFIX,SITE_STATUS,CITY,STATE,ZIP_CODE,LOCATION,BOROUGH
UTACPT,10147,125 West 109 Street,125 West 109 Street,125,West 109 Street,,A,New York,,10025,"(40.801565, -73.962367)",Manhattan
Pelham Fritz Rec Ctr,10148,18 Mt Morris Park West,18 Mt Morris Park West,18,Mt Morris Park West,,A,New York,,10027,"(40.804822, -73.945457)",Manhattan
Lionel Hampton House,10161,410 St Nicholas  Avenue,410 St Nicholas  Avenue,410,St Nicholas Avenue,,A,New York,,10027,"(40.814224, -73.949521)",Manhattan
Windsor Tower,10205,5 Tudor City Place,40th Street,5,Tudor City Place,,A,New York,,10017,"(40.748053, -73.971189)",Manhattan
PS 234 (Indepedence),10222,292 Greenwich Street,292 Greenwich Street,292,Greenwich Street,,A,New York,,10007,"(40.716017, -74.011035)",Manhattan
Sutton Place Synagogue,10227,225 East 51 Street,225 East 51 Street,225,East 51 Street,,A,New York,,10022,"(40.756156, -73.969586)",Manhattan
St Bartholomew's Chu,10239,109 East 50 Street,109 East 50 Street,109,East 50 Street,,A,New York,,10022,"(40.756895, -73.973282)",Manhattan
Peter Cooper Village,10241,360 1 Avenue,360 1 Avenue,360,1 Avenue,,A,New York,,10010,"(40.735739, -73.979306)",Manhattan
East Harlem Council,10249,413 East 120 Street,413 East 120 Street,413,East 120 Street,,A,New York,,10035,"(40.798376, -73.932983)",Manhattan
Coler Hospital,10250,1 Bird S Coler Hospital,Inaccessible Poll Site,900,Main Street,,A,New York,,10044,"(40.815612, -73.960737)",Manhattan
YM & YWHA (Nagle Ave),10251,54 Nagle Avenue,54 Nagle Avenue,54,Nagle Avenue,,A,New York,,10040,"(40.859946, -73.929259)",Manhattan
Hunter College,10261,128 East 68 Street,West Building 68 West of Lexington,128,East 68 Street,,A,New York,,10065,"(40.768064, -73.964577)",Manhattan
IS 218,10271,4600 Broadway,4600 Broadway,4600,Broadway,,A,New York,,10040,"(40.860866, -73.930632)",Manhattan
Barrier Free Living,10272,268 East 2nd Street,Inaccessible Poll Site,270,East 2 Street,,A,New York,,10009,"(40.720833, -73.980598)",Manhattan
Inwood Towers,10275,11 Fort George Hill,11 Fort George Hill,11,Fort George Hill,,A,New York,,10040,"(40.857288, -73.928044)",Manhattan
Local 802,10279,322 West 48 Street,322 West 48 Street,322,West 48 Street,,A,New York,,10036,"(40.761399, -73.987896)",Manhattan
Seward Park I,10297,266 East Broadway,266 East Broadway,266,East Broadway,,A,New York,,10002,"(40.714493, -73.985073)",Manhattan
Rena Day Care Ctr,10304,639 Edgecombe Avenue,Edgecombe Ave In Alleyway,639,Edgecombe Avenue,,A,New York,,10032,"(40.837754, -73.936438)",Manhattan
Seward Park II,10306,210 East Broadway,210 East Broadway,210,East Broadway,,A,New York,,10002,"(40.714274, -73.987728)",Manhattan
Seward Park III,10307,415 Grand Street,415 Grand Street,415,Grand Street,,A,New York,,10002,"(40.715877, -73.986498)",Manhattan
East River Housing I,10308,570 GRAND ST,570 GRAND ST,570,Grand Street,,A,New York,,10002,"(40.713597, -73.978718)",Manhattan
East River Housing II,10309,575 GRAND ST,575 GRAND ST,575,Grand Street,,A,New York,,10002,"(40.713639, -73.978912)",Manhattan
2nd Canaan Baptist,10314,10 Lenox Avenue,10 Lenox Avenue,10,Lenox Avenue,,A,New York,,10026,"(40.79857, -73.952216)",Manhattan
Tweemill House,10317,145 East 126 Street,145 East 126 Street,145,East 126 Street,,A,New York,,10035,"(40.804905, -73.936571)",Manhattan
George Washington Bridge Bus Station,10344,4211 Broadway,4211 Broadway,4211,Broadway,,A,New York,,10033,"(40.848544, -73.937523)",Manhattan
Inwood Terrace,10350,99 Hillside Avenue,99 Hillside Avenue,99,Hillside Avenue,,A,New York,,10040,"(40.859783, -73.927036)",Manhattan
Asser Levy Recreation Center,10358,501 East 23 Street,FDR DR & Asher Levy PL,501,East 23 Street,,A,New York,,10010,"(40.735851, -73.976177)",Manhattan
Promenade,10363,150 West 225 Street,150 West 225 Street,150,West 225 Street,,A,New York,,10463,"(40.875088, -73.912411)",Manhattan
SANDRA THOMAS,10369,102 WEST   91 STREET,102 WEST   91 STREET,102,WEST   91 STREET,,A,New York,,10024,"(40.789864, -73.970322)",Manhattan
Time Square Hotel,10383,255 West 43 Street,255 West 43 Street,255,West 43 Street,,A,New York,,10036,"(40.757358, -73.987973)",Manhattan
Stuyvesant Town,10384,278 1 Avenue,East 18 Street 1st. Ave. Drive around the loop to ,278,1 Avenue,,A,New York,,10009,"(40.732869, -73.981385)",Manhattan
Carver Houses,10385,1481 Madison Avenue,1481 Madison Avenue,1481,Madison Avenue,,A,New York,,10029,"(40.79095, -73.951434)",Manhattan
Dorchester Towers,10386,155 West 68 Street,155 West 68 Street,155,West 68 Street,,A,New York,,10023,"(40.775679, -73.98259)",Manhattan
Central Harlem Senior Coalition,10389,120 West  140 Street,120 West  140 Street,120,West 140 Street,,A,New York,,10030,"(40.817631, -73.939398)",Manhattan
One Lincoln Plaza,10392,20 West 64 Street,20 West 64 Street,20,West 64 Street,,A,New York,,10023,"(40.771446, -73.980367)",Manhattan
Rutgers House,10393,200 Madison Street,200 Madison Street,200,Madison Street,,A,New York,,10002,"(40.7126, -73.990466)",Manhattan
Two Bridges Community Center,10394,286 South Street,286 South Street,286,South Street,,A,New York,,10002,"(40.710489, -73.986333)",Manhattan
Normandie Court,10395,225 East 95 Street,225 East 95 Street,225,East 95 Street,,A,New York,,10128,"(40.784219, -73.949099)",Manhattan
Metropolitan Community Church,10396,446 West 36 Street,446 West 36 Street,446,West 36 Street,,A,New York,,10018,"(40.755432, -73.997206)",Manhattan
Jacob Riis Houses,10397,807 East 6 Street,Left Of Main Entr,807,East 6 Street,,A,New York,,10009,"(40.722323, -73.976485)",Manhattan
Lenox Hill Senior Center,10401,343 East 70 Street,343 East 70 Street,343,East 70 Street,,A,New York,,10021,"(40.767051, -73.958249)",Manhattan
Clinton Community Center,10404,456 West 37 Street,456 West 37 Street,456,West 37 Street,,A,New York,,10018,"(40.756107, -73.996878)",Manhattan
Wadleigh HS,10405,215 West 114 Street,215 West 114 Street,215,West 114 Street,,A,New York,,10026,"(40.802224, -73.954182)",Manhattan
Henry Brooks Senior House,10407,304 West 154 Street,Left Of Main Entrance,304,West 154 Street,,A,New York,,10039,"(40.82862, -73.938098)",Manhattan
Euclid Hall Senior Center,10408,2345 Broadway,2345 Broadway,2345,Broadway,,A,New York,,10024,"(40.787864, -73.976903)",Manhattan
Theater For New City,10410,155 1 Avenue,Right Of Main Entrance,155,1 Avenue,,A,New York,,10003,"(40.728522, -73.984648)",Manhattan
Manhattan West,10423,75 West End Ave,75 West End Ave,75,West End Avenue,,A,New York,,10023,"(40.773978, -73.988739)",Manhattan
Baruch College,10424,151 East 25 Street,151 East 25 Street,151,East 25 Street,,A,New York,,10010,"(40.740557, -73.983238)",Manhattan
Coliseum Park Apts,10425,345 West 58 Street,345 West 58 Street,345,West 58 Street,,A,New York,,10019,"(40.767964, -73.983693)",Manhattan
Mayfair Tower,10426,15 West 72 Street,15 West 72 Street,15,West 72 Street,,A,New York,,10023,"(40.776526, -73.976661)",Manhattan
NYCJW-Council Sr Ct,10428,241 West 72 Street,241 West 72 Street,241,West 72 Street,,A,New York,,10023,"(40.779244, -73.983109)",Manhattan
Bridge  Apts,10429,1370 St Nicholas Avenue,Inaccessible Poll Site,1370,St Nicholas Avenue,,A,New York,,10033,"(40.847719, -73.934889)",Manhattan
Hunter Coll Soc Work,10430,133 East 79 Street,133 East 79 Street,133,East 79 Street,,A,New York,,10021,"(40.775184, -73.959403)",Manhattan
CUNY HQ,10431,535 East 80 Street,535 East 80 Street,535,East 80 Street,,A,New York,,10075,"(40.771681, -73.948986)",Manhattan
Church of St Paul & St Andrew,10432,263 WEST   86 STREET,263 WEST   86 STREET,263,West 86 Street,,A,New York,,10024,"(40.788589, -73.977137)",Manhattan
Max Meltzer Community Center,10433,94 East 1 Street,94 East 1 Street,94,East 1 Street,,A,New York,,10009,"(40.722909, -73.98755)",Manhattan
J K Onassis HS,10434,120 West 46 Street,Left Of Main Entr,120,West 46 Street,,A,New York,,10036,"(40.757731, -73.983089)",Manhattan
Marseilles Senior Center,10438,230 West 103 Street,230 West 103 Street,230,West 103 Street,,A,New York,,10025,"(40.799215, -73.968826)",Manhattan
Coalition H S,10439,220 West 58 Street,220 West 58 Street,220,West 58 Street,,A,New York,,10019,"(40.766555, -73.980419)",Manhattan
Oberia Dempsey Ctr,10440,127 West 127 Street,West 128 Street,127,West 127 Street,,A,New York,,10027,"(40.809482, -73.945486)",Manhattan
Northern Man. Nur Hm,10445,116 East 125 Street,116 East 125 Street,116,East 125 Street,,A,New York,,10035,"(40.804747, -73.938319)",Manhattan
Ter Card Cooke Ctr,10446,1249 5 Avenue,1249 5 Avenue,1249,5 Avenue,,A,New York,,10029,"(40.79418, -73.951175)",Manhattan
PS 176,10454,4862 Broadway,4862 Broadway,4862,Broadway,,A,New York,,10034,"(40.866706, -73.923948)",Manhattan
390 Riverside Drive,10457,390 Riverside Drive,West 111 Street,390,Riverside Drive,,A,New York,,10025,"(40.805368, -73.967491)",Manhattan
Baruch College Campus H.S,10463,55 East 25 Street,55 East 25 Street,55,East 25 Street,,A,New York,,10010,"(40.741922, -73.986503)",Manhattan
Tiano Towers,10464,2253 3 Avenue,2253 3 Avenue,2253,3 Avenue,,A,New York,,10035,"(40.802078, -73.936989)",Manhattan
Fash Institute Tech,10465,298 7 Avenue,7 Ave at 27 St(Southwest Corner),298,7 Avenue,,A,New York,,10001,"(40.746531, -73.99389)",Manhattan
HS Environment Studies,10466,444 West 56 Street,Ramp Near Main Entr,444,West 56 Street,,A,New York,,10019,"(40.767791, -73.987531)",Manhattan
Park East Synagogue,10468,163 East 67 Street,163 East 67 Street,164,East 68 Street,,A,New York,,10065,"(40.767547, -73.963354)",Manhattan
Community Board 12,10478,711 West 168 Street,711 West 168 Street,711,West 168 Street,,A,New York,,10032,"(40.842258, -73.942481)",Manhattan
Cooper Union,10479,51 Astor Place,51 Astor Place,51,Astor Place,,A,New York,,10003,"(40.729853, -73.990594)",Manhattan
King Towers II,10502,50 Lenox Ave,50 Lenox Ave,50,Lenox Avenue,,A,Manhattan,,10026,"(40.799747, -73.951319)",Manhattan
St Anthony's Church,10516,154 Sullivan Street,Houston Street,155,Sullivan Street,,A,New York,,10012,"(40.727276, -74.001692)",Manhattan
PS 217,10517,645 Main Street,645 Main Street,645,Main Street,,A,New York,,10044,"(40.763893, -73.947916)",Manhattan
Dewitt Clinton Ctr,10518,120 East 110 Street,East 110 Street,120,East 110 Street,,A,New York,,10029,"(40.795152, -73.945284)",Manhattan
Gen Grant Houses,10520,75 La Salle Street,75 La Salle Street,75,La Salle Street,,A,New York,,10027,"(40.81335, -73.958618)",Manhattan
Gen Grant Houses II,10522,1295 Amsterdam Avenue,1295 Amsterdam Avenue,1295,Amsterdam Avenue,,A,New York,,10027,"(40.811875, -73.957351)",Manhattan
Gen Grant Houses III,10523,1315 Amsterdam Avenue,1315 Amsterdam Avenue,1315,Amsterdam Avenue,,A,New York,,10027,"(40.81272, -73.956732)",Manhattan
Yeshiva University-Cardozo School of Law,10524,55 5 Avenue,55 5 Avenue,55,5 Avenue,,A,New York,,10003,"(40.734877, -73.994422)",Manhattan
Carlyle Court,10526,25 Union Square West,25 Union Square West,25,Union Square West,,A,New York,,10003,"(40.736271, -73.990896)",Manhattan
Andrew Heiskell Library,10527,40 West 20 Street,40 West 20 Street,40,West 20 Street,,A,New York,,10011,"(40.740245, -73.992328)",Manhattan
New York Law School,10531,47 Worth Street,53 Worth Street,47,Worth Street,,A,New York,,10013,"(40.717376, -74.006887)",Manhattan
Liberty High School,10537,250 West 18 Street,250 West 18 Street,250,West 18 Street,,A,New York,,10011,"(40.741656, -73.999307)",Manhattan
The 467 Condominium,10538,467 Central Park West,467 Central Park West,467,Central Park West,,A,New York,,10025,"(40.798539, -73.959678)",Manhattan
St Peter's Church,10539,619 Lexington Ave,619 Lexington Ave,619,Lexington Avenue,,A,New York,,10022,"(40.758514, -73.970878)",Manhattan
Wash Square Village 2,10547,2 Washington Square Village,2 Washington Square Village,2,Washington Square Village,,A,New York,,10012,"(40.728363, -73.995973)",Manhattan
Wash Square Village 3,10548,3 Washington Square Village,3 Washington Square Village,3,Washington Square Village,,A,New York,,10012,"(40.72788, -73.998557)",Manhattan
Renwick Gardens,10553,332 East 29 Street,332 East 29 Street,332,East 29 Street,,A,New York,,10016,"(40.741259, -73.977276)",Manhattan
Trump Place,10559,180 Riverside Blvd,180 Riverside Blvd,180,Riverside Boulevard,,A,New York,,10069,"(40.778383, -73.988485)",Manhattan
Ft George Center,10562,1525 St Nicholas Avenue,1525 St Nicholas Avenue,1525,St Nicholas Avenue,,A,New York,,10033,"(40.85263, -73.931324)",Manhattan
Surrogate Court,10563,31 Chambers Street,Reade Street,31,Chambers Street,,A,New York,,10007,"(40.713402, -74.004635)",Manhattan
University Hall,10565,110 East 14 Street,110 EAST 13 ST (BTW 2 & 3 AVE),110,East 14 Street,,A,New York,,10003,"(40.734083, -73.98907)",Manhattan
West Side High School,10569,140 West 102 Street,140 West 102 Street,140,West 102 Street,,A,New York,,10025,"(40.797562, -73.966833)",Manhattan
Westside High School,10575,140 West 102 Street,Elevator(Right Of Main Entr),140,W 102 St,,A,New York,,10025,"(40.797562, -73.966833)",Manhattan
Kurt & Leah  Apts,10576,11 West  102 Street,11 West  102 Street,11,West 102 Street,,A,New York,,10025,"(40.795656, -73.962295)",Manhattan
PS 89,10577,201 Warren Street,Warren Street,201,Warren Street,,A,New York,,10282,"(40.716566, -74.013333)",Manhattan
Master Apartments,10593,310 Riverside Drive,310 Riverside Drive,310,Riverside Drive,,A,New York,,10025,"(40.800245, -73.971231)",Manhattan
Prince George Hotel,10594,14 East 28 Street,14 East 28 Street,14,East 28 Street,,A,New York,,10016,"(40.74429, -73.986387)",Manhattan
HS For Leadership,10611,90 Trinity Place,90 Trinity Place,90,Trinity Place,,A,New York,,10006,"(40.708686, -74.012361)",Manhattan
Confucius Plaza,10612,33 Bowery,20 Confucius Plaza,33,Bowery,,A,New York,,10002,"(40.715243, -73.99666)",Manhattan
Kenmore Hall,10614,145 East 23 Street,145 East 23 Street,145,East 23 Street,,A,New York,,10010,"(40.739339, -73.984332)",Manhattan
Metro Council on Jewish Poverty,10620,351 East 61 St bet. 2nd & 1st ave.,351 East 61 St bet. 2nd & 1st ave.,351,East 61 Street,,A,New York,,10065,"(40.761204, -73.961859)",Manhattan
Washington Houses,10624,1955 2 Ave,1955 2 Ave,1955,2 Avenue,,A,New York,,10029,"(40.787129, -73.945009)",Manhattan
PS 4,10625,500 West 160 Street,500 West 160 Street,500,West 160 Street,,A,New York,,10032,"(40.834904, -73.941099)",Manhattan
Nagle House,10626,240 Nagle Ave,Perm Ramp(Right Of Main Entr),240,Nagle Avenue,,A,New York,,10034,"(40.862883, -73.921255)",Manhattan
3 North Resident  Hall,10630,75 3 Avenue,75 3 Avenue,75,3 Avenue,,A,New York,,10003,"(40.731615, -73.988393)",Manhattan
Residential Building,10657,45 Wall Street,45 Wall Street,45,Wall Street,,A,New York,,10005,"(40.706594, -74.009861)",Manhattan
The Regatta,10659,21 South End Avenue,21 South End Avenue,21,South End Avenue,,A,New York,,10280,"(40.708114, -74.01763)",Manhattan
Union Baptist Church,10666,240 West 145 Street,240 West 145 Street,240,West 145 Street,,A,New York,,10039,"(40.822155, -73.940319)",Manhattan
Red  Oak Apartments,10710,135 W 106 Street,135 W 106 Street,135,West 106 Street,,A,New York,,10025,"(40.799718, -73.963983)",Manhattan
CWA - 1180,10716,97 Hudson Street,97 Hudson Street,97,Hudson Street,,A,New York,,10013,"(40.719069, -74.008752)",Manhattan
River Place 1,10726,650 WEST 42ND STREET,1 River Place,650,West 42 Street,,A,New York,,10036,"(40.761396, -73.9997)",Manhattan
Christ Church,10727,520 Park Avenue,520 Park Avenue,520,Park Avenue,,A,New York,,10065,"(40.76369, -73.969244)",Manhattan
YMCA (McBurney),10742,125 West 14 Street,125 West 14 Street,125,West 14 Street,,A,New York,,10011,"(40.73775, -73.997748)",Manhattan
School Of Co-op Education,10744,321 East 96 Street,321 East 96 Street,321,East 96 Street,,A,New York,,10128,"(40.783954, -73.946377)",Manhattan
Coral Towers,10745,129-131 3 Avenue,129-131 3 Avenue,129,3 Avenue,,A,New York,,10003,"(40.733487, -73.987025)",Manhattan
PS 48,10746,4360 Broadway,Inaccessible Poll Site,4360,Broadway,,A,New York,,10033,"(40.853466, -73.934048)",Manhattan
Rutgers Presbyterian,10750,236 West 73 Street,Right Of Main Entrance,236,West 73 Street,,A,New York,,10023,"(40.779887, -73.982571)",Manhattan
Rutgers Presbyterian,10758,236 West 73 Street,236 West 73 Street,235,West 73 Street,,A,New York,,10023,"(40.779886, -73.982571)",Manhattan
Armenian Church,10759,630 2 Avenue,Btw 1 & 2 Ave E 35 St,630,2 Avenue,,A,New York,,10016,"(40.745082, -73.975647)",Manhattan
St Nicholas Sr Ctr,10760,210 West 131 Street,210 West 131 Street,210,West 131 Street,,A,New York,,10027,"(40.813007, -73.946205)",Manhattan
The Churchill,10761,300 East 40 Street,300 East 40 Street,300,East 40 Street,,A,New York,,10016,"(40.748479, -73.973019)",Manhattan
Sandra Thomas Apts,10762,102 West 91 Street,102 West 91 Street,102,West 91 Street,,A,New York,,10024,"(40.789864, -73.970322)",Manhattan
Samuels Community Center,10768,669 Malcolm X Blvd,669 Malcolm X Blvd,669,Malcolm X Boulevard,,A,New York,,10037,"(40.81937, -73.937027)",Manhattan
Halidon Court,10783,3681 Broadway,3681 Broadway,3681,Broadway,,A,New York,,10031,"(40.831051, -73.947087)",Manhattan
Seward Park High School,10794,350 Grand Street,55 ESSEX STREET,350,Grand Street,,A,New York,,10002,"(40.716777, -73.989337)",Manhattan
CUNY,10799,365 5 Avenue,365 5 Avenue,365,5 Avenue,,A,New York,,10016,"(40.748822, -73.984268)",Manhattan
Holy Trinity Cathedral,10837,337 East 74 Street,337 East 74 Street,337,East 74 Street,,A,New York,,10021,"(40.769719, -73.956435)",Manhattan
Lighthouse International,10892,110 East 60 Street,110 East 60 Street,110,East 60 Street,,A,New York,,10022,"(40.763308, -73.968803)",Manhattan
First Reformed Episc,10916,317 East 50 Street,317 East 50 Street,317,East 50 Street,,A,NY,,10022,"(40.754621, -73.967891)",Manhattan
210 Riverside Drive,10924,210 Riverside Drive,210 Riverside Drive,210,Riverside Drive,,A,New York,,10025,"(40.794152, -73.976297)",Manhattan
Emmanuel Church,10925,2184 8 Avenue,2184 8 Avenue,2184,8 Avenue,,A,New York,,10026,"(40.805531, -73.954544)",Manhattan
Columbia Housing,10926,414 West 120th Street,414 West 120th Street,414,West 120 Street,,A,New York,,10027,"(40.808832, -73.958021)",Manhattan
Antler Apartments,10927,2079 8th Avenue,2079 8th Avenue,2079,8 Avenue,,A,New York,,10026,"(40.802156, -73.957032)",Manhattan
Boricua College,10928,3755 Broadway,3755 Broadway,3755,Broadway,,A,New York,,10032,"(40.833342, -73.945419)",Manhattan
Covenant House,10930,460 West 41 Street,460 West 41 Street,460,West 41 Street,,A,New York,,10036,"(40.758654, -73.995116)",Manhattan
Baruch College Vertical Campus,10932,25th Street Bet. Lexington and 3rd Aves,25th Street Bet. Lexington and 3rd Aves,55,Lexington Avenue,,A,New York,,10010,"(40.740598, -73.983942)",Manhattan
250 West 94 Street,10944,250 West 94 Street,250 West 94 Street,250,West 94 Street,,A,New York,,10025,"(40.793523, -73.97317)",Manhattan
Continental East,10958,353 East 83 Street,353 East 83 Street,353,East 83 Street,,A,New York,,10028,"(40.775412, -73.951929)",Manhattan
Central Syn Pavilion,10980,652 Lexington Avenue,652 Lexington Avenue,652,Lexington Avenue,,A,New York,,10022,"(40.759485, -73.970195)",Manhattan
Kateri Residence,10981,150 Riverside Drive,150 Riverside Drive,150,Riverside Drive,,A,New York,,10024,"(40.790706, -73.979784)",Manhattan
Children's Museum,10982,182 Lafayette Street,182 Lafayette Street,182,Lafayette Street,,A,NY,,10013,"(40.72064, -73.998568)",Manhattan
Columbia Housing,10988,2700 Broadway,2700 Broadway,2700,Broadway,,A,New York,,10025,"(40.799368, -73.968411)",Manhattan
Stuyvesant Town II,M0002,10 Stuyvesant Oval,10 Stuyvesant Oval,10,Stuyvesant Oval,,A,New York,,10009,"(40.730732, -73.976201)",Manhattan
PS 9,M0004,100 West 84 Street,100 West 84 Street,100,West 84 Street,,A,New York,,10024,"(40.785344, -73.973567)",Manhattan
1775 Houses,M0007,107 East 126 Street,107 East 126 Street,107,East 126 Street,,A,New York,,10035,"(40.805554, -73.938105)",Manhattan
Schwab House,M0010,11 Riverside Drive,West 73 Street,11,Riverside Drive,,A,New York,,10023,"(40.780998, -73.985156)",Manhattan
Good Shepherd Church,M0011,110 Cooper Street,110 Cooper Street,110,Cooper Street,,A,New York,,10034,"(40.86885, -73.920764)",Manhattan
Civil Court,M0012,111 Centre Street,111 Centre Street,111,Centre Street,,A,New York,,10013,"(40.716267, -74.001313)",Manhattan
N Thomas H S,M0013,111 East 33 Street,111 East 33 Street,111,East 33 Street,,A,New York,,10016,"(40.746195, -73.981284)",Manhattan
Find Aid For Aged (Hargrave),M0014,111 West 71 Street,111 West 71 Street,111,West 71 Street,,A,New York,,10023,"(40.776988, -73.979867)",Manhattan
Triangle House,M0015,112 East 128 Street,112 East 128 Street,112,East 128 Street,,A,New York,,10035,"(40.806717, -73.937039)",Manhattan
PS 169,M0018,110 East 88 Street,East 88 Street,110,East 88 Street,,A,New York,,10128,"(40.78126, -73.955745)",Manhattan
PS 41,M0019,116 West 11 Street,116 West 11 Street,116,West 11 Street,,A,New York,,10011,"(40.735692, -73.999026)",Manhattan
Jewish Home & Hosp,M0021,120 West 106 Street,120 West 106 Street,120,West 106 Street,,A,New York,,10025,"(40.799584, -73.963708)",Manhattan
PS 63,M0023,121 East 3 Street,121 East 3 Street,121,East 3 Street,,A,New York,,10009,"(40.724166, -73.986489)",Manhattan
PS 2 (Meyer London),M0024,122 Henry Street,Madison St,122,Henry Street,,A,New York,,10002,"(40.713272, -73.99135)",Manhattan
PS 36,M0026,123 Morningside Drive,123 Morningside Drive,123,Morningside Drive,,A,New York,,10027,"(40.81027, -73.957482)",Manhattan
PS 140,M0027,123 Ridge Street,Rivington & Attorney Streets,123,Ridge Street,,A,New York,,10002,"(40.71925, -73.983056)",Manhattan
Esplanade Gardens,M0028,129 West 147 Street,West 147 Street,129,West 147 Street,,A,New York,,10039,"(40.822194, -73.936363)",Manhattan
PS 72,M0032,131 East 104 Street,131 East 104 Street,131,East 104 Street,,A,New York,,10029,"(40.791201, -73.94783)",Manhattan
PS 166,M0033,132 West 89 Street,West 89 St(Left Of Main Entr),132,West 89 Street,,A,New York,,10024,"(40.788865, -73.971847)",Manhattan
PS 144(M242),M0034,134 West 122 Street,134 West 122 Street,134,West 122 Street,,A,New York,,10027,"(40.806302, -73.94802)",Manhattan
Associated Blind,M0037,135 West 23 Street,135 West 23 Street,135,West 23 Street,,A,New York,,10011,"(40.74338, -73.993916)",Manhattan
Baruch Coll Newman Hall,M0038,137 East 22 Street,135 East 22 Street,137,East 22 Street,,A,New York,,10010,"(40.738705, -73.984891)",Manhattan
YM & YWHA (Lex. Ave),M0039,1395 Lexington Avenue,1395 Lexington Avenue,1395,Lexington Avenue,,A,New York,,10128,"(40.783051, -73.952978)",Manhattan
Lincoln Towers,M0041,140 West End Avenue,140 West End Avenue,140,West End Avenue,,A,New York,,10023,"(40.775844, -73.986814)",Manhattan
