Agency,Indicator ID,Indicator Name,Indicator Sequence,Sub-Indicator,Subindicator Sequence,Record Type,Desired Direction,Critical Flag,Geography,Measure Type,Fiscal Year,Conditional Format,Raw Value,Format Type,Value Percent,Value Number,Value Currency,Value Time,Value Ratio
HHC,1-1-05V7UVH,Become a Nurse,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,2.791272855754792,N,,2.79,,,
HHC,1-1-05V7UVH,Become a Nurse,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,2.475395168505816,N,,2.48,,,
HHC,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.394753113682537,N,,11.39,,,
HHC,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,13.569937369519833,N,,13.57,,,
HHC,1-1-033SHDQ,Immunization 19 and Older,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,3.114481700822291,N,,3.11,,,
HHC,1-1-01S673Y,Find a Public Hospital,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,59.23063333627772,N,,59.23,,,
HHC,1-1-01S673Y,Find a Public Hospital,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,57.72655617570619,N,,57.73,,,
HHC,1-1-00MHFI8,Find a Child Health Clinic,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,3.506757353590672,N,,3.51,,,
HHC,1-1-00MHFI8,Find a Child Health Clinic,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,3.297686506753014,N,,3.3,,,
FDNY,1-DW8D,Get a Job with FDNY,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,39.8302561048243,N,,39.83,,,
NYPD,1-EUST,Blocked Driveway - Vehicle,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.686144294624752,N,,6.69,,,
NYPD,1-EUST,Blocked Driveway - Vehicle,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.153800527892287,N,,6.15,,,
NYPD,1-1-06DNO0F,Find a Police Precinct or PSA by Name,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.479835209016091,N,,6.48,,,
NYPD,1-1-06DNO0F,Find a Police Precinct or PSA by Name,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.243430179489968,N,,6.24,,,
NYPD,1-1-0450K3S,Hot Transfer 911,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.665112941410142,N,,11.67,,,
NYPD,1-1-0450K3S,Hot Transfer 911,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,11.098589321549671,N,,11.1,,,
NYCHA,1-F2Z9,Public Housing Inquiries - Brooklyn,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.045376743508504,N,,6.05,,,
NYCHA,1-1-0A00P1P,NYCHA Section 8 - Voucher Holder Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,7.138234532746571,N,,7.14,,,
NYCHA,1-1-08QJ8T1,NYCHA Section 8 Program Cuts,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.869915146217998,N,,7.87,,,
NYCHA,1-1-08QJ8T1,NYCHA Section 8 Program Cuts,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,8.921175252394512,N,,8.92,,,
NYCHA,1-1-05Z051Z,Public Housing Maintenance,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,23.55511854036928,N,,23.56,,,
NYCHA,1-1-05Z051Z,Public Housing Maintenance,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,23.466217965311934,N,,23.47,,,
NYCHA,1-1-04TBW18,Public Housing Assistance Status - All Boroughs,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,12.615171710550275,N,,12.62,,,
NYCHA,1-1-04TBW18,Public Housing Assistance Status - All Boroughs,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,12.606782293554234,N,,12.61,,,
NYCHA,1-1-04TBW0O,Public Housing Application Information and Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,15.805382570377654,N,,15.81,,,
NYCHA,1-1-04TBW0O,Public Housing Application Information and Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,14.20851669686772,N,,14.21,,,
LPC,1-ECCX,Landmark Building Alteration Permit,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,38.39662447257383,N,,38.4,,,
LPC,1-ECCX,Landmark Building Alteration Permit,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,39.53488372093023,N,,39.53,,,
LPC,1-ECA5,Landmark and Historic District Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,45.56962025316456,N,,45.57,,,
LPC,1-ECA5,Landmark and Historic District Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,41.47286821705426,N,,41.47,,,
LPC,1-EC7D,Apply for Grant to Restore a Landmark,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.219409282700422,N,,4.22,,,
LPC,1-EC7D,Apply for Grant to Restore a Landmark,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.426356589147287,N,,5.43,,,
LPC,1-EC4L,Landmark Building Alteration Complaint - Painting,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,3.375527426160337,N,,3.38,,,
LPC,1-EC4L,Landmark Building Alteration Complaint - Painting,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.426356589147287,N,,5.43,,,
LPC,1-EC1T,Apply for Landmark Status,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.329113924050633,N,,6.33,,,
LPC,1-EC1T,Apply for Landmark Status,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,4.651162790697675,N,,4.65,,,
HRA,1-E7HX,Public Assistance or Welfare Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,12.039202291179485,N,,12.04,,,
HRA,1-E7HX,Public Assistance or Welfare Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,11.795415862063702,N,,11.8,,,
HRA,1-E6YH,Medicaid - Existing Applicant or Enrollee,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,5.692915385760705,N,,5.69,,,
DYCD,1-1-005P744,Immigration Assistance from Community-Based Organizations,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.238377577145938,N,,11.24,,,
DSNY,1-442L,Garbage Collection,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,9.378991901932519,N,,9.38,,,
DSNY,1-442L,Garbage Collection,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,10.49320610444489,N,,10.49,,,
DSNY,1-43X1,CFC and Freon Removal - Appointment,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,8.148460664018096,N,,8.15,,,
DSNY,1-43X1,CFC and Freon Removal - Appointment,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,8.734100801711447,N,,8.73,,,
DSNY,1-1-0AFE219,Illegal Dumping - Past,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.43284229277268,N,,4.43,,,
DSNY,1-1-09VO4XF,Mattress or Box Spring Disposal,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.033731188375714,N,,5.03,,,
DSNY,1-1-007BDBS,Recycling and Trash Collection Schedules,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,8.514104231855523,N,,8.51,,,
DSNY,1-1-007BDBS,Recycling and Trash Collection Schedules,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,7.006767418955127,N,,7.01,,,
DSNY,1-1-00124LW,Bulk Item Disposal Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,12.862567239742642,N,,12.86,,,
DSNY,1-1-00124LW,Bulk Item Disposal Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,14.100907617847348,N,,14.1,,,
DPR,1-1-02A9SII,"Wood Disposal, Chipping, and Pickup - Manhattan, Brooklyn, Queens, and Northwest Staten Island",0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,9.332763440611789,N,,9.33,,,
DPR,1-1-02A9SII,"Wood Disposal, Chipping, and Pickup - Manhattan, Brooklyn, Queens, and Northwest Staten Island",0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,11.667538529636634,N,,11.67,,,
DPR,1-1-027KXIA,Removal of Large Branch or Entire Tree - City Tree or Property,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,19.632419194602964,N,,19.63,,,
DPR,1-1-027KXIA,Removal of Large Branch or Entire Tree - City Tree or Property,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,19.634018751760493,N,,19.63,,,
DPR,1-1-01S64SM,Find a Park,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.399741237899407,N,,6.4,,,
DPR,1-1-01S64SM,Find a Park,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.299545289927972,N,,6.3,,,
DPR,1-1-01IG3I4,Park Maintenance Complaint,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.813668183813507,N,,4.81,,,
DPR,1-1-006JPNC,Find a Public Swimming Pool,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.837927130744172,N,,4.84,,,
DPR,1-1-006JPNC,Find a Public Swimming Pool,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.205021930707013,N,,5.21,,,
DPR,1-1-000N0JS,Standing Dead Tree Removal - City Tree,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,4.141684439257977,N,,4.14,,,
DOT,1-2761,Traffic or Pedestrian Signal Condition,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,5.384336162342489,N,,5.38,,,
DOT,1-2761,Traffic or Pedestrian Signal Condition,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.89447701326751,N,,6.89,,,
DOT,1-26S5,Streetlight Condition,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.08347017440755,N,,7.08,,,
DOT,1-26S5,Streetlight Condition,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,12.025609379821042,N,,12.03,,,
DOT,1-1TQP,Pothole on Street,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.991962387430212,N,,4.99,,,
DOT,1-1TQP,Pothole on Street,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.878278309163838,N,,6.88,,,
DOT,1-1-03KKZSO,Muni-Meter Defective or Damaged,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.781584360361606,N,,11.78,,,
DOT,1-1-03KKZSO,Muni-Meter Defective or Damaged,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,7.769207034865783,N,,7.77,,,
FDNY,1-DOFT,Fire Hazard Complaint,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,13.485102942091187,N,,13.49,,,
FDNY,1-DOFT,Fire Hazard Complaint,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,8.885497319833235,N,,8.89,,,
FDNY,1-1-02VL9BQ,Fire Hydrant Recreational Use,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.296137339055794,N,,7.3,,,
FDNY,1-1-02VL9BQ,Fire Hydrant Recreational Use,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.944758784991066,N,,5.94,,,
FDNY,1-1-01Z290M,Upcoming Fireworks Displays,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.824842943335199,N,,7.82,,,
FDNY,1-1-00NT33C,Ambulance Patient Locator,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.34540026124277,N,,11.35,,,
FDNY,1-1-00NT33C,Ambulance Patient Locator,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.019207861822514,N,,6.02,,,
FDNY,1-1-00G1YSG,Locate a Firehouse - Brooklyn,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,8.247807426758724,N,,8.25,,,
FDNY,1-1-00G1YSG,Locate a Firehouse - Brooklyn,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.855419892793329,N,,5.86,,,
EDC,1-1-0D4BNNH,ConnectNYC,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,0.386847195357834,N,,0.39,,,
EDC,1-1-087M739,Construction Project Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,29.40038684719536,N,,29.4,,,
EDC,1-1-087M739,Construction Project Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,20.930232558139537,N,,20.93,,,
EDC,1-1-0789UNJ,Capital Access - Small Business Loan,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,13.539651837524177,N,,13.54,,,
EDC,1-1-0789UNJ,Capital Access - Small Business Loan,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,15.11627906976744,N,,15.12,,,
EDC,1-1-0686I21,Noise from Helicopter,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,55.89941972920697,N,,55.9,,,
EDC,1-1-0686I21,Noise from Helicopter,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,61.461794019933556,N,,61.46,,,
EDC,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,0.386847195357834,N,,0.39,,,
EDC,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,0.664451827242525,N,,0.66,,,
EDC,1-1-033SHFY,Service Request Follow-Up,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,0.386847195357834,N,,0.39,,,
EDC,1-1-033SHFY,Service Request Follow-Up,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,0.830564784053156,N,,0.83,,,
DYCD,1-CYZ5,Youth Services and Counseling - Youth Connect,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,7.71382893685052,N,,7.71,,,
DYCD,1-CYIH,Shelter and Assistance for Runaway or Homeless Youth,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,10.106454655706779,N,,10.11,,,
DYCD,1-CYIH,Shelter and Assistance for Runaway or Homeless Youth,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,10.271782573940849,N,,10.27,,,
DYCD,1-CXFL,Literacy and GED Instruction for Adults,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,16.332030723622154,N,,16.33,,,
DYCD,1-CXFL,Literacy and GED Instruction for Adults,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,17.306155075939248,N,,17.31,,,
DYCD,1-1-05SKEZ9,Literacy and GED Instruction for Non-English Speakers,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,10.066028837083952,N,,10.07,,,
DYCD,1-1-05SKEZ9,Literacy and GED Instruction for Non-English Speakers,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,9.738875566213697,N,,9.74,,,
DYCD,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,11.211427031397387,N,,11.21,,,
DYCD,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,13.056221689315214,N,,13.06,,,
TLC,1-1-0AFQ2OT,Lost Property in a Taxi - Medallion Number Not Found by 311,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.158463238001718,N,,7.16,,,
TLC,1-1-0AFQ2OT,Lost Property in a Taxi - Medallion Number Not Found by 311,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.758158634104171,N,,6.76,,,
TLC,1-1-04314NA,Taxi Complaint - Rude or Discourteous,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,2.921979684460774,N,,2.92,,,
TLC,1-1-04314JY,Taxi Complaint - Pick-Up Refused,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,3.812446299251258,N,,3.81,,,
TLC,1-1-04314JY,Taxi Complaint - Pick-Up Refused,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.024854117138535,N,,5.02,,,
TLC,1-1-00K5UBO,Yellow Taxi Fare Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,3.169264760034368,N,,3.17,,,
SCA,1-9U61,School Construction Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,9.705882352941178,N,,9.71,,,
SCA,1-9U61,School Construction Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,9.161793372319687,N,,9.16,,,
SCA,1-9T35,School Construction Complaint,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,89.70588235294117,N,,89.71,,,
SCA,1-9T35,School Construction Complaint,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,90.44834307992203,N,,90.45,,,
SCA,1-1-033SHG8,Staff Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,0.588235294117647,N,,0.59,,,
SCA,1-1-033SHG8,Staff Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,0.389863547758285,N,,0.39,,,
SBS,1-9XY5,Help Starting a Small Business,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,21.845483167837248,N,,21.85,,,
SBS,1-9XY5,Help Starting a Small Business,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,24.304908873220697,N,,24.3,,,
SBS,1-1-08GMZU5,Job Seeker Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,6.430128360377815,N,,6.43,,,
SBS,1-1-08GMZU5,Job Seeker Assistance,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,7.662631368897166,N,,7.66,,,
SBS,1-1-04N0VC0,NYC Business Express Website - General Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,8.354396700811494,N,,8.35,,,
SBS,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,7.544199564059094,N,,7.54,,,
SBS,1-1-025DIW4,Find a Workforce1 Career Center,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,30.34633083070962,N,,30.35,,,
SBS,1-1-025DIW4,Find a Workforce1 Career Center,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,29.09405347878143,N,,29.09,,,
SBS,1-1-005RMJC,Find a NYC Business Solutions Center,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,8.585613950108986,N,,8.59,,,
SBS,1-1-005RMJC,Find a NYC Business Solutions Center,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,9.977384594918187,N,,9.98,,,
QPL,1-AK8X,Find a Library - Queens,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,47.91666666666667,N,,47.92,,,
QPL,1-AK8X,Find a Library - Queens,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,55.57461406518011,N,,55.57,,,
QPL,1-AK65,General Information - Queens Public Library,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,5.9375,N,,5.94,,,
QPL,1-AK65,General Information - Queens Public Library,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,5.23156089193825,N,,5.23,,,
QPL,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,19.166666666666668,N,,19.17,,,
QPL,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,20.06861063464837,N,,20.07,,,
BIC,1-7H25,Trade Waste License Registration,0,,0,INQ,NA,NA,NA,Rank,2012,,3,N,,3,,,
BIC,1-1-03KKXU4,Division Referral,0,,0,INQ,NA,NA,NA,Rank,2012,,5,N,,5,,,
BIC,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,Rank,2013,,5,N,,5,,,
BIC,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,Rank,2012,,4,N,,4,,,
BIC,1-1-033SHG8,Staff Information Provided,0,,0,INQ,NA,NA,NA,Rank,2013,,4,N,,4,,,
ACS,1-1-08LUCD7,Child Care Financial Assistance - Eligibility and Application Online,0,,0,INQ,NA,NA,NA,Rank,2013,,4,N,,4,,,
ACS,1-1-08LUCD7,Child Care Financial Assistance - Eligibility and Application Online,0,,0,INQ,NA,NA,NA,Rank,2012,,4,N,,4,,,
ACS,1-1-08LUBWJ,Child Care Financial Assistance - Eligibility and Application In Person or By Phone,0,,0,INQ,NA,NA,NA,Rank,2013,,5,N,,5,,,
ACS,1-1-08LUBWJ,Child Care Financial Assistance - Eligibility and Application In Person or By Phone,0,,0,INQ,NA,NA,NA,Rank,2012,,5,N,,5,,,
ACS,1-1-08LUBVZ,Child Care Financial Assistance - Children's Services Clients,0,,0,INQ,NA,NA,NA,Rank,2013,,2,N,,2,,,
ACS,1-1-08LUBVZ,Child Care Financial Assistance - Children's Services Clients,0,,0,INQ,NA,NA,NA,Rank,2012,,2,N,,2,,,
ACS,1-1-08LUB47,Child Care Financial Assistance - Eligibility Information and Application By Mail,0,,0,INQ,NA,NA,NA,Rank,2013,,1,N,,1,,,
ACS,1-1-08LUB47,Child Care Financial Assistance - Eligibility Information and Application By Mail,0,,0,INQ,NA,NA,NA,Rank,2012,,1,N,,1,,,
ACS,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,Rank,2013,,3,N,,3,,,
ACS,1-1-03KKXTU,Division Information Provided,0,,0,INQ,NA,NA,NA,Rank,2012,,3,N,,3,,,
311,1-394P,Contact Information - Directory Assistance,0,,0,INQ,NA,NA,NA,Rank,2013,,3,N,,3,,,
311,1-394P,Contact Information - Directory Assistance,0,,0,INQ,NA,NA,NA,Rank,2012,,3,N,,3,,,
311,1-38WD,City Worker or Agency Complaint or Compliment,0,,0,INQ,NA,NA,NA,Rank,2013,,4,N,,4,,,
311,1-38WD,City Worker or Agency Complaint or Compliment,0,,0,INQ,NA,NA,NA,Rank,2012,,4,N,,4,,,
311,1-1-08VBLIR,Service Request Status - General,0,,0,INQ,NA,NA,NA,Rank,2013,,2,N,,2,,,
311,1-1-08VBLIR,Service Request Status - General,0,,0,INQ,NA,NA,NA,Rank,2012,,2,N,,2,,,
311,1-1-033SHFO,Outside of 311 Jurisdiction,0,,0,INQ,NA,NA,NA,Rank,2013,,5,N,,5,,,
311,1-1-033SHFO,Outside of 311 Jurisdiction,0,,0,INQ,NA,NA,NA,Rank,2012,,5,N,,5,,,
311,1-1-033SHF4,Caller Hung Up,0,,0,INQ,NA,NA,NA,Rank,2013,,1,N,,1,,,
311,1-1-033SHF4,Caller Hung Up,0,,0,INQ,NA,NA,NA,Rank,2012,,1,N,,1,,,
TLC,1-1-0AH4UMX,Lost Property in a Taxi - Medallion Number Unknown,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,29.62808395728489,N,,29.63,,,
TLC,1-1-0AH4UMX,Lost Property in a Taxi - Medallion Number Unknown,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,31.32915496001729,N,,31.33,,,
TLC,1-1-0AGZFGT,Lost Property in a Taxi - Medallion Number Known,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,27.80900945133178,N,,27.81,,,
TLC,1-1-0AGZFGT,Lost Property in a Taxi - Medallion Number Known,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,27.72422736114113,N,,27.72,,,
OCME,1-C7NT,Cremation Inquiries,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,6.598240469208211,N,,6.6,,,
OCME,1-C7L1,Death Inquiries,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,62.910128388017114,N,,62.91,,,
OCME,1-C7L1,Death Inquiries,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,63.34310850439883,N,,63.34,,,
OCME,1-C7I9,World Trade Center DNA Samples,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,0.998573466476462,N,,1,,,
OCME,1-C7I9,World Trade Center DNA Samples,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,0.733137829912024,N,,0.73,,,
OATH,1-1-0CS99GR,ECB Violation - Online Ticket Finder,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,4.691926345609065,N,,4.69,,,
OATH,1-1-0BUIHZF,ECB Violation - Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,23.03470254957507,N,,23.03,,,
OATH,1-1-0BUI81D,ECB Violation - Request Status or Copy,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,29.621104815864026,N,,29.62,,,
OATH,1-1-0BU7QS9,ECB Borough Office Locations,0,,0,INQ,NA,NA,NA,% of Inquiries,2013,,10.924220963172806,N,,10.92,,,
OATH,1-1-0B153A1,Settling a Food Service Establishment Health Violation,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,21.97891321978913,N,,21.98,,,
OATH,1-1-0AZMUXL,Notice of Health Violation - General Information,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,28.710462287104622,N,,28.71,,,
OATH,1-1-0AZEK75,Notice of Health Violation - Lost or Unreadable,0,,0,INQ,NA,NA,NA,% of Inquiries,2012,,17.761557177615572,N,,17.76,,,
