BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF CLASSES,TOTAL REGISTER,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO
M,1,M020,P.S. 020 ANNA SILVER,0K,CTT,-,-,-,1,19,19,19,19,ATS,
M,1,M020,P.S. 020 ANNA SILVER,01,GEN ED,-,-,-,3,64,21.3,20,24,ATS,
M,1,M020,P.S. 020 ANNA SILVER,01,CTT,-,-,-,1,19,19,19,19,ATS,
M,1,M020,P.S. 020 ANNA SILVER,02,GEN ED,-,-,-,3,60,20,19,21,ATS,
M,1,M020,P.S. 020 ANNA SILVER,02,CTT,-,-,-,1,18,18,18,18,ATS,
M,1,M020,P.S. 020 ANNA SILVER,03,GEN ED,-,-,-,3,67,22.3,22,23,ATS,
M,1,M020,P.S. 020 ANNA SILVER,03,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M020,P.S. 020 ANNA SILVER,04,GEN ED,-,-,-,5,95,19,17,21,ATS,
M,1,M020,P.S. 020 ANNA SILVER,05,GEN ED,-,-,-,3,56,18.7,17,20,ATS,
M,1,M020,P.S. 020 ANNA SILVER,05,CTT,-,-,-,1,22,22,22,22,ATS,
M,1,M020,P.S. 020 ANNA SILVER,0K-09,SPEC ED,-,-,12:1:1,3,27,9,9,9,ATS,
M,1,M020,P.S. 020 ANNA SILVER,,,,,,,,,,,,12.7
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,0K,GEN ED,-,-,-,2,31,15.5,15,16,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,01,GEN ED,-,-,-,1,18,18,18,18,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,01,CTT,-,-,-,1,20,20,20,20,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,02,GEN ED,-,-,-,1,15,15,15,15,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,02,CTT,-,-,-,1,17,17,17,17,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,03,GEN ED,-,-,-,1,17,17,17,17,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,03,CTT,-,-,-,1,16,16,16,16,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,04,GEN ED,-,-,-,1,17,17,17,17,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,04,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,05,GEN ED,-,-,-,1,16,16,16,16,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,05,CTT,-,-,-,1,22,22,22,22,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,06,GEN ED,-,-,-,1,26,26,26,26,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,06,CTT,-,-,-,1,29,29,29,29,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,07,GEN ED,-,-,-,1,27,27,27,27,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,07,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,08,GEN ED,-,-,-,1,28,28,28,28,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,08,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,0K-09,SPEC ED,-,-,12:1,1,11,11,11,11,ATS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,GEN ED,ENGLISH,-,-,3,81,27,26,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,GEN ED,MATH,-,-,3,81,27,26,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,GEN ED,SCIENCE,-,-,3,81,27,26,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,GEN ED,SOCIAL STUDIES,-,-,3,81,27,26,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,CTT,ENGLISH,-,-,3,74,24.7,23,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,CTT,MATH,-,-,3,74,24.7,23,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,CTT,SCIENCE,-,-,3,74,24.7,23,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,CTT,SOCIAL STUDIES,-,-,3,74,24.7,23,28,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SPEC ED,ENGLISH,-,-,2,22,11,11,11,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SPEC ED,MATH,-,-,2,22,11,11,11,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SPEC ED,SCIENCE,-,-,2,22,11,11,11,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,MS Core,SPEC ED,SOCIAL STUDIES,-,-,2,22,11,11,11,STARS,
M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,,,,,,,,,,,,9.6
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K,GEN ED,-,-,-,1,13,13,13,13,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K,CTT,-,-,-,1,13,13,13,13,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,01,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,02,CTT,-,-,-,1,21,21,21,21,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,03,CTT,-,-,-,1,11,11,11,11,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,04,GEN ED,-,-,-,1,19,19,19,19,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,04,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,05,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,0K-09,SPEC ED,-,-,12:1:1,1,8,8,8,8,ATS,
M,1,M063,P.S. 063 WILLIAM MCKINLEY,,,,,,,,,,,,8.1
M,1,M064,P.S. 064 ROBERT SIMON,0K,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,0K,CTT,-,-,-,1,22,22,22,22,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,01,GEN ED,-,-,-,1,20,20,20,20,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,01,CTT,-,-,-,1,19,19,19,19,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,02,GEN ED,-,-,-,1,19,19,19,19,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,02,CTT,-,-,-,1,19,19,19,19,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,03,GEN ED,-,-,-,1,22,22,22,22,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,03,CTT,-,-,-,1,19,19,19,19,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,04,GEN ED,-,-,-,1,25,25,25,25,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,04,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,05,GEN ED,-,-,-,2,34,17,17,17,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,0K-09,SPEC ED,-,-,12:1,2,24,12,12,12,ATS,
M,1,M064,P.S. 064 ROBERT SIMON,,,,,,,,,,,,9.8
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,GEN ED,-,-,-,1,26,26,26,26,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K,G&T,-,-,-,1,14,14,14,14,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,CTT,-,-,-,1,25,25,25,25,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,01,G&T,-,-,-,1,24,24,24,24,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,GEN ED,-,-,-,1,25,25,25,25,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,02,G&T,-,-,-,1,29,29,29,29,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,GEN ED,-,-,-,1,29,29,29,29,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,03,G&T,-,-,-,1,25,25,25,25,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,CTT,-,-,-,1,22,22,22,22,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,04,G&T,-,-,-,1,21,21,21,21,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,GEN ED,-,-,-,1,24,24,24,24,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,05,G&T,-,-,-,1,28,28,28,28,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,0K-09,SPEC ED,-,-,12:1:1,1,11,11,11,11,ATS,
M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,,,,,,,,,,,,13.6
M,1,M134,P.S. 134 HENRIETTA SZOLD,0K,GEN ED,-,-,-,3,51,17,15,19,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,01,GEN ED,-,-,-,2,38,19,19,19,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,01,CTT,-,-,-,1,21,21,21,21,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,02,GEN ED,-,-,-,2,53,26.5,26,27,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,03,GEN ED,-,-,-,2,43,21.5,21,22,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,04,GEN ED,-,-,-,3,53,17.7,16,19,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,05,GEN ED,-,-,-,3,63,21,19,23,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,0K-09,SPEC ED,-,-,12:1,2,24,12,12,12,ATS,
M,1,M134,P.S. 134 HENRIETTA SZOLD,,,,,,,,,,,,11.7
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,0K,GEN ED,-,-,-,2,37,18.5,18,19,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,01,GEN ED,-,-,-,1,18,18,18,18,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,02,GEN ED,-,-,-,1,20,20,20,20,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,03,GEN ED,-,-,-,1,12,12,12,12,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,03,CTT,-,-,-,1,16,16,16,16,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,04,GEN ED,-,-,-,1,23,23,23,23,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,05,GEN ED,-,-,-,1,27,27,27,27,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,0K-09,SPEC ED,-,-,12:1:1,3,32,10.7,9,12,ATS,
M,1,M137,P.S. 137 JOHN L. BERNSTEIN,,,,,,,,,,,,9.1
M,1,M140,P.S. 140 NATHAN STRAUS,0K,GEN ED,-,-,-,2,35,17.5,16,19,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,01,GEN ED,-,-,-,1,15,15,15,15,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,01,CTT,-,-,-,1,16,16,16,16,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,02,GEN ED,-,-,-,1,27,27,27,27,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,03,GEN ED,-,-,-,1,26,26,26,26,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,04,GEN ED,-,-,-,1,32,32,32,32,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,05,GEN ED,-,-,-,1,18,18,18,18,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,05,CTT,-,-,-,1,21,21,21,21,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,06,GEN ED,-,-,-,2,57,28.5,28,29,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,07,GEN ED,-,-,-,2,61,30.5,30,31,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,08,GEN ED,-,-,-,1,35,35,35,35,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,08,CTT,-,-,-,1,26,26,26,26,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,0K-09,SPEC ED,-,-,12:1,1,9,9,9,9,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,0K-09,SPEC ED,-,-,12:1:1,2,19,9.5,7,12,ATS,
M,1,M140,P.S. 140 NATHAN STRAUS,MS Core,GEN ED,ENGLISH,-,-,5,153,30.6,28,35,STARS,
M,1,M140,P.S. 140 NATHAN STRAUS,MS Core,GEN ED,MATH,-,-,5,153,30.6,28,35,STARS,
M,1,M140,P.S. 140 NATHAN STRAUS,MS Core,GEN ED,SOCIAL STUDIES,-,-,5,153,30.6,28,35,STARS,
M,1,M140,P.S. 140 NATHAN STRAUS,MS Core,CTT,ENGLISH,-,-,1,27,27,27,27,STARS,
M,1,M140,P.S. 140 NATHAN STRAUS,MS Core,CTT,MATH,-,-,1,27,27,27,27,STARS,
M,1,M140,P.S. 140 NATHAN STRAUS,MS Core,CTT,SOCIAL STUDIES,-,-,1,27,27,27,27,STARS,
M,1,M140,P.S. 140 NATHAN STRAUS,,,,,,,,,,,,11.4
M,1,M142,P.S. 142 AMALIA CASTRO,0K,GEN ED,-,-,-,2,46,23,22,24,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,0K,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,01,GEN ED,-,-,-,2,38,19,18,20,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,01,CTT,-,-,-,1,17,17,17,17,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,02,GEN ED,-,-,-,2,39,19.5,19,20,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,02,CTT,-,-,-,1,22,22,22,22,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,03,GEN ED,-,-,-,2,34,17,15,19,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,03,CTT,-,-,-,1,23,23,23,23,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,04,GEN ED,-,-,-,3,66,22,21,23,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,05,GEN ED,-,-,-,2,43,21.5,20,23,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,05,CTT,-,-,-,1,19,19,19,19,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,0K-09,SPEC ED,-,-,12:1:1,2,22,11,9,13,ATS,
M,1,M142,P.S. 142 AMALIA CASTRO,,,,,,,,,,,,11.1
M,1,M184,P.S. 184M SHUANG WEN,0K,GEN ED,-,-,-,3,70,23.3,23,24,ATS,
M,1,M184,P.S. 184M SHUANG WEN,0K,CTT,-,-,-,1,21,21,21,21,ATS,
M,1,M184,P.S. 184M SHUANG WEN,01,GEN ED,-,-,-,3,65,21.7,21,22,ATS,
M,1,M184,P.S. 184M SHUANG WEN,02,GEN ED,-,-,-,3,67,22.3,22,23,ATS,
M,1,M184,P.S. 184M SHUANG WEN,03,GEN ED,-,-,-,3,73,24.3,24,25,ATS,
M,1,M184,P.S. 184M SHUANG WEN,04,GEN ED,-,-,-,2,66,33,32,34,ATS,
M,1,M184,P.S. 184M SHUANG WEN,05,GEN ED,-,-,-,2,59,29.5,29,30,ATS,
M,1,M184,P.S. 184M SHUANG WEN,06,GEN ED,-,-,-,2,56,28,27,29,ATS,
M,1,M184,P.S. 184M SHUANG WEN,07,GEN ED,-,-,-,2,53,26.5,25,28,ATS,
M,1,M184,P.S. 184M SHUANG WEN,08,GEN ED,-,-,-,2,57,28.5,28,29,ATS,
M,1,M184,P.S. 184M SHUANG WEN,MS Core,GEN ED,ENGLISH,-,-,6,166,27.7,26,29,STARS,
M,1,M184,P.S. 184M SHUANG WEN,MS Core,GEN ED,MATH,-,-,4,109,27.3,26,29,STARS,
M,1,M184,P.S. 184M SHUANG WEN,MS Core,GEN ED,SCIENCE,-,-,6,166,27.7,26,29,STARS,
M,1,M184,P.S. 184M SHUANG WEN,09-12,GEN ED,MATH,ALGEBRA,-,2,44,22,21,23,STARS,
M,1,M184,P.S. 184M SHUANG WEN,,,,,,,,,,,,15.7
M,1,M188,P.S. 188 THE ISLAND SCHOOL,0K,GEN ED,-,-,-,1,17,17,17,17,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,01,GEN ED,-,-,-,2,31,15.5,15,16,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,02,GEN ED,-,-,-,2,27,13.5,12,15,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,03,GEN ED,-,-,-,1,13,13,13,13,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,04,GEN ED,-,-,-,1,24,24,24,24,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,05,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,06,GEN ED,-,-,-,1,20,20,20,20,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,06,CTT,-,-,-,1,24,24,24,24,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,07,CTT,-,-,-,2,43,21.5,21,22,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,08,CTT,-,-,-,2,62,31,28,34,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,0K-09,SPEC ED,-,-,12:1:1,1,6,6,6,6,ATS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,GEN ED,ENGLISH,-,-,3,76,25.3,21,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,GEN ED,MATH,-,-,3,76,25.3,21,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,GEN ED,SCIENCE,-,-,3,76,25.3,21,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,GEN ED,SOCIAL STUDIES,-,-,3,76,25.3,21,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,CTT,ENGLISH,-,-,3,72,24,20,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,CTT,MATH,-,-,3,72,24,20,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,CTT,SCIENCE,-,-,3,72,24,20,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,MS Core,CTT,SOCIAL STUDIES,-,-,3,72,24,20,31,STARS,
M,1,M188,P.S. 188 THE ISLAND SCHOOL,,,,,,,,,,,,12.1
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,06,GEN ED,-,-,-,2,28,14,13,15,ATS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,06,CTT,-,-,-,1,11,11,11,11,ATS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,07,GEN ED,-,-,-,2,43,21.5,21,22,ATS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,08,GEN ED,-,-,-,3,67,22.3,20,26,ATS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,0K-09,SPEC ED,-,-,12:1,1,14,14,14,14,ATS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,0K-09,SPEC ED,-,-,12:1:1,1,9,9,9,9,ATS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,GEN ED,ENGLISH,-,-,5,108,21.6,20,25,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,GEN ED,MATH,-,-,7,138,19.7,14,25,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,GEN ED,SCIENCE,-,-,7,138,19.7,14,25,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,GEN ED,SOCIAL STUDIES,-,-,7,137,19.6,14,25,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,CTT,MATH,-,-,1,12,12,12,12,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,CTT,SCIENCE,-,-,1,12,12,12,12,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,CTT,SOCIAL STUDIES,-,-,1,12,12,12,12,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,SPEC ED,ENGLISH,-,-,1,14,14,14,14,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,SPEC ED,MATH,-,-,1,14,14,14,14,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,SPEC ED,SCIENCE,-,-,1,14,14,14,14,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,MS Core,SPEC ED,SOCIAL STUDIES,-,-,1,14,14,14,14,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 9,-,4,89,22.3,19,29,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 10,-,3,73,24.3,20,27,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 11,-,3,63,21,13,27,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,ENGLISH 12,-,2,56,28,28,28,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,ENGLISH,OTHER,-,2,37,18.5,15,22,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,ALGEBRA,-,9,210,23.3,16,34,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,MATH,GEOMETRY,-,5,94,18.8,10,28,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,EARTH SCIENCE,-,4,101,25.3,20,33,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,-,4,84,21,17,25,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SCIENCE,CHEMISTRY,-,3,68,22.7,18,26,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,CTT,SCIENCE,LIVING ENVIRONMENT,-,2,35,17.5,11,24,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 9,-,4,90,22.5,16,29,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,GLOBAL HISTORY 10,-,4,88,22,16,32,STARS,
M,1,M292,HENRY STREET SCHOOL FOR INTERNATIONAL ST,09-12,GEN ED,SOCIAL STUDIES,US HISTORY,-,3,88,29.3,27,33,STARS,
