vac_date,num,pf,street,typ,sf,bor,date_of_lif,area_vac,div
10/28/2011,13-15,,CORNAGA,AVE,,QU,,BASEMENT,13
11/03/2011,719,,CAULDWELL,AVE,,BX,,2 FRONT RMS 1 REAR RM,6
11/14/2011,83,,HUMBOLDT,ST,,BR,,2ND FLOOR,11
11/16/2011,176,,SUYDAM,ST,,BR,,BASEMENT,11
11/25/2011,2443,,MORRIS,AVE,,BX,,"1A, 1B, 2A, 2B, 2D (1=BSMT)",7
12/05/2011,2027,,MORRIS,AVE,,BX,,"3C, 1C & BSMT 1",7
12/15/2011,686,,GREENE,AVE,,BR,,TOP FLOOR FRONT,11
12/15/2011,1193,,ATLANTIC,AVE,,BR,,2ND FLOOR,11
12/19/2011,370,,WILLIS,AVE,,BX,,2ND 3RD & 4TH FLOORS,6
01/04/2012,1655,E,4,ST,,BR,,BASEMENT,15
01/04/2012,1655,E,4,ST,,BR,,BASEMENT,15
01/15/2012,3034,,GRAND,,,BX,,BASEMENT METER ROOM,7
01/19/2012,309,,LINCOLN,RD,,BR,,BASEMENT,15
01/30/2012,541,,LEXINGTON,AVE,,BR,,"BSMT, 1 & 2 FLOOR",11
02/03/2012,1702,,CLAY,AVE,,BX,,3 BSMT SROS,7
02/10/2012,1322,,COMMERCE,AVE,,BX,,HOUSE BOAT AT SLIP # 2,6
02/24/2012,248,,ECHO,PL,,BX,,ALL FLOORS,6
03/05/2012,461,,WILLIS,AVE,,BX,,BASEMENT 5 SROS,6
03/19/2012,727,,PROSPECT,AVE,,BX,,"3 FLOOR, 3 ROOMS",6
03/23/2012,64,,STANHOPE,ST,,BR,,3RD FLOOR 4 ROOMS,15
03/30/2012,432,E,142,ST,,BX,,3RD FLOOR FRONT AND REAR,6
03/30/2012,1309,,HARROD,AVE,,BX,,BASEMENT (RIGHT REAR APT),6
04/09/2012,95,,COOPER,ST,,BR,,2ND FLOOR MIDDLE ROOM,15
04/10/2012,26,,MALCOLM X,BLV,,BR,,2ND FLOOR 2 ROOMS,11
04/13/2012,269,,ALEXANDER,AVE,,BX,,2ND & 3RD FLOOR FRONT AND,6
04/13/2012,1460,,BRYANT,AVE,,BX,,ENTIRE BUILDING,6
04/16/2012,2094,,VALENTINE,AVE,,BX,,1ST 2ND 3RD FLOOR REAR,7
04/17/2012,930,,FLUSHING,AVE,,BR,,2ND FLOOR (REST. SUPPLY,11
04/19/2012,80,,EVERGREEN,AVE,,BR,,ENTIRE BUILDING,11
05/02/2012,882,,IRVINE,ST,,BX,,BASEMENT - 5 ROOMS,6
05/08/2012,70,A,LINDEN,STR,,BR,,3RD FLOOR & 4TH FLOOR,15
05/11/2012,132,,GRAHAM,AVE,,BR,,BASEMENT 3 ROOMS,11
05/23/2012,96,N,6,ST,,BR,,2ND FLOOR - 8 ROOMS,11
06/01/2012,757,,COSTER,ST,,BX,,"BASEMENT, 2ND AND 3RD",6
06/06/2012,993,,MORRIS,AVE,,BX,,BASEMENT,6
06/06/2012,1699,,TOPPING,AVE,,BX,,2ND AND 3RD FLOOR,6
06/27/2012,930,,FLUSHING,AVE,,BR,,RESTURANT SUPPLY,11
06/28/2012,1233,,BOYNTON,AVE,,BX,,2ND FLOOR,6
07/02/2012,1536,,JESUP,AVE,,BX,,BASEMENT,6
07/02/2012,1423,,ST MARKS,AVE,,BR,,REAR ROOMS ON ALL FLOORS,15
07/07/2012,64,,WASHINGTON,AVE,,BR,,2R & 3R,11
07/16/2012,1216,,OLMSTEAD,AVE,,BX,,ENTIRE BUILDING,6
08/28/2012,1234,,INTERVALE,AVE,,BX,,ENTIRE 1ST AND 2ND FLOOR,6
09/14/2012,3042,,BRIGHTON 14,ST,,BR,,BASEMENT 3 SROS,8
09/26/2012,921,,MONTGOMERY,ST,,BR,,ENTIRE BASEMENT,15
09/27/2012,899,,MONTGOMERY,ST,,BR,,ENTIRE BASEMENT,15
10/04/2012,20,E,BROADWAY,,,MA,,2ND - 5TH FLOORS,1
10/17/2012,346,E,173,ST,,BR,,APT 3A & 3E,6
10/31/2012,1102,,STRATFORD,AVE,,BX,,4 APTS ON 3RD FLOOR,6
11/07/2012,61-11,,159,ST,,QU,,3RD FLOOR,14
