BRONX CONDOMINIUM PROPERTY Boro-Block-Lot,BRONX CONDOMINIUM PROPERTY Condo Section,BRONX CONDOMINIUM PROPERTY Address,BRONX CONDOMINIUM PROPERTY Neighborhood,BRONX CONDOMINIUM PROPERTY Building Classification,BRONX CONDOMINIUM PROPERTY Total Units,BRONX CONDOMINIUM PROPERTY Year Built,BRONX CONDOMINIUM PROPERTY Gross SqFt,BRONX CONDOMINIUM PROPERTY Est. Gross Income,BRONX CONDOMINIUM PROPERTY Gross Income per SqFt,BRONX CONDOMINIUM PROPERTY Full Market Value,BRONX CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
2-03083-7501,90-R1,2135 CROTONA AVENUE,EAST TREMONT,R2-WALK-UP,16,2006,14200,269800,19,912000,64,2-03077-0050,2463 HUGHES AVENUE,BELMONT,C1-WALK-UP,16,2004,13520,227559,16.83,851000,63,0.45,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,156480,20.73,585000,77,2.8
2-03103-7501,110-R1,2324 BEAUMONT AVENUE,BELMONT,R2-WALK-UP,40,2007,48750,0,0,2550000,52,2-03077-0050,2463 HUGHES AVENUE,BELMONT,C1-WALK-UP,16,2004,13520,227559,16.83,851000,63,0.25,2-03744-0053,1124 STRATFORD AVENUE,SOUNDVIEW,C1-WALK-UP,39,1928,27600,307180,11.13,796000,28.8,1.8
2-03125-7501,104-R1,2155 DALY AVENUE,EAST TREMONT,R4-ELEVATOR,12,2007,14664,263952,18,987000,67,2-03091-0005,2490 BELMONT AVENUE,BELMONT,C1-WALK-UP,14,2006,13295,138798,10.44,360000,27.1,0.8,2-05786-0240,3205 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,12,1985,6260,116238,18.57,435000,69,3.05
2-03249-7501,100-R1,2792 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,R2-WALK-UP,40,2006,48023,701135,14.6,2369994,49.4,2-02720-0005,712 FOX STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,48,1910,48450,654989,13.52,1390000,28.7,3.9,2-02720-0063,784 FOX STREET,MORRISANIA/LONGWOOD,D1-ELEVATOR,40,1924,37000,511907,13.84,1090000,29.5,3.85
2-03256-7501,117-R1,189A WEST KINGSBRIDGE ROA,KINGSBRIDGE/JEROME PARK,R2-WALK-UP,12,2008,19603,265228,13.53,968000,49.4,2-02868-0123,1970 DR M L KING JR BOULE,HIGHBRIDGE/MORRIS HEIGHTS,C1-WALK-UP,11,1914,17100,218341,12.77,680000,39.8,1.4,2-03213-0009,2422 UNIVERSITY AVENUE,KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,12,1912,15515,158237,10.2,336000,21.66,0.6
2-03261-7501,81-R1,3097 HEATH AVENUE,KINGSBRIDGE/JEROME PARK,R2-WALK-UP,16,2006,21861,307584,14.07,1120000,51,2-03348-0081,315 EAST 209 STREET,BEDFORD PARK/NORWOOD,C1-WALK-UP,23,1926,18450,224308,12.16,476000,25.8,1.35,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,290110,15.39,815000,43.2,2.25
2-03311-7501,34-R1,3130 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,R9-CONDOPS,110,1968,79920,963835,12.06,2710000,33.9,2-03307-0072,3010 GRAND CONCOURSE,BEDFORD PARK/NORWOOD,D7-ELEVATOR,96,1963,106146,1298040,12.23,3650000,34.4,0.15,2-03285-0019,2976 MARION AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,62,1950,67930,750992,11.06,1950000,28.7,0.4
2-03318-7501,48-R1,2805A CRESTON AVENUE,BEDFORD PARK/NORWOOD,R2-WALK-UP,18,1993,16638,223281,13.42,695004,41.8,2-03296-0047,2875 BAINBRIDGE AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,38,1965,34333,450528,13.12,1400000,40.8,0.3,2-03318-0001,2755 MORRIS AVENUE,BEDFORD PARK/NORWOOD,D1-ELEVATOR,30,1931,22080,303003,13.72,785000,35.6,0.05
2-03432-7501,33-R1,228 NEPTUNE COURT,SOUNDVIEW,R2-WALK-UP,40,1989,47376,663264,14,2069996,43.7,2-03519-0001,501 COMMONWEALTH AVENUE,SOUNDVIEW,D1-ELEVATOR,58,1932,46680,726159,15.56,2870000,61,0.85,2-03519-0034,549 COMMONWEALTH AVENUE,SOUNDVIEW,D7-ELEVATOR,59,1932,49458,726159,14.68,2650000,54,0.85
2-03432-7501,33-R3,124 NEPTUNE LANE,SOUNDVIEW,R2-WALK-UP,14,1989,15972,196455,12.3,552000,34.6,2-02946-0016,1898 BELMONT AVENUE,EAST TREMONT,D5-ELEVATOR,20,1911,20025,295326,14.75,999000,49.9,3.25,2-03129-0029,2131 VYSE AVENUE,EAST TREMONT,D1-ELEVATOR,20,1931,26700,300819,11.27,638000,23.9,2.95
2-03432-7501,33-R4,232 FLEET COURT,SOUNDVIEW,R2-WALK-UP,18,1989,22199,283037,12.75,881002,39.7,2-02946-0016,1898 BELMONT AVENUE,EAST TREMONT,D5-ELEVATOR,20,1911,20025,295326,14.75,999000,49.9,3.25,2-03129-0029,2131 VYSE AVENUE,EAST TREMONT,D1-ELEVATOR,20,1931,26700,300819,11.27,638000,23.9,2.95
2-03432-7501,33-R5,201 SUNSET BOULEVARD,SOUNDVIEW,R2-WALK-UP,18,1989,20304,263952,13,822004,40.5,2-02946-0016,1898 BELMONT AVENUE,EAST TREMONT,D5-ELEVATOR,20,1911,20025,295326,14.75,999000,49.9,3.25,2-03129-0029,2131 VYSE AVENUE,EAST TREMONT,D1-ELEVATOR,20,1931,26700,300819,11.27,638000,23.9,2.95
2-03432-7501,33-R6,301 ADMIRAL LANE,SOUNDVIEW,R2-WALK-UP,28,1989,34516,465966,13.5,1450000,42,2-02872-0252,1604 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D5-ELEVATOR,29,1921,37830,406896,10.76,863000,22.81,4.25,2-03123-0053,876 EAST 180 STREET,EAST TREMONT,D1-ELEVATOR,25,1910,21582,334900,15.52,1130000,52,3
2-03929-7501,23-R1,99 METROPOLITAN OVAL,PARKCHESTER,R4-ELEVATOR,128,1933,109764,1200818,10.94,3110006,28.3,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1402943,10.75,3640000,27.9,0.45,2-03932-0050,2022 BENEDICT AVENUE,PARKCHESTER,D1-ELEVATOR,92,1928,103284,1022543,9.9,2170000,21.01,0.25
2-03929-7501,23-R2,1469 WEST AVENUE,PARKCHESTER,R4-ELEVATOR,2121,1933,1867373,20429060,10.94,53000194,28.4,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1402943,10.75,3640000,27.9,0.25,2-04286-0022,2100 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1849100,10.94,4790000,28.3,1.2
2-03929-7501,23-R3,1925 MC GRAW AVENUE,PARKCHESTER,R4-ELEVATOR,2659,1933,2723821,29798601,10.94,77200099,28.3,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1402943,10.75,3640000,27.9,0.5,2-04286-0022,2100 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1849100,10.94,4790000,28.3,1.3
2-03929-7501,23-R4,14 METROPOLITAN OVAL,PARKCHESTER,R4-ELEVATOR,3378,1933,3364977,36812848,10.94,95399756,28.4,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1402943,10.75,3640000,27.9,0.4,2-04286-0022,2100 BRONX PARK EAST,PELHAM PARKWAY SOUTH,D1-ELEVATOR,157,1929,168990,1849100,10.94,4790000,28.3,1
2-03944-7501,2-R1,9 METROPOLITAN OVAL,PARKCHESTER,R4-ELEVATOR,3857,1955,3801490,40866017,10.75,105999815,27.9,2-03925-0018,1565 THIERIOT AVENUE,PARKCHESTER,D1-ELEVATOR,120,1930,130500,1402943,10.75,3640000,27.9,0.4,2-03932-0050,2022 BENEDICT AVENUE,PARKCHESTER,D1-ELEVATOR,92,1928,103284,1022543,9.9,2170000,21.01,0.45
2-03944-7501,2-R2,1722 PURDY STREET,PARKCHESTER,R4-ELEVATOR,128,1955,109764,1197525,10.91,3100006,28.2,2-03895-0001,1500 NOBLE AVENUE,PARKCHESTER,D1-ELEVATOR,238,1965,265625,2898181,10.91,7510000,28.3,0.9,,,,,,,,,,,,
2-04163-7501,12-R1,1725 EDISON AVENUE,SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,35,1965,27316,411105,15.05,1389999,51,2-04249-0042,2023 BURR AVENUE,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,37,1963,31125,468559,15.05,1580000,51,0.6,2-04340-0086,2255 BARKER AVENUE,BRONXDALE,D1-ELEVATOR,42,1964,31320,375680,11.99,1060000,33.8,2.15
2-04174-7501,66-R1,1600 PARKVIEW AVENUE,SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,21,2003,16688,281860,16.89,1049997,63,2-04153-0008,1632 HUTCH RIVER PARKWAY,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,44,2002,41800,706061,16.89,2640000,63,0.5,2-04173-0029,1610 MAHAN AVENUE,SCHUYLERVILLE/PELHAM BAY,D7-ELEVATOR,57,1928,51000,678058,13.3,2110000,41.4,0.05
2-04248-7501,124-R1,2013 COLONIAL AVENUE,SCHUYLERVILLE/PELHAM BAY,R4-ELEVATOR,11,0,10033,288047,28.7,1190002,119,2-02816-0066,1305 MORRIS AVENUE,MELROSE/CONCOURSE,D1-ELEVATOR,73,2003,38212,1343977,35.2,2850000,75,4.5,2-02872-0036,1401 JESUP AVENUE,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,81,2006,25200,568669,22.57,2360000,94,4.85
2-04284-7501,70-R1,2040 WHITE PLAINS ROAD,MORRIS PARK/VAN NEST,R9-CONDOPS,100,2005,108100,1087486,10.06,2590000,23.96,2-04253-0080,1975 BIRCHALL AVENUE,MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,87902,884049,10.06,2100000,23.89,0.25,2-04253-0084,678 SAGAMORE STREET,MORRIS PARK/VAN NEST,D1-ELEVATOR,90,2002,82015,731129,8.91,1550000,18.9,0.25
2-04307-7501,27-R1,1144 LYDIG AVENUE,PELHAM PARKWAY SOUTH,R4-ELEVATOR,48,1964,56000,812000,14.5,2750000,49.1,2-04322-0043,2179 MATTHEWS AVENUE,PELHAM PARKWAY SOUTH,C9-WALK-UP,48,1948,35960,445576,12.39,1250000,34.8,0.45,2-04324-0001,2126 MULINER AVENUE,PELHAM PARKWAY SOUTH,C9-WALK-UP,38,1950,28979,420146,14.5,1420000,49,0.35
2-04340-7501,14-R1,610 WARING AVENUE,BRONXDALE,R4-ELEVATOR,122,1960,116200,1393238,11.99,3919962,33.7,2-04543-0021,600 BURKE AVENUE,BRONXDALE,D1-ELEVATOR,57,1968,55722,751577,13.49,2340000,42,0.7,2-04633-0001,831 BARTHOLDI STREET,BRONXDALE,D1-ELEVATOR,122,1973,127629,1777643,13.93,4610000,36.1,1.05
2-04340-7502,17-R1,2385 BARKER AVENUE,BRONXDALE,R4-ELEVATOR,122,1960,127290,1526207,11.99,4289996,33.7,2-04340-0086,2255 BARKER AVENUE,BRONXDALE,D1-ELEVATOR,42,1964,31320,375680,11.99,1060000,33.8,0,2-04341-0075,2265 OLINVILLE AVENUE,BRONXDALE,D1-ELEVATOR,40,1962,31320,243478,7.77,516000,16.48,0.05
2-04545-7501,91-R1,3035 WHITE PLAINS ROAD,BRONXDALE,R9-CONDOPS,74,2007,85582,1163059,13.59,3620000,42.3,2-04633-0001,831 BARTHOLDI STREET,BRONXDALE,D1-ELEVATOR,122,1973,127629,1777643,13.93,4610000,36.1,0.4,,,,,,,,,,,,
2-04664-7501,75-R1,720 EAST 217 STREET,WILLIAMSBRIDGE,R2-WALK-UP,24,2006,19225,270495,14.07,842002,43.8,2-03973-0036,1405 ROWLAND STREET,WESTCHESTER,C1-WALK-UP,27,1927,22560,228125,10.11,543000,24.07,3.1,2-04847-0039,800 EAST 223 STREET,WILLIAMSBRIDGE,C1-WALK-UP,23,1927,18850,290110,15.39,815000,43.2,0.35
2-04668-7501,76-R1,724 EAST 221 STREET,WILLIAMSBRIDGE,R2-WALK-UP,24,2005,29320,396699,13.53,1239998,42.3,2-02722-0048,900 FOX STREET,MORRISANIA/LONGWOOD,D5-ELEVATOR,30,1922,31110,434321,13.96,921000,29.6,4.8,2-05047-0006,4360 FURMAN AVENUE,WAKEFIELD,C1-WALK-UP,27,1931,26280,298871,11.37,775000,29.5,1
2-05529-7501,83-R1,24 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,15,2000,12624,179260,14.2,558000,44.2,2-03077-0050,2463 HUGHES AVENUE,BELMONT,C1-WALK-UP,16,2004,13520,227559,16.83,851000,63,5.3,2-03145-0028,2273 TIEBOUT AVENUE,FORDHAM,C1-WALK-UP,16,1925,10032,133273,13.28,283000,28.2,5.8
2-05529-7502,82-R1,1 PENNYFIELD AVENUE,THROGS NECK,R2-WALK-UP,45,1998,63738,828594,13,2580005,40.5,2-05606-0001,2631 SCHURZ AVENUE,THROGS NECK,C9-WALK-UP,79,1978,46832,811185,17.32,3030000,65,1.2,2-05825-1554,6225 BROADWAY,FIELDSTON,C9-WALK-UP,96,1950,78825,1030952,13.08,3210000,40.7,7.6
2-05604-7501,16-R1,2718 SCHURZ AVENUE,THROGS NECK,R4-ELEVATOR,52,1984,63416,951240,15,3220003,51,2-05606-0001,2631 SCHURZ AVENUE,THROGS NECK,C9-WALK-UP,79,1978,46832,811185,17.32,3030000,65,0.2,2-05825-1554,6225 BROADWAY,FIELDSTON,C9-WALK-UP,96,1950,78825,1030952,13.08,3210000,40.7,7
2-05606-7502,56-R1,195 BALCOM AVENUE,THROGS NECK,R2-WALK-UP,20,1997,19080,331038,17.35,1309999,69,2-05786-0240,3205 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,12,1985,6260,116238,18.57,435000,69,6.7,2-03187-0045,2327 WALTON AVENUE,FORDHAM,C1-WALK-UP,17,1926,16200,218062,13.46,679000,41.9,5.2
2-05643-7501,60-R1,190 FORDHAM STREET,CITY ISLAND,R2-WALK-UP,16,1897,16605,215865,13,671998,40.5,2-05371-0060,3080 EAST TREMONT AVENUE,SCHUYLERVILLE/PELHAM BAY,C9-WALK-UP,27,1962,16507,215923,13.08,672000,40.7,2.85,2-05844-1935,5431 SYLVAN AVENUE,RIVERDALE,C1-WALK-UP,24,1972,18756,297022,15.84,1000000,53,7.1
2-05723-7501,84-R1,2287 JOHNSON AVENUE,RIVERDALE,R4-ELEVATOR,73,1983,99590,1309608,13.15,4080005,41,2-05796-0129,3660 OXFORD AVENUE,RIVERDALE,D3-ELEVATOR,77,1967,106934,1346616,12.59,3780000,35.3,0.8,2-05903-0283,3611 HENRY HUDSON PARKWAY,RIVERDALE,D3-ELEVATOR,123,1951,134000,1961368,14.64,6630000,49.5,0.7
2-05725-7501,11-R1,2600 HENRY HUDSON PARKWAY,RIVERDALE,R4-ELEVATOR,24,1941,35000,490000,14,1530000,43.7,2-05716-0287,2475 PALISADE AVENUE,RIVERDALE,D1-ELEVATOR,25,1932,31098,518602,16.68,1750000,56,0.3,2-05781-1100,3900 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,37,1928,37962,413477,10.89,1070000,28.2,0.8
2-05745-7501,28-R1,2521 PALISADE AVENUE,RIVERDALE,R4-ELEVATOR,36,1986,62350,857312,13.75,2669999,42.8,2-03198-0021,2326 GRAND AVENUE,KINGSBRIDGE HTS/UNIV HTS,C1-WALK-UP,36,1922,24610,336561,13.68,1050000,42.7,1.85,2-05851-2105,6425 BROADWAY,RIVERDALE,D3-ELEVATOR,55,1974,48100,846245,17.59,3160000,66,1.95
2-05771-7501,41-R1,3636 FIELDSTON ROAD,RIVERDALE,R9-CONDOPS,106,1962,132000,1782000,13.5,5550000,42,2-05920-0670,3801 HUDSON MANOR TERRACE,RIVERDALE,D1-ELEVATOR,135,1960,152400,2071191,13.59,6450000,42.3,0.5,2-05792-0430,530 WEST 236 STREET,RIVERDALE,D7-ELEVATOR,86,1954,103392,1549644,14.99,5240000,51,0.1
2-05777-7501,79-R1,3816 WALDO AVENUE,KINGSBRIDGE/JEROME PARK,R4-ELEVATOR,25,2004,55005,855572,15.55,2890008,53,2-03074-0037,651 CRESCENT AVENUE,BELMONT,C7-WALK-UP,27,1913,19185,275313,14.35,931000,48.5,2.45,2-03121-0038,906 EAST 178 STREET,EAST TREMONT,D1-ELEVATOR,35,2008,36596,717348,19.6,1520000,41.5,3.25
2-05780-7501,40-R1,3900 GREYSTONE AVENUE,RIVERDALE,R4-ELEVATOR,78,1928,95061,1140732,12,3210002,33.8,2-05773-0290,275 WEST 238 STREET,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,72,1937,71091,997401,14.03,3110000,43.7,0.3,2-05754-0072,222 WEST 233 STREET,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,72,1928,66270,761476,11.49,2140000,32.3,0.55
2-05787-7501,30-R1,3240 NETHERLAND AVENUE,RIVERDALE,R4-ELEVATOR,15,1988,10108,189525,18.75,708999,70,2-03119-0066,2155 MOHEGAN AVENUE,EAST TREMONT,C1-WALK-UP,15,1912,10500,120750,11.5,339000,32.3,2.95,2-05798-0101,3615 OXFORD AVENUE,RIVERDALE,C1-WALK-UP,15,1980,7550,156480,20.73,585000,77,0.2
2-05788-7501,106-R1,3220 ARLINGTON AVENUE,RIVERDALE,R4-ELEVATOR,26,2004,105300,2711475,25.8,12000004,114,2-05722-0475,2600 NETHERLAND AVENUE,RIVERDALE,D7-ELEVATOR,608,1975,844578,15587450,18.46,58300000,69,0.5,2-05909-0825,630 WEST 246 STREET,RIVERDALE,D3-ELEVATOR,403,1958,443283,9589106,21.63,39700000,90,0.45
