District,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
1,6,2007,White,77,721,2,2.6%,5,6.5%,12,15.6%,58,75.3%,70,90.9%
1,6,2008,Asian,161,710,3,1.9%,3,1.9%,42,26.1%,113,70.2%,155,96.3%
1,6,2008,Black,153,652,26,17%,41,26.8%,70,45.8%,16,10.5%,86,56.2%
1,6,2008,Hispanic,427,657,46,10.8%,113,26.5%,219,51.3%,49,11.5%,268,62.8%
1,6,2008,White,97,706,2,2.1%,3,3.1%,28,28.9%,64,66%,92,94.8%
1,6,2009,Asian,180,719,0,0%,2,1.1%,45,25%,133,73.9%,178,98.9%
1,6,2009,Black,155,662,8,5.2%,48,31%,85,54.8%,14,9%,99,63.9%
1,6,2009,Hispanic,406,664,29,7.1%,80,19.7%,251,61.8%,46,11.3%,297,73.2%
1,6,2009,White,116,722,1,0.9%,1,0.9%,26,22.4%,88,75.9%,114,98.3%
1,6,2010,Asian,172,718,2,1.2%,21,12.2%,30,17.4%,119,69.2%,149,86.6%
1,6,2010,Black,136,665,22,16.2%,56,41.2%,43,31.6%,15,11%,58,42.6%
1,6,2010,Hispanic,396,669,49,12.4%,179,45.2%,119,30.1%,49,12.4%,168,42.4%
1,6,2010,White,88,720,1,1.1%,6,6.8%,18,20.5%,63,71.6%,81,92%
1,6,2011,Asian,147,720,1,0.7%,8,5.4%,24,16.3%,114,77.6%,138,93.9%
1,6,2011,Black,127,664,22,17.3%,51,40.2%,40,31.5%,14,11%,54,42.5%
1,6,2011,Hispanic,412,670,54,13.1%,163,39.6%,146,35.4%,49,11.9%,195,47.3%
1,6,2011,White,125,712,3,2.4%,15,12%,24,19.2%,83,66.4%,107,85.6%
1,7,2006,Asian,150,681,7,4.7%,14,9.3%,68,45.3%,61,40.7%,129,86%
1,7,2006,Black,185,636,32,17.3%,91,49.2%,58,31.4%,4,2.2%,62,33.5%
1,7,2006,Hispanic,515,634,109,21.2%,233,45.2%,160,31.1%,13,2.5%,173,33.6%
1,7,2006,White,109,691,3,2.8%,19,17.4%,36,33%,51,46.8%,87,79.8%
1,7,2007,Asian,144,695,1,0.7%,12,8.3%,61,42.4%,70,48.6%,131,91%
1,7,2007,Black,193,644,22,11.4%,92,47.7%,68,35.2%,11,5.7%,79,40.9%
1,7,2007,Hispanic,471,648,38,8.1%,206,43.7%,194,41.2%,33,7%,227,48.2%
1,7,2007,White,74,692,2,2.7%,12,16.2%,22,29.7%,38,51.4%,60,81.1%
1,7,2008,Asian,132,699,2,1.5%,6,4.5%,44,33.3%,80,60.6%,124,93.9%
1,7,2008,Black,150,659,9,6%,38,25.3%,92,61.3%,11,7.3%,103,68.7%
1,7,2008,Hispanic,451,662,16,3.5%,107,23.7%,268,59.4%,60,13.3%,328,72.7%
1,7,2008,White,81,716,2,2.5%,6,7.4%,15,18.5%,58,71.6%,73,90.1%
1,7,2009,Asian,162,710,1,0.6%,6,3.7%,47,29%,108,66.7%,155,95.7%
1,7,2009,Black,140,670,1,0.7%,30,21.4%,86,61.4%,23,16.4%,109,77.9%
1,7,2009,Hispanic,423,666,18,4.3%,91,21.5%,254,60%,60,14.2%,314,74.2%
1,7,2009,White,96,709,0,0%,4,4.2%,28,29.2%,64,66.7%,92,95.8%
1,7,2010,Asian,185,711,4,2.2%,11,5.9%,40,21.6%,130,70.3%,170,91.9%
1,7,2010,Black,158,662,22,13.9%,78,49.4%,42,26.6%,16,10.1%,58,36.7%
1,7,2010,Hispanic,419,665,62,14.8%,159,37.9%,140,33.4%,58,13.8%,198,47.3%
1,7,2010,White,110,719,0,0%,9,8.2%,13,11.8%,88,80%,101,91.8%
1,7,2011,Asian,150,717,2,1.3%,9,6%,27,18%,112,74.7%,139,92.7%
1,7,2011,Black,129,665,21,16.3%,48,37.2%,40,31%,20,15.5%,60,46.5%
1,7,2011,Hispanic,377,670,36,9.5%,138,36.6%,127,33.7%,76,20.2%,203,53.8%
1,7,2011,White,101,711,4,4%,6,5.9%,14,13.9%,77,76.2%,91,90.1%
1,8,2006,Asian,130,684,8,6.2%,21,16.2%,52,40%,49,37.7%,101,77.7%
1,8,2006,Black,170,632,35,20.6%,93,54.7%,40,23.5%,2,1.2%,42,24.7%
1,8,2006,Hispanic,516,633,125,24.2%,231,44.8%,151,29.3%,9,1.7%,160,31%
1,8,2006,White,60,676,6,10%,4,6.7%,36,60%,14,23.3%,50,83.3%
1,8,2007,Asian,144,692,7,4.9%,12,8.3%,61,42.4%,64,44.4%,125,86.8%
1,8,2007,Black,174,637,38,21.8%,76,43.7%,57,32.8%,3,1.7%,60,34.5%
1,8,2007,Hispanic,480,638,110,22.9%,186,38.8%,171,35.6%,13,2.7%,184,38.3%
1,8,2007,White,102,684,9,8.8%,12,11.8%,39,38.2%,42,41.2%,81,79.4%
1,8,2008,Asian,140,704,1,0.7%,10,7.1%,58,41.4%,71,50.7%,129,92.1%
1,8,2008,Black,187,649,17,9.1%,84,44.9%,78,41.7%,8,4.3%,86,46%
1,8,2008,Hispanic,463,654,41,8.9%,164,35.4%,225,48.6%,33,7.1%,258,55.7%
1,8,2008,White,70,703,1,1.4%,6,8.6%,20,28.6%,43,61.4%,63,90%
1,8,2009,Asian,142,705,1,0.7%,6,4.2%,57,40.1%,78,54.9%,135,95.1%
1,8,2009,Black,148,654,19,12.8%,36,24.3%,89,60.1%,4,2.7%,93,62.8%
1,8,2009,Hispanic,454,659,23,5.1%,121,26.7%,284,62.6%,26,5.7%,310,68.3%
1,8,2009,White,78,707,0,0%,7,9%,24,30.8%,47,60.3%,71,91%
1,8,2010,Asian,177,706,6,3.4%,17,9.6%,59,33.3%,95,53.7%,154,87%
1,8,2010,Black,161,658,36,22.4%,74,46%,40,24.8%,11,6.8%,51,31.7%
1,8,2010,Hispanic,460,658,97,21.1%,239,52%,100,21.7%,24,5.2%,124,27%
1,8,2010,White,101,704,5,5%,11,10.9%,36,35.6%,49,48.5%,85,84.2%
1,8,2011,Asian,176,714,0,0%,13,7.4%,46,26.1%,117,66.5%,163,92.6%
1,8,2011,Black,142,660,22,15.5%,76,53.5%,37,26.1%,7,4.9%,44,31%
1,8,2011,Hispanic,444,660,70,15.8%,223,50.2%,138,31.1%,13,2.9%,151,34%
1,8,2011,White,120,710,0,0%,7,5.8%,40,33.3%,73,60.8%,113,94.2%
1,All Grades,2006,Asian,869,695,26,3%,60,6.9%,370,42.6%,413,47.5%,783,90.1%
1,All Grades,2006,Black,1053,645,174,16.5%,413,39.2%,415,39.4%,51,4.8%,466,44.3%
1,All Grades,2006,Hispanic,2930,647,482,16.5%,1005,34.3%,1231,42%,212,7.2%,1443,49.2%
1,All Grades,2006,White,494,689,20,4%,57,11.5%,218,44.1%,199,40.3%,417,84.4%
1,All Grades,2007,Asian,838,702,15,1.8%,44,5.3%,342,40.8%,437,52.1%,779,93%
1,All Grades,2007,Black,981,651,141,14.4%,317,32.3%,454,46.3%,69,7%,523,53.3%
1,All Grades,2007,Hispanic,2716,655,308,11.3%,796,29.3%,1382,50.9%,230,8.5%,1612,59.4%
1,All Grades,2007,White,501,698,15,3%,43,8.6%,200,39.9%,243,48.5%,443,88.4%
1,All Grades,2008,Asian,845,708,8,0.9%,27,3.2%,296,35%,514,60.8%,810,95.9%
1,All Grades,2008,Black,945,659,79,8.4%,259,27.4%,520,55%,87,9.2%,607,64.2%
1,All Grades,2008,Hispanic,2665,664,165,6.2%,619,23.2%,1584,59.4%,297,11.1%,1881,70.6%
1,All Grades,2008,White,521,707,7,1.3%,23,4.4%,181,34.7%,310,59.5%,491,94.2%
1,All Grades,2009,Asian,901,715,2,0.2%,21,2.3%,291,32.3%,587,65.1%,878,97.4%
1,All Grades,2009,Black,901,668,47,5.2%,187,20.8%,542,60.2%,125,13.9%,667,74%
1,All Grades,2009,Hispanic,2575,670,118,4.6%,445,17.3%,1615,62.7%,397,15.4%,2012,78.1%
1,All Grades,2009,White,597,711,2,0.3%,23,3.9%,212,35.5%,360,60.3%,572,95.8%
1,All Grades,2010,Asian,1002,712,23,2.3%,103,10.3%,278,27.7%,598,59.7%,876,87.4%
1,All Grades,2010,Black,882,668,129,14.6%,393,44.6%,256,29%,104,11.8%,360,40.8%
1,All Grades,2010,Hispanic,2573,671,358,13.9%,1087,42.2%,812,31.6%,316,12.3%,1128,43.8%
1,All Grades,2010,White,657,712,11,1.7%,79,12%,184,28%,383,58.3%,567,86.3%
1,All Grades,2011,Asian,954,714,15,1.6%,77,8.1%,244,25.6%,618,64.8%,862,90.4%
1,All Grades,2011,Black,795,671,107,13.5%,316,39.7%,274,34.5%,98,12.3%,372,46.8%
1,All Grades,2011,Hispanic,2482,671,297,12%,1025,41.3%,881,35.5%,279,11.2%,1160,46.7%
1,All Grades,2011,White,748,711,13,1.7%,62,8.3%,219,29.3%,454,60.7%,673,90%
2,3,2006,Asian,774,700,6,0.8%,35,4.5%,366,47.3%,367,47.4%,733,94.7%
2,3,2006,Black,257,666,34,13.2%,44,17.1%,134,52.1%,45,17.5%,179,69.6%
2,3,2006,Hispanic,437,672,30,6.9%,61,14%,265,60.6%,81,18.5%,346,79.2%
2,3,2006,White,810,699,9,1.1%,30,3.7%,402,49.6%,369,45.6%,771,95.2%
2,3,2007,Asian,792,708,4,0.5%,21,2.7%,334,42.2%,433,54.7%,767,96.8%
2,3,2007,Black,213,680,11,5.2%,19,8.9%,138,64.8%,45,21.1%,183,85.9%
2,3,2007,Hispanic,408,680,14,3.4%,47,11.5%,258,63.2%,89,21.8%,347,85%
2,3,2007,White,834,706,6,0.7%,12,1.4%,383,45.9%,433,51.9%,816,97.8%
2,3,2008,Asian,791,709,0,0%,9,1.1%,382,48.3%,400,50.6%,782,98.9%
2,3,2008,Black,214,682,3,1.4%,27,12.6%,143,66.8%,41,19.2%,184,86%
2,3,2008,Hispanic,397,685,12,3%,35,8.8%,269,67.8%,81,20.4%,350,88.2%
2,3,2008,White,844,708,5,0.6%,11,1.3%,421,49.9%,407,48.2%,828,98.1%
2,3,2009,Asian,851,713,0,0%,8,0.9%,422,49.6%,421,49.5%,843,99.1%
2,3,2009,Black,211,687,1,0.5%,10,4.7%,157,74.4%,43,20.4%,200,94.8%
2,3,2009,Hispanic,428,686,4,0.9%,26,6.1%,327,76.4%,71,16.6%,398,93%
2,3,2009,White,877,705,2,0.2%,18,2.1%,500,57%,357,40.7%,857,97.7%
2,3,2010,Asian,806,714,14,1.7%,83,10.3%,317,39.3%,392,48.6%,709,88%
2,3,2010,Black,210,688,26,12.4%,63,30%,75,35.7%,46,21.9%,121,57.6%
2,3,2010,Hispanic,375,695,31,8.3%,95,25.3%,149,39.7%,100,26.7%,249,66.4%
2,3,2010,White,917,712,18,2%,126,13.7%,366,39.9%,407,44.4%,773,84.3%
2,3,2011,Asian,775,701,11,1.4%,86,11.1%,409,52.8%,269,34.7%,678,87.5%
2,3,2011,Black,203,687,15,7.4%,74,36.5%,82,40.4%,32,15.8%,114,56.2%
2,3,2011,Hispanic,434,687,34,7.8%,135,31.1%,225,51.8%,40,9.2%,265,61.1%
2,3,2011,White,985,702,19,1.9%,99,10.1%,505,51.3%,362,36.8%,867,88%
2,4,2006,Asian,803,709,8,1%,27,3.4%,300,37.4%,468,58.3%,768,95.6%
2,4,2006,Black,309,664,28,9.1%,66,21.4%,175,56.6%,40,12.9%,215,69.6%
2,4,2006,Hispanic,433,667,27,6.2%,90,20.8%,259,59.8%,57,13.2%,316,73%
2,4,2006,White,746,701,6,0.8%,28,3.8%,351,47.1%,361,48.4%,712,95.4%
2,4,2007,Asian,756,712,6,0.8%,16,2.1%,283,37.4%,451,59.7%,734,97.1%
2,4,2007,Black,252,670,21,8.3%,44,17.5%,143,56.7%,44,17.5%,187,74.2%
2,4,2007,Hispanic,416,673,21,5%,72,17.3%,244,58.7%,79,19%,323,77.6%
2,4,2007,White,772,708,14,1.8%,24,3.1%,281,36.4%,453,58.7%,734,95.1%
2,4,2008,Asian,797,716,2,0.3%,7,0.9%,250,31.4%,538,67.5%,788,98.9%
2,4,2008,Black,234,678,11,4.7%,27,11.5%,149,63.7%,47,20.1%,196,83.8%
2,4,2008,Hispanic,416,679,13,3.1%,46,11.1%,272,65.4%,85,20.4%,357,85.8%
2,4,2008,White,782,713,4,0.5%,16,2%,282,36.1%,480,61.4%,762,97.4%
2,4,2009,Asian,785,725,1,0.1%,5,0.6%,169,21.5%,610,77.7%,779,99.2%
2,4,2009,Black,214,685,6,2.8%,26,12.1%,123,57.5%,59,27.6%,182,85%
2,4,2009,Hispanic,428,690,17,4%,39,9.1%,220,51.4%,152,35.5%,372,86.9%
2,4,2009,White,835,722,13,1.6%,16,1.9%,198,23.7%,608,72.8%,806,96.5%
2,4,2010,Asian,872,721,9,1%,47,5.4%,251,28.8%,565,64.8%,816,93.6%
2,4,2010,Black,255,676,30,11.8%,91,35.7%,87,34.1%,47,18.4%,134,52.5%
2,4,2010,Hispanic,459,685,27,5.9%,142,30.9%,197,42.9%,93,20.3%,290,63.2%
2,4,2010,White,897,713,15,1.7%,87,9.7%,268,29.9%,527,58.8%,795,88.6%
2,4,2011,Asian,788,718,4,0.5%,48,6.1%,205,26%,531,67.4%,736,93.4%
2,4,2011,Black,230,680,20,8.7%,66,28.7%,111,48.3%,33,14.3%,144,62.6%
2,4,2011,Hispanic,406,688,21,5.2%,104,25.6%,184,45.3%,97,23.9%,281,69.2%
2,4,2011,White,899,715,12,1.3%,52,5.8%,258,28.7%,577,64.2%,835,92.9%
2,5,2006,Asian,737,699,18,2.4%,33,4.5%,317,43%,369,50.1%,686,93.1%
2,5,2006,Black,324,660,38,11.7%,81,25%,166,51.2%,39,12%,205,63.3%
2,5,2006,Hispanic,501,661,47,9.4%,117,23.4%,274,54.7%,63,12.6%,337,67.3%
2,5,2006,White,712,695,15,2.1%,39,5.5%,329,46.2%,329,46.2%,658,92.4%
2,5,2007,Asian,774,708,6,0.8%,21,2.7%,305,39.4%,442,57.1%,747,96.5%
2,5,2007,Black,275,667,21,7.6%,61,22.2%,153,55.6%,40,14.5%,193,70.2%
2,5,2007,Hispanic,409,670,27,6.6%,84,20.5%,225,55%,73,17.8%,298,72.9%
2,5,2007,White,688,699,8,1.2%,37,5.4%,325,47.2%,318,46.2%,643,93.5%
2,5,2008,Asian,737,713,3,0.4%,11,1.5%,233,31.6%,490,66.5%,723,98.1%
2,5,2008,Black,240,675,12,5%,37,15.4%,146,60.8%,45,18.8%,191,79.6%
2,5,2008,Hispanic,416,675,14,3.4%,71,17.1%,235,56.5%,96,23.1%,331,79.6%
2,5,2008,White,730,704,7,1%,21,2.9%,281,38.5%,421,57.7%,702,96.2%
2,5,2009,Asian,781,716,1,0.1%,5,0.6%,172,22%,603,77.2%,775,99.2%
2,5,2009,Black,233,681,4,1.7%,28,12%,136,58.4%,65,27.9%,201,86.3%
2,5,2009,Hispanic,421,685,9,2.1%,26,6.2%,246,58.4%,140,33.3%,386,91.7%
2,5,2009,White,758,708,2,0.3%,16,2.1%,254,33.5%,486,64.1%,740,97.6%
2,5,2010,Asian,806,712,5,0.6%,53,6.6%,292,36.2%,456,56.6%,748,92.8%
2,5,2010,Black,215,677,24,11.2%,72,33.5%,77,35.8%,42,19.5%,119,55.3%
2,5,2010,Hispanic,449,683,30,6.7%,137,30.5%,184,41%,98,21.8%,282,62.8%
2,5,2010,White,833,709,24,2.9%,62,7.4%,258,31%,489,58.7%,747,89.7%
2,5,2011,Asian,850,715,10,1.2%,46,5.4%,246,28.9%,548,64.5%,794,93.4%
2,5,2011,Black,246,679,21,8.5%,80,32.5%,95,38.6%,50,20.3%,145,58.9%
2,5,2011,Hispanic,488,685,32,6.6%,144,29.5%,206,42.2%,106,21.7%,312,63.9%
2,5,2011,White,861,709,16,1.9%,68,7.9%,294,34.1%,483,56.1%,777,90.2%
2,6,2006,Asian,735,687,24,3.3%,62,8.4%,367,49.9%,282,38.4%,649,88.3%
2,6,2006,Black,331,649,50,15.1%,91,27.5%,164,49.5%,26,7.9%,190,57.4%
2,6,2006,Hispanic,477,646,85,17.8%,144,30.2%,223,46.8%,25,5.2%,248,52%
2,6,2006,White,662,682,17,2.6%,83,12.5%,356,53.8%,206,31.1%,562,84.9%
2,6,2007,Asian,714,697,7,1%,52,7.3%,335,46.9%,320,44.8%,655,91.7%
2,6,2007,Black,303,660,33,10.9%,75,24.8%,158,52.1%,37,12.2%,195,64.4%
2,6,2007,Hispanic,492,657,52,10.6%,142,28.9%,245,49.8%,53,10.8%,298,60.6%
2,6,2007,White,648,691,20,3.1%,51,7.9%,330,50.9%,247,38.1%,577,89%
2,6,2008,Asian,731,701,3,0.4%,30,4.1%,305,41.7%,393,53.8%,698,95.5%
2,6,2008,Black,283,662,21,7.4%,63,22.3%,153,54.1%,46,16.3%,199,70.3%
2,6,2008,Hispanic,457,664,34,7.4%,113,24.7%,241,52.7%,69,15.1%,310,67.8%
2,6,2008,White,611,695,6,1%,30,4.9%,280,45.8%,295,48.3%,575,94.1%
2,6,2009,Asian,686,705,0,0%,22,3.2%,266,38.8%,398,58%,664,96.8%
2,6,2009,Black,258,672,10,3.9%,45,17.4%,156,60.5%,47,18.2%,203,78.7%
2,6,2009,Hispanic,432,672,16,3.7%,68,15.7%,270,62.5%,78,18.1%,348,80.6%
2,6,2009,White,671,701,7,1%,25,3.7%,272,40.5%,367,54.7%,639,95.2%
2,6,2010,Asian,763,705,11,1.4%,83,10.9%,226,29.6%,443,58.1%,669,87.7%
2,6,2010,Black,241,668,31,12.9%,96,39.8%,79,32.8%,35,14.5%,114,47.3%
2,6,2010,Hispanic,459,672,59,12.9%,169,36.8%,144,31.4%,87,19%,231,50.3%
2,6,2010,White,781,699,27,3.5%,97,12.4%,265,33.9%,392,50.2%,657,84.1%
2,6,2011,Asian,701,709,6,0.9%,54,7.7%,198,28.2%,443,63.2%,641,91.4%
2,6,2011,Black,234,671,34,14.5%,82,35%,72,30.8%,46,19.7%,118,50.4%
2,6,2011,Hispanic,494,678,42,8.5%,167,33.8%,177,35.8%,108,21.9%,285,57.7%
2,6,2011,White,765,706,24,3.1%,60,7.8%,193,25.2%,488,63.8%,681,89%
2,7,2006,Asian,701,678,19,2.7%,85,12.1%,396,56.5%,201,28.7%,597,85.2%
2,7,2006,Black,392,645,48,12.2%,160,40.8%,162,41.3%,22,5.6%,184,46.9%
2,7,2006,Hispanic,509,641,77,15.1%,192,37.7%,223,43.8%,17,3.3%,240,47.2%
2,7,2006,White,600,678,15,2.5%,76,12.7%,341,56.8%,168,28%,509,84.8%
2,7,2007,Asian,717,690,12,1.7%,64,8.9%,307,42.8%,334,46.6%,641,89.4%
2,7,2007,Black,323,657,12,3.7%,114,35.3%,170,52.6%,27,8.4%,197,61%
2,7,2007,Hispanic,476,657,25,5.3%,161,33.8%,245,51.5%,45,9.5%,290,60.9%
2,7,2007,White,637,687,11,1.7%,48,7.5%,311,48.8%,267,41.9%,578,90.7%
2,7,2008,Asian,689,695,5,0.7%,29,4.2%,307,44.6%,348,50.5%,655,95.1%
2,7,2008,Black,300,663,16,5.3%,70,23.3%,172,57.3%,42,14%,214,71.3%
2,7,2008,Hispanic,478,665,12,2.5%,115,24.1%,282,59%,69,14.4%,351,73.4%
2,7,2008,White,622,696,5,0.8%,29,4.7%,259,41.6%,329,52.9%,588,94.5%
2,7,2009,Asian,754,706,1,0.1%,9,1.2%,270,35.8%,474,62.9%,744,98.7%
2,7,2009,Black,284,672,3,1.1%,52,18.3%,181,63.7%,48,16.9%,229,80.6%
2,7,2009,Hispanic,458,672,2,0.4%,63,13.8%,324,70.7%,69,15.1%,393,85.8%
2,7,2009,White,630,700,3,0.5%,18,2.9%,263,41.7%,346,54.9%,609,96.7%
2,7,2010,Asian,759,698,14,1.8%,77,10.1%,236,31.1%,432,56.9%,668,88%
