TOWN**,Amawalk,Bog Brook,Boyds Corner,Cross River,Croton Falls,Diverting,East Branch,Kensico,Lake Gilead,Lake Gleneida,Middle Branch,Muscoot,New Croton,Titicus,West Branch,Sub-total Town Acres Inside NYC Watershed,Town Acres Outside NYC Watershed,Total Town Acreage,% of each Town in NYC Watershed
,,,,,,,,,,,833.396,,,,,,,,
,,,,,,,,,,,,,,,,13672.54,15314.06,28986.6,47.17%
Pine Plains,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,19905.4,19905.4,0%
Pleasant Valley,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,21193,21193,0%
Poughkeepsie,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,20023.87,20023.87,0%
Red Hook,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,25409.91,25409.91,0%
Rhinebeck,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,25313.02,25313.02,0%
Stanford,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,32080.9,32080.9,0%
Union Vale,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,23890.4,23890.4,0%
Wappinger,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,18289.89,18289.89,0%
Washington,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,37655.8,37655.8,0%
Dutchess Total,,,,,,,,,,,,,,,,,,,
,,,3269.23,,,,,,,,,,,,,,,,
,,,,,,,12851.70168,,,,,,,,,,,,
,,,,,,,,,,,4224.971,,,,,,,,
,,,,,,,,,,,,,,,149.38,20495.28,507363.91,527859.2,3.88%
Putnam County,,,,,,,,,,,,,,,,,,,
Carmel,7987.3,,,,,,,,,,,,,,,,,,
,,,,,8343.77,,,,,,,,,,,,,,
,,,,,,,,,419.115,415.288%,551.644,2092.9,,,,,,,
,,,,,,,,,,,,,,,4444.13,24254.15,,,
,,,,,,,,,,,,,,,,,1809.79,26063.94,
,,,,,,,,,,,,,,,,,,,93.06%
Kent,,,,,,,,,,,,,,,,,,,
,,,9419.41,,676.445,,378.007,,,,,,,,,,,,
,,,,,,,,,,,4411.23,,,,,,,,
,,,,,,,,,,,,,,,8143.3,23028.39,4370.87,27399.26,84.05%
Patterson,,522.162,,,,,,,,,,,,,,,,,
,,,,,,140.153,19040.520366,,,,,,,,,,,,
,,,,,,,,,,,1194.48,,,,,,,,
,,,,,,,,,,,,,,,,20897.32,0,20897.32,100%
Philipstown,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,33187.57,33187.57,0%
Putnam Valley,512.15,,1628.84,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2140.99,25304.5,27445.49,7.8%
Southeast,,1841.91,,,,,,,,,,,,,,,,,
,,,,,989.068,4663.453,8769.2364,,,,,,,,,,,,
,,,,,,,,,,,3009.21,2785.87,,,,,,,
,,,,,,,,,,,,,,,,22058.75,391.34,22450.09,98.26%
Putnam Total,8499.45,2364.072,11048.25,,10009.283,4803.606,28187.763766,,419.115,415.288%,9166.564,4878.77,,,,,,,
,,,,,,,,,,,,,,,12587.43,92379.59,65064.08,157443.67,58.67%
Westchester County,,,,,,,,,,,,,,,,,,,
Bedford,,,,,,,,,,,,,,,,,,,
,,,,4546.33,,,,,,,,,,,,,,,
,,,,,,,,,,,,12606.6,4499.69,,,,,,
,,,,,,,,,,,,,,,,21652.62,,,
,,,,,,,,,,,,,,,,,3682.69,25335.31,
,,,,,,,,,,,,,,,,,,,85.46%
City of Mount Vernon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,2806.43,2806.43,0%
City of New Rochelle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,8779.13,8779.13,0%
City of Peekskill,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,3503.2,3503.2,0%
City of Rye,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,5744.9,5744.9,0%
City of White Plains,,,,,,,,,,,,,,,,,,,
,,,,,,,,20.8618,,,,,,,,,,,
,,,,,,,,,,,,,,,,20.86,6301.15,6322.01,0.33%
City of Yonkers,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,12994.5,12994.5,0%
Cortlandt,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3743.21,,,,,,
,,,,,,,,,,,,,,,,3743.21,28534.25,32277.46,11.6%
Eastchester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,3200.77,3200.77,0%
Greenburgh,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,23017.34,23017.34,0%
Harrison,,,,,,,,,,,,,,,,,,,
,,,,,,,,788.402,,,,,,,,,,,
,,,,,,,,,,,,,,,,788.4,10312,11100.4,7.1%
Lewisboro,,,,,,,,,,,,,,,,,,,
,,,,9434.76,,,,,,,,,,,,,,,
,,,,,,,,,,,,3891.82,,855.415,,14181.99,4563.01,18745,75.66%
Mamaroneck,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,15665.34,15665.34,0%
Mount Kisco,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1980.8,,,,,,
,,,,,,,,,,,,,,,,1980.8,0,1980.8,100%
Mount Pleasant,,,,,,,,,,,,,,,,,,,
,,,,,,,,2046.18,,,,,,,,,,,
,,,,,,,,,,,,,,,,2046.18,18937.76,20983.94,9.75%
New Castle,,,,,,,,,,,,,,,,,,,
,,,,,,,,416.909,,,,,,,,,,,
,,,,,,,,,,,,,9397.79,,,,,,
,,,,,,,,,,,,,,,,9814.7,5200.22,15014.92,65.37%
North Castle,,,,,,,,,,,,,,,,,,,
,,,,,,,,4746.851385,,,,,,,,,,,
,,,,,,,,,,,,,170.258,,,,,,
,,,,,,,,,,,,,,,,4917.11,11790,16707.11,29.43%
North Salem,,,,,,,,,,,,,,,,,,,
,,,,109.048,,,,,,,,,,,,,,,
,,,,,,,639.111,,,,,,,,,,,,
,,,,,,,,,,,,4436.87,,9531.707,,14716.74,122.93,14839.67,99.17%
Ossining,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,9935.87,9935.87,0%
Pelham,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,1406.45,1406.45,0%
Pound Ridge,,,,,,,,,,,,,,,,,,,
,,,,3242.06,,,,,,,,,,,,,,,
,,,,,,,,,,,,2793.66,,,,,,,
,,,,,,,,,,,,,,,,6035.72,8745.85,14781.57,40.83%
Rye,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,4729.33,4729.33,0%
Scarsdale,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,4266.5,4266.5,0%
Somers,4073.34,,,,,,,,,,,,,,,,,,
,,,,,219.687,,,,,,,,,,,,,,
,,,,,,,,,,,,14172,2040.63,,,,,,
,,,,,,,,,,,,,,,,20505.66,47.77,20553.43,99.77%
Yorktown,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5635.23,15295.2,,,,,,
,,,,,,,,,,,,,,,,20930.43,4312.19,25242.62,82.92%
Westchester Total,4073.34,,,,,,,,,,,,,,,,,,
,,,,17332.198,219.687,,639.111,8019.204185,,,,,,,,,,,
,,,,,,,,,,,,43536.18,37127.578,10387.122,,121334.42,198599.59,319934.01,37.92%
"Fairfield County, CT",,,,,,,,,,,,,,,,,,,
Bethel,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,10839.1,10839.1,
,,,,,,,,,,,,,,,,,,,0%
Bridgeport,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,10465.17,10465.17,0%
Brookfield,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,13031.3,13031.3,0%
Danbury,,,,,,,,,,,,,,,,,,,
,,,,,,,988.692,,,,,,,,,,,,
,,,,,,,,,,,,,,,,988.69,27118.2,28106.89,3.52%
Darien,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,8139,8139,0%
Easton,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,18302.9,18302.9,0%
Fairfield,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,19439.5,19439.5,0%
Greenwich,,,,,,,,,,,,,,,,,,,
,,,,,,,,457.234,,,,,,,,,,,
,,,,,,,,,,,,,,,,457.23,30616.45,31073.69,1.47%
Monroe,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,16819.3,16819.3,0%
New Canaan,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,14428.7,14428.7,0%
New Fairfield,,,,,,,,,,,,,,,,,,,
,,,,,,,3794.9664,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3794.97,12307.3,16102.27,23.57%
Newtown,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,37686.5,37686.5,0%
Norwalk,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,14745.83,14745.83,0%
Redding,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,20488,20488,0%
Ridgefield,,,,,,,,,,,,,,,,,,,
,,,,1855.464,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5189.27,,7044.73,15224.4,22269.13,31.63%
Shelton,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,20402.6,20402.6,0%
Sherman,,,,,,,,,,,,,,,,,,,
,,,,,,,1592.7101,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1592.71,13290.9,14883.61,10.7%
Stamford,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,24555.6,24555.6,0%
Stratford,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,11604.76,11604.76,0%
Trumbull,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,15094.4,15094.4,0%
Weston,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,13219.8,13219.8,0%
Westport,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,12919.83,12919.83,0%
Wilton,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,17509.6,17509.6,0%
Fairfield Total,,,,,,,,,,,,,,,,,,,
,,,,1855.464,,,,,,,,,,,,,,,
,,,,,,,6376.3685,457.234,,,,,,,,,,,
,,,,,,,,,,,,,,5189.27,,13878.34,398249.15,412127.48,3.37%
County and Town Area Statistics for the NYC West-of-Hudson Watershed*,,,,,,,,,,,,,,,,,,,
TOWN**,"Area of Town in Each NYC Reservoir Basin, in Acres",,,,,,,,,,,,,,,,,,
,,,,,,,Sub-total Town Acres Inside NYC Watershed,Town Acres Outside NYC Watershed,Total Town Acreage,% of each Town in NYC Watershed,,,,,,,,,
,Ashokan,Cannonsville,Neversink,Pepacton,Rondout,Schoharie,,,,,,,,,,,,,
DELAWARE COUNTY,,,,,,,,,,,,,,,,,,,
Andes,,1205,,64509,,,,,,,,,,,,,,,
,,,,,,,65714,6305,72019,91.2%,,,,,,,,,
Bovina,,24766,,3881,,,,,,,,,,,,,,,
,,,,,,,28647,,28647,100%,,,,,,,,,
Colchester,,,,,,,,,,,,,,,,,,,
,,,,18679,,,,,,,,,,,,,,,
,,,,,,,18679,71669,90348,20.7%,,,,,,,,,
Delhi,,40896,,701,,,,,,,,,,,,,,,
,,,,,,,41597,,41597,100%,,,,,,,,,
Deposit,,2279,,,,,,,,,,,,,,,,,
,,,,,,,2279,25999,28278,8.1%,,,,,,,,,
Franklin,,6043,,,,,,,,,,,,,,,,,
,,,,,,,6043,46205,52247,11.6%,,,,,,,,,
Hamden,,26149,,7187,,,,,,,,,,,,,,,
,,,,,,,33336,4800,38136,87.4%,,,,,,,,,
Harpersfield,,7083,,,,,,,,,,,,,,,,,
,,,,,,,7083,20112,27196,26%,,,,,,,,,
Kortright,,25024,,,,,,,,,,,,,,,,,
,,,,,,,25024,14833,39858,62.8%,,,,,,,,,
Masonville,,8095,,,,,,,,,,,,,,,,,
,,,,,,,8095,26548,34644,23.4%,,,,,,,,,
Meredith,,15419,,,,,,,,,,,,,,,,,
,,,,,,,15419,21924,37343,41.3%,,,,,,,,,
Middletown,161,11,,62235,,,,,,,,,,,,,,,
,,,,,,,62407,,62407,100%,,,,,,,,,
Roxbury,,323,,40431,,15363,56117,,56117,100%,,,,,,,,,
Sidney,,600,,,,,,,,,,,,,,,,,
,,,,,,,600,30271,30871,1.9%,,,,,,,,,
Stamford,,29709,,167,,1018,30894,,30894,100%,,,,,,,,,
Tompkins,,45237,,,,,,,,,,,,,,,,,
,,,,,,,45237,21556,66793,67.7%,,,,,,,,,
Walton,,55683,,,,,,,,,,,,,,,,,
,,,,,,,55683,6541,62223,89.5%,,,,,,,,,
Delaware WOH Towns Total,161,,,,,,,,,,,,,,,,,,
,,288523,0,197789,0,16380,502853,296764,799618,62.9%,,,,,,,,,
Delaware County Total Acres Inside and Outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,,938844,,,,,,,,,,
Delaware County Total Acres outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,435990,,,,,,,,,,,
% of All Delaware County inside WOH ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,53.6%,,,,,,,,,
GREENE COUNTY,,,,,,,,,,,,,,,,,,,
Ashland,,,,,,,,,,,,,,,,,,,
,,,,,,16054,16054,,16054,100%,,,,,,,,,
Halcott,,,,,,,,,,,,,,,,,,,
,,,,13716,,753,14468,,14468,100%,,,,,,,,,
Hunter,14608,,,,,,,,,,,,,,,,,,
,,,,,,28521,43129,14522,57650,74.8%,,,,,,,,,
Jewett***,,,,,,,,,,,,,,,,,,,
,,,,,,32162,32162,,32162,100%,,,,,,,,,
Lexington,17236,,,,,,,,,,,,,,,,,,
,,,,1336,,32614,51185,,51185,100%,,,,,,,,,
Prattsville,,,,,,,,,,,,,,,,,,,
,,,,,,13779,13779,,13779,100%,,,,,,,,,
Windham***,,,,,,,,,,,,,,,,,,,
,,,,,,28675,28675,,28675,100%,,,,,,,,,
Greene WOH Towns Total,31843,,,,,,,,,,,,,,,,,,
,,0,0,15051,0,152558,199452,14522,213973,93.2%,,,,,,,,,
Greene County Total Acres Inside and Outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,,420829,,,,,,,,,,
Greene County Total Acres outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,221377,,,,,,,,,,,
% of All Greene County inside WOH ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,47.4%,,,,,,,,,
SCHOHARIE COUNTY,,,,,,,,,,,,,,,,,,,
Broome,,,,,,,,,,,,,,,,,,,
,,,,,,39,39,30829,30868,0.1%,,,,,,,,,
Conesville,,,,,,,,,,,,,,,,,,,
,,,,,,21781,21781,3918,25699,84.8%,,,,,,,,,
Gilboa,,,,,,,,,,,,,,,,,,,
,,,,,,10913,10913,27104,38017,28.7%,,,,,,,,,
Jefferson,,2560,,,,,,,,,,,,,,,,,
,,,,,,373,2933,24631,27563,10.6%,,,,,,,,,
Schoharie WOH Towns Total,0,,,,,,,,,,,,,,,,,,
,,2560,0,0,0,33106,35665,86482,122147,29.2%,,,,,,,,,
Schoharie County Total Acres Inside and Outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,,400540,,,,,,,,,,
Schoharie County Total Acres outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,364875,,,,,,,,,,,
% of All Schoharie County inside WOH ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,8.9%,,,,,,,,,
SULLIVAN COUNTY,,,,,,,,,,,,,,,,,,,
Fallsburg,,,,,,,,,,,,,,,,,,,
,,,176,,812,,988,49616,50604,2%,,,,,,,,,
Liberty,,,,,,,,,,,,,,,,,,,
,,,240,,,,,,,,,,,,,,,,
,,,,,,,240,51483,51723,0.5%,,,,,,,,,
Neversink,,,,,,,,,,,,,,,,,,,
,,,20361,,23377,,43738,11043,54781,79.8%,,,,,,,,,
Sullivan WOH Towns Total,0,,,,,,,,,,,,,,,,,,
,,0,20777,0,24189,0,44966,112142,157108,28.6%,,,,,,,,,
Sullivan County Total Acres Inside and Outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,,637419,,,,,,,,,,
Sullivan County Total Acres outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,592453,,,,,,,,,,,
% of All Sullivan County inside WOH ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.1%,,,,,,,,,
ULSTER COUNTY,,,,,,,,,,,,,,,,,,,
Denning,176,,32258,18,23160,,55612,9319,64930,85.6%,,,,,,,,,
Hardenburgh,137,,49,22185,,,,,,,,,,,,,,,
,,,,,,,22370,28816,51186,43.7%,,,,,,,,,
Hurley,8491,,,,,,,,,,,,,,,,,,
,,,,,,,8491,14157,22649,37.5%,,,,,,,,,
Kingston,10,,,,,,,,,,,,,,,,,,
,,,,,,,10,4620,4630,0.2%,,,,,,,,,
Marbletown,270,,,,,,,,,,,,,,,,,,
,,,,,,,270,35399,35668,0.8%,,,,,,,,,
Olive,29021,,,,,,,,,,,,,,,,,,
,,,,,274,,29295,12749,42044,69.7%,,,,,,,,,
Rochester,,,,,,,,,,,,,,,,,,,
,,,,,2063,,2063,55046,57108,3.6%,,,,,,,,,
Shandaken,70859,,5820,2433,668,,79780,,79780,100%,,,,,,,,,
Wawarsing,,,,,,,,,,,,,,,,,,,
,,,,,10686,,10686,75519,86205,12.4%,,,,,,,,,
Woodstock,22441,,,,,,,,,,,,,,,,,,
,,,,,,,22441,21377,43818,51.2%,,,,,,,,,
Ulster WOH Towns Total,131404,,,,,,,,,,,,,,,,,,
,,0,38127,24636,36851,0,231018,257001,488018,47.3%,,,,,,,,,
Ulster County Total Acres Inside and Outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,,742753,,,,,,,,,,
Ulster County Total Acres outside WOH including non-WOH Towns,,,,,,,,,,,,,,,,,,,
,,,,,,,,511735,,,,,,,,,,,
% of All Ulster County inside WOH ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,31.1%,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,
"* County acreages outside WOH towns updated 6/2010 by T. Spies from NYSDOT town boundary data. All other town statistics generated 12/18/2002 by J. Tuscanes and T. Spies, NYCDEP BWS WLCP, from GIS data of best available municipal boundary data (hybrid of 1:4,800 county tax parcel data and 1:24,000 NYSDOT planimetric data) and 1:24,000 NYCDEP basin boundaries.",,,,,,,,,,,,,,,,,,,
** Incorporated Village acreages are included in the underlying township's acreage.,,,,,,,,,,,,,,,,,,,
"***  Town boundaries for the Greene County Towns of Windham, Jewett, Cairo, and Durham follow the ridgeline of the same divide forming the Schoharie Basin Watershed Boundary. Due to differing scales of the two data sources used to generate these statistics, care should be taken to categorize those towns as being either fully inside (Windham and Jewett) or outside (Cairo and Durham) the NYC watershed, despite any ""sliver"" polygons generated along boundaries when combining the two GIS layers. Such slivers are only artifacts of the differing scales of the data, while the true town boundaries and the watershed divide are one and the same.",,,,,,,,,,,,,,,,,,,
