Borough,District,Bldg I.D.,Building Name,Bldg Enroll,Bldg Capacity,Bldg Over/Under,Bldg Utilization,Org ID,Organization Name,Org Enroll,Org Capacity,Org Over/Under,Org Utilization,No. of Spec rooms used,Inclusionary
STATEN ISLAND,75,R818,P.S 37 TRANSPORTABLE - S.I.,0,0,0,0,R037,R037 SPED - STATEN ISLAND,0,0,0,0,0,
STATEN ISLAND,75,R819,P.S. 37 TRANSPORTABLE - S.I.,0,0,0,0,R037,R037 SPED - STATEN ISLAND,0,0,0,0,0,
STATEN ISLAND,75,R825,P.S. 25 (MOUNT LORETTO) - S.I.,180,155,25,116,R025,R025 SPED - STATEN ISLAND,180,155,25,116,0,
STATEN ISLAND,75,R825,P.S. 25 (MOUNT LORETTO) - S.I.,0,0,0,0,RG12,REGION 7 SUSPENSION - STATEN ISLAN,0,0,0,0,0,
STATEN ISLAND,75,R825,P.S. 25 (MOUNT LORETTO) - S.I.,0,0,0,0,RG16,STATEN ISLAND MENTAL HEALTH - S.I.,0,0,0,0,0,
STATEN ISLAND,75,R840,P.S. 37 ( OLD I24X)-STATEN ISLAND,307,338,-31,91,R037,R037 SPED - STATEN ISLAND,307,338,-31,91,0,
STATEN ISLAND,75,R843,P.S. 37 MINISCHOOL (OLD P32)-S.I.,0,0,0,0,R037,R037 SPED - STATEN ISLAND,0,0,0,0,0,
STATEN ISLAND,75,R884,P.S. 373 AX (PTR COMP-BLDG J)-S.I ,59,52,7,113,R373,R373 SPED - STATEN ISLAND,59,52,7,113,0,
STATEN ISLAND,75,R910,P.S. 25 TRANSPORTABLE - S.I.,0,0,0,0,R025,R025 SPED - STATEN ISLAND,0,0,0,0,0,
STATEN ISLAND,75,R973,P.S. 373 TEMP. C.R. BLDG. - S.I.  ,0,0,0,0,R373,R373 SPED - STATEN ISLAND,0,0,0,0,0,
