Shop Name,Telephone,Store Type (category 1),Store Type (category 2),Store Type (category 3),website,Location 1
Laila Rowe,212 579-5254,"Clothing Shops, Shoes & Accessories",,,www.lailarowe.com,"253 Columbus Avenue
New York, NY 10023
(40.77716802197478, -73.97892912498052)"
Liana,212 873-8746,"Clothing Shops, Shoes & Accessories",,,,"326 Columbus Avenue
New York, NY 10023
(40.77959071965942, -73.97724444473214)"
Malia Mills,212 874-7200,"Clothing Shops, Shoes & Accessories",,,www.maliamills.com,"220 Columbus Avenue
New York, NY 10023
(40.77619198337491, -73.97971338515838)"
Medici,212 712-9342,"Clothing Shops, Shoes & Accessories",,,www.medicishoes.com,"420 Columbus Avenue
New York, NY 10024
(40.78272481315315, -73.97496695403454)"
Michal Golan,212 362-6690 ,"Clothing Shops, Shoes & Accessories",,,www.michalgolan.com,"313 Columbus Avenue
New York, NY 10023
(40.77917539032882, -73.97750814155518)"
Mint,212 362-6250,"Clothing Shops, Shoes & Accessories",,,www.mintnyc.com,"448 Columbus Avenue
New York, NY 10024
(40.783546475734255, -73.97436370123103)"
Naturino,212 580-4322,"Clothing Shops, Shoes & Accessories",Childrens Stores,,www.naturino.com,"454 Columbus Avenue
New York, NY 10024
(40.78375781642727, -73.97421153593206)"
Olive & Bette's,212 579-2178,"Clothing Shops, Shoes & Accessories",,,www.oliveandbettes.com,"252 Columbus Avenue
New York, NY 10023
(40.77719426545071, -73.97899268776528)"
Only Hearts,212 724-5608,"Clothing Shops, Shoes & Accessories",,,www.onlyhearts.com,"386 Columbus Avenue
New York, NY 10024
(40.7816125530282, -73.97572748393713)"
Paige,212 769-1500,"Clothing Shops, Shoes & Accessories",,,www.paigeusa.com,"245 Columbus Avenue
New York, NY 10023
(40.776886234416345, -73.9791320120226)"
Patagonia,917 441-0011,"Clothing Shops, Shoes & Accessories",,,,"426 Columbus Avenue
New York, NY 10024
(40.78288959030982, -73.97480118224695)"
Pookie & Sebastian,212 580-5844,"Clothing Shops, Shoes & Accessories",,,www.pookieandsebastian.com,"322 Columbus Avenue
New York, NY 10023
(40.77954411236084, -73.97723834494639)"
Rag & Bone,212 362-7138,"Clothing Shops, Shoes & Accessories",,,www.rag-bone.com,"184 Columbus Avenue
New York, NY 10023
(40.77500588971157, -73.9805735850231)"
Really Great Things,212 787-5354,"Clothing Shops, Shoes & Accessories",,,,"284A Columbus Avenue
New York, NY 10023
(40.778261836668264, -73.97821278359328)"
Really GreatThings (expansion),212 787-5868,"Clothing Shops, Shoes & Accessories",,,,"300 Columbus Avenue
New York, NY 10023
(40.7788336479577, -73.97775995172339)"
Reiss,212 874-0245,"Clothing Shops, Shoes & Accessories",,,www.reissonline.com,"199 Columbus Avenue
New York, NY 10023
(40.77544732466873, -73.980187247455)"
Roslyn,212 496-5050,"Clothing Shops, Shoes & Accessories",,,www.roslynjewelryny.com,"276 Columbus Avenue
New York, NY 10023
(40.77801766948471, -73.97838987152618)"
Sean,212 769-1489,"Clothing Shops, Shoes & Accessories",,,www.seanstore.com,"224 Columbus Avenue
New York, NY 10023
(40.77631202487938, -73.97962715816222)"
Swatch,212 595-9640,"Clothing Shops, Shoes & Accessories",,,www.swatch.com,"100 72nd Street
New York, NY 10023
(40.77755661067607, -73.97912692120792)"
Teddy's,212 875-0500,"Clothing Shops, Shoes & Accessories",,,shopteddy.com,"265 Columbus Avenue
New York, NY 10023
(40.77756263971731, -73.97864225192535)"
Helut Lang,212 877-3450,"Clothing Shops, Shoes & Accessories",,,www.helmutlangjournal.com,"230 Columbus Avenue
New York, NY 10023
(40.77649208713609, -73.97949781766796)"
Thérapie NY,212 877-3307,"Clothing Shops, Shoes & Accessories",Services,Childrens Stores,www.therapieny.com,"309 Columbus Avenue
New York, NY 10023
(40.77899919531656, -73.97759493404348)"
Think Closet,212 877-9777,"Clothing Shops, Shoes & Accessories",,,thinkcloset.com,"324 Columbus Avenue
New York, NY 10023
(40.7795230906454, -73.97729328790894)"
Verve,212 580-7150,"Clothing Shops, Shoes & Accessories",,,www.vervenyc.com,"282 Columbus Avenue
New York, NY 10024
(40.780021533610444, -73.97693301084871)"
Wink,212 877-7727,"Clothing Shops, Shoes & Accessories",,,www.winknyc.com,"188 Columbus Avenue
New York, NY 10023
(40.7751392691559, -73.98048153442068)"
Z Baby,212 579-2229,"Clothing Shops, Shoes & Accessories",Childrens Stores,,www.zbabycompany.com,"100 72nd Street
New York, NY 10023
(40.77755661067607, -73.97912692120792)"
Sensuous Bean,212 724-7725,Coffee & Tea,,,www.sensuousbean.com,"66 70th St
New York, NY 10023
(40.7757056246949, -73.97887822679047)"
Starbucks,646 505-1106,Coffee & Tea,,,www.starbucks.com,"338 Columbus Avenue
New York, NY 10023
(40.77999649376677, -73.97695138565459)"
Starbucks,212 579-7834,Coffee & Tea,,,www.starbucks.com,"48 73 Street
New York, NY 10023
(40.778024258131325, -73.97811068731482)"
Starbucks ,212 769-2296,Coffee & Tea,,,www.starbucks.com,"444 Columbus Avenue
New York, NY 10024
(40.78340558195504, -73.97446514475206)"
World Coffee,212 874-1936,Coffee & Tea,,,,"416 Columbus Avenue
New York, NY 10024
(40.78263404590875, -73.97503413204005)"
79 CP Deli,212 724-5425,Food Shops,,,,"102 79th Street
New York, NY 10024
(40.782116173364614, -73.97588036868211)"
Andy's Deli,212 799-3355,Food Shops,,,,"418 Columbus Avenue
New York, NY 10024
(40.78274569878516, -73.9749091008905)"
Bomboloni,212 877-3080,Food Shops,,,www.bomboloni.com,"187 Columbus Avenue
New York, NY 10023
(40.775047186312854, -73.98046339927807)"
Columbus Farm,212 579-5973,Food Shops,,,,"236 Columbus Avenue
New York, NY 10023
(40.7766721493928, -73.97936847717371)"
Columbus Gourmet Deli,212 721-7800,Food Shops,,,www.columbusgourmetnyc.com,"261 Columbus Avenue
New York, NY 10023
(40.77741986735438, -73.97874745261385)"
CP Yang Grocery,212 877-0837,Food Shops,,,,"281 Columbus Avenue
New York, NY 10023
(40.778102261681816, -73.97824499282405)"
General Nutrition Center,212 721-1876,Food Shops,,,www.gnc.com,"159 Columbus Avenue
New York, NY 10023
(40.774277986590484, -73.98103709720698)"
Gotham Food,212 595-0010,Food Shops,,,,"273 Columbus Avenue
New York, NY 10023
(40.77784818444318, -73.97843185054839)"
Great Farm,212 580-4781,Food Shops,,,,"181 Columbus Avenue
New York, NY 10023
(40.774847117146365, -73.98060147518169)"
Lenny's Caf&#233,212 580-8300,Food Shops,,,www.lennysnyc.com,"302 Columbus Avenue
New York, NY 10023
(40.77884264117796, -73.97775095850307)"
Museum Deli & Grocery,,Food Shops,,,,"378 Columbus Avenue
New York, NY 10024
(40.78129544775672, -73.9759877042884)"
Pappardella Gelato & Sorbetto ,212 595-7996,Food Shops,,,,"316 Columbus Avenue
New York, NY 10023
(40.77928521534567, -73.97746649505467)"
Pinkberry,212 874-1280,Food Shops,,,www.pinkberry.com/frozen-yogurt-store/us/ny/new-york/74/columbus-ave,"313 Columbus Avenue
New York, NY 10023
(40.77917539032882, -73.97750814155518)"
Pioneer Market,212 874-9506,Food Shops,,,www.pioneersupermarkets.com,"289 Columbus Avenue
New York, NY 10023
(40.77836902057047, -73.97805337728433)"
Super Sandwich,212 362-6076,Food Shops,,,,"265 Columbus Avenue
New York, NY 10023
(40.77756263971731, -73.97864225192535)"
ABC TV,212 456-7777,Hotels & Entertainment,,,,"157 Columbus Avenue
New York, NY 12023
(40.774224959293875, -73.98107782831886)"
Comfort Inn,212 721-4770,Hotels & Entertainment,,,www.comfortinn.com/,"31 71st Street
New York, NY 10023
(40.776099708988625, -73.97779592460455)"
Excelsior Hotel,212 362-9200,Hotels & Entertainment,,,www.excelsiorhotelny.com,"45 81st Street
New York, NY 10024
(40.78295254285189, -73.97388387377708)"
Kaufman Center & Merkin Concert Hall,212 501-3300,Hotels & Entertainment,,,kaufman-center.org/,"129 67th Street
New York, NY 10023
(40.77496232773095, -73.98278656009595)"
Lucerne Hotel,212 875-1000,Hotels & Entertainment,,,www.thelucernehotel.com/,"201 79th Street
New York, NY 10024
(40.78320260973434, -73.97835560138569)"
Park 79 Hotel ,212 787-3300,Hotels & Entertainment,,,www.park79.com/,"117 79th Street
New York, NY 10024
(40.782242078448746, -73.97616815173149)"
Lowes Lincoln Sq.,212 336-5020,Hotels & Entertainment,,,www.amctheatres.com/LincolnSquare/,"1998 Broadway
New York, NY 10023
(40.77540903365787, -73.98201490231912)"
On the Ave,212 362-1100,Hotels & Entertainment,,,www.ontheave-nyc.com/,"2178 Broadway
New York, NY 10023
(40.78168315095149, -73.9809333763634)"
American Folk Art Museum,(212) 595-9533,Museums & Cultural Institutions,,,folkartmuseum.org/branch,"2 Lincoln Square
New York, NY 10023
(40.604795381251094, -74.06876264257916)"
New York Historical Society,212 873-3400,Museums & Cultural Institutions,,,www.nyhistory.org,"2 77th Street
New York, NY 10024
(40.77947967410975, -73.97363676705098)"
The Culture Center,212 769-1600,Museums & Cultural Institutions,,,www.culturecenterny.org,"410 Columbus Avenue
New York, NY 10024
(40.78243093607489, -73.97514292461813)"
Lincoln Center for the Preforming Arts,212.875.5456,Museums & Cultural Institutions,,,new.lincolncenter.org/,
Film Society of Lincoln Center ,212 875-5610,Museums & Cultural Institutions,,,www.filmlinc.com/,"165 65th Street
New York, NY 10023
(40.773806432136304, -73.98397578271218)"
Allice Tully Hall,212 671-4050,Museums & Cultural Institutions,,,new.lincolncenter.org/,"1941 Broadway
New York, NY 10023
(40.77263282256568, -73.98235571039955)"
Metropolitan Opera House,212-362-6000,Museums & Cultural Institutions,,,www.metoperafamily.org,"10 Lincoln Center Plaza
New York, NY 10023
(40.774536138232236, -73.97994335610099)"
Avery Fisher Hall,212.875.5030,Museums & Cultural Institutions,,,new.lincolncenter.org/,"10 Lincoln Center Plaza
New York, NY 10023
(40.774536138232236, -73.97994335610099)"
Beaumont & Newhouse Theaters,212 239-6200,Museums & Cultural Institutions,,,www.lct.org/,"50 Lincoln Center Plaza
New York, NY 10023
(40.774536138232236, -73.97994335610099)"
American Museum of Natural History,212 769-5100,Museums & Cultural Institutions,,,www.amnh.org,"Central Park
New York, NY 10024
(40.785299773348356, -73.96934229752912)"
Rose Center for Earth & Space,212 769-5200,Museums & Cultural Institutions,,,www.amnh.org/rose,"81st Street between Columbus
New York, NY 10024
(40.78514798756913, -73.97900343384845)"
Alice's Tea Cup,212 799-3006,"Restaurants, Cafes & Drinking Establishments",Coffee & Tea,,www.alicesteacup.com,"102 73rd Street
New York, NY 10023
(40.77824009541837, -73.9786233008715)"
Amber,212 799-8100,"Restaurants, Cafes & Drinking Establishments",,,www.amberwestside.com,"221 Columbus Avenue
New York, NY 10023
(40.7762525937336, -73.97963054154434)"
Arte Around the Corner,212 875-2195,"Restaurants, Cafes & Drinking Establishments",,,www.artearoundthecorner.com,"274 Columbus Avenue
New York, NY 10023
(40.77794628332776, -73.97844247185236)"
Bello Giardino,212 875-1512,"Restaurants, Cafes & Drinking Establishments",,,ww.bellogiardino.com,"71 71 Street
New York, NY 10023
(40.776398051403035, -73.97842710595285)"
Bin 71,212 362-5446,"Restaurants, Cafes & Drinking Establishments",,,www.bin71.com,"235 Columbus Avenue
New York, NY 10023
(40.77657259455106, -73.97935757525414)"
Bistro Cassis,212 579-3966,"Restaurants, Cafes & Drinking Establishments",,,www.bistrocassis.com,"225 Columbus Avenue
New York, NY 10023
(40.77634252593651, -73.97956758900227)"
Café Frida,212 712-2929,"Restaurants, Cafes & Drinking Establishments",,,www.cafefrida.com,"368 Columbus Avenue
New York, NY 10024
(40.781023467294595, -73.97619160700835)"
Café Ronda,212 579-9929,"Restaurants, Cafes & Drinking Establishments",,,www.caferonda.com,"249 Columbus Avenue
New York, NY 10023
(40.77702712819556, -73.97903056850157)"
Café Sonatina,(212) 362-0819,"Restaurants, Cafes & Drinking Establishments",Coffee & Tea,,,"106 69th Street
New York, NY 10023
(40.77561407509279, -73.98053885679388)"
China Fun,212 580-1516,"Restaurants, Cafes & Drinking Establishments",,,www.chinafun-ny.com,"246 Columbus Avenue
New York, NY 10023
(40.77698292478188, -73.97914485304685)"
Columbus Tavern,212 873-9400,"Restaurants, Cafes & Drinking Establishments",,,,"269 Columbus Avenue
New York, NY 10023
(40.777705412080245, -73.97853705123687)"
Columbus 72,212 362-6244,"Restaurants, Cafes & Drinking Establishments",Hotels & Entertainment,,www.columbus72.com,"246 Columbus Avenue
New York, NY 10023
(40.77698292478188, -73.97914485304685)"
Ditch Plains,212.362.4815,"Restaurants, Cafes & Drinking Establishments",,,www.ditch-plains.com,"100 82 Street
New York, NY 10024
(40.783918261498606, -73.9741662532992)"
Dive 75,212 362-7518,"Restaurants, Cafes & Drinking Establishments",,,www.divebarnyc.com,"101 75th Street
New York, NY 10023
(40.77941532401009, -73.9774408114314)"
Dovetail,212 362-3800,"Restaurants, Cafes & Drinking Establishments",,,www.dovetailnyc.com,"103 77th Street
New York, NY 10023
(40.63128563185635, -74.03359970885501)"
Earthen Oven,212 579-8888,"Restaurants, Cafes & Drinking Establishments",,,www.earthenoven.com,"53 72nd Street
New York, NY 10023
(40.77734077338903, -73.97863229409177)"
Emerald Inn,212 874-8840,"Restaurants, Cafes & Drinking Establishments",,,,"205 Columbus Avenue
New York, NY 10023
(40.77561382830379, -73.98006295365273)"
Empire Szechuan Kyoto,212 496-8778,"Restaurants, Cafes & Drinking Establishments",,,,"193 Columbus Avenue
New York, NY 10023
(40.77524725547934, -73.98032532337443)"
Epices,212 579-5904,"Restaurants, Cafes & Drinking Establishments",,,,"103 70th Street
New York, NY 10023
(40.77621662085244, -73.98001725001694)"
Francesco Pizzeria,212 721-0066,"Restaurants, Cafes & Drinking Establishments",,,www.francescospizzanyc.com,"186 Columbus Avenue
New York, NY 10023
(40.77511045475637, -73.98046691103156)"
Gari,212 362-4816,"Restaurants, Cafes & Drinking Establishments",,,www.sushiofgari.com,"370 Columbus Avenue
New York, NY 10024
(40.78104598014977, -73.97613217885032)"
Gazala,212 873-8880,"Restaurants, Cafes & Drinking Establishments",,,gazalaplace.com,"390 Columbus Avenue
New York, NY 10024
(40.7816860053276, -73.97571380677114)"
Harry's Burrito,212 580-9494,"Restaurants, Cafes & Drinking Establishments",,,www.harrysburritos.com,"241 Columbus Avenue
New York, NY 10023
(40.776745340637135, -73.97923345554365)"
Il Violino,212 873-2500,"Restaurants, Cafes & Drinking Establishments",,,www.ilviolinorestaurant.com,"180 Columbus Avenue
New York, NY 10023
(40.77493958357081, -73.98058382289537)"
Indigo,212 579-3900,"Restaurants, Cafes & Drinking Establishments",,,www.indigoindian.com,"283 Columbus Avenue
New York, NY 10023
(40.778168951403984, -73.97819708893911)"
Isabella's,212 724-2100,"Restaurants, Cafes & Drinking Establishments",,,www.isabellas.com,"359 Columbus Avenue
New York, NY 10023
(40.779970188713115, -73.97688786478378)"
Jalapeno,212 877-7800,"Restaurants, Cafes & Drinking Establishments",,,jalapenonyc.com,"185 Columbus Avenue
New York, NY 10023
(40.77498049659069, -73.98050942457927)"
La Boite en Bois,212 874-2705,"Restaurants, Cafes & Drinking Establishments",,,www.laboitenyc.com,"75 68th Street
New York, NY 10023
(40.77473273950409, -73.98037697882864)"
Lansky's ,212 787-0400,"Restaurants, Cafes & Drinking Establishments",,,www.lanskysnyc.com,"235 Columbus Avenue
New York, NY 10023
(40.77657259455106, -73.97935757525414)"
Magnolia Bakery,212 724-8101,"Restaurants, Cafes & Drinking Establishments",Food Shops,,www.magnoliabakery.com,"200 Columbus Avenue
New York, NY 10023
(40.77551137948189, -73.98022351643253)"
Malachy's Donegal Inn,212 874-4268,"Restaurants, Cafes & Drinking Establishments",,,,"103 72nd Street
New York, NY 10023
(40.77759258355724, -73.97922584663115)"
Muffins Café,212 875-1173,"Restaurants, Cafes & Drinking Establishments",Coffee & Tea,,,"222 Columbus Avenue
New York, NY 10023
(40.776252004127144, -73.9796702716603)"
Mughlai,212 724-6363,"Restaurants, Cafes & Drinking Establishments",,,www.mughlainyc.com,"320 Columbus Avenue
New York, NY 10023
(40.77944518693761, -73.97731029070872)"
Ocean Grill,212 579-2300,"Restaurants, Cafes & Drinking Establishments",,,www.oceangrill.com,"384 Columbus Avenue
New York, NY 10024
(40.78149072654216, -73.97585075552976)"
Pappardella,213 595-7996,"Restaurants, Cafes & Drinking Establishments",,,www.pappardella.com,"316 Columbus Avenue
New York, NY 10023
(40.77928521534567, -73.97746649505467)"
Pasha,212 579-8751,"Restaurants, Cafes & Drinking Establishments",,,www.pashanewyork.com,"70 71st Street
New York, NY 10023
(40.776343478608986, -73.97844644206104)"
Pizza Joint Too,212 799-4444,"Restaurants, Cafes & Drinking Establishments",,,,"70 71st Street
New York, NY 10023
(40.776343478608986, -73.97844644206104)"
Pomodoro,212 721-3009,"Restaurants, Cafes & Drinking Establishments",,,www.pomodororossonyc.com,"229 Columbus Avenue
New York, NY 10023
(40.77645943780033, -73.97947765679936)"
Raku,212 873-1220,"Restaurants, Cafes & Drinking Establishments",,,rakuupperwest.com,"57 76th Street
New York, NY 10023
(40.77989484795228, -73.97666277884764)"
Rigoletto's Pizza,212 721-2929,"Restaurants, Cafes & Drinking Establishments",,,,"208 Columbus Avenue
New York, NY 10023
(40.775803029616, -73.98000372212856)"
Santa Fe,212 724-0822,"Restaurants, Cafes & Drinking Establishments",,,www.santafe71.com,"73 71st Street
New York, NY 10023
(40.77642080487959, -73.97848125079985)"
Shake Shack,646 747-8770,"Restaurants, Cafes & Drinking Establishments",Food Shops,,www.shakeshack.com,"366 Columbus Avenue
New York, NY 10024
(40.78096513726777, -73.97623556586913)"
Sido,212 496-2803,"Restaurants, Cafes & Drinking Establishments",,,sidofalafelnyc.com,"267 Columbus Avenue
New York, NY 10023
(40.77763402589878, -73.97858965158112)"
Tenzan,212 580-7300,"Restaurants, Cafes & Drinking Establishments",,,www.tenzanrestaurants.com,"285 Columbus Avenue
New York, NY 10023
(40.778235641126145, -73.97814918505418)"
Uno Chicago Grill ,212 595-4700,"Restaurants, Cafes & Drinking Establishments",,,308.unotogo.com/zgrid/proc/site/start.jsp,"432 Columbus Avenue
New York, NY 10024
(40.783059576785334, -73.97471841739853)"
Wine and Roses,212 579-9463,"Restaurants, Cafes & Drinking Establishments",,,wineandrosesbar.com,"286 Columbus Avenue
New York, NY 10023
(40.778328526390425, -73.97816487970836)"
Absolute Lock & Hardware,212 712-9887,Services,,,,"69 71st Street
New York, NY 10023
(40.77637529792648, -73.97837296110586)"
Amazing Store & Smoke Shop,718 427-0078,Services,,,,"208A Columbus Avenue
New York, NY 10023
(40.775803029616, -73.98000372212856)"
Anel French Cleaners,212 799-0199,Services,,,,"219 Columbus Avenue
New York, NY 10023
(40.776018770005976, -73.9798014127299)"
Angelo's Shoe Repair,no phone,Services,,,,"228 Columbus Avenue
New York, NY 10023
(40.776432066383855, -73.97954093116604)"
Bank of America,no phone,Services,,,www.bankofamerica.com,"334 Columbus Avenue
New York, NY 10023
(40.77986123573872, -73.97704907200819)"
Bank of America,no phone,Services,,,www.bankofamerica.com,"192 Columbus Avenue
New York, NY 10023
(40.77527264860022, -73.98038948381826)"
Bellmarc,212 874-0100,Services,,,www.bellmarc.com,"424 Columbus Avenue
New York, NY 10024
(40.782826637767755, -73.97484614834843)"
Billy & I Shoe Repair,212 874-2310,Services,,,,"190 Columbus Avenue
New York, NY 10023
(40.775205958900955, -73.98043550910367)"
Citibank,212 501-8890,Services,,,www.citibank.com,"441 Columbus Avenue
New York, NY 10024
(40.7834291835274, -73.97440548055408)"
City French Dry Cleaners,212 362-3341,Services,,,,"206 Columbus Avenue
New York, NY 10023
(40.775730117082475, -73.98005867070455)"
Dramatics NYC,212 496-6430,Services,,,www.dramaticsnyc.com/74,"305 Columbus Avenue
New York, NY 10023
(40.77899552592294, -73.97764303985957)"
Duane Reade,212 580-2017,Services,,,www.duanereade.com,"321 Columbus Avenue
New York, NY 10023
(40.7795531055811, -73.97722935172607)"
Ellen's Couture,212 496-8800,Services,Services,,ellenscouture.com,"445 Columbus Avenue
New York, NY 10024
(40.78337934045659, -73.9744015743297)"
European Wax Center,212 799-5999,Services,,,www.waxcenter.com,"314 Columbus Avenue
New York, NY 10023
(40.779220404229484, -73.97751439892316)"
Photo Op,212-362-1911,Services,Childrens Stores,,photoopnyc.com,"442 Columbus Avenue
New York, NY 10024
(40.78333513506543, -73.97451586651258)"
Go Wireless,212 877-7723,Services,,,www.gowireless.net,"315 Columbus Avenue
New York, NY 10023
(40.779193628754136, -73.97745122237224)"
Golden Key Locksmith,212 580-0066,Services,,,,"328A Columbus Avenue
New York, NY 10023
(40.77975095642756, -73.97708546020141)"
Halstead Property Company,212 769-3000,Services,,,www.halstead.com,"408 Columbus Avenue
New York, NY 10024
(40.78227899354451, -73.97529337662345)"
HSBC,212 874-4101,Services,,,www.us.hsbc.com,"301 Columbus Avenue
New York, NY 10023
(40.77886062761854, -73.9777419652828)"
Jeffrey Stein Salon,212 580-6000,Services,,,www.jeffreysteinsalon.net,"250 Columbus Avenue
New York, NY 10023
(40.77712381858529, -73.97904340950839)"
L.AcXin He,212 721-5381,Services,,,www.xinclinic.com,"60 75 Street
New York, NY 10023
(40.77885752917574, -73.97625162126306)"
La Mode Cleaners,212 595-4299,Services,,,,"194 Columbus Avenue
New York, NY 10023
(40.77533933834528, -73.98034345850125)"
Laundromat,212 877-6821,Services,,,,"102 71st Street
New York, NY 10023
(40.77684614627293, -73.97956758900227)"
M Salon,212 873-5255,Services,,,www.msalon.us,"324 Columbus Avenue
New York, NY 10023
(40.7795230906454, -73.97729328790894)"
Manhattan Maliroom,212 724-1600,Services,,,www.manhattanmailroom.com,"459 Columbus Avenue
New York, NY 10024
(40.78387246870803, -73.97404652198865)"
Merit Cleaners,212 724-9140,Services,,,,"102 79th Street
New York, NY 10024
(40.782116173364614, -73.97588036868211)"
Mobile Gallery,212 799-6500,Services,,,www.wirelesssolutionsny.com,"265 Columbus Avenue
New York, NY 10023
(40.77756263971731, -73.97864225192535)"
Nails & More,212 787-2444,Services,,,,"267 Columbus Avenue
New York, NY 10023
(40.77763402589878, -73.97858965158112)"
Pinky New York,212 787-0390,Services,,,,"312 Columbus Avenue
New York, NY 10023
(40.77915559306879, -73.97756230282454)"
Pro Smile,212 799-8040,Services,,,www.prosmile1.com,"53 72nd Street
New York, NY 10023
(40.77734077338903, -73.97863229409177)"
Reamir Barber Shop,212 877-4255,Services,,,www.reamir.com,"303A Columbus Avenue
New York, NY 10023
(40.77880476190124, -73.97773864569827)"
Salon Gabor,212 501-8276,Services,,,,"222 Columbus Avenue
New York, NY 10023
(40.776252004127144, -73.9796702716603)"
Scott J.  Aveda Salon & Spa,212 769-0107,Services,,,www.scottj.com,"257 Columbus Avenue
New York, NY 10023
(40.777308915754, -73.97882768145949)"
Starlight Laundry,212 874-0227,Services,,,,"103 71st Street
New York, NY 10023
(40.77686413271351, -73.97961255510376)"
Supercuts,212 724-4343,Services,,,www.supercuts.com,"410 Columbus Avenue
New York, NY 10024
(40.78243093607489, -73.97514292461813)"
Supreme Hardware,212 362-3555,Services,,,,"65 73rd Street
New York, NY 10023
(40.77800627169074, -73.97806572121334)"
Thomas Drugs,212 877-7340,Services,,,,"171 Columbus Avenue
New York, NY 10023
(40.77459615037567, -73.9807927105314)"
Twenty One,212 362-2867,Services,,,twentyonespa.com,"102 79th Street
New York, NY 10024
(40.782116173364614, -73.97588036868211)"
Verde Garment Care,212 579-7880,Services,,,,"322 Columbus Avenue
New York, NY 10023
(40.77954411236084, -73.97723834494639)"
Walker Malloy & Co.,212 712-6180,Services,,,www.walkermalloy.com,"101 70th Street
New York, NY 10023
(40.77618064797127, -73.97994530425456)"
West Side Pharmacy,212 362-9170,Services,,,,"255 Columbus Avenue
New York, NY 10023
(40.77723846888858, -73.9788784032026)"
NYPD 20th Precict,212 580-6411,Services,,,www.nyc.gov/html/nypd/html/precincts/precinct_020.shtml,"120 82nd Street
New York, NY 10024
(40.78414884983976, -73.97470855576265)"
Bang & Olufson,212 501-0926,Specialty Shops,,,www.bang-olufsen.com,"330 Columbus Avenue
New York, NY 10023
(40.77972597771068, -73.97714675836178)"
Bicycle Renaissance,212 724-2350,Specialty Shops,,,bicyclerenaissance.com,"430 Columbus Avenue
New York, NY 10024
(40.783006502173635, -73.97472024326436)"
