ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number
15,"CEC ENTERTAINMENT, INC",CHUCK E. CHEESE'S,AMUSEMENT ARCADES,1059241,"48-18 NORTHERN BOULEVARD, ASTORIA, NY 11101",48-18,NORTHERN BOULEVARD,ASTORIA,NY,11101,Queens,ROOF,(972) 258-8507
16,CEC ENTERTAINMENT_INC,CHUCK E. CHEESE'S,AMUSEMENT ARCADES,1454467,"4024 COLLEGE POINT BOULEVARD, FLUSHING, NY 11354",4024,COLLEGE POINT BOULEVARD,FLUSHING,NY,11354,Queens,,(718) 321-0465
17,"PETER PAN GAMES OF BAYSIDE, LTD.",,AMUSEMENT ARCADES,739082,"212-93 26 AVENUE, BAYSIDE, NY 11360",212-93,  26 AVENUE,BAYSIDE,NY,11360,Queens,,(718) 229-0064
18,ALFA MANAGEMENT GROUP INC.,FUNTOPIA USA,AMUSEMENT ARCADES,1075313,"66-26 METROPOLITAN AVENUE, MIDDLE VILLAGE, NY 11379",66-26,METROPOLITAN AVENUE,MIDDLE VILLAGE,NY,11379,Queens,MEZZ,(718) 381-4300
19,162-54 CORP,CAROSELLO CAFE,AMUSEMENT ARCADES,937959,"162-50 CROSSBAY BOULEVARD, HOWARD BEACH, NY 11414",162-50,CROSSBAY BOULEVARD,HOWARD BEACH,NY,11414,Queens,1ST FLOOR,(718) 843-7292
20,SCIENCE & PLAY ENTERTAINMENT CORP,FUN STATION USA,AMUSEMENT ARCADES,1342498,"3555 VICTORY BOULEVARD, STATEN ISLAND, NY 10314",3555,VICTORY BOULEVARD,STATEN ISLAND,NY,10314,Staten Island,,(718) 370-0077
21,1ST NOEL INC,,AUCTION HOUSES,1401972,"3766 BOSTON RD, BRONX, NY 10469",3766,BOSTON RD,BRONX,NY,10469,Bronx,,(718) 324-9902
22,KESTENBAUM & COMPANY INC,,AUCTION HOUSES,1407941,"242 WEST   30 STREET, NEW YORK, NY 10001",242,WEST   30 STREET,NEW YORK,NY,10001,Manhattan,,(212) 366-1197
23,ROLAND ANTIQUES GALLERY INC,,AUCTION HOUSES,1425100,"80 EAST   11 ST, NEW YORK, NY 10003",80,EAST   11 ST,NEW YORK,NY,10003,Manhattan,,(212) 260-2000
24,"SWANN GALLERIES, INC",,AUCTION HOUSES,1214114,"104 EAST 25 STREET, NEW YORK, NY 10010",104,EAST 25 STREET,NEW YORK,NY,10010,Manhattan,,(212) 254-4710
25,"A. LIN, INC",,AUCTION HOUSES,1424322,"96 5 AVENUE, NEW YORK, NY 10011",96,   5 AVENUE,NEW YORK,NY,10011,Manhattan,,(646) 201-8806
26,"PHILLIPS, DE PURY & COMPANY LLC",,AUCTION HOUSES,1224229,"450 WEST   15 STREET, NEW YORK, NY 10011",450,WEST   15 STREET,NEW YORK,NY,10011,Manhattan,,(212) 940-1216
27,"YELLOW BRICK COMMUNICATIONS, LLC",,AUCTION HOUSES,1398956,"212 W 22ND ST, NEW YORK, NY 10011",212,W 22ND ST,NEW YORK,NY,10011,Manhattan,APT 6C,(917) 224-4526
28,"CARLYLE AUCTIONS, INC",,AUCTION HOUSES,1447229,"230 E  48TH  ST, NEW YORK, NY 10017",230,E  48TH  ST,NEW YORK,NY,10017,Manhattan,8E,(917) 751-1767
29,HONG KONG AUCTIONS INTERNATIONAL (NY) INC.,,AUCTION HOUSES,1249895,"295 MADISON AVENUE, NEW YORK, NY 10017",295,MADISON AVENUE,NEW YORK,NY,10017,Manhattan,,(212) 226-2660
30,"WICHITA AUCTIONEERS, INC.",,AUCTION HOUSES,1416847,"22 WEST   38 ST, NEW YORK, NY 10018",22,WEST   38 ST,NEW YORK,NY,10018,Manhattan,4/FL,(212) 221-3700
31,CIRKERS NY BUSINESS LLC,,AUCTION HOUSES,1365817,"444 W 55TH ST, NEW YORK, NY 10019",444,W 55TH ST,NEW YORK,NY,10019,Manhattan,,(212) 484-2000
32,"SPINK USA, INC.",SPINK SHREVES,AUCTION HOUSES,1305186,"145 W 57TH ST, NEW YORK, NY 10019",145,W 57TH ST,NEW YORK,NY,10019,Manhattan,18TH FL,(212) 262-8400
33,"STACK'S-BOWERS NUMISMATICS, LLC",,AUCTION HOUSES,1434316,"110 W 57 ST, NEW YORK, NY 10019",110,W 57 ST,NEW YORK,NY,10019,Manhattan,2 FLR,(212) 582-2580
34,CHRISTIE'S INC,,AUCTION HOUSES,1213717,"20 ROCKEFELLER PLAZA, NEW YORKN, NY 10020",20,ROCKEFELLER PLAZA,NEW YORKN,NY,10020,Manhattan,,(212) 636-2637
35,GENE SHAPIRO AUCTIONS LLC,,AUCTION HOUSES,1280204,"506 EAST 74TH STREET, NEW YORK, NY 10021",506,EAST 74TH STREET,NEW YORK,NY,10021,Manhattan,2ND FLOOR,(212) 717-7500
36,KENO AUCTIONS LLC,,AUCTION HOUSES,1377542,"127 E 69TH ST, NEW YORK, NY 10021",127,E 69TH ST,NEW YORK,NY,10021,Manhattan,,(212) 734-2381
37,SOTHEBY'S INC.,,AUCTION HOUSES,1216058,"1334 YORK AVENUE, NEW YORK, NY 10021",1334,YORK AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 606-7000
38,"POWERS, MICHAEL R.",MANHATTAN AUCTIONS,AUCTION HOUSES,1341160,"402 EAST   74 STREET, NEW YORK, NY 10021-3936",402,EAST   74 STREET,NEW YORK,NY,10021-3936,Manhattan,APT 6F,(212) 461-0205
39,HERITAGE AUCTINEERS & GALLERIES INC,HERITAGE AUCTION GALLERIES,AUCTION HOUSES,1364738,"445 PARK AVE, NEW YORK, NY 10022",445,PARK AVE,NEW YORK,NY,10022,Manhattan,,(212) 486-3500
40,PHILLIPS DE PURY & COMPANY LLC,,AUCTION HOUSES,1373727,"450 PARK AVE, NEW YORK, NY 10022",450,PARK AVE,NEW YORK,NY,10022,Manhattan,,(212) 940-1215
41,"ROBERT A. SIEGEL AUCTION GALLERIES, INC",,AUCTION HOUSES,1215592,"60 EAST 56TH STREET, NEW YORK, NY 10022",60,EAST 56TH STREET,NEW YORK,NY,10022,Manhattan,4TH FLOOR,(212) 753-6421
42,"ACKER,MERRALL & CONDIT COMPANY",,AUCTION HOUSES,1413658,"160 WEST 72 STREET, NEW YORK, NY 10023",160,WEST 72 STREET,NEW YORK,NY,10023,Manhattan,GROUND FLOOR,(212) 787-1700
43,ARTOSINO AUCTIONS INC,,AUCTION HOUSES,1443687,"36 W 44TH ST, NEW YORK, NY 10036",36,W 44TH ST,NEW YORK,NY,10036,Manhattan,STE 707A,(212) 888-9338
44,ICAP PATENT BROKERAGE LLC,,AUCTION HOUSES,1380244,"500 5TH AVE, NEW YORK, NY 10036",500,5TH AVE,NEW YORK,NY,10036,Manhattan,SUITE  830,(212) 815-6692
45,HAYES NY BUSINESS LLC,,AUCTION HOUSES,1436911,"305 E 61ST ST, NEW YORK, NY 10065",305,E 61ST ST,NEW YORK,NY,10065,Manhattan,,(212) 838-2525
46,"WILLIAM DOYLE GALLERIES, INC.",DOYLE NEW YORK,AUCTION HOUSES,1212015,"175 EAST   87 STREET, NEW YORK, NY 10128",175,EAST   87 STREET,NEW YORK,NY,10128,Manhattan,,(212) 427-2730
47,"ZACHYS WINE AUCTIONS, INC",,AUCTION HOUSES,1412939,"16 EAST PARKWAY, SCARDALE, NY 10583",16,EAST PARKWAY,SCARDALE,NY,10583,Other,,(914) 874-8001
48,GASTON & SHEEHAN AUCTIONEERS INC,,AUCTION HOUSES,1332933,"1420 FM 685, PFLUGERVILLE, TX 78660",1420,FM 685,PFLUGERVILLE,TX,78660,Other,,(512) 251-2780
49,CAPO AUCTION LTD,CAPO AUCTION,AUCTION HOUSES,1377584,"3601 QUEENS BOULEVARD, LONG ISLND CITY, NY 11101",3601,QUEENS BOULEVARD,LONG ISLND CITY,NY,11101,Queens,,(718) 433-3710
50,"QUEENS AUTO MALL, INC",,AUCTION HOUSES,1211283,"134-01 ATLANTIC AVENUE, RICHMOND HILL, NY 11418",134-01,ATLANTIC AVENUE,RICHMOND HILL,NY,11418,Queens,,(718) 523-9090
51,"RAPAPORT, YEHUDA A",,AUCTIONEER (DAY),1347413,,,,,,10463,Bronx,,
52,"REID, BRENDA NUNEZ",,AUCTIONEER (DAY),1401966,,,,,,10464,Bronx,,
53,"BRITO, RAYNIEL C.",,AUCTIONEER (DAY),1440629,,,,,,10468,Bronx,,
54,"MOSCHETTO, JOHN M",,AUCTIONEER (DAY),848753,,,,,,10473,Bronx,,
55,"FRIEDMAN, MICHAEL LAWRENCE",,AUCTIONEER (DAY),1431412,,,,,,11201,Brooklyn,,
56,"LEDERMAN, MARISSA E",,AUCTIONEER (DAY),1341093,,,,,,11201,Brooklyn,,
57,"GOROBETS, DENIS S",,AUCTIONEER (DAY),1402830,,,,,,11204,Brooklyn,,
58,"MATOS, JOSEPH L",,AUCTIONEER (DAY),1271936,,,,,,11208,Brooklyn,,
59,"RAWNER, VICTOR D.",,AUCTIONEER (DAY),1224356,,,,,,11209,Brooklyn,,
60,"TAYAR, MAJED E",,AUCTIONEER (DAY),822847,,,,,,11209,Brooklyn,,
61,"RICATTO, MICHAEL P",,AUCTIONEER (DAY),1212159,,,,,,11211,Brooklyn,,
62,"HASTIE, JAMES",,AUCTIONEER (DAY),1244430,,,,,,11215,Brooklyn,,
63,"MATHEW, PRIYANKA",,AUCTIONEER (DAY),1440297,,,,,,11215,Brooklyn,,
64,"SCHMIDT, RICHARD",,AUCTIONEER (DAY),761032,,,,,,11215,Brooklyn,,
65,"SWETT, CLINTON K",,AUCTIONEER (DAY),1407750,,,,,,11215,Brooklyn,,
66,"ANTIN, CHARLES HOMAN",,AUCTIONEER (DAY),1406288,,,,,,11217,Brooklyn,,
67,"MUDGE, SARAH",,AUCTIONEER (DAY),1301805,,,,,,11218,Brooklyn,,
68,"MEDOW, SHARON H",,AUCTIONEER (DAY),826364,,,,,,11224,Brooklyn,,
69,"MEDOW, STUART L",,AUCTIONEER (DAY),821057,,,,,,11224,Brooklyn,,
70,"RADJENOVICH, DESIREE",,AUCTIONEER (DAY),1453676,,,,,,11230,Brooklyn,,
71,"TALISVEYBER, ADELINA",,AUCTIONEER (DAY),1413359,,,,,,11230,Brooklyn,,
72,"WILLIAMS, PATRICK D.",,AUCTIONEER (DAY),1377072,,,,,,11231,Brooklyn,,
73,"TOMLIN, WILLIE",,AUCTIONEER (DAY),863780,,,,,,11233,Brooklyn,,
74,"WILSON, LIZA SCARLETTE",,AUCTIONEER (DAY),1435604,,,,,,11233,Brooklyn,,
75,"NOVELLA, PATRICIA",,AUCTIONEER (DAY),1339795,,,,,,11234,Brooklyn,,
76,"UNGER, BRUCE M",,AUCTIONEER (DAY),1392472,,,,,,11235,Brooklyn,,
77,"KAPLAN, DAILE B",,AUCTIONEER (DAY),1025594,,,,,,11238,Brooklyn,,
78,"AMODEO, MICHAEL",,AUCTIONEER (DAY),528663,,,,,,10003,Manhattan,,
79,"DAWES, NICHOLAS H",,AUCTIONEER (DAY),1304724,,,,,,10003,Manhattan,,
80,"DRAZEN, MAX ROSS",,AUCTIONEER (DAY),735059,,,,,,10003,Manhattan,,
81,"DUSSEK, ILLITCH",,AUCTIONEER (DAY),1421508,,,,,,10003,Manhattan,,
82,"HENNINGER, JOHN T.",,AUCTIONEER (DAY),1413054,,,,,,10003,Manhattan,,
83,"SCHNURR, TIMOTHY F",,AUCTIONEER (DAY),1391534,,,,,,10003,Manhattan,,
84,"COSTANZO, PETER R.",,AUCTIONEER (DAY),1297803,,,,,,10007,Manhattan,,
85,"DE BOER, RONALD K",,AUCTIONEER (DAY),864698,,,,,,10007,Manhattan,,
86,"KRASS, JAMIE M",,AUCTIONEER (DAY),1097589,,,,,,10010,Manhattan,,
87,"LOWRY, NICHOLAS D",,AUCTIONEER (DAY),924899,,,,,,10010,Manhattan,,
88,"DE PURY, ABRAM SIMON",,AUCTIONEER (DAY),874341,,,,,,10011,Manhattan,,
89,"PROVOST, PAUL R",,AUCTIONEER (DAY),1064011,,,,,,10011,Manhattan,,
90,"SCHIEB, DUNCAN H",,AUCTIONEER (DAY),1398954,,,,,,10011,Manhattan,,
91,"KADAKIA, RAHUL",,AUCTIONEER (DAY),1005929,,,,,,10012,Manhattan,,
92,"LUM, MARY ANN M.S.",,AUCTIONEER (DAY),1436405,,,,,,10012,Manhattan,,
93,"LUM, MUN YET",,AUCTIONEER (DAY),1156604,,,,,,10012,Manhattan,,
94,"BENTOFF, BRADFORD D",,AUCTIONEER (DAY),977002,,,,,,10013,Manhattan,,
95,"GILKES, ALEXANDER",,AUCTIONEER (DAY),1308958,,,,,,10013,Manhattan,,
96,"BRENNAN, CAROLE B",,AUCTIONEER (DAY),1268161,,,,,,10014,Manhattan,,
97,"CAPO, MICHAEL",,AUCTIONEER (DAY),1345561,,,,,,10014,Manhattan,,
98,"JENNINGS, GUY",,AUCTIONEER (DAY),1451538,,,,,,10014,Manhattan,,
99,"KLEIWEG DE ZWAAN, DAVID",,AUCTIONEER (DAY),1365999,,,,,,10014,Manhattan,,
100,"MALINOWSKI, MARSHA E",,AUCTIONEER (DAY),1177555,,,,,,10016,Manhattan,,
101,"MARKS, JACOB",,AUCTIONEER (DAY),1447227,,,,,,10017,Manhattan,,
102,"SLEIGH, ROBERT W.A",,AUCTIONEER (DAY),1029745,,,,,,10017,Manhattan,,
103,"CURREY, STEVEN M",,AUCTIONEER (DAY),1361624,,,,,,10018,Manhattan,,
104,"MEYER, TOBIAS",,AUCTIONEER (DAY),958677,,,,,,10019,Manhattan,,
105,"FIUCZYNSKI, ANDREA S",,AUCTIONEER (DAY),849132,,,,,,10020,Manhattan,,
106,"MEYER, ADRIEN",,AUCTIONEER (DAY),1365994,,,,,,10020,Manhattan,,
107,"BOOTH, COURTNEY E.",,AUCTIONEER (DAY),1267837,,,,,,10021,Manhattan,,
108,"MEDOW, NORMAN B",,AUCTIONEER (DAY),863474,,,,,,10021,Manhattan,,
109,"POWERS, MICHAEL R.",,AUCTIONEER (DAY),1314012,,,,,,10021,Manhattan,,
110,"REDDEN, DAVID",,AUCTIONEER (DAY),736142,,,,,,10021,Manhattan,,
111,"ROSENTHAL, HOWARD S",,AUCTIONEER (DAY),820507,,,,,,10021,Manhattan,,
112,"SHAPIRO, EUGENE",,AUCTIONEER (DAY),1279136,,,,,,10021,Manhattan,,
113,"YOUNGREN, JANICE L.",,AUCTIONEER (DAY),1175371,,,,,,10021,Manhattan,,
114,"AGOPIAN, AILEEN A",,AUCTIONEER (DAY),1199037,,,,,,10022,Manhattan,,
115,"BADDELEY, JONATHAN",,AUCTIONEER (DAY),1378475,,,,,,10022,Manhattan,,
116,"BANNER, RUPERT J.N.",,AUCTIONEER (DAY),1325532,,,,,,10022,Manhattan,,
117,"BARBER, MALCOLM J",,AUCTIONEER (DAY),1183017,,,,,,10022,Manhattan,,
118,"CARELLA, PAUL",,AUCTIONEER (DAY),1367900,,,,,,10022,Manhattan,,
119,"GAMMON, MARTIN",,AUCTIONEER (DAY),1411627,,,,,,10022,Manhattan,,
120,"GIRLING, MATTHEW D",,AUCTIONEER (DAY),1236798,,,,,,10022,Manhattan,,
121,"GREEN, KARL",,AUCTIONEER (DAY),1378966,,,,,,10022,Manhattan,,
122,"HILDESLEY, CHRISTOPHER H",,AUCTIONEER (DAY),918209,,,,,,10022,Manhattan,,
123,"HORWICH, JONATHAN",,AUCTIONEER (DAY),1375519,,,,,,10022,Manhattan,,
124,"JELLEY JR., PHILIP",,AUCTIONEER (DAY),1066668,,,,,,10022,Manhattan,,
125,"KING, JON E",,AUCTIONEER (DAY),1258090,,,,,,10022,Manhattan,,
126,"SIVO, WALTER B.",,AUCTIONEER (DAY),1217688,,,,,,10022,Manhattan,,
127,"BUCHSBAYEW, PAUL",,AUCTIONEER (DAY),732052,,,,,,10023,Manhattan,,
128,"KAPON, JOHN",,AUCTIONEER (DAY),1413416,,,,,,10023,Manhattan,,
129,"NELSON, RICHARD,T",,AUCTIONEER (DAY),1184056,,,,,,10023,Manhattan,,
130,"PALMIERI, GABRIELA",,AUCTIONEER (DAY),1354667,,,,,,10023,Manhattan,,
131,"RENNERT, JACK",,AUCTIONEER (DAY),797440,,,,,,10023,Manhattan,,
132,"BETHEL, DENISE B",,AUCTIONEER (DAY),798072,,,,,,10024,Manhattan,,
133,"DOLLER, BENJAMIN F",,AUCTIONEER (DAY),840995,,,,,,10024,Manhattan,,
134,"HILL, GERARD J",,AUCTIONEER (DAY),761969,,,,,,10024,Manhattan,,
135,"LOWRY, GEORGE S",,AUCTIONEER (DAY),696003,,,,,,10024,Manhattan,,
136,"HARDY, TRULY C.G.",,AUCTIONEER (DAY),1415142,,,,,,10025,Manhattan,,
137,"MAPPS, TAYLOR LEE",,AUCTIONEER (DAY),1422434,,,,,,10025,Manhattan,,
138,"PAPOLA, AMY",,AUCTIONEER (DAY),1244348,,,,,,10025,Manhattan,,
139,"TREPEL, SCOTT R",,AUCTIONEER (DAY),795952,,,,,,10025,Manhattan,,
140,"URIBE, AUGUST O.",,AUCTIONEER (DAY),926461,,,,,,10025,Manhattan,,
141,"RODRIGUEZ, ELI JOSE",,AUCTIONEER (DAY),1389922,,,,,,10026,Manhattan,,
142,HARMER F JOHNSON,,AUCTIONEER (DAY),691878,,,,,,10028,Manhattan,,
143,"HAYS, JOHN A",,AUCTIONEER (DAY),822982,,,,,,10028,Manhattan,,
144,"KELLY, LORNA",,AUCTIONEER (DAY),737243,,,,,,10028,Manhattan,,
145,"KLEIN, CYNTHIA L",,AUCTIONEER (DAY),1176080,,,,,,10028,Manhattan,,
146,"OTSEA, MARY JO",,AUCTIONEER (DAY),990951,,,,,,10028,Manhattan,,
147,"ROTTER, ALEXANDER",,AUCTIONEER (DAY),1392318,,,,,,10028,Manhattan,,
148,"SILVER, ERIC",,AUCTIONEER (DAY),767694,,,,,,10028,Manhattan,,
149,"LUKE JR, JOHN",,AUCTIONEER (DAY),863566,,,,,,10032,Manhattan,,
150,"BADER, ETHELYN M.",,AUCTIONEER (DAY),1070623,,,,,,10036,Manhattan,,
151,"RAPAPORT, PENINA",,AUCTIONEER (DAY),1439768,,,,,,10036,Manhattan,,
152,"SERAFIN, EDMOND A",,AUCTIONEER (DAY),1358510,,,,,,10036,Manhattan,,
153,"ROHR, WILLIAM E",,AUCTIONEER (DAY),1318419,,,,,,10038,Manhattan,,
154,"ADDUCCI, MELINDA",,AUCTIONEER (DAY),1395509,,,,,,10065,Manhattan,,
155,"DUMOUCHELLE, JOSEPH G",,AUCTIONEER (DAY),1395490,,,,,,10065,Manhattan,,
156,"FELDMAN, STEPHEN",,AUCTIONEER (DAY),1440856,,,,,,10065,Manhattan,,
157,"NIVEN, JAMES G.",,AUCTIONEER (DAY),952561,,,,,,10065,Manhattan,,
158,"OSBORNE, ELIZABETH B",,AUCTIONEER (DAY),1093206,,,,,,10065,Manhattan,,
159,"WILSENACH, GEORGINA G",,AUCTIONEER (DAY),1191933,,,,,,10065,Manhattan,,
160,"LANG, RODNEY J.",,AUCTIONEER (DAY),777006,,,,,,10075,Manhattan,,
161,"LASH, STEPHEN S",,AUCTIONEER (DAY),767770,,,,,,10075,Manhattan,,
162,"MILLARD, MAUREEN P",,AUCTIONEER (DAY),1265237,,,,,,10075,Manhattan,,
163,"PORRINO-MOURNET,JOANNE",,AUCTIONEER (DAY),777007,,,,,,10075,Manhattan,,
164,"RITCHIE, JAMES A",,AUCTIONEER (DAY),922967,,,,,,10075,Manhattan,,
165,"ROTH, JENNIFER V",,AUCTIONEER (DAY),907230,,,,,,10075,Manhattan,,
166,"CLARKE, SEBASTIAN D",,AUCTIONEER (DAY),1067133,,,,,,10128,Manhattan,,
167,"COMPONO, SAMANTHA",,AUCTIONEER (DAY),1415141,,,,,,10128,Manhattan,,
168,"ELKIES, CATHERINE D",,AUCTIONEER (DAY),866011,,,,,,10128,Manhattan,,
169,"GUZMAN, KATHLEEN",,AUCTIONEER (DAY),762165,,,,,,10128,Manhattan,,
170,"KILLEN, DAVID",,AUCTIONEER (DAY),1401846,,,,,,10128,Manhattan,,
171,"SCHWARTZ, MARGARET H",,AUCTIONEER (DAY),1177556,,,,,,10128,Manhattan,,
172,"WEIHE, HUGO K.",,AUCTIONEER (DAY),1020041,,,,,,10128,Manhattan,,
173,"PERRIN, KATERINE TASH",,AUCTIONEER (DAY),1039052,,,,,,10282,Manhattan,,
174,"BACS, AUREL",,AUCTIONEER (DAY),1165981,,,,,,,Other,,
175,"BRUCE-GARDYNE, JAMES",,AUCTIONEER (DAY),940126,,,,,,,Other,,
176,"BURKE, BRIAN E.",,AUCTIONEER (DAY),1293865,,,,,,,Other,,
177,"RUMBLER, ANDREAS",,AUCTIONEER (DAY),1177064,,,,,,,Other,,
178,"COCCOLUTO, PETER JAMES",,AUCTIONEER (DAY),1378503,,,,,,1833,Other,,
179,"HUDSON, MARK D",,AUCTIONEER (DAY),1339070,,,,,,1880,Other,,
180,"MAGLIO, PAUL L",,AUCTIONEER (DAY),1339067,,,,,,1938,Other,,
181,"GROGAN, MICHAEL B.",,AUCTIONEER (DAY),1377121,,,,,,2026,Other,,
182,"DAI, YAJIE",,AUCTIONEER (DAY),1447535,,,,,,2134,Other,,
183,"FINN, PAUL J",,AUCTIONEER (DAY),873899,,,,,,2459,Other,,
184,"PAPPACHRISTOS, HERCULES",,AUCTIONEER (DAY),1453420,,,,,,3038,Other,,
185,"KARSTEDT, CHRISTINE",,AUCTIONEER (DAY),1008798,,,,,,3894,Other,,
186,"KARSTEDT, MELISSA A",,AUCTIONEER (DAY),1341090,,,,,,3894,Other,,
187,"BENNETT, HARVEY I",,AUCTIONEER (DAY),924050,,,,,,3908,Other,,
188,"CAREY, MICHAEL",,AUCTIONEER (DAY),1454743,,,,,,4103,Other,,
189,"NATHAN, ERIC S",,AUCTIONEER (DAY),1345594,,,,,,5254,Other,,
190,"PIOTRKOWSKI, SAMUEL R",,AUCTIONEER (DAY),910484,,,,,,6254,Other,,
191,"NAGER, GERALDINE M",,AUCTIONEER (DAY),907231,,,,,,6378,Other,,
192,"SHINN-PRATT, SARAH",,AUCTIONEER (DAY),822049,,,,,,6798,Other,,
193,"JESSEN, MICHAEL D.",,AUCTIONEER (DAY),1308237,,,,,,6807,Other,,
194,"KRAMER, BRUCE A",,AUCTIONEER (DAY),1348042,,,,,,6812,Other,,
195,"BLECHMAN, MARK B",,AUCTIONEER (DAY),862092,,,,,,6830,Other,,
196,"RUPRECHT, WILLIAM F",,AUCTIONEER (DAY),794917,,,,,,6831,Other,,
197,"HOWARD-SNEYD, HENRY",,AUCTIONEER (DAY),874343,,,,,,6870,Other,,
198,"SCHULER, GARY H.",,AUCTIONEER (DAY),990100,,,,,,6897,Other,,
199,"BYRNES, HARRY M",,AUCTIONEER (DAY),1209148,,,,,,7046,Other,,
200,"LUGASHI, NEAL",,AUCTIONEER (DAY),1379006,,,,,,7052,Other,,
201,"SCRIVENER, NORMAN",,AUCTIONEER (DAY),695072,,,,,,7052,Other,,
202,"SKLAR, MICHAEL",,AUCTIONEER (DAY),820643,,,,,,7081,Other,,
203,"CASPERT, HERBERT B",,AUCTIONEER (DAY),460873,,,,,,7648,Other,,
204,"CASPERT, RONALD M",,AUCTIONEER (DAY),869125,,,,,,7675,Other,,
205,"HOLTER, ANDREW",,AUCTIONEER (DAY),1374229,,,,,,7704,Other,,
206,"COSTANZO, PETER",,AUCTIONEER (DAY),1278838,,,,,,7711,Other,,
207,"VIGAR, SCOTT",,AUCTIONEER (DAY),1339783,,,,,,7716,Other,,
208,"MARINO, VICTOR J",,AUCTIONEER (DAY),1005640,,,,,,7728,Other,,
209,"SPERBER, BRADLEY",,AUCTIONEER (DAY),794803,,,,,,7747,Other,,
210,"VIGAR, ARTHUR",,AUCTIONEER (DAY),767619,,,,,,7748,Other,,
211,"MANNION, MATTHEW D",,AUCTIONEER (DAY),1434494,,,,,,7830,Other,,
212,"MANNION, WILLIAM",,AUCTIONEER (DAY),796322,,,,,,7830,Other,,
213,"DINAPOLI, LIZA K.",,AUCTIONEER (DAY),1447354,,,,,,7950,Other,,
214,"KANE, JOSEPH",,AUCTIONEER (DAY),1312648,,,,,,8075,Other,,
