ID,Business Name,Trade Name,Facility Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Number of Spaces,Number of Bike Spaces
23,119 PARKING LOT CORP,,Parking Lot,1360731,"1414-24 CROMWELL AVE, BRONX, NY 10452",1414-24,CROMWELL AVE,BRONX,NY,10452,Bronx,,(718) ???-????,70,7
24,12 GARAGE CORP,,Parking Garage,469515,"12 BEEKMAN PLACE, NEW YORK, NY 10022",12,BEEKMAN PLACE,NEW YORK,NY,10022,Manhattan,,(212) 755-0717,38,
25,123-10 SOUTH CONDUIT ASSOCIATES LLC,SMARTPARK JFK,Parking Lot,1307256,"123-10 SOUTH CONDUIT AVENUE, S. OZONE PARK, NY 11420",123-10,SOUTH CONDUIT AVENUE,S. OZONE PARK,NY,11420,Queens,,(516) 457-4228,783,25
26,"125 ST WATERFRONT, LLC",,Parking Lot,1421699,"69 ST CLAIR PL, NEW YORK, NY 10027",69,ST CLAIR PL,NEW YORK,NY,10027,Manhattan,,(212) 575-5335,70,7
27,"126TH ST. MGMT., LLC",,Parking Lot,1389043,"418 W 127TH ST, NEW YORK, NY 10027",418,W 127TH ST,NEW YORK,NY,10027,Manhattan,,(718) 285-0102,36,
28,12TH STREET GARAGE CORP,,Parking Garage,904543,"17 EAST   12 STREET, NEW YORK, NY 10003",17,EAST   12 STREET,NEW YORK,NY,10003,Manhattan,17-19 E 12 ST,(212) 243-5900,285,20
29,130 EAST 18TH GARAGE CORP,,Parking Garage,1010041,"130 EAST   18 STREET, NEW YORK, NY 10003",130,EAST   18 STREET,NEW YORK,NY,10003,Manhattan,,(212) 736-7171,84,8
30,132 WEST 56TH ST GARAGE CORP,,Parking Garage,851982,"156 WEST   56 STREET, NEW YORK, NY 10019",156,WEST   56 STREET,NEW YORK,NY,10019,Manhattan,,(212) 888-7400,105,10
31,1330 SIXTH PARKING LLC,,Parking Garage,1127867,"57-59 WEST   53 STREET, NEW YORK, NY 10019",57-59,WEST   53 STREET,NEW YORK,NY,10019,Manhattan,,(212) 686-9800,225,20
32,1345 LEASEHOLD LLC,1345 GARAGE,Parking Garage,1347111,"1341 6 AVENUE, NEW YORK, NY 10019",1341,   6 AVENUE,NEW YORK,NY,10019,Manhattan,,(212) 752-6790,341,21
33,1350 SIXTH PARKING LLC,,Parking Garage,1127872,"1350-58 6 AVENUE, NEW YORK, NY 10019",1350-58,   6 AVENUE,NEW YORK,NY,10019,Manhattan,AKA 1350 6 AVENUE,(212) 680-9800,99,9
34,136 W 40 PARKING LLC,,Parking Garage,1021031,"1411 BROADWAY, NEW YORK, NY 10018",1411,BROADWAY,NEW YORK,NY,10018,Manhattan,1411-1429 AKA 131 W 39 STREET,(212) 686-9800,150,15
35,1430 INWOOD LLC,,Parking Garage,1241015,"1430 INWOOD AVENUE, BRONX, NY 10452",1430,INWOOD AVENUE,BRONX,NY,10452,Bronx,,(212) 629-8100,140,14
36,144 WEST GARAGE LLC,,Parking Garage,1213415,"310 WEST  144 STREET, NEW YORK, NY 10030",310,WEST  144 STREET,NEW YORK,NY,10030,Manhattan,AKA 312 W 144 ST,(212) 627-0012,130,13
37,145 BRADHURST GARAGE CORP,,Parking Garage,1253416,"68 BRADHURST AVENUE, NEW YORK, NY 10039",68,BRADHURST AVENUE,NEW YORK,NY,10039,Manhattan,,(212) 736-7171,63,6
38,145 EAST 16TH STREET GARAGE CORP,,Parking Garage,368201,"144 EAST   17 STREET, NEW YORK, NY 10003",144,EAST   17 STREET,NEW YORK,NY,10003,Manhattan,,(212) 888-7400,47,
39,14TH AND 8TH AVENUE LLC,,Parking Garage,953178,"85 8 AVENUE, NEW YORK, NY 10011",85,   8 AVENUE,NEW YORK,NY,10011,Manhattan,,(212) 686-9800,47,
40,15 WEST 72ND ST CORP,,Parking Garage,905127,"15 WEST   72 STREET, NEW YORK, NY 10023",15,WEST   72 STREET,NEW YORK,NY,10023,Manhattan,,(212) 866-1000,176,17
41,"150TH PARKING LEASEHOLD, LLC",,Parking Garage,1379209,"457 W 150TH ST, NEW YORK, NY 10031",457,W 150TH ST,NEW YORK,NY,10031,Manhattan,,(212) 795-7275,115,11
42,151 GERARD PARKING LOT CORP,,Parking Lot,1420485,"640 GERARD AVE, BRONX, NY 10451",640,GERARD AVE,BRONX,NY,10451,Bronx,,(718) 292-2087,50,
43,1545 PARKING LLC,,Parking Lot,1040945,"1545 JEROME AVENUE, BRONX, NY 10452",1545,JEROME AVENUE,BRONX,NY,10452,Bronx,,(718) 731-8253,250,20
44,157 57 THIRD CORP,,Parking Garage,1005177,"153 EAST   57 STREET, NEW YORK, NY 10022",153,EAST   57 STREET,NEW YORK,NY,10022,Manhattan,,(212) 355-8962,38,
45,157 57TH THIRD CORP,,Parking Garage,1005180,"952 3 AVENUE, NEW YORK, NY 10022",952,   3 AVENUE,NEW YORK,NY,10022,Manhattan,952-960,(212) 355-8962,83,8
46,160 EAST 84TH STREET ASSOCIATES LLC,,Parking Garage,1398370,"160 E 84TH ST, NEW YORK, NY 10028",160,E 84TH ST,NEW YORK,NY,10028,Manhattan,,(212) 279-7600,21,
47,160 PARKING CORP,,Parking Garage,1036915,"160 EAST   65 STREET, NEW YORK, NY 10021",160,EAST   65 STREET,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,150,15
48,165 E 77 ST GARAGE CORP,,Parking Garage,1389677,"165 E 77TH ST, NEW YORK, NY 10075",165,E 77TH ST,NEW YORK,NY,10075,Manhattan,,(212) 736-7171,200,20
49,165 EAST PARKING CORP,,Parking Garage,1130687,"165 EAST   72 STREET, NEW YORK, NY 10021",165,EAST   72 STREET,NEW YORK,NY,10021,Manhattan,AKA 184 EAST 73 STREET,(212) 736-7171,35,
50,165 W 66TH STREET PARKING LLC,,Parking Garage,368337,"165 WEST   66 STREET, NEW YORK, NY 10023",165,WEST   66 STREET,NEW YORK,NY,10023,Manhattan,AKA 140 WEST 67 STREET,(212) 686-9800,77,7
51,166 MYRTLE AVE PARKING CORP,,Parking Lot,887259,"208-218 MYRTLE AVENUE, BROOKLYN, NY 11201",208-218,MYRTLE AVENUE,BROOKLYN,NY,11201,Brooklyn,,(718) 999-9999,130,13
52,166 MYRTLE AVE PARKING CORP,,Parking Lot,887261,"166 MYRTLE AVENUE, BROOKLYN, NY 11201",166,MYRTLE AVENUE,BROOKLYN,NY,11201,Brooklyn,,(718) 999-9999,50,
53,"169TH STREET PARKING LOT, INC",,Parking Lot,1279742,"232 EAST  169 STREET, BRONX, NY 10456",232,EAST  169 STREET,BRONX,NY,10456,Bronx,,(917) 337-2172,34,
54,171 EAST 84TH STREET NEWCO LLC,,Parking Garage,1308491,"167 EAST   84 STREET, NEW YORK, NY 10028",167,EAST   84 STREET,NEW YORK,NY,10028,Manhattan,,(212) 628-4550,75,7
55,1725 PARKING LLC,,Parking Garage,1078653,"1725 YORK AVENUE, NEW YORK, NY 10128",1725,YORK AVENUE,NEW YORK,NY,10128,Manhattan,,(212) 686-9800,104,10
56,1740 PETROLEUM LLC,,Garage - Parking Lot Combo,1403604,"1730 JEROME AVENUE, BRONX, NY 10453",1730,JEROME AVENUE,BRONX,NY,10453,Bronx,,(718) 466-2798,33,
57,1749-1753 FIRST AVENUE GARAGE CORP.,,Parking Garage,1248251,"354 EAST   91 STREET, NEW YORK, NY 10128",354,EAST   91 STREET,NEW YORK,NY,10128,Manhattan,,(212) 369-0284,39,
58,182 E 73 GARAGE CORP,,Parking Garage,1175838,"182 EAST   73 STREET, NEW YORK, NY 10021",182,EAST   73 STREET,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,73,7
59,182 STREET PARKING CORP,,Garage - Parking Lot Combo,1397617,"88-22 182ND ST, HOLLIS, NY 11423",88-22,182ND ST,HOLLIS,NY,11423,Queens,,(347) 672-8286,100,10
60,1840 PARKING LOT L.L.C.,,Parking Lot,1340629,"1840 HARRISON AVENUE, BRONX, NY 10453",1840,HARRISON AVENUE,BRONX,NY,10453,Bronx,,(347) 386-7616,12,
61,"189 SCHERMERHORN CAR PARK, LLC",,Parking Lot,1361558,"189 SCHERMERHORN ST, BROOKLYN, NY 11201",189,SCHERMERHORN ST,BROOKLYN,NY,11201,Brooklyn,,(212) 996-6363,150,15
62,18TH AND THIRD PARKING LLC,,Parking Garage,1153003,"201 EAST   17 STREET, NEW YORK, NY 10003",201,EAST   17 STREET,NEW YORK,NY,10003,Manhattan,,(212) 686-9800,108,10
63,1908 PARK AVENUE STORAGE LLC,1908 PARKING COMPANY,Garage - Parking Lot Combo,1432040,"1908 PARK AVE, NEW YORK, NY 10035",1908,PARK AVE,NEW YORK,NY,10035,Manhattan,,(212) 427-4050,149,14
64,1955 FIRST PARKING CORP,,Parking Garage,1183389,"1955 1 AVENUE, NEW YORK, NY 10029",1955,   1 AVENUE,NEW YORK,NY,10029,Manhattan,,(212) 736-7171,109,10
65,"198 COLUMBIA HEIGHTS, LLC",,Parking Lot,1338647,"262 PACIFIC STREET, BROOKLYN, NY 11201",262,PACIFIC STREET,BROOKLYN,NY,11201,Brooklyn,,(718) 858-5556,50,
66,2 J'S PARKING LOT INC,,Parking Lot,897188,"2768 WEBSTER AVENUE, BRONX, NY 10458",2768,WEBSTER AVENUE,BRONX,NY,10458,Bronx,,(718) 220-6050,117,11
67,"2 LINCOLN PARKING, LLC",,Parking Garage,1127924,"2 LINCOLN PLAZA, NEW YORK, NY 10023",2,LINCOLN PLAZA,NEW YORK,NY,10023,Manhattan,,(212) 686-9800,80,8
68,200 BRADHURST GARAGE CORP,,Parking Garage,1342094,"130 BRADHURST AVENUE, NEW YORK, NY 10039",130,BRADHURST AVENUE,NEW YORK,NY,10039,Manhattan,,(212) 736-7171,33,
69,200 CPS GARAGE PARTNERS LLC,,Parking Garage,1312902,"200 WEST   59 STREET, NEW YORK, NY 10019",200,WEST   59 STREET,NEW YORK,NY,10019,Manhattan,,(212) 265-1078,198,19
70,200 E 90TH STREET GARAGE CORP,GGMC,Parking Garage,883454,"200-202 EAST   90 STREET, NEW YORK, NY 10128",200-202,EAST   90 STREET,NEW YORK,NY,10128,Manhattan,,(212) 996-6363,109,10
71,200 E. 70 GARAGE CORP.,,Parking Garage,1251085,"201 EAST   69 STREET, NEW YORK, NY 10021",201,EAST   69 STREET,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,72,7
72,"200 EAST PARKING, CORP",,Parking Garage,1181124,"1081 3RD AVENUE, NEW YORK, NY 10021",1081,3RD AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,116,11
73,200 SCHERMERHORN GARAGE CORP,,Parking Lot,1263624,"200 SCHERMERHORN STREET, BROOKLYN, NY 11201",200,SCHERMERHORN STREET,BROOKLYN,NY,11201,Brooklyn,,(212) 736-7171,77,7
74,200 WEA MANAGEMENT CORP,,Parking Garage,1385750,"200 WEST END AVE, NEW YORK, NY 10023",200,WEST END AVE,NEW YORK,NY,10023,Manhattan,,(718) 285-0102,76,7
75,200 WEST GARAGE CORP.,,Parking Garage,1220798,"220 WEST   26 STREET, NEW YORK, NY 10001",220,WEST   26 STREET,NEW YORK,NY,10001,Manhattan,,(212) 736-7171,120,12
76,"2000 PARKING GARAGE, INC",,Parking Garage,1386654,"2000 WHITE PLAINS RD, BRONX, NY 10462",2000,WHITE PLAINS RD,BRONX,NY,10462,Bronx,,(347) 843-5023,100,10
77,2010 PARKING INC,,Parking Garage,1341282,"2010 WESTCHESTER AVENUE, BRONX, NY 10462",2010,WESTCHESTER AVENUE,BRONX,NY,10462,Bronx,,(718) 892-9379,145,14
78,"2027 EMMONS GARAGE, LLC",,Parking Garage,1296822,"2027 EMMONS AVENUE, BROOKLYN, NY 11235",2027,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(646) 495-1661,182,18
79,203 EAST 72ND STREET GARAGE PARTNERS LLC,,Parking Garage,1414488,"203 EAST   71 STREET, NEW YORK, NY 10021",203,EAST   71 STREET,NEW YORK,NY,10021,Manhattan,,(212) 249-5514,98,9
80,205 EAST 38TH STREET PARKING LLC,,Parking Garage,427177,"205 EAST   38 STREET, NEW YORK, NY 10016",205,EAST   38 STREET,NEW YORK,NY,10016,Manhattan,,(212) 686-9800,125,12
81,"205 THIRD PARKING, LLC",,Parking Garage,1099297,"205 3 AVENUE, NEW YORK, NY 10003",205,   3 AVENUE,NEW YORK,NY,10003,Manhattan,,(212) 686-9800,96,9
82,"206 E. 59TH ST GARAGE, CORP.",,Parking Garage,1206789,"206 EAST   59 STREET, NEW YORK, NY 10022",206,EAST   59 STREET,NEW YORK,NY,10022,Manhattan,,(212) 937-8660,225,20
83,207 GARAGE LLC,,Parking Lot,1160254,"3875 9 AVE, NEW YORK, NY 10034",3875,9 AVE,NEW YORK,NY,10034,Manhattan,,(800) 409-0819,149,14
84,209 LINCOLN PLACE   HOUSING CORP,,Parking Lot,368580,"209 LINCOLN PLACE, BKLYN, NY 11217",209,LINCOLN PLACE,BKLYN,NY,11217,Brooklyn,211,(201) 567-2150,14,
85,20TH STREET ALEMAP LLC,,Parking Garage,1231207,"124 WEST   20 STREET, NEW YORK, NY 10011",124,WEST   20 STREET,NEW YORK,NY,10011,Manhattan,,(212) 627-7739,155,15
86,21 EAST 12TH STREET PARKING LLC,,Parking Garage,1319917,"21 EAST   12 STREET, NEW YORK, NY 10003",21,EAST   12 STREET,NEW YORK,NY,10003,Manhattan,,(212) 929-3041,200,20
87,211 GARAGE CORP,,Parking Garage,917447,"211 EAST   18 STREET, NEW YORK, NY 10003",211,EAST   18 STREET,NEW YORK,NY,10003,Manhattan,,(212) 473-0135,70,7
88,"211 WEST 56TH ST CAR PARK, LLC",GGMC,Parking Garage,1159049,"211 WEST   56 STREET, NEW YORK, NY 10019",211,WEST   56 STREET,NEW YORK,NY,10019,Manhattan,,(212) 996-6363,196,19
89,215 EAST 24TH GARAGE CORP.,,Parking Garage,1418886,"215 E 24TH ST, NEW YORK, NY 10010",215,E 24TH ST,NEW YORK,NY,10010,Manhattan,,(212) 736-7171,99,9
90,"215 EAST 64 STREET CO., LLC",,Parking Garage,1075982,"215 EAST   64 STREET, NEW YORK, NY 10065",215,EAST   64 STREET,NEW YORK,NY,10065,Manhattan,,(212) 355-1230,29,
91,"215 EAST 95TH PARKING, LLC",,Garage - Parking Lot Combo,1199399,"207-239 EAST   95 STREET, NEW YORK, NY 10128",207-239,EAST   95 STREET,NEW YORK,NY,10128,Manhattan,,(212) 686-9800,212,20
92,"215 EAST 95TH PARKING, LLC",,Garage - Parking Lot Combo,1199450,"201-205 EAST   95 STREET, NEW YORK, NY 10128",201-205,EAST   95 STREET,NEW YORK,NY,10128,Manhattan,,(212) 686-9800,108,10
93,216-10 NY PARKING CORP.,,Parking Garage,1310420,"4055 10 AVENUE, NEW YORK, NY 10034",4055,  10 AVENUE,NEW YORK,NY,10034,Manhattan,,(212) 340-0315,143,14
94,21ST GARAGE LLC,,Parking Lot,1262199,"436-438 WEST   36 STREET, NEW YORK, NY 10018",436-438,WEST   36 STREET,NEW YORK,NY,10018,Manhattan,,(212) 627-0012,25,
95,21ST GARAGE LLC,,Parking Lot,1262417,"447-451 WEST   35 STREET, NEW YORK, NY 10001",447-451,WEST   35 STREET,NEW YORK,NY,10001,Manhattan,,(212) 627-0012,65,6
96,21ST GARAGE LLC.,,Parking Lot,1268783,"444-446 10 AVENUE, NEW YORK, NY 10001",444-446,  10 AVENUE,NEW YORK,NY,10001,Manhattan,,(212) 627-0012,25,
97,22 EAST LLC,,Parking Garage,1155050,"329-333 EAST   22 STREET, NEW YORK, NY 10010",329-333,EAST   22 STREET,NEW YORK,NY,10010,Manhattan,,(212) 564-3199,160,16
98,22-23 OPERATING LLC,,Parking Lot,1389063,"510-512 W 23RD ST, NEW YORK, NY 10011",510-512,W 23RD ST,NEW YORK,NY,10011,Manhattan,,(212) 929-9404,81,8
99,220 EAST 63RD. GARAGE CORP.,,Parking Garage,1181079,"220 EAST   63 STREET, NEW YORK, NY 10021",220,EAST   63 STREET,NEW YORK,NY,10021,Manhattan,,(212) 752-2178,93,9
100,220 MADISON GARAGE CORP,,Parking Garage,1376369,"220 MADISON AVE, NEW YORK, NY 10016",220,MADISON AVE,NEW YORK,NY,10016,Manhattan,,(212) 736-7171,42,
101,222 EAST 69TH       GARAGE CORP,,Parking Garage,367720,"222 EAST   69 STREET, NEW YORK, NY 10021",222,EAST   69 STREET,NEW YORK,NY,10021,Manhattan,,(212) 407-2516,157,15
102,"222 RIVERSIDE MANAGEMENT, LLC",,Parking Garage,1277537,"222 RIVERSIDE DRIVE, NEW YORK, NY 10025",222,RIVERSIDE DRIVE,NEW YORK,NY,10025,Manhattan,,(212) 581-0535,36,
103,222 WEST 14TH STREET PARKING CORP.,,Parking Garage,1387235,"222 W 14TH ST, NEW YORK, NY 10011",222,W 14TH ST,NEW YORK,NY,10011,Manhattan,,(212) 243-5900,80,8
104,2220 NOSTRAND PARKING LLC,,Parking Lot,1378178,"2232 NOSTRAND AVENUE, BROOKLYN, NY 11210",2232,NOSTRAND AVENUE,BROOKLYN,NY,11210,Brooklyn,,(718) 421-7590,200,20
105,"2280 FDB, LLC",,Parking Garage,1366652,"2280 FREDERICK DOUGLASS BLVD, NEW YORK, NY 10027",2280,FREDERICK DOUGLASS BLVD,NEW YORK,NY,10027,Manhattan,,(212) 866-0692,70,7
106,22ND AND SIXTH PARKING LLC,,Parking Garage,1142057,"60 WEST   23 STREET, NEW YORK, NY 10010",60,WEST   23 STREET,NEW YORK,NY,10010,Manhattan,AKA 56-76 WEST 23 STREET,(212) 686-9800,195,19
107,23-24 OPERATING CORP,,Parking Lot,1203270,"39 WEST   23 STREET, NEW YORK, NY 10010",39,WEST   23 STREET,NEW YORK,NY,10010,Manhattan,AKA 39-41 W 23 STREET,(212) 929-9404,42,
108,231 EAST 94 STREET PARKING LLC,,Parking Garage,1192245,"231 EAST 94TH STREET, NEW YORK, NY 10128",231,EAST 94TH STREET,NEW YORK,NY,10128,Manhattan,,(212) 888-7400,390,21
109,2321 BELMONT REALTY CORP,,Parking Lot,1384903,"2325 BELMONT AVE, BRONX, NY 10458",2325,BELMONT AVE,BRONX,NY,10458,Bronx,,(718) 365-6313,22,
110,23RD STREET PARKING INC,,Parking Lot,949204,"42-02 23 STREET, LONG ISLAND CTY, NY 11101",42-02,  23 STREET,LONG ISLAND CTY,NY,11101,Queens,,(718) 248-5422,100,10
111,23RD STREET PARKING LLC,,Parking Garage,1122123,"318-322 EAST   23 STREET, NEW YORK, NY 10010",318-322,EAST   23 STREET,NEW YORK,NY,10010,Manhattan,,(212) 686-9800,53,5
112,24 PARKING GARAGE INC,,Garage - Parking Lot Combo,1417129,"1231 WEBSTER AVE, BRONX, NY 10456",1231,WEBSTER AVE,BRONX,NY,10456,Bronx,,(718) 293-4872,1,
113,"242-248 NEWKIRK AVENUE REALTY, LLC",,Parking Lot,1309374,"244 NEWKIRK AVENUE, BROOKLYN, NY 11230",244,NEWKIRK AVENUE,BROOKLYN,NY,11230,Brooklyn,,(718) 983-6477,15,
114,245 E. GARAGE CORP.,,Parking Garage,1379214,"245 E 63TH ST, NEW YORK, NY 10021",245,E 63TH ST,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,225,20
115,245 EAST 19 STREET PARKING LLC,,Parking Garage,1029225,"245 EAST   19 STREET, NEW YORK, NY 10003",245,EAST   19 STREET,NEW YORK,NY,10003,Manhattan,AKA 241-249 E 13 STREET,(212) 686-9800,106,10
116,245 EAST 36TH STREET GARAGE CORP,,Parking Lot,800698,"237-41 EAST   36 STREET, NEW YORK, NY 10016",237-41,EAST   36 STREET,NEW YORK,NY,10016,Manhattan,,(212) 688-0700,35,
117,245 EAST 40TH ST. PARKING LLC,,Parking Garage,1001573,"747-59 2 AVENUE, NEW YORK, NY 10017",747-59,   2 AVENUE,NEW YORK,NY,10017,Manhattan,,(212) 686-9800,130,13
118,249 PARKING CORP,,Parking Garage,427868,"249 10 AVENUE, NEW YORK, NY 10001",249,  10 AVENUE,NEW YORK,NY,10001,Manhattan,,(212) 643-2062,120,12
119,"24TH STREET MMP GARAGE, LLC.",,Parking Garage,1257397,"148-50 EAST   24 STREET, NEW YORK, NY 10010",148-50,EAST   24 STREET,NEW YORK,NY,10010,Manhattan,,(212) 929-9404,70,7
120,"250 E. 63RD GARAGE, CORP",,Parking Garage,1184299,"250 EAST   63 STREET, NEW YORK, NY 10021",250,EAST   63 STREET,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,39,
121,250 WEST PARKING CORP.,,Parking Garage,1132131,"250 WEST   19 STREET, NEW YORK, NY 10011",250,WEST   19 STREET,NEW YORK,NY,10011,Manhattan,,(212) 736-7171,61,6
122,258-262 LAFAYETTE LLC,,Parking Lot,1248479,"258-262 LAFAYETTE STREET, NEW YORK, NY 10012",258-262,LAFAYETTE STREET,NEW YORK,NY,10012,Manhattan,,(917) 416-2150,60,6
123,259-267 PARKING CORP.,,Parking Garage,1267635,"259-267 PACIFIC STREET, BROOKLYN, NY 11201",259-267,PACIFIC STREET,BROOKLYN,NY,11201,Brooklyn,,(718) 858-5055,75,7
124,2721 NEIGHBORHOOD PARKING LOT CORP,,Parking Garage,1333128,"2721 BRONXWOOD AVENUE, BRONX, NY 10469",2721,BRONXWOOD AVENUE,BRONX,NY,10469,Bronx,,(347) 427-7606,50,
125,"276 EAST 169TH ST., CORP",GINEBRA PARKING,Parking Lot,948686,"276 EAST  169 STREET, BRONX, NY 10456",276,EAST  169 STREET,BRONX,NY,10456,Bronx,,(718) 293-6056,30,
126,280 BROADWAY CAR PARK LLC,GGMC,Parking Garage,1118320,"280 BROADWAY, NEW YORK, NY 10007",280,BROADWAY,NEW YORK,NY,10007,Manhattan,,(212) 996-6363,149,14
127,2820 BAILEY PARKING CORP,,Parking Lot,1279294,"2820 BAILEY STREET, BRONX, NY 10463",2820,BAILEY STREET,BRONX,NY,10463,Bronx,,(718) 884-0680,63,6
128,2820 PARKING CORP.,,Parking Lot,1404321,"2820 BAILEY AVE, BRONX, NY 10463",2820,BAILEY AVE,BRONX,NY,10463,Bronx,,(718) 884-0680,63,6
129,2875 WEST EIGHT     STREET ASSOCIATES LP,,Parking Lot,904670,"2875 WEST    8 STREET, BROOKLYN, NY 11224",2875,WEST    8 STREET,BROOKLYN,NY,11224,Brooklyn,,(718) 522-6800,310,21
130,"29 PARK, LLC",,Parking Lot,1025798,"217-219 WEST   29 STREET, NEW YORK, NY 10001",217-219,WEST   29 STREET,NEW YORK,NY,10001,Manhattan,,(212) 714-3571,36,
131,"29 PARK, LLC",,Parking Lot,1025799,"221 WEST   29 STREET, NEW YORK, NY 10001",221,WEST   29 STREET,NEW YORK,NY,10001,Manhattan,,(212) 714-3571,12,
132,2910 ATLANTIC PARKING CORP,,Parking Garage,1078473,"188 WEST  230 STREET, BRONX, NY 10463",188,WEST  230 STREET,BRONX,NY,10463,Bronx,,(718) 364-8350,150,15
133,2ND AND 22ND PARKING LLC,,Parking Lot,1217499,"301 EAST   22 STREET, NEW YORK, NY 10010",301,EAST   22 STREET,NEW YORK,NY,10010,Manhattan,,(212) 686-9800,53,5
