CPR Data Type,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11
Catch Basin Backups Recurring Locally within 2 years (%),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.2%,30.2%,28.9%,30.6%,28.9%,33.8%,34%,32.1%,34.4%,32.5%,32.7%,28.3%,31.4%,26.3%,27.5%,31.4%,30.9%,29.9%,30.3%,31.4%,34.6%,30.6%,29.2%,27.3%,28.8%,25%,28.4%,24.1%,29.1%,31.1%,28.3%,28%,28.7%,26.3%,29.4%,28.9%,24.7%,29.9%,24.7%,22.9%,29.1%,24.3%,29.4%,22.9%,25.6%,27%,27.2%,22.7%
Sewer Backup Complaints Received,"1,431","2,546","1,392","1,309","1,175","1,488","1,778","1,435","1,690","1,728","1,591","1,529","1,265","1,699","1,586","1,665","1,556","1,855","1,860","2,026","1,967","1,661","1,467","2,114","1,517","2,452","1,595","1,479","1,537","1,835","1,601","2,030","1,813","2,060","1,674","1,986","2,519","2,904","2,981","1,411","1,659","1,819","2,006","1,894","2,309","1,890","1,586","1,905","1,936","1,597","1,226","3,479","1,823","2,067","2,218","1,740","1,865","1,934","1,840","2,839","2,827","1,964","1,285","1,642","1,730","1,663",1790%,1576%,2239%,3835%,1678%,1698%,3463%,3250%,1189%,1558%,1303%,1545%,1632%,1707%,1689%,1434%,1359%,1668%,1248%,1351%,1422%,1313%,1212%,1672%,1561%,1326%,1407%,1554%,1358%,1553%,1237%,998%,944%,1234%,1082%,1412%,1444%,1348%,2126%,1170%,986%,902%,1028%,1091%,1146%,1449%,1080%,1216%,1375%,1412%,1377%,1199%,1176%,911%
Sewer Backup Resolution Time (hours),3.6,4.3,4.2,3.1,3.3,3.8,4.2,3.7,3.4,3.8,3.4,3.9,3.4,3.8,3.7,3.6,4.3,4.5,4.7,5.3,4.7,3.8,3.7,4.9,4.0,5.3,3.9,3.5,4.3,5.0,4.8,5.1,5.0,5.5,4.7,5.5,6.0,7.8,6.3,4.6,5.7,5.4,5.7,5.8,5.4,5.1,4.7,5.4,4.9,5.3,4.3,7.0,6.2,6.1,5.7,5.9,5.4,5.1,5.0,7.2,6.5,5.6,5.0,5.3,5.0,5.1,6.9%,6.6%,7.7%,8.4%,7.2%,6%,9.8%,11.5%,4.9%,4.4%,5.3%,6.6%,6.1%,6.6%,6.2%,5.7%,5%,6.5%,4.8%,6.1%,4.4%,4.5%,5.3%,6.5%,6.5%,6.2%,6.4%,6.3%,5.5%,5.6%,5.1%,4.6%,5.1%,4.1%,4.8%,6.5%,6.6%,6.7%,6.3%,6.1%,5.2%,4.7%,5.5%,6.3%,4.2%,5.4%,5.4%,7%,6.9%,6.4%,5.5%,4.5%,4.3%,4.2%
Sewer Backups Recurring Locally within 2 years (%),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42%,46.9%,52%,54.5%,50.1%,46.8%,49.5%,46.9%,49.2%,48.7%,51.8%,51.3%,48.1%,51.5%,48.5%,51.2%,49.5%,47.9%,47.1%,47.4%,49.4%,47.6%,48.4%,50%,45.9%,46.5%,49.8%,48.3%,51.1%,44.9%,48.1%,47.9%,42.5%,47.9%,50.9%,49.1%,47.8%,49.1%,47.2%,44.4%,47.5%,47.3%,48.5%,46.7%,47.7%,51.3%,49.1%,49%
Street Cave-in Complaints Received,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1402,1383,990,1293,822,679,979,1160,807,1050,1216,1330,1380,1317,964,717,610,432,517%,474%,1071%,1250%,1536%,1811%,1924%,2769%,1925%,2159%,1618%,1150%,899%,1070%,1393%,1427%,1278%,1660%,1434%,1120%,1025%,778%,518%,422%,585%,557%,553%,767%,955%,831%,988%,1303%,607%,395%,231%,249%,203%,225%,471%,485%,587%,558%,664%,705%,489%,349%,316%,226%,170%,271%,349%,256%,326%,535%
Average Time to Respond and Make Safe (days),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6,1.8,2.6,2.1,7.1,0.6,0.9,1.3,0.9,1.4,0.9,1.2,1.7,2.1,1.8,0.9,2.3,0.9,1.0,2.1,2.4,2.7,3.1,4.7,5.4,11.4,10.1,12.5,11.3,12.4,5.9,4.0,6.7,6.0,10.9,8.3,7.4,5.1,5.8,5.3,5.4,3.8,4.4,4.8,9.7,5.6,5.3,6.1,7.6,7.9,7.7,8.5,6.6,9.5,6.3%,4.5%,4.8%,6.8%,6.1%,5%,5.9%,6.3%,8.9%,7.9%,8.7%,9.8%,11.1%,11.4%,9.1%,9%,8.1%,7.7%,10.5%,9.2%,10.6%,11.2%,10%,14.7%,9.4%,5.9%,9.8%,5.5%,6.5%,12.5%,10.5%,9.3%,16.1%,17.6%,12%,12.6%,3.4%,9.3%,4.7%,2.6%,1.9%,1.5%,1.5%,2.5%,6.4%,3.3%,2.6%,2.1%,1.8%,1.5%,1.6%,2%,1.3%,1.3%
Sewage Treatment Plants - Number of Critical Equipment Days Below Minimum,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,99,121,126,142,144,135%,155%,190%,164%,114%,101%,124%,115%,122%,114%,108%,102%,91%,154%,108%,129%,100%,93%,98%,75%,88%,90%,103%,92%,133%,69%,100%,100%,90%,120%,135%,120%,143%,139%,139%,161%,217%,172%,198%,183%,156%,178%,159%,154%,115%,166%,151%,170%,231%,197%,242%,242%,261%,208%
Leak Complaints Received,387,376,401,431,447,433,628,497,480,693,709,460,441,445,455,429,410,509,753,556,560,520,437,373,339,334,358,435,338,408,704,576,557,449,441,347,332,358,347,339,326,402,430,409,460,477,502,361,342,328,373,341,429,454,329,260,363,387,354,287,251,313,297,323,337,385,518%,582%,503%,530%,549%,415%,300%,329%,308%,323%,268%,268%,476%,359%,403%,561%,434%,246%,287%,284%,263%,286%,400%,429%,600%,547%,504%,384%,340%,259%,242%,240%,274%,267%,315%,325%,535%,284%,383%,437%,331%,275%,295%,357%,316%,260%,364%,445%,399%,360%,449%,356%,297%,300%
Leak Complaint Resolution Time (days),19.4,17.8,11.08,12.08,15.01,16.79,15.86,17.32,11.42,8.93,9.49,9.13,12.3,9.28,8.54,9.84,8.76,8.92,9,10.1,13.1,9.7,10.7,11,9.1,9.4,10.5,14.5,10.8,12,8.1,11.3,13.5,10.9,14.4,14.7,13.8,11.4,15.1,13.3,17.3,8.5,9,10.3,13.9,13.2,14.2,11.5,13.7,12.1,10.7,12.1,12.3,9.4,15.8,11.8,10.4,11.3,12.2,14.5,10.4,10.2,12.6,9.6,11.2,10.2,12.3%,10.4%,16.7%,13.8%,14%,18.9%,17.5%,13.4%,16%,14.5%,11.1%,11.9%,10.4%,12.5%,10.9%,11.9%,14.5%,18.6%,11.8%,12.6%,12.1%,11.1%,12.9%,13.51306218%,11.11041418%,13.4%,18.42404144%,13.8%,16.56803977%,17.0734692%,16.8%,14.03608963%,16.72463235%,16.5%,11.88370726%,14.7%,12.9%,15.2%,13.3%,13.8%,18.8%,18%,16.1%,17.91%,14.89%,18.4%,12.36%,11.02%,16.65%,15.29%,16.41%,11.75%,14.45%,10.91%
Water Main Breaks,26,32,34,45,56,52,88,54,27,32,28,20,22,20,24,33,44,78,120,75,55,46,40,36,36,45,24,39,38,78,105,103,50,22,42,25,20,25,31,42,53,71,69,63,37,44,31,29,24,26,33,28,44,84,41,38,43,32,36,21,22,34,26,32,35,62,74%,123%,67%,47%,33%,26%,34%,21%,30%,18%,49%,59%,66%,39%,30%,33%,28%,22%,18%,40%,23%,33%,44%,66%,114%,60%,50%,26%,19%,20%,20%,20%,20%,23%,30%,49%,92%,54%,37%,26%,26%,24%,19%,15%,31%,32%,42%,62%,96%,71%,51%,29%,15%,18%
Average Time to Restore Water to Customers After Confirming Break (hours),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.2%,11%,7.2%,9%,8%,11.7%,12.1%,13.1%,10.9%,13%,11%,15%,20.5%,14%,11.9%,9.5%,10%,8.4%,8.6%,9.6%,8.5%,10.4%,8.5%,9%,11.5%,7%,6.9%,6.7%,7.7%,6.9%,7.3%,5.1%,5.2%,4.4%,5.2%,2.6%,7.7%,6%,9.3%,5.9%,6.6%,5.4%,6.9%,4.9%,5.3%,4.6%,4.9%,4.3%,2.1%,5.7%
Average Time to Repair/Replace High Priority Broken and Inoperative Hydrants (days),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.5%,11.3%,17.3%,12.9%,16%,18.2%,13.9%,14.6%,10%,13%,18.1%,17.6%,16.9%,12%,17.7%,16.1%,14.5%,13.9%,12.6%,18.7%,16.6%,12.4%,19.8%,13.2%,17.7%,11.9%,11.3%,10.9%,26.8%,37.9%,9.7%,NA,23%,13.8%,20.4%,16.1%,4.2%,3.8%,5.8%,2.5%,7.4%,4.4%,3.9%,13.3%,6.9%,5.6%,5.3%,6.9%,9.3%,4.9%,4.7%,4.2%,4.7%,4%
Average Backlog of Broken and Inoperative Hydrants,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,436,385,382,353,347,336,343,367,381,396,418,417,374,388,408,461,475,445,444,447,442,451,469,483,393,332,329,376,424,430,446,440,425,445,480,494,528,488,448,479,552,606,620,608,589,594,607,609,566,461,421,457,497,519,516%,529%,510%,500%,500%,504%,423%,359%,375%,444%,483%,471%,458%,437%,415%,406%,410%,421%,520%,457%,440%,506%,495%,490%,491%,491%,486%,480%,490%,492%,422%,459%,488%,538%,566%,561%,555%,542%,530%,536%,550%,572%,590%,591%,593%,601%,542%,667%,654%,646%,620%,608%,609%,600%
Percent of Reservoir Capacity Filled (end of month),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.1%,74.7%,63.8%,80.8%,88.6%,94.1%,100.5%,96.7%,92.7%,96.8%,98.8%,102.8%,95.6%,90.2%,90.9%,97.6%,98.7%,95.0%,96.7%,88.2%,100.3%,99.9%,96.6%,92.4%,85%,77.8%,70.5%,72.6%,82.4%,91.8%,92.2%,97%,97.9%,97%,95.4%,89.8%,88.3%,81.6%,75.9%,75.2%,80.6%,95.1%,86.8%,84%,93.3%,96.2%,98.3%,99.1%,98.8%,96.5%,90.7%,91.6%,91.4%,94.4%,94.8%,89.3%,102%,100%,97.5%,91%,82.4%,74.2%,64.3%,79.8%,81.9%,86.9%,81.1%,80.6%,98.4%,101.2%,99.7%,98.4%
Percent of Samples Testing Positive for Coliform Bacteria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21%,0.00%,0.42%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.75%,0.00%,0.11%,0.10%,0.11%,0.85%,0.75%,0.23%,0.11%,0.43%,0.00%,0.00%,0.33%,0.52%,0.43%,0.10%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.22%,1.16%,0.65%,0.56%,0.76%,0.34%,0.11%,0.36%,0.66%,0.00%,0.13%,0.48%,1.34%,0.36%,0.36%,0.38%,0.00%,0.12%,0.24%,0%,0%,0%,0%,0%,0.24%,1.24%,0.24%,0.24%,0.35%,0%,0.23%,0%,0%,0%,0%,0.47%,0%,0.24%,0.47%,0.12%,0.35%,0%,0%,0%,0.39%,0%,0%,0%,0.48%,0.12%,1.56%,0.36%,0.12%,0.12%,0.12%,0.24%,0.13%,0.23%,0.25%,0.24%,0.37%,0.82%,1.26%,0.72%,0.71%,0.25%,0.25%,0%,0%,0.12%,0%,0.47%,0.49%
Number of Drinking Water Analyses Above Maximum Contaminant Level,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,4,10,11,3,6,4%,2%,0%,3%,16%,3%,5%,6%,9%,13%,12%,0%,1%,0%,1%,2%,2%,2%,2%,3%,4%,15%,69%,20%,7%,2%,2%,1%,0%,5%,5%,2%,2%,1%,0%,1%,0%,0%,2%,0%,1%,1%,0%,0%,2%,1%,0%,0%,1%,0%,0%,0%,2%,3%
