PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Davidson Community Center,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,"2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.85374837851653, -73.90853996733885)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,CAB Immigration Office,Bronx,Citizens Advice Bureau,(718) 508-3132,16+,"2070 Grand Concourse
Bronx, NEW YORK 10457
(40.85309059209145, -73.90280877587541)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 171 - Abraham Lincoln School,Brooklyn,Cypress Hills Local Development Corporation,(718) 647-2800,16+,"528 Ridgewood Avenue
Brooklyn, NEW YORK 11208
(40.6861530810444, -73.86966791838911)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 204 - Oliver W. Holmes School,Long Island City,"HANAC, INC.",(212) 996-3949 x 12,16+,"36 41 28 Street
Long Island City, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,"1038 Ogden Avenue
Bronx, NEW YORK 10452
(40.83388703055701, -73.92880933918217)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Highbridge Community Life Center,Bronx,Highbridge Community Life Center,(718) 681-2222,16+,"950 Anderson Avenue
Bronx, NEW YORK 10452
(40.831063771587196, -73.92801825784692)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 52 - Inwood Junior High School,New York,"Inwood Community Services, Inc.",(212) 942-0043 x 126,16+,"650 Academy Street
New York, NEW YORK 10034
(40.8659943773106, -73.92483806023611)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Inwood Community Services, Inc.",New York,"Inwood Community Services, Inc.",(212) 942-0043 x 126,16+,"651 Academy Street
New York, NEW YORK 10034
(40.866018005306515, -73.92477264483693)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,IS 126 - Astoria Intermediate School,Astoria,Jacob A Riis Neighborhood Settlement House,(718) 784-7447 x 112,16+,"31 51 21st Street
Astoria, NEW YORK 11106
(40.761699790013324, -73.9316632529567)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"1081 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.631085769961786, -73.96632046954319)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925353555, -73.95126983806618)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"283 Prospect Avenue
Brooklyn, NEW YORK 11215
(40.66327557621057, -73.9890518678046)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288322754, -73.961743706863)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592155, -73.94250335499902)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.63667021309369, -73.9904592808461)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"8635 21st Avenue
Brooklyn, NEW YORK 11214
(40.60253429326686, -73.99678043887103)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Korean Community Services of Metropolitan New York, Inc.",Flushing,"Korean Community Services of Metropolitan New York, Inc.",(718) 353-2253,16+,"35 56 159th Street
Flushing, NEW YORK 11358
(40.760350968822195, -73.79632645819947)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Jackson Heights,Make the Road New York,(718) 418-7690 x 211,16+,"71 24 Roosevelt Avenue
Jackson Heights, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Staten Island,Make the Road New York,(718) 418-7690 x 211,16+,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Latin American Integration Center,Woodside,Make the Road New York,(718) 418-7690 x 211,16+,"46 09 Skillman Avenue
Woodside, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"330 59th Street
Brooklyn, NEW YORK 11220
(40.64220161479856, -74.0191758017247)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Our Lady of Perpetual Help,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"552 59 Street
Brooklyn, NEW YORK 11220
(40.639335782578094, -74.01443140643113)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Lutheran Family Health Centers Adult & Family Education,Brooklyn,Lutheran Family Health Centers Adult & Family Education,(718) 630-7150 x 4070,16+,"6025 6th Avenue
Brooklyn, NEW YORK 11220
(40.637992703156115, -74.01409498889532)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Mercy Center, Inc.",Bronx,"Mercy Center, Inc.",(718) 993-2789 x 233,16+,"377 145th Street
Bronx, NEW YORK 10454
(40.81385583017525, -73.92035529273)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,New Heights Neighborhood Center,New York,Northern Manhattan Improvement Corporation,(212) 822-8300,16+,"216 Ft Washington Avenue
New York, NEW YORK 10032
(40.842343769666854, -73.94220075868486)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Opportunities for a Better Tomorrow,Brooklyn,Opportunities for a Better Tomorrow,(718) 369-0303,16+,"25 Thornton Street
Brooklyn, NEW YORK 11206
(40.70091258928835, -73.94390057487814)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Queens Community House,Jackson Heights,Queens Community House,(718) 898-7461,16+,"74 09 37 Avenue
Jackson Heights, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,"Ridgewood Bushwick Senior Citizens Council, Inc.",Brooklyn,"Ridgewood Bushwick Senior Citizens Council, Inc.",(718) 381-9653,16+,"1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.69784030864716, -73.91383248246076)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SCO Family of Services,Brooklyn,SCO Family of Services,(718) 455-1166,16+,"75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,PS 225 - Eileen E Zaglin School,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.5797910944251, -73.95643350547934)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Oceanview Jewish Center,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"3100 Brighton 4th Street
Brooklyn, NEW YORK 11235
(40.57664578354686, -73.96320963266943)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SoBRO,Bronx,SoBRO,(718) 292-3113 x 7611,16+,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SoBRO,New York,SoBRO,(718) 292-3113 x 7611,16+,"361 125th Street
New York, NEW YORK 10027
(40.81100239694575, -73.95314550778141)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,IS 8 - R. S. Grossley Junior High School,Jamaica,SQPA-NY Southern Queens Park Association NY,(718) 276-4630,16+,"108 35 167th Street
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,SQPA-NY Southern Queens Park Association NY,Jamaica,SQPA-NY Southern Queens Park Association NY,(718) 276-4630,16+,"177 01 Baisley Boulevard
Jamaica, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,St. Nicholas NPC/Williamsburg Works,Brooklyn,St Nicholas NPC - Williamsburg Works,(718) 302-2057 x 204,16+,"545 Broadway
Brooklyn, NEW YORK 11206
(40.70493361836181, -73.94926253242915)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,The Arab American Family Support Center,Brooklyn,The Arab American Family Support Center,(718) 643-8000 x 19,16+,"150 Court Street
Brooklyn, NEW YORK 11201
(40.688807894259774, -73.99283183663935)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Fortune Society,New York,The Fortune Society,(212) 691-7554,16+,"53 23rd Street
New York, NEW YORK 10010
(40.74063893398753, -73.98734451687551)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"1297 Arthur Kill Road
Staten Island, NEW YORK 10312
(40.565263465623865, -74.18400335105152)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"285 Vanderbilt Avenue
Staten Island, NEW YORK 10304
(40.618099835028865, -74.08072506821757)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"475 Victory Boulevard
Staten Island, NEW YORK 10301
(40.630627751644205, -74.08851956408898)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,The Jewish Community Center of Staten Island,Staten Island,The Jewish Community Center of Staten Island,(718) 508-3881,16+,"485 Victory Boulevard
Staten Island, NEW YORK 10301
(40.63034573041622, -74.08886716173346)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point Education Center,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,"5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.64235365356344, -74.00596380753073)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Turning Point,Brooklyn,"Turning Point (aka Discipleship Outreach Ministries, Inc.)",(718) 360-8171,16+,"5224 6th Avenue
Brooklyn, NEW YORK 11220
(40.64252330888736, -74.00947286580126)"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Washington Houses Community Center,Manhattan,Union Settlement Association,(212) 828-6298,16+,"1775 3rd Avenue
Manhattan, NEW YORK 10029
(40.7870466388226, -73.94792934815561)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED", Adult Literacy,Union Settlement Association,Manhattan,Union Settlement Association,(212) 828-6298,16+,"237 104th Street
Manhattan, NEW YORK 10029
(40.78992458809426, -73.94476913120286)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Flatbush YMCA,Brooklyn,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"1401 Flatbush Avenue
Brooklyn, NEW YORK 11210
(40.636590672567, -73.95160259310835)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Harlem YMCA,New York,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"180 135th Street
New York, NEW YORK 10030
(40.81502333827274, -73.94312298241152)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,YMCA of Greater New York / ELESAIR,New York,YMCA of Greater New York / ELESAIR,(212) 875-4336,16+,"229 14th Street
New York, NEW YORK 10011
(40.739101600703236, -74.00098044651992)"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,YWCA of Queens,Flushing,YWCA of Queens,(718) 353-4553,16+,"42 08 Parsons Boulevard
Flushing, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
