Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ACS,In-care youth who were referred for and received mental health services (%),,,,,,,37.00%,44.00%,48.00%,55.00%
ACS,In-care youth who were referred for mental health services (%),,,,,,,43.00%,48.00%,44.00%,43.00%
ACS,Indication rate,32.60%,34.50%,28.70%,41.30%,40.00%,39.90%,42.00%,41.90%,40.10%,39.60%
ACS,Median length of stay for children entering foster care for the first time who are returned to parent (months),6.8,7.6,8.2,10.3,11.5,9.3,8.3,5.3,6.4,5.5
ACS,Median length of stay in foster care before child is adopted (months),64.3,61.5,59.7,58,54.2,53.8,53.7,53.1,52.9,53.2
ACS,Narcotics recovery rate (average per 100 Total ADP),,0.03,0.02,0.03,0.04,0.05,0.04,0.03,0.04,0.08
ACS,Number of Families Entering Purchased Preventive Services,"12,983","12,525","11,965","10,671","11,337","11,227","11,209","10,207","7,865","10,124"
ACS,Number of State Central Register consolidated investigations,"53,894","51,477","47,021","57,145","59,615","59,317","59,161","59,228","59,982","57,453"
ACS,Residents seen within 24 hours of sick call report (%),96%,98%,99%,99%,95%,97%,98%,100%,100%,100%
ACS,Siblings placed simultaneously in the same foster home,89.60%,87.10%,91.40%,90.20%,85.30%,79.70%,80.90%,83.00%,85.00%,86.30%
ACS,Total Enrollment in subsidized child-care (Low-income working/other and TANF),,,,,"106,761","102,292","104,275","102,246","98,643","95,979"
ACS,Total Head Start enrollment,"16,924","16,633","19,886","19,530","18,782","18,147","18,561","18,563","18,423","18,351"
ACS,Total Number of Children using Vouchers for Child Care,,,,,"76,285","70,913","71,532","72,200","68,484","69,020"
ACS,Total Number of Children using Vouchers for Child Care (Low-Income Working/ Other Families),,,"18,161","20,175","24,104","23,281","22,069","20,801","18,595","17,238"
ACS,Total Number of Children using Vouchers for Child Care (TANF),,,,,"49,147","47,632","49,463","51,399","49,889","51,782"
ACS,Total admissions,,"5,047","5,252","5,973","5,886","5,490","5,833","5,387","4,868","4,416"
ACS,Total contracted Child care capacity filled (%),,,92.10%,97.90%,87.10%,89.10%,94.80%,90.60%,89.90%,87.60%
ACS,Total number of children in foster care,"25,636","22,082","18,968","16,659","16,854","16,701","16,439","15,896","14,843","14,013"
ACS,Weapon recovery rate (average per 100 Total ADP),,0.04,0.04,0.05,0.08,0.06,0.04,0.03,0.04,0.1
ACS,Youth on Staff Assaults and Altercations with Injury Rate (per 100 Total ADP),,0.01,0.02,0.03,0.03,0.03,0.03,0.02,0.03,0.04
ACS,Youth on Youth Assaults and Altercations with Injury Rate (per 100 total ADP),,0.18,0.23,0.3,0.35,0.37,0.33,0.35,0.36,0.44
ACS,Youth(s) with previous admissions to detention (%),46.00%,45.70%,44.20%,42.90%,45.90%,47.50%,49.40%,53.00%,54.00%,59.50%
BIC,Average age of pending carting applications (days) - New and Renewal,,687,519,282,153,130,123,167,167,168
BIC,Average time to approve carting licenses (days) - New and Renewal,,734,776,285,289,206,142,184,155,175
BIC,Average time to approve carting registrations (days) - New and Renewal,,747,392,127,78,116,122,127,99,112
BIC,Average time to approve public wholesale market registrations (days) - New and Renewal,,,,,257,280,226,226,221,221
BIC,Carting applications denied (%) - License,,10.00%,9.20%,10.10%,10.00%,10.30%,9.90%,9.60%,9.30%,9.30%
BIC,Carting applications denied (%) - Registration,,0.80%,1.30%,1.60%,2.00%,2.10%,2.30%,2.30%,2.20%,2.40%
BIC,Carting applications denied (%) - Total,,4.00%,3.80%,4.10%,4.00%,4.10%,4.00%,3.70%,3.60%,3.60%
BIC,Carting applications pending - New and Renewal,,375,258,217,189,274,628,336,363,419
BIC,Carting background investigations completed (total),598,299,690,621,"1,020",743,"1,244","1,289","1,088",998
BIC,Carting licenses approved - New and Renewal,58,93,176,124,113,100,83,133,95,103
BIC,Carting registrations approved - New and Renewal,297,249,659,410,678,485,641,943,860,747
BIC,Public wholesale market applications denied (%),,,,2.00%,2.00%,2.10%,1.70%,2.20%,1.90%,2.20%
BIC,Public wholesale market background investigations completed (total),,,,114,145,158,170,265,397,726
BIC,Public wholesale market registrations approved - New and Renewal,,2,18,44,45,40,56,114,80,50
BIC,Violations issued - Other,8,22,37,74,69,180,482,996,581,271
BIC,Violations issued to private carters - Total,165,128,136,308,371,620,"1,290","1,672","1,280","1,601"
BIC,Violations issued to public wholesale markets and businesses,39,106,190,306,532,551,378,417,345,323
BPL,Average weekly scheduled hours,37.5,33.7,35.8,37.9,37.9,46.7,46,44.3,35.5,43.5
BPL,Circulation (000),"10,293","10,409","14,000","15,923","16,497","16,825","17,273","19,474","20,280","19,579"
BPL,Computers for public use,922,951,994,"1,009","1,078","1,108","1,108","1,108","1,108","1,111"
BPL,Electronic visits to website (000),"6,165","4,568","2,790","3,414","3,695","3,882","4,836","5,337","5,807","4,999"
BPL,Libraries open 6 days/week (%),63%,37%,46%,100%,100%,100%,100%,100%,28%,52%
BPL,Libraries open 7 days/week (%),2%,0%,0%,10%,10%,10%,10%,10%,10%,3%
BPL,Library card holders (000),979,,999,"1,029","1,079","1,075","1,154","1,306",741,915
BPL,Program attendance,,"440,396","625,416","649,319","850,756","894,648","868,616","924,700","855,713","830,450"
BPL,Program sessions,"32,754","28,581","33,702","36,047","37,634","43,862","46,091","49,398","43,748","43,249"
BPL,Reference queries (000),"6,615","4,568","5,183","3,572","3,148","3,450","3,436","3,380","3,401","3,190"
BPL,Total library attendance (000),"8,689","9,917","9,910","10,210","12,411","12,915","13,225","12,036","12,341","12,024"
CCHR,Average age of complaint caseload (days),,,,,486,317,318,315,306,335
CCHR,Average value of cash settlement for complainant ($),"$13,332 ","$12,505 ","$16,650 ","$19,000 ","$12,981 ","$12,621 ","$11,004 ","$17,918 ","$11,846 ","$15,173 "
CCHR,Caseload,738,576,557,480,527,566,402,438,524,474
CCHR,Cases closed,"3,076",729,492,456,298,477,649,441,462,440
CCHR,Cases closed (%) - Administrative cause,44%,38%,28%,29%,33%,26%,23%,25%,25%,24%
CCHR,Cases closed (%) - No probable cause determination,49%,40%,47%,47%,41%,53%,39%,35%,44%,45%
CCHR,Cases closed (%) - Probable cause determination,1%,4%,7%,5%,3%,6%,13%,8%,13%,5%
CCHR,Cases closed (%) - Settlement,6%,18%,18%,19%,23%,15%,25%,32%,18%,26%
CCHR,Cases filed,291,496,401,312,283,466,435,410,444,335
CCHR,Cases filed (%) - Bias-related harassment,1%,1%,2%,1%,1%,1%,0%,0%,1%,1%
CCHR,Cases filed (%) - Employment discrimination,69%,72%,74%,77%,72%,66%,54%,56%,66%,66%
CCHR,Cases filed (%) - Housing discrimination,18%,20%,16%,15%,19%,21%,38%,33%,21%,19%
CCHR,Cases filed (%) - Public accommodation discrimination,12%,7%,8%,7%,8%,12%,8%,11%,12%,14%
CCHR,Cases pending by age - 1-3 years old,233,77,118,134,174,126,74,77,81,114
CCHR,Cases pending by age - 3-5 years old,156,49,23,15,16,7,4,8,5,2
CCHR,Cases pending by age - Less than one year,133,395,396,329,336,433,324,353,438,358
CCHR,Cases pending by age - Older than 5 years,100,55,20,2,1,0,0,0,0,0
CCHR,Cases referred to the Office of Administrative Trials and Hearings,21,35,32,29,14,29,72,37,59,23
CCHR,Community-based technical assistance,"4,485","7,550","10,562","11,628","12,344","11,920","13,563","17,574","17,055","17,297"
CCHR,"Conferences, workshops and training sessions",435,716,659,728,667,735,"1,002","1,108","1,206","1,217"
CCHR,Modifications for accessibility,121,144,156,185,169,217,192,173,187,193
CCHR,Pre-complaint resolutions,159,188,142,198,191,236,216,210,182,190
CCHR,School-based training sessions conducted,294,382,475,402,588,436,327,370,327,401
CCRB,Age of cases when substantiated by date of incident (0-5 months),21%,20%,13%,20%,20%,8%,1%,3%,5%,2%
CCRB,Age of cases when substantiated by date of incident (1 year or older),23%,31%,41%,29%,33%,48%,64%,57%,45%,63%
CCRB,Age of cases when substantiated by date of incident (12-14 months),15%,20%,28%,18%,19%,28%,26%,33%,30%,32%
CCRB,Age of cases when substantiated by date of incident (15 months or older),8%,11%,13%,11%,14%,20%,37%,24%,14%,31%
CCRB,Age of cases when substantiated by date of incident (6-11 months),56%,49%,46%,52%,47%,44%,36%,40%,50%,35%
CCRB,Age of docket by date of report (0-4 months),71%,67%,66%,70%,67%,64%,64%,68%,70%,63%
CCRB,Age of docket by date of report (1 year or older),,,,,7%,7%,10%,5%,4%,8%
CCRB,Age of docket by date of report (13 months and older),2%,5%,5%,3%,5%,5%,7%,4%,3%,5%
CCRB,Age of docket by date of report (18 months and older),,,,,,,,,,
CCRB,Age of docket by date of report (5-12 months),27%,28%,29%,27%,28%,31%,29%,28%,27%,33%
CCRB,Age of mediation docket by date of referral to mediation unit (12 months and older),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
CCRB,Age of mediation docket by date of referral to mediation unit (0-11-months),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
CCRB,Average age of open docket (days),,,,,,,,,,
CCRB,Average successful mediation case completion time (days),219,184,175,160,153,164,158,174,179,181
CCRB,Average time to complete a full investigation (days),242,270,292,288,291,306,343,327,282,293
CCRB,Average time to complete a substantiated investigation (days),,,,,,,,,,384
CCRB,Case closures per investigator,38,43,44,49,51,58,64,78,69,68
CCRB,Cases closed,,,,,,,"7,148","8,269","6,149","5,637"
CCRB,Cases closed through the mediation unit,153,228,156,246,243,171,182,250,417,315
CCRB,Cases mediated,72,117,96,106,119,94,128,144,147,112
CCRB,Cases referred to mediation,337,423,327,418,379,368,343,557,626,576
CCRB,Civilians who accepted mediation (%),46%,48%,42%,45%,46%,,,,,
CCRB,Closed allegations with findings on the merits (%),65%,62%,64%,64%,63%,56%,48%,55%,49%,46%
CCRB,Full investigations as a percentage of total cases closed (%),45%,41%,41%,38%,36%,34%,31%,36%,30%,31%
CCRB,Mediation resolution rate,91%,96%,95%,96%,97%,94%,98%,,,
CCRB,Officers disciplined (excluding pending and filed cases) (%),69%,74%,71%,77%,75%,55%,56%,74%,74%,83%
CCRB,Officers who accepted mediation (%),65%,68%,67%,68%,66%,68%,74%,,,
CCRB,Substantiated cases in which the statute of limitations expired (%),,,,,,,,,,
CCRB,Total civilian complaints against uniformed members of the NYPD,"5,091","5,949","6,360","7,349","7,662","7,488","7,661","6,954","6,259","5,724"
CUNY,Baccalaureate degree seeking students admitted who enroll (%),,50.50%,52.70%,53.40%,51.80%,52.50%,51.70%,49.60%,46.10%,47.50%
CUNY,Enrollment of first-time freshmen in CUNY community colleges,"11,514","11,496","11,978","11,890","12,745","13,935","15,269","17,220","17,512","19,362"
CUNY,High school students participating in college preparation programs through the College Now program,"51,430","50,644","54,602","52,828","51,973","48,234","40,870","28,017","27,122","28,678"
CUNY,Honors college student enrollment,,785,"1,016","1,070","1,099","1,198","1,220","1,352","1,417","1,561"
CUNY,Instructional hours delivered by full-time faculty (Fall) - Senior Colleges (%),,49.00%,46.40%,45.10%,42.90%,43.20%,41.80%,43.30%,41.90%,40.40%
CUNY,Number of students transferring to a CUNY baccalaureate program within two years of leaving a CUNY associate program,"4,956","5,130","5,564","5,554","5,683","5,605","5,989","6,754","7,311","8,144"
CUNY,One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in a baccalaureate program at a CUNY college,83.30%,83.00%,83.40%,83.60%,83.70%,84.60%,84.70%,85.00%,85.90%,86.30%
CUNY,One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in an associate program at a CUNY community college,65.40%,65.10%,66.10%,65.40%,65.50%,64.80%,66.10%,66.70%,68.00%,67.10%
CUNY,Percentage of instructional hours at the community colleges delivered by full-time faculty,41.90%,44.50%,49.10%,47.00%,46.20%,46.10%,43.30%,45.60%,44.30%,41.40%
CUNY,Percentage of test-takers passing the National Council Licensure Examination for Registered Nurses (NCLEX),78.70%,81.40%,85.30%,84.50%,86.00%,86.30%,86.50%,85.40%,85.50%,81.60%
CUNY,Six-year graduation rate of full-time first-time freshmen seeking a baccalaureate degree at a CUNY college,42.60%,43.00%,47.10%,48.60%,49.20%,49.30%,49.60%,50.60%,51.10%,
CUNY,Six-year graduation rate of full-time first-time freshmen seeking an associate degree at a CUNY community college,25.90%,28.80%,27.00%,27.90%,28.20%,28.60%,28.50%,27.60%,28.40%,
CUNY,Students passing the New York State Teacher Certification Examination (%),,93.00%,96.00%,98.00%,98.00%,97.00%,97.00%,98.00%,97.00%,97.00%
CUNY,The mean SAT score of enrolled freshmen in baccalaureate programs at senior colleges (excluding comprehensive colleges),,"1,040.00","1,041.00","1,041.00","1,041.00","1,036.00","1,050.00","1,084.00","1,100.00","1,083.00"
DCA,Basic license application - Average processing time (days),,,,,,5,3,4,3,5
DCA,Complaint processing time 0-20 days (%),,,19%,11%,11%,26%,44%,48%,64%,60%
DCA,Complaint processing time 21-50 days (%),,,35%,16%,20%,42%,51%,46%,32%,40%
DCA,Complaint processing time 51-90 days (%),,,26%,30%,18%,21%,5%,4%,3%,0%
DCA,Complaints resolved to the satisfaction of the businesses and consumers (%),54%,54%,59%,50%,52%,57%,53%,55%,56%,55%
DCA,Compliance on a follow-up inspection after a previous tobacco violation (%),83%,82%,72%,86%,91%,89%,89%,88%,86%,88%
DCA,Consumer Protection Law - refund and receipt compliance rate (%),,,89%,91%,93%,90%,94%,93%,91%,91%
DCA,Docketed complaints - Debt collection agency,,,,,,,831,646,627,652
DCA,Docketed complaints - Home improvement contractor,,,,,"1,142",957,715,585,592,610
DCA,Inspected stores complying with tobacco regulations (%),83%,85%,82%,84%,89%,86%,88%,87%,90%,91%
DCA,Licensing Law compliance rate (%),73%,78%,78%,82%,87%,88%,89%,90%,92%,90%
DCA,Licensing center wait time (minutes),18,14,13,13,10,13,18,14,11,13
DCA,Median complaint processing time (days),,,,,90,35,23,21,15,17
DCA,Number of fines collected within 45 days of assessment (%),,63%,72%,75%,79%,77%,80%,82%,84%,82%
DCA,Restitution awarded ($000),"$7,016 ","$3,110 ","$3,868 ","$3,632 ","$5,304 ","$8,367 ","$9,858 ","$11,728 ","$5,424 ","$5,486 "
DCA,Total docketed complaints,,,"6,116","7,555","6,057","6,877","5,488","4,704","4,580","4,610"
DCA,Total settlements ($000),,,,,"$5,183 ","$5,266 ","$4,192 ","$4,625 ","$7,336 ","$8,707 "
DCA,Weights and Measures Law compliance rate - fuel trucks (%),92%,93%,91%,92%,94%,73%,80%,82%,70%,73%
DCA,Weights and Measures Law compliance rate - gasoline pumps (%),98%,97%,98%,98%,98%,98%,98%,97%,96%,95%
DCAS,Applications received for open competitive civil service exams,"193,906","158,420","115,799","130,492","209,317","156,100","214,689","111,316","80,400","112,906"
DCAS,Average building cleanliness and condition rating for DCAS-managed office buildings (%),,,,,,,,77%,67%,73%
DCAS,Average cost of cleaning per square foot ($),$1.70 ,$1.70 ,$1.70 ,$2.00 ,$2.20 ,$2.40 ,$2.70 ,$3.00 ,$2.90 ,$2.80 
DCAS,Average cost of training per employee ($),$208 ,$165 ,$196 ,$198 ,$179 ,$186 ,$195 ,$179 ,$195 ,$253 
DCAS,Average number of bidders per bid,5.1,5.3,5.1,5,4.6,4.6,5.6,4.9,4.6,3.2
DCAS,Average rating for professional development training sessions (%),,,,,,,,,90%,88%
DCAS,Average square feet of office space per employee,,,,,,,,,268,280
DCAS,Average time to complete in-house trade shop work orders (days),,,,,7.1,8.2,8.9,6.4,8.2,7.6
DCAS,Average time to process a purchase order (days),,,,,3.2,3.2,3,2.9,1.4,1.1
DCAS,Construction projects completed early or on time (%),,,,,100%,100%,100%,100%,100%,100%
DCAS,Design projects completed early or on time (%),,,,,100%,100%,100%,100%,100%,100%
DCAS,Estimated annual cost savings from energy conservation projects ($ millions),,,,,,,$1.36 ,$1.83 ,$0.87 ,$1.31 
DCAS,Estimated reduction in greenhouse gas emissions due to energy conservation projects (metric tons),,,,,,,"5,119","6,884","2,583","3,325"
DCAS,Exams administered on schedule (%),93%,92%,88%,93%,88%,87%,95%,100%,100%,100%
DCAS,High priority NYCAPS work tickets resolved (%),,,,,94%,96%,95%,94%,94%,96%
DCAS,In-house trade shop work orders received,,,"7,582","8,466","10,533","14,019","15,067","16,098","13,729","14,336"
DCAS,In-house trade shops work orders completed within 30 days (%),,,,74%,79%,85%,85%,87%,80%,75%
DCAS,In-house work orders received (total),"16,167","17,528","28,351","36,192","50,377","59,799","66,001","76,327","71,125","71,431"
DCAS,Lease revenue generated ($000),"$52,063 ","$51,397 ","$49,457 ","$56,454 ","$53,939 ","$64,254 ","$64,920 ","$63,339 ","$65,561 ","$67,009 "
DCAS,Median days from exam administration to list establishment,,,,235,245,232,228,295,326,489
DCAS,Number of tax lots managed by DCAS,"3,295","2,753","2,650","2,561","2,453","2,311","2,260","2,206","2,157","2,033"
DCAS,Percentage of citywide fleet that is hybrid or alternative fuel vehicle,,,,,,,22.30%,24.10%,26.90%,28.00%
DCAS,Real estate auction bids received ($000),$0 ,"$32,804 ","$32,229 ","$20,054 ",,,,,,"$5,600 "
DCAS,Rents collected as a percentage of rents billed (%),102%,98%,101%,95%,102%,96%,100%,99%,97%,99%
DCAS,Revenue generated from the sale of surplus goods ($000),"$7,907 ","$7,248 ","$8,956 ","$7,999 ","$5,670 ","$8,246 ","$12,824 ","$12,576 ","$13,300 ","$9,318 "
DCAS,Short-term lease renewal inspections completed,,,,,173,200,233,250,239,212
DCAS,Short-term lease renewal inspections completed within 10 business days (%),,,,,87%,100%,100%,98%,95%,95%
DCAS,Total electricity purchased (kilowatt hours) (billions),4,4,4.1,4.1,4.3,4.3,4.3,4.3,4.3,4.2
DCAS,Total energy purchased (British Thermal Units) (trillions),28.3,27.3,27.7,27.6,28.1,29.1,29.6,28,29.2,24.3
DCAS,Vacant desks (%),,,,,,,,,14%,15%
DCAS,Vehicles with highest emission ratings purchased pursuant to Local Law 38 (%),,,,,88%,87%,95%,92%,93%,98%
DCLA,Average days to issue initial Cultural Development Fund payments after complying with all City requirements,,,,,,,6,9,7,6
DCLA,Average days to issue program grant final payments,,,,,,6,6,10,4,4
DCLA,Materials for the Arts donors,970,"1,098","1,276","1,211","1,324","1,741","1,509","1,616","1,561","1,697"
DCLA,Materials for the Arts transactions,"3,808","4,525","4,346","4,549","4,743","4,994","5,593","5,534","5,276","5,550"
DCLA,New capital projects initiated (%),,51%,83%,66%,57%,54%,70%,74%,99%,67%
DCLA,Number of events listed on NYCulture Calendar,,,,,,,,"6,631","6,120","6,425"
DCLA,Number of schools served by Materials for the Arts,497,734,559,530,591,545,631,713,622,674
DCLA,Operating support payments made to Cultural Institutions Group by the 5th day of each month (%),,100%,99%,100%,100%,100%,100%,100%,100%,100%
DCLA,Percentage of total visitors to CIG using free admission and/or tickets,,,,,,,15%,16%,16%,21%
DCLA,Total visitors to the Cultural Institutions Group,,,,"17,516,440","18,466,095","19,092,865","18,882,316","19,266,938","18,743,457","20,188,062"
DCLA,Value of contributed Materials for the Arts materials and equipment ($ millions),$3.60 ,$3.90 ,$4.30 ,$6.50 ,$4.80 ,$7.30 ,$5.80 ,$6.70 ,$5.20 ,$5.80 
DCP,Median time to complete environmental review applications (days),,,,,33,46,22,47,39,12
DCP,Median time to refer land use applications (days),,,52,48,41,48,33,28,37,43
DCP,Number of DCP initiated economic development and housing proposals presented to the public,6,6,7,7,6,7,11,9,9,11
DCP,Number of DCP initiated neighborhood enhancement proposals presented to the public,9,10,19,25,14,16,16,15,8,4
DCP,Number of DCP initiated planning information and policy analysis initiatives presented to the public,5,7,6,6,13,11,8,11,15,28
DCP,Number of environmental review applications completed,,,,,290,288,224,249,208,199
DCP,Number of land use applications referred,426,602,552,515,535,636,557,459,444,465
DCP,Number of significant milestones achieved for DCP-facilitated projects related to Hudson Yards,,,,,5,11,12,11,2,3
DCP,Number of significant milestones achieved for DCP-facilitated projects related to Lower Manhattan,,,,,4,6,6,6,6,8
DCP,Number of significant milestones achieved for DCP-facilitated projects related to significant open-space proposals,,,,,4,5,5,5,5,7
DCP,Percent of environmental review applications completed within 13 months or more of receipt,,,,,17%,21%,21%,32%,20%,11%
DCP,Percent of environmental review applications completed within 6 - 12 months of receipt,,,,,3%,8%,8%,7%,6%,2%
DCP,Percent of environmental review applications completed within 6 months of receipt,,,,,80%,71%,71%,61%,74%,87%
DCP,Percent of land use applications referred within 13 months or more,14%,16%,15%,11%,16%,16%,15%,13%,14%,17%
DCP,Percent of land use applications referred within 6 - 12 months,11%,13%,11%,11%,12%,10%,6%,7%,12%,9%
DCP,Percent of land use applications referred within 6 months,75%,71%,74%,78%,72%,74%,79%,80%,74%,74%
DDC,Active construction projects - Difference between projected and scheduled duration (%),,,7.40%,7.40%,9.60%,7.00%,5.60%,2.70%,1.60%,1.90%
