Boro/Central Library,Network,Branch,ADULT Program,ADULT Attendance,YOUNG ADULT Program,YOUNG ADULT Attendance,JUVENILE Program,JUVENILE Attendance,OUTREACH SERVICES Program,OUTREACH SERVICES Attendance, TOTAL Program, TOTAL Attendance, REFERENCE TRANSACTIONS Adult, REFERENCE TRANSACTIONS Young Adult, REFERENCE TRANSACTIONS Juvenile, REFERENCE TRANSACTIONS,CIRCULATION Adult,CIRCULATION Young Adult,CIRCULATION Juvenile,CIRCULATION,Weekly Hours of Public Service
Manhattan,Seward Park Network,Columbus ,46,724,16,471,119,2355,20,906,201,4456,70733,21697,30706,123136,145599,21736,52125,219460,42
Manhattan,Seward Park Network,Cooke-Cathedral,27,312,5,15,14,141,17,487,63,955,9230,26,0,9256,115953,14699,16691,147343,39
Manhattan,Seward Park Network,Epiphany,83,1198,5,44,178,6532,15,293,281,8067,49868,7774,12688,70330,230928,27269,67330,325527,44
Manhattan,Seward Park Network,Grand Central,56,584,200,2614,19,228,10,33,285,3459,19383,2782,78,22243,251736,44891,40587,337214,44
Manhattan,Seward Park Network,Hamilton Fish Park ,142,1472,26,224,382,5732,151,2839,701,10267,24219,6448,7111,37778,79132,25640,60010,164782,44
Manhattan,Seward Park Network,Hudson Park,130,1424,154,820,166,6877,177,2550,627,11671,41314,1911,6942,50167,112121,10853,27569,150543,42
Manhattan,Seward Park Network,Jefferson Market,77,2432,38,977,194,7812,12,358,321,11579,151879,1170,20332,173381,257047,24474,84347,365868,48
Manhattan,Seward Park Network,Kips Bay,284,2098,79,530,480,8633,20,1671,863,12932,33579,2067,4004,39650,135807,13994,57821,207622,42
Manhattan,Seward Park Network,Muhlenberg,103,1781,119,1070,273,7469,170,3132,665,13452,32903,8645,10205,51753,232290,29360,70849,332499,42
Manhattan,Seward Park Network,Mulberry Street,56,530,185,3284,199,5647,29,113,469,9574,34554,5902,6474,46930,201905,34573,98989,335467,44
Manhattan,Seward Park Network,New Amsterdam,13,283,30,128,183,2412,10,243,236,3066,37908,1534,2366,41808,322828,43961,81507,448296,46
Manhattan,Seward Park Network,Ottendorfer,180,1139,69,530,422,15140,30,476,701,17285,25584,3861,3887,33332,173164,15903,42107,231174,42
Manhattan,Seward Park Network,Roosevelt Island,97,751,223,2108,209,3897,31,1219,560,7975,25168,11726,11102,47996,61941,8938,46814,117693,50
Manhattan,Seward Park Network,Seward Park,35,445,207,2929,598,14941,138,2053,978,20368,102427,38454,68172,209053,231221,82085,200169,513475,50
Manhattan,Seward Park Network,Tompkins Square,89,1496,30,358,296,5101,53,869,468,7824,50908,10465,17056,78429,143693,19902,45790,209385,42
Manhattan,Seward Park Network,Subtotal:,1923,24451,1572,17977,4379,109541,970,20344,8844,172313,866177,138268,235781,1240226,3478204,562480,1347884,5388568,803
Manhattan,Special Unit,Manhattan Borough Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,Special Unit,Subtotal:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan,,MANHATTAN TOTAL:,3753,50080,3021,37994,8541,220687,2121,45309,17436,354070,1992978,556673,711477,3261128,6165607,983510,2900222,10049339,1604
Staten Island,Staten Island Network,Dongan Hills,66,1323,82,1005,165,4105,167,8935,480,15368,19396,6318,10764,36478,68168,13544,70811,152523,42
Staten Island,Staten Island Network,Great Kills ,83,1655,60,1412,215,3809,74,3030,432,9906,39403,9074,9126,57603,60629,14004,85539,160172,42
Staten Island,Staten Island Network,Huguenot Park,94,1173,44,400,140,3389,10,278,288,5240,36699,15652,18941,71292,98731,22124,124491,245346,44
Staten Island,Staten Island Network,New Dorp,141,1570,72,873,181,4312,217,5319,611,12074,152763,77844,98735,329342,125685,23400,108050,257135,46
Staten Island,Staten Island Network,Port Richmond,35,543,109,1130,177,5298,138,1957,459,8928,18811,6422,8840,34073,43650,11198,35952,90800,46
Staten Island,Staten Island Network,Richmondtown,47,1170,61,563,182,4701,20,618,310,7052,179179,17732,38844,235755,123762,17813,100290,241865,46
Staten Island,Staten Island Network,South Beach,59,929,44,287,212,5003,57,3392,372,9611,29809,8684,20982,59475,59069,13752,66888,139709,42
Staten Island,Staten Island Network,St. George Library Center,112,1299,365,2862,207,3604,368,3801,1052,11566,63089,18005,19461,100555,167522,25978,75200,268700,62
Staten Island,Staten Island Network,Stapleton*  * Closed for major renovation - effective 4/15/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,32,141,343,0
Staten Island,Staten Island Network,Todt-Hill Westerleigh,57,458,35,507,147,3257,52,1664,291,5886,82589,23517,22516,128622,258937,53328,295016,607281,50
Staten Island,Staten Island Network,Tottenville,50,754,99,1590,207,4580,73,2226,429,9150,18798,8138,10205,37141,42777,11163,69211,123151,43
Staten Island,Staten Island Network,West New Brighton,58,1007,14,117,108,2305,28,303,208,3732,35477,26910,27339,89726,78945,17206,62037,158188,43
Staten Island,Staten Island Network,Subtotal:,802,11881,985,10746,1941,44363,1204,31523,4932,98513,676013,218296,285753,1180062,1128045,223542,1093626,2445213,506
Staten Island,Special Units,Staten Island Borough Office,0,0,0,0,0,0,2,89,2,89,0,0,0,0,0,0,0,0,0
Staten Island,Special Units,Subtotal:,0,0,0,0,0,0,2,89,2,89,0,0,0,0,0,0,0,0,0
Staten Island,,STATEN ISLAND TOTAL:,802,11881,985,10746,1941,44363,1206,31612,4934,98602,676013,218296,285753,1180062,1128045,223542,1093626,2445213,506
CENTRAL LIBRARY UNITS,Central,Children's Center,37,2072,5,164,355,15226,3,91,400,17553,22035,442,4069,26546,402,8,164065,164475,55
CENTRAL LIBRARY UNITS,Central,Donnell Library Center** ** Closed for major renovation - effective 8/29/08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
CENTRAL LIBRARY UNITS,Central,Braille & Talking Book Library,94,622,5,191,20,411,29,389,148,1613,116584,1781,676,119041,366734,4575,3896,375205,42
CENTRAL LIBRARY UNITS,Central,Mid-Manhattan Library,1169,30624,35,781,3,177,74,2200,1281,33782,295867,0,0,295867,2676002,56735,68563,2801300,88
CENTRAL LIBRARY UNITS,Central,Performing Arts Library,4,767,0,0,0,0,0,0,4,767,98280,3952,520,102752,693328,331,163,693822,40
CENTRAL LIBRARY UNITS,Central,SIBL,0,0,0,0,0,0,0,0,0,0,21463,0,0,21463,322076,168,10,322254,51
CENTRAL LIBRARY UNITS,Central,Subtotal:,1304,34085,45,1136,378,15814,106,2680,1833,53715,554229,6175,5265,565669,4058542,61817,236700,4357059,276
CENTRAL LIBRARY UNITS,Central,CENTRAL LIBRARY TOTAL:,1304,34085,45,1136,378,15814,106,2680,1833,53715,554229,6175,5265,565669,4058542,61817,236700,4357059,276
Other,Other,Other Systemwide Services,23,2435,7,415,13,778,137,7881,180,11509,0,0,0,0,3901733,377974,1810755,6090462,0
System,System,GRAND TOTAL:,9584,146065,8299,110189,19111,459309,6276,149106,43270,864669,4652461,1405017,1851059,7908537,17710797,2289674,7907199,27907670,4058
