BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / GRADE / PROGRAM / SUBJECT
K,03,GEN ED / CTT / G&T,-,-,20,56,1120,5%
K,03,GEN ED / CTT / G&T,-,-,21,71,1491,7%
K,03,GEN ED / CTT / G&T,-,-,22,91,2002,10%
K,03,GEN ED / CTT / G&T,-,-,23,91,2093,10%
K,03,GEN ED / CTT / G&T,-,-,24,85,2040,10%
K,03,GEN ED / CTT / G&T,-,-,25,99,2475,12%
K,03,GEN ED / CTT / G&T,-,-,26,81,2106,10%
K,03,GEN ED / CTT / G&T,-,-,27,67,1809,9%
K,03,GEN ED / CTT / G&T,-,-,28,44,1232,6%
K,03,GEN ED / CTT / G&T,-,-,29,32,928,4%
K,03,GEN ED / CTT / G&T,-,-,30,15,450,2%
K,03,GEN ED / CTT / G&T,-,-,31,9,279,1%
K,03,GEN ED / CTT / G&T,-,-,32,11,352,2%
K,03,GEN ED / CTT / G&T,-,-,33,1,33,0%
K,04,GEN ED / CTT / G&T,-,-,<15,9,119,1%
K,04,GEN ED / CTT / G&T,-,-,15,4,60,0%
K,04,GEN ED / CTT / G&T,-,-,16,7,112,1%
K,04,GEN ED / CTT / G&T,-,-,17,14,238,1%
K,04,GEN ED / CTT / G&T,-,-,18,16,288,1%
K,04,GEN ED / CTT / G&T,-,-,19,28,532,3%
K,04,GEN ED / CTT / G&T,-,-,20,37,740,4%
K,04,GEN ED / CTT / G&T,-,-,21,43,903,4%
K,04,GEN ED / CTT / G&T,-,-,22,71,1562,8%
K,04,GEN ED / CTT / G&T,-,-,23,88,2024,10%
K,04,GEN ED / CTT / G&T,-,-,24,89,2136,10%
K,04,GEN ED / CTT / G&T,-,-,25,69,1725,8%
K,04,GEN ED / CTT / G&T,-,-,26,67,1742,8%
K,04,GEN ED / CTT / G&T,-,-,27,77,2079,10%
K,04,GEN ED / CTT / G&T,-,-,28,73,2044,10%
K,04,GEN ED / CTT / G&T,-,-,29,45,1305,6%
K,04,GEN ED / CTT / G&T,-,-,30,43,1290,6%
K,04,GEN ED / CTT / G&T,-,-,31,26,806,4%
K,04,GEN ED / CTT / G&T,-,-,32,23,736,4%
K,04,GEN ED / CTT / G&T,-,-,33,3,99,0%
K,04,GEN ED / CTT / G&T,-,-,34,2,68,0%
K,05,GEN ED / CTT / G&T,-,-,<15,12,158,1%
K,05,GEN ED / CTT / G&T,-,-,15,6,90,0%
K,05,GEN ED / CTT / G&T,-,-,16,9,144,1%
K,05,GEN ED / CTT / G&T,-,-,17,14,238,1%
K,05,GEN ED / CTT / G&T,-,-,18,19,342,2%
K,05,GEN ED / CTT / G&T,-,-,19,27,513,3%
K,05,GEN ED / CTT / G&T,-,-,20,27,540,3%
K,05,GEN ED / CTT / G&T,-,-,21,44,924,5%
K,05,GEN ED / CTT / G&T,-,-,22,48,1056,5%
K,05,GEN ED / CTT / G&T,-,-,23,61,1403,7%
K,05,GEN ED / CTT / G&T,-,-,24,77,1848,9%
K,05,GEN ED / CTT / G&T,-,-,25,73,1825,9%
K,05,GEN ED / CTT / G&T,-,-,26,75,1950,10%
K,05,GEN ED / CTT / G&T,-,-,27,63,1701,9%
K,05,GEN ED / CTT / G&T,-,-,28,67,1876,9%
K,05,GEN ED / CTT / G&T,-,-,29,47,1363,7%
K,05,GEN ED / CTT / G&T,-,-,30,40,1200,6%
K,05,GEN ED / CTT / G&T,-,-,31,39,1209,6%
K,05,GEN ED / CTT / G&T,-,-,32,38,1216,6%
K,05,GEN ED / CTT / G&T,-,-,33,5,165,1%
K,05,GEN ED / CTT / G&T,-,-,34,2,68,0%
K,05,GEN ED / CTT / G&T,-,-,>34,3,105,1%
K,06,GEN ED / CTT / G&T,-,-,<15,18,214,1%
K,06,GEN ED / CTT / G&T,-,-,15,5,75,0%
K,06,GEN ED / CTT / G&T,-,-,16,7,112,1%
K,06,GEN ED / CTT / G&T,-,-,17,12,204,1%
K,06,GEN ED / CTT / G&T,-,-,18,14,252,1%
K,06,GEN ED / CTT / G&T,-,-,19,11,209,1%
K,06,GEN ED / CTT / G&T,-,-,20,25,500,3%
K,06,GEN ED / CTT / G&T,-,-,21,24,504,3%
K,06,GEN ED / CTT / G&T,-,-,22,36,792,4%
K,06,GEN ED / CTT / G&T,-,-,23,29,667,3%
K,06,GEN ED / CTT / G&T,-,-,24,56,1344,7%
K,06,GEN ED / CTT / G&T,-,-,25,43,1075,5%
K,06,GEN ED / CTT / G&T,-,-,26,49,1274,6%
K,06,GEN ED / CTT / G&T,-,-,27,64,1728,9%
K,06,GEN ED / CTT / G&T,-,-,28,77,2156,11%
K,06,GEN ED / CTT / G&T,-,-,29,78,2262,11%
K,06,GEN ED / CTT / G&T,-,-,30,85,2550,13%
K,06,GEN ED / CTT / G&T,-,-,31,41,1271,6%
K,06,GEN ED / CTT / G&T,-,-,32,39,1248,6%
K,06,GEN ED / CTT / G&T,-,-,33,17,561,3%
K,06,GEN ED / CTT / G&T,-,-,34,3,102,1%
K,06,GEN ED / CTT / G&T,-,-,>34,17,641,3%
K,07,GEN ED / CTT / G&T,-,-,<15,13,156,1%
K,07,GEN ED / CTT / G&T,-,-,15,1,15,0%
K,07,GEN ED / CTT / G&T,-,-,16,1,16,0%
K,07,GEN ED / CTT / G&T,-,-,17,3,51,0%
K,07,GEN ED / CTT / G&T,-,-,18,15,270,1%
K,07,GEN ED / CTT / G&T,-,-,19,23,437,2%
K,07,GEN ED / CTT / G&T,-,-,20,17,340,2%
K,07,GEN ED / CTT / G&T,-,-,21,19,399,2%
K,07,GEN ED / CTT / G&T,-,-,22,27,594,3%
K,07,GEN ED / CTT / G&T,-,-,23,37,851,4%
K,07,GEN ED / CTT / G&T,-,-,24,40,960,5%
K,07,GEN ED / CTT / G&T,-,-,25,48,1200,6%
K,07,GEN ED / CTT / G&T,-,-,26,47,1222,6%
K,07,GEN ED / CTT / G&T,-,-,27,73,1971,10%
K,07,GEN ED / CTT / G&T,-,-,28,72,2016,10%
K,07,GEN ED / CTT / G&T,-,-,29,91,2639,13%
K,07,GEN ED / CTT / G&T,-,-,30,83,2490,12%
K,07,GEN ED / CTT / G&T,-,-,31,56,1736,9%
K,07,GEN ED / CTT / G&T,-,-,32,31,992,5%
K,07,GEN ED / CTT / G&T,-,-,33,19,627,3%
K,07,GEN ED / CTT / G&T,-,-,34,14,476,2%
K,07,GEN ED / CTT / G&T,-,-,>34,17,619,3%
K,08,GEN ED / CTT / G&T,-,-,<15,10,116,1%
K,08,GEN ED / CTT / G&T,-,-,15,2,30,0%
K,08,GEN ED / CTT / G&T,-,-,16,3,48,0%
K,08,GEN ED / CTT / G&T,-,-,17,5,85,0%
K,08,GEN ED / CTT / G&T,-,-,18,13,234,1%
K,08,GEN ED / CTT / G&T,-,-,19,13,247,1%
K,08,GEN ED / CTT / G&T,-,-,20,20,400,2%
K,08,GEN ED / CTT / G&T,-,-,21,26,546,3%
K,08,GEN ED / CTT / G&T,-,-,22,29,638,3%
K,08,GEN ED / CTT / G&T,-,-,23,25,575,3%
K,08,GEN ED / CTT / G&T,-,-,24,37,888,4%
K,08,GEN ED / CTT / G&T,-,-,25,54,1350,7%
K,08,GEN ED / CTT / G&T,-,-,26,48,1248,6%
K,08,GEN ED / CTT / G&T,-,-,27,48,1296,6%
K,08,GEN ED / CTT / G&T,-,-,28,70,1960,9%
K,08,GEN ED / CTT / G&T,-,-,29,79,2291,11%
K,08,GEN ED / CTT / G&T,-,-,30,138,4140,20%
K,08,GEN ED / CTT / G&T,-,-,31,55,1705,8%
K,08,GEN ED / CTT / G&T,-,-,32,39,1248,6%
K,08,GEN ED / CTT / G&T,-,-,33,32,1056,5%
K,08,GEN ED / CTT / G&T,-,-,34,11,374,2%
K,08,GEN ED / CTT / G&T,-,-,>34,6,217,1%
K,09,GEN ED / CTT / G&T,-,-,<15,2,11,7%
K,09,GEN ED / CTT / G&T,-,-,16,2,32,19%
K,09,GEN ED / CTT / G&T,-,-,18,2,36,22%
K,09,GEN ED / CTT / G&T,-,-,21,2,42,25%
K,09,GEN ED / CTT / G&T,-,-,22,2,44,27%
K,0K-09,SPEC ED,-,12:1,<6,20,81,3%
K,0K-09,SPEC ED,-,12:1,6,13,78,3%
K,0K-09,SPEC ED,-,12:1,7,18,126,5%
K,0K-09,SPEC ED,-,12:1,8,12,96,4%
K,0K-09,SPEC ED,-,12:1,9,36,324,12%
K,0K-09,SPEC ED,-,12:1,10,43,430,16%
K,0K-09,SPEC ED,-,12:1,11,54,594,22%
K,0K-09,SPEC ED,-,12:1,12,71,852,32%
K,0K-09,SPEC ED,-,12:1,13,8,104,4%
K,0K-09,SPEC ED,-,12:1,14,1,14,1%
K,0K-09,SPEC ED,-,12:1:1,<6,48,179,2%
K,0K-09,SPEC ED,-,12:1:1,6,37,222,3%
K,0K-09,SPEC ED,-,12:1:1,7,62,434,5%
K,0K-09,SPEC ED,-,12:1:1,8,64,512,6%
K,0K-09,SPEC ED,-,12:1:1,9,91,819,10%
K,0K-09,SPEC ED,-,12:1:1,10,137,1370,17%
K,0K-09,SPEC ED,-,12:1:1,11,163,1793,23%
K,0K-09,SPEC ED,-,12:1:1,12,196,2352,30%
K,0K-09,SPEC ED,-,12:1:1,13,16,208,3%
K,0K-09,SPEC ED,-,12:1:1,14,1,14,0%
K,0K-09,SPEC ED,-,15:1,<6,1,4,25%
K,0K-09,SPEC ED,-,15:1,12,1,12,75%
K,0K-09,SPEC ED,-,6:1:1,6,1,6,100%
K,0K-09,SPEC ED,-,8:1:1,12,1,12,100%
K,MS Core,GEN ED / CTT,ENGLISH,-,<15,71,886,2%
K,MS Core,GEN ED / CTT,ENGLISH,-,15,25,375,1%
K,MS Core,GEN ED / CTT,ENGLISH,-,16,26,416,1%
K,MS Core,GEN ED / CTT,ENGLISH,-,17,33,561,1%
K,MS Core,GEN ED / CTT,ENGLISH,-,18,61,1098,2%
K,MS Core,GEN ED / CTT,ENGLISH,-,19,55,1045,2%
K,MS Core,GEN ED / CTT,ENGLISH,-,20,77,1540,3%
K,MS Core,GEN ED / CTT,ENGLISH,-,21,75,1575,3%
K,MS Core,GEN ED / CTT,ENGLISH,-,22,81,1782,3%
K,MS Core,GEN ED / CTT,ENGLISH,-,23,97,2231,4%
K,MS Core,GEN ED / CTT,ENGLISH,-,24,130,3120,5%
K,MS Core,GEN ED / CTT,ENGLISH,-,25,134,3350,6%
K,MS Core,GEN ED / CTT,ENGLISH,-,26,149,3874,7%
K,MS Core,GEN ED / CTT,ENGLISH,-,27,181,4887,8%
K,MS Core,GEN ED / CTT,ENGLISH,-,28,202,5656,10%
K,MS Core,GEN ED / CTT,ENGLISH,-,29,228,6612,11%
K,MS Core,GEN ED / CTT,ENGLISH,-,30,253,7590,13%
K,MS Core,GEN ED / CTT,ENGLISH,-,31,158,4898,8%
K,MS Core,GEN ED / CTT,ENGLISH,-,32,105,3360,6%
K,MS Core,GEN ED / CTT,ENGLISH,-,33,49,1617,3%
K,MS Core,GEN ED / CTT,ENGLISH,-,34,24,816,1%
K,MS Core,GEN ED / CTT,ENGLISH,-,>34,42,1677,3%
K,MS Core,GEN ED / CTT,MATH,-,<15,46,591,1%
K,MS Core,GEN ED / CTT,MATH,-,15,21,315,1%
K,MS Core,GEN ED / CTT,MATH,-,16,25,400,1%
K,MS Core,GEN ED / CTT,MATH,-,17,30,510,1%
K,MS Core,GEN ED / CTT,MATH,-,18,50,900,2%
K,MS Core,GEN ED / CTT,MATH,-,19,56,1064,2%
K,MS Core,GEN ED / CTT,MATH,-,20,59,1180,2%
K,MS Core,GEN ED / CTT,MATH,-,21,68,1428,3%
K,MS Core,GEN ED / CTT,MATH,-,22,74,1628,3%
K,MS Core,GEN ED / CTT,MATH,-,23,87,2001,4%
K,MS Core,GEN ED / CTT,MATH,-,24,104,2496,5%
K,MS Core,GEN ED / CTT,MATH,-,25,130,3250,6%
K,MS Core,GEN ED / CTT,MATH,-,26,125,3250,6%
K,MS Core,GEN ED / CTT,MATH,-,27,143,3861,7%
K,MS Core,GEN ED / CTT,MATH,-,28,186,5208,10%
K,MS Core,GEN ED / CTT,MATH,-,29,214,6206,11%
K,MS Core,GEN ED / CTT,MATH,-,30,265,7950,15%
K,MS Core,GEN ED / CTT,MATH,-,31,163,5053,9%
K,MS Core,GEN ED / CTT,MATH,-,32,83,2656,5%
K,MS Core,GEN ED / CTT,MATH,-,33,45,1485,3%
K,MS Core,GEN ED / CTT,MATH,-,34,27,918,2%
K,MS Core,GEN ED / CTT,MATH,-,>34,45,1720,3%
K,MS Core,GEN ED / CTT,SCIENCE,-,<15,38,477,1%
K,MS Core,GEN ED / CTT,SCIENCE,-,15,18,270,0%
K,MS Core,GEN ED / CTT,SCIENCE,-,16,19,304,1%
K,MS Core,GEN ED / CTT,SCIENCE,-,17,30,510,1%
K,MS Core,GEN ED / CTT,SCIENCE,-,18,50,900,2%
K,MS Core,GEN ED / CTT,SCIENCE,-,19,54,1026,2%
K,MS Core,GEN ED / CTT,SCIENCE,-,20,67,1340,2%
K,MS Core,GEN ED / CTT,SCIENCE,-,21,62,1302,2%
K,MS Core,GEN ED / CTT,SCIENCE,-,22,77,1694,3%
K,MS Core,GEN ED / CTT,SCIENCE,-,23,93,2139,4%
K,MS Core,GEN ED / CTT,SCIENCE,-,24,118,2832,5%
K,MS Core,GEN ED / CTT,SCIENCE,-,25,134,3350,6%
K,MS Core,GEN ED / CTT,SCIENCE,-,26,139,3614,6%
K,MS Core,GEN ED / CTT,SCIENCE,-,27,166,4482,8%
K,MS Core,GEN ED / CTT,SCIENCE,-,28,203,5684,10%
K,MS Core,GEN ED / CTT,SCIENCE,-,29,244,7076,12%
K,MS Core,GEN ED / CTT,SCIENCE,-,30,266,7980,14%
K,MS Core,GEN ED / CTT,SCIENCE,-,31,159,4929,9%
K,MS Core,GEN ED / CTT,SCIENCE,-,32,102,3264,6%
K,MS Core,GEN ED / CTT,SCIENCE,-,33,47,1551,3%
K,MS Core,GEN ED / CTT,SCIENCE,-,34,27,918,2%
K,MS Core,GEN ED / CTT,SCIENCE,-,>34,46,1806,3%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,<15,34,422,1%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,15,15,225,0%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,16,19,304,1%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,17,26,442,1%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,18,42,756,1%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,19,50,950,2%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,20,63,1260,2%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,21,63,1323,2%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,22,76,1672,3%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,23,85,1955,4%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,24,108,2592,5%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,25,134,3350,6%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,26,141,3666,7%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,27,154,4158,8%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,28,196,5488,10%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,29,224,6496,12%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,30,271,8130,15%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,31,155,4805,9%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,32,95,3040,6%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,33,47,1551,3%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,34,20,680,1%
K,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,>34,37,1495,3%
K,MS Core,SPEC ED,ENGLISH,-,<6,3,15,1%
K,MS Core,SPEC ED,ENGLISH,-,7,13,91,4%
K,MS Core,SPEC ED,ENGLISH,-,8,6,48,2%
K,MS Core,SPEC ED,ENGLISH,-,9,13,117,5%
K,MS Core,SPEC ED,ENGLISH,-,10,47,470,20%
K,MS Core,SPEC ED,ENGLISH,-,11,62,682,30%
K,MS Core,SPEC ED,ENGLISH,-,12,59,708,31%
K,MS Core,SPEC ED,ENGLISH,-,13,12,156,7%
K,MS Core,SPEC ED,ENGLISH,-,14,1,14,1%
K,MS Core,SPEC ED,MATH,-,<6,5,25,1%
K,MS Core,SPEC ED,MATH,-,6,1,6,0%
K,MS Core,SPEC ED,MATH,-,7,8,56,3%
K,MS Core,SPEC ED,MATH,-,8,5,40,2%
K,MS Core,SPEC ED,MATH,-,9,16,144,7%
K,MS Core,SPEC ED,MATH,-,10,46,460,21%
K,MS Core,SPEC ED,MATH,-,11,55,605,28%
K,MS Core,SPEC ED,MATH,-,12,55,660,31%
K,MS Core,SPEC ED,MATH,-,13,11,143,7%
K,MS Core,SPEC ED,MATH,-,14,1,14,1%
K,MS Core,SPEC ED,SCIENCE,-,<6,5,25,1%
K,MS Core,SPEC ED,SCIENCE,-,6,1,6,0%
K,MS Core,SPEC ED,SCIENCE,-,7,8,56,3%
K,MS Core,SPEC ED,SCIENCE,-,8,6,48,2%
K,MS Core,SPEC ED,SCIENCE,-,9,14,126,6%
K,MS Core,SPEC ED,SCIENCE,-,10,51,510,23%
K,MS Core,SPEC ED,SCIENCE,-,11,55,605,27%
K,MS Core,SPEC ED,SCIENCE,-,12,60,720,33%
K,MS Core,SPEC ED,SCIENCE,-,13,9,117,5%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,<6,7,35,2%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,6,1,6,0%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,7,9,63,3%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,8,6,48,2%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,9,14,126,6%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,10,48,480,22%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,11,57,627,29%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,12,56,672,31%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,13,9,117,5%
K,MS Core,SPEC ED,SOCIAL STUDIES,-,14,1,14,1%
K,09-12,GEN ED / CTT,ENGLISH,-,<15,312,3781,4%
K,09-12,GEN ED / CTT,ENGLISH,-,15,66,990,1%
K,09-12,GEN ED / CTT,ENGLISH,-,16,75,1200,1%
K,09-12,GEN ED / CTT,ENGLISH,-,17,80,1360,1%
K,09-12,GEN ED / CTT,ENGLISH,-,18,98,1764,2%
K,09-12,GEN ED / CTT,ENGLISH,-,19,90,1710,2%
K,09-12,GEN ED / CTT,ENGLISH,-,20,133,2660,3%
K,09-12,GEN ED / CTT,ENGLISH,-,21,167,3507,4%
K,09-12,GEN ED / CTT,ENGLISH,-,22,161,3542,4%
K,09-12,GEN ED / CTT,ENGLISH,-,23,146,3358,3%
K,09-12,GEN ED / CTT,ENGLISH,-,24,171,4104,4%
K,09-12,GEN ED / CTT,ENGLISH,-,25,187,4675,5%
K,09-12,GEN ED / CTT,ENGLISH,-,26,199,5174,5%
K,09-12,GEN ED / CTT,ENGLISH,-,27,194,5238,5%
K,09-12,GEN ED / CTT,ENGLISH,-,28,191,5348,5%
K,09-12,GEN ED / CTT,ENGLISH,-,29,231,6699,7%
K,09-12,GEN ED / CTT,ENGLISH,-,30,185,5550,6%
K,09-12,GEN ED / CTT,ENGLISH,-,31,197,6107,6%
K,09-12,GEN ED / CTT,ENGLISH,-,32,249,7968,8%
K,09-12,GEN ED / CTT,ENGLISH,-,33,285,9405,9%
K,09-12,GEN ED / CTT,ENGLISH,-,34,344,11696,12%
K,09-12,GEN ED / CTT,ENGLISH,-,>34,92,3497,4%
K,09-12,GEN ED / CTT,MATH,-,<15,237,2894,4%
K,09-12,GEN ED / CTT,MATH,-,15,58,870,1%
K,09-12,GEN ED / CTT,MATH,-,16,67,1072,1%
K,09-12,GEN ED / CTT,MATH,-,17,66,1122,1%
K,09-12,GEN ED / CTT,MATH,-,18,74,1332,2%
K,09-12,GEN ED / CTT,MATH,-,19,83,1577,2%
K,09-12,GEN ED / CTT,MATH,-,20,95,1900,3%
K,09-12,GEN ED / CTT,MATH,-,21,117,2457,3%
K,09-12,GEN ED / CTT,MATH,-,22,104,2288,3%
K,09-12,GEN ED / CTT,MATH,-,23,110,2530,3%
K,09-12,GEN ED / CTT,MATH,-,24,113,2712,4%
K,09-12,GEN ED / CTT,MATH,-,25,138,3450,5%
K,09-12,GEN ED / CTT,MATH,-,26,115,2990,4%
K,09-12,GEN ED / CTT,MATH,-,27,138,3726,5%
K,09-12,GEN ED / CTT,MATH,-,28,132,3696,5%
K,09-12,GEN ED / CTT,MATH,-,29,130,3770,5%
K,09-12,GEN ED / CTT,MATH,-,30,132,3960,5%
K,09-12,GEN ED / CTT,MATH,-,31,125,3875,5%
K,09-12,GEN ED / CTT,MATH,-,32,190,6080,8%
K,09-12,GEN ED / CTT,MATH,-,33,244,8052,11%
K,09-12,GEN ED / CTT,MATH,-,34,382,12988,17%
K,09-12,GEN ED / CTT,MATH,-,>34,71,2570,3%
K,09-12,GEN ED / CTT,SCIENCE,-,<15,244,2998,3%
K,09-12,GEN ED / CTT,SCIENCE,-,15,60,900,1%
K,09-12,GEN ED / CTT,SCIENCE,-,16,62,992,1%
K,09-12,GEN ED / CTT,SCIENCE,-,17,78,1326,1%
K,09-12,GEN ED / CTT,SCIENCE,-,18,80,1440,1%
K,09-12,GEN ED / CTT,SCIENCE,-,19,100,1900,2%
K,09-12,GEN ED / CTT,SCIENCE,-,20,120,2400,2%
K,09-12,GEN ED / CTT,SCIENCE,-,21,151,3171,3%
K,09-12,GEN ED / CTT,SCIENCE,-,22,133,2926,3%
K,09-12,GEN ED / CTT,SCIENCE,-,23,153,3519,3%
K,09-12,GEN ED / CTT,SCIENCE,-,24,175,4200,4%
K,09-12,GEN ED / CTT,SCIENCE,-,25,188,4700,4%
K,09-12,GEN ED / CTT,SCIENCE,-,26,180,4680,4%
K,09-12,GEN ED / CTT,SCIENCE,-,27,194,5238,5%
K,09-12,GEN ED / CTT,SCIENCE,-,28,188,5264,5%
K,09-12,GEN ED / CTT,SCIENCE,-,29,218,6322,6%
K,09-12,GEN ED / CTT,SCIENCE,-,30,240,7200,6%
K,09-12,GEN ED / CTT,SCIENCE,-,31,266,8246,7%
K,09-12,GEN ED / CTT,SCIENCE,-,32,316,10112,9%
K,09-12,GEN ED / CTT,SCIENCE,-,33,436,14388,13%
K,09-12,GEN ED / CTT,SCIENCE,-,34,519,17646,15%
K,09-12,GEN ED / CTT,SCIENCE,-,>34,129,4939,4%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,<15,206,2518,3%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,15,48,720,1%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,16,55,880,1%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,17,65,1105,1%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,18,76,1368,1%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,19,76,1444,2%
