Facility Type,License Number,Entity Name,Trade Name,Address,Address Zip Code,Telephone Number,Number of Spaces
Parking Garage,898077,KINNEY SYSTEM INC,KINNEY SYSTEM,"3414 WAYNE AVENUE
BRONX, NY 10467
(40.87960951916951, -73.87793647144666)",10467,2128894444,662
Parking Garage,900505,CHIVIAN GARAGE CORP,,"101 12 STREET
NEW YORK, NY 10011
(40.73616081766738, -73.99811160924645)",10011,2129562280,98
Parking Garage,901088,LTG PARKING CORP,,"150 END AVENUE
NEW YORK, NY 10023
(40.56335269915866, -74.17874327846428)",10023,2129999999,163
Parking Garage,901963,GRACIE PUBLIC   PARKING CORP,,"401 89 STREET
NEW YORK, NY 10128
(40.77860881745033, -73.94749776543745)",10128,2127367171,114
Parking Garage,906639,NEW WEST MANAGEMENT CORP,,"1810 LORING PLACE
BRONX, NY 10453
(40.852149806977266, -73.9161976121963)",10453,2125416050,65
Parking Garage,912191,334 PARKING CORP,334 PARKING,"302 96 STREET
NEW YORK, NY 10128
(40.78402273606673, -73.94657146374726)",10128,2128661000,90
Parking Garage,919699,AERO PARKING CORP,RAPID PARKING INDUSTRIES,"10 30 STREET
NEW YORK, NY 10016
(40.745567726093896, -73.98559304659858)",10016,2128661000,200
Parking Garage,926039,"SAM PARKING, L.L.C.",,"360 BROADWAY
NEW YORK, NY 10013
(40.717275055052085, -74.00366042616719)",10013,2129666774,180
Parking Garage,929734,"GUIDO, FRANK G",,"117 CARROLL STREET
BROOKLYN, NY 11231
(40.682415671759536, -74.00127738205892)",11231,7188522325,23
Parking Garage,941633,60TH STORAGE CORP,,"220 60 STREET
NEW YORK, NY 10022
(40.76203415001111, -73.96586195991524)",10022,2127373279,32
Parking Garage,954109,KINNEY WEST 83RD STREET INC.,,"147 83 STREET
NEW YORK, NY 10024
(40.78519185470486, -73.97516091105871)",10024,2128894444,182
Parking Garage,959355,"DUFORD STUDIO GARAGE COMPANY, L.L.C.",,"127 83 STREET
NEW YORK, NY 10028
(40.77771848864137, -73.95740829420032)",10028,2128887400,200
Parking Garage,962008,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"808 820 7 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2126296602,210
Parking Garage,975588,ZOOM CAR PARK INC,,"3130 GRAND
BRONX, NY 10458
(40.86260132868841, -73.88479001504714)",10458,2122216111,95
Parking Garage,976183,EVER-READY PARKING INC,,"330 46 STREET
NEW YORK, NY 10017
(40.75202826321289, -73.96960647464563)",10017,2127367171,155
Parking Garage,976184,IMPERIAL HOUSE PARKING LLC,,"150 69 STREET
NEW YORK, NY 10021
(40.76825175409718, -73.96312879160654)",10021,2127142442,139
Parking Garage,980798,BEST GARAGE CORP,,"105 25 GERARD PLACE
FOREST HILL, NY 11375
(40.720707263029794, -73.84628429608335)",11375,2127367171,89
Parking Garage,999760,5060 AUTO SERVICE INC,,"4036 10 AVENUE
NEW YORK, NY 10034
(40.869825776029636, -73.91510731195625)",10034,2125679504,70
Parking Garage,1005180,157 57TH THIRD CORP,,"952 3 AVENUE
NEW YORK, NY 10022
(40.76013363187021, -73.96766788937983)",10022,2123558962,83
Parking Garage,1010039,300 PARKING INC,,"300 55 STREET
NEW YORK, NY 10019
(40.76543669712509, -73.98393298423655)",10019,2127367171,92
Parking Garage,1018977,S.D. BARRON LLC,,"85 4 AVENUE
NEW YORK, NY 10003
(40.7317110463489, -73.99023084778766)",10003,2123758455,48
Parking Garage,1023251,HUDSON RIVER PARKING CORP,,"3720 HENRY HUDSON PARKWAY
BRONX, NY 10463
(40.88834071464783, -73.91021665234491)",10463,2127367171,123
Garage - Parking Lot Combo,1199450,"215 EAST 95TH PARKING, LLC",,"201 205 EAST 95 STREET
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)",10128,2126869800,108
Garage - Parking Lot Combo,1228876,"LAZ PARKING OF NEW YORK/NEW JERSEY, INC",,"80 20 COOPER AVENUE
QUEENS, NY 11385
(40.70122489161548, -73.88334858436963)",11385,2122652239,660
Garage - Parking Lot Combo,1241026,"C&S E-SUPERETTE, INC",,"9053 9057 FORT HAMILTON PARKWAY
BROOKLYN, NY 11231
(40.6775543117821, -74.00467670436637)",11231,9172085555,15
Garage - Parking Lot Combo,1337218,PARK RIGHT CORP,,"39 29 STREET
NEW YORK, NY 10016
(40.744227736270204, -73.98429802287637)",10016,2122624771,30
Parking Garage,365792,CARMEL GARAGE INC,,"68 61 YELLOWSTONE BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)",11375,2127511080,80
Parking Garage,367147,"WOLF, RAYMOND ET AL",25-27 BEEKMAN ST    ASSOCIATES,"25 BEEKMAN STREET
NEW YORK, NY 10038
(40.710815986920856, -74.00608072310474)",10038,2128661000,149
Parking Garage,367816,PARK-SERV LLC,,"140 166 WEST 53 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2126869800,260
Parking Garage,367984,DISTINCTIVE PARKING LLC,DISTINCTIVE LLC,"35 39 EAST 61 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)",10021,2126869800,129
Parking Garage,368099,FISHER 40TH & 3RD CO & HAWAIIAN REALTY INC,,"222 40 STREET
NEW YORK, NY 10016
(40.749076858835046, -73.974515725625)",10016,2127525000,750
Parking Garage,368219,CIRCLE PARKING LLC,,"200 52 STREET
NEW YORK, NY 10019
(40.762709985251874, -73.98330461403184)",10019,2126869800,440
Parking Garage,368506,GEMA PARKING CORP,,"333 14 STREET
NEW YORK, NY 10003
(40.73169118718175, -73.98336272796593)",10003,2124774043,44
Parking Garage,368546,CREATIVE PARKING LLC,,"16 16 STREET
NEW YORK, NY 10011
(40.73751641877203, -73.99320081806698)",10011,2126869800,99
Parking Garage,368910,CHATHAM PARKING SYSTEMS INC,,"180 PARK ROW
NEW YORK, NY 10038
(40.713022481601165, -74.00120830365637)",10038,2125137143,130
Parking Garage,369373,JO-MEG GARAGE CORP,80 CENTRAL PARK W GARAGE,"80 CENTRAL PARK
NEW YORK, NY 10023
(40.773833417474805, -73.97770599240164)",10023,2129562280,83
Parking Garage,427125,ADVANCE PARKING LLC,,"249 43 STREET
NEW YORK, NY 10036
(40.75751971586328, -73.9884079245503)",10036,2126869800,225
Parking Garage,427562,THE HERTZ CORP,,"21O 77 STREET
NEW YORK, NY 10024
(40.78005843266174, -73.97488576287084)",10024,2124865919,250
Parking Garage,428302,MANHATTAN PARKING SYSTEM SERVICE CORP,,"220 MADISON AVENUE
NEW YORK, NY 10016
(40.749497763361944, -73.98171696865228)",10016,2127536116,45
Parking Garage,429352,APPLE WEST 11TH STREET GARAGE CORP,,"332 11 STREET
NEW YORK, NY 10014
(40.735594244788956, -74.00769838207879)",10014,2122292553,150
Parking Garage,429682,"WOFL, RAYMOND ET AL",148 EAST 33RD ST    ASSOCIATES,"148 33 STREET
NEW YORK, NY 10016
(40.745459807450345, -73.97956758900227)",10016,2128661000,149
Parking Garage,469165,GEMINI GARAGE CORP,50 SUTTON PLACE SO GARAGE,"50 SUTTON PLACE
NEW YORK, NY 10022
(40.75573006502498, -73.96185094502505)",10022,2129562280,76
Parking Garage,469348,GEMAT PARKING CORP,,"233 69 STREET
NEW YORK, NY 10021
(40.766998570052124, -73.96011525350849)",10021,2125359302,53
Parking Garage,692569,RIVERBAY CORP,,"99 DREISER LOOP
BRONX, NY 10475
(40.87834746282968, -73.82821547009931)",10475,7183203326,1361
Parking Garage,692570,RIVERBAY CORP,,"99 CARVER LOOP
BRONX, NY 10475
(40.87768366524428, -73.82473898243039)",10475,7183203326,1361
Parking Garage,692572,RIVERBAY CORP,,"99 BELLAMY LOOP
BRONX, NY 10475
(40.87295205861112, -73.82649086537073)",10475,7183203326,1361
Parking Garage,692573,RIVERBAY CORP,,"999 CO-OP CITY BOULEVARD
BRONX, NY 10475
(40.874142343794176, -73.82706856556183)",10475,7183203326,1311
Parking Garage,695802,RIVERBAY CORP,,"99 ERSKINE PL
BRONX, NY 10475
(40.86133866811006, -73.82146355720171)",10475,7183203326,1361
Parking Garage,699003,T CARDINAL COOKE HEALTH CARE CENTER,,"1560 68 MADISON AVENUE
NEW YORK, NY 10029
(40.79161072055837, -73.94403228106489)",10029,2123603600,350
Parking Garage,761016,64TH WEST END PARKING LLC,,"110 END AVENUE
NEW YORK, NY 10023
(40.56343271615765, -74.1787588373252)",10023,2126869800,106
Parking Garage,761544,BV GARAGE CORP,GGMC,"245 54 STREET
NEW YORK, NY 10022
(40.75791308655647, -73.96790761267764)",10022,2129966363,178
Parking Garage,766654,KINNEY SYSTEMS INC,,"222 65 STREET
NEW YORK, NY 10021
(40.640070976381324, -74.02486333912988)",10021,2128844444,300
Parking Garage,769326,GALLANT PARKING LLC,,"182 184 EAST 95 STREET
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)",10128,2126869800,112
Parking Garage,808709,SUPERB PARKING LLC.,,"400 35 STREET
NEW YORK, NY 10016
(40.744423295271986, -73.97303107202674)",10016,2126869800,80
Parking Garage,831026,ROYAL CHARTER       PROPERTIES-EAST INC,HELMSLEY MEDICAL TOWER GRG,"507 70 STREET
NEW YORK, NY 10021
(40.7655224857999, -73.95454748324894)",10021,2127461969,175
Parking Garage,856466,100 PARK TERRACE    WEST OWNERS CORP,,"100 PARK TERRACE
NEW YORK, NY 10034
(40.87114207613867, -73.91556568209653)",10034,2123320777,20
Parking Garage,858490,RESOURCE PARKING LLC.,,"1540 48
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)",10036,2126869800,100
Parking Garage,881098,MEMORIAL SLOAN KETTERING CANCER CENTER,,"433 66 STREET
NEW YORK, NY 10065
(40.76370167783006, -73.95803555541677)",10065,2126397711,87
Parking Garage,888338,INNOVATIVE PARKING LLC,,"301 40 STREET
NEW YORK, NY 10016
(40.748557298742455, -73.97311175372413)",10016,2126869800,108
Parking Garage,888537,SAFEWAY PARKING CORP.,,"345 86 STREET
MANHATTAN, NY 10028
(40.777445999166694, -73.95064068046267)",10028,2124109609,56
Parking Garage,889934,MUTUAL PARKING SYSTEM INC,,"340 64 STREET
NEW YORK, NY 10065
(40.76293363447968, -73.96015122638966)",10065,2128887400,91
Parking Garage,906120,OXFORD PARKING CORP,,"333 49 STREET
MANHATTAN, NY 10017
(40.753928872779774, -73.96816200005885)",10017,2122493344,51
Parking Garage,906438,CLAREMONT PARKING CORP,,"480 RIVERSIDE DRIVE
NEW YORK, NY 10027
(40.81133571365616, -73.9638929124822)",10027,2128661000,200
Parking Garage,916798,P.A.C. GARAGE CORP,P.A.C. GARAGE,"120 87 STREET
NEW YORK, NY 10128
(40.78034450896689, -73.95551971793878)",10128,2127373279,78
Parking Garage,920608,CAROUSEL PARKING CORP,,"201 75 STREET
NEW YORK, NY 10023
(40.78059684676253, -73.98022659534651)",10023,2122493344,278
Garage - Parking Lot Combo,800489,"MUSS, HYMAN - ET AL",C E TOWERS CO,"118 35 QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)",11375,7182633800,582
Garage - Parking Lot Combo,831034,3223 JOHNSON SERVICES INC,,"3223 JOHNSON AVENUE
BRONX, NY 10463
(40.883709975378984, -73.91041709430884)",10463,7185853857,36
Garage - Parking Lot Combo,904077,FIELD LAGUARDIA ASSOCIATES INC,HOLIDAY INN CROWN PLAZA,"104 04 DITMARS BOULEVARD
ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)",11369,7184576300,259
Garage - Parking Lot Combo,966613,"RISING WOLF PARKING GARAGE, LLC",,"336 338 EAST 9 STREET
NEW YORK, NY 10003
(40.73194394755518, -73.98887214913032)",10003,2124755858,48
Garage - Parking Lot Combo,1174338,"BEST BUY AUTOMOTIVE, INC.",,"1855 TREMONT AVENUE
BRONX, NY 10460
(40.84071713567788, -73.8660323603715)",10460,7188636816,100
Parking Garage,364407,HOMESTEAD EQUITIES INC,,"341 PACIFIC STREET
BROOKLYN, NY 11217
(40.68702657564607, -73.98705378852914)",11217,9178462923,25
Parking Garage,367274,SUTTON PLACE GARAGE CORP,,"35 SUTTON PLACE
NEW YORK, NY 10022
(40.75844601755347, -73.95989042300118)",10022,2129562280,38
Parking Garage,367503,RAINBOW PARKING CORP,,"300 71 STREET
NEW YORK, NY 10021
(40.76805110603209, -73.95879439174116)",10021,2122493344,57
Parking Garage,367879,PREVOST GARAGE CORP,,"420 72 STREET
NEW YORK, NY 10021
(40.76744823106674, -73.95515099590676)",10021,2126501529,64
Parking Garage,368148,79-80 GARAGE CORP,,"80 15 41 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)",11373,7187250413,98
Parking Garage,368322,CAROLE STORAGE CORP,,"777 3 AVENUE
NEW YORK, NY 10017
(40.754839736215956, -73.97150067039945)",10017,2127536116,92
Parking Garage,368400,305 E 86TH PARKING LLC,,"305 86 STREET
NEW YORK, NY 10028
(40.77783494683832, -73.95155321153848)",10028,2126886800,168
Parking Garage,368602,PHYLLIS SIRULNICK REALTY CORP,,"143 25 41 AVENUE
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)",11355,5163747000,33
Parking Garage,368677,920 PARKING CORP,,"920 PARK AVENUE
NEW YORK, NY 10028
(40.77658371119706, -73.95999153805225)",10028,2128661000,27
Parking Garage,368822,OMNI PARKING LLC,,"143 159 WEST 68 STREET
NEW YORK, NY 10023
(40.774536138232236, -73.97994335610099)",10023,2126869800,271
Parking Garage,369041,UNIVERSAL PARKING LLC,,"55 14 STREET
NEW YORK, NY 10011
(40.73676288704266, -73.99535654390279)",10011,2126869800,129
Parking Garage,369221,PORT PARKING LLC,,"235 48 STREET
NEW YORK, NY 10036
(40.76046677832929, -73.98558985323699)",10036,2126869800,94
Parking Garage,369939,THE FISHER-SIXTH AVENUE CO & HAWAIIAN SIXTH AVE CORP,BURLINGTON HOUSE GARAGE,"1341 6 AVENUE
NEW YORK, NY 10019
(40.76257917128613, -73.97851708229035)",10019,2127525000,341
Parking Garage,427688,411 WEST 55TH STREET CORP,,"411 55 STREET
NEW YORK, NY 10019
(40.766917631069475, -73.98738269743689)",10019,2128661000,175
Parking Garage,429467,ELEVEN RIVERSIDE DRIVE GARAGE CORP,,"11 RIVERSIDE DRIVE
NEW YORK, NY 10023
(40.78131577675856, -73.98526029744772)",10023,2128741435,200
Parking Garage,429522,B E W PARKING INC,RAPID PARK IND,"254 79 STREET
NEW YORK, NY 10024
(40.78367723659405, -73.97965666568386)",10024,2128661000,100
Parking Garage,429658,REGAL PARKING LLC.,,"250 MADISON AVENUE
NEW YORK, NY 10016
(40.7503474844539, -73.98112320282624)",10016,2126869800,155
Parking Garage,469220,INSTANT PARKING LLC,,"434 80 STREET
NEW YORK, NY 10021
(40.62669903127251, -74.02569766717396)",10021,2126869800,49
Parking Garage,469374,LEXINGTON 55TH GARAGE INC,,"136 55 STREET
NEW YORK, NY 10022
(40.75954299058463, -73.96995047321924)",10022,2124072516,101
Parking Garage,692051,NEWBURY OPERATING LLC,,"249 86 STREET
NEW YORK, NY 10028
(40.77838553926602, -73.95286173237798)",10028,2126869800,146
Parking Garage,766695,CLICK PARKING CORP,,"225 CENTRAL PARK
NEW YROK, NY 10024
(40.78309010964309, -73.97099741328788)",10024,2122493344,58
Parking Garage,812525,THE SOCIETY OF THE NEW YORK HOSPITAL,,"515 70 STREET
NEW YORK, NY 10021
(40.76546500113579, -73.9544071530395)",10021,2127481969,250
Parking Garage,813280,EAST RIVER 72 GARAGE LLC,,"515 72 STREET
NEW YORK, NY 10021
(40.766476963275124, -73.95286671795236)",10021,2126869800,130
Parking Garage,883452,92ND ST GARAGE CORP,GGMC,"1623 1641 3 AVENUE
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)",10128,2129966363,301
Parking Garage,892366,MANAGEMENT SYSTEMS LLC,,"200 32 STREET
NEW YORK, NY 10016
(40.74431766847317, -73.97874920595558)",10016,2126869800,33
Parking Garage,898076,KINNEY SYSTEM INC,,"120 210 STREET
BRONX, NY 10467
(40.87979148282302, -73.88016989592194)",10467,2126296602,862
Parking Garage,901540,9-11 WEST 100TH STREET CORP,,"9 11 WEST 100 STREET
MANHATTAN, NY 10025
(40.79685012763133, -73.96372581059762)",10025,2128661000,75
Parking Garage,906410,MARK TWAIN GARAGE CORP,,"100 12 STREET
MANHATTAN, NY 10011
(40.73602569014743, -73.99785905317353)",10011,2129562280,40
Parking Garage,908174,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"1250 BROADWAY
NEW YORK, NY 10001
(40.748199797079344, -73.98815599707768)",10001,2126296602,150
Parking Garage,908745,CHAMPION PARKING 77 STREET CORP,,"49 77 STREET
NEW YORK, NY 10021
(40.63170723099253, -74.0353356803909)",10021,2122493344,113
Parking Garage,912083,SYLVAN MADISON GARAGE CORP,SYLVAN MADISON GARAGE,"60 90 STREET
NEW YORK, NY 10128
(40.783052963437676, -73.95616256678937)",10128,7185759440,268
Parking Garage,913566,TAFT GARAGE CORP,TAFT GARAGE,"891 SHERIDAN AVENUE
BRONX, NY 10451
(40.82651281088775, -73.92111306686081)",10451,2129562280,95
Parking Garage,929732,"GUIDO, FRANK G",,"125 CARROLL STREET
BROOKLYN, NY 11231
(40.682333041026965, -74.00098328632541)",11231,7188522325,23
Parking Garage,945081,QUEENS OFFICE TOWER LTD PARTNERSHIP,,"95 25 QUEENS BOULEVARD
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)",11374,7188309344,475
Parking Garage,948832,WEST END TOWERS GARAGE CORP,,"55 END AVENUE
NEW YORK, NY 10023
(40.56354984156167, -74.17870866360286)",10023,2129562280,375
Parking Garage,965328,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"210 10 23 AVENUE
QUEENS, NY 11360
(40.78070133439911, -73.78226733686807)",11360,2126296602,900
Parking Garage,976075,PREMIER PARKING LLC,,"203 61 STREET
NEW YORK, NY 10021
(40.64204081094708, -74.0219266795046)",10021,2126869800,131
Parking Garage,992903,SEVEN ELEVEN CAR PARK LLC,GGMC,"711 THIRD AVENUE
NEW YORK, NY 10017
(40.75239358029626, -73.97326334157685)",10017,2129966363,165
Parking Garage,998155,SYLVAN FORESTER GARAGE LLC,,"111 09 QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)",11375,2129446666,99
Garage - Parking Lot Combo,428990,CHELNICK PARKING CORP,CHELNIK PARKING,"880 5 AVENUE
NEW YORK, NY 10021
(40.77077572257514, -73.96824512465338)",10021,2127511080,110
Garage - Parking Lot Combo,1023980,FLATBRIDGE PARKING CORP,,"36 FLATBUSH AVENUE EXTENSION
BROOKLYN, NY 11201
(40.69750755899194, -73.98533499931341)",11201,2122216111,150
Garage - Parking Lot Combo,1162793,751 CVW LLC,,"173 156 STREET
BRONX, NY 10451
(40.82332855791215, -73.92394888271463)",10451,9175840383,238
Garage - Parking Lot Combo,1228861,"QUIK PARK 89 ST, LLC",,"207 88 STREET
NEW YORK, NY 10024
(40.789093104727385, -73.974247270038)",10024,2128322066,36
Garage - Parking Lot Combo,1230416,MP 97 LLC,,"217 96 STREET
NEW YORK, NY 10128
(40.78505259702837, -73.94892715440174)",10128,2124903460,200
Garage - Parking Lot Combo,1231896,"IMPARK NORTH END , LLC",,"211 END AVENUE
NEW YORK, NY 10282
(40.71961455706622, -74.01464928293802)",10282,2129378660,25
Garage - Parking Lot Combo,1267754,702 CONCOURSE CORP.,,"780 CONCOURSE VILLAGE
BRONX, NY 10451
(40.823141442756324, -73.91976752500315)",10451,7187880066,108
Garage - Parking Lot Combo,1341459,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"0 PIER
NEW YORK, NY 10001
(40.75025902143676, -73.99688630375988)",10001,2125025490,3500
Parking Garage,368238,NEW YORK PARKING 56TH ST CORP,,"65 56 STREET
NEW YORK, NY 10019
(40.7631849740712, -73.97652186702209)",10019,2122493349,80
Parking Garage,368285,"ELLMAN, LEE E",,"118 21 QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)",11375,7185750045,42
Parking Garage,368468,SIRUL REALTY CORPORATION,,"1279 17 STREET
BROOKLYN, NY 11230
(40.61896980516015, -73.95824544898755)",11230,5163747000,24
Parking Garage,368594,MANHATTAN PARKING SYSTEMPARK AVE CORP,,"277 PARK AVENUE
NEW YORK, NY 10017
(40.7555502006191, -73.97499003987315)",10017,2127536116,40
Parking Garage,368705,AMBER PARK LLC,,"101 103 EAST 13 STREET
NEW YORK, NY 10003
(40.73194394755518, -73.98887214913032)",10003,2126869800,46
Parking Garage,369771,KINGS HIGHWAY REALTY CORP,,"5455 KINGS HIGHWAY
BKLYN, NY 11203
(40.642420674061285, -73.92514331924872)",11203,7186290197,16
Parking Garage,369984,ALLIED ST GEORGE    CORP,ALLIED GARAGE,"55 CENTRAL AVENUE
STATEN ISLAND, NY 10301
(40.64041828999508, -74.07663799121806)",10301,7182633800,198
Parking Garage,427101,S T A PARKING CORP,,"433 76 STREET
NEW YORK, NY 10021
(40.770089285700074, -73.95331333894616)",10021,2127378850,90
Parking Garage,427311,S C R PARKING CORP,,"169 87 STREET
NEW YORK, NY 10128
(40.77982290218989, -73.95429663997896)",10128,2122493344,175
Parking Garage,427868,249 PARKING CORP,,"249 10 AVENUE
NEW YORK, NY 10001
(40.74881427861965, -74.00337264311781)",10001,2126432062,120
Parking Garage,428135,ELBERT HOLDING CORP,,"142 21 STREET
NEW YORK, NY 10011
(40.742411105771055, -73.99563847366585)",10011,2129293676,129
Parking Garage,429031,57 & 11 PARKING CORP,,"622 57 STREET
NEW YORK, NY 10019
(40.77072176325339, -73.9923649414792)",10019,2128887400,1000
Parking Garage,429281,CURANOVIC DODA & CURANOVIC MARAS,,"2927 VALENTINE AVENUE
BRONX, NY 10458
(40.87095460463561, -73.88752831525312)",10458,7183653150,26
Parking Garage,429844,AFFILIATED PARKING LLC,,"247 MADISON AVENUE
NEW YORK, NY 10016
(40.75031988192241, -73.98106067685762)",10016,2123333333,80
Parking Garage,469935,"301 EAST 62ND GARAGE, CORP",,"301 62 STREET
NEW YORK, NY 10065
(40.76248675101605, -73.96291981148681)",10065,2127559935,50
Parking Garage,695804,RIVERBAY CORP,,"2099 BARTOW AVENUE
BRONX, NY 10475
(40.86961382154403, -73.82634317492435)",10475,7183203391,1361
Parking Garage,699352,67TH ST & 2ND AVE   GARAGE INC,,"254 68 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)",10021,2124072516,150
Parking Garage,733235,KNICKERBOCKER GARAGE CORP,GGMC,"1601 1619 3 AVENUE
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)",10128,2129966363,220
Parking Garage,735058,71ST. GARDEN GARAGE INC.,,"211 70 STREET
NEW YORK, NY 10021
(40.76807775648723, -73.96071779926814)",10021,2124072516,150
Parking Garage,788455,ULTRA-PARK LLC,,"424 END AVENUE
NEW YORK, NY 10024
(40.78362556816552, -73.96653900057436)",10024,2126869800,83
Parking Garage,811933,CENTURY PARKING LLC,CENTRY PARKING LLC,"330 75 STREET
NEW YORK, NY 10021
(40.770424799682836, -73.95623039545826)",10021,2126869800,69
Parking Garage,813398,ALLIE GARAGE CORP,,"124 60 STREET
NEW YORK, NY 10023
(40.770415993763436, -73.98555707371742)",10023,2129562280,125
Parking Garage,835198,PJ'S PARKING SERVICE CORP,PJ'S PARKING,"88 35 164 STREET
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)",11432,7189492507,49
Parking Garage,838371,CONVENIENT PARKING LLC,,"215 95 STREET
NEW YORK, NY 10025
(40.79380735974553, -73.97186939243147)",10025,2126869800,77
Parking Garage,851958,52 - BROADWAY GARAGE CORP.,,"1675 BROADWAY
NEW YORK, NY 10019
(40.76301457346227, -73.98305695847597)",10019,2124072516,61
Parking Garage,883451,10 W 66TH ST GARAGE CORP,GGMC,"10 66 STREET
NEW YORK, NY 10023
(40.77251816056319, -73.9790718629339)",10023,2129966363,195
