EventName,EventTypeDescription,EventDescription,EventSetupStartDate,EventStartDate,EventEndDate,EventBreakDownEndDate,Acronym,IsRecurring,RecurringDaysNotes,Location,Borough,SpatialLocation
CHILDREN'S LEUKEMIA RESEARCH ASSOC. - 52ND STREET JAZZ FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/25/10 8:00 AM,7/25/10 10:00 AM,7/25/10 6:00 PM,7/25/10 7:00 PM,SAPO,NO,,"  WEST   52 STREET between FIFTH AVENUE and 7 AVENUE,   EAST   52 STREET between LEXINGTON AVENUE and FIFTH AVENUE",Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990819 216088, 989139 217019), LINESTRING (992159 215346, 990819 216088))"
AMERICAN DIABETES ASSOC. - ADA'S THE WORLD'S LARGEST BLOCK PARTY,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/30/10 8:00 AM,10/30/10 10:00 AM,10/30/10 6:00 PM,10/30/10 7:00 PM,SAPO,NO,, MADISON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989989 213543, 991906 217000))"
ST. PATRICK'S CATHEDRAL YOUNG ADULTS - MADISON AVENUE HOLIDAY EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,11/7/10 8:00 AM,11/7/10 10:00 AM,11/7/10 6:00 PM,11/7/10 7:00 PM,SAPO,NO,, MADISON AVENUE between EAST   42 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989989 213543, 991906 217000))"
MIDTOWN SOUTH COMMUNITY COUNCIL - SIXTH AVENUE AUTUMN FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/31/10 8:00 AM,10/31/10 10:00 AM,10/31/10 6:00 PM,10/31/10 7:00 PM,SAPO,NO,, 6 AVENUE between WEST   34 STREET and WEST   42 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987636 212439, 988650 214286))"
HOLY INNOCENTS CHURCH - TIMES SQUARE AUTUMN CARNIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/24/10 8:00 AM,10/24/10 10:00 AM,10/24/10 6:00 PM,10/24/10 7:00 PM,SAPO,NO,, BROADWAY between WEST   47 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988386 215944, 989278 218456))"
NYPD ST GEORGE ASSOC. - TIMES SQUARE HOLIDAY FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,11/13/10 8:00 AM,11/13/10 10:00 AM,11/13/10 6:00 PM,11/13/10 7:00 PM,SAPO,NO,, WEST   45 STREET between FIFTH AVENUE and SEVENTH AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989934 214492, 988248 215413))"
UNITED WAR VETERAN'S - VETERANS DAY PARADE BLOCK PARTY,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,11/11/10 8:00 AM,11/11/10 10:00 AM,11/11/10 6:00 PM,11/11/10 7:00 PM,SAPO,NO,,"  WEST   56 STREET between AVENUE OF THE AMERICAS and 5 AVENUE,   EAST   56 STREET between 5 AVENUE and MADISON AVENUE",Manhattan,"GEOMETRYCOLLECTION (LINESTRING (990431 217494, 991326 217002), LINESTRING (991326 217002, 991771 216755))"
NY YOUNG REPUBLICANS - TIMES SQUARE EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,6/19/10 8:00 AM,6/19/10 10:00 AM,6/19/10 6:00 PM,6/19/10 7:00 PM,SAPO,NO,, BROADWAY between WEST   47 STREET and WEST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988386 215944, 989278 218456))"
CHURCH OF ST. JOHN BAPTIST - SIXTH AVENUE SUMMER FEST.,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,6/26/10 8:00 AM,6/26/10 10:00 AM,6/26/10 6:00 PM,6/26/10 7:00 PM,SAPO,NO,, SIXTH AVENUE between WEST   23 STREET and WEST   33 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986244 209939, 987500 212212))"
UNION SQUARE LDC - PARK AVENUE SUMMER FEST.,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/10/10 8:00 AM,7/10/10 10:00 AM,7/10/10 6:00 PM,7/10/10 7:00 PM,SAPO,NO,, PARK AVENUE SOUTH between EAST   17 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987294 207626, 988029 208946))"
GRAMERCY PARK BLOCK ASSOC. - UNION SQUARE AUTUMN FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/2/10 8:00 AM,10/2/10 10:00 AM,10/2/10 6:00 PM,10/2/10 7:00 PM,SAPO,NO,,  BROADWAY between EAST   17 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986930 207834, 987263 209373))"
MANHATTAN REPUBLICAN CLUB - UNION SQUARE FALL FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/23/10 8:00 AM,10/23/10 10:00 AM,10/23/10 6:00 PM,10/23/10 7:00 PM,SAPO,NO,, PARK AVENUE SOUTH between EAST   17 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987294 207626, 988029 208946))"
STUYVESANT PARK NEIGHBORHOOD ASSOC - SECOND AVENUE FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,6/6/10 8:00 AM,6/6/10 10:00 AM,6/6/10 6:00 PM,6/6/10 7:00 PM,SAPO,NO,, SECOND AVENUE between EAST   14 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988424 206091, 989542 208109))"
TILDEN MIDTOWN DEMOCRATIC CLUB - NEW YORK CITY EXPO,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,6/13/10 8:00 AM,6/13/10 10:00 AM,6/13/10 6:00 PM,6/13/10 7:00 PM,SAPO,NO,, THIRD AVENUE between EAST   23 STREET and EAST   34 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988920 208453, 990312 210965))"
CHURCH OF THE GOOD SHEPHERD - THIRD AVENUE MERCHANDISE FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/22/10 8:00 AM,8/22/10 10:00 AM,8/22/10 6:00 PM,8/22/10 7:00 PM,SAPO,NO,, THIRD AVENUE between EAST   23 STREET and EAST   34 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988920 208453, 990312 210965))"
ALBANO REPUBLICAN CLUB - GRAMERCY PARK NEIGHBORHOOD FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/11/10 8:00 AM,9/11/10 10:00 AM,9/11/10 6:00 PM,9/11/10 7:00 PM,SAPO,NO,, THIRD AVENUE between EAST   14 STREET and EAST   23 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (987803 206435, 988920 208453))"
"SOLDIERS', SAILORS', MARINES  AIRMEN'S CLUB - LEXINGTON AVENUE FALL FESTIVAL",Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/26/10 8:00 AM,9/26/10 10:00 AM,9/26/10 6:00 PM,9/26/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   34 STREET and EAST   42 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989868 211212, 990886 213048))"
ST. STEPHEN-OUR LADY OF SCAPULAR - THE GREAT THIRD AVENUE FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,10/17/10 8:00 AM,10/17/10 10:00 AM,10/17/10 6:00 PM,10/17/10 7:00 PM,SAPO,NO,, THIRD AVENUE between EAST   23 STREET and EAST   34 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (988920 208453, 990312 210965))"
FRIENDS OF DAG HAMMERSKJOLD FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,8/28/10 8:00 AM,8/28/10 10:00 AM,8/28/10 6:00 PM,8/28/10 7:00 PM,SAPO,NO,, SECOND AVENUE between EAST   45 STREET and EAST   57 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (992339 213160, 993865 215915))"
MANHATTAN EAST COMMUNITY ASSOC. - M.E.C.A. FAMILY FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,9/6/10 8:00 AM,9/6/10 10:00 AM,9/6/10 6:00 PM,9/6/10 7:00 PM,SAPO,NO,, LEXINGTON AVENUE between EAST   34 STREET and EAST   42 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989868 211212, 990886 213048))"
PEARL STREET PARK ASSOC. - THE GREAT JULY 4TH FESTIVAL,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/4/10 8:00 AM,7/4/10 10:00 AM,7/4/10 9:00 PM,7/4/10 10:00 PM,SAPO,NO,,  WATER STREET between FULTON STREET and BROAD STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (983125 197015, 981060 195384))"
INT. AIDS INITIATIVE - NYC UNFOLDS STREET FAIR,Street Festival,STREET FESTIVAL WITH VARIOUS PARTCIPANTS,7/18/10 8:00 AM,7/18/10 10:00 AM,7/18/10 6:00 PM,7/18/10 7:00 PM,SAPO,NO,, BROADWAY between GRAND STREET and EAST HOUSTON STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (984067 201898, 985145 203571))"
