BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Est. Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 –Boro-Block-Lot,COMPARABLE RENTAL – 1 –Address,COMPARABLE RENTAL – 1 –Neighborhood,COMPARABLE RENTAL – 1 –Building Classification,COMPARABLE RENTAL – 1 –Total Units,COMPARABLE RENTAL – 1 –Year Built,COMPARABLE RENTAL – 1 –Gross SqFt,COMPARABLE RENTAL – 1 –Est. Gross Income,COMPARABLE RENTAL – 1 –Gross Income per SqFt,COMPARABLE RENTAL – 1 –Full Market Value,COMPARABLE RENTAL – 1 –Market Value per SqFt,COMPARABLE RENTAL – 1 –Dist. from Coop in miles,COMPARABLE RENTAL – 2 –Boro-Block-Lot,COMPARABLE RENTAL – 2 –Address,COMPARABLE RENTAL – 2 –Neighborhood,COMPARABLE RENTAL – 2 –Building Classification,COMPARABLE RENTAL – 2 –Total Units,COMPARABLE RENTAL – 2 –Year Built,COMPARABLE RENTAL – 2 –Gross SqFt,COMPARABLE RENTAL – 2 –Est. Gross Income,COMPARABLE RENTAL – 2 –Gross Income per SqFt,COMPARABLE RENTAL – 2 –Full Market Value,COMPARABLE RENTAL – 2 –Market Value per SqFt,COMPARABLE RENTAL – 2 –Dist. from Coop in miles
3-00208-0319,"182 COLUMBIA HEIGHTS
Brooklyn, NY
(40.69757443592373, -73.99672322155851)",BROOKLYN HEIGHTS,D4-ELEVATOR,19,1921,24918,426561,17.12,1690000,68,3-00236-0007,"75 PIERREPONT STREET
Brooklyn, NY
(40.695649532469446, -73.99458830702218)",BROOKLYN HEIGHTS,D1-ELEVATOR,36,1925,25818,491791,19.05,2140000,83,0.2,3-01173-0007,"195 UNDERHILL AVENUE
Brooklyn, NY
(40.67497299442476, -73.96668159153094)",PROSPECT HEIGHTS,D1-ELEVATOR,36,1940,24000,394000,16.42,1560000,65,2.35
3-00208-0331,"160 COLUMBIA HEIGHTS
Brooklyn, NY
(40.698201367782126, -73.99642025448821)",BROOKLYN HEIGHTS,D4-ELEVATOR,84,1937,84445,1974409,23.38,8570000,101,3-03512-0001,"663 HOWARD AVENUE
Brooklyn, NY
(40.66594467794974, -73.91936484804988)",BROWNSVILLE,D1-ELEVATOR,122,1983,85370,1760261,20.62,4120000,48.3,4.6,3-00236-0103,"52 CLARK STREET
Brooklyn, NY
(40.69772678072211, -73.99415621237242)",BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2280583,28.7,10900000,137,0.15
3-00208-0501,"10 MONTAGUE TERRACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,20,1900,15197,337790,22.23,1470000,97,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,305520,19,1210000,75,3.75,3-02409-0009,"262 1 STREET
Brooklyn, NY
(40.67471947728384, -73.98382006294929)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,24,1915,15836,298043,18.82,698000,44.1,2.25
3-00208-0508,"2 MONTAGUE TERRACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D4-ELEVATOR,25,1917,54966,1188893,21.63,5160000,94,3-01251-0001,"243 KINGSTON AVENUE
Brooklyn, NY
(40.67157643115329, -73.94194458715805)",CROWN HEIGHTS,D9-ELEVATOR,80,1910,54516,1164497,21.36,2730000,50,3.45,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,1025052,18.76,4060000,74,0.25
3-00212-0001,"140 CADMAN PLAZA
Brooklyn, NY
(40.69970465811028, -73.9898230728249)",BROOKLYN HEIGHTS,D4-ELEVATOR,250,1967,352698,4766219,13.51,11200000,31.8,3-00250-0030,"182 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,182000,8007050,44,40200000,221,0.45,3-08723-0410,"1511 CORBIN PLACE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BRIGHTON BEACH,D1-ELEVATOR,132,1951,109832,1739892,15.84,6890000,63,8.8
3-00216-0003,"55 HICKS STREET
Brooklyn, NY
(40.69999955232276, -73.99355388877717)",BROOKLYN HEIGHTS,C6-WALK-UP,30,1900,17245,486688,28.2,2330000,135,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,153051,16.9,606000,67,0.75,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,272223,17.91,1080000,71,1
3-00217-0001,"75 HENRY STREET
Brooklyn, NY
(40.69864349455783, -73.99240031433479)",BROOKLYN HEIGHTS,D4-ELEVATOR,370,1967,593599,8333477,14.04,30400000,51,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2462596,15.68,5760000,36.7,0.25,3-05155-0050,"405 WESTMINSTER ROAD
Brooklyn, NY
(40.63902430326701, -73.96682888247585)",FLATBUSH-CENTRAL,D1-ELEVATOR,138,1960,153424,1883105,12.27,6500000,42.4,4.35
3-00219-0005,"81 COLUMBIA HEIGHTS
Brooklyn, NY
(40.70022307856585, -73.99538298498895)",BROOKLYN HEIGHTS,C6-WALK-UP,60,1890,39280,821709,20.92,3570000,91,3-00042-0018,"254 WATER STREET
Brooklyn, NY
(40.702970948924616, -73.98370198590868)",DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,0.65,3-06681-0225,"1879 3 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",OCEAN PARKWAY-SOUTH,D3-ELEVATOR,50,1987,36769,633010,17.22,1480000,40.3,6.8
3-00221-0033,"73 ORANGE STREET
Brooklyn, NY
(40.698969919086686, -73.9930971077105)",BROOKLYN HEIGHTS,C6-WALK-UP,16,1925,13428,255179,19,1010000,75,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,247118,15.21,579000,35.6,2.15,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,305520,19,1210000,75,3.7
3-00226-0001,"45 PINEAPPLE STREET
Brooklyn, NY
(40.698530901381154, -73.99417640609872)",BROOKLYN HEIGHTS,D4-ELEVATOR,68,1939,52012,885015,17.02,3500000,67,3-01179-0097,"159 EASTERN PARKWAY
Brooklyn, NY
(40.67215587184343, -73.9639196471878)",PROSPECT HEIGHTS,D1-ELEVATOR,72,1927,52140,838910,16.09,3320000,64,2.3,3-00247-0028,"74 MONTAGUE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BROOKLYN HEIGHTS,D3-ELEVATOR,59,1912,54640,1025052,18.76,4060000,74,0.3
3-00226-0006,"87 HICKS STREET
Brooklyn, NY
(40.69891402104446, -73.99407377081789)",BROOKLYN HEIGHTS,C6-WALK-UP,20,1900,9435,122933,13.03,449000,47.6,3-00146-0036,"406 ALBEE SQUARE
Brooklyn, NY
(40.69103473400113, -73.9835005854088)",DOWNTOWN-FULTON MALL,C1-WALK-UP,15,1905,9055,153051,16.9,606000,67,0.7,3-00172-0064,"375 STATE STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON MALL,C1-WALK-UP,20,1905,15200,272223,17.91,1080000,71,0.95
3-00226-0010,"54 ORANGE STREET
Brooklyn, NY
(40.69906112728849, -73.99362720463242)",BROOKLYN HEIGHTS,D4-ELEVATOR,24,1963,34391,673032,19.57,2920000,85,3-01089-0001,"719 8 AVENUE
Brooklyn, NY
(40.66682871613259, -73.97828804034879)",PARK SLOPE,C1-WALK-UP,32,1905,31468,658728,20.93,2860000,91,2.4,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,921440,19.85,4000000,86,0.35
3-00226-0013,"66 ORANGE STREET
Brooklyn, NY
(40.69897096818847, -73.99330662612624)",BROOKLYN HEIGHTS,D4-ELEVATOR,21,1913,32135,595783,18.54,2360000,73,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,921440,19.85,4000000,86,0.35,3-01089-0001,"719 8 AVENUE
Brooklyn, NY
(40.66682871613259, -73.97828804034879)",PARK SLOPE,C1-WALK-UP,32,1905,31468,658728,20.93,2860000,91,2.4
3-00226-0018,"72 ORANGE STREET
Brooklyn, NY
(40.698925399919986, -73.99314644675825)",BROOKLYN HEIGHTS,D4-ELEVATOR,41,1938,32418,842109,26,3660000,113,3-01296-0008,"212 CROWN STREET
Brooklyn, NY
(40.6664068767231, -73.95354766801304)",CROWN HEIGHTS,D5-ELEVATOR,35,1927,38500,1295157,33.6,6200000,161,3.1,3-00051-0012,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0.3
3-00226-0035,"59 PINEAPPLE STREET
Brooklyn, NY
(40.69842734445047, -73.99380444651095)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1940,39450,1024777,26,4450000,113,3-00051-0012,"65 WASHINGTON STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0.3,3-01296-0008,"212 CROWN STREET
Brooklyn, NY
(40.6664068767231, -73.95354766801304)",CROWN HEIGHTS,D5-ELEVATOR,35,1927,38500,1295157,33.6,6200000,161,3.1
3-00229-0001,"15 CLARK STREET
Brooklyn, NY
(40.698203135508585, -73.99564774766235)",BROOKLYN HEIGHTS,D4-ELEVATOR,31,1920,45600,779669,17.1,3090000,68,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,921440,19.85,4000000,86,0.35,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,767666,17.43,3040000,69,1.5
3-00229-0006,"129 COLUMBIA HEIGHTS
Brooklyn, NY
(40.69857538579133, -73.99616495121167)",BROOKLYN HEIGHTS,D4-ELEVATOR,37,1900,48450,828398,17.1,3280000,68,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,921440,19.85,4000000,86,0.35,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,767666,17.43,3040000,69,1.5
3-00230-0017,"35 CLARK STREET
Brooklyn, NY
(40.69796731290799, -73.99479607327795)",BROOKLYN HEIGHTS,D4-ELEVATOR,34,1923,37800,606202,16.04,2400000,63,3-01153-0010,"93 UNDERHILL AVENUE
Brooklyn, NY
(40.677896119241964, -73.96562100439604)",PROSPECT HEIGHTS,C1-WALK-UP,35,1930,32835,524396,15.97,2080000,63,2.15,3-01167-0013,"452 PARK PLACE
Brooklyn, NY
(40.67541837284588, -73.96282489470461)",CROWN HEIGHTS,C1-WALK-UP,39,1926,29560,485870,16.44,1920000,65,2.4
3-00231-0017,"41 CLARK STREET
Brooklyn, NY
(40.697904808835304, -73.99456897615033)",BROOKLYN HEIGHTS,D4-ELEVATOR,307,1911,25407,418707,16.48,1660000,65,3-02139-0014,"190 8 STREET
Brooklyn, NY
(40.6713805485146, -73.98916035446884)",WILLIAMSBURG-SOUTH,C1-WALK-UP,41,1917,25924,491640,18.96,1950000,75,1.85,3-01178-0075,"505 LINCOLN PLACE
Brooklyn, NY
(40.671963251969316, -73.95956819148196)",CROWN HEIGHTS,C1-WALK-UP,30,1920,25556,402821,15.76,943000,36.9,2.55
3-00231-0019,"44 PINEAPPLE STREET
Brooklyn, NY
(40.69849423262695, -73.9942544696548)",BROOKLYN HEIGHTS,D4-ELEVATOR,275,1929,441063,5074004,11.5,17500000,39.7,3-06468-0016,"1429 SHORE PARKWAY
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",BATH BEACH,D1-ELEVATOR,263,1960,257300,3404125,13.23,12400000,48.2,6.9,3-05155-0050,"405 WESTMINSTER ROAD
Brooklyn, NY
(40.63902430326701, -73.96682888247585)",FLATBUSH-CENTRAL,D1-ELEVATOR,138,1960,153424,1883105,12.27,6500000,42.4,4.3
3-00231-0030,"60 PINEAPPLE STREET
Brooklyn, NY
(40.69837149848775, -73.99381362866504)",BROOKLYN HEIGHTS,D4-ELEVATOR,74,1899,114445,1650297,14.42,6020000,53,3-01946-0004,"379 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CLINTON HILL,D5-ELEVATOR,86,1905,113924,1813401,15.92,7180000,63,1.65,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2462596,15.68,5760000,36.7,0.15
3-00232-0001,"79 CLARK STREET
Brooklyn, NY
(40.69746994376421, -73.9929718159236)",BROOKLYN HEIGHTS,D4-ELEVATOR,301,1971,450503,6263162,13.9,14700000,32.6,3-05155-0050,"405 WESTMINSTER ROAD
Brooklyn, NY
(40.63902430326701, -73.96682888247585)",FLATBUSH-CENTRAL,D1-ELEVATOR,138,1960,153424,1883105,12.27,6500000,42.4,4.25,3-00236-0015,"55 PIERREPONT STREET
Brooklyn, NY
(40.695829631477615, -73.99523151776565)",BROOKLYN HEIGHTS,D7-ELEVATOR,191,1928,157042,2462596,15.68,5760000,36.7,0.15
3-00234-0008,"1 PIERREPONT STREET
Brooklyn, NY
(40.69633666172248, -73.99706089096321)",BROOKLYN HEIGHTS,D4-ELEVATOR,26,1924,75120,1832981,24.4,7960000,106,3-00236-0103,"52 CLARK STREET
Brooklyn, NY
(40.69772678072211, -73.99415621237242)",BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2280583,28.7,10900000,137,0.1,3-00416-0017,"419 DE GRAW STREET
Brooklyn, NY
(40.68187810333975, -73.99034026519763)",GOWANUS,D5-ELEVATOR,90,1931,76334,1568292,20.55,6810000,89,1.1
3-00234-0019,"177 COLUMBIA HEIGHTS
Brooklyn, NY
(40.6971186231755, -73.99686648415509)",BROOKLYN HEIGHTS,C6-WALK-UP,29,1925,16250,308807,19,1220000,75,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,247118,15.21,579000,35.6,2.35,3-05079-0019,"142 ST PAUL'S PLACE
Brooklyn, NY
(40.65044819869886, -73.96257993538717)",FLATBUSH-CENTRAL,D9-ELEVATOR,16,1912,16080,305520,19,1210000,75,3.65
3-00234-0059,"128 WILLOW STREET
Brooklyn, NY
(40.69750876316801, -73.99579001099775)",BROOKLYN HEIGHTS,D4-ELEVATOR,48,1925,44100,754022,17.1,2980000,68,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,921440,19.85,4000000,86,0.3,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,767666,17.43,3040000,69,1.5
3-00235-0004,"35 PIERREPONT STREET
Brooklyn, NY
(40.696048966220324, -73.99601272778243)",BROOKLYN HEIGHTS,D4-ELEVATOR,33,1929,45664,799577,17.51,3160000,69,3-00254-0006,"141 JORALEMON STREET
Brooklyn, NY
(40.6929985611618, -73.99397694982594)",BROOKLYN HEIGHTS,D3-ELEVATOR,47,1923,46410,921440,19.85,4000000,86,0.25,3-02104-0008,"299 ADELPHI STREET
Brooklyn, NY
(40.688581219041616, -73.97090721994414)",FORT GREENE,D9-ELEVATOR,71,1927,44046,767666,17.43,3040000,69,1.45
3-00235-0015,"149 WILLOW STREET
Brooklyn, NY
(40.69713544092035, -73.995892128256)",BROOKLYN HEIGHTS,D4-ELEVATOR,20,1900,14925,408607,27.4,1960000,131,3-01067-0007,"820 PRESIDENT STREET
Brooklyn, NY
(40.673754294166976, -73.97575905389672)",PARK SLOPE,D7-ELEVATOR,20,1920,16470,618000,37.5,3100000,188,2,3-02396-0027,"279 1 STREET
Brooklyn, NY
(40.674613611257094, -73.9834649459981)",WILLIAMSBURG-SOUTH,D9-ELEVATOR,22,1910,16250,247118,15.21,579000,35.6,2.3
3-00235-0020,"135 WILLOW STREET
Brooklyn, NY
(40.69740233398337, -73.99576411619861)",BROOKLYN HEIGHTS,D4-ELEVATOR,112,1956,91416,2167528,23.71,9410000,103,3-05279-0043,"829 GREENWOOD AVENUE
Brooklyn, NY
(40.6522973213617, -73.97363089153552)",WINDSOR TERRACE,D1-ELEVATOR,135,1982,104640,2198318,21.01,9550000,91,3.25,3-08722-0475,"200 BRIGHTON 15 STREET
Brooklyn, NY
(40.576314119002475, -73.95498026695823)",BRIGHTON BEACH,D1-ELEVATOR,96,1951,96600,1530279,15.84,6060000,63,8.6
3-00235-0028,"115 WILLOW STREET
Brooklyn, NY
(40.69778360983096, -73.99558124181017)",BROOKLYN HEIGHTS,D4-ELEVATOR,39,1927,49158,867845,17.65,3430000,70,3-06114-0006,"310 94 STREET
Brooklyn, NY
(40.61767230391655, -74.03284255812264)",BAY RIDGE,D7-ELEVATOR,74,1928,48000,824364,17.17,3260000,68,5.9,3-01177-0007,"781 WASHINGTON AVENUE
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",CROWN HEIGHTS,D5-ELEVATOR,63,1920,47925,1017829,21.24,2380000,49.7,2.45
3-00235-0044,"130 HICKS STREET
Brooklyn, NY
(40.69767212842184, -73.9947443797477)",BROOKLYN HEIGHTS,D4-ELEVATOR,40,1958,22750,500284,21.99,2170000,95,3-00384-0072,"15 WYCKOFF STREET
Brooklyn, NY
(40.686924910400215, -73.99299551472282)",BOERUM HILL,C1-WALK-UP,40,1900,26084,598956,22.96,2600000,100,0.7,3-02096-0014,"205 ASHLAND PLACE
Brooklyn, NY
(40.68896451716735, -73.97843375473097)",FORT GREENE,C1-WALK-UP,16,1931,25032,550930,22.01,2390000,95,1.1
