name,boro,geo_dist,projdesc,award,consttype,buildingid,Location 1
BROOKLYN THEATRE ARTS HS,K,18,FY11 RESO A AUDITORIUM UPGRADE,961142,CIP,K515,"6565 FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.63268510415105, -73.91781691770764)"
BUSHWICK HS OF SOCIAL JUSTICE,K,32,FY10 RESO A GYM UPGRADE,539000,CIP,K480,"400 IRVING AVENUE
BROOKLYN, NY 11237
(40.69697946567666, -73.91084445466608)"
BUSHWICK LEADERS HS ACAD @K865,K,32,REPAIR OF SAGGING FLOORS,3338000,CIP,K865,"797 BUSHWICK AVENUE
Brooklyn, NY 11221
(40.69513370850302, -73.92824173943163)"
Broadway Education Campus (1st,M,78,Lease,20500000,CAP,M282,"26 Broadway
New York, NY 10002
(40.71350689574933, -73.99674463976191)"
CAMPUS MAGNET-ENTREPRENEURSHIP,Q,29,EXTERIOR DOORS,84995.05,CIP,Q490,"207 01 116TH AVENUE
CAMBRIA HEIGHTS, NY 11411
(40.694293339066405, -73.73568329125084)"
CANARSIE H.S.,K,18,LL 41/16 COMPLIANCE,117726.54,CIP,K500,"1600 ROCKAWAY PKWY
BROOKLYN, NY 11236
(40.64078389170152, -73.89750860330521)"
CHOIR ACADEMY OF HARLEM,M,5,ROOFS/PARAPETS,2871000,CIP,M501,"2005 MADISON AVENUE
NEW YORK, NY 10035
(40.80736014272708, -73.93946681971579)"
CLEVELAND HS,Q,24,RETAINING WALLS/EXTERIOR STEPS,5817000,CIP,Q485,"21 27 HIMROD STREET
QUEENS, NY 11385
(40.70122489161548, -73.88334858436963)"
CLINTON HS,X,10,WINDOWS/AREAWAY/PARAPETS/TOWER ROOFS,7290000,CIP,X440,"100 MOSHOLU PKWY
BRONX, NY 10468
(40.88178360066122, -73.88672516295283)"
CO-OP TECHNICAL H.S.,M,2,PARAPETS/WINDOWS/ROOFS/EXT MASONRY,6292000,CIP,M646,"321 96 STREET
New York, NY 10128
(40.78386913950879, -73.94612486053185)"
COBBLE HILL H.S.,K,15,FLOOD ELMNTN/EXT MASONRY,2983382,CIP,K804,"347 BALTIC STREET
Brooklyn, NY 11201
(40.684609118080985, -73.991150069287)"
Community Health Academy (CLOT,M,78,New,43728000,CAP,M814,"504 158th St
New York, NY 10032
(40.83354081707594, -73.94178600222767)"
DOE BUREAU OF SUPPLIES,Q,30,ELEVATORS/ELEC SYSTEMS,7342000,CIP,Q801,"44 36 VERNON BLVD
QUEENS, NY 11101
(40.74570244980828, -73.93866902925225)"
Demolition for IS 297,Q,30,Demo,746444,CAP,Q297,"74 03 34th Ave
Jackson Heights, NY 11372
(40.75163073936716, -73.88361254528269)"
Demolition for IS/HS 868,M,2,Demo,2182222,CAP,M868,"10 15th St
New York, NY 10003
(40.73631370241236, -73.99224802961538)"
Demolition for PS 290,Q,24,Demo,3370000,CAP,Q290,"55 20 Metropolitan Ave
Ridgewood, NY 11385
(40.70122489161548, -73.88334858436963)"
E NY HS OF TRANSIT TECHNOLOGY,K,19,FY11 RESO A GYMNASIUM UPGRADE,419000,CIP,K615,"1 WELLS STREET
Brooklyn, NY 11208
(40.678266696104096, -73.876114686314)"
EARTH SCHOOL (@M064),M,1,FY09 RESO A GREENROOF,769000,CIP,M064,"600 6 STREET
New York, NY 10009
(40.72444152208924, -73.98162129932635)"
ELEANOR ROOSEVELT HS,M,2,IP SURVEILLANCE CAMERAS,888000,CIP,M855,"411 76TH STREET
NEW YORK, NY 10001
(40.62997664645282, -74.02500811267907)"
EVANDER CHILDS AF,X,11,ATHLETIC FIELD LIGHTING,797000,CIP,X426,"800 GUNHILL ROAD
BRONX, NY 10467
(40.875978648353474, -73.8621066953495)"
EVANDER CHILDS H.S.,X,11,PA SYSTEM/ELECTRICAL UPGRADE,850000,CIP,X425,"800 GUN HILL ROAD
Bronx, NY 10467
(40.875978648353474, -73.8621066953495)"
FASHION INDUSTRIES VOC HS-M,M,2,FY10 RESO A AUDITORIUM UPGRADE,734100,CIP,M600,"225 24 STREET
New York, NY 10011
(40.74508837330147, -73.99588924404328)"
FASHION INDUSTRIES VOC HS-M,M,2,SAFETY/PAVEMENT/CONTAINER/ MASONRY/ROOF,5993000,CIP,M600,"225 24 STREET
New York, NY 10011
(40.74508837330147, -73.99588924404328)"
FOREST HILLS HS,Q,28,CONCRETE PAVED AREAS,3463000,CIP,Q440,"67 01 110 STREET
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)"
FOREST HILLS HS,Q,28,FY11 RESO A LIBRARY UPGRADE,421000,CIP,Q440,"67 01 110 STREET
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)"
FOUNDATIONS ACADEMY,K,14,SCIENCE LAB UPGRADE,1165500,CIP,K033,"70 TOMPKINS AVENUE
Brooklyn, NY 11206
(40.697149542940295, -73.94668415925653)"
FRANCIS LEWIS H.S.,Q,26,FLOOD ELIMINATION/FENCING/PAVED AREA - CONCRETE,2579000,CIP,Q430,"58 20 UTOPIA PKWY
QUEENS, NY 11365
(40.73987184371066, -73.79462153515567)"
FRANKLIN D. ROOSEVELT H.S.,K,20,FY07 RESO A ASTRO TURF FOOTBALL FIELD,2470527,CIP,K505,"5800 20 AVENUE
Brooklyn, NY 11204
(40.62052678025147, -73.9817265392885)"
FREDERICK DOUGLAS ACADEMY,K,23,PARAPETS/EXT MASONRY/FLOOD ELMNTN,2675000,CIP,K175,"226 BRISTOL STREET
Brooklyn, NY 11212
(40.66578774851303, -73.91171337843976)"
FT HAMILTON HS,K,20,HEATING PLANT UPGRADE/CLIMATE CTRL,8296000,CIP,K490,"8301 SHORE ROAD
Brooklyn, NY 11209
(40.627991412441524, -74.03991574863338)"
GEORGE WASHINGTON H.S.,M,6,FLOOD ELIMINATION/PARAPETS,12686000,CIP,M465,"549 AUDOBON AVENUE
New York, NY 10040
(40.856389753646916, -73.92672451121956)"
GRAMERCY ARTS HS - M,M,2,SCIENCE DEMO ROOM UPGRADE,1059950,CIP,M460,"40 IRVING PLACE
New York, NY 10003
(40.735537114027146, -73.98760494227764)"
GRAPHIC COMMUNICATION ARTS,M,2,WINDOWS/EXTERIOR MASONRY/PLAZA DECK,12647000,CIP,M625,"439 49 STREET
New York, NY 10019
(40.76336102095483, -73.9905041730044)"
HEALTH CAREERS & SCIENCE,M,6,FY11 RESO A ELECTRICAL SYSTEM,516000,CIP,M465,"549 AUDOBON AVENUE
New York, NY 10040
(40.856389753646916, -73.92672451121956)"
HS 585,Q,78,New,70250000,CAP,Q585,"54 40 74th St
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)"
HS 783,X,78,New,0,CAP,X783,"201 144th St
Bronx, NY 10451
(40.816146910599706, -73.92662867570321)"
HS FOR ARTS & BUS (@ Q456),Q,24,WINDOWS,837000,CIP,Q456,"105 25 HORACE HARDING EXPRESSWAY
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)"
HS FOR SERVICE & LEARNING,K,17,FIRE ALARM SYSTEM,2625000,CIP,K465,"911 FLATBUSH AVENUE
Brooklyn, NY 11226
(40.649532936565414, -73.95845755993555)"
HUMANITIES & ARTS,Q,29,FY08 RESO A TECHNOLOGY,17555.4,CIP,Q490,"207 01 116TH AVENUE
CAMBRIA HEIGHTS, NY 11411
(40.694293339066405, -73.73568329125084)"
Harlem Promise Academy,M,5,New,60000000,CAP,M908,"245 129th St
New York, NY 10027
(40.81182512837363, -73.94715683161196)"
Harlem Village Academy,M,5,New,36336432.4,CAP,M280,"35 124th St
New York, NY 10027
(40.80627609017035, -73.94391077367071)"
I.S. 10,M,5,FLOOD ELIMINATION,5393000,CIP,M010,"2581 7TH AVENUE
NEW YORK, NY 10039
(40.82438364705368, -73.93690714053237)"
I.S. 111,K,32,LL 41/16 COMPLIANCE,370000,CIP,K111,"35 STARR STREET
Brooklyn, NY 11221
(40.70073228077929, -73.9274722005684)"
I.S. 115 (@X115),X,10,EXT MASONRY/ROOFS/REINFORCING SUPPORT/PARAPETS,3833000,CIP,X115,"120 184 STREET
Bronx, NY 10468
(40.859718306516946, -73.9001023348563)"
I.S. 117,K,13,ELECTRICAL SYSTEMS,990000,CIP,K117,"300 WILLOUGHBY AVENUE
Brooklyn, NY 11205
(40.69261081871296, -73.95894653911148)"
I.S. 125,Q,24,LOW-VOLT ELEC SYSTEMS,980000,CIP,Q125,"46 02 47 AVENUE
QUEENS, NY 11377
(40.74519376448069, -73.9048471440804)"
I.S. 131,M,2,LL 41/16 COMPLIANCE,139807.64,CIP,M131,"100 HESTER STREET
New York, NY 10002
(40.71645702482035, -73.99286250634624)"
I.S. 131,X,8,ROOFS/SAFETY SYSTEM/EXT MASONRY/FLOOD ELIMINATION,6780000,CIP,X131,"885 BOLTON AVENUE
Bronx, NY 10473
(40.82386302071817, -73.85977399112697)"
I.S. 135,X,11,EXT MASONRY/WINDOWS/ROOFS,6988000,CIP,X135,"2441 WALLACE AVENUE
Bronx, NY 10467
(40.86208256356063, -73.86461178363403)"
I.S. 137,X,10,PLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL,4680000,CIP,X137,"2225 WEBSTER AVENUE
Bronx, NY 10457
(40.85466127151118, -73.89664962860274)"
I.S. 139,X,7,EXT MASONRY/PARAPETS/FLOOD ELMNTN/WINDOWS/ROOFS,13447000,CIP,X139,"345 BROOK AVENUE
Bronx, NY 10454
(40.81004862442692, -73.91782345430987)"
I.S. 14,K,22,PAVED AREA - BLACKTOP,659572.05,CIP,K014,
I.S. 142,X,11,FY09 RESO A SCIENCE LAB,735800,CIP,X142,"3750 BAYCHESTER AVENUE
Bronx, NY 10466
(40.88554553526394, -73.84075720750138)"
I.S. 143,M,6,ROOFS/FLOOD ELMNTN/EXT MASONRY,4237000,CIP,M143,"511 182 STREET
New York, NY 10033
(40.84941102208005, -73.9320770216135)"
I.S. 144,X,11,ROOFS/EXT MASONRY/PARAPETS/FLOOD ELIMINATION,4891000,CIP,X144,"2545 GUNTHER AVENUE
BRONX, NY 10464
(40.863858665108886, -73.83609949442072)"
I.S. 151,X,7,WINDOWS/EXTERIOR MASONRY,3426000,CIP,X151,"250 156 STREET
Bronx, NY 10451
(40.82298359886116, -73.9211309650046)"
I.S. 158,X,12,PLANYC BOILER CONVRSN/PLANYC CLIMATE CTRL,3918000,CIP,X158,"800 HOME STREET
Bronx, NY 10456
(40.827686311428195, -73.90004072543645)"
I.S. 166,X,9,PA SYSTEM,798000,CIP,X166,"250 164 STREET
Bronx, NY 10456
(40.82872889992432, -73.91779283496383)"
I.S. 171/P.S. 7,K,19,SWB-FACADE/PARAPETS/PAVED AREA-BLACKTOP/FENCING,4828290,CIP,K171,"528 RIDGEWOOD AVENUE
BROOKLYN, NY 11208
(40.6861530810444, -73.86966791838911)"
I.S. 183,X,7,PLANYC BOILER/PLANYC CLIMATE CTRL,3492000,CIP,X183,"339 MORRIS AVENUE
Bronx, NY 10451
(40.813386726364335, -73.92553701094046)"
I.S. 184,X,7,PLANYC BOILER/PLANYC CLIMATE CTRL,4910270,CIP,X184,"778 FOREST AVENUE
BRONX, NY 10456
(40.81888494686362, -73.90589968772917)"
I.S. 191 @X129,X,12,NEW SCIENCE DEMONSTRATION ROOM,438000,CIP,X129,"2055 MAPES AVENUE
Bronx, NY 10460
(40.84549455019818, -73.8865507352739)"
I.S. 192,Q,29,CITY COUNCIL REQ - LIGHTING FIXTURES,1800000,CIP,Q192,"109 89 204 STREET
QUEENS, NY 11412
(40.69812711747255, -73.75923519834566)"
I.S. 193,X,12,PLANYC BOILER/PLANYC CLIMATE CTRL,3885000,CIP,X193,"1919 PROSPECT AVENUE
Bronx, NY 10457
(40.84359404962676, -73.88973979569231)"
I.S. 195 (ECF),M,5,PAVED AREAS BLACKTOP,770000,CIP,M195,"625 133 STREET
New York, NY 10027
(40.81937508503853, -73.95739030775974)"
I.S. 195 (ECF),M,5,PLANYC BOILER CONVRSN/PLANYC CLIMATE CTRL,3788000,CIP,M195,"625 133 STREET
New York, NY 10027
(40.81937508503853, -73.95739030775974)"
I.S. 195 (ECF),M,5,SCIENCE DEMO ROOM UPGRADE,469000,CIP,M195,"625 133 STREET
New York, NY 10027
(40.81937508503853, -73.95739030775974)"
I.S. 2,K,17,SCIENCE DEMO ROOM UPGRADE,345000,CIP,K002,"655 PARKSIDE AVE
BROOKLYN, NY 11226
(40.6561968174429, -73.95158492978685)"
I.S. 211,K,18,WALK IN FREEZER REPLACEMENT,343200,CIP,K211,"1001 100 STREET
BROOKLYN, NY 11236
(40.64348164485336, -73.89642371322941)"
I.S. 216 (@X116),X,12,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,4468000,CIP,X116,"977 FOX STREET
Bronx, NY 10459
(40.822428225918, -73.89392410102988)"
I.S. 218,K,19,WALK IN FREEZER REPLACEMENT,2120000,CIP,K218,"370 FOUNTAIN AVENUE
Brooklyn, NY 11208
(40.67070199017694, -73.8742292684109)"
I.S. 218,M,6,FLOOD ELIMINATION/WINDOWS/ROOFS,1867000,CIP,M218,
I.S. 219 (OLD I.S. 148),X,9,RETAINING WALL,583000,CIP,X148,"3630 THIRD AVENUE
Bronx, NY 10456
(40.833636708483105, -73.90440606498304)"
I.S. 22,X,9,FLOOD ELIMINATION/EXT MASONRY/PARAPETS,3990000,CIP,X022,"270 167 STREET
Bronx, NY 10456
(40.83322765425807, -73.91408537225458)"
I.S. 223 (@X149),X,7,FY10 RESO A LIBRARY,328000,CIP,X149,"360 145 STREET
Bronx, NY 10454
(40.814006958025736, -73.92087771305378)"
I.S. 226,Q,27,EXT MASONRY/ROOFS,6691000,CIP,Q226,"121 10 ROCKAWAY BLVD
SO OZONE PARK, NY 11420
(40.67334524268887, -73.81770717164864)"
I.S. 227,Q,30,CLIMATE CONTROL/HEATING PLANT UPGRADE,5294240,CIP,Q227,"32 02 JUNCTION BLVD
QUEENS, NY 11369
(40.76341327370369, -73.8723788986672)"
I.S. 232 (OLD 82) @X082,X,9,ACCESSIBILITY/FIRE ALARM,8193000,CIP,X082,"1700 MACOMBS ROAD
Bronx, NY 10453
(40.84901889749711, -73.91609317547116)"
I.S. 24,R,31,AUDITORIUM FLOORS,77000,CIP,R024,"225 CLEVELAND AVENUE
Staten Island, NY 10308
(40.54537484828736, -74.14643932417457)"
I.S. 246,K,17,SWB EXT MASONRY/SWB FLOOD/SWB WINDOWS/ROOF/PARAPET,4877000,CIP,K246,"72 VERONICA PLACE
Brooklyn, NY 11226
(40.64867994929756, -73.95284496748633)"
I.S. 252,K,18,LL 41/16 COMPLIANCE,29175.77,CIP,K252,"1084 LENOX ROAD
Brooklyn, NY 11212
(40.658327698451274, -73.92001930874018)"
I.S. 256 (@M118),M,3,IP SURVEILLANCE CAMERAS,216300,CIP,M118,"154 93 STREET
New York, NY 10025
(40.79156776872092, -73.97053578315399)"
I.S. 256 (@M118),M,3,STRUCTURAL BEAMS-REINFORCING,410160,CIP,M118,"154 93 STREET
New York, NY 10025
(40.79156776872092, -73.97053578315399)"
I.S. 265,K,13,SCIENCE LAB,765000,CIP,K265,"101 PARK AVENUE
Brooklyn, NY 11205
(40.6963585351778, -73.97572262403403)"
I.S. 278,K,22,ROOFS/EXT MASONRY/FLOOD ELMNTN,5700000,CIP,K278,"1925 STUART STREET
Brooklyn, NY 11229
(40.60673733465248, -73.93925429415825)"
I.S. 285,K,18,HEATING PLANT UPG/CLIMATE CTRL,4342000,CIP,K285,"5905 BEVERLY ROAD
Brooklyn, NY 11203
(40.64688182984673, -73.921125893014)"
I.S. 291,K,32,HEATING PLANT UPGRADE/LOW-VOLTAGE,15199800,CIP,K291,"231 PALMETTO STREET
Brooklyn, NY 11221
(40.695256718115104, -73.91527095847802)"
I.S. 292,K,19,CONCRETE FACADE,3477000,CIP,K292,"300 WYONA STREET
Brooklyn, NY 11207
(40.67148750548741, -73.89288114787357)"
I.S. 318,K,14,PARAPETS/EXT MASONRY/EAST ROOF & FAN ROOM ROOF,4340000,CIP,K318,"101 WALTON STREET
Brooklyn, NY 11206
(40.702422370537974, -73.94902462531712)"
I.S. 320,K,17,FLOOD ELMNTN/PARAPETS/SAFETY SYSTEMS/EXT MASONRY,3000050,CIP,K320,"46 MCKEEVER PLACE
Brooklyn, NY 11225
(40.66501317051537, -73.95904314893046)"
I.S. 362 @ M125,M,5,SCIENCE LAB,1354564,CIP,M125,"425 123 STREET
New York, NY 10027
(40.81015743904045, -73.95506966627367)"
I.S. 372 - X,X,12,NEW SCIENCE LAB SUITE,945000,CIP,X067,"2024 MOHEGAN AVENUE
Bronx, NY 10460
(40.84392182388185, -73.88479553814723)"
I.S. 383,K,32,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,4668000,CIP,K383,"1300 GREENE AVENUE
Brooklyn, NY 11237
(40.69762704651303, -73.91986972170302)"
I.S. 390,K,17,STAIRS IN STAIRWELL/FLOOD ELIM/CEC REQ-WINDOWS,4980000,CIP,K390,"1224 PARK PLACE
Brooklyn, NY 11213
(40.67268717852895, -73.93695770187597)"
I.S. 49,K,14,FIRE ALARM,468000,CIP,K049,
I.S. 52,X,8,PARAPETS/MASONRY/ROOFS/FLOOD/PAVED AREAS/SAFETY,8893000,CIP,X052,"681 KELLY STREET
Bronx, NY 10455
(40.815402542289604, -73.90236106648733)"
I.S. 55,K,23,SAFETY SYSTEM/EXT MASONRY/WINDOWS,4535000,CIP,K055,"2021 BERGEN STREET
Brooklyn, NY 11233
(40.67414724704465, -73.91355073965249)"
I.S. 59,Q,29,LIBRARY UPGRADE,408000,CIP,Q059,"132 55 RIDGEDALE STREET
SPRINGFIELD GARDENS, NY 11413
(40.66971118122609, -73.75087393328533)"
I.S. 61,K,17,BOILER REPLACEMENT/CONCRETE PAVER/CLIMATE CTRL,5462800,CIP,K061,"400 EMPIRE BLVD
Brooklyn, NY 11225
(40.66397432612488, -73.9494072266281)"
I.S. 72,R,31,ELEVATORS & ESCALATORS,691000,CIP,R072,"33 FERNDALE AVENUE
Staten Island, NY 10314
(40.59325258206939, -74.15872479868553)"
I.S. 77,Q,24,AUDITORIUM UPGRADE,1588000,CIP,Q849,"976 SENECA AVENUE
RIDGEWOOD, NY 11385
(40.699542257956786, -73.90222734682403)"
I.S. 77,Q,24,EXTERIOR MASONRY/WINDOWS/ROOFS/PARAPETS/AC,12189000,CIP,Q849,"976 SENECA AVENUE
RIDGEWOOD, NY 11385
(40.699542257956786, -73.90222734682403)"
I.S. 78,K,22,FLOOD ELMNTN/EXT MASONRY,1589500,CIP,K078,"1420 68 STREET
Brooklyn, NY 11234
(40.62118169409423, -73.91286070496677)"
I.S. 84 (@X084),X,12,PLANYC BOILER CONVRSN/PLANYC CLIMATE CTRL,3997000,CIP,X084,"1434 LONGFELLOW AVENUE
Bronx, NY 10459
(40.830644846579055, -73.88752511974951)"
I.S. 98,K,21,EXT MASONRY/ROOFS/SAFETY SYSTEMS/PARAPETS,4869000,CIP,K043,"1401 EMMONS AVENUE
Brooklyn, NY 11235
(40.58324060677732, -73.95376310696645)"
I.S. 98,X,12,RETAINING WALL,229571,CIP,X098,"1619 BOSTON ROAD
Bronx, NY 10460
(40.83591680891802, -73.89054065425974)"
INTERNATIONAL COMMUNITY,X,7,NEW SCIENCE LAB SUITE,1182000,CIP,X139,"345 BROOK AVENUE
Bronx, NY 10454
(40.81004862442692, -73.91782345430987)"
IS 113,X,11,FY07 RES0 A PLAYGROUND REDEVELOPMENT,555000.05,CIP,X113,"3710 BARNES AVE
Bronx, NY 10467
(40.88086639044798, -73.86088460706405)"
IS 285,X,9,New,34111000,CAP,X285,"200 167th St
Bronx, NY 10452
(40.838131334426876, -73.92787186717345)"
IS 297,Q,30,DEMOLITION FOR IS 297,746444,CIP,Q297,"74 03 34TH AVE
JACKSON HEIGHTS, NY 11372
(40.75163073936716, -73.88361254528269)"
IS 339 (OLD IS 147X),X,9,PLANYC BOILER/PLANYC CLIMATE CTRL,7116000,CIP,X147,"1600 WEBSTER AVENUE
Bronx, NY 10457
(40.84131870954352, -73.90441220971972)"
IS/HS 404,Q,78,New,61098000,CAP,Q404,"1 50 51st Ave
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)"
IS/HS @ Spring Creek,K,78,New,72847565,CAP,K422,"1065 Elton St
Brooklyn, NY 11208
(40.65755969070249, -73.87479320757765)"
J F KENNEDY HS,X,10,FY09 FINAL C OF O FOR MULTI-CAMPUS,8387000,CIP,X475,"99 TERRACE VIEW AVENUE
Bronx, NY 10463
(40.877210772673564, -73.91213621128965)"
J.H.S. 141,Q,30,ROOFS/SAFETY/EXT MASONRY/PARAPETS,7459000,CIP,Q141,"37 11 21 AVENUE
QUEENS, NY 11105
(40.780092072491186, -73.90960650023976)"
J.H.S. 141,X,10,HEATING PLANT UPGRADE/CLIMATE CONTROL,3967000,CIP,X141,"660 237 STREET
Bronx, NY 10463
(40.88826732332943, -73.9131873185513)"
J.H.S. 157,Q,28,ROOFS/WDWS/HEATING UPG/FLOOD/MASON/PARAPET/CLIMATE,14279000,CIP,Q157,"63 55 102ND ST
QUEENS, NY 11374
(40.72646491702238, -73.86148084756303)"
J.H.S. 168,Q,25,ACCESSIBILITY/FIRE ALARM/CLIM CTRL/HEAT PL UPG,8877000,CIP,Q168,"158 40 76 ROAD
QUEENS, NY 11366
(40.72816440726166, -73.79226817393703)"
J.H.S. 168,Q,25,SCIENCE LAB UPGRADE,972000,CIP,Q168,"158 40 76 ROAD
QUEENS, NY 11366
(40.72816440726166, -73.79226817393703)"
J.H.S. 180,Q,27,WINDOW/AC RETROFIT/AC SPLIT/MASONRY/PARAPET/ROOFS,22000000,CIP,Q180,"3 20 BEACH 104 STREET
ROCKAWAY, NY 11694
(40.57657830564432, -73.85077700055808)"
J.H.S. 237,Q,25,CEC REQUEST - SCIENCE LAB UPG,1176000,CIP,Q237,"46 21 COLDEN STREET
QUEENS, NY 11355
(40.7512997969481, -73.82147854789662)"
J.H.S. 25,Q,25,SWB-EXT MASONRY/ROOFS/PARAPETS,5618000,CIP,Q025,"34 65 192 STREET
QUEENS, NY 11355
(40.7512997969481, -73.82147854789662)"
J.H.S. 303,K,21,FY11 RESO A ELECTRICAL SYSTEM,196000,CIP,K303,"501 WEST AVENUE
Brooklyn, NY 11224
(40.582102240554626, -73.9727279509789)"
J.H.S. 324,K,16,PLANYC BOILER CONVRSN/PLANYC CLIMATE CTRL,3819000,CIP,K324,"800 GATES AVENUE
Brooklyn, NY 11221
(40.68830858053017, -73.93217356292678)"
J.H.S. 45,M,4,EXT MASONRY/ROOFS/PARAPETS,6670000,CIP,M045,"2351 1ST AVENUE
New York, NY 10035
(40.798869844574995, -73.93335561512028)"
J.H.S. 57,K,16,GYM ROOF/SEWAGE FLOODING/PARAPETS/EXT MASONRY,8625000,CIP,K057,"125 STUYVESANT AVENUE
Brooklyn, NY 11221
(40.691184878420714, -73.93365273330902)"
J.H.S. 70,M,2,EXTERIOR MASONRY/PARAPETS/ROOFS/WINDOWS,10489000,CIP,M070,"333 17 STREET
NEW YORK, NY 10011
(40.742083302451746, -74.00204411405305)"
J.H.S. 72,Q,28,EXT MASONRY/ROOFS/FLOOD ELMNTN/PARAPETS,6176000,CIP,Q072,"133 25
ROCHDALE VILLAG, NY 11434
(40.6769452621142, -73.77530690169215)"
J.H.S. 80/P.S. 280,X,10,FLOOD ELIMINATION,1091773,CIP,X080,"149 MOSHOLU PKWY
BRONX, NY 10467
(40.87619978760749, -73.88147439492262)"
JAMAICA HS,Q,28,CLIMATE CONTROL/HEATING PLANT UPGRADE,8100000,CIP,Q470,"167 01 GOTHIC DRIVE
QUEENS, NY 11432
(40.71311535449007, -73.79282099978928)"
JAMES BALDWIN HS,M,2,LIBRARY UPGRADE,1132000,CIP,M440,"351 18 STREET
New York, NY 10011
(40.74287308397775, -74.00211145861485)"
JAMES MADISON HS,K,22,FIRE ALARM,485500,CIP,K425,"3787 BEDFORD AVENUE
Brooklyn, NY 11229
(40.609742865286414, -73.94845748858913)"
JAMES MADISON HS,K,22,SCIENCE LAB UPGRADE,985000,CIP,K425,"3787 BEDFORD AVENUE
Brooklyn, NY 11229
(40.609742865286414, -73.94845748858913)"
JHS 8,Q,28,SCIENCE LAB UPGRADE,1081000,CIP,Q008,"108 35 167 STREET
JAMAICA, NY 11433
(40.698104881734935, -73.7875740339145)"
JOHN BOWNE H.S.,Q,25,WIND REPLACE/AC RETROFIT/WIND BOE PORTION/UPG F.A.,27239000,CIP,Q425,"63 25 MAIN STREET
FLUSHING, NY 11367
(40.730323085042414, -73.82610630716033)"
JOHN JAY HS,K,15,CEC REQUEST-HEAT'G PLANT UPG/ELEC SYS/CLIMATE CTRL,8168000,CIP,K460,"237 7TH AVENUE
Brooklyn, NY 11215
(40.669623280409056, -73.97924096910276)"
