Entity Type,License Number,Entity Name,Camis Trade Name,Address Bldg,Address Street Name,Address Location,Address City,Address State,Address Zip Code,Telephone Number,Location
ELECTRONICS STORE,979664,P & L ELECTRONICS INC,,7718,FLATLANDS AVENUE,,BROOKLYN,NY,11236,7187637300,"FLATLANDS AVENUE
BROOKLYN, NY 11236
(40.6320013402338, -73.9186025486362)"
ELECTRONICS STORE,980237,BEST SOUND & SECURITY INC,,195-19,NORTHERN BOULEVARD,,FLUSHING,NY,11358,7183575415,"NORTHERN BOULEVARD
FLUSHING, NY 11358
(40.7617285429603, -73.8032015458364)"
ELECTRONICS STORE,989455,"STEREO UPGRADE, INC",,87-20,ATLANTIC AVENUE,,OZONE PARK,NY,11416,7188475858,"ATLANTIC AVENUE
OZONE PARK, NY 11416
(40.6887755399435, -73.8463240371413)"
ELECTRONICS STORE,992928,"WEWELUALA, KEERTHI S.",VIDEO SHINE,3706,3 AVENUE,,BRONX,NY,10456,,"3 AVENUE
BRONX, NY 10456
(40.820742054523, -73.9081434334354)"
ELECTRONICS STORE,998869,EXPERT VAC. SERV. CENTER INC.,,293,COURT STREET,GROUND FLOOR,BROOKLYN,NY,11231,7188585444,"COURT STREET
BROOKLYN, NY 11231
(40.6740986044253, -73.9998562939834)"
ELECTRONICS STORE,1000783,ETS REGAL INC,,1201,BROADWAY,ROOM# 407,NEW YORK,NY,10001,,"BROADWAY
NEW YORK, NY 10001
(40.749686620988, -73.9961510872227)"
ELECTRONICS STORE,1001972,5 STAR PAGING & JEWELRY LTD,,413A,KNICKERBOCKER AVENUE,,BROOKLYN,NY,11237,7185737456,"KNICKERBOCKER AVENUE
BROOKLYN, NY 11237
(40.698829960231, -73.9183777181288)"
ELECTRONICS STORE,1004048,"D & H ELECTRONICS, INC",,5215,13 AVENUE,,BROOKLYN,NY,11219,7186334000,"13 AVENUE
BROOKLYN, NY 11219
(40.6322711368426, -73.9967716194229)"
ELECTRONICS STORE,1005549,UNDERGROUND COMMUNICATIONS INC.,,55-08,MYRTLE AVENUE,,RIDGEWOOD,NY,11385,7183817333,"MYRTLE AVENUE
RIDGEWOOD, NY 11385
(40.7033985161399, -73.8630604201066)"
ELECTRONICS STORE,1007888,"P.C. RICHARD & SON, LONG ISLAND CORP",,356,BAYCHESTER AVENUE,,BRONX,NY,10475,7183201200,"BAYCHESTER AVENUE
BRONX, NY 10475
(40.8812484406542, -73.8387247659937)"
ELECTRONICS STORE,1018368,"FLORES, EDGAR",ELECTRONIC REPAIR CENTER,711,GRAND STREET,,BROOKLYN,NY,11211,7183872744,"GRAND STREET
BROOKLYN, NY 11211
(40.71445118388, -73.9307613824723)"
ELECTRONICS STORE,1021179,NEW YORK INDUSTRIES (COMPUTERS) INC,,3,EAST   33 STREET,,NEW YORK,NY,10016,2126796668,"EAST   33 STREET
NEW YORK, NY 10016
(40.7449022277921, -73.9780927008744)"
ELECTRONICS STORE,1022605,"DISCORAMA MUSIC WORLD DISTRIBUTORS, INC",DISCORAMA,186,WEST    4 STREET,,NEW YORK,NY,10014,7182068417,"WEST    4 STREET
NEW YORK, NY 10014
(40.7345060651334, -74.0071318092004)"
ELECTRONICS STORE,1028124,NOSHA COMMUNICATIONS INC,AROUND THE CLOCK,484,9 AVENUE,,NEW YORK,NY,10018,2122680481,"9 AVENUE
NEW YORK, NY 10018
(40.7555771802799, -73.99392076859)"
ELECTRONICS STORE,800016,ROCK & SOUL ELECTRONICS INC,,462,7 AVENUE,,NEW YORK,NY,10018,2129999999,"7 AVENUE
NEW YORK, NY 10018
(40.7555771802799, -73.99392076859)"
ELECTRONICS STORE,899520,ELECTRONICS DISCOUNTCENTER INC,,159-05,JAMAICA AVENUE,,QUEENS,NY,11432,7185231576,"JAMAICA AVENUE
QUEENS, NY 11432
(40.7131921330389, -73.7928233696182)"
ELECTRONICS STORE,899797,P C RICHARD  & SON INC,,1984,86 STREET,,BROOKLYN,NY,11214,7188434355,"86 STREET
BROOKLYN, NY 11214
(40.6040594047834, -74.0010254126215)"
ELECTRONICS STORE,899840,YELLOWSTONE HARDWARE& SUPPLY INC,,71-54,YELLOWSTONE BOULEVARD,,QUEENS,NY,11375,7182615718,"YELLOWSTONE BOULEVARD
QUEENS, NY 11375
(40.7199280550384, -73.8421871558065)"
ELECTRONICS STORE,900224,RADIOSHACK CORPORATION,RADIO SHACK,89-23,QUEENS BOULEVARD,STORE #2618,ELMHURST,NY,11373,8173903116,"QUEENS BOULEVARD
ELMHURST, NY 11373
(40.7342542549652, -73.8732767183594)"
ELECTRONICS STORE,900242,RADIOSHACK CORPORATION,RADIO SHACK #2763,39-07,BELL BOULEVARD,,QUEENS,NY,11361,8173903116,"BELL BOULEVARD
QUEENS, NY 11361
(40.7642646310829, -73.7705291765119)"
ELECTRONICS STORE,900252,RADIOSHACK CORPOATION,RADIO SHACK #2686,781,BROADWAY,STORE 2686,MANHATTAN,NY,10003,8173903116,"BROADWAY
MANHATTAN, NY 10003
(40.7230936685816, -73.9883989313301)"
ELECTRONICS STORE,900257,RADIOSHACK CORPORATION,RADIO SHACK,114,FULTON STREET,STORE #2747,MANHATTAN,NY,10038,8173903116,"FULTON STREET
MANHATTAN, NY 10038
(40.7046485737606, -74.0032467380339)"
ELECTRONICS STORE,900260,RADIOSHACK CORPORATION,RADIO SHACK,22-32,31 STREET,STORE #2751,ASTORIA,NY,11105,8173903116,"31 STREET
ASTORIA, NY 11105
(40.780164644561, -73.9096093283432)"
ELECTRONICS STORE,900269,RADIOSHACK CORPORATION,RADIO SHACK,57-36,MYRTLE AVENUE,STORE #2623,GLENDALE,NY,11385,7183662236,"MYRTLE AVENUE
GLENDALE, NY 11385
(40.7033985161399, -73.8630604201066)"
ELECTRONICS STORE,900271,RADIOSHACK CORPORATION,,160-10,CROSS BAY BOULEVARD,STORE 2657,HOWARD BEACH,NY,11414,8173903116,"CROSS BAY BOULEVARD
HOWARD BEACH, NY 11414
(40.6664993332777, -73.8415846100469)"
ELECTRONICS STORE,901089,"A D R ELECTRONICS CENTER, INC",,1618,WESTCHESTER AVENUE,,BRONX,NY,10472,7186174417,"WESTCHESTER AVENUE
BRONX, NY 10472
(40.8329638409011, -73.8603444675781)"
ELECTRONICS STORE,903998,FRATERNAL BUSINESS SERVICES INC,HITEC COMPUTERS,108,DUANE STREET,,MANHATTAN,NY,10007,2123741008,"DUANE STREET
MANHATTAN, NY 10007
(40.7132191126998, -74.0081480430935)"
ELECTRONICS STORE,905375,E B A WHOLESALE CORP,,2361,NOSTRAND AVENUE,,BROOKLYN,NY,11210,7182524022,"NOSTRAND AVENUE
BROOKLYN, NY 11210
(40.6277835199164, -73.9458879790051)"
ELECTRONICS STORE,906712,B&H FOTO & ELECTRONIC CORP,B & H PHOTO VIDEO,420,NINTH AVENUE,,NY,NY,10001,2122061010,"NINTH AVENUE
NY, NY 10001
(40.749686620988, -73.9961510872227)"
ELECTRONICS STORE,908985,KLEAR-VIEW APPLIANCE CORP,,3707,NOSTRAND AVENUE,,BROOKLYN,NY,11235,7187430907,"NOSTRAND AVENUE
BROOKLYN, NY 11235
(40.5858751133509, -73.9390801112433)"
ELECTRONICS STORE,917901,RADIOSHACK CORPORATION,RADIO SHACK #2684,7,EAST   14 STREET,STORE 2684,NEW YORK,NY,10003,2128430146,"EAST   14 STREET
NEW YORK, NY 10003
(40.7230936685816, -73.9883989313301)"
ELECTRONICS STORE,924504,ALL NATIONS OFFICE MACHINES & SUPPLIES INC,ALL NATIONS OFFICE MACHINES & SUPPLIES,114-57,QUEENS BOULEVARD,,FOREST HILLS,NY,11375,7182689070,"QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.7209712685924, -73.8430684913952)"
ELECTRONICS STORE,927087,RADIOSHACK CORPORATION,,2048,ROCKAWAY PARKWAY,,BROOKLYN,NY,11236,8173903116,"ROCKAWAY PARKWAY
BROOKLYN, NY 11236
(40.6541426485952, -73.9122803147702)"
ELECTRONICS STORE,931754,NETWORK COMMUNICATIONS TECHNOLOGY CORP,,482,CONEY ISLAND AVENUE,,BROOKLYN,NY,11218,7186337704,"CONEY ISLAND AVENUE
BROOKLYN, NY 11218
(40.6506352926809, -73.9723010670056)"
ELECTRONICS STORE,934189,P C RICHARD & SON LONG ISLAND CORP.,,124,EAST   14 STREET,,NEW YORK,NY,10003,2122531820,"EAST   14 STREET
NEW YORK, NY 10003
(40.7230936685816, -73.9883989313301)"
ELECTRONICS STORE,953725,"R.K. VIDEO DUB, INC.",,60-15,ROOSEVELT AVENUE,,WOODSIDE,NY,11377,7186392881,"ROOSEVELT AVENUE
WOODSIDE, NY 11377
(40.7465210074448, -73.8945007182509)"
ELECTRONICS STORE,973825,"RODRIGUEZ, LUIS",QUISQUEYA AUTO SONIDO,3988,10 AVENUE,,NEW YORK,NY,10034,2125698196,"10 AVENUE
NEW YORK, NY 10034
(40.8668053288637, -73.9224066808201)"
ELECTRONICS STORE,974083,378 5TH PHOTO CORP.,42ND STREET PHOTO,378,5 AVENUE,,NEW YORK,NY,10018,2125946565,"5 AVENUE
NEW YORK, NY 10018
(40.7555771802799, -73.99392076859)"
ELECTRONICS STORE,976892,"SKYLIGHT PAGING SERVICES, INC.",,1050,FLATBUSH AVENUE,,BROOKLYN,NY,11226,7189400100,"FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.6440882283076, -73.9579568806383)"
ELECTRONICS STORE,977699,"CERTIFIED ALARM DISTRIBUTORS, INC",BEEPER WORLD,4319-4321,18 AVENUE,,BROOKLYN,NY,11218,7184352800,"18 AVENUE
BROOKLYN, NY 11218
(40.6437105130552, -73.9782275991788)"
ELECTRONICS STORE,978785,ULTRATECH AUTOTRONIC CORPORATION,SOUNDSATION,2311,FOREST AVENUE,,STATEN ISLAND,NY,10303,7183709706,"FOREST AVENUE
STATEN ISLAND, NY 10303
(40.6249506555241, -74.146283906794)"
ELECTRONICS STORE,979806,SOUND OF MARKET ELECTRONICS INC,,802,EAST TREMONT AVENUE,,BRONX,NY,10460,7182998384,"EAST TREMONT AVENUE
BRONX, NY 10460
(40.8399965391703, -73.8771168234245)"
ELECTRONICS STORE,989346,"BIG MAN CELLULAR, INC",,5101,16 AVENUE,,BROOKLYN,NY,11204,7189728163,"16 AVENUE
BROOKLYN, NY 11204
(40.618502516574, -73.9869060567615)"
ELECTRONICS STORE,989454,"LOCKDOCTOR LOCKSMITHS, INC.",,104-37,ATLANTIC AVENUE,,RICHMOND HILLS,NY,11418,7184416242,"ATLANTIC AVENUE
RICHMOND HILLS, NY 11418
(40.6972471534595, -73.8138854915445)"
ELECTRONICS STORE,995542,"OH, YOUNG M",SAM'S 1 HOUR PHOTO & GIFT,16-39,WOODBINE STREET,,RIDGEWOOD,NY,11385,7184173458,"WOODBINE STREET
RIDGEWOOD, NY 11385
(40.6985871432831, -73.8804353217126)"
ELECTRONICS STORE,998188,GOLDEN FISH ENTERPRISES INC.,,45-04,QUEENS BOULEVARD,,LONG ISLAND CTY,NY,11104,7183617770,"QUEENS BOULEVARD
LONG ISLAND CTY, NY 11104
(40.7461342989722, -73.9185845621955)"
ELECTRONICS STORE,999607,RADIOSHACK CORPORATION,RADIO SHACK #2829,37-66,82 ND STREET,,JACKSON HEIGHTS,NY,11372,7184153116,"82 ND STREET
JACKSON HEIGHTS, NY 11372
(40.7476451599815, -73.8839426776269)"
ELECTRONICS STORE,1001934,CARLOS M SUERO,UNO COMMUNICATION CENTER,714,WEST  181 STREET,BET.BDWAY.& BENNETT,NEW YORK,NY,10033,2129271111,"WEST  181 STREET
NEW YORK, NY 10033
(40.84950237302, -73.936921738373)"
ELECTRONICS STORE,1003945,ELITE ONE HOUR PHOTO INC,,472,KINGS HIGHWAY,,BROOKLYN,NY,11223,7186271900,"KINGS HIGHWAY
BROOKLYN, NY 11223
(40.6073329369701, -73.9618779246861)"
ELECTRONICS STORE,1015746,"PRIYA 98 ENTERPRISES, INC",,427,2 AVENUE,,NEW YORK,NY,10010,2126861196,"2 AVENUE
NEW YORK, NY 10010
(40.7387688515523, -73.9829400466123)"
ELECTRONICS STORE,1019040,"PARK SLOPE MUSICAL SERVICES, INC",JEFF BLOCH'S AMP & GUITAR WELLNESS CENTER,1700,10 AVENUE,,BROOKLYN,NY,11215,7183697080,"10 AVENUE
BROOKLYN, NY 11215
(40.6665353061589, -73.9802780534055)"
ELECTRONICS STORE,1029202,82ND STREET ELECTRONICS INC,,82-13,ROOSEVELT AVENUE,,QUEENS,NY,11372,7182052300,"ROOSEVELT AVENUE
QUEENS, NY 11372
(40.7518000277568, -73.882962416615)"
ELECTRONICS STORE,1036727,JUST MOBILE INC,MOBILE CITY,575,MADISON AVENUE,,NEW YORK,NY,10022,2125729888,"MADISON AVENUE
NEW YORK, NY 10022
(40.7588057463651, -73.9680023077056)"
ELECTRONICS STORE,1039556,RENT-A-CENTER INC #01940,RENT-A-CENTER INC,1230,CASTLETON AVENUE,,STATEN ISLAND,NY,10310,7184481993,"CASTLETON AVENUE
STATEN ISLAND, NY 10310
(40.6346723266608, -74.105553612087)"
ELECTRONICS STORE,1039562,"RENT-A-CENTER, INC",,1019,FLATBUSH AVENUE,#01890,BROOKLYN,NY,11226,7184629335,"FLATBUSH AVENUE
BROOKLYN, NY 11226
(40.6440882283076, -73.9579568806383)"
ELECTRONICS STORE,800405,RADIOSHACK CORPORATION,RADIO SHACK CMPTR CTR#2660,50,EAST   42 STREET,,NEW YORK,NY,10017,2123903116,"EAST   42 STREET
NEW YORK, NY 10017
(40.7522496887715, -73.9731014636117)"
ELECTRONICS STORE,898591,ADORAMA INC,,42,WEST   18 STREET,,NEW YORK,NY,10011,2127410401,"WEST   18 STREET
NEW YORK, NY 10011
(40.7423751328898, -74.0015380261782)"
ELECTRONICS STORE,898657,G & R AUDIO ELECTRONICS INC,,37-07,MAIN STREET,,QUEENS,NY,11354,7183586066,"MAIN STREET
QUEENS, NY 11354
(40.767520176829, -73.8270335796128)"
ELECTRONICS STORE,899791,P C RICHARD & SON L I CORP,,450,KINGS HIGHWAY,,BROOKLYN,NY,11223,7188434355,"KINGS HIGHWAY
BROOKLYN, NY 11223
(40.6073329369701, -73.9618779246861)"
ELECTRONICS STORE,899795,P C RICHARD & SON   L I CORP,P. C. RICHARD & SON,2143,FLATBUSH AVENUE,,BROOKLYN,NY,11234,7188434355,"FLATBUSH AVENUE
BROOKLYN, NY 11234
(40.5992660183672, -73.9110032774885)"
ELECTRONICS STORE,899837,PARK AVENUE AUDIO INC,,425,PARK AVENUE SOUTH,,NEW YORK,NY,10016,2126858101,"PARK AVENUE SOUTH
NEW YORK, NY 10016
(40.7507837938637, -73.9785963212107)"
ELECTRONICS STORE,900096,P C RICHARD & SON INC,P C RICHARD & SON,2259,RALPH AVENUE,,BROOKLYN,NY,11234,7188434355,"RALPH AVENUE
BROOKLYN, NY 11234
(40.6402391300222, -73.9194658977843)"
ELECTRONICS STORE,900223,RADIOSHACK CORPORATION,RADIO SHACK #2609,220,EAST  161 STREET,,BRONX,NY,10451,8173903116,"EAST  161 STREET
BRONX, NY 10451
(40.8127740613434, -73.9204011926947)"
ELECTRONICS STORE,900238,RADIOSHACK CORPORATION,RADIO SHACK #2752,153-85,CROSS ISLAND PARKWAY,,WHITESTONE,NY,11357,8173903116,"CROSS ISLAND PARKWAY
WHITESTONE, NY 11357
(40.7866307699516, -73.7950986543524)"
ELECTRONICS STORE,900239,RADIOSHACK CORPORATION,RADIO SHACK #2756,96-50,QUEENS BOULEVARD,,REGO PARK,NY,11374,8173903116,"QUEENS BOULEVARD
REGO PARK, NY 11374
(40.7270776651714, -73.8537974032048)"
ELECTRONICS STORE,900241,RADIOSHACK CORPORATION,RADIO SHACK,187-12,HORACE HARDING EXPRESSWAY,STORE #2762,FRESH MEADOWS,NY,11365,8173903116,"HORACE HARDING EXPRESSWAY
FRESH MEADOWS, NY 11365
(40.7392185125669, -73.8150456169623)"
ELECTRONICS STORE,900249,RADIOSHACK CORPORATION,,1251,LEXINGTON AVENUE,STORE #2676,MANHATTAN,NY,10028,2123903116,"LEXINGTON AVENUE
MANHATTAN, NY 10028
(40.7761536683103, -73.9525789349031)"
ELECTRONICS STORE,900250,RADIOSHACK CORPORATION,RADIO SHACK #2678,9,BROADWAY,STORE 2678,MANHATTAN,NY,10004,2123903116,"BROADWAY
MANHATTAN, NY 10004
(40.6896298958713, -74.0192097040539)"
ELECTRONICS STORE,900272,RADIOSHACK CORPORATION,,5401,KINGS PLAZA,STORE #2664,BROOKLYN,NY,11234,8173903116,"KINGS PLAZA
BROOKLYN, NY 11234
(40.6130346386358, -73.9175053757604)"
ELECTRONICS STORE,900275,RADIOSHACK CORPORATION,RADIO SHACK,760,MANHATTAN AVENUE,STORE #2761,BROOKLYN,NY,11222,8173903116,"MANHATTAN AVENUE
BROOKLYN, NY 11222
(40.7187049770786, -73.9467873010344)"
ELECTRONICS STORE,900280,RADIOSHACK CORPORATION,,2461,FLATBUSH AVENUE,STORE #2809,BROOKLYN,NY,11234,8173903116,"FLATBUSH AVENUE
BROOKLYN, NY 11234
(40.5992660183672, -73.9110032774885)"
ELECTRONICS STORE,900282,RADIOSHACK CORPORATION,,1569,FLATBUSH AVENUE,STORE #2820,BROOKLYN,NY,11210,8173903116,"FLATBUSH AVENUE
BROOKLYN, NY 11210
(40.6319833537932, -73.9467693145938)"
ELECTRONICS STORE,900284,RADIOSHACK CORPORATION,,490,NEPTUNE AVENUE,STORE #2823,BROOKLYN,NY,11224,8173903116,"NEPTUNE AVENUE
BROOKLYN, NY 11224
(40.5776283303423, -73.9976079889101)"
ELECTRONICS STORE,900303,"KAUFMAN, DAVID",KAUFMAN ELECTRONICS & SHIPPING CO,52,LEE AVENUE,,BROOKLYN,NY,11211,7183881915,"LEE AVENUE
BROOKLYN, NY 11211
(40.7049543432506, -73.9590900263952)"
ELECTRONICS STORE,900788,CANAL HI-FI INC,,319,CANAL STREET,,NEW YORK,NY,10013,2129256575,"CANAL STREET
NEW YORK, NY 10013
(40.716753448275, -73.9973921516231)"
ELECTRONICS STORE,913513,BEST HOUSEKEEPING INDUSTRIES INC,,17,AVENUE A,,NEW YORK,NY,10009,2126778808,"AVENUE A
NEW YORK, NY 10009
(40.7304771024421, -73.9803140262867)"
ELECTRONICS STORE,920181,PHOTO HABITAT INC,PHOTO HABITAT,928,BROADWAY,ROOM,MANHATTAN,NY,10010,2124735665,"BROADWAY
MANHATTAN, NY 10010
(40.7387688515523, -73.9829400466123)"
ELECTRONICS STORE,927086,RADIOSHACK CORPORATION,RADIO SHACK #2773,75-45,31 AVENUE,STORE #2773,JACKSON HGTS,NY,11370,8173903116,"31 AVENUE
JACKSON HGTS, NY 11370
(40.7593813124638, -73.8918477182644)"
ELECTRONICS STORE,939487,SAFENET COMPUTER INC,,9,WEST   29 STREET,,NEW YORK,NY,10001,2122133113,"WEST   29 STREET
NEW YORK, NY 10001
(40.749686620988, -73.9961510872227)"
ELECTRONICS STORE,943900,51 COMPUTERS LLC,51 COMPUTERS & ELECTRONICS,780,7 AVENUE,,NEW YORK,NY,10019,2123333669,"7 AVENUE
NEW YORK, NY 10019
(40.7663420649706, -73.9887856398027)"
ELECTRONICS STORE,946942,MOON ELECTRONICS INC,,30-69,STEINWAY STREET,,ASTORIA,NY,11103,7187775538,"STEINWAY STREET
ASTORIA, NY 11103
(40.7691119768209, -73.9106075757957)"
ELECTRONICS STORE,952027,APPLIANCE CLEARANCE CENTER INC,,215-03,HORACE HARDING BLVD,,QUEENS,NY,11364,7182244344,"HORACE HARDING BLVD
QUEENS, NY 11364
(40.7453968549082, -73.7712846070165)"
ELECTRONICS STORE,960522,DUKE'S ELECTRONICS CORP,,163-28,JAMAICA AVENUE,,JAMAICA,NY,11432,7182911599,"JAMAICA AVENUE
JAMAICA, NY 11432
(40.7030567737688, -73.8010791458472)"
ELECTRONICS STORE,971055,CIRCUIT CITY STORES INC,CIRCUITY CITY,625,ATLANTIC AVENUE,,BROOKLYN,NY,11217,8045274000,"ATLANTIC AVENUE
BROOKLYN, NY 11217
(40.6835414857329, -73.976240097494)"
ELECTRONICS STORE,977788,G S COMMUNICATIONS USA INC,,179,GREENPOINT AVENUE,,BROOKLYN,NY,11222,7183897371,"GREENPOINT AVENUE
BROOKLYN, NY 11222
(40.7331480888691, -73.9405639925916)"
ELECTRONICS STORE,988636,RADIOSHACK CORPORATION,,3544-46,JOHNSON AVENUE,,BRONX,NY,10463,8174153116,"JOHNSON AVENUE
BRONX, NY 10463
(40.8776061864356, -73.9191061689725)"
ELECTRONICS STORE,989308,"B H F, INC",,2013,MOTT AVENUE,,FAR ROCKAWAY,NY,11691,7183275050,"MOTT AVENUE
FAR ROCKAWAY, NY 11691
(40.6118565267774, -73.770133474819)"
ELECTRONICS STORE,995626,"HILDEBRAND, MARC & JAY",S & L APPLIANCE CO,40-03,BELL BOULEVARD,,BAYSIDE,NY,11361,7182253300,"BELL BOULEVARD
BAYSIDE, NY 11361
(40.7557840243466, -73.7671387324614)"
