PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Immigration Services,Immigrant Support Services",Legal Services,"Sanctuary for Families, Inc. (Manhattan) ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.",212.349.6009           ext. 264,All Ages,
"Immigration Services,Immigrant Support Services",Legal Services,Family Justice Centers in Queens and Brooklyn ,"Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.",212.349.6009           ext. 264,All Ages,
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront Y                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,Adult,"3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront YM-YWHA                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),718-646-1444,All Ages,"3300 Coney Island Av
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Kensington Self-Help ,Brooklyn,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"419 Church Ave
Brooklyn, NEW YORK 11218
(40.64409707953028, -73.97640972645803)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Queens Jewish Community Council,Forest Hills,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"119 45 Union Turnpike
Forest Hills, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Mercy Center,Bronx,New York Legal Assistance Group (NYLAG),212-613-5000,All Ages,"377 145th St
Bronx, NEW YORK 10454
(40.81385583017525, -73.92035529273)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Bronx Neighborhood Office, Legal Aid Society",Bronx,The Legal Aid Society,718.991.4758,Adult,"953 Southern Blvd
Bronx, NEW YORK 10459
(40.82138697876596, -73.89168233735057)"
"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Brooklyn Neighborhood Office, Legal Aid Society ",Brooklyn,The Legal Aid Society,718.422.2765,Adult,"111 Livingston St
Brooklyn, NEW YORK 11201
(40.69109687573092, -73.98955322065659)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,CAMBA,Brooklyn,"CAMBA, Inc.",718-940-6311 ,All Ages,"2211 Church Av
Brooklyn, NEW YORK 11226
(40.65044686678422, -73.95854532388019)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,"Catholic Charities Community Service, Archdiocese of N Y",Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,"1011 First Avenue
Manhattan, NEW YORK 10022
(40.7572783324888, -73.96371387829234)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,"Tolentine -Zeiser Community Life Center/ St, Rita",Bronx,"Catholic Charities Community Service, Archdiocese of N Y",718-365-4360 ,Adult,"2342 Andrews Av (near Fordham Rd
Bronx, NEW YORK 10468
(40.869693003729196, -73.89892699248668)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,St.Cecilia's Community Center ,Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-348-0488,All Ages,"125 105th Street
Manhattan, NEW YORK 10029
(40.79190439287778, -73.9475075400997)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Washington Heights Ecumenical Food Pantry (WHEFP),Manhattan,"Catholic Charities Community Service, Archdiocese of N Y",212-419-3700,All Ages,"4111 Broadway
Manhattan, NEW YORK 10033
(40.845160338750205, -73.93878884162382)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,El Centro de Hospitalidad ,Staten Island,"Catholic Charities Community Service, Archdiocese of N Y",718-420-6466 646-772-0096,All Ages,"1546 Castleton Avenue
Staten Island, NEW YORK 10302
(40.63589249589933, -74.13449607767508)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718- 293-0727,All Ages,"2070 Grand Concourse
Bronx, NEW YORK 10457
(40.85309059209145, -73.90280877587541)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Citizens Advice Bureau - Immigration Assistance Center,Bronx,Citizens Advice Bureau,718-365-0910,All Ages,"1477 Townsend Ave
Bronx, NEW YORK 10452
(40.841513488175195, -73.9156620372896)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Northern Manhattan Improvement Corporation (NMIC),Manhattan,Northern Manhattan              Improvement Corporation,212-822-8319,All Ages,"76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Chinese Consolidated Benevolent Asociation of New York,Manhattan,Northern Manhattan   Improvement Corporation,212-822-8319,All Ages,"62 Mott St
Manhattan, NEW YORK 10013
(40.71607633471377, -73.9981586658295)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,York College Immigration     Center ? CUNY ,Queens,Research Foundation of CUNY,718-262-2983,All Ages,"20 Guy R Brewer Blvd
Queens, NEW YORK 11451
(40.70259499975947, -73.79562300040112)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Flushing Immigration Center - CUNY,Queens,Research Foundation of CUNY,718-640-9223,All Ages,"39 07 Prince St
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,LaGuardia Community College Immigration Center - CUNY,Queens,Research Foundation of CUNY,718-482-5139,All Ages,"166 Queens
NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Safe Horizon - Immigration Law Project,"Manhattan,Bronx,Queens,Staten Island, Brooklyn","Safe Horizon, Inc.",,All Ages,
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Center for Battered Women,Manhattan,Sanctuary for Families,212-349-6009,All Ages,"1406 Wall Street Station
Manhattan, NEW YORK 10268
(40.70545300025583, -74.00695600011926)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Family Justice Center,Kew Gardens,Sanctuary for Families,212-349-6009 ,All Ages,"126 02 82nd Ave
Kew Gardens, NEW YORK 11415
(40.708286075142325, -73.82855612156771)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Family Justice Center,Brooklyn,Sanctuary for Families,212-349-6009,All Ages,"350 Jay Street
Brooklyn, NEW YORK 11201
(40.69351957615995, -73.98726442001791)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,The Lower Manhattan Neighborhood Office,Manhattan,The Legal Aid Society,212-577-3292 ,All Ages,"199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646016, -74.00463169395886)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Crown Heights Community Mediation,Brooklyn,The Legal Aid Society,212-577-3292 ,All Ages,"256 Kingston Avenue
Brooklyn, NEW YORK 11213
(40.67079925857397, -73.94209318254946)"
"Immigration Services,Immigrant Support Services",Legal Assistance Program,Queens Community House,Queens,The Legal Aid Society,212-577-3292 ,All Ages,"108 25 62nd Drive
Queens, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,The Door,Manhattan,The Door - A Center of Alternatives,212-941-9090 ext. 3280,5-20,"121 6th Avenue
Manhattan, NEW YORK 10013
(40.72398399739069, -74.00464968039944)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Legal Aid - Juvenile Rights Division,Manhattan,The Legal Aid Society,212.577.3328,5-20,"199 Water Street
Manhattan, NEW YORK 10038
(40.70708573646016, -74.00463169395886)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Hetrick Martin Institute ,Manhattan,Urban Justice Center,646.602.5633,5-20,"2 Astor Place
Manhattan, NEW YORK 10003
(40.73004972130843, -73.99278994498403)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Ali Forney Center,Manhattan,Urban Justice Center,646-602-5633,5-20,"527 22nd Street
Manhattan, NEW YORK 10011
(40.74739972392154, -74.00552562193494)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Urban Justice Center at the Streetwork Project,Manhattan,Urban Justice Center,646-602-5633,5-20,"209 125 Street
Manhattan, NEW YORK 10027
(40.809154206198805, -73.94868347483566)"
"Immigration Services,Immigrant Support Services",Legal Services - Immigrant Youth,Peter Cicchino Youth Project (PCYP),Manhattan,Urban Justice Center,646-602-5633,5-20,"123 William Street
Manhattan, NEW YORK 10038
(40.70909122458545, -74.006906978693)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Alianza Dominicana, Inc. (Admin & Activity site)",Bronx,"Alianza Dominicana, Inc.",212.740.1960,18+,"1257 Ogden Avenue
Bronx, NEW YORK 10452
(40.83927054580515, -73.92578827979769)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Admin Site)",Manhattan,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"223 30th Street
Manhattan, NEW YORK 10033
(40.85621992920642, -73.94585900019268)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Bronx,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Brooklyn,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"280 Shepherd Avenue
Brooklyn, NEW YORK 11208
(40.67773088441804, -73.88173831485612)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,"Big Brothers/Big Sisters, Inc. (Activity Site)",Jamaica,"Big Brothers/Big Sisters, Inc.",212.994.7742,11-14,"89 56 162nd Street
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Cabrini Immigrant Services (Admin & Activity site),Manhattan,Cabrini Center for Nursing & Rehabilitation,212.791.4590,18+,"139 Henry Street
Manhattan, NEW YORK 10002
(40.713327031343454, -73.99078213470762)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,JFK High School - Children's Arts & Science,Bronx,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,"99 Terrace View Avenue
Bronx, NEW YORK 10463
(40.877210772673564, -73.91213621128965)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Children's Arts & Sciences Workshops (Admin & Activity site),Manhattan,Children's Arts & Sciences Workshops,212-923-7766,11+,"686 204th Street
Manhattan, NEW YORK 10034
(40.867820783175965, -73.92367507747998)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Harbor Heights Middle School - Children's Arts & Science,Manhattan,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,"549 Audubon Avenue
Manhattan, NEW YORK 10040
(40.856389753646916, -73.92672451121956)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Goodwill Industries Greater NY-NJ (Admin & Activity site),Brooklyn,Goodwill Industries of Greater New York,718.339.0937,11+,"1416 Avenue
Brooklyn, NEW YORK 11230
(40.62192951023877, -73.96551106018723)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Make the Road New York (Admin & Activity site),Staten Island,Make the Road New York,718.565.8500 718.727.1222,18+,"479 Port Richmond Av
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Center for Integration and Advancement of New Americans (CIANA),Queens,New Immigrant Community Empowerment (NICE),718.545.4040,All Ages,"31 09 Newtown Avenue
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Immigration Services,Immigrant Support Services",Services - Immigrant Families,New Immigrant Community Empowerment (NICE) (Admin & Activity site),Queens,New Immigrant Community Empowerment (NICE),718.205.8796,18+,"37 41 77th Street
Queens, NEW YORK 10302
(40.63083331110846, -74.13773429869889)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Asian Americans for Equality - Queens,Queens,Asian Americans for Equality - Queens,718.961.0888 or 212.979.8381,Adult,"133 04 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,COJO Flatbush,Brooklyn,Council of Jewish Organizations of Flatbush (COJO),718.377.2900,Adult,"1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61969757437525, -73.96431415429318)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,St. George's Episcopal Church,Queens,Flushing Jewish Community Council,718.463.0434,ESOL/Civics,"135 33 38th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Henry Street Settlement - Workforce Development Center ,Manhattan,"Henry Street Settlement, Inc. ",212.766.9200,ESOL/Civics,"99 Essex Street
Manhattan, NEW YORK 10002
(40.71844741559961, -73.98830122278652)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights-Elmhust Kehilah,Queens,"Jackson Heights-Elmhust Kehilah, Inc.",718.457.4591,ESOL/Civics,"33 47 91st Street (Jackson Heights
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Make the Road New York-Jackson Heights Center,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Make the Road New York ,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"49 06 Skillman Avenue
Queens, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights Program,Queens,"Queens Community House, Inc.",718.592.5757 or 718.898.7461,Adult,"74 09 37th Avenue (Jackson Heights
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,"Homecrest Community Services, Inc.",Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adult,"1413 Avenue
Brooklyn, NEW YORK 11229
(40.60123350732056, -73.94436854117521)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jay Senior Center,Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adult,"2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925353555, -73.95126983806618)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,ESOL/Civics,"250 Hooper Street
Brooklyn, NEW YORK 11211
(40.70581785170525, -73.9556640768342)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,Adult,"280 Marcy Avenue
Brooklyn, NEW YORK 11211
(40.70499449388848, -73.95589166067984)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,United Communities Centers ,Brooklyn,United Communities Centers,718-649-7979,All Ages,"613 New Lots Ave
Brooklyn, NEW YORK 11207
(40.66472649825768, -73.88659110359023)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Northern Manhattan Improvement Corporation (NMIC),Manhattan,Northern Manhattan              Improvement Corporation,212-822-8300,All Ages,"76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,F.E.G.S. Brooklyn Resource Center [Program site],Brooklyn,"Federation of Employment and Guidance Services, Inc.",718-336-2836x330 ,Adult,"938 Kings Highway
Brooklyn, NEW YORK 11233
(40.60700851986621, -73.96282101223699)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrats,"Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)",Brooklyn,Goodwill Industries of Greater New York,718- 339-0939 ,Adult,"1416 Avenue M
Brooklyn, NEW YORK 11230
(40.61789996472653, -73.96077504128672)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,"Goodwill Industries of NY & Northern NJ, Refugee and Immigrant Services (Program Site 2)",Brooklyn,Goodwill Industries of Greater New York,718-339-0939 ,Adult,"1222 Avenue M
Brooklyn, NEW YORK 11230
(40.61772526251982, -73.96227992950067)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Brooklyn,Make the Road New York,718-418-7690 X 205,Adult,"391 Grove Street
Brooklyn, NEW YORK 11237
(40.7008190928138, -73.91333075450414)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Jackson Heights,Make the Road New York,718-418-7690 X 205 ,Adult,"92 10 Roosevelt Avenue
Jackson Heights, NEW YORK 13372
(40.751979000030815, -73.88282399992767)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Staten Island,Make the Road New York,718-727-1222 718 418-7690 X 205 ,Adult,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
