Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
Aaccapella Light Sound Organization Plus,10459,(646) 453-3535,"Multi-Discipline, Non-Perform",,Brooklyn Community Board #2,Brooklyn,"851A Prospect Avenue
Bronx, NY
(40.82004031271787, -73.9015127929308)"
"Aaron Davis Hall, Inc.",10031,(212) 281-9240,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"150 Convent Avenue
New York, NY
(40.81925973923673, -73.95020842077318)"
Abingdon Theatre Company,10018,(212) 868-2055 x224,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"312 36th Street
New York, NY
(40.655644255399565, -74.00666248659343)"
Abraham Lincoln Brigade Archives,10003,(212) 674-5398,Humanities,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"799 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Abundant Waters, Inc.",10036,(212) 564-2589,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"400 43rd St
New York, NY
(40.6502948561274, -74.00839246760711)"
Academy of American Poets,10012,(212) 274-0343 x19,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"584 Broadway
New York, NY
(40.72482936009823, -73.99727523975918)"
"Action Arts League, Inc.",10012,(212) 333-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"10 Spring Street
New York, NY
(40.72120509232013, -73.99446935502777)"
Actors Company Theatre,10003,(212) 645-8228,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"900 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Actors' Fund of America,10019,(917) 281-5924,Other,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"729 Seventh Avenue
New York, NY
(40.76038855313675, -73.98380339576028)"
"African Cultural Center, Inc.",10163,(646) 289-1877,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"3147 New
York, NY
(43.20390300022325, -76.94420299966868)"
African Diaspora Film Festival,10025,(212) 864-1760,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #9,Manhattan,"535 Cathedral Parkway
New York, NY
(40.80341753906288, -73.96481883597038)"
"African Film Festival, Inc.",10011,(212) 352-1720,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"154 18th Street
New York, NY
(40.6646476142532, -73.994400176362)"
"African Voices Communications, Inc.",10025,(212) 865-2982,Literature,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"270 96th Street
New York, NY
(40.61671127106331, -74.03448227161995)"
"Afrikan Poetry Theatre, Inc.",11432,(718) 523-3312,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,"176 03 Jamaica Avenue
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Afro Brazil Arts,10002,(212) 677-2203,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"Afro-Asian, Inc.",10002,(212) 253-2280,Music,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
Afro-Heritage Venture,11208,(718) 510-5575,Folk Arts,Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,"901 Drew Street
Brooklyn, NY
(40.66708898314317, -73.86030439391371)"
"Agudath Israel of America Community Services, Inc.",10004,(212) 797-9000 x260,Humanities,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"42 Broadway
New York, NY
(40.7062044008714, -74.01295941595015)"
"Aims of Modzawe, Inc.",11412,(347) 231-2595,Dance,,Queens Community Board #12,Queens,"187 40 Quencer Road
St Albans, NY
"
Alchemy Theatre Company of Manhattan,10036,(212) 967-0901,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"412 42nd Street
New York, NY
(40.65069179721745, -74.00754633691358)"
"Alianza Dominicana, Inc.",10033,(212) 740-1960,Folk Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,"2410 Amsterdam Avenue
New York, NY
(40.847155142523604, -73.93158875873911)"
"All Out Arts, Inc.",10016,(917) 701-9033,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"145 27th Street
New York, NY
(40.660691427138396, -74.0013267517768)"
"Alley Pond Environmental Center, Inc.",11362,(718) 229-4000 x209,Science,Queens Council District #19,Queens Community Board #11,Queens,"228 06 Northern Blvd
Douglaston, NY
(40.76087800031945, -73.73213199979193)"
"Alliance for Downtown New York, Inc",10271,(212) 835-2740,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"120 Broadway
New York, NY
(40.708443712724375, -74.011142785451)"
Alliance for Inclusion in the Arts,10036,(212) 730-4750,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"1560 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Alliance for Young Artists and Writers, Inc.",10012,(212) 343-7702,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"557 Broadway
New York, NY
(40.72388507196746, -73.99805764992465)"
"Alliance for the Arts, Inc.",10036,(212) 947-6340,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"330 42nd Street
New York, NY
(40.65171004363067, -74.00922665143896)"
"Alliance for the Development of Theatre Artists, Inc.",10018,(212) 447-6309,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"520 Eighth Ave
New York, NY
(40.75376054978079, -73.99232896859803)"
"Alliance of Queens Artists, Inc.",11375,(718) 520-9842,Visual Arts,Queens Council District #29,,Queens,"99 10 Metropolitan Avenue
Forest Hills, NY
(40.7229840002114, -73.84189400010803)"
"Alliance of Resident Theatres / New York, Inc.",10018,(212) 244-6667 x228,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"Allied Productions, Inc.",10009,(212) 529-8815,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"20260 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Alpha Omega 1-7 Theatrical Dance Company, Inc.",10025,(212) 749-0095,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"711 Amsterdam Avenue
New York, NY
(40.79308975209571, -73.97103165143749)"
"Alpha Workshops, Inc.",10001,(212) 594-7320,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"245 29th Street
New York, NY
(40.5983222834156, -73.99877708830557)"
"Alvin Ailey Dance Foundation, Inc.",10019,(212) 405-9015 x220,Dance,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,
Alwan Foundation,10004,(212) 967-4318,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"16 Beaver Street
New York, NY
(40.704965636653725, -74.01246636368988)"
"Amas Musical Theatre, Inc.",10012,(212) 563-2565,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"115 MacDougal Street
New York, NY
(40.730054421088425, -74.00043186008202)"
American Academy of Dramatic Arts,7307,(212) 686-9244 x317,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"120 Madison Ave
New York, NY
(40.74542383456918, -73.98464875846781)"
American Ballroom Theater,10001,(212) 244-9442,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"25 31st Street
New York, NY
(40.60088268592311, -73.99360534107608)"
"American Bolero Dance Company, Inc.",11101,(718) 392-8888,Dance,Queens Council District #26,Queens Community Board #2,Queens,"42 24 9th Street
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
American Center for the Musical Arts,10023,(718) 680-1680,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"201 72nd Street
New York, NY
(40.63417299487841, -74.02960441813995)"
American Composers Orchestra,10001,(212) 977-8495 x203,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"240 35th Street
New York, NY
(40.595372292965905, -73.99466765159636)"
American Documentary,11201,(212) 989-8121 x307,Film/Video/Audio,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"20 Jay Street
Brooklyn, NY
(40.70439619254292, -73.98661051423608)"
American Folk Art Museum,10022,(212) 265-1040 x114,Museum,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"49 52nd Street
New York, NY
(40.583613830254265, -73.98688639564655)"
American Friends of the Ludwig Foundation of Cuba,10021,(212) 628-3494,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"3 69th Street
New York, NY
(40.638807579623716, -74.03582880708115)"
"American Globe Theatre, Ltd.",10036,(212) 869-9809,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"145 46th Street
New York, NY
(40.58947697859646, -73.98755572902552)"
"American Indian Artists, Inc.",10003,(212) 598-0968,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"15 Rutherford Place
New York, NY
(40.7339565131064, -73.98484235654298)"
"American Indian Community House, Inc.",10004,(212) 598-0100 x232,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"11 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
American Institute of Graphic Arts,10010,(212) 710-3125,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"164 Fifth Avenue
New York, NY
(40.740549509170364, -73.990332473693)"
American Jewish Historical Society,10011,(212) 294-6160,Humanities,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"15 16th Street
New York, NY
(40.66793785949226, -73.99571019380892)"
American Latin Association of New York,10452,(646) 260-3382,"Multi-Discipl, Perf & Non-Perf",,Brooklyn Community Board #2,Brooklyn,"14 170th st
Bronx, NY
(40.840099195480995, -73.91742697304375)"
"American Lyric Theater Center, Inc.",10019,(646) 216-8298,Music,Manhattan Council District #4,Manhattan Community Board #3,Manhattan,"458 52nd Street
New York, NY
(40.64451464569626, -74.01241306949706)"
American Modern Ensemble Inc.,10036,(212) 349-7009,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"400 43rd Street
New York, NY
(40.6502948561274, -74.00839246760711)"
American Museum of Natural History,10024,(212) 769-5000,Museum,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"Central Park
New York, NY
(40.793986644082935, -73.95874343538362)"
American Museum of the Moving Image,11106,(718) 784-4520,Film/Video/Audio,Queens Council District #26,Queens Community Board #1,Queens,"36 01 35th Avenue
Astoria, NY
"
"American Music Center, Inc.",10001,(212) 366-5260 x13,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"322 8th Avenue
New York, NY
(40.74736637015246, -73.99696947026922)"
"American Opera Projects, Inc.",11217,(718) 398-4024,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
"American Place Theatre, Inc.",10018,(212) 594-4482 x11,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"266 37th Street
New York, NY
(40.593541175239, -73.99453791183095)"
American Symphony Orchestra League,10023,(646) 822-4039,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"33 60th Street
New York, NY
(40.64331239065289, -74.02245992956189)"
"American Symphony Orchestra, Inc.",10018,(212) 868-9276 x16,Music,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,"263 38th Street
New York, NY
(40.59307057109561, -73.993451879271)"
"American Tap Dance Foundation, Inc.",10014,(646) 230-9564,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"154 Christopher Street
New York, NY
(40.73277459667643, -74.00787725874181)"
American Theatre Wing,10018,(212) 765-0606 x302,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"570 Seventh Avenue
New York, NY
(40.75520845824798, -73.98756256184276)"
American Theatre of Harlem,11217,(718) 857-2783,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #5,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
"American Turkish Society, Inc.",10017,(212) 583-7614,Film/Video/Audio,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"3 Dag Hammarskjold Plaza
New York, NY
(40.756053999992105, -73.9869510002884)"
"Americas Society, Inc.",10065,(212) 277-8334,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"680 Park Avenue
New York, NY
(40.76871627512804, -73.96570004331045)"
Amigos del Museo del Barrio,10029,(212) 831-7272,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1230 Fifth Avenue
New York, NY
(40.79327675974827, -73.95185048405926)"
"An Claidheamh Soluis, Inc.",10019,(212) 757-3318 x205,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"553 51st Street
New York, NY
(40.74245910893207, -73.9564045794515)"
"Annabella Gonzalez Dance Theater, Inc.",10128,(212) 722-4128,Dance,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"4 89th Street
New York, NY
(40.623223509756244, -74.03988616912693)"
"Anne Frank Center USA, Inc.",10013,(212) 431-7993 x301,Humanities,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"38 Crosby Street
New York, NY
(40.721293725383845, -73.99917181541697)"
"Ansonia Music Outreach Organization, Inc.",10040,(212) 567-3554,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"330 Wadsworth Avenue
New York, NY
(40.85526702722791, -73.93100419942004)"
"Anthology Film Archives, Inc.",10003,(212) 505-5181 x11,Film/Video/Audio,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"32 Second Avenue
New York, NY
(40.724802380437325, -73.99043139911623)"
Anthropology Museum of the People of New York,11367,(718) 428-5650,Museum,Queens Council District #24,Queens Community Board #8,Queens,"64 19 Kissena Boulevard
Flushing, NY
(40.76461099979775, -73.8234619999713)"
"Anti-Social Music, Inc.",11232,(646) 489-8791,Music,Brooklyn Council District #33,Brooklyn Community Board #8,Brooklyn,"213 27th Street
Brooklyn, NY
(40.65906812489191, -73.99864307672159)"
"Aperture Foundation, Inc.",10001,(212) 946-7117,Photography,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"547 27th Street
New York, NY
(40.75089300625506, -74.00385492787194)"
ApexArt Curatorial Program,10013,(212) 431-5270,Visual Arts,Manhattan Council District #1,Manhattan Community Board #10,Manhattan,"291 Church Street
New York, NY
(40.71911866521219, -74.00464968039944)"
"Apollo Theater Foundation, Inc.",10027,(212) 531-5332,"Multi-Discipline, Performing",Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"253 125th Street
New York, NY
(40.80964592432598, -73.94984999762671)"
"Appleby Foundation, Inc.",10012,(212) 431-8489,Dance,Manhattan Council District #2,Manhattan Community Board #1,Manhattan,"4B Apt
New York, NY
(40.756053999992105, -73.9869510002884)"
"Aquila Theatre Company, Inc.",10003,(212) 992-9642,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"4 Washington Square
New York, NY
(40.756053999992105, -73.9869510002884)"
"Arab American Association of NY, Inc.",11209,(718) 745-3523,"Multi-Discipline, Performing",Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,"7111 5th Avenue
Brooklyn, NY
(40.63245112562076, -74.02139571101452)"
"Archipelago Books, Inc.",11215,(718) 852-6134,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"232 Third Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Architectural League of New York,10012,(212) 753-1722,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"594 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Arete Living Arts Foundation,11222,(718) 349-1681,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"64 Dupont St
Brooklyn, NY
(40.73559293511368, -73.95769238491252)"
Argento New Music Project,10027,(212) 665-4444,Music,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,"552 Riverside Drive
New York, NY
(40.81629041047802, -73.96049296876083)"
Armitage Foundation Ltd.,10038,(212) 431-4314,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"139 Fulton Street
New York, NY
(40.710404268669485, -74.00801908848351)"
"Around the Block, Inc.",10010,(212) 673-9187,Theater,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"5 22nd Street
New York, NY
(40.60530595367418, -73.99986133142657)"
"Ars Nova Theater I, Inc",10019,(212) 489-9800 x139,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #4,Manhattan,"511 54th Street
New York, NY
(40.64272680339309, -74.012344619671)"
Art Connects New York,10012,(646) 546-5334,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"491 Broadway
New York, NY
(40.72193354316386, -73.99971240245861)"
"Art Directors Club, Inc.",10001,(212) 643-1440,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"106 29th Street
New York, NY
(40.60026719441419, -73.99683525241296)"
Art Education for the Blind,10012,(212) 334-8720,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"589 Broadway
New York, NY
(40.72488331941997, -73.99723027365769)"
Art For Progress,10013,(212) 475-4185,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #2,Manhattan,"133 Mulberry Street
New York, NY
(40.71856108555397, -73.99767993467236)"
"Art Lab, Inc.",10301,(718) 447-8667,Visual Arts,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"1000 Richmond Terrace
Staten Island, NY
(40.60667400010499, -74.16240100000613)"
Art Loisaida Foundation,10009,(212) 674-4057,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"608 9th St
New York, NY
(40.72614774654588, -73.98008208651783)"
Art Omi Inc.,10003,(212) 206-5660,"Multi-Discipline, Performing",Manhattan Council District #2,Brooklyn Community Board #3,Manhattan,"55 Fifth Avenue
New York, NY
(40.73486579394523, -73.99443338214661)"
"Art Radio International, Inc.",10013,(212) 233-1096,New Media,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"108 Leonard Street
New York, NY
(40.716341124663174, -74.00303414792295)"
"Art Resources for Teachers and Students, Inc.",10002,(212) 962-8231,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"134 Henry Street
New York, NY
(40.713327031343454, -73.99085408047)"
Art Students League of New York,10019,(212) 247-4510 x108,Visual Arts,Manhattan Council District #7,Manhattan Community Board #5,Manhattan,"215 57th Street
New York, NY
(40.64498362048356, -74.02063125504893)"
"Art Sweats, Inc.",10003,(212) 677-2503,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"140 Second Avenue
New York, NY
(40.7289932210939, -73.9873647109963)"
"Art for Change, Inc.",10029,(212) 348-7044,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1699 Lexington Avenue
New York, NY
(40.79262025466687, -73.94600489086878)"
"Art in General, Inc.",10013,(212) 219-0473 x36,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"79 Walker Street
New York, NY
(40.7182733025046, -74.0017448702448)"
"Art of the Early Keyboard, Inc.",10023,(212) 967-9157,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"170 73rd Street
New York, NY
(40.63354402683724, -74.03032717205355)"
"Art's House Schools, Inc.",11224,(718) 996-2000,Dance,Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,"1001 1003 Surf Avenue
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Art21, Inc.",10013,(212) 741-7133,Visual Arts,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"286 Spring Street
New York, NY
(40.725775252216565, -74.00726847278204)"
"ArtCouncil, Inc.",10001,(212) 727-2233 x207,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"210 Eleventh Avenue
New York, NY
(40.74995641759688, -74.00618752106953)"
"ArteEast, Inc.",10001,(718) 282-5938,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"1178 Broadway
New York, NY
(40.745297929485105, -73.98874966692142)"
"Arthur Aviles Typical Theatre, Inc.",10474,(718) 842-5223,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx,"740082 New
York, NY
(43.20390300022325, -76.94420299966868)"
Artichoke Dance Company,11217,(917) 627-8770,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"121 Sterling Place
Brooklyn, NY
(40.67738941436918, -73.97437637248912)"
Artist Exchange International on Broadway,10002,(212) 226-5169,Visual Arts,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"Artists Alliance, Inc.",10002,(212) 420-9202,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
Artists Space,10013,(212) 226-3970 x307,Visual Arts,Manhattan Council District #8,Manhattan Community Board #1,Manhattan,"38 Greene Street
New York, NY
(40.72156693854282, -74.00218750170119)"
"Artists Unite, Inc.",10033,(917) 312-6691,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"730 183rd Street
New York, NY
(40.8519587885114, -73.93719123277847)"
"Artists in Residence, Inc.",11201,(212) 255-6651,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"111 Front Street
Brooklyn, NY
(40.70252529696614, -73.98893310647888)"
"Arts & Business Council, Inc.",10022,(212) 279-5910 x1119,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"1 53rd Street
New York, NY
(40.64871982239463, -74.02077646730692)"
"Arts Connection, Inc.",10018,(212) 302-7433 x468,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"Arts Engine, Inc.",10011,(646) 230-6368 x214,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"104 14th Street
New York, NY
(40.607026073308276, -74.00788180674962)"
"Arts Resources in Collaboration, Inc.",10011,(212) 206-6492,Dance,Manhattan Council District #6,Manhattan Community Board #3,Manhattan,"123 18th Street
New York, NY
(40.66540849915102, -73.99555181739396)"
"Arts for Art, Inc.",10002,(212) 254-5420,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"Artsgenesis, Inc.",10014,(212) 741-1414 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"154 Christopher Street
New York, NY
(40.73277459667643, -74.00787725874181)"
"Artspace Projects, Inc.",55401,(612) 333-9012,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #10,Manhattan Community Board #11,NA,"250 Third Avenue
Minneapolis, IN
"
"Ascension Music Chorus and Orchestra, Inc.",10011,(212) 358-1469,Music,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"12 11th Street
New York, NY
(40.671279346005015, -73.99419553633415)"
