MTYPE,CompName,CompTel,Location 1
HPA,NICHLOSI BROTHERS LLC,(856) 467-3494,
HPA,OMEGA INTERNATIONAL FOODS,(718) 842-8600,"1234 RANDELL AVE
BRONX, NY 10474
(40.811746994665604, -73.88878352021474)"
HPA,P. EAST TRADING CORP,(718) 991-6070,"327 FONGFELLOW AVE
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPA,"PRIMIZIE FINE FOODS, LLC",(347) 702-9764,"330 CASANOVA AVE
BRONX, NY 10474
(40.80688032419698, -73.88828502048068)"
HPA,REYES PRODUCE CORP.,(718) 328-3500,"1280 RANDALL AVE
BRONX, NY 10474
(40.81205043166983, -73.88675861164154)"
HPA,RIDGE PRODUCE INC,(718) 861-7555,"531 TIFFANY STREET
BRONX, NY 10474
(40.81025185731271, -73.8902389044123)"
HPA,SUPER PRODUCE INC,(718) 328-2640,"510 FAILE STREET
BRONX, NY 10474
(40.81060359719829, -73.88543419175345)"
HPM,"BERLIN & DENMAR DISTRIBUTORS, INC.",7183281040,"1 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,C & C MEATS CORPORATION,7183289550,"355 FOOD CTR DR
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,DESOLA PROVISIONS CORP.,7185429500,"18 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,"ENDICOTT MEATS, INC.",7188937318,"355 FOOD CENTER DR B-23 HTS PT
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"FANCY FOODS, INC.",7186173000,"12 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,FOOD BANK FOR NEW YORK CITY INC.,7189914300,"355 FOOD CTR DR
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"FOODIRECT, INC.",7185892300,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"GARDEN MANOR FARMS, INC.",7188935350,"355 FOOD CENTER DR
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"GIRANDOLA & SHUTKIND CONST., CORP.",7188424471,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"HIGHLAND PORK, INC",7186177460,"24 HUNTS PT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,HUNTS POINT COOPERATIVE MARKET INC.,7188427466,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,KALIVIA FOOD CORP.,7185422900,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,KIM'S PROVISION INC./DBA US MEATS INC.,7183785900,"355 FOOD CENTER DR
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"LOUIS SPAGNOLI, INC.",7189913099,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"MAPLECREST PRIME FOODS, INC.",7188428500,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"MARKET MEATS, INC.",7189915800,"6 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,MASTER PURVEYORS INC,7185421000,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"MEAT INOVATIONS, INC.",(718) 764-6647,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"MOORE'S WHOLESALE MEATS, INC.",7183283255,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,MOUNTAIN STATES/ROSEN LLC,7188424447,"355 FOOD CENTER DR C-16 HUNTS PT
BRONX, NY 10474
(40.81029704244459, -73.87458054428663)"
HPM,"MTV FOODS, INC./ DBA AUSTIN MEAT CO",7188426767,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,MTV REALTY INC.,(718) 842-6767,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"MURRAY BERKOWITZ & SONS, INC.",7183282000,"10 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,"NATION'S BEST MEAT WHOLESALERS, INC.",2018427400,
HPM,"NEBRASKALAND, INC.",7188420700,
HPM,"NEW YORK MEAT, INC.",7185424600,"19 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,"PLYMOUTH BEEF CO.,INC.",7185898600,"355 FOOD CENTER DRIVE HTS PT
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"PORK KING SAUSAGE, INC.",7185422810,"22 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,R & W PROVISIONS CO. INC.,(212) 924-0988,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,SCHUSTER MEAT CORP.,7185891818,"22 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,STV REALTY INC.,7185424401,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,SUPREME KOSHER MEAT,7188605300,
HPM,"TONY'S FISH & SEAFOOD, CORP.",7183285200,"1 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,VISTA FOOD EXCHANGE INC.,7185424401,"101 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,"VP PROPERTIES, LLC.",7185424401,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"WALLACE & COOK FOOD SALES, INC.",7186177600,"101 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,"WEST- CONN. MEAT CO., INC.",7186176600,"16 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,"WESTERN REALTY HOLDINGS, LLC.",(201) 218-1322,"1 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPM,WESTERN WHOLESALE MEATS INC.,9732098839,"50 DAVIS ROAD
SPARTA, NJ 07871
(41.10580634927775, -74.62383814377732)"
HPM,"WESTSIDE FOODS, INC.",7188428500,"355 FOOD CTR DR
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)"
HPM,"WORLDWIDE FISH PRODUCTS, INC.",7183287222,"5 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,A & J PRODUCE,7185897877,"138 44 ROW A HUNTS PT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,A J TRUCCO INC.,7188933060,"343 344 HUNTS PT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,AFL HOT HOUSE PRODUCE CORP.,7185423777,"110 A HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,ALBEE TOMATO COMPANY INC,7185426054,"118 120 ROW A HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"BEST TROPICAL ISLAND, INC.",(718) 542-4115,"237 ROW
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,BIENVENIDO CALCANO D/B/A BIENVENIDO PRODUCE,(646) 225-1969,"429 433
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,BOGOPA ENTERPISES INC.,(718) 346-6500,"650 FOUNTAIN AVE
BKLYN, NY 11208
(40.66423936695183, -73.87008402053894)"
HPP,C AND J BROTHERS,7189915050,"238 241 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,CANYON SALES COMPANY,(718) 589-0790,"346 B
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,CM PRODUCE LLC.,7183301188,"125 BRONX
NY 10474-7303
(40.814256000414275, -73.88557600003224)"
HPP,COOSEMANS NEW YORK INC.,(718) 328-3060,"249-B NEW
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"COUNTRY WIDE PRODUCE, INC.",(201) 599-0057,"266 NEW
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"D.M. ROTHMAN CO., INC.",7189914920,"106 09 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"D'ARRIGO BROS. CO. OF NY, INC.",7189915900,"315 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"E. ARMATA, INC.",7189915600,"A111 117 HUNTS PT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,EA COMPANY,(718) 583-6477,"1600 SEDGWICK AVENUE
BRONX, NY 10453
(40.84809165013139, -73.92413645304677)"
HPP,EDWARD PRODUCE CORP.,(718) 450-8935,"219A ROW B HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"ERIC'S PRODUCE, INC.",(718) 991-6109,"342 ROW C
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"F & S PRODUCE, INC.",(718) 346-6500,"650 FOUNTAIN AVENUE
BROOKLYN, NY 11208
(40.66423936695183, -73.87008402053894)"
HPP,"FIERMAN PRODUCE EXCHANGE, INC.",(718) 843-1640,"247 257
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,FITZ & PAL FOOD CENTER LLC/D/B/A FOOD BARN,7186173800,"414 416 ROW D HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"FRES CO, LLC",(718) 728-0870,"42 04 BERRIAN BLVD
ASTORIA, NY 11105
(40.780092072491186, -73.90960650023976)"
HPP,FRUITCO CORP.,7188934500,"201 HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,"GOLD MEDAL PRODUCE, INC.",(718) 893-5554,"163 168
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,GRAMERCY PRODUCE INC.,(718) 861-1500,"421B NYC
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,HEATING OIL PARTNERS,2036558290,"1120 POST ROAD
DARIEN, CT 06820
(41.07403610407539, -73.47342915091224)"
HPP,"HENRY HAAS, INC.",7183786700,"464 HUNTS POINT
BRONX, NY 10474
(40.810220163358174, -73.88133728704419)"
HPP,"HPTM PRODUCE COOP ASSO., INC.",7185422944,"2A HUNTS POINT
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,HUNTS POINT MARKET FOOD INC,,"300C BRONX
NY 10474
(40.810882923108466, -73.88235636235618)"
HPP,HUNTS POINT TROPICALS INC.,7188930895,"134 136 NYC TERMINAL MARKET
BRONX, NY 10474
(40.810882923108466, -73.88235636235618)"
