District,Bldg Level,Bldg I.D.,Building Name,Bldg Enroll,Bldg Adjusted Capacity(Historical),Bldg Over/Under(Historical),Bldg Utilization(Historical),Bldg Capacity(Target),Bldg Over/Under(Target),Bldg Utilization(Target),Org ID,Organization Name,Org Enroll,Org Adjusted Capacity (Historical),Org Over/Under(Historical),Org Utilization(Historical),Org Adjusted Capacity(Target),Org Over Under(Target),Org Utilization(Target),No. of Actual Cluster Rms Used,No. of Historical Method Cluster Rms ,No. of Target Method Cluster Rms,Pre K Cap,No. of Special Rms Used,Inclusionary
1,MIDDLE,M060,J.H.S. 60 - MANHATTAN,0,0,0,0,0,0,0,MG18,BEACON PROGRAM - MANHATTAN        ,,,0,,,0,,0,0,0,0,0,
2,PS,M001,P.S. 1 - MANHATTAN,518,768,-250,67,659,-141,79,M001,P.S. 1 - MANHATTAN                ,518,768,-250,67,659,-141,79,6,3,3,57,0,
2,PS,M002,P.S. 2 - MANHATTAN,816,1061,-245,77,939,-123,87,M002,P.S. 2 - MANHATTAN                ,816,1061,-245,77,939,-123,87,6,4,4,36,0,
2,PS,M002,P.S. 2 - MANHATTAN,0,0,0,0,0,0,0,MG01,CHINESE-AMERICAN PLNG COUNCIL - M ,,,0,,,0,,0,0,0,0,0,
2,PS,M003,P.S. 3 - MANHATTAN,813,865,-52,94,755,58,108,M003,P.S. 3 - MANHATTAN                ,813,865,-52,94,755,58,108,7,3,4,82,0,
2,PS,M006,P.S. 6 - MANHATTAN,789,850,-61,93,624,165,126,M006,P.S. 6 - MANHATTAN                ,789,850,-61,93,624,165,126,4,3,4,0,0,
2,PS,M011,P.S. 11 - MANHATTAN,700,980,-280,71,842,-142,83,M011,P.S. 11 - MANHATTAN               ,700,980,-280,71,842,-142,83,7,3,3,18,0,
2,PS,M033,P.S. 33 - MANHATTAN,561,743,-182,76,616,-55,91,M033,P.S. 33 - MANHATTAN               ,458,659,-201,69,532,-74,86,2,3,3,35,0,
2,PS,M033,P.S. 33 - MANHATTAN,0,0,0,0,0,0,0,M138,M138 SPED - MANHATTAN             ,103,84,19,123,84,19,123,0,0,0,0,0,
2,PS,M033,P.S. 33 - MANHATTAN,0,0,0,0,0,0,0,MG03,SAPIS - MANHATTAN                 ,,,0,,,0,,0,0,0,0,0,
2,PS,M040,P.S. 40 - MANHATTAN,1001,966,35,104,861,140,116,M040,P.S. 40 - MANHATTAN               ,615,567,48,108,492,123,125,3,2,3,30,0,
2,PS,M040,P.S. 40 - MANHATTAN,0,0,0,0,0,0,0,M255,I.S. 255 - MANHATTAN              ,386,399,-13,97,369,17,105,0,0,0,0,4,
2,PS,M041,P.S. 41 - MANHATTAN,782,725,57,108,618,164,127,M041,P.S. 41 - MANHATTAN               ,782,725,57,108,618,164,127,5,3,4,0,0,
2,PS,M042,P.S. 42 - MANHATTAN,806,788,18,102,709,97,114,M042,P.S. 42 - MANHATTAN               ,806,788,18,102,709,97,114,2,4,4,34,0,
2,PS,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,0,0,0,0,0,0,0,M047,J.H.S. 47 (SCH FOR THE DEAF) - M  ,174,281,-107,62,267,-93,65,0,0,0,0,3,
2,PS,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,429,799,-370,54,764,-335,56,M138,M138 SPED - MANHATTAN             ,40,86,-46,47,86,-46,47,0,0,0,0,0,
2,PS,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,0,0,0,0,0,0,0,M347,P.S. 347 - MANHATTAN              ,215,432,-217,50,411,-196,52,4,2,2,107,0,
2,PS,M089,P.S./I.S. 89 - MANHATTAN,0,0,0,0,0,0,0,M089,P.S. 89 - MANHATTAN               ,531,550,-19,97,432,99,123,4,2,3,36,0,
2,PS,M089,P.S./I.S. 89 - MANHATTAN,0,0,0,0,0,0,0,M289,I.S. 89 - MANHATTAN               ,292,312,-20,94,311,-19,94,0,0,0,0,1,
2,PS,M089,P.S./I.S. 89 - MANHATTAN,823,862,-39,95,743,80,111,MG06,FOOD SERVICES - MANHATTAN         ,,,0,,,0,,0,0,0,0,0,
2,PS,M111,P.S. 111 - MANHATTAN,586,835,-249,70,789,-203,74,M111,P.S. 111 - MANHATTAN              ,586,835,-249,70,789,-203,74,6,3,3,36,0,
2,PS,M116,P.S. 116 - MANHATTAN,789,810,-21,97,699,90,113,M116,P.S. 116 - MANHATTAN              ,789,810,-21,97,699,90,113,4,3,4,0,0,
2,PS,M124,P.S. 124 (ECF) - MANHATTAN,0,0,0,0,0,0,0,M124,P.S. 124 - MANHATTAN              ,919,971,-52,95,895,24,103,7,4,4,36,0,
2,PS,M124,P.S. 124 (ECF) - MANHATTAN,919,971,-52,95,895,24,103,MG04,ADULT ED - M                      ,,,0,,,0,,0,0,0,0,0,
2,PS,M126,P.S. 126 - MANHATTAN,785,905,-120,87,886,-101,89,M126,P.S. 126 - MANHATTAN              ,785,905,-120,87,886,-101,89,6,4,4,54,0,
2,PS,M126,P.S. 126 - MANHATTAN,0,0,0,0,0,0,0,MG05,UFT USE - MANHATTAN               ,,,0,,,0,,0,0,0,0,0,
2,PS,M126,P.S. 126 - MANHATTAN,0,0,0,0,0,0,0,MG16,YMCA - MANHATTAN                  ,,,0,,,0,,0,0,0,0,0,
2,PS,M130,P.S. 130 - MANHATTAN,0,0,0,0,0,0,0,M130,P.S. 130 - MANHATTAN              ,1015,1060,-45,96,895,120,113,5,4,4,36,0,
2,PS,M130,P.S. 130 - MANHATTAN,1015,1060,-45,96,895,120,113,MG01,CHINESE AMER. PLANNING COUN. - M  ,,,0,,,0,,0,0,0,0,0,
2,PS,M158,P.S. 158 - MANHATTAN,0,0,0,0,0,0,0,M158,P.S. 158 - MANHATTAN              ,759,999,-240,76,865,-106,88,12,3,4,16,0,
2,PS,M158,P.S. 158 - MANHATTAN,857,1119,-262,77,957,-100,90,M267,P.S. 267 - MANHATTAN,98,120,-22,82,92,6,107,3,0,1,0,0,
2,PS,M183,P.S. 183 - MANHATTAN,609,566,43,108,458,151,133,M183,P.S. 183 - MANHATTAN              ,609,566,43,108,458,151,133,1,2,3,0,0,
2,PS,M190,P.S. 290 - MANHATTAN,635,566,69,112,519,116,122,M290,P.S. 290 - MANHATTAN              ,635,566,69,112,519,116,122,2,3,3,0,0,
2,PS,M198,P.S. 198 - MANHATTAN,902,876,26,103,719,183,125,M077,P.S. 77 - MANHATTAN               ,351,366,-15,96,265,86,132,3,1,3,0,0,
2,PS,M198,P.S. 198 - MANHATTAN,0,0,0,0,0,0,0,M198,P.S. 198 - MANHATTAN              ,551,510,41,108,454,97,121,1,3,3,32,0,
2,PS,M198,P.S. 198 - MANHATTAN,0,0,0,0,0,0,0,MG18,BEACON - MANHATTAN                ,,,0,,,0,,0,0,0,0,0,
2,PS,M234,P.S. 234 - MANHATTAN,687,579,108,119,485,202,142,M234,P.S. 234 - MANHATTAN,687,579,108,119,485,202,142,1,3,4,0,0,
2,PS,M267,P.S. 59 (MEETH) - MANHATTAN               ,520,437,83,119,363,157,143,M059,P.S. 59 - MANHATTAN               ,520,437,83,119,363,157,143,3,2,3,0,0,
2,PS,M271,P.S./I.S. 217 - MANHATTAN,416,881,-465,47,708,-292,59,M217,P.S./I.S. 217 - MANHATTAN,416,881,-465,47,708,-292,59,8,3,3,36,0,
2,PS,M276,P.S./I.S. 276 - MANHATTAN,604,950,-346,64,801,-197,75,M094,M094 SPED - MANHATTAN,53,40,13,133,40,13,133,0,0,0,0,0,
2,PS,M276,P.S./I.S. 276 - MANHATTAN,0,0,0,0,0,0,0,M276,P.S./I.S. 276 - MANHATTAN         ,551,910,-359,61,761,-210,72,4,2,3,0,0,
2,PS,M390,P.S. 183 GYM - MANHATTAN,0,0,0,0,0,0,0,M183,P.S. 183 GYM - MANHATTAN,0,,0,,0,0,,0,0,0,0,0,
2,PS,M816,P.S. 816 - MANHATTAN,288,269,19,107,225,63,128,M051,P.S. 51 - MANHATTAN,288,269,19,107,225,63,128,4,2,3,0,0,
2,PS,M840,P.S. 150 - MANHATTAN,186,242,-56,77,182,4,102,M150,P.S. 150 - MANHATTAN              ,186,242,-56,77,182,4,102,3,1,2,18,0,
2,PS,M843,P.S. 234 ANNEX - MANHATTAN,140,157,-17,89,135,5,104,M234,P.S. 234 - MANHATTAN,140,157,-17,89,135,5,104,0,0,0,0,0,
2,PS,M971,THE SPRUCE STREET EDUCATIONAL CAMPUS - MANHATTAN,273,781,-508,35,638,-365,43,M094,M094 SPED - MANHATTAN,20,47,-27,43,47,-27,43,0,0,0,0,0,
2,PS,M971,THE SPRUCE STREET EDUCATIONAL CAMPUS - MANHATTAN,0,0,0,0,0,0,0,M397,THE SPRUCE STREET EDUCATIONAL CAMPUS - M,253,734,-481,34,591,-338,43,3,1,3,60,0,
2,MIDDLE,M017,I.S. 17 - MANHATTAN,0,0,0,0,0,0,0,M212,P.S. 212 - MANHATTAN              ,343,468,-125,73,342,1,100,2,1,3,0,0,
2,MIDDLE,M017,I.S. 17 - MANHATTAN,845,1019,-174,83,867,-22,97,M408,P.P.A.S. - MANHATTAN              ,502,551,-49,91,525,-23,96,0,0,0,0,3,
2,MIDDLE,M070,I.S. 70 - MANHATTAN,0,0,0,0,0,0,0,M312,NYC LAB MIDDLE SCHOOL - MANHATTAN ,575,672,-97,86,660,-85,87,0,0,0,0,2,
2,MIDDLE,M070,I.S. 70 - MANHATTAN,0,0,0,0,0,0,0,M412,NYC LAB HS - MANHATTAN            ,579,526,53,110,516,63,112,0,0,0,0,6,
2,MIDDLE,M070,I.S. 70 - MANHATTAN,1590,1707,-117,93,1656,-66,96,M414,MUSEUM SCHOOL - MANHATTAN         ,436,509,-73,86,480,-44,91,0,0,0,0,5,
2,MIDDLE,M070,I.S. 70 - MANHATTAN,0,0,0,0,0,0,0,MG18,HUDSON GUILD - MANHATTAN          ,,,0,,,0,,0,0,0,0,0,
2,MIDDLE,M104,I.S. 104 - MANHATTAN,1057,1164,-107,91,1201,-144,88,M104,I.S. 104 - MANHATTAN              ,1057,1164,-107,91,1201,-144,88,0,0,0,0,7,
2,MIDDLE,M114,EAST SIDE MIDDLE SCHOOL - MANHATTAN,482,506,-24,95,497,-15,97,M114,I.S. 114 - MANHATTAN,448,469,-21,96,460,-12,97,0,0,0,0,5,
2,MIDDLE,M114,EAST SIDE MIDDLE SCHOOL - MANHATTAN,0,0,0,0,0,0,0,M138,M138 SPED - MANHATTAN,34,37,-3,92,37,-3,92,0,0,0,0,0,
2,MIDDLE,M131,I.S. 131 - MANHATTAN,0,0,0,0,0,0,0,M131,I.S. 131 - MANHATTAN              ,556,710,-154,78,704,-148,79,0,0,0,0,9,
2,MIDDLE,M131,I.S. 131 - MANHATTAN,0,0,0,0,0,0,0,M298,PACE HIGH SCHOOL - MANHATTAN      ,414,446,-32,93,492,-78,84,0,0,0,0,3,
2,MIDDLE,M131,I.S. 131 - MANHATTAN,1220,1455,-235,84,1477,-257,83,M394,EMMA LAZARUS HIGH SCHOOL,250,299,-49,84,281,-31,89,0,0,0,0,5,
2,MIDDLE,M131,I.S. 131 - MANHATTAN,0,0,0,0,0,0,0,MG18,CHINATOWN YMCA - MANHATTAN        ,,,0,,,0,,0,0,0,0,0,
2,MIDDLE,M167,I.S. 167 - MANHATTAN,1243,1442,-199,86,1444,-201,86,M167,I.S. 167 - MANHATTAN              ,1243,1442,-199,86,1444,-201,86,0,0,0,0,8,
2,MIDDLE,M660,SCHL OF THE FUTURE (OLD BACON) - M,0,0,0,0,0,0,0,M138,M138 SPED - MANHATTAN             ,12,0,12,0,0,12,0,0,0,0,0,0,
2,MIDDLE,M660,SCHL OF THE FUTURE (OLD BACON) - M,685,864,-179,79,803,-118,85,M413,SCHOOL OF THE FUTURE - MANHATTAN  ,673,864,-191,78,803,-130,84,0,0,0,0,7,
2,MIDDLE,M933,I.S. 260 - MANHATTAN,256,500,-244,51,484,-228,53,M260,I.S. 260 - MANHATTAN,256,500,-244,51,484,-228,53,0,0,0,0,3,
2,HS,M824,MILLENNIUM HS - MANHATTAN,635,582,53,109,525,110,121,M226,M226 SPED - MANHATTAN             ,9,0,9,0,0,9,0,0,0,0,0,0,All
2,HS,M824,MILLENNIUM HS - MANHATTAN,0,0,0,0,0,0,0,M418,MILLENNIUM HS - MANHATTAN         ,626,582,44,108,525,101,119,0,0,0,0,1,
2,HS,M824,MILLENNIUM HS - MANHATTAN,0,0,0,0,0,0,0,MG18,Y.M.C.A. - MANHATTAN              ,,,0,,,0,,0,0,0,0,0,
2,HS,M855,ELEANOR ROOSEVELT HS - MANHATTAN,507,680,-173,75,620,-113,82,M416,ELEANOR ROOSEVELT HS - MANHATTAN  ,507,680,-173,75,620,-113,82,0,0,0,0,8,
2,HS,M877,NEW YORK HARBOR SCHOOL - MANHATTAN,430,439,-9,98,438,-8,98,M551,NEW YORK HARBOR SCHOOL - MANHATTAN,430,439,-9,98,438,-8,98,0,0,0,0,10,
3,PS,M009,P.S. 9 - MANHATTAN,0,0,0,0,0,0,0,M009,P.S. 9 - MANHATTAN                ,605,702,-97,86,568,37,107,4,2,3,0,0,
3,PS,M009,P.S. 9 - MANHATTAN,826,1025,-199,81,836,-10,99,M243,I.S. 243 - MANHATTAN,221,323,-102,68,268,-47,82,0,1,2,0,0,
3,PS,M075,P.S. 75 - MANHATTAN,0,0,0,0,0,0,0,M075,P.S. 75 - MANHATTAN               ,635,679,-44,94,614,21,103,3,3,3,0,0,
3,PS,M075,P.S. 75 - MANHATTAN,821,893,-72,92,817,4,100,M250,I.S. 250 - MANHATTAN              ,177,214,-37,83,203,-26,87,0,0,0,0,0,
3,PS,M075,P.S. 75 - MANHATTAN,0,0,0,0,0,0,0,M811,M811 SPED - MANHATTAN,9,0,9,0,0,9,0,0,0,0,0,0,All
3,PS,M076,P.S. 76 - MANHATTAN,0,0,0,0,0,0,0,M076,P.S. 76 - MANHATTAN               ,539,523,16,103,468,71,115,2,3,3,54,0,
3,PS,M076,P.S. 76 - MANHATTAN,596,605,-9,99,550,46,108,M226,M226 SPED - MANHATTAN             ,57,82,-25,70,82,-25,70,0,0,0,0,0,All
3,PS,M076,P.S. 76 - MANHATTAN,0,0,0,0,0,0,0,MG03,DRUG PROGRAM - MANHATTAN          ,,,0,,,0,,0,0,0,0,0,
3,PS,M076,P.S. 76 - MANHATTAN,0,0,0,0,0,0,0,MG18,HARLEM CHILDRENS ZONE - M         ,,,0,,,0,,0,0,0,0,0,
3,PS,M084,P.S. 84 - MANHATTAN,0,0,0,0,0,0,0,M084,P.S. 84 - MANHATTAN               ,489,606,-117,81,536,-47,91,4,3,3,36,0,
3,PS,M084,P.S. 84 - MANHATTAN,692,914,-222,76,850,-158,81,M247,I.S. 247 - MANHATTAN              ,203,308,-105,66,314,-111,65,0,0,0,0,2,
3,PS,M087,P.S. 87 - MANHATTAN,963,1066,-103,90,893,70,108,M087,P.S. 87 - MANHATTAN               ,963,1066,-103,90,893,70,108,6,3,4,18,0,
3,PS,M113,P.S. 241 - MANHATTAN,0,0,0,0,0,0,0,M241,P.S. 241 - MANHATTAN              ,113,196,-83,58,176,-63,64,1,1,1,0,0,
3,PS,M113,P.S. 241 - MANHATTAN,933,1201,-268,78,1065,-132,88,M279,NEW OPPORTUNITY CHARTER SCHOOL - M,424,566,-142,75,539,-115,79,0,0,0,0,1,
3,PS,M113,P.S. 241 - MANHATTAN,0,0,0,0,0,0,0,M386,HARLEM SUCCESS ACADEMY IV - M     ,396,439,-43,90,350,46,113,6,2,3,0,0,
3,PS,M113,P.S. 241 - MANHATTAN,0,0,0,0,0,0,0,MG06,FOOD SERVICES - MANHATTAN         ,,,0,,,0,,0,0,0,0,0,
3,PS,M144,P.S. 242 (OLD P144) - MANHATTAN,0,0,0,0,0,0,0,M242,P.S. 242 - MANHATTAN              ,295,360,-65,82,296,-1,100,0,2,3,18,0,
3,PS,M144,P.S. 242 (OLD P144) - MANHATTAN,644,854,-210,75,706,-62,91,M861,FUTURE LEADERS CHARTER SCHOOL - M ,349,494,-145,71,410,-61,85,0,1,3,0,0,
3,PS,M144,P.S. 242 (OLD P144) - MANHATTAN,0,0,0,0,0,0,0,MG16,DEPARTMENT OF HEALTH - MANHATTAN  ,,,0,,,0,,0,0,0,0,0,
3,PS,M145,P.S. 145 - MANHATTAN,634,827,-193,77,664,-30,95,M145,P.S. 145 - MANHATTAN              ,445,586,-141,76,433,12,103,3,3,3,54,0,
3,PS,M145,P.S. 145 - MANHATTAN,0,0,0,0,0,0,0,M421,WEST PREP ACADEMY - MANHATTAN,189,241,-52,78,231,-42,82,0,0,0,0,0,
3,PS,M149,P.S. 149 (TANDEM M207) - MANHATTAN,0,0,0,0,0,0,0,M149,P.S. 149 - MANHATTAN              ,36,30,6,120,24,12,150,0,0,0,35,0,
3,PS,M149,P.S. 149 (TANDEM M207) - MANHATTAN,519,582,-63,89,507,12,102,M351,HARLEM SUCCESS CHARTER - M        ,390,424,-34,92,355,35,110,0,3,3,0,0,
3,PS,M149,P.S. 149 (TANDEM M207) - MANHATTAN,0,0,0,0,0,0,0,M811,M811 SPED - MANHATTAN,93,128,-35,73,128,-35,73,0,0,0,0,0,All
3,PS,M149,P.S. 149 (TANDEM M207) - MANHATTAN,0,0,0,0,0,0,0,MG18,HARLEM GEM - MANHATTAN            ,,,0,,,0,,0,0,0,0,0,
3,PS,M163,P.S. 163 - MANHATTAN,541,638,-97,85,551,-10,98,M163,P.S. 163 - MANHATTAN              ,536,638,-102,84,551,-15,97,4,3,3,18,0,
3,PS,M163,P.S. 163 - MANHATTAN,0,0,0,0,0,0,0,M811,M811 SPED - MANHATTAN,5,0,5,0,0,5,0,0,0,0,0,0,All
3,PS,M165,P.S. 165 - MANHATTAN,0,0,0,0,0,0,0,M165,P.S. 165 - MANHATTAN              ,826,975,-149,85,914,-88,90,4,4,4,18,0,
3,PS,M165,P.S. 165 - MANHATTAN,1143,1338,-195,85,1284,-141,89,M862,I.S. 862 - MANHATTAN              ,317,363,-46,87,370,-53,86,0,0,0,0,2,
3,PS,M166,P.S. 166 - MANHATTAN,606,740,-134,82,587,19,103,M166,P.S. 166 - MANHATTAN              ,606,740,-134,82,587,19,103,4,2,3,0,0,
3,PS,M180,P.S. 180 - MANHATTAN ,0,0,0,0,0,0,0,M180,P.S. 180 - MANHATTAN              ,629,784,-155,80,760,-131,83,5,3,3,72,0,
3,PS,M180,P.S. 180 - MANHATTAN ,629,784,-155,80,760,-131,83,MG16,JUST SAY YES - MANHATTAN          ,,,0,,,0,,0,0,0,0,0,
3,PS,M180,P.S. 180 - MANHATTAN ,0,0,0,0,0,0,0,MG18,COLUMBIA UNIV./SUNY - MANHATTAN   ,,,0,,,0,,0,0,0,0,0,
3,PS,M185,P.S. 185 (TANDEM M208) - MANHATTAN,0,0,0,0,0,0,0,M185,P.S. 185 - MANHATTAN              ,237,360,-123,66,267,-30,89,3,2,2,36,0,
