TYPE,BUS NAME,MAILING OFFICE,MAIL CITY,MSTAT,COMP PHONE,Location 1
CL.2-EXEMPT,"CLEAN RIGHT INDUSTRIES, INC.",23-15 129TH STREET,COLLEGE POINT,NY,(718) 747-1712,
LICENSE,CONSUMER RUBBISH REMOVAL INC.,P.O. BOX 320-207 BUSH TERMINAL STATION,BROOKLYN,NY,(718) 788-5462,
CL.2-EXEMPT,CORONA & SON TRUCKING INC,8405 133 AVENUE,OZONE PARK,NY,(718) 785-4166,
LICENSE,CORPORATE RECYCLING CORP.,466 CARROLL STREET,BROOKLYN,NY,(718) 522-4601,
LICENSE,CREST CARTING CO. INC.,P.O. BOX 200073,BROOKLYN,NY,(718) 871-6200,
LICENSE,CROSSTOWN RECYCLING INC,15 WESTPORT LANE,STATEN ISLAND,NY,(718) 982-7099,
CL.2-EXEMPT,D & D MASON CONTRACTORS INC.,158 11  96 STREET,HOWARD BEACH,NY,(718) 835-9418,
CL.2-EXEMPT,D & E TOP SOIL & TRUCKING INC.,66-01 BURNS STREET,FOREST HILLS,NY,(917) 399-5382,
LICENSE,D.V. CARTING CO. INC.,1379 UTICA AVENUE,BROOKLYN,NY,(718) 629-9500,
CL.2-EXEMPT,"DC  DEMOLITION, INC.",1319 70TH STREET,BROOKLYN,NY,(718) 236-3620,
LICENSE,DE COSTOLE CARTING INC.,1481 TROY AVENUE,BROOKLYN,NY,(718) 241-6428,
LICENSE,DECOSTELLO CARTING,1042 73RD STREET,BROOKLYN,NY,(718) 833-1188,
CL.2-EXEMPT,"DECOSTOLE CARTING, INC.",1481 TROY AVENUE,BROOKLYN,NY,(718) 241-6428,
CL.2-EXEMPT,DEMO BUSTER HAULAGE INC.,PO BOX 66,BROOKLYN,NY,(631) 776-7667,
CL.2-EXEMPT,"DEMO SERVICES, INC.",337 CHELSEA ROAD,STATEN ISLAND,NY,(718) 966-0700,
LICENSE,DOWNTOWN CARTING CORP.,3 TROTTER PLACE,MARLBORO,NJ,(732) 617-7487,
LICENSE,DOWNTOWN ENVIROMENTAL RECYCLING INC.,3 TROTTER PLACE,MARLBORO,NJ,(732) 866-9399,
LICENSE,DUFFY DISPOSAL CO. INC.,459 WEST 19 STREET,NEW YORK,NY,(212) 243-7883,"459 19 STREET
NY, NEW YORK
(40.756053999992105, -73.9869510002884)"
LICENSE,DUFFY WASTE & RECYCLING CORP.,459 WEST 19 STREET,NEW YORK,NY,(212) 243-7883,"459 19 STREET
NY, NEW YORK
(40.756053999992105, -73.9869510002884)"
LICENSE,DYNAMIC RUBBISH REMOVAL INC.,PO BOX 2671,HUNTINGTON STATION,NY,(718) 444-7487,
CL.2-EXEMPT,EAGLE RUBBISH REMOVAL,748    49 STREET,BROOKLYN,NY,(718) 871-0997,
CL.2-EXEMPT,EAST COAST DEMOLITION,74 GEORGIA AVENUE,BROOKLYN,NY,(718) 566-1300,
CL.2-EXEMPT,EDCIA CORPORATION,1 PRESTWOULD COURT,MARLTON,NJ,(856) 207-7338,
CL.2-EXEMPT,"FANELLI TOP SOIL & RECYCLING, INC.",2059 RICHMOND AVENUE,STATEN ISLAND,NY,(718) 761-5693,
CL.2-EXEMPT,FRANK LIQUORI PLUMBING & HEATING INC.,2890 FOREST AVENUE,STATEN ISLAND,NY,(718) 727-7184,
CL.2-EXEMPT,"FRANK LIQUORI PLUMBING & HEATING, INC.",2173 GULF AVENUE,STATEN ISLAND,NY,(718) 727-7184,
CL.2-EXEMPT,"G FORCE INDUSTRIES, LTD",1018 JOSELSON AVENUE,BAY SHORE,NY,(631) 254-0040,
LICENSE,G.T.M. CARTING INC.,60 GRAVESEND NECK ROAD,BROOKLYN,NY,(718) 376-0777,
CL.2-EXEMPT,GLOBAL RECYCLING & COLLECTION INC.,PO BOX 2391,PEEKSKILL,NY,(914) 737-8088,
LICENSE,GRASSO PUBLIC CARTING INC.,1288 EAST 57 STREET,BROOKLYN,NY,(718) 531-1430,
CL.2-EXEMPT,"GRECO INDUSTRIES, LLC.",P.O. BOX 547,COLTS NECK,NJ,(732) 946-1616,
CL.2-EXEMPT,GRT TRUCKING CORP.,745 LIBERTY AVENUE,BROOKLYN,NY,(718) 647-1628,
LICENSE,H.J. MCGRAW & SONS INC.,P.O. BOX 295 TIMES SQUARE STATION,NEW YORK,NY,(212) 757-3242,"295 TIMES SQUARE STATION
NY, NEW YORK
(40.756053999992105, -73.9869510002884)"
CL.2-EXEMPT,HARMAN CONTRACTING INC.,701 OCEANVIEW AVENUE,BROOKLYN,NY,(718) 743-7724,
CL.2-EXEMPT,"HI-TECH GENERALCONST. & MGMT. SCVS, INC.",828 CONEY ISLAND AVE,BROOKLYN,NY,(718) 826-6701,
LICENSE,HOLLYWOOD CARTING CORP.,4108 BERRIAN BLVD,ASTORIA,NY,(718) 274-8769,
CL.2-EXEMPT,IMBRIANOS LANDSCAPING INC.,94-14 108 AVENUE,OZONE PARK,NY,(718) 323-6099,
CL.2-EXEMPT,INDUS GC INC,33-04 91ST STREET STE 6W,JACKSON HEIGHTS,NY,(718) 898-0356,
LICENSE,J B CARTING CORP.,P.O. BOX 340402,BROOKLYN,NY,(718) 251-1074,
LICENSE,JOE'S SANITARY HAULAGE AND RUBBISH,231 30 BAY STREET,DOUGLASTON,NY,(718) 423-4255,
CL.2-EXEMPT,JUDA CONSTRUCTION LTD.,1215 EAST BAY AVENUE,BRONX,NY,(718) 861-4703,
CL.2-EXEMPT,K & S SANITATION INC,178 MORRIS AVENUE,HOLTSVILLE,NY,(631) 758-0114,
LICENSE,KARTA CORP.,P.O. BOX 2391,PEEKSKILL,NY,(914) 737-9017,
CL.2-EXEMPT,LAQUILA CONSTRUCTION INC.,1590 TROY AVENUE,BROOKLYN,NY,(718) 252-0126,
CL.2-EXEMPT,LAQUILA CONTRACTING INC.,1590 TROY AVENUE,BROOKLYN,NY,(718) 252-0126,
CL.2-EXEMPT,LAQUILA INDUSTRIES INC.,1590 TROY AVENUE,BROOKLYN,NY,(718) 252-0126,
LICENSE,LITOD PAPER STOCK CORP.,1645 81 STREET,BROOKLYN,NY,(718) 259-2526,
CL.2-EXEMPT,LMR SERVICES CORP.,P.O. BOX 77,SYOSSET,NY,(631) 269-3924,
LICENSE,"MARRAFLO CONTRACTING,INC.",10-91 JACKSON AVENUE,LONG ISLAND CITY,NY,(718) 392-4366,
CL.2-EXEMPT,MECC CONTRACTING INC,21 AUTUMN AVENUE,BROOKLYN,NY,(718) 235-0800,
CL.2-EXEMPT,METRO DEMOLITION CONTRACTING CORP.,55-14 GRAND AVENUE,MASPETH,NY,(718) 326-2900,
CL.2-EXEMPT,"MRC II CONTRACTING, INC.",242 NEVINS STREET,BROOKLYN,NY,(718) 852-5800,
LICENSE,MULTI CARTING INC.,9614 DITMAS AVENUE,BROOKLYN,NY,(718) 495-7503,
LICENSE,MULTI RECYCLING INC.,9614 DITMAS AVENUE,BROOKLYN,NY,(718) 487-5603,
CL.2-EXEMPT,N.E.S BUILDERS INC.,95 JOAN DRIVE,YONKERS,NY,(718) 822-5319,
LICENSE,NATIONAL WASTE SERVICES CORP.,42 CAMDEN PLACE,NEW HYDE PARK,NY,(516) 747-6948,
LICENSE,"NEW YORK CONTAINERS, INC.",PO BOX 570612,WHITESTONE,NY,(718) 393-8830,
CL.2-EXEMPT,NEW YORK DIRT CONTRACTING CORP.,121 EAST SECOND STREET,MINEOLA,NY,(516) 294-3217,
CL.2-EXEMPT,NIGHT HAWK ENTERPRISES,1111 HUSKA ROAD,DELANCY,NY,(646) 852-3235,
LICENSE,ORIENT EXPRESS WASTE INDUSTRIES,41 NORTH LAWN AVENUE,ELMSFORD,NY,(914) 347-0200,
LICENSE,P&F TRUCKING INC.,60-02 30 AVENUE,WOODSIDE,NY,(718) 728-4444,
LICENSE,PAPER RECYCLING CORP.,201 POWELL STREET,BROOKLYN,NY,(718) 485-8990,
LICENSE,PARK RUBBISH REMOVAL INC.,513 B ACORN STREET,DEER PARK,NY,(718) 444-7487,
LICENSE,"PATANO BROTHERS, INC.",3825 TENTH STREET,L.I.C.,NY,(718) 729-8066,
CL.2-BROKER,PATRIOT WASTE,145-43 20TH AVENUE,WHITESTONE,NY,(917) 723-3747,
LICENSE,PEARSALL CARTING CO. INC.,P.O. BOX 524 B,BRONX,NY,(718) 617-2773,
CL.2-EXEMPT,PEBBLE ROCK LTD.,476 STAFFORD AVENUE,STATEN ISLAND,NY,(718) 608-9259,
CL.2-EXEMPT,"PEBBLE ROCK, LTD.",476 STAFFORD AVENUE,STATEN ISLAND,NY,(718) 608-9259,
CL.2-EXEMPT,PERSICO CONTRACTING & TRUCKING INC.,550 FRANKLIN AVE,MOUNT VERNON,NY,(914) 662-2700,
CL.2-EXEMPT,PHANTOM DEMOLITION CORP,56 - 00 GRAND AVENUE,MASPETH,NY,(718) 326-1728,
LICENSE,POLIDORI CARTING CO.,82 SHERADEN AVENUE,STATEN ISLAND,NY,(718) 761-3896,
LICENSE,PRIME CARTING INC.,1-B QUAKER RIDGE ROAD,NEW ROCHELLE,NY,(212) 679-2900,
LICENSE,QUEENSBRIDGE SANITATION CORP.,38 26 TENTH STREET,L.I.C.,NY,(718) 786-4343,
LICENSE,R.A.L.I. ROLL-OFF CORP.,43 BAILEY ROAD,MIDDLE ISLAND,NY,(631) 345-0773,
LICENSE,R.A.L.I. TRUCKING CORP.,43 BAILEY ROAD,MIDDLE ISLAND,NY,(631) 345-0773,
LICENSE,RAGS CONTRACTING CORP.,212 KINGSTON BLVD.,ISLAND PARK,NY,(516) 432-8037,
LICENSE,RAPID DEMOLITION CONTAINER SERVICES INC.,139 82 STREET,BROOKLYN,NY,(718) 836-5905,
CL.2-EXEMPT,"RAPID DEMOLITION CONTAINER SERVICES,INC.",139 82ND STREET,BROOKLYN,NY,(718) 745-3366,
LICENSE,RMR CARTING CO. INC,386 3RD AVENUE,BROOKLYN,NY,(718) 858-5811,
LICENSE,RMR CARTING CO. INC.,386 THIRD AVENUE,BROOKLYN,NY,(718) 858-5811,
CL.2-EXEMPT,ROADWAY CONTRACTING INC.,570 GARDNER AVENUE,BROOKLYN,NY,(718) 963-3500,
LICENSE,ROTONDO CONTRACTING CORP.,186 BROADWAY,HUNTINGTON STATION,NY,(516) 385-4651,
CL.2-EXEMPT,ROYAL GM INC.,242 NEVINS STREET,BROOKLYN,NY,(718) 488-8898,
LICENSE,ROYAL PETROLEUM TRANSPORTING INC.,426 436  3 AVENUE,BROOKLYN,NY,(718) 788-4731,
CL.2-EXEMPT,S.R.D CONTRACTING CORP.,20 LAMBERT STREET SUITE 2B,STATEN ISLAND,NY,(718) 810-6579,
CL.2-EXEMPT,"SDC ASSETS, INC.",63  FLUSHING AVE UNIT# 112 BLDG 131 A,BROOKLYN,NY,(718) 832-2581,
LICENSE,SILVER STAR CARTING CORP.,4108 BERRIAN BLVD,ASTORIA,NY,(718) 274-8769,
LICENSE,SMITH RECYCLING GROUP LTD.,334 MESEROLE STREET,BROOKLYN,NY,(718) 417-1415,
LICENSE,SUBURBAN CARTING CORP.,524 WAVERLY AVENUE,MAMARONECK,NY,(914) 698-4300,
LICENSE,SUNRISE RUBBISH REMOVAL CORP,740 E.232 STREET APT. 2-D,BRONX,NY,(718) 547-0514,
LICENSE,SUNSET CARTING CORP.,900 EAST 92 STREET,BROOKLYN,NY,(718) 272-1043,
LICENSE,SUPERIOR WASTE SERVICES INC.,2400 NATIONAL DRIVE,BROOKLYN,NY,(718) 241-5178,
CL.2-EXEMPT,T & S TRUCKING CO. INC.,53 2 AVENUE,BROOKLYN,NY,(718) 499-2900,
CL.2-EXEMPT,"T.S. HAULERS, INC.",P.O. BOX 263,CALVERTON,NY,(631) 369-1265,
LICENSE,TOCCI BROTHERS INC.,50 GOLD STREET,BROOKLYN,NY,(718) 875-9180,
CL.2-EXEMPT,TOP GUN SUPPLIES CORP.,15  AVENUE C,HOLBROOK,NY,(631) 737-1128,
CL.2-EXEMPT,TOP SHELF SUPPLIES INC.,1131 MARTINSTEIN AVENUE,BAY SHORE,NY,(631) 942-0026,
LICENSE,TRANSBORO CONTAINER SERVICE INC.,686 MORGAN AVENUE,BROOKLYN,NY,(718) 388-4255,
CL.2-EXEMPT,"TRICON ENTERPRISES, INC.",101 L MAIN STREET,SOUTH AMBOY,NJ,(732) 727-8700,
CL.2-EXEMPT,TRIPLE M REALTY CORP.,107 NORTHERN BOULEVARD,GREAT NECK,NY,(516) 487-2200,
LICENSE,U S A WASTE INDUSTRIES L L C,415 HUGVENOT STREET,NEW ROCHELLE,NY,(914) 347-0200,
LICENSE,U.S.A. RECYCLING INC.,P.O.BOX 1542 E.STATION,YONKERS,NY,(914) 804-7662,
CL.2-EXEMPT,ULTIMATE CONCRETE WORKS INC.,153-23 79TH STREET,HOWARD BEACH,NY,(718) 641-3729,
CL.2-EXEMPT,V GAROFALO CARTING INC,P O BOX 283,CAMMACK,NY,(631) 586-0404,
LICENSE,V.A. SANITATION INC.,P.O. BOX 190 309,BROOKLYN,NY,(718) 438-0968,
CL.2-EXEMPT,VAL  P INC.,397 TOMPKINS AVENUE,STATEN ISLAND,NY,(718) 816-6505,
CL.2-EXEMPT,VALES CONSTRUCTION CORP,64 CROSS POND ROAD,POUND RIDGE,NY,(914) 763-0567,
CL.2-EXEMPT,VARDO CONSTRUCTION CORP.,18-50 STEINWAY STREET,ASTORIA,NY,(718) 932-5056,
LICENSE,VICTORY SANITATION LTD.,408 COSTER STREET,BRONX,NY,(718) 991-3821,
LICENSE,WALDORF HOLDING CORP.D/B/A/ WALDORF CARTING,240 WASHINGTON STREET,MOUNT VERNON,NY,(914) 699-9896,
LICENSE,WASTE MAVEN CARTING CORP.,P.O. BOX 740463,BRONX,NY,(718) 863-0300,
CL.2-EXEMPT,"WEST NEW YORK RESTORATION OF CT, INC.",1800 BOSTON ROAD,BRONX,NY,(718) 617-5257,
CL.2-EXEMPT,"WHITNEY TRUCKING, INC.",636 SAW MILL RIVER ROAD,YONKERS,NY,(914) 969-8902,
CL.2-EXEMPT,WILLIAMSBURG HAULING INC.,175 SKILLMAN AVENUE,BROOKLYN,NY,(718) 366-0548,
CL.2-EXEMPT,WORLD CLASS DEMOLITION CORP.,55-14 GRAND AVENUE,MASPETH,NY,(718) 784-5082,
LICENSE,YORK CITY RECYCLE CORP.,38 26 10 STREET,L.I.C.,NY,(718) 786-1481,
