Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
CASE MANAGEMENT ONLY,2MJ01,JASA CASE MANAGEMENT BK-6,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3161 BRIGHTON 6TH STREET,BROOKLYN,11235,718-943-1615 
CASE MANAGEMENT ONLY,2MK01,JASA CASE MANAGEMENT BK-7,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-934-4295 
CASE MANAGEMENT ONLY,1MB01,JASA CASE MANAGEMENT BX-03,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1351 WHITE PLAINS ROAD,BRONX,10462,347 547-7140 
CASE MANAGEMENT ONLY,4MH01,JASA CASE MANAGEMENT-QN 7,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR ROCKAWAY,11691,718-471-6677 
CASE MANAGEMENT ONLY,5M301,JEWISH COMM. CENTER CASE MANAGEMENT SI-2,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5278 
CASE MANAGEMENT ONLY,3MA01,LENOX HILL CASE MANAGEMENT MN-3,LENOX HILL NEIGHBORHOOD HOUSE INC ,331 EAST 70TH STREET,NEW  YORK,10021,212-744-5022 
CASE MANAGEMENT ONLY,1M901,NEIGHBORHOOD SHOPP CASE MANAGEMENT BX-1,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-328-3536 
CASE MANAGEMENT ONLY,3M801,NEW YORK FOUNDATION CASE MANAGEMENT MN-1,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,11 PARK PLACE,NEW  YORK,10007,212-962-7817 
CASE MANAGEMENT ONLY,4MD01,QUEENS COMM. HOUSE CASE MANAGEMENT QNS-3,QUEENS COMMUNITY HOUSE INC. ,107-20 71ST ROAD,FOREST HILLS,11375,718-896-8511 
CASE MANAGEMENT ONLY,1MA01,RAIN CASE MANAGEMENT BX-2,REGIONAL AID FOR INTERIM NEEDS INC ,3377A WHITE PLAINS ROAD,BRONX,10467,347-346-9676 
CASE MANAGEMENT ONLY,2MP01,RIDGEWOOD BUSHWICK CASE MANAGEMENT BK-01,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,555 BUSHWICK AVENUE,BROOKLYN,11206,718-821-0254 
CASE MANAGEMENT ONLY,3M901,SELFHELP PROJECT CASE MANAGEMENT MN-2,SELFHELP COMMUNITY SERVICES INC ,520 EIGHTH AVENUE,NEW  YORK,10018,212-787-8106 
CASE MANAGEMENT ONLY,4ME01,SELFHELP PROJECT QUEENS-QN 4,SELFHELP COMMUNITY SERVICES INC ,45-25 KISSENA BOULEVARD,FLUSHING,11355,718-321-8194 
CASE MANAGEMENT ONLY,4MG01,SNAP CASE MANAGEMENT QNS-06,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VIALLAGE,11427,718-454-2385 
CASE MANAGEMENT ONLY,4MF01,SOUTHWEST QUEENS CASE MANAGEMENT-QN 5,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 JAMAICA AVENUE,HOLLIS,11423,718-217-0126 
CASE MANAGEMENT ONLY,2MF01,SPECIAL SVCS. FOR SR. CASE MANG. BK-3,RECREATION ROOMS AND SETTLEMENT INC ,1304 EAST 57TH STREET,BROOKLYN,11234,718-257-1600 
CASE MANAGEMENT ONLY,4MB01,SUNNYSIDE CASE MANAGEMENT QNS-1,SUNNYSIDE COMMUNITY SERVICES INC ,43-11 39TH STREET,SUNNYSIDE,11104,718-784-6173 
CASE MANAGEMENT ONLY,4MC01,SUNNYSIDE CASE MANAGEMENT QNS-2,SUNNYSIDE COMMUNITY SERVICES INC ,43-31 39th STREET,SUNNYSIDE,11104,718-784-6173 
CASE MANAGEMENT ONLY,5M201,VOLUNTEERS OF AMERICA CASE MANG. SI-1,VOLUNTEERS OF AMERICA GREATER NEW YORK INC,1911 RICHMOND AVENUE,STATEN ISLAND,10314,718-720-2070 
COMMUNITY CARE TRANSITION,45K01,CCNS JAMAICA,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 JAMAICA AVENUE,HOLLIS,11423,718-217-0126 
COMMUNITY CARE TRANSITION,45J01,QUEENS COMM HOUSE -NYHQ,QUEENS COMMUNITY HOUSE INC. ,107-20 71ST  ROAD,FOREST HILLS,11375,718-896-8511 
COMMUNITY CARE TRANSITION,45H01,SELFHELP HYHQ,SELFHELP COMMUNITY SERVICES INC ,45-26 KISSENA  BOULEVARD,FLUSHING,11355,718-321-8194
COMMUNITY CARE TRANSITION,45M01,SNAP FLUSHING/QHC,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VILLAGE,11427,718-454-2385 
COMMUNITY CARE TRANSITION,45L01,SUNNYSIDE ELMHURST,SUNNYSIDE COMMUNITY SERVICES INC ,43-31 39TH STREET,SUNNYSIDE,11104,718-784-6173 
CONGREGATE SITES,23F02,BOULEVARD SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,726 STANLEY AVENUE,BROOKLYN,11207,718-272-6202 
CONGREGATE SITES,23F03,BREVOORT SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,280 RALPH AVENUE,BROOKLYN,11233,718 467-7381 
CONGREGATE SITES,31701,CARTER BURDEN LUNCHEON CLUB NEIGHBORHOOD,THE CARTER BURDEN CENTER FOR THE AGING INC,351 EAST 74TH STREET,NEW YORK,10021,212-535-5235 
CONGREGATE SITES,36901,CENTRAL HARLEM SENIOR CENTER,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",120 WEST 140TH STREET,NEW YORK,10030,212-926-4465 
CONGREGATE SITES,33901,CITIZENS CARE SENIOR CENTER,CITIZENS CARE COMMITTEE INC  ,1428 5TH AVENUE,NEW YORK,10035,212-410-0333 
CONGREGATE SITES,11R01,CITY ISLAND SENIOR CENTER,PRESBYTERIAN SENIOR SERVICES  ,160 PILOT STREET,BRONX,10464,718 885-0727 
CONGREGATE SITES,31901,COMMUNITY LOUNGE SENIOR CENTER,GUSTAVUS ADOLPHUS LUTHERAN CHURCH ,155 EAST 22ND STREET,NEW YORK,10010,212 777-8333 
CONGREGATE SITES,20501,EILEEN DUGAN SENIOR CITIZENS CENTER,EILEEN DUGAN SENIOR CITIZENS CENTER INC ,380 COURT STREET,BROOKLYN,11231,718-596-1956 
CONGREGATE SITES,22C01,FT HAMILTON ST JOHNS NUTRITION PROGRAM,ST JOHNS/FT HAMILTON EPISCOPAL CHURCH ,461 99TH STREET,BROOKLYN,11209,718-745-3660 
CONGREGATE SITES,32401,HAMILTON GRANGE SENIOR CENTER,CONVENT AVENUE BAPTIST CHURCH  ,420 WEST 145TH STREET,NEW YORK,10031,212 862-4181 
CONGREGATE SITES,22W01,HOUSE OF JACOB SENIOR CENTER,SEPHARDIC MULTI SERVICE SENIOR CENTER INC ,6222 23RD AVENUE,BROOKLYN,11204,718 259-0100 
CONGREGATE SITES,62706,JASA CLUB 76,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,120 WEST 76TH STREET,NEW YORK,10023,212-712-0170 
CONGREGATE SITES,62704,JASA HES SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,9502 SEAVIEW AVENUE,BROOKLYN,11236,718-251-3700 
CONGREGATE SITES,63601,JASA MILL BASIN CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2075 EAST 68 STREET,BROOKLYN,11234,718-451-0779 
CONGREGATE SITES,62705,JASA SCHEUER HOUSE OF CONEY ISL SR CTR,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3601 SURF AVENUE,BROOKLYN,11224,718-373-3954 
CONGREGATE SITES,62701,JASA SENIOR CENTERS,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,132 WEST 31ST STREET,NEW YORK,10001,212-273-5200 
CONGREGATE SITES,62703,JASA STARRETT CITY SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1540 VAN SICLEN AVENUE,BROOKLYN,11239,718 642-1010 
CONGREGATE SITES,62702,JASA WILLIAMSBURG SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,202 GRAHAM AVENUE,BROOKLYN,11206,718-388-6865 
CONGREGATE SITES,36902,KENNEDY SENIOR CENTER,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",34 WEST 134TH STREET,NEW YORK,10037,212-926-4871 
CONGREGATE SITES,32D02,KOSHER MEALS FOR HOMEBOUND ELDERLY,DOROT INC  ,44 WEST 87 STREET,NEW YORK,10024,212-580-0001 
CONGREGATE SITES,30Z01,LEONARD COVELLO SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,312 EAST 109TH STREET,NEW YORK,10029,212-423-9665 
CONGREGATE SITES,22401,OCEAN PARKWAY SENIOR CITIZENS CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,1960 EAST 7TH STREET,BROOKLYN,11223,718-627-2500 
CONGREGATE SITES,27301,PROSPECT HILL SENIOR SERVICES CENTER,ST JOHN ST MATTHEW EMANUEL LUTHERAN CHURCH ,283 PROSPECT AVENUE,BROOKLYN,11215,718 499-9574 
CONGREGATE SITES,25C01,RAICES GOWANUS SENIOR CENTER,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,420 BALTIC STREET,BROOKLYN,11201,718 797 2472 
CONGREGATE SITES,11F01,RAIN COLLEGE AVENUE SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,1020 COLLEGE AVENUE,BRONX,10456,718-681-7993 
CONGREGATE SITES,11E01,RAIN EAST TREMONT SENIOR CENTER,REGIONAL AID FOR INTERIM NEEDS INC ,2405 EAST TREMONT AVENUE,BRONX,10461,718-828-0447 
CONGREGATE SITES,20A01,SEPHARDIC MULTI SERVICE SENIOR CENTER,SEPHARDIC MULTI SERVICE SENIOR CENTER INC ,485 KINGS HIGHWAY,BROOKLYN,11223,718-336-1300 
CONGREGATE SITES,21I01,SURF SOLOMON SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,718 449-6363 
CONGREGATE SITES,20E01,SWINGING 60S SENIOR CENTER,CONSELYEA ST BLOCK ASSOCIATION INC ,211 AINSLIE STREET,BROOKLYN,11211,718-963-3793 
CONGREGATE SITES,23F01,WAYSIDE TOMPKINS PARK SENIOR CENTER,WAYSIDE OUT-REACH DEVELOPMENT INC ,550 GREENE AVENUE,BROOKLYN,11216,718-638-3000 
CONGREGATE SITES,22201,YOUNG ISRAEL BEDFORD BAY  SENIOR CENTER,YOUNG ISRAEL OF BEDFORD BAY INC ,2114 BROWN STREET,BROOKLYN,11229,718 769-2649 
EMPLOYMENT,E0701,QUEENSBORO CNCL FOR SOCIAL WELFARE EMPLO,QUEENSBORO COUNCIL FOR SOCIAL WELFARE INC ,27-40 HOYT AVENUE SOUTH,ASTORIA,11102,718-468-8025 
HOME CARE,2H601,BETH EMETH HOMECARE,BETH EMETH HOME ATTENDANT SERVICE INC,1080 MCDONALD AVENUE,BROOKLYN,11230,(718)253-2220
HOME CARE,2HA01,BETH EMETH HOMECARE,BETH EMETH HOME ATTENDANT SERVICE INC,1080 MACDONALD AVENUE,BROOKLYN,11230,718 253 2220 
HOME CARE,2HC01,PEOPLE CARE,PEOPLE CARE INCORPORATED,116 WEST 32ND STREET,NEW YORK,10001,212 631 7349 
HOME CARE,1H301,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718-468-2500 
HOME CARE,1H501,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718 468-2500 
HOME CARE,1H601,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,BRONX,11432,718 468-2500 
HOME CARE,2H801,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718-468-2500 
HOME CARE,2HB01,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,172 468 2500 
HOME CARE,3HA01,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718 468-2500 
HOME CARE,3HB01,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718 264-5833 
HOME CARE,3HC01,PERSONAL TOUCH HOMECARE,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718 468-2500 
HOME CARE,5H601,RICHMOND HOME NEEDS,RICHMOND HOME NEED SERVICES INC ,3155 AMBOY ROAD,STATEN ISLAND,10306,718-313-1406 
HOME CARE,2H701,RIDGEWOOD BUSHWICK HOMECARE,RIDGEWOOD BUSHWICK SENIOR CITIZEN HOMECARE COUNCIL,533 BUSHWICK AVENUE,BROOKLYN,11206,718-821-0254 
HOME CARE,2HD01,RIDGEWOOD BUSHWICK HOMECARE,RIDGEWOOD BUSHWICK SENIOR CITIZEN HOMECARE COUNCIL,533 BUSHWICK AVENUE,BROOKLYN,11206,718-821-0254 
HOME DELIVERED MEALS,42N01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,45-18 COURT SQUARE,LONG ISLAND CIT,11101,718-834-4315 
HOME DELIVERED MEALS,43H01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,168-01 HILLSIDE AVENUE,JAMAICA,11432,718-357-4903 
HOME DELIVERED MEALS,43E01,CCNS SWQ HOME DELIVERED MEALS PROGRAM,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101ST AVENUE,OZONE PARK,11416,718-847-2168 
HOME DELIVERED MEALS,33J01,CHARLES WALBURG HOME DELIVERED MEALS,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC ,163 WEST 125TH STREET,NEW YORK,10027,212 222-2552 
HOME DELIVERED MEALS,33G01,ENCORE HOME DELIVERED MEALS,ENCORE COMMUNITY SERVICES  ,239 WEST 49TH STREET,NEW YORK,10019,212 581-2910 
HOME DELIVERED MEALS,42S01,FLORENCE E SMITH HOME DELIVERED MEALS,CORONA CONGREGATIONAL CHURCH  ,102-19 34TH AVENUE,CORONA,11368,718 899-0553 
HOME DELIVERED MEALS,26C01,FT. GREENE HOME DELIVERED MEALS,FORT GREENE COUNCIL ,196 ALBANY AVENUE,BROOKLYN,11213,718 221 9258 
HOME DELIVERED MEALS,33F01,HENRY ST HOME DELIVERED MEALS,HENRY STREET SETTLEMENT  ,265 HENRY STREET,NEW YORK,10002,212 349-2770 
HOME DELIVERED MEALS,26F01,JASA HOME DELIVERED MEALS,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1201 PENNSYLVANIA AVENUE,BROOKLYN,11238,718 337 1989 
HOME DELIVERED MEALS,26G01,JASA HOME DELIVERED MEALS,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1201 PENNSYLVANIA AVENUE,BROOKLYN,11239,718 337 1989 
HOME DELIVERED MEALS,43G01,JASA HOME DELIVERED MEALS,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR ROCKAWAY,11691,718-471-3200 
HOME DELIVERED MEALS,54301,MEALS ON WHEELS OF S.I.,MEALS ON WHEELS OF STATEN ISLAND INC ,304 PORT RICHMOND AVENUE,STATEN ISLAND,10302,718-727-4435 
HOME DELIVERED MEALS,12X01,MID BRONX HOME DELIVERED MEALS,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-992-2057 
HOME DELIVERED MEALS,42P01,PETER CARDELLA HOME DELIVERED MEALS,PETER CARDELLA SENIOR CITIZEN CENTER INC ,68-52 FRESH POND ROAD,RIDGEWOOD,11385,718-497-2908 
HOME DELIVERED MEALS,42R01,QUEENS COMM HOUSE HOME DELIVERED MEALS,QUEENS COMMUNITY HOUSE INC. ,108-25 62ND DRIVE,FOREST HILLS,11375,718-268-5960 
HOME DELIVERED MEALS,12Y01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-231-7246 
HOME DELIVERED MEALS,12Z01,RAIN HOME DELVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-231-7246 
HOME DELIVERED MEALS,26B01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,319 STANHOPE STREET,BROOKLYN,11237,718 821 0254 
HOME DELIVERED MEALS,43J01,SNAP HOME DELIVERED MEALS,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VILLAGE,11427,718-454-2100 
HOME DELIVERED MEALS,33H01,STANLEY ISAACS HOME DELIVERED MEALS,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212 348-4333 
HOME DELIVERED MEALS,26D01,WAYSIDE HOME DELIVERED MEALS,WAYSIDE OUT-REACH DEVELOPMENT INC ,1630 SAINT MARKS AVENUE,BROOKLYN,11233,718 443 2574 
INNOVATIVE SENIOR CENTERS,13G01,BRONXWORKS INNOVATIVE SENIOR CENTER,BRONXWORKS INC,80 EAST 181ST STREET,BRONX,10453,718 933-6671 
INNOVATIVE SENIOR CENTERS,54401,JCC OF STATEN ISLAND INNOVATIVE SR CTR,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1466 MANOR ROAD,STATEN ISLAND,10314,718 475-5200 
INNOVATIVE SENIOR CENTERS,28B01,JCCGCI INNOVATIVE SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,(718)449-5000
INNOVATIVE SENIOR CENTERS,33K01,LENOX HILL INNOVATIVE SENIOR CENTER,LENOX HILL NEIGHBORHOOD HOUSE INC ,343 EAST 70TH STREET,NEW YORK,10021,212-744-5905 
INNOVATIVE SENIOR CENTERS,64601,SAGE INNOVATIVE SENIOR CENTER,"SERVICES AND ADVOCACY FOR GAY,LESBIAN,BISEXUAL AND",305 SEVENTH AVENUE,NEW YORK,10001,646-576-8669 
INNOVATIVE SENIOR CENTERS,42T01,SELFHELP INNOVATIVE SENIOR CENTER,SELFHELP COMMUNITY SERVICES INC ,45-25 KISSENA BOULEVARD,FLUSHING,11355,718-886-5777 
INNOVATIVE SENIOR CENTERS,42V01,SNAP INNOVATIVE SENIOR CENTER,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER  BOULEVARD,QUEENS VILLAGE,11427,718-454-2100 
INNOVATIVE SENIOR CENTERS,64501,VISIONS INNOVATIVE SENIOR CENTER,VISIONS SERVICES FOR THE BLIND AND VISUALLY IMPAIR,135 WEST 23RD STREET,NEW YORK,10011,212-625-1616 
INNOVATIVE SENIOR CENTERS,33M01,YM YWHA INNOVATIVE SENIOR CENTER,YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC ,54 NAGLE AVENUE,NEW YORK,10040,212-569-6200 
LEGAL SERVICES,40A01,JASA LEGAL SERVICES,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,97-77 QUEENS BOULEVARD,FLUSHING,11374,718 286-1500 
LEGAL SERVICES,24301,LEGAL AID BROOKLYN OFFICE FOR THE AGING,LEGAL AID SOCIETY  ,111 LIVINGSTON STREET,BROOKLYN,11201,718 645 3111 
LEGAL SERVICES,22D01,LEGAL SERVICES FOR NEW YORK CITY,LEGAL SERVICES NYC D/B/A LEGAL SERVICES FOR NEW YO,180 LIVINGSTON STREET,BROOKLYN,11201,212 852-8888 
LEGAL SERVICES,1AA01,LSNY BRONX,LSNY-BRONX CORPORATION,579 COURTLANDT AVENUE,BRONX,10451,718-928-3680 
LEGAL SERVICES,32V01,MFY LEGAL SERVICES INC,MFY LEGAL SERVICES INC  ,299 BROADWAY,NEW YORK,10007,212 417-3700 
LEGAL SERVICES,32V02,NORTHERN MANHATTAN IMPROVEMENT CO,MFY LEGAL SERVICES INC  ,76 WADSWORTH AVENUE,NEW YORK,10033,212-822-8300 
LEGAL SERVICES,19701,NYS UNIFIED COURT SYSTEM,NEW YORK STATE UNIFIED COURT SYSTEM (USC),25 BEAVER STREET,NEW YORK,10004,(212)428-2623
NEIGHBORHOOD SENIOR CENTE,35401,A. PHILIP RANDOLPH NEIGHBORHOOD SC,UNITED BLOCK ASSOCIATION INC  ,108 WEST 146TH STREET,NEW YORK,10039,212-283-7904 
NEIGHBORHOOD SENIOR CENTE,27A01,ABE STARK NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMM DEV CORP/DBA MILLENNIUM DEVELOPM,10315 FARRAGUT ROAD,BROOKLYN,11236,718-272-9515 
NEIGHBORHOOD SENIOR CENTE,30P01,ABSW NEIGHBORHOOD SENIOR CENTER,ASSOCIATION OF BLACK SOCIAL WORKERS INC ,221 WEST 107TH STREET,NEW YORK,10025,212-749-8400 
NEIGHBORHOOD SENIOR CENTE,30201,ABYSSINIAN TOWERS NEIGHBORHOOD SR CTR,ABYSSINIAN DEVELOPMENT CORPORATION,50 WEST 131TH STREET,NEW YORK,10037,212-281-6839 
NEIGHBORHOOD SENIOR CENTE,34A01,ADULT SERVICES NEIGHBORHOOD SENIOR CTR,HUDSON GUILD  ,119 NINTH AVENUE,NEW YORK,10011,212-924-6710 
NEIGHBORHOOD SENIOR CENTE,25P01,ALBANY NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,196 ALBANY AVENUE,BROOKLYN,11213,718-773-2600 
NEIGHBORHOOD SENIOR CENTE,44Q01,ALLEN COMMUNITY NEIGHBORHOOD SENIOR CTR,ALLEN AME CHURCH ALLEN COMMUNITY SENIOR CENTER ,166-01 LINDEN BOULEVARD,JAMAICA,11433,718-658-0980 
NEIGHBORHOOD SENIOR CENTE,44N01,ALPHA PHI ALPHA NEIGHBORHOOD SENIOR CTR,ALPHA PHI ALPHA SENIOR CITIZENS CENTER INC ,220-01 LINDEN BOULEVARD,CAMBRIA HIGHTS,11411,718-528-8238 
NEIGHBORHOOD SENIOR CENTE,23U01,AMICO 59TH ST NEIGHBORHOOD SR CITIZENS C,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC\AM,5901 13TH AVENUE,BROOKLYN,11219,718-972-1558 
NEIGHBORHOOD SENIOR CENTE,54601,ANDERSON NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE ,120 ANDERSON AVENUE,STATEN ISLAND,10302,718-448-5757 
NEIGHBORHOOD SENIOR CENTE,30E01,ARC XVI FT WASHINGTON NEIGHBORHOOD SC,ARC XVI FORT WASHINGTON INC  ,4111 BROADWAY,NEW YORK,10033,212-781-5700 
NEIGHBORHOOD SENIOR CENTE,55201,ARROCHAR NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,85 JEROME AVENUE,STATEN ISLAND,10305,718-720-6110 
NEIGHBORHOOD SENIOR CENTE,13V01,ARTURO SCHOMBURG NEIGHBORHOOD SENIOR CTR,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,1315 FRANKLIN AVENUE,BRONX,10456,718-842-6880 
NEIGHBORHOOD SENIOR CENTE,14C01,BAY EDEN NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1220 EAST 229TH STREET,BRONX,10466,718-882-3815 
NEIGHBORHOOD SENIOR CENTE,24T01,BAY RIDGE NEIGHBORHOOD SENIOR CENTER,BETHLEHEM EVANGELICAL LUTHERAN CHURCH ,411 OVINGTON AVENUE,BROOKLYN,11209,718-748-0650 
NEIGHBORHOOD SENIOR CENTE,43A01,BAYSIDE NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,221-15 HORACE HARDING EXPRESSWAY,BAYSIDE,11364,718-225-1144 
