DBN,Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
01M020,4,2010,Male,49,676,4,8.2%,19,38.8%,19,38.8%,7,14.3%,26,53.1%
01M020,4,2011,Female,42,678,3,7.1%,13,31%,21,50%,5,11.9%,26,61.9%
01M020,4,2011,Male,53,680,4,7.5%,23,43.4%,15,28.3%,11,20.8%,26,49.1%
01M020,5,2006,Female,51,667,5,9.8%,11,21.6%,24,47.1%,11,21.6%,35,68.6%
01M020,5,2006,Male,49,673,2,4.1%,8,16.3%,29,59.2%,10,20.4%,39,79.6%
01M020,5,2007,Female,46,675,3,6.5%,7,15.2%,23,50%,13,28.3%,36,78.3%
01M020,5,2007,Male,48,675,0,0%,7,14.6%,33,68.8%,8,16.7%,41,85.4%
01M020,5,2008,Female,45,671,1,2.2%,7,15.6%,31,68.9%,6,13.3%,37,82.2%
01M020,5,2008,Male,48,681,0,0%,4,8.3%,34,70.8%,10,20.8%,44,91.7%
01M020,5,2009,Female,50,685,0,0%,3,6%,34,68%,13,26%,47,94%
01M020,5,2009,Male,34,683,0,0%,1,2.9%,26,76.5%,7,20.6%,33,97.1%
01M020,5,2010,Female,38,682,2,5.3%,12,31.6%,12,31.6%,12,31.6%,24,63.2%
01M020,5,2010,Male,37,693,1,2.7%,9,24.3%,16,43.2%,11,29.7%,27,73%
01M020,5,2011,Female,37,687,3,8.1%,10,27%,13,35.1%,11,29.7%,24,64.9%
01M020,5,2011,Male,45,687,2,4.4%,12,26.7%,21,46.7%,10,22.2%,31,68.9%
01M020,6,2006,Female,68,661,8,11.8%,12,17.6%,38,55.9%,10,14.7%,48,70.6%
01M020,6,2006,Male,57,667,2,3.5%,14,24.6%,35,61.4%,6,10.5%,41,71.9%
01M020,All Grades,2006,Female,236,,16,6.8%,41,17.4%,135,57.2%,44,18.6%,179,75.8%
01M020,All Grades,2006,Male,209,,7,3.3%,33,15.8%,126,60.3%,43,20.6%,169,80.9%
01M020,All Grades,2007,Female,166,,7,4.2%,24,14.5%,99,59.6%,36,21.7%,135,81.3%
01M020,All Grades,2007,Male,139,,2,1.4%,22,15.8%,90,64.7%,25,18%,115,82.7%
01M020,All Grades,2008,Female,153,,4,2.6%,16,10.5%,115,75.2%,18,11.8%,133,86.9%
01M020,All Grades,2008,Male,120,,3,2.5%,8,6.7%,81,67.5%,28,23.3%,109,90.8%
01M020,All Grades,2009,Female,146,,3,2.1%,7,4.8%,100,68.5%,36,24.7%,136,93.2%
01M020,All Grades,2009,Male,117,,3,2.6%,7,6%,85,72.6%,22,18.8%,107,91.5%
01M020,All Grades,2010,Female,128,,7,5.5%,47,36.7%,47,36.7%,27,21.1%,74,57.8%
01M020,All Grades,2010,Male,1,,s,s,s,s,s,s,s,s,s,s
01M020,All Grades,2010,Male,136,,13,9.6%,43,31.6%,55,40.4%,25,18.4%,80,58.8%
01M020,All Grades,2010,Male,136,,13,9.6%,43,31.6%,55,40.4%,25,18.4%,80,58.8%
01M020,All Grades,2011,Female,115,681,10,8.7%,39,33.9%,47,40.9%,19,16.5%,66,57.4%
01M020,All Grades,2011,Male,143,684,9,6.3%,48,33.6%,62,43.4%,24,16.8%,86,60.1%
01M034,3,2006,Female,17,672,0,0%,3,17.6%,12,70.6%,2,11.8%,14,82.4%
01M034,3,2006,Male,18,648,3,16.7%,4,22.2%,9,50%,2,11.1%,11,61.1%
01M034,3,2007,Female,26,658,3,11.5%,5,19.2%,15,57.7%,3,11.5%,18,69.2%
01M034,3,2007,Male,17,663,0,0%,5,29.4%,11,64.7%,1,5.9%,12,70.6%
01M034,3,2008,Female,13,663,1,7.7%,1,7.7%,10,76.9%,1,7.7%,11,84.6%
01M034,3,2008,Male,21,675,1,4.8%,3,14.3%,14,66.7%,3,14.3%,17,81%
01M034,3,2009,Female,19,683,0,0%,1,5.3%,14,73.7%,4,21.1%,18,94.7%
01M034,3,2009,Male,18,694,0,0%,1,5.6%,13,72.2%,4,22.2%,17,94.4%
01M034,3,2010,Female,17,725,0,0%,3,17.6%,3,17.6%,11,64.7%,14,82.4%
01M034,3,2010,Male,15,716,0,0%,2,13.3%,7,46.7%,6,40%,13,86.7%
01M034,3,2011,Female,13,705,0,0%,0,0%,10,76.9%,3,23.1%,13,100%
01M034,3,2011,Male,14,710,0,0%,0,0%,7,50%,7,50%,14,100%
01M034,4,2006,Female,21,653,3,14.3%,3,14.3%,14,66.7%,1,4.8%,15,71.4%
01M034,4,2006,Male,19,652,5,26.3%,4,21.1%,8,42.1%,2,10.5%,10,52.6%
01M034,4,2007,Female,16,673,1,6.3%,2,12.5%,11,68.8%,2,12.5%,13,81.3%
01M034,4,2007,Male,17,662,3,17.6%,4,23.5%,7,41.2%,3,17.6%,10,58.8%
01M034,4,2008,Female,25,669,0,0%,6,24%,16,64%,3,12%,19,76%
01M034,4,2008,Male,18,656,1,5.6%,6,33.3%,10,55.6%,1,5.6%,11,61.1%
01M034,4,2009,Female,13,677,1,7.7%,1,7.7%,9,69.2%,2,15.4%,11,84.6%
01M034,4,2009,Male,23,698,1,4.3%,2,8.7%,12,52.2%,8,34.8%,20,87%
01M034,4,2010,Female,20,670,0,0%,13,65%,6,30%,1,5%,7,35%
01M034,4,2010,Male,18,689,1,5.6%,5,27.8%,6,33.3%,6,33.3%,12,66.7%
01M034,4,2011,Female,18,686,0,0%,6,33.3%,9,50%,3,16.7%,12,66.7%
01M034,4,2011,Male,17,685,0,0%,8,47.1%,5,29.4%,4,23.5%,9,52.9%
01M034,5,2006,Female,26,645,1,3.8%,15,57.7%,10,38.5%,0,0%,10,38.5%
01M034,5,2006,Male,30,644,5,16.7%,10,33.3%,14,46.7%,1,3.3%,15,50%
01M034,5,2007,Female,15,644,4,26.7%,4,26.7%,7,46.7%,0,0%,7,46.7%
01M034,5,2007,Male,22,649,3,13.6%,7,31.8%,11,50%,1,4.5%,12,54.5%
01M034,5,2008,Female,13,678,0,0%,2,15.4%,9,69.2%,2,15.4%,11,84.6%
01M034,5,2008,Male,18,656,3,16.7%,3,16.7%,10,55.6%,2,11.1%,12,66.7%
01M034,5,2009,Female,25,676,0,0%,2,8%,19,76%,4,16%,23,92%
01M034,5,2009,Male,19,666,1,5.3%,4,21.1%,12,63.2%,2,10.5%,14,73.7%
01M034,5,2010,Female,11,668,1,9.1%,6,54.5%,3,27.3%,1,9.1%,4,36.4%
01M034,5,2010,Male,23,689,0,0%,9,39.1%,8,34.8%,6,26.1%,14,60.9%
01M034,5,2011,Female,20,670,1,5%,10,50%,9,45%,0,0%,9,45%
01M034,5,2011,Male,17,681,1,5.9%,5,29.4%,7,41.2%,4,23.5%,11,64.7%
01M034,6,2006,Female,33,638,6,18.2%,15,45.5%,9,27.3%,3,9.1%,12,36.4%
01M034,6,2006,Male,21,647,2,9.5%,12,57.1%,6,28.6%,1,4.8%,7,33.3%
01M034,6,2007,Female,33,640,7,21.2%,12,36.4%,13,39.4%,1,3%,14,42.4%
01M034,6,2007,Male,31,646,4,12.9%,11,35.5%,16,51.6%,0,0%,16,51.6%
01M034,6,2008,Female,26,633,7,26.9%,10,38.5%,9,34.6%,0,0%,9,34.6%
01M034,6,2008,Male,33,655,3,9.1%,12,36.4%,15,45.5%,3,9.1%,18,54.5%
01M034,6,2009,Female,24,656,2,8.3%,10,41.7%,11,45.8%,1,4.2%,12,50%
01M034,6,2009,Male,27,651,4,14.8%,7,25.9%,14,51.9%,2,7.4%,16,59.3%
01M034,6,2010,Female,30,668,2,6.7%,15,50%,10,33.3%,3,10%,13,43.3%
01M034,6,2010,Male,26,655,5,19.2%,15,57.7%,5,19.2%,1,3.8%,6,23.1%
01M034,6,2011,Female,16,684,0,0%,5,31.3%,9,56.3%,2,12.5%,11,68.8%
01M034,6,2011,Male,28,681,2,7.1%,4,14.3%,15,53.6%,7,25%,22,78.6%
01M034,7,2006,Female,26,645,1,3.8%,13,50%,12,46.2%,0,0%,12,46.2%
01M034,7,2006,Male,22,621,6,27.3%,11,50%,5,22.7%,0,0%,5,22.7%
01M034,7,2007,Female,28,642,6,21.4%,7,25%,13,46.4%,2,7.1%,15,53.6%
01M034,7,2007,Male,28,643,2,7.1%,15,53.6%,9,32.1%,2,7.1%,11,39.3%
01M034,7,2008,Female,37,661,0,0%,10,27%,24,64.9%,3,8.1%,27,73%
01M034,7,2008,Male,32,665,1,3.1%,5,15.6%,23,71.9%,3,9.4%,26,81.3%
01M034,7,2009,Female,28,654,2,7.1%,8,28.6%,17,60.7%,1,3.6%,18,64.3%
01M034,7,2009,Male,32,658,3,9.4%,8,25%,17,53.1%,4,12.5%,21,65.6%
01M034,7,2010,Female,25,665,4,16%,10,40%,9,36%,2,8%,11,44%
01M034,7,2010,Male,26,655,6,23.1%,12,46.2%,7,26.9%,1,3.8%,8,30.8%
01M034,7,2011,Female,31,671,0,0%,15,48.4%,14,45.2%,2,6.5%,16,51.6%
01M034,7,2011,Male,24,655,6,25%,9,37.5%,8,33.3%,1,4.2%,9,37.5%
01M034,8,2006,Female,33,627,10,30.3%,15,45.5%,8,24.2%,0,0%,8,24.2%
01M034,8,2006,Male,33,607,19,57.6%,13,39.4%,1,3%,0,0%,1,3%
01M034,8,2007,Female,25,643,5,20%,11,44%,7,28%,2,8%,9,36%
01M034,8,2007,Male,23,628,10,43.5%,7,30.4%,6,26.1%,0,0%,6,26.1%
01M034,8,2008,Female,30,651,1,3.3%,16,53.3%,11,36.7%,2,6.7%,13,43.3%
01M034,8,2008,Male,24,645,2,8.3%,10,41.7%,12,50%,0,0%,12,50%
01M034,8,2009,Female,36,652,7,19.4%,5,13.9%,23,63.9%,1,2.8%,24,66.7%
01M034,8,2009,Male,31,653,1,3.2%,13,41.9%,16,51.6%,1,3.2%,17,54.8%
01M034,8,2010,Female,27,644,8,29.6%,18,66.7%,1,3.7%,0,0%,1,3.7%
01M034,8,2010,Male,32,657,8,25%,18,56.3%,5,15.6%,1,3.1%,6,18.8%
01M034,8,2011,Female,25,650,8,32%,11,44%,6,24%,0,0%,6,24%
01M034,8,2011,Male,23,641,7,30.4%,11,47.8%,5,21.7%,0,0%,5,21.7%
01M034,All Grades,2006,Female,156,,21,13.5%,64,41%,65,41.7%,6,3.8%,71,45.5%
01M034,All Grades,2006,Male,143,,40,28%,54,37.8%,43,30.1%,6,4.2%,49,34.3%
01M034,All Grades,2007,Female,143,,26,18.2%,41,28.7%,66,46.2%,10,7%,76,53.1%
01M034,All Grades,2007,Male,138,,22,15.9%,49,35.5%,60,43.5%,7,5.1%,67,48.6%
01M034,All Grades,2008,Female,144,,9,6.3%,45,31.3%,79,54.9%,11,7.6%,90,62.5%
01M034,All Grades,2008,Male,146,,11,7.5%,39,26.7%,84,57.5%,12,8.2%,96,65.8%
01M034,All Grades,2009,Female,145,,12,8.3%,27,18.6%,93,64.1%,13,9%,106,73.1%
01M034,All Grades,2009,Male,150,,10,6.7%,35,23.3%,84,56%,21,14%,105,70%
01M034,All Grades,2010,Female,130,,15,11.5%,65,50%,32,24.6%,18,13.8%,50,38.5%
01M034,All Grades,2010,Male,140,,20,14.3%,61,43.6%,38,27.1%,21,15%,59,42.1%
01M034,All Grades,2011,Female,123,674,9,7.3%,47,38.2%,57,46.3%,10,8.1%,67,54.5%
01M034,All Grades,2011,Male,123,672,16,13%,37,30.1%,47,38.2%,23,18.7%,70,56.9%
01M063,3,2006,Female,22,654,3,13.6%,6,27.3%,13,59.1%,0,0%,13,59.1%
01M063,3,2006,Male,12,658,2,16.7%,2,16.7%,6,50%,2,16.7%,8,66.7%
01M063,3,2007,Female,16,685,0,0%,0,0%,13,81.3%,3,18.8%,16,100%
01M063,3,2007,Male,18,666,1,5.6%,2,11.1%,13,72.2%,2,11.1%,15,83.3%
01M063,3,2008,Female,7,655,1,14.3%,2,28.6%,4,57.1%,0,0%,4,57.1%
01M063,3,2008,Male,27,675,0,0%,6,22.2%,18,66.7%,3,11.1%,21,77.8%
01M063,3,2009,Female,18,681,0,0%,1,5.6%,15,83.3%,2,11.1%,17,94.4%
01M063,3,2009,Male,26,676,0,0%,1,3.8%,22,84.6%,3,11.5%,25,96.2%
01M063,3,2010,Female,3,s,s,s,s,s,s,s,s,s,s,s
01M063,3,2010,Male,16,695,3,18.8%,3,18.8%,7,43.8%,3,18.8%,10,62.5%
01M063,3,2011,Female,10,680,0,0%,6,60%,4,40%,0,0%,4,40%
01M063,3,2011,Male,13,684,0,0%,7,53.8%,5,38.5%,1,7.7%,6,46.2%
01M063,4,2006,Female,11,668,0,0%,3,27.3%,8,72.7%,0,0%,8,72.7%
01M063,4,2006,Male,20,681,1,5%,3,15%,10,50%,6,30%,16,80%
01M063,4,2007,Female,19,662,2,10.5%,2,10.5%,15,78.9%,0,0%,15,78.9%
01M063,4,2007,Male,11,659,2,18.2%,2,18.2%,5,45.5%,2,18.2%,7,63.6%
01M063,4,2008,Female,14,673,0,0%,3,21.4%,8,57.1%,3,21.4%,11,78.6%
01M063,4,2008,Male,16,670,0,0%,4,25%,10,62.5%,2,12.5%,12,75%
01M063,4,2009,Female,7,664,1,14.3%,1,14.3%,5,71.4%,0,0%,5,71.4%
01M063,4,2009,Male,25,658,4,16%,6,24%,10,40%,5,20%,15,60%
01M063,4,2010,Female,19,696,0,0%,4,21.1%,9,47.4%,6,31.6%,15,78.9%
01M063,4,2010,Male,24,697,3,12.5%,0,0%,14,58.3%,7,29.2%,21,87.5%
01M063,4,2011,Female,5,s,s,s,s,s,s,s,s,s,s,s
01M063,4,2011,Male,16,695,1,6.3%,3,18.8%,5,31.3%,7,43.8%,12,75%
01M063,5,2006,Female,14,669,0,0%,4,28.6%,9,64.3%,1,7.1%,10,71.4%
01M063,5,2006,Male,18,645,4,22.2%,5,27.8%,6,33.3%,3,16.7%,9,50%
01M063,5,2007,Female,11,667,0,0%,4,36.4%,5,45.5%,2,18.2%,7,63.6%
01M063,5,2007,Male,23,672,1,4.3%,4,17.4%,13,56.5%,5,21.7%,18,78.3%
01M063,5,2008,Female,14,656,0,0%,5,35.7%,9,64.3%,0,0%,9,64.3%
01M063,5,2008,Male,9,659,1,11.1%,1,11.1%,6,66.7%,1,11.1%,7,77.8%
01M063,5,2009,Female,12,676,0,0%,3,25%,6,50%,3,25%,9,75%
01M063,5,2009,Male,16,676,0,0%,1,6.3%,14,87.5%,1,6.3%,15,93.8%
01M063,5,2010,Female,7,666,1,14.3%,3,42.9%,3,42.9%,0,0%,3,42.9%
01M063,5,2010,Male,17,675,2,11.8%,7,41.2%,5,29.4%,3,17.6%,8,47.1%
01M063,5,2011,Female,15,686,2,13.3%,3,20%,5,33.3%,5,33.3%,10,66.7%
01M063,5,2011,Male,18,691,1,5.6%,5,27.8%,5,27.8%,7,38.9%,12,66.7%
01M063,6,2006,Female,13,680,0,0%,2,15.4%,8,61.5%,3,23.1%,11,84.6%
01M063,6,2006,Male,14,665,0,0%,3,21.4%,10,71.4%,1,7.1%,11,78.6%
01M063,All Grades,2006,Female,60,,3,5%,15,25%,38,63.3%,4,6.7%,42,70%
01M063,All Grades,2006,Male,64,,7,10.9%,13,20.3%,32,50%,12,18.8%,44,68.8%
