QUEENS CONDOMINIUM PROPERTY Boro-Block-Lot,QUEENS CONDOMINIUM PROPERTY Condo Section,QUEENS CONDOMINIUM PROPERTY Address,QUEENS CONDOMINIUM PROPERTY Neighborhood,QUEENS CONDOMINIUM PROPERTY Building Classification,QUEENS CONDOMINIUM PROPERTY Total Units,QUEENS CONDOMINIUM PROPERTY Year Built,QUEENS CONDOMINIUM PROPERTY Gross SqFt,QUEENS CONDOMINIUM PROPERTY Est. Gross Income,QUEENS CONDOMINIUM PROPERTY Gross Income per SqFt,QUEENS CONDOMINIUM PROPERTY Full Market Value,QUEENS CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
4-02784-7501,175-R1,"61 12 69 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",MASPETH,R2-WALK-UP,37,1987,35316,630391,17.85,2559996,72,4-02734-0001,"60 06 60 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",MASPETH,C9-WALK-UP,31,1996,25036,457195,18.26,1860000,74,0.75,4-02757-0001,"60 15 FRESH POND ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",MASPETH,C1-WALK-UP,36,1942,32526,422308,12.98,1590000,48.9,0.5
4-02796-7501,266-R1,"57 15 69 LANE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R2-WALK-UP,13,1989,10170,189467,18.63,770997,76,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,1.45,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,1.3
4-02851-7501,113-R1,"87 12 GRAND AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,20,1986,20679,326728,15.8,1329999,64,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,0.75,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,0.5
4-02858-7501,133-R1,"87 14 57 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R4-ELEVATOR,25,1987,20333,345661,17,1410001,69,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,1,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,0.8
4-02875-7501,395-R1,"85 26 GRAND AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R2-WALK-UP,16,1990,12700,211455,16.65,860003,68,4-01349-0016,"70 06 WOODSIDE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,23,1961,13772,229500,16.66,933000,68,0.85,4-01487-0011,"40 10 77 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,C1-WALK-UP,18,1961,10076,159980,15.88,651000,65,0.9
4-02882-7501,400-R1,"85 36 57 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R2-WALK-UP,19,1998,10770,245232,22.77,1099997,102,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,1,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,0.8
4-02882-7502,425-R1,"85 24 57 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,R2-WALK-UP,15,2002,12234,221557,18.11,901001,74,4-01505-0076,"40 23 ITHACA STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1991,19250,241090,12.52,906000,47.1,1,4-01518-0047,"85 11 ELMHURST AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",ELMHURST,D1-ELEVATOR,21,1992,16101,254501,15.81,1040000,65,0.8
4-03029-7501,102-R1,"71 09 JUNIPER VALLEY ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,R2-WALK-UP,12,1985,13338,154720,11.6,545000,40.9,4-05005-0045,"35 20 149 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,16,1975,12120,144450,11.92,509000,42,4.9,4-05293-0045,"166 15 DEPOT ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,16,1975,13549,143700,10.61,486000,35.9,5.5
4-03055-7501,142-R1,"66 57 71 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,R2-WALK-UP,12,1985,11160,156128,13.99,618998,55,4-00619-0033,"31 20 28 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,12,1987,9053,133500,14.75,529000,58,4.2,4-01606-0052,"40 37 97 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,16,1990,12304,159599,12.97,600000,48.8,2.6
4-03055-7502,169-R1,"71 57 METROPOLITAN AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,R2-WALK-UP,49,1987,50670,511767,10.1,1730004,34.1,4-06241-0020,"39 06
Queens, New York
(40.749436300045204, -73.79729979984586)",BAYSIDE,C9-WALK-UP,30,1968,28648,289997,10.12,980000,34.2,6.9,4-09231-0013,"119 40 METROPOLITAN AVENU
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,C7-WALK-UP,39,1987,67282,649204,9.65,2190000,32.5,2.8
4-03057-7501,204-R1,"72 29 METROPOLITAN AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,R4-ELEVATOR,28,1987,31080,553224,17.8,2250007,72,4-03014-0032,"84 31 FLEET COURT
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,C9-WALK-UP,69,1949,29988,529566,17.66,2150000,72,0.9,4-09260-0011,"85 18 118 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,48,1959,37772,528827,14,2100000,56,2.65
4-03068-7501,163-R1,"66 70 79 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,R2-WALK-UP,18,1987,18696,424399,22.7,1900000,102,4-02886-0019,"60 16 86 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",MIDDLE VILLAGE,C7-WALK-UP,12,1982,7331,124727,17.01,507000,69,1.1,4-01764-0017,"98 15 ROOSEVELT AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,C7-WALK-UP,12,1988,12300,232327,18.89,945000,77,2.5
4-03081-7501,404-R1,"63 47 BOOTH STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,21,2001,40000,788000,19.7,3520004,88,4-03106-0020,"62 05 WOODHAVEN BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,C7-WALK-UP,50,1949,37328,653967,17.52,2660000,71,0.35,,,,,,,,,,,,
4-03096-7501,137-R1,"63 80 WETHEROLE STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,42,1960,26118,428335,16.4,1740001,67,4-03322-0111,"83 14 LEFFERTS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,37,1964,21600,362965,16.8,1480000,69,2.15,4-03322-0119,"83 34 LEFFERTS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,37,1964,25935,419426,16.17,1710000,66,2.15
4-03097-7503,236-R1,"64 49 WETHEROLE STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,56,1961,39840,541824,13.6,2149999,54,4-03087-0021,"65 62 SAUNDERS STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D3-ELEVATOR,38,1954,26400,357764,13.55,1340000,51,0.15,4-03117-0017,"89 10 63 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,36,1957,23100,314559,13.62,1180000,51,0.3
4-03097-7505,337-R1,"65 20 BOOTH STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,67,1941,63693,856671,13.45,3220000,51,4-03078-0110,"93 54 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,65,1939,64935,846044,13.03,3180000,49,0.4,4-03086-0002,"65 41 SAUNDERS STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,61,1940,60000,778637,12.98,2930000,48.8,0.15
4-03100-7501,56-R1,"65 36 WETHEROLE STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,64,1941,66324,739513,11.15,2610003,39.4,4-00161-0026,"43 06 45 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",SUNNYSIDE,D1-ELEVATOR,82,1928,67578,700201,10.36,2370000,35.1,3.45,4-01260-0016,"34 20 74 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",JACKSON HEIGHTS,D1-ELEVATOR,65,1937,66138,843116,12.75,3170000,47.9,2.55
4-03102-7501,262-R1,"87 62 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,78,1988,67502,1117158,16.55,4540007,67,4-02098-0018,"63 36 98 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,66,1980,66962,1003304,14.98,3980000,59,0.55,4-05104-0027,"132 54 POPLE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D6-ELEVATOR,33,1990,43957,785128,17.86,3190000,73,2.6
4-03115-7501,72-R1,"63 85 WOODHAVEN BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,164,1952,149558,2243370,15,8889957,59,4-03168-0013,"98 30 67 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,128,1954,132724,1395945,10.52,4720000,35.6,0.65,4-03085-0008,"64 20 SAUNDERS STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,150,1950,127152,1648925,12.97,6200000,48.8,0.5
4-03159-7501,259-R1,"98 76 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,66,1939,63000,866250,13.75,3429996,54,4-03080-0001,"63 07 SAUNDERS STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,60,1939,62400,766236,12.28,2700000,43.3,0.5,4-03080-0006,"95 08 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,60,1941,62400,813323,13.03,3060000,49,0.5
4-03169-7501,356-R1,"99 34 67 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,67,1941,63998,1030367,16.1,4189989,65,4-03080-0001,"63 07 SAUNDERS STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,60,1939,62400,766236,12.28,2700000,43.3,0.65,4-03080-0006,"95 08 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,60,1941,62400,813323,13.03,3060000,49,0.65
4-03171-7501,68-R1,"100 10 67 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R4-ELEVATOR,64,1941,71316,1009121,14.15,4000032,56,4-02225-0006,"109 05 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,65,1936,72800,972531,13.36,3660000,50,0.65,,,,,,,,,,,,
4-03171-7502,419-R1,"101 18 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R9-CONDOPS,31,1964,26930,533214,19.8,2380000,88,4-03117-0017,"89 10 63 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,36,1957,23100,314559,13.62,1180000,51,0.65,4-03083-0079,"95 11 64 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,C1-WALK-UP,32,1993,27907,467120,16.74,1900000,68,0.55
4-03173-7501,330-R1,"102 30 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,R9-CONDOPS,98,1991,145717,2185755,15,8660000,59,4-02115-0001,"65 09 99 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D7-ELEVATOR,133,1946,142260,1392902,9.79,4710000,33.1,0.35,4-02090-0026,"63 60 98 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,129,1951,121110,1376596,11.37,4850000,40,0.6
4-03239-7501,201-R1,"107 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R9-CONDOPS,162,1965,181853,2627776,14.45,10400000,57,4-03161-0001,"66 22 FLEET STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,130,1962,112800,1783961,15.82,7260000,64,0.6,4-02138-0029,"68 38
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,111,1941,132960,1868329,14.05,7410000,56,0.35
4-03255-7501,118-R1,"72 34 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,58,1932,38582,491920,12.75,1849998,47.9,4-03255-0028,"71 50 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D7-ELEVATOR,53,1932,40398,827444,20.48,3700000,92,0,4-03258-0023,"72 25 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D7-ELEVATOR,50,1920,48000,702341,14.63,2780000,58,0.1
4-03257-7501,450-R1,"108 24 71 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,98,2004,139669,1906482,13.65,7559996,54,4-03272-0001,"150 GREENWAY TERRACE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D7-ELEVATOR,96,1941,139142,1945000,13.98,7710000,55,0.25,4-02238-0019,"72 72 112 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,118,1939,137500,1948077,14.17,7720000,56,0.2
4-03292-7501,293-R1,"110 31 73 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R9-CONDOPS,69,1938,71210,911488,12.8,3430000,48.2,4-02146-0028,"63 10 108 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,76,1955,77730,909521,11.7,3210000,41.3,1.25,4-02225-0006,"109 05 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,65,1936,72800,972531,13.36,3660000,50,0.2
4-03293-7501,194-R1,"110 73 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R9-CONDOPS,66,1942,93800,1177190,12.55,4430000,47.2,4-02122-0028,"102 50 62 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,102,1956,94350,1184349,12.55,4450000,47.2,1.45,4-02146-0028,"63 10 108 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,76,1955,77730,909521,11.7,3210000,41.3,1.3
4-03321-7502,455-R1,"83 75 117 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,R4-ELEVATOR,39,2004,42795,476882,11.14,1679997,39.3,4-03329-0057,"118 65 METROPOLITAN AVENU
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,55,1927,34500,470082,13.63,1860000,54,0.2,4-03335-0030,"80 04 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,C1-WALK-UP,48,1930,35790,474642,13.26,1780000,49.7,0.5
4-03321-7503,435-R1,"83 71 116 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,R4-ELEVATOR,30,2001,38000,912000,24,4080003,107,4-03329-0057,"118 65 METROPOLITAN AVENU
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,55,1927,34500,470082,13.63,1860000,54,0.2,4-03335-0030,"80 04 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,C1-WALK-UP,48,1930,35790,474642,13.26,1780000,49.7,0.55
4-03321-7504,461-R1,"116 24 GROSVENOR LANE
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,R4-ELEVATOR,59,2005,52033,1404891,27,6809996,131,4-00531-0060,"31 64 21 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D1-ELEVATOR,52,2002,46333,852831,18.41,3470000,75,6.6,4-00573-0046,"27 10 ASTORIA BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,D7-ELEVATOR,27,2004,25920,515860,19.9,2310000,89,6.4
4-03322-7501,410-R1,"118 82 METROPOLITAN AVENU
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,R4-ELEVATOR,41,2002,36585,768285,21,3430005,94,4-03329-0057,"118 65 METROPOLITAN AVENU
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,55,1927,34500,470082,13.63,1860000,54,0.1,4-03335-0030,"80 04 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,C1-WALK-UP,48,1930,35790,474642,13.26,1780000,49.7,0.45
4-03340-7501,63-R1,"111 14 76 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,95,1938,84954,1146879,13.5,4310000,51,4-02222-0001,"70 11 108 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,78,1939,73020,1205642,16.51,4900000,67,0.55,4-02225-0006,"109 05 QUEENS BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,65,1936,72800,972531,13.36,3660000,50,0.45
4-03342-7501,289-R1,"111 56 76 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,39,1939,31511,430125,13.65,1710002,54,4-02236-0027,"110 48 72 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,48,1967,36436,605695,16.62,2460000,68,0.45,4-03255-0033,"71 58 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,C7-WALK-UP,36,1937,25550,591135,23.14,2640000,103,0.5
4-03347-7501,193-R1,"119 45 UNION TURNPIKE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,R4-ELEVATOR,59,1971,51376,719264,14,2849991,55,4-03341-0008,"111 20 76 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,66,1937,57909,939579,16.23,3820000,66,0.2,4-02214-0040,"107 19 70 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FOREST HILLS,D1-ELEVATOR,67,1938,61700,746224,12.09,2630000,42.6,0.95
4-03358-7501,202-R1,"123 25 82 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,R9-CONDOPS,108,1951,66880,879472,13.15,3310000,49.5,4-03321-0018,"83 10 118 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,79,1954,74118,925824,12.49,3480000,47,0.55,4-09245-0240,"84 50 AUSTIN STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D1-ELEVATOR,75,1955,74928,985417,13.15,3700000,49.4,0.5
4-03371-7501,382-R1,"2116 GREENE AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,R2-WALK-UP,44,0,59400,891000,15,3530009,59,4-03545-0075,"1625 PUTNAM AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,C1-WALK-UP,48,1927,36390,334424,9.19,1100000,30.2,0.75,4-03545-0081,"1615 PUTNAM AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,C1-WALK-UP,48,1927,36390,333630,9.17,1100000,30.2,0.75
4-03456-7501,411-R1,"714 SENECA AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,R4-ELEVATOR,17,2002,12607,255922,20.3,1140000,90,4-03456-0001,"1701 WOODBINE STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,C1-WALK-UP,16,1930,12600,121950,9.68,412000,32.7,0,4-03457-0006,"1702 WOODBINE STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,C1-WALK-UP,16,1930,12600,145170,11.52,512000,40.6,0.05
4-03494-7501,130-R1,"5926 BLEECKER STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",RIDGEWOOD,R2-WALK-UP,12,1987,10021,166348,16.6,677001,68,4-03359-0011,"123 20 82 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",KEW GARDENS,D7-ELEVATOR,18,1996,12905,233085,18.06,948000,73,4,4-05024-0016,"144 14 38 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,C1-WALK-UP,16,1980,10359,195261,18.85,794000,77,5.7
4-03637-7501,350-R1,"71 05 FRESH POND ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,R4-ELEVATOR,64,0,64706,1171825,18.11,4769993,74,4-03874-0078,"89 15 73 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,C9-WALK-UP,52,1950,45040,764458,16.97,3110000,69,1.85,4-03873-0028,"89 17 72 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,C9-WALK-UP,52,1950,44928,793840,17.67,3230000,72,1.85
4-03667-7501,226-R1,"72 52 METROPOLITAN AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,R2-WALK-UP,12,1988,9969,147042,14.75,583000,58,4-00619-0033,"31 20 28 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",ASTORIA,C1-WALK-UP,12,1987,9053,133500,14.75,529000,58,4.45,4-01606-0052,"40 37 97 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",CORONA,C1-WALK-UP,16,1990,12304,159599,12.97,600000,48.8,2.9
4-03706-7501,449-R1,"76 18 69 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,R4-ELEVATOR,50,1903,54954,893003,16.25,3629986,66,4-09712-0146,"141 24 84 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",BRIARWOOD,D1-ELEVATOR,49,2003,53580,913787,17.05,3720000,69,3.6,,,,,,,,,,,,
4-03727-7501,378-R1,"56 07 CLOVER PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,R2-WALK-UP,28,0,20320,196088,9.65,662994,32.6,4-03683-0036,"71 56 69 STREET
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,C1-WALK-UP,12,1928,9300,110000,11.83,388000,41.7,1,4-03848-0001,"86 18 UNION TURNPIKE
Queens, New York
(40.749436300045204, -73.79729979984586)",GLENDALE,C1-WALK-UP,22,1950,18630,200341,10.75,677000,36.3,2.05
4-04259-7501,91-R1,"122 15 25 ROAD
Queens, New York
(40.749436300045204, -73.79729979984586)",COLLEGE POINT,R2-WALK-UP,15,1983,11076,162817,14.7,645001,58,4-04256-0030,"25 60 COLLEGE POINT
Queens, New York
(40.749436300045204, -73.79729979984586)",COLLEGE POINT,C1-WALK-UP,15,1964,11196,145996,13.04,549000,49,0.1,4-04292-0060,"119 58 27 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",COLLEGE POINT,C1-WALK-UP,30,1966,17493,193270,11.05,681000,38.9,0.2
4-04410-7501,370-R1,"137 11 32 AVENUE
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,R4-ELEVATOR,23,1990,22528,382976,17,1559995,69,4-02098-0018,"63 36 98 PLACE
Queens, New York
(40.749436300045204, -73.79729979984586)",REGO PARK,D1-ELEVATOR,66,1980,66962,1003304,14.98,3980000,59,3,4-04977-0021,"137 02 NORTHERN BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,71,2000,67324,1241455,18.44,5050000,75,0.45
4-04414-7502,517-R1,"140 24 31 DRIVE
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,R4-ELEVATOR,20,2005,15422,404981,26.3,1959993,127,4-04977-0017,"136 14 NORTHERN BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D6-ELEVATOR,63,2000,52477,1220725,23.26,5460000,104,0.45,4-04977-0021,"137 02 NORTHERN BOULEVARD
Queens, New York
(40.749436300045204, -73.79729979984586)",FLUSHING-NORTH,D1-ELEVATOR,71,2000,67324,1241455,18.44,5050000,75,0.45
