Store,Bus City,Bus Zip,Year Opened,Business Size,Category,Business Phone,Location 1
Smilen Brothers Market,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-499-0975,"147 23 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Popular Varieties & Gifts,Jamaica,11435,,Mom and Pop,VARIETY,(718) 657-3002,"147 28 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Music Palace,Jamaica,11435,,Mom and Pop,GAMES/VIDEO/MUSIC,(718) 206-0331,"147 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Law Office),Jamaica,11435,,Mom and Pop,OTHER,,"147 32 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Mr. Sports),Jamaica,11435,,Mom and Pop,APPAREL/FOOTWEAR,(718) 291-2358,"147 34 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Solid Gold Beauty Supply,Jamaica,11435,,Mom and Pop,HEALTH & BEAUTY,(718) 297-2767,"147 38 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Champion 1-Hour Photo,Jamaica,11435,,Mom and Pop,OTHER,(718) 658-5175/(718) 658-6971,"147 42 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
H&R Block,Jamaica,11435,,National,OTHER,(718) 291-1040,"147 44 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (The Treasure Chest),Jamaica,11435,,Vacant,VACANT,(718) 848-8687,"148 01B Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Game Island,Jamaica,11435,,Mom and Pop,GAMES/VIDEO/MUSIC,718-739-8534,"148 01A Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
My $0.99 Jing Chen Dept. Store ,Jamaica,11435,,Mom and Pop,VARIETY ,718-657-9272,"148 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
L.B. Gifts & Lamps Variety,Jamaica,11435,,Mom and Pop,VARIETY ,718-657-9272,"148 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
L.B. Gifts & Lamps Variety,Jamaica,11435,,,,,
Cici Beauty Salon & Barber Shop ,Jamaica,11435,,Mom and Pop,HAIR & NAILS,718-739-0534,"148 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jackpot Savings,Jamaica,11435,,Mom and Pop,VARIETY ,718-298-5887,"148 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dashing Restaurant,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-206-3802,"148 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jing Ying Gift Store,Jamaica,11435,,Mom and Pop,VARIETY ,718-739-9490,"148 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fancy Curtains,Jamaica,11435,,Mom and Pop,HOME & FURNISHINGS  ,,"148 23 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Milla Fabric,Jamaica,11435,,Mom and Pop,SPECIALTY,718-291-7274/718-291-7274,"148 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Key Food,Jamaica,11435,,Regional,FOOD & BEVERAGE,718-657-4689,"148 27 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Gothic Cabinet Craft Furniture,Jamaica,11435,,Regional,HOME & FURNISHINGS  ,718-297-1109,"148 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
C.H. Martin,Jamaica,11435,,Regional,VARIETY,718-739-9093,"148 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
C.H. Martin,Jamaica,11435,,,,,
Beverly Hill Furniture & Carpet,Jamaica,11435,,Mom and Pop,HOME & FURNISHINGS  ,718-523-7017,"149 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Master Furniture,Jamaica,11435,,Mom and Pop,HOME & FURNISHINGS  ,718-739-3656,"149 09 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
May Luck Kitchen,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-658-0917,"149 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
L & J Gifts,Jamaica,11435,,Mom and Pop,VARIETY ,516-510-8737,"149 13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Pollos a la Brasa Marion Restaurant,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-262-0444,"149 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Puerto Plata),Jamaica,11435,,Vacant,VACANT,718-291-9850,"149 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Punta Cana,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,347-809-7254 ,"149 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Chapines Bakery,Jamaica,11435,2010,Mom and Pop,FOOD & BEVERAGE,718-739-6466,"149 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
La Nueva Playita Restaurant,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-558-5541,"149 23 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dori Mattress & Furniture,Jamaica,11435,,Mom and Pop,HOME & FURNISHINGS  ,718-739-5608,"149 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
"Dr. John Mathew, DDS ",Jamaica,11435,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-658-5585,"149 27 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
DELI,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-657-4994,"149 27 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Rincon Salvadoreno,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-526-3220,"92 15 149th Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Tienda La Santaneca,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,,"92 15 149th Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
H.R. Religious Articles,Jamaica,11435,,Mom and Pop,OTHER,718-523-7655,"149 08 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bancuscatlan Money Transfer,Jamaica,11435,,Mom and Pop,OTHER,,"149 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Que Bueno Restaurant,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,(718) 297-6773,"149 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Al Michael Footwear,Jamaica,11435,,Mom and Pop,FOOTWEAR,718-206-2943,"149 14 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
PZF Inc. Globe Surgical Supply,Jamaica,11435,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-880-3209,"149 16 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
St. Peter Claver School,Jamaica,11435,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 739-3221,"149 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Alex's Furniture,Jamaica,11435,,Mom and Pop,HOME & FURNISHINGS  ,718-528-8758/(718) 523-8750,"149 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
King Manor Museum,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 206-0545 ext. 12,"150 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Family Court,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 298-0197,"150 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
NYPD Forensic Investigation,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 558-8757/(718) 558-8825,"150 14 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Family Court,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 206-0545/(718) 298-0117,"151 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
The UPS Store,Jamaica,11432,,National,OTHER,718-658-7000/718-658-7181 ,"153 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
EZ Pawn Corp.,Jamaica,11432,,Regional,OTHER,(718) 291-7296,"153 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Application Support Center,Jamaica,11432,,Regional,GOVERNMENT/CULTURAL/RELIGIOUS,,"153 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Health Plus,Jamaica,11432,,Regional,MEDICAL/DENTAL/OPTICAL,718-491-7001/718-233-4047,"153 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
HHCA Training School,Jamaica,11432,,Regional,OTHER,,"153 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
.99 US1,Jamaica,11432,,Mom and Pop,VARIETY ,718-523-5931,"153 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Design Nail & Hair Salon,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-262-8529,"153 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
ERM Fashion House,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,347-542-0825,"153 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Ruben’s Furniture,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,718-262-0335,"153 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (World Wide .99 Plus),Jamaica,11432,,Vacant,VACANT,,"155 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Nubian Heritage),Jamaica,11432,,Vacant,VACANT,,"155 03 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Thrift Shop,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,,"155 03 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Grace Episcopal Church ,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 291-0555,"155 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fine Nails,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-262-0200,"155 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dynasty Deli & Grocery,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,(718) 523-2515,"155 27 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
M&M Friendly Fashion,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,(718) 558-8694,"155 29 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Wendy's,Jamaica,11432,,National,FOOD & BEVERAGE,718-291-1008,"155 33 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Performing Arts Center (JPAC),Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 618-6170 ext. 301,"151 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Social Security Administration,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,718-557-3443,"151 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
McDonald's,Jamaica,11432,,National,FOOD & BEVERAGE,(718) 526-3725/c: (631) 478-5004,"159 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Electronics Discount Center,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-523-1576,"159 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Ameritel T-Mobile,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-297-3999,"159 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Rainbow,Jamaica,11432,,Regional,WOMEN'S FASHION,(718) 523-0016,"159 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Market,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,(718) 297-4708/c: (347) 806-4588,"90 40 160th Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Banco Popular),Jamaica,11432,,Vacant,VACANT,(718) 297-4708/c: (347) 806-4588,"159 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Starlight Shoes,Jamaica,11432,,Mom and Pop,FOOTWEAR,(718) 558-5706,"159 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Golden City Jewelers,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-297-2216,"159 23 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Game Stop,Jamaica,11432,,National,GAMES/VIDEO/MUSIC,(718) 658-4667,"159 27 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Burger King,Jamaica,11432,,National,FOOD & BEVERAGE,718-658-9068,"159 29 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Subway,Jamaica,11432,,National,FOOD & BEVERAGE,,"92 17 Parsons Blvd
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dunkin Donuts,Jamaica,11432,,National,FOOD & BEVERAGE,,"92 19 Parsons Blvd
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Golden Krust,Jamaica,11432,,National,FOOD & BEVERAGE,(718) 658-0266,"92 21 Parsons Blvd
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
CitiFinancial,Jamaica,11432,,National,BANKING,(718) 206-4481,"92 15 Parsons Blvd
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Multiplex Cinema/National Amusements,Jamaica,11432,,National,ENTERTAINMENT/EXERCISE,718-291-9400/(718) 298-6371,"159 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Smart Toys,Jamaica,11432,,Mom and Pop,OTHER,,"159 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Old Navy,Jamaica,11432,,National,APPAREL,718-297-2511,"159 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bally Total Fitness,Jamaica,11432,,National,ENTERTAINMENT/EXERCISE,718-739-8667,"159 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Walgreens,Jamaica,11432,,National,HEALTH & BEAUTY,718-658-6013/(718) 658-7998,"159 34 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Taco Bell/Pizza Hut,Jamaica,11432,,National,FOOD & BEVERAGE,718-262-8151,"160 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Diana Fashion,Jamaica,11432,,Mom and Pop,FOOTWEAR,718-739-7757,"160 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
K & M Perfume Gallery,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-298-6989,"160 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fabco Shoes,Jamaica,11432,,Regional,FOOTWEAR,917-376-3872,"160 09 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cap City ,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,,"160 09A Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Feel Beauty Supply,Jamaica,11432,,Mom and Pop,HEALTH & BEAUTY,718-206-1638,"160 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (White Castle),Jamaica,11432,,Vacant,VACANT,,"160 15 160-13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Duane Reade,Jamaica,11432,,National,HEALTH & BEAUTY,718-558-3987,"160 04 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant,Jamaica,11432,,Vacant,VACANT,,"160 08 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Conway,Jamaica,11432,,Regional,VARIETY,718-526-7640,"160 16 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant,Jamaica,11432,,Vacant,VACANT,,"161 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Center for Arts & Learning,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 658-7400 ext. 117,"161 06 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Chase Bank,Jamaica,11432,,National,BANKING,(718) 262-9072/(718) 658-1537,"161 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant,Jamaica,11432,,Vacant,VACANT,,"92 30 Union Hall Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Better Life ,Jamaica,11432,,Mom and Pop,SPECIALTY,718-840-8601,"92 20 Union Hall Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Herbal Flavors Cafe,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,(718) 523-7704,"92 20 Union Hall Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Original Herbal Remedies,Jamaica,11432,,Mom and Pop,SPECIALTY,(718) 523-7704,"92 20 Union Hall Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant,Jamaica,11432,,Vacant,VACANT,,"92 32 Union Hall Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Capital One,Jamaica,11432,,National,BANKING,(718) 291-2801,"161 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kickzholic,Jamaica,11432,,,APPAREL/FOOTWEAR,718-526-6700,"161 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Wan Xing Inc.,Jamaica,11432,,Mom and Pop,VARIETY ,(718) 739-4089,"161 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Solmark Electronics,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-739-4219/718-739-4224,"161 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Verizon Wireless,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-262-0337,"161 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Applebee's Coming Soon),Jamaica,11432,,National,FOOD & BEVERAGE,Zane c: (914) 419-2201,"161 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Unknown,Jamaica,11432,,Upper Floor Condo,OTHER,,"161 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Bank),Jamaica,11432,,Vacant,VACANT,,"92 09 Union Hall St
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Lil Spot,Jamaica,11432,,Mom and Pop,OTHER,917-209-1836,"162 02 Jamaica Avenue
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Gallega Deli,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,(718) 297-8795,"162 02 Jamaica Avenue
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Call Me Wireless,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,(718) 298-6899,"162 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Creative Salon,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-657-0064,"162 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Penda Hair,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-658-2608,"162 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dr. Game & Wireless,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-206-0019,"162 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Law Office of Antoinette Osbourne,Jamaica,11432,,Mom and Pop,OTHER,718-484-7835,"162 02 Jamaica Ave 2nd Floor
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Elbetino Management Corp,Jamaica,11432,,Mom and Pop,OTHER,718-658-6986,"162 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Overseas Direct Travel Agent,Jamaica,11432,,Mom and Pop,OTHER,718-297-2455 / 718-297-2456,"162 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Priority Medical Group,Jamaica,11432,,Regional,MEDICAL/DENTAL/OPTICAL,(718) 206-4420,"162 04 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
R.A.G.,Jamaica,11432,2009,Regional,MENSWARE,(718) 298-6490,"162 04 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Gertz Mall (Under Renovation),Jamaica,11432,,Regional,VACANT,(732) 935-9399,"162 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Children's Place,Jamaica,11432,,National,CHILDREN,(718) 297-7655,"162 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
ICER Outlet Stores,Jamaica,11432,2010,,OUTLET,o: (212) 221-4700 x 350/c:   917-445-3371              ,"162 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Metro PSC,Jamaica,11432,,National,ELECTRONICS/CELLULAR, (914) 593-8529,"162 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Sleepy's,Jamaica,11432,,National,HOME & FURNISHINGS,,"162 03 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Beauty World Beauty Supply,Jamaica,11432,,Regional,HEALTH & BEAUTY,718-523-5635,"162 03 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Payless Shoes,Jamaica,11432,,National,FOOTWEAR,(718) 739-4606,"162 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Young World,Jamaica,11432,,Regional,CHILDREN,(718) 526-7850 / Dan's c: (516) 790-3790,"162 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Shoppers World,Jamaica,11432,,Regional,VARIETY,718-297-1919,"162 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Pretty Girl,Jamaica,11432,,Regional,WOMEN'S FASHION,718-291-2949 / 718-657-6384,"162 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kids Foot Locker,Jamaica,11432,,National,CHILDREN,718-935-9935,"163 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Quality Furniture,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,718-558-0100,"163 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Margherita Pizza ,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,718-262-8978,"163 04 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Illusion,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,718-739-3702,"163 06 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Princess,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,718-739-3702,"163 06A Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
