PROGRAM_LST_ID,PROGRAM_CODE,PROGRAM_NAME,ACTIVE_FLAG,AGENCY_NAME,DESCRIPTION,BOROUGH,PROG_CONTACT_LAST_NAME,PROG_CONTACT_FIRST_NAME,PROG_CONTACT_PHONE_NO,PROG_CONTACT_FAX_NO,PROG_CONTACT_EXTENSION,PROG_CONTACT_EMAIL,PROGRAM_ADDRESS_1,PROGRAM_ADDRESS_2,PROGRAM_CITY,PROGRAM_ZIP,OFFICE_MON_FROM_TIME,OFFICE_MON_TO_TIME,OFFICE_TUES_FROM_TIME,OFFICE_TUES_TO_TIME,OFFICE_WED_FROM_TIME,OFFICE_WED_TO_TIME,OFFICE_THURS_FROM_TIME,OFFICE_THURS_TO_TIME,OFFICE_FRI_FROM_TIME,OFFICE_FRI_TO_TIME,OFFICE_SAT_FROM_TIME,OFFICE_SAT_TO_TIME,OFFICE_SUN_FROM_TIME,OFFICE_SUN_TO_TIME
632,00A650PR,Jamaica FT/R and Support Center,Y,Catholic Charities Neighborhood Services ,Family Treatment and Rehabilitation,Queens,Zelaya,Theresa,7185265151,,,tzelaya@ccbq.org,87-80 Merrick Blvd,,Jamacia,11201,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
335,00A216PR,Jamaica Family & Youth Center - G.P. - Queens,Y,Catholic Charities Neighborhood Services ,General Preventive,Queens,Zelaya,Theresa,7185265151,7185266776,,tzelaya@ccbq.org,8780 Merrick Blvd.,,Queens,11432,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
183,00A413PR,Family First - General Preventive - Bronx,Y,Catholic Guardian Society and Home Bureau,General Preventive,Bronx,Pinto,Cacilda,7188280300,7184309705,,,1990 Westchester Avenue,2nd Floor,Bronx,10462,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,3:00 PM,,
512,00A658PR,Family Unity -Family Treatment/Rehabilitation,Y,Catholic Guardian Society and Home Bureau,Family Treatment and Rehabilitation,Bronx,Croban,Elizabeth,7188280300,7184309705,,,1990 Westchester Avenue,2nd Floor,New York,10469,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,3:00 PM,,
181,00A405PR,Bronx Preventive Services - GP ,Y,Childrens Aid Society,General Preventive,Bronx,Guerrero,Alirio,7187167531,,,aliriog@childrensaidsociety.org,369 E. 148th St. ,2nd Floor,Bronx,10455,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
496,00A556PR,Intensive Preventive and AfterCare Services-SI,Y,Childrens Aid Society,Intensive Preventive,Staten Island,McAndrew,Linda,7182735305,7182736895,17,lindam@childrensaidsociety.org,340 Prospect Avenue,,Staten Island,10302,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
564,00A585PR,Intensive Preventive and Aftercare Services-Bx,Y,Childrens Aid Society,Intensive Preventive,Bronx,Burton,Deborah,7187167531,,,,369 East 148th Street,2nd Floor,Bronx,10455,,,,,,,,,,,,,,
180,00A207PR,Manhattan Preventive Services - GP ,Y,Childrens Aid Society,General Preventive,Manhattan,Guerrero,Alirio,2129874873,2129878958,,,69 West 118th Street,Suite 2-E,New York,10026,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
639,00A677PR,S.I. General Preventive Program,Y,Childrens Aid Society,General Preventive,Staten Island,Guerrero,Alirio,3472918601,,,aliriog@childrensaidsociety.org,465 Villa Avenue,,Richmond,10302,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
148,00A382PR,Family Support Program - Beacon/G.P. - Manhattan,Y,Chinatown YMCA,General Preventive,Manhattan,Loza,Narcisa,2122198393,2129419046,,nloza@ymcanyc.org,100 Hester Street,,New York,10002,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
185,00A260PR,Asian Family Services - General Preventive - Man.,Y,Chinese-American P.C.,General Preventive,Manhattan,Ah-Yune,Judy,2129410030,2122265351,,,165 Eldridge Street,Ground Floor,New York,10002,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
559,00A420PR1,Caribbean Family Services,Y,Church Avenue Merchants Block Association,General Preventive,Brooklyn,Harvey,Janee,7182821481,7182825997,,,521 Ocean Parkway,,Kings County,11226,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,10:00 AM,3:00 PM,,
149,00A379PR,Families for Kids - Beacon/General Prev. - Bklyn,Y,Church Avenue Merchants Block Association,General Preventive,Brooklyn,Harvey,Janee,7182821481,,,,1957 Nostrand Avenue,,Brooklyn,11210,9:00 AM,6:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,10:00 AM,3:00 PM,,
331,00A421PR,Family Center - General Preventive - Bklyn,Y,Church Avenue Merchants Block Association,General Preventive,Brooklyn,Harvey,Janee,7182825575,7182825997,,,885 Flatbush Avenue,3rd Floor,Brooklyn,11226,9:00 AM,6:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,10:00 AM,4:00 PM,,
604,00A639PR,Family Treatment Rehabilitation Program,Y,Coalition for Hispanic Family Services,Family Treatment and Rehabilitation,Brooklyn,Bent,Denise,7184976090,,450,,315 Wyckoff Avenue,,Kings,11237,,,,,,,,,,,,,,
614,00A638PR,General Preventive,Y,Coalition for Hispanic Family Services,General Preventive,Brooklyn,Neilson,Sherene,7184976090,7184979495,,,315 Wyckoff Avenue,,Kings,11237,,,,,,,,,,,,,,
182,00A253PR,Children and Parent Program (A/N) - G.P. - Bklyn,Y,Community Counseling and Mediation,General Preventive,Brooklyn,Cherry,Lana,7182305100,7182305425,,lcherry@ccmnyc.org,810 Classon Avenue,,Brooklyn,11238,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
558,000A350PR,First Step II (FTR),Y,Community Counseling and Mediation,Family Treatment and Rehabilitation,Brooklyn,Cherry,Lana,7186937700,7186930120,26,lcherry@ccmnyc.org,123 Linden Boulevard,Suite 200,Brooklyn,11226,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
383,00A465PR1,First Step Program -FTR - Brooklyn,Y,Community Counseling and Mediation,Family Treatment and Rehabilitation,Brooklyn,Cherry,Lana,7182305100,7182305425,16,lcherry@ccmnyc.org,810 Classon Avenue,,Brooklyn,11238,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
414,00A416PR,General Preventive Program (Queens),Y,"Community Mediation Services,Inc.",General Preventive,Queens,Villegas -Daniels ,Elizabeth,7185236868,7185238204,242,edaniels@mediatenyc.org,163-18 Jamaica Avenue,Suite 601,Jamaica,11432,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
150,00A378PR,Beacon Family Place - General Preventive - Bklyn,Y,Cypress Hills L.D.C,General Preventive,Brooklyn,Howard,Max,7182779593,7182775873,,,350 Linwood Street,Room 177,Brooklyn,11208,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
189,00A245PR,Family Life Program I - General Preventive - Bronx,Y,Dominican Sisters,General Preventive,Bronx,Salisbury,Sharon,7182920151,7189931747,,ssalisbury@dsfhs.org,279 Alexander Avenue,1st Floor,Bronx,10454,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
191,00A313PR,Incarcerated Mothers Program - G.P. - Manhattan,Y,Edwin Gould Services for Children,General Preventive,Manhattan,Swanigan,Amelia,6463157604,6463157697,,,1968 2nd Avenue,2nd Floor,New York,10029,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
562,00A660PR,New Hope - G.P. - Brooklyn,Y,Edwin Gould Services for Children,General Preventive,Brooklyn,Fety,Sylvia,2126025803,,,,20 New York Avenue,,Brooklyn,11216,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,6:00 PM,,,,
603,00A659PR,Nuevos Horizontes-Bronx,Y,Edwin Gould Services for Children,General Preventive,Bronx,Johnston,Janie,2124371350,,,,424 East 147th Street,,Bronx,10455,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,
192,00A656PR,United Families - General Preventive - Bklyn,Y,Edwin Gould Services for Children,General Preventive,Brooklyn,Carroll,Gwendolyn,2124373500,,,gcarroll@egscf.org,151 Lawrence Street,,Brooklyn,11201,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
195,00A329PR,Family Treatment /Rehabilitation Program - Queens,Y,Episcopal Community Services,Family Treatment and Rehabilitation,Queens,Minerva,Felicia,7187762333,7184790205,,,216-10 Jamaica Avenue ,,Queens Village,11428,9:00 AM,5:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,,,,
194,00A129PR,General Preventive Program - Queens,Y,Episcopal Community Services,General Preventive,Queens,Minerva,Felicia,7187762333,7184790205,,,216-10 Jamaica Avenue,,Queens Village,11428,9:00 AM,5:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,9:00 AM,8:00 PM,9:00 AM,5:00 PM,,,,
193,00A407PR,Family Preventive Services - G.P. - Bronx,Y,Episcopal Social Services,General Preventive,Bronx,Channer,Deanne ,6468396307,7184017120,,,412 East 147th Street,,Bronx,10453,9:00 AM,7:00 PM,9:00 AM,7:30 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,6:00 PM,9:00 AM,5:00 PM,,
605,00A628PR,Family Treatment and Rehabilitation,Y,"Forestdale,Inc.",Family Treatment and Rehabilitation,Queens,Ford,Linda,7182630740,7182637818,,,67-35 112th Street,,Forest Hills,11375,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM
197,00A443PR,Preventive Services Program - General Preventive,Y,"Forestdale,Inc.",General Preventive,Queens,Ford,Linda,7182630740,7182637818,,,67-35 112 Street,,"Forest Hills,New York",11375,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:00 AM,8:00 AM,12:12 AM
342,00A383PR,Beacon MS 45 - G.P. - Bronx,Y,Good Shepherd Services,General Preventive,Bronx,Fagella,John,7185622605,,,,685 East 187th Street,"2nd Floor,Rm 202",Bronx,10458,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,,,,
599,00A645PR,Belmont Family Service Center,Y,Good Shepherd Services,General Preventive,Bronx,O'Hara-Cicero,Ellen,7185622605,,,,685 East 187th St. ,Room 201,Bronx,10458,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,,,,
337,00A048PR,Family Reception Center - G.P. - Bklyn ,Y,Good Shepherd Services,General Preventive,Brooklyn,Segal,Valerie ,7187880666,7189650365,,,441 4th Avenue,,Brooklyn,11215,,,,,,,,,,,,,,
500,00A564PR,Neighborhood Family Empowerment Center (Bronx),Y,Good Shepherd Services,General Preventive,Bronx,Riquelme,Dalma,7185622605,7183651411,,,2471 Morris Avenue ,,Bronx,10468,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
275,00A031PR,North Bronx Family Service Center,Y,Good Shepherd Services,General Preventive,Bronx,Tanneberger,Mary,7183651400,7183651411,,E,2190 University Avenue,,Bronx,10453,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
152,00A355PR,Red Hook Family Counseling Svcs Beacon G.P.- Bklyn,Y,Good Shepherd Services,General Preventive,Brooklyn,Schaeffer,Shalini,7184221900,7184221925,310,,173 Conover Street,,Brooklyn,11231,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,8:00 PM,9:00 AM,6:00 PM,,,,
299,00A452PR,Transitions - FTR- Brooklyn,Y,Good Shepherd Services,Family Treatment and Rehabilitation,Brooklyn,Spencer,Claudia,7189653313,7189654102,,,503 Fifth Avenue,4th Floor,Brooklyn,11215,,,,,,,,,,,,,,
567,00A657PR,Transitions -FTR -Bronx,Y,Good Shepherd Services,Family Treatment and Rehabilitation,Bronx,Tanneberger,Mary,7183651400,7185844863,,,2190 University Avenue,,Bronx,10453,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
334,00A381PR,Beacon Ties - General Preventive - Manhattan,Y,Graham Windham,General Preventive,Manhattan,"Blumenthal,LMSW",Jennifer A.,2123681622,2122349407,218,Blumenthalj@graham-windham.com,301 W 140th Street,Room B1,New York,10030,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
607,00A634PR,Brooklyn Family Treatment/Rehabilitation Pgm.,Y,Graham Windham,Family Treatment and Rehabilitation,Brooklyn,Sands,Laurie,7188751167,7183811054,,,540 Atlantic Avenue,,Kings,11217,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 AM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
557,00A447PR,MS 201 Beacon Bronx Preventive Program,Y,Graham Windham,General Preventive,Bronx,Frankel,Jon,7182941715,7184664968,152,frankelj@graham-windham.org,730 Bryant Avenue,,Bronx,10472,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
606,00A653PR,Manhattan Family Treatment/Rehabilitation Pgm.,Y,Graham Windham,Family Treatment and Rehabilitation,Manhattan,Sands,Laurie,7188751167,,208,,274 West 145th Street,2nd floor,New York,10039,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,9:00 AM,,,,
608,00A652PR,Manhattan General Preventive,Y,Graham Windham,General Preventive,Manhattan,Sands,Laurie,7188751167,,208,,274 West 145th Street,2nd Floor,New York,10039,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
381,00A400PR,Neighborhood Family Services Ctr.- G.P. - Bronx,Y,Graham Windham,General Preventive,Bronx,Frankel,Jon,7182941715,7184664968,152,frankelj@graham-windham.org,1946 Webster Avenue,2nd Floor,Bronx,10457,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
556,00A503PR,PS 55 Beacon Bronx Prevention Program,Y,Graham Windham,General Preventive,Bronx,Frankel,Jon,7182941715,7184664968,152,frankelj@graham-windham.org,450 Saint Paul`s Place,,Bronx,10456,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
282,00A356PR,Family Development Program/Beacon G.P. - Man.,Y,"Harlem Childrens Zone,Inc.",General Preventive,Manhattan,Peete,Staci,2122346714,6465885215,,speete@hcz.org,689 Lenox Avenue,,New York,10037,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:30 PM,9:00 AM,4:00 PM,,
214,00A133PR,Family Support Center - G.P. - Manhattan,Y,"Harlem Childrens Zone,Inc.",General Preventive,Manhattan,Boateng,Rowland,2126667390,2126667666,,rboateng@hcz.org,207-11 Lenox Avenue,,New York,10027,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
239,00A352PR,Project Class - Intensive/FTR - Manhattan,Y,"Harlem Childrens Zone,Inc.",Family Treatment and Rehabilitation,Manhattan,Merchant,Marlene,2122817000,2122817518,203,dfgonzalez@hcz.org,309 West 134th Street,,New York,10030,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
216,00A267PR,Truancy Prevention - G.P. - Manhattan,Y,"Harlem Childrens Zone,Inc.",General Preventive,Manhattan,Gonzalez,Debbie,2123603255,2122817518,,dfgonzalez@hcz.org,309 West 134th Street,,New York,10030,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
263,00A434PR,Far Rockaway Prevention Program - G.P. - Queens,Y,Harlem Dowling Westside,General Preventive,Queens,Traynor,Patricia,7184713303,7184716267,,,1603 Central Avenue,Suite 401,Far Rockaway,11691,9:00 AM,7:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,7:00 PM,9:00 AM,5:00 PM,,,,
264,00A433PR,Queens Outreach Prevention - General Preventive,Y,Harlem Dowling Westside,General Preventive,Queens,Harvin,April,7186584580,7186584580,,April.Harvin@dfa.state.ny.us,89-31 161st Street,Suite 701,Jamaica,11434,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
265,00A191PR,Westside - General Prevention - Manhattan,Y,Harlem Dowling Westside,General Preventive,Manhattan,Padilla,Elizabeth ,2129279200,2125686025,,ELIZABETH.PADILLA@DFA.STATE.NY.US,336 Fort Washington,1G, New York,10032,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
338,00A034PR,Bensonhurst Family Services - G.P. - Bklyn ,Y,Heartshare Human Services of New York,General Preventive,Brooklyn,Taylor,Rene,7182341717,7183311541,1270,rene.taylor@heartshare.org,138 Bay 20th Street,,Brooklyn,11214,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,9:00 PM,9:00 AM,6:00 PM,9:00 AM,5:00 PM,,,,
354,00A224PR,East Brooklyn Family Services - General Preventive,Y,Heartshare Human Services of New York,General Preventive,Brooklyn,Georges,Anthony,3477708155,7189414371,,,123 Linden Blvd,,Brooklyn,11226,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
499,00A551PR,Intensive Preventive Aftercare/Adolescents,Y,Heartshare Human Services of New York,Intensive Preventive,Brooklyn,Kang,Mi Seon,7184224232,7184224229,,miseon.kang@heartshare.org,191 Joralemon Street,,Brooklyn,11201,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
293,00A377PR,Surfside Family Services - Beacon/General - Bklyn,Y,Heartshare Human Services of New York,General Preventive,Brooklyn,Callahan,Kenneth,7183720580,7183720634,224,kenneth.callahan@heartshare.org,2950 West 25th Street,2nd Floor,Brooklyn,11224,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,,
