Borough,Market Name ,Street Address,Day(s),Hours,Distribute Health Bucks,Accepts Health Bucks,EBT,Stellar
Brooklyn,Medgar Evers College Farmers' Market,Crown St bet Bedford & Franklin Aves,Wednesday,11am-6pm,1,1,1,0
Brooklyn,Myrtle Avenue Community-Run Farm Stand,Myrtle & N Portland Aves,Wednesday,4pm-7pm,1,1,1,0
Brooklyn,Red Hook Farmers' Market,"Columbia & Beard Sts, across from IKEA",Saturday ,10am-3pm,1,1,1,1
Brooklyn,Seeds in the Middle Farmers' Market,"Albany & Lefferts Aves, at Hamilton Metz Park",Thursday,12pm-7pm,1,1,1,0
Brooklyn,Sunset Park Greenmarket,4th Ave bet 59th & 60th Sts,Saturday,8am-2pm,1,1,1,0
Brooklyn,The Foodshed Farmers' Market,388 Atlantic Ave bet Bond & Hoyt Sts,Sunday,11am-5pm,1,1,1,0
Brooklyn,Urban Oasis Farmers' Market,Clarkson & Troy Aves,Wednesday,2pm-5:30pm,1,1,1,0
Brooklyn,Walt L Shamel Farmers' Market,"Dean St bet Franklin & Bedford Aves, at Walt L Shamel Garden",Saturday,8am-2pm,1,1,1,0
Brooklyn,Weeksville Farmers' Market ,Bergen St bet Buffalo & Rochester Aves,Saturday,9am-4pm,1,1,1,0
Brooklyn,Williamsburg Greenmarket,Havemeyer St bet Broadway & Division Ave,Thursday ,8am-2pm,1,1,1,1
Brooklyn,Windsor Terrace - PS 154 Greenmarket,11th Ave bet Sherman St & Windsor Pl,Sunday,9am-4pm,1,1,1,0
Brooklyn,Coney Island Farmers' Market,"Surf Ave & W 16th St, at MCU Park",Sunday,7am-3pm,0,1,0,0
Brooklyn,Flatbush Caton Merchants Mart Farmers' Market,794-814 Flatbush Ave at Caton Ave,Monday-Saturday & Sunday,10am-8pm & 10am-6pm,0,1,0,0
Brooklyn,McGolrick Park Farmers' Market,Russel St & Nassau Ave,Sunday,11am-4pm,0,1,0,0
Brooklyn,Park Slope Farmers' Market,"5th Ave & 4th St, in front of PS 51",Sunday,11am-5pm,0,1,0,0
Brooklyn,Project Eats Community Market,400 Pennsylvania Ave bet Blake and Dumont Aves,Friday,1pm-7pm,0,1,0,0
Manhattan,La Marqueta Farmers' Market,E 115th St & Park Ave,Monday-Wednesday & Thursday-Saturday ,8am-5pm & 8am-6 pm,0,1,0,0
Manhattan,125th Street Fresh Connect Farmers' Market,"State Office Building, W 125th St & Adam Clayton Powell Blvd",Tuesday ,10am-7pm,1,1,1,0
Manhattan,57th Street Greenmarket,W 57th St & 9th Ave,Wednesday,8am-6pm,1,1,1,0
Manhattan,79th Street Greenmarket,Columbus Ave bet W 78th & 81st Sts,Sunday,8am-5pm,1,1,1,0
Manhattan,82nd Street Greenmarket,82nd St bet 1st and York Aves ,Saturday,9am-3pm,1,1,1,0
Manhattan,92nd Street Greenmarket,1st Ave bet 92nd & 93rd Sts,Sunday ,9am-4pm,1,1,1,1
Manhattan,97th Street Greenmarket,W 97th St bet Columbus & Amsterdam Aves,Friday ,8am-2pm,1,1,1,0
Manhattan,Abingdon Square Greenmarket,W 12th St & 8th Ave,Saturday ,8am-2pm,1,1,1,0
Manhattan,Bowling Green Greenmarket,Broadway & Battery Pl,Tuesday & Thursday,8am-5pm,1,1,1,0
Manhattan,City Hall Greenmarket,Broadway & Chambers St,Tuesday & Friday ,8am-4pm,1,1,1,0
Manhattan,Columbia University Greenmarket,Broadway bet 114th & 116th Sts,Thursday & Sunday ,8am-3pm,1,1,1,0
Manhattan,Dag Hammarskjold Plaza Greenmarket,47th St & 2nd Ave,Wednesday,8am-4pm,1,1,1,0
Manhattan,Fort Washington Greenmarket,168th St & Ft. Washington Ave,Tuesday,8am-4pm,1,1,1,0
Manhattan,Grass Roots Farmers' Market,"W 145th St bet Edgecomb & Bradhurst Aves, at Jackie Robinson Park",Tuesday & Saturday,9am-4pm,1,1,1,1
Manhattan,Harlem Harvest Farmers' Market,W 112th St & Madison Ave,Tuesday & Saturday ,8am-5pm,1,1,1,0
Manhattan,Harvest Home East Harlem Farmers' Market,104th St & 3rd Ave,Thursday,8am-4pm,1,1,1,0
Manhattan,Harvest Home Metropolitan Market,99th St & 3rd Ave,Friday ,8am-4pm,1,1,1,0
Manhattan,Harvest Home Mt. Morris Park Market,"Lenox Ave bet 120th & 121st Sts, Marcus Garvey Park",Saturday,8am-4pm,1,1,1,0
Manhattan,Harvest Home Murray Hill Farmers' Market,1st Ave bet 26th & 27th Sts,Friday,8am-4pm,1,1,1,0
Manhattan,Harvest Home West Harlem Farmers' Market,137th St & Broadway,Tuesday,8am-4pm,1,1,1,0
Manhattan,Inwood Church Farmers' Market,Dyckman St bet Post & Sherman Aves,Wednesday,2pm-6pm,1,1,1,0
Manhattan,Inwood Park Greenmarket,Isham St bet Seaman Ave & Cooper St,Saturday ,8am-3pm,1,1,1,0
Manhattan,Lower East Side Youthmarket,Grand Ave bet Pitt St & Abraham Pl ,Thursday,3pm-7pm,1,1,1,0
Manhattan,Morningside Park Farmers' Market,W 110th St & Manhattan Ave,Saturday ,9am-5pm,1,1,1,0
Manhattan,Mt. Sinai Hospital Greenmarket,99th St bet Madison & Park Aves,Wednesday,8am-4pm,1,1,1,0
Manhattan,New Amsterdam Farmers' Market,"Marginal St, bet columns 29 & 31 of the FDR Drive",Sunday,11am-4pm,1,1,1,0
Manhattan,PS 11 Farm Market,21st St bet 8th and 9th Aves,Wednesday,8am-10am,1,1,1,0
Manhattan,St. Mark's Church Greenmarket,E 10th St & 2nd Ave,Tuesday,8am-7pm,1,1,1,0
Manhattan,Staten Island Ferry/Whitehall Greenmarket,"4 South St, inside Ferry Terminal Bldg",Tuesday & Friday ,8am-7pm,1,1,1,0
Manhattan,Stuyvesant Town Greenmarket,14th St loop & Ave A,Sunday,9:30am-4pm,1,1,1,0
Manhattan,Tompkins Square Greenmarket,E 7th St & Ave A,Sunday,8am-6pm,1,1,1,0
Manhattan,Tribeca Greenmarket,Greenwich & Chambers Sts,Wednesday & Saturday ,8am-3pm,1,1,1,0
Manhattan,Tucker Square Greenmarket,W 66th St & Columbus Ave,Thursday & Saturday,8am-5pm,1,1,1,0
Manhattan,Union Square Greenmarket,Broadway & E 17th St ,"Monday, Wednesday, Friday & Saturday",8am-6pm,1,1,1,0
Manhattan,Washington Heights 175th Street Greenmarket,175th St bet Broadway & Wadsworth Ave,Thursday ,8am-4pm,1,1,1,1
Manhattan,Downton PATH Greenmarket,W Broadway bet Barclay St & Park Pl,Thursday,8am-6pm,0,1,0,0
Manhattan,NY/NJ Port Authority Greenmarket,"8th Ave & W 42nd St, inside bus terminal",Thursday,8am-6pm,0,1,0,0
Manhattan,Rockefeller Center Greenmarket,Rockefeller Plaza at 50th St,"Wednesday, Thursday & Friday",8am-6pm,0,1,0,0
Manhattan,South Village Farmers' Market,6th Ave at Carmine St,"Monday, Wednesday & Friday",10am-7pm,0,1,0,0
Queens,Astoria Greenmarket,31st Ave at 14th St,Wednesday,8am-3pm,1,1,1,0
Queens,Atlas Park Greenmarket,Cooper Ave & 80th St,Saturday,8am-3pm,1,1,1,0
Queens,Corona Greenmarket,Roosevelt Ave & 103rd St,Friday,8am-3pm,1,1,1,1
Queens,Culinary Kids Garden Farmers' Market I,Seagirt Blvd & Beach 31st St,Saturday,10am-3pm,1,1,1,0
Queens,Culinary Kids Garden Farmers' Market II,Central Ave at Beach 20th St,Saturday,10am-5pm,1,1,1,0
Queens,Douglaston Greenmarket,"235th St & 41st Ave, at the LIRR Station",Sunday,8am-3pm,1,1,1,0
Queens,Elmhurst Hospital Greenmarket,41st Ave bet 80th & 81st Sts,Tuesday,8am-5pm,1,1,1,0
Queens,Harvest Home Roy Wilkins Park Farmers Market,Merrick Blvd bet 221st & 222nd Sts,Saturday,8am-4pm,1,1,1,0
Queens,Jackson Heights Greenmarket,34th Ave bet 77th & 78th Sts,Sunday,8am-3pm,1,1,1,1
Queens,Jamaica Farmers Market,"90-40 160th St, off Jamaica Ave",Friday & Saturday ,8:30am-4pm,1,1,1,0
Queens,Pomonok Farmers' Market,"67-09 Kissena Blvd, at QCH Pomonok Center",Thursday,10am-5:30pm,1,1,1,0
Queens,Queens Botanical Garden Farmers' Market,Dahlia Ave off Main St ,Friday,8:30am-4pm,1,1,1,0
Queens,Ridgewood Youthmarket,Cypress Ave bet Myrtle & Putnam Aves,Saturday,10am-3pm,1,1,1,0
Queens,Socrates Sculpture Park Greenmarket,Vernon Blvd & Broadway,Saturday,8am-4pm,1,1,1,0
Queens,Sunnyside Gardens Greenmarket,Skillman Ave bet 42nd & 43rd Sts,Saturday,8am-4pm,1,1,1,0
Queens,Joseph Addabbo Family Health Center's Farmers' Market,6200 Beach Channel Dr,Saturday,8:30am-2pm,0,1,0,0
Staten Island,St. George Greenmarket,"St. Marks Pl at Hyatt St, inside Borough Hall parking lot",Saturday,8am-2pm,1,1,1,0
Staten Island,Staten Island Mall Greenmarket,"Richmond Ave entrance, inside parking lot",Saturday,9am-4pm,1,1,1,0
