Code,Disposition
RI,IMMEDIATE EMERGENCY DECLARATION - ISSUED
RJ,IMMEDIATE/EMERGENCY DECLARATION - ACTION COMPLETED
RK,UNSAFE BUILDING - VIOLATION ISSUED
RL,UNSAFE BUILDING - ACTION COMPLETED
RM,COMPROMISED STRUCTURE: OWNER PROFESSIONAL REPORT REQUIRED
RN,COMPROMISED STRUCTURE: OWNER PROFESSIONAL REPORT DEADLINE PASSED
RO,COMPROMISED STRUCTURE: OWNER PROFESSIONAL REPORT RECEIVED & ACCEPTED
RP,COMPROMISED STRUCTURE: DAILY MONITORING
RQ,COMPROMISED STRUCTURE: WEEKLY MONITORING
RR,COMPROMISED STRUCTURE: MONTHLY MONITORING
RS,COMPROMISED STRUCTURE: PERIODIC MONITORING
RT,COMPROMISED STRUCTURE: ACTION COMPLETED
RU,LL11 UNSAFE - INITIATED
RV,LL11 UNSAFE - ACTION COMPLETED
RW,IMMEDIATE/EMERGENCY DEC - PREVIOUSLY ISSUED/UNDERWAY
RX,UNSAFE BUILDING - PRECEPT PREVIOUSLY ISSUED/UNDERWAY
RY,FACADE REPORT  - PREVIOUSLY ISSUED/UNDERWAY
RZ,VACATE - PREVIOUSLY ISSUED/UNDERWAY 
R1,INSPECTION - NO IMMEDIATE ACTION/NO FOLLOW-UP REQUIRED
R2,INSPECTION - NO IMMEDIATE ACTION/WEEKLY INSPECTION
R3,INSPECTION - NO IMMEDIATE ACTION/MONTHLY INSPECTION
R4,INSPECTION - ENGINEERING ASSESSMENT REQUIRED
R5,INSPECTION - CLASS 1 ECB(S) WRITTEN/ORDER TO CORRECT
R6,ENGINEERING - NO IMMEDIATE ACTION/NO FOLLOW-UP REQUIRED
R7,ENGINEERING - NO IMMEDIATE ACTION/WEEKLY ASSESSMENT
R8,ENGINEERING - NO IMMEDIATE ACTION/MONTHLY ASSESSMENT
R9,BUILDING AT RISK PROGRAM - NO IMMEDIATE DANGER
S0,ALL WORK COMPLETED
S1,STALLED: EXCAVATION – NO IMMEDIATE THREAT
S2,STALLED: EXCAVATION DETERIORATING - NO IMMEDIATE THREAT
S3,STALLED: EXCAVATION - UNSAFE
S4,STALLED: SUPERSTRUCTURE – NO IMMEDIATE THREAT
S5,STALLED: SUPERSTRUCTURE DETERIORATING – NO IMMEDIATE THREAT
S6,STALLED: SUPERSTRUCTURE - UNSAFE
S7,STALLED: NO CONSTRUCTION BEGUN / VACANT SITE
S8,STALLED: CONSTRUCTION IN PROGRESS
S9,STALLED: EMERGENCY DECLARATION FILED
V3,STOP WORK ORDER VIOLATION SERVED (NON-COMPLIANT AFTER-HOURS WORK)
W1,VIOLATION SERVED FOR DISOBEYING VACATE ORDER
XX,ADMINISTRATIVE CLOSURE
Y1,FULL VACATE ORDER SERVED
Y2,VACATE ORDER FULLY RESCINDED
Y3,PARTIAL VACATE ORDER SERVED
Y4,VACATE ORDER PARTIALLY RESCINDED
