BID Business Name,BID Street Num.,BID Street Name,BID Block,BID Lot,BID Floor,BID City,BID Zip,BID Business Tel,BID Business Website,Location 1
Grand Canyon Diner ,141,Montague Street,243,17,1st,Brooklyn,11201,718-797-1402,,"141 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Samoa Nail Salon ,141,Montague Street,243,17,2nd,Brooklyn,11201,718-802-9353,,"141 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Brownstone Real Estate,141,Montague Street,243,17,2nd,Brooklyn,11201,718-858-4629,,"141 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Armando's,143,Montague Street,243,16,1st,Brooklyn,11201,718-624-7167,,"143 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
The Heights Group,143,Montague Street,243,16,2nd,Brooklyn,11201,718-596-1200,,"143 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Tango ,145,Montague Street,243,15,1st,Brooklyn,11201,718-625-7518,,"145 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Good Luck Zhang,147,Montague Street,243,13,2nd,Brooklyn,11201,718-855-8179, ,"147 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Sprint PCS ,147,Montague Street,243,13,1st,Brooklyn,11201,718-488-6700 ,www.sprint.com,"147 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Hanco,149,Montague Street,243,13,1st,Brooklyn,11201,,,"149 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Caffé Buon Gusto ,151,Montague Street,243,11,1st,Brooklyn,11201,718-624-3838 ,www.cafebuongusto.com,"151 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Plaza Nails ,151,Montague Street,243,11,2nd,Brooklyn,11201,718-858-7331,,"151 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Grand Opticians ,151,Montague Street,243,11,1st,Brooklyn,11201,718-625-6545,,"151 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Fabio Scalia,155,Montague Street,243,10,2nd,Brooklyn,11201,718-855-5777 ,www.salonfemmina.com,"155 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
James Weir Floral Co. ,155,Montague Street,243,10,1st,Brooklyn,11201,718-624-0270 ,www.jamesweirflorist.com,"155 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
St. Ann & the Holy Trinity Church,161,Montague Street,243,1,1st,Brooklyn,11201,n/a,n/a,"161 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Best Cleaners,185,Henry Street ,243,22,1st,Brooklyn,11201,718-875-2193,,"185 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Heights Deli & Convenience,89,Montague Street,242,1001,1st,Brooklyn,11201,718-522-0666,,"89 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Fringe Boutique & Salon,91,Montague Street,242,1002,1st,Brooklyn,11201,646-460-4289646-918-0096/,,"91 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Love Mews condo sales office,93,Montague Street,242,1003,1st,Brooklyn,11201,,,"93 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Lantern Thai Kitchen ,101,Montague Street,242,14,1st,Brooklyn,11201,718-237-2594 ,www.lanternthai.com,"101 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Pet Emporium ,103,Montague Street,242,12,1st,Brooklyn,11201,718-624-2533,,"103 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Ricky's NYC ,107,Montague Street,242,11,1st,Brooklyn,11201,718-522-5011 ,www.rickys-nyc.com,"107 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Crumbs Bake Shop,109,Montague Street,242,10,1st,Brooklyn,11201,,www.crumbs.com,"109 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Mandalay One Cleaners,111,Montague Street,242,8,1st,Brooklyn,11201,718-624-6518,,"111 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Brooklyn Landmark Real Estate ,111,Montague Street,242,8,2nd,Brooklyn,11201,718-858-6600 ,www.brooklynlandmark.com,"111 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Peerless Shoe Repair Service ,113,Montague Street,242,8,1st,Brooklyn,11201,718-855-4954,,"113 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Connecticut Muffin ,115,Montague Street,242,6,1st,Brooklyn,11201,718-875-3912,www.connecticutmuffin.com/,"115 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Subway Sandwiches ,117,Montague Street,242,6,1st,Brooklyn,11201,718-243-0826 ,www.subway.com,"117 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Irene Dinov Hair Salon ,119,Montague Street,242,5,1st,Brooklyn,11201,718-855-5900 ,www.irenedinov.com,"119 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
VACANT [former Jennifer Convertibles],121,Montague Street,242,1,1st,Brooklyn,11201,,,"121 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Ann Taylor Loft ,125,Montague Street,242,1,1st,Brooklyn,11201,718-643-6585 ,www.anntaylorloft.com,"125 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
New York KiDs Club ,182,Henry Street ,242,1,2nd,Brooklyn,11201,212-400-9500 / 718-228-0800,www.nykidsclub.com,"182 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Design Within Reach ,76,Montague Street,247,32,1st,Brooklyn,11201,718-643-1015 ,www.dwr.com,"76 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Montague Wines and Spirits ,78,Montague Street,247,33,1st,Brooklyn,11201,718-254-9422,,"78 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
78 Laundromat,78,Montague Street,247,33,1st,Brooklyn,11201,718-855-4979,,"78 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Teresa's Polish-American Restaurant ,80,Montague Street,247,34,1st,Brooklyn,11201,718-797-3996,,"80 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Plaza Cleaners ,82,Montague Street,247,35,1st,Brooklyn,11201,718-522-2428,,"82 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Heights Café ,84,Montague Street,247,35,1st,Brooklyn,11201,718-625-5555 ,www.heightscafeny.com,"84 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Dara Ettinger Jewelers,214,Hicks Street ,247,35,1st,Brooklyn,11201,718-875-3272,,"214 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Overtures ,216,Hicks Street ,247,35,1st,Brooklyn,11201,718-643-9345,,"216 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
J. McLaughlin,218,Hicks Street ,247,35,1st,Brooklyn,11201,347-599-2818,www.jmclaughlin.com,"218 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Key Food ,100,Montague Street,248,24,1st,Brooklyn,11201,718-875-8121 ,www.keyfoodstores.com,"100 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Montague Street Bagels ,106,Montague Street,248,27,1st,Brooklyn,11201,718-237-2512,,"106 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Bikram Yoga ,106,Montague Street,248,27,2nd,Brooklyn,11201,718-797-2100 ,www.bikramyogabrooklyn.com,"106 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Supercuts ,108,Montague Street,248,28,2nd,Brooklyn,11201,718-858-0080 ,www.supercuts.com,"108 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Radio Shack ,110,Montague Street,248,29,1st,Brooklyn,11201,718-855-4840 ,www.radioshack.com,"110 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Sarina Threading Salon,110,Montague Street,248,29,2nd,Brooklyn,11201,718-237-2478,,"110 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Starbucks ,112,Montague Street,248,30,1st,Brooklyn,11201,718-243-0455 ,www.starbucks.com,"112 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
VACANT [above Starbucks],112,Montague Street,248,30,2nd,Brooklyn,11201,,,"112 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Lassen & Hennigs ,114,Montague Street,248,31,1st,Brooklyn,11201,718-875-6272 ,www.lassenandhennigs.com,"114 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Sleepy's ,116,Montague Street,248,32,1st,Brooklyn,11201,718-852-4140 ,www.sleepys.com,"116 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Tenda Asian Bistro ,118,Montague Street,248,33,1st,Brooklyn,11201,718-855-8688,,"118 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Häagen-Dazs ,120,Montague Street,248,34,1st,Brooklyn,11201,718-797-3700 ,www.haagen-dazs.com,"120 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
"Matthew L. Bellafiore, DDS ",120,Montague Street,248,34,2nd,Brooklyn,11201,718-875-9424 ,www.bellafioreDDS.com,"120 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Housing Works Thrift Shop ,122,Montague Street,248,35,1st,Brooklyn,11201,718-237-0521 ,www.housingworksauctions.com,"122 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Corcoran ,124,Montague Street,248,36,1st,Brooklyn,11201,718-237-1700 ,www.corcoran.com,"124 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Andy's Chinese Cuisine ,128,Montague Street,249,25,1st,Brooklyn,11201,718-237-8899,,"128 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Vegetarian Ginger,128,Montague Street,249,25,2nd,Brooklyn,11201,718-246-1288,,"128 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
UNDER CONST - Migita Sushi ,130,Montague Street,249,26,2nd,Brooklyn,11201,718-858-8077,,"130 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Dashing Diva ,130,Montague Street,249,26,1st,Brooklyn,11201,718-802-1788 ,www.dashingdiva.com,"130 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Heights Vision Center ,132,Montague Street,249,27,2nd,Brooklyn,11201,718-852-1149,www.doctorstuartfriedman.com/,"132 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
VACANT,132,Montague Street,249,27,1st,Brooklyn,11201,,,"132 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
VACANT [former Nine West] ,134,Montague Street,249,28,1st,Brooklyn,11201,,,"134 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
The Heights Salon,136,Montague Street,249,29,2nd,Brooklyn,11201,347-763-1023,,"136 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Variety Mart ,136,Montague Street,249,29,1st,Brooklyn,11201,718-852-1309,,"136 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Five Guys Burgers & Fries ,138,Montague Street,249,30,2nd,Brooklyn,11201,718-797-9380 ,www.fiveguys.com,"138 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Montague Art Custom Framing ,138,Montague Street,249,30,1st,Brooklyn,11201,718-858-1063 ,www.onehourframing.com,"138 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
VACANT (Amin Indian Cuisine),140,Montague Street,249,30,2nd,Brooklyn,11201,718-855-4791,,"140 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Montague Laundry,140,Montague Street,249,30,1st,Brooklyn,11201,718-875-1590,,"140 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
"Oh, My Pasta!",142,Montague Street,249,32,2nd,Brooklyn,11201,,,"142 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Aerosoles ,142,Montague Street,249,32,1st,Brooklyn,11201,718-625-3135 ,www.aerosoles.com,"142 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Spring Thyme ,144,Montague Street,249,33,2nd,Brooklyn,11201,718-260-9379 ,www.springthymeny.com,"144 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Bentley's Shoes ,144,Montague Street,249,33,1st,Brooklyn,11201,718-330-0275,,"144 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Universal Mortgage,146,Montague Street,249,34,2nd,Brooklyn,11201,718-210-1119,,"146 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Verizon Wireless ,146,Montague Street,249,34,1st,Brooklyn,11201,718-246-4117 ,www.verizonwireless.com,"146 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Happy Days Diner ,148,Montague Street,249,35,1st,Brooklyn,11201,718-875-8361,,"148 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
M&E Candy & Grocery ,148,Montague Street,249,35,1st,Brooklyn,11201,,,"148 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
St. Marks Comics ,148,Montague Street,249,35,2nd,Brooklyn,11201,718-935-0911 ,www.stmarkscomics.com,"148 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Advanced Cosmetic Dental Arts ,150,Montague Street,249,36,2nd,Brooklyn,11201,718-522-4445,,"150 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Halstead Brooklyn ,150,Montague Street,249,36,1st,Brooklyn,11201,718-613-2000 ,www.halstead.com,"150 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
M·A·C ,152,Montague Street,249,37,1st,Brooklyn,11201,718-596-1994 ,www.maccosmetics.com,"152 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Area Kids ,154,Montague Street,249,38,1st,Brooklyn,11201,718-243-0148 ,www.areakids.com,"154 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Daphne Art ,154,Montague Street,249,38,2nd,Brooklyn,11201,718-643-0229,,"154 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Pearle Vision ,154,Montague Street,249,38,1st,Brooklyn,11201,718-246-5795 ,www.pearlevision.com,"154 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Prudential Douglas Elliman ,156,Montague Street,249,39,1st,Brooklyn,11201,718-780-8100 ,www.prudentialelliman.com,"156 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Monty Q's Pizzeria ,158,Montague Street,249,40,1st,Brooklyn,11201,718-246-2000,www.montyqs.com,"158 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Brooklyn Heights Real Estate ,158,Montague Street,249,40,2nd,Brooklyn,11201,718-237-2176 ,www.brooklynheightsrealestate.com,"158 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Yoga People ,160,Montague Street,249,41,2nd,Brooklyn,11201,718-522-9642 ,www.yoga-people.com,"160 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
AT&T,160,Montague Street,249,41,1st,Brooklyn,11201,718-875-7940,www.att.com,"160 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Lichee Nut Chinese Cuisine ,162,Montague Street,249,42,1st,Brooklyn,11201,718-522-5565,,"162 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Nanatori Japanese ,162,Montague Street,249,42,2nd,Brooklyn,11201,718-522-5555,,"162 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Kiddie Korner pre-school,166,Montague Street,249,43,1st,Brooklyn,11201,718-522-5555,,"166 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Rite Aid ,168,Montague Street,250,23,1st,Brooklyn,11201,718-522-2991 ,www.riteaid.com,"168 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Hallmark Card Harbor II ,172,Montague Street,250,23,1st,Brooklyn,11201,718-625-7000,,"172 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Eamonn Doran ,174,Montague Street,250,28,1st,Brooklyn,11201,718-596-4969 ,www.eamonns.net,"174 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Garden of Eden ,180,Montague Street,250,30,1st,Brooklyn,11201,718-222-1515 ,www.edengourmet.com,"180 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Flushing Savings ,186,Montague Street,250,34,1st,Brooklyn,11201,718-855-3555 ,www.flushingsavings.com,"186 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Dime Savings Bank,188,Montague Street,250,36,1st,Brooklyn,11201,718.855.1942,http://www.dimewill.com/,"188 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
HSBC ,200,Montague Street,250,39,1st,Brooklyn,11201,718-858-0599,www.hsbc.com,"200 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
Montague Jewelers ,212,Montague Street,250,44,1st,Brooklyn,11201,718-858-0600,,"212 Brooklyn
NY 11201
(40.69467825879468, -73.98992086835335)"
