Grade,Year,Category,Number Tested,Mean Scale Score,Level 1 #,Level 1 %,Level 2 #,Level 2 %,Level 3 #,Level 3 %,Level 4 #,Level 4 %,Level 3+4 #,Level 3+4 %
3,2009,General Ed,59155,694,301,0.5%,2620,4.4%,39383,66.6%,16851,28.5%,56234,95.1%
4,2009,General Ed,56919,695,1051,1.8%,4480,7.9%,28678,50.4%,22710,39.9%,51388,90.3%
5,2009,General Ed,56538,689,613,1.1%,4567,8.1%,29247,51.7%,22111,39.1%,51358,90.8%
6,2009,General Ed,56396,682,1199,2.1%,7649,13.6%,31120,55.2%,16428,29.1%,47548,84.3%
7,2009,General Ed,58040,680,484,0.8%,6845,11.8%,34936,60.2%,15775,27.2%,50711,87.4%
8,2009,General Ed,60830,674,1181,1.9%,12156,20%,36535,60.1%,10958,18%,47493,78.1%
All Grades,2009,General Ed,347878,686,4829,1.4%,38317,11%,199899,57.5%,104833,30.1%,304732,87.6%
3,2010,General Ed,58565,694,4619,7.9%,18859,32.2%,20295,34.7%,14792,25.3%,35087,59.9%
4,2010,General Ed,58890,690,2284,3.9%,18423,31.3%,21569,36.6%,16614,28.2%,38183,64.8%
5,2010,General Ed,56408,688,2373,4.2%,16483,29.2%,22236,39.4%,15316,27.2%,37552,66.6%
6,2010,General Ed,56820,682,3744,6.6%,18591,32.7%,18705,32.9%,15780,27.8%,34485,60.7%
7,2010,General Ed,57771,677,4030,7%,19053,33%,18812,32.6%,15876,27.5%,34688,60%
8,2010,General Ed,60407,679,4958,8.2%,23374,38.7%,19861,32.9%,12214,20.2%,32075,53.1%
All Grades,2010,General Ed,348861,685,22008,6.3%,114783,32.9%,121478,34.8%,90592,26%,212070,60.8%
3,2011,General Ed,59507,687,4596,7.7%,19119,32.1%,27532,46.3%,8260,13.9%,35792,60.1%
4,2011,General Ed,58152,691,1938,3.3%,15978,27.5%,23087,39.7%,17149,29.5%,40236,69.2%
5,2011,General Ed,57495,690,2107,3.7%,15247,26.5%,24589,42.8%,15552,27%,40141,69.8%
6,2011,General Ed,56384,684,3660,6.5%,16999,30.1%,20024,35.5%,15701,27.8%,35725,63.4%
7,2011,General Ed,57546,679,3674,6.4%,17746,30.8%,19077,33.2%,17049,29.6%,36126,62.8%
8,2011,General Ed,59105,679,4092,6.9%,19942,33.7%,23264,39.4%,11807,20%,35071,59.3%
All Grades,2011,General Ed,348189,685,20067,5.8%,105031,30.2%,137573,39.5%,85518,24.6%,223091,64.1%
