Facility Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Number of Spaces,Location 1
Parking Garage,367711,575 FIRST AVE CORP,,2 AVENUE,580-600 2 AVENUE,575 1 AVENUE,10016,2128661000,300,"580 600 2 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Garage,367720,222 EAST 69TH       GARAGE CORP,,EAST   69 STREET,222 EAST   69 STREET,,10021,2124072516,157,"222 69 STREET
NEW YORK, NY 10021
(40.76755437432933, -73.96147951695475)"
Parking Garage,367734,11 EAST 86TH ST GARAGE CORP,,EAST   86 STREET,11 EAST   86 STREET,,10028,2129562280,22,"11 86 STREET
NEW YORK, NY 10028
(40.781108932691836, -73.95940478910535)"
Parking Garage,367783,"BENNETT TOWERS APARTMENTS, INC",,WEST  190 STREET,711 WEST  190 STREET,,10040,2128799630,15,"711 190 STREET
NEW YORK, NY 10040
(40.85666097637329, -73.93327049093392)"
Parking Garage,367816,PARK-SERV LLC,,WEST   53 STREET,140-166 WEST   53 STREET,AKA 801-819 7 AVENUE,10019,2126869800,260,"140 166 WEST 53 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,367866,333 GARAGE CORP,,EAST   69 STREET,333 EAST   69 STREET,,10021,2126581529,67,"333 69 STREET
NEW YORK, NY 10021
(40.766216159886596, -73.95823567046727)"
Parking Garage,367879,PREVOST GARAGE CORP,,EAST   72 STREET,420 EAST   72 STREET,,10021,2126501529,64,"420 72 STREET
NEW YORK, NY 10021
(40.76744823106674, -73.95515099590676)"
Parking Lot,367908,74 HUDSON STREET PARKING CORP,,HUDSON STREET,74 HUDSON STREET,,10013,2124760135,99,"74 HUDSON STREET
NEW YORK, NY 10013
(40.71830467074929, -74.00884100123321)"
Parking Garage,367917,ZENITH PARKING LLC,254 254 W 49 STREET,8 AVENUE,790-800 8 AVENUE,AKA 254 WEST 49 STREET,10019,2126869800,250,"790 800 8 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,367970,TOWER EAST GARAGE   CORP,,EAST   71 STREET,191 EAST   71 STREET,,10021,2128887400,62,"191 71 STREET
NEW YORK, NY 10021
(40.769172433548555, -73.96132162586757)"
Parking Garage,367984,DISTINCTIVE PARKING LLC,DISTINCTIVE LLC,EAST   61 STREET,35-39 EAST   61 STREET,AKA 540 PARK AVENUE,10021,2126869800,129,"35 39 EAST 61 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,368099,FISHER 40TH & 3RD CO & HAWAIIAN REALTY INC,,EAST   40 STREET,222 EAST   40 STREET,,10016,2127525000,750,"222 40 STREET
NEW YORK, NY 10016
(40.749076858835046, -73.974515725625)"
Parking Garage,368105,THE MCDONO CORPORATION,,MCDONOUGH STREET,679-85 MCDONOUGH STREET,,11233,7187568490,25,"679 85 MCDONOUGH STREET
BROOKLYN, NY 11233
(40.67813043816926, -73.91977647550391)"
Parking Garage,368146,79-80 GARAGE CORP,,41 AVENUE,79-11 41 AVENUE,,11373,7187250413,72,"79 11 41 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,368148,79-80 GARAGE CORP,,41 AVENUE,80-15 41 AVENUE,,11373,7187250413,98,"80 15 41 AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
Parking Garage,368157,EFFECTIVE PARKING LLC,,WEST   57 STREET,435 WEST   57 STREET,,10019,2126869800,55,"435 57 STREET
NEW YORK, NY 10019
(40.768572383603384, -73.98724779913249)"
Parking Garage,368172,TRITO PARKING   PARKING CORP,,EAST   63 STREET,225 EAST   63 STREET,18,10065,2129355922,31,"225 63 STREET
NEW YORK, NY 10065
(40.76356315990017, -73.9635866365416)"
Parking Garage,368185,BRICIN PARKING CORP,,EAST   55 STREET,155 EAST   55 STREET,,10022,2127565451,42,"155 55 STREET
NY, NY 10022
(40.75943562867136, -73.96954093360974)"
Parking Garage,368199,MUTUAL PARKING INC,,EAST END AVENUE,61 EAST END AVENUE,,10028,2128887400,62,"61 END AVENUE
NEW YORK, NY 10028
(40.563537960252326, -74.17870635334826)"
Parking Garage,368201,145 EAST 16TH STREET GARAGE CORP,,EAST   17 STREET,144 EAST   17 STREET,,10003,2128887400,47,"144 17 STREET
NEW YORK, NY 10003
(40.735669369839925, -73.98696372688401)"
Parking Garage,368219,CIRCLE PARKING LLC,,WEST   52 STREET,200 WEST   52 STREET,"AKA 1652 BROADWAY, 200-206 W 52",10019,2126869800,440,"200 52 STREET
NEW YORK, NY 10019
(40.762709985251874, -73.98330461403184)"
Parking Garage,368238,NEW YORK PARKING 56TH ST CORP,,WEST   56 STREET,65 WEST   56 STREET,,10019,2122493349,80,"65 56 STREET
NEW YORK, NY 10019
(40.7631849740712, -73.97652186702209)"
Parking Garage,368285,"ELLMAN, LEE E",,QUEENS BOULEVARD,118-21 QUEENS BOULEVARD,,11375,7185750045,42,"118 21 QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Garage,368300,APEX PARKING LLC,,WEST   57 STREET,440 WEST   57 STREET,AKA 426-40 WEST 57 STREET,10019,2126869800,378,"440 57 STREET
NEW YORK, NY 10019
(40.76839945061566, -73.98691591270132)"
Parking Garage,368322,CAROLE STORAGE CORP,,3 AVENUE,777 3 AVENUE,,10017,2127536116,92,"777 3 AVENUE
NEW YORK, NY 10017
(40.754839736215956, -73.97150067039945)"
Parking Garage,368337,165 W 66TH STREET PARKING LLC,,WEST   66 STREET,165 WEST   66 STREET,AKA 140 WEST 67 STREET,10023,2126869800,77,"165 66 STREET
NEW YORK, NY 10023
(40.774405145518394, -73.9833447024074)"
Parking Lot,368391,ALERT GARAGE CORP,,40 AVENUE,30-17 40 AVENUE,,11101,7187860640,200,"30 17 40 AVENUE
LIC, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Garage,368400,305 E 86TH PARKING LLC,,EAST   86 STREET,305 EAST   86 STREET,AKA 1660 2 AVENUE,10028,2126886800,168,"305 86 STREET
NEW YORK, NY 10028
(40.77783494683832, -73.95155321153848)"
Parking Garage,368410,BRICIN PARKING CORP,,WEST   55 STREET,65 WEST   55 STREET,,10019,2127515431,24,"65 55 STREET
NEW YORK, NY 10019
(40.76256729922898, -73.97696453956875)"
Parking Garage,368455,SWIFT PARKING LLC.,,EAST   88 STREET,160 EAST   88 STREET,AKA 160 EAST 88 STREET,10128,2126869800,36,"160 88 STREET
NEW YORK, NY 10128
(40.78073093920931, -73.95459313851522)"
Parking Garage,368468,SIRUL REALTY CORPORATION,,EAST   17 STREET,1279 EAST   17 STREET,,11230,5163747000,24,"1279 17 STREET
BROOKLYN, NY 11230
(40.61896980516015, -73.95824544898755)"
Parking Garage,368502,GLOBAL PARKING LLC,,WEST   40 STREET,143 WEST   40 STREET,145 WEST 40 ST,10018,2126869800,150,"143 40 STREET
NEW YORK, NY 10018
(40.75454295994632, -73.98740068387747)"
Parking Garage,368506,GEMA PARKING CORP,,EAST   14 STREET,333 EAST   14 STREET,,10003,2124774043,44,"333 14 STREET
NEW YORK, NY 10003
(40.73169118718175, -73.98336272796593)"
Parking Garage,368546,CREATIVE PARKING LLC,,WEST   16 STREET,16 WEST   16 STREET,,10011,2126869800,99,"16 16 STREET
NEW YORK, NY 10011
(40.73751641877203, -73.99320081806698)"
Parking Lot,368580,209 LINCOLN PLACE   HOUSING CORP,,LINCOLN PLACE,209 LINCOLN PLACE,211,11217,2015672150,14,"209 LINCOLN PLACE
BKLYN, NY 11217
(40.675266646109705, -73.97331338688582)"
Parking Lot,368585,MEMORIAL SLOAN KETTERING CANCER,,EAST   67 STREET,430 EAST   67 STREET,,10065,2125397711,176,"430 67 STREET
NEW YORK, NY 10065
(40.764288561018304, -73.95762278917427)"
Parking Garage,368594,MANHATTAN PARKING SYSTEMPARK AVE CORP,,PARK AVENUE,277 PARK AVENUE,,10017,2127536116,40,"277 PARK AVENUE
NEW YORK, NY 10017
(40.7555502006191, -73.97499003987315)"
Parking Garage,368600,REGENCY GARAGE CORP,,EAST   63 STREET,221 EAST   63 STREET,239 E 63 ST,10065,2127520485,300,"221 63 STREET
NEW YORK, NY 10065
(40.763863310836385, -73.96423750620542)"
Parking Garage,368602,PHYLLIS SIRULNICK REALTY CORP,,41 AVENUE,143-25 41 AVENUE,,11355,5163747000,33,"143 25 41 AVENUE
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
Parking Garage,368610,KRD REALTY CO INC,,WEST   45 STREET,330 WEST   45 STREET,330-342,10036,2122658189,58,"330 45 STREET
NEW YORK, NY 10036
(40.75977701415684, -73.98984683979717)"
Parking Garage,368677,920 PARKING CORP,,PARK AVENUE,920 PARK AVENUE,,10028,2128661000,27,"920 PARK AVENUE
NEW YORK, NY 10028
(40.77658371119706, -73.95999153805225)"
Parking Garage,368705,AMBER PARK LLC,,EAST   13 STREET,101-103 EAST   13 STREET,AKA 101 EAST 13 STREET,10003,2126869800,46,"101 103 EAST 13 STREET
NEW YORK, NY 10003
(40.73194394755518, -73.98887214913032)"
Parking Garage,368732,MANHATTAN PARKING BORO CORP,,CLINTON STREET,40 CLINTON STREET,,11201,2127536116,50,"40 CLINTON STREET
BKLYN, NY 11201
(40.69537538413037, -73.99193192863936)"
Parking Lot,368777,JAY B REALTY CORP,,WEST   51 STREET,349 WEST   51 STREET,,10019,2122658189,18,"349 51 STREET
NEW YORK, NY 10019
(40.76352468811067, -73.98701985765095)"
Parking Garage,368822,OMNI PARKING LLC,,WEST   68 STREET,143-159 WEST   68 STREET,,10023,2126869800,271,"143 159 WEST 68 STREET
NEW YORK, NY 10023
(40.774536138232236, -73.97994335610099)"
Parking Garage,368909,CLASSIC PARKING LLC,,UNITED NATIONS PLAZA,866 UNITED NATIONS PLAZA,,10017,2126869800,175,"866 UNITED NATIONS PLAZA
NEW YORK, NY 10017
(40.75268136334563, -73.96677023652535)"
Parking Garage,368910,CHATHAM PARKING SYSTEMS INC,,PARK ROW,180 PARK ROW,,10038,2125137143,130,"180 PARK ROW
NEW YORK, NY 10038
(40.713022481601165, -74.00120830365637)"
Parking Garage,368933,BRICIN PARKING CORP,,EAST   80 STREET,511 EAST   80 STREET,,10021,2127523451,50,"511 80 STREET
NEW YORK, NY 10021
(40.62571793104923, -74.02398978691842)"
Parking Lot,369040,CIRCLE LINE SIGHTSEEING YACHTS INC,PIER 83 PARKING LOT,12 AVE,0 12 AVE,WEST   42 STREET,10036,2126308810,300,"0 12 AVE
NEW YORK, NY 10036
(40.76251544973604, -74.00033293465881)"
Parking Garage,369041,UNIVERSAL PARKING LLC,,WEST   14 STREET,55 WEST   14 STREET,,10011,2126869800,129,"55 14 STREET
NEW YORK, NY 10011
(40.73676288704266, -73.99535654390279)"
Parking Garage,369201,VALOR PARKING LLC,,EAST   45 STREET,235 EAST   45 STREET,,10017,2126869800,90,"235 45 STREET
NY, NY 10017
(40.752383738417784, -73.97222646336634)"
Parking Garage,369221,PORT PARKING LLC,,WEST   48 STREET,235 WEST   48 STREET,,10036,2126869800,94,"235 48 STREET
NEW YORK, NY 10036
(40.76046677832929, -73.98558985323699)"
Parking Garage,369314,THE SOCIETY OF THE NEW YORK HOSPITAL,THE NY HOSPL G      PAYSON HSE,EAST   71 STREET,426-438 EAST   71 STREET,,10021,2127461969,174,"426 438 EAST 71 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,369346,NOBLE PARKING LLC,,EAST   40 STREET,310 EAST   40 STREET,AKA 728-746 2 AVENUE,10016,2126869800,235,"310 40 STREET
NEW YORK, NY 10016
(40.748336242602285, -73.9727415170941)"
Parking Garage,369373,JO-MEG GARAGE CORP,80 CENTRAL PARK W GARAGE,CENTRAL PARK WEST,80 CENTRAL PARK WEST,,10023,2129562280,83,"80 CENTRAL PARK
NEW YORK, NY 10023
(40.773833417474805, -73.97770599240164)"
Parking Garage,369462,980 FIFTH AVE CORPORATION,,5 AVENUE,980 5 AVENUE,,10075,2123502808,88,"980 5 AVENUE
NEW YORK, NY 10075
(40.77721486830495, -73.9635596568807)"
Parking Lot,369548,WINTON REALTY CO INC,,WEST   48 STREET,310 WEST   48 STREET,,10036,2122658185,12,"310 48 STREET
NEW YORK, NY 10036
(40.761147844489, -73.98735263073792)"
Parking Lot,369603,"SAUBER, DAVID - ET AL",MARLE REALTY CO,ALBEMARLE ROAD,415 ALBEMARLE ROAD,,11218,7183382010,8,"415 ALBEMARLE ROAD
BROOKLYN, NY 11218
(40.64548060202624, -73.97668803303637)"
Parking Garage,369606,THE HERTZ CORP,,EAST   64 STREET,327 EAST   64 STREET,,10065,2124865914,120,"327 64 STREET
NEW YORK, NY 10065
(40.76317645142757, -73.96072679248846)"
Parking Lot,369661,CIRCLE LINE SIGHTSEEING YACHTS INC,,12 AVENUE,0 12 AVENUE,WEST   42 STREET,10036,2126308810,160,"0 12 AVENUE
NEW YORK, NY 10036
(40.76251544973604, -74.00033293465881)"
Parking Lot,369751,CORNELL UNIVERSITY MEDICAL COLLEGE,,EAST   70 STREET,404-430 EAST   70 STREET,,10021,2127466080,180,"404 430 EAST 70 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)"
Parking Garage,369771,KINGS HIGHWAY REALTY CORP,,KINGS HIGHWAY,5455 KINGS HIGHWAY,,11203,7186290197,16,"5455 KINGS HIGHWAY
BKLYN, NY 11203
(40.642420674061285, -73.92514331924872)"
Parking Garage,369777,COMMAND PARKING LLC,,BROADWAY,1700 BROADWAY,,10019,2126869800,122,"1700 BROADWAY
NEW YORK, NY 10019
(40.764051238028266, -73.98245545906843)"
Parking Garage,369823,PARKLEX GARAGE INC,,PARK AVENUE,345 PARK AVENUE,,10022,2124072516,150,"345 PARK AVENUE
NEW YORK, NY 10022
(40.758068302301126, -73.97318240259426)"
Parking Lot,369838,JIB REALTY CORP,,JEWEL AVENUE,158-20 JEWEL AVENUE,,11365,7185912000,263,"158 20 JEWEL AVENUE
FLUSHING, NY 11365
(40.73987184371066, -73.79462153515567)"
Parking Garage,369933,ZEPHYR PARKING LLC,,EAST   35 STREET,132 EAST   35 STREET,,10016,2126869800,85,"132 35 STREET
NEW YORK, NY 10016
(40.74715952608574, -73.97948665001962)"
Parking Garage,369939,THE FISHER-SIXTH AVENUE CO & HAWAIIAN SIXTH AVE CORP,BURLINGTON HOUSE GARAGE,6 AVENUE,1341 6 AVENUE,101  W 55 ST,10019,2127525000,341,"1341 6 AVENUE
NEW YORK, NY 10019
(40.76257917128613, -73.97851708229035)"
Parking Garage,369956,STATE-PEARL GARAGE INC,,BATTERY PARK PLAZA,1 BATTERY PARK PLAZA,,10004,2124072516,150,"1 BATTERY PARK PLAZA
NEW YORK, NY 10004
(40.688827825343935, -74.01911250583743)"
Parking Garage,369984,ALLIED ST GEORGE    CORP,ALLIED GARAGE,CENTRAL AVENUE,55 CENTRAL AVENUE,,10301,7182633800,198,"55 CENTRAL AVENUE
STATEN ISLAND, NY 10301
(40.64041828999508, -74.07663799121806)"
Parking Lot,427071,KENNEE PARKING CORP,,MULBERRY STREET,114 MULBERRY STREET,,10013,2126435702,42,"114 MULBERRY STREET
NEW YORK, NY 10013
(40.71761814059952, -73.99821858282765)"
Parking Garage,427085,FREMAN GARAGE CORP,MONTERAY GARAGE,WEST   89 STREET,137 WEST   89 STREET,,10024,2127244600,150,"137 89 STREET
NEW YORK, NY 10024
(40.7892028309555, -73.97264280937668)"
Parking Garage,427101,S T A PARKING CORP,,EAST   76 STREET,433 EAST   76 STREET,,10021,2127378850,90,"433 76 STREET
NEW YORK, NY 10021
(40.770089285700074, -73.95331333894616)"
Parking Garage,427125,ADVANCE PARKING LLC,,WEST   43 STREET,249 WEST   43 STREET,AKA 249-253 WEST 43 STREET,10036,2126869800,225,"249 43 STREET
NEW YORK, NY 10036
(40.75751971586328, -73.9884079245503)"
Parking Garage,427177,205 E 38TH ST PARKING LLC,,EAST   38 STREET,205 EAST   38 STREET,,10016,2126869800,125,"205 38 STREET
NEW YORK, NY 10016
(40.74804086167444, -73.97580842291978)"
Parking Garage,427235,K R W OPERATING CORP,,WEST  101 STREET,205 WEST  101 STREET,,10025,2128661000,300,"205 101 STREET
NEW YORK, NY 10025
(40.79748558684537, -73.96860485346508)"
Parking Garage,427236,K R W OPERATING CORP,,WEST  101 STREET,204 WEST  101 STREET,,10025,2128661000,300,"204 101 STREET
NNEW YORK, NY 10025
(40.79749458006569, -73.96862283990566)"
Parking Garage,427239,9495 PARKING CORP,,2 AVENUE,1832 2 AVENUE,,10128,2122993900,180,"1832 2 AVENUE
NEW YORK, NY 10128
(40.783348244544754, -73.94774957560566)"
Parking Garage,427264,LOUIS PROVENZANO INC,,LEONARD STREET,24 LEONARD STREET,30 BROADWAY,10013,2127766836,217,"24 LEONARD STREET
NEW YORK, NY 10013
(40.718507126232225, -74.00760844987582)"
Parking Lot,427285,69 WARREN STREET PARKING CORP,,WARREN STREET,67 WARREN STREET,69,10007,2122335688,50,"67 WARREN STREET
NEW YORK, NY 10007
(40.714871256768724, -74.00957483387845)"
Parking Garage,427301,EASTWAY TENANT CORP,,WEST   49 STREET,225-231 WEST   49 STREET,,10019,2128887400,175,"225 231 WEST 49 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)"
Parking Garage,427303,"HAMMER, GEOFFREY    ET AL",RIVERVIEW   OPERATING CO,WEST   87 STREET,267 WEST   87 STREET,,10024,2128887400,201,"267 87 STREET
NEW YORK, NY 10024
(40.78926578349757, -73.9766717720679)"
Parking Garage,427304,"HAMMER, GEOFFREY    ET AL",RIVERVIEW OPERATING CO,WEST   87 STREET,271 WEST   87 STREET,,10024,2128887400,96,"271 87 STREET
NEW YORK, NY 10024
(40.78926033842023, -73.97659128345597)"
Parking Garage,427311,S C R PARKING CORP,,EAST   87 STREET,169 EAST   87 STREET,,10128,2122493344,175,"169 87 STREET
NEW YORK, NY 10128
(40.77982290218989, -73.95429663997896)"
Parking Garage,427326,THE HERTZ CORP,,EAST   90 STREET,412 EAST   90 STREET,,10128,2129865912,150,"412 90 STREET
NY, NY 10128
(40.779263851003634, -73.94718654847203)"
Parking Garage,427357,"TRI STAR GARAGE SERVICE, CORP.",,JEROME AVENUE,3230 JEROME AVENUE,,10468,7183641837,100,"3230 JEROME AVENUE
BRONX, NY 10468
(40.87710509945222, -73.88756392860961)"
Parking Lot,427414,FRACLAC REALTY CORPORATION,,EAST   11 STREET,324 EAST   11 STREET,,10003,2126742097,8,"324 11 STREET
NEW YORK, NY 10003
(40.73009281708891, -73.98578880755221)"
Parking Garage,427429,STOP-PARK GARAGE CORP,CENTRAL PARKING SYSTEM,MORTON STREET,18 MORTON STREET,20,10014,2126296602,180,"18 MORTON STREET
NEW YORK, NY 10014
(40.73119375127452, -74.00392526845106)"
Parking Garage,427552,SLATE PARKING CORP,,EAST   21 STREET,329 EAST   21 STREET,333,10010,2126296602,180,"329 21 STREET
NEW YORK, NY 10010
(40.735944980380395, -73.980296039846)"
