PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,Middle School,Educational Center ,Brooklyn,Turning Point,718.439.0077,MiddleSchool,"5013 Seventh Avenue
Brooklyn, NEW YORK 11220
(40.64235365356344, -74.00596380753073)"
After-School Programs,Middle School,"Associated Beth Rivkah Schools, Inc",Brooklyn,"Associated Beth Rivkah Schools, Inc",718.735.0400,MiddleSchool,"310 Crown Street
Brooklyn, NEW YORK 11225
(40.66619479777208, -73.94965870180879)"
After-School Programs,Middle School,Prospect Heights High School - H.S. 440,Brooklyn,Research Foundation of CUNY,212.417.8425,MiddleSchool,"883 Classon Avenue
Brooklyn, NEW YORK 11225
(40.67045865769921, -73.96162827573441)"
After-School Programs,Middle School,Erasmus High School ,Brooklyn,Research Foundation of CUNY,212.417.8425,MiddleSchool,"911 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.649532936565414, -73.95845755993555)"
After-School Programs,Middle School,BCA Avenue U Community Service Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,MiddleSchool,"2072 15th Street
Brooklyn, NEW YORK 11229
(40.59945561594, -73.95655822502813)"
After-School Programs,Middle School,Chabad Lubavich of West Brighton,Brooklyn,Chabad Lubavich of West Brighton,718.946.9833,MiddleSchool,"2997 Ocean Parkway
Brooklyn, NEW YORK 11235
(40.578017541799504, -73.96781607175022)"
After-School Programs,Middle School,Intermediate School 68 - Isaac Bildersee School ,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,MiddleSchool,"956 82nd Street
Brooklyn, NEW YORK 11236
(40.63549167783704, -73.91076105116055)"
After-School Programs,Middle School,Community Counseling & Mediation,Brooklyn,Community Counseling & Mediation,718.802.0666,MiddleSchool,"810 Classon Avenue
Brooklyn, NEW YORK 11238
(40.67280911068369, -73.96085669029223)"
After-School Programs,Middle School,Be'er Hagolah Institutes,Brooklyn,Be'er Hagolah Institutes,718.642.6800,MiddleSchool,"671 Louisiana Avenue
Brooklyn, NEW YORK 11239
(40.645630097381996, -73.88362185638313)"
After-School Programs,Middle School,Chinese American Planning Council ,Queens,Chinese American Planning Council,212.941.0920,MiddleSchool,"136 26 37th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
After-School Programs,Middle School,Nan Shan LDC,Queens,Chinese American Planning Council,212.941.0920,MiddleSchool,"133 14 41st Road
Queens, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
After-School Programs,Middle School,Newton High School - H.S. 455,Queens,"Visiting Neighbors, Inc.",212.260.6200,MiddleSchool,"48 01 90th Street
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
After-School Programs,Middle School,Rego Park Center,Queens,"AIDS Center of Queens County, Inc.",718.896.2500,MiddleSchool,"97 45 Queens Boulevard
Queens, NEW YORK 11374
(40.72646491702238, -73.86148084756303)"
After-School Programs,Middle School,"Community Mediation Services, Inc.",Queens,"Community Mediation Services, Inc.",718.523.6868,MiddleSchool,"89 64 163rd Street
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
After-School Programs,Middle School,York College of the CUNY,,"Reach Into Cultural Heights, Inc.",718.523.4099,MiddleSchool,"94 20 Guy R Brewer Boulevard
NEW YORK 11433
(40.698104881734935, -73.7875740339145)"
After-School Programs,Middle School,York College of the CUNY,Queens,Research Foundation of CUNY,212.417.8425,MiddleSchool,"94 20 Guy R Brewer Boulevard
Queens, NEW YORK 11433
(40.698104881734935, -73.7875740339145)"
After-School Programs,Middle School,August Martin High School - H.S. 400,Queens,Research Foundation of CUNY,212.417.8425,MiddleSchool,"156 10 Baisley Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
After-School Programs,Middle School,Reap & Keep Educational Services ,Queens,"Reach Into Cultural Heights, Inc.",718.523.4099,MiddleSchool,"119 04
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
After-School Programs,Middle School,"Caribbean Women's Health Association, Inc.",Queens,"Caribbean Women's Health Association, Inc.",718.826.2942,MiddleSchool,"1931 Mott Avenue
Queens, NEW YORK 11691
(40.60389055126255, -73.75231801261296)"
After-School Programs,Middle School,Intermediate School 43,Queens,Federation Employment & Guidance Services (FEGS),212.366.8401,MiddleSchool,"160 Beach 29th Street
Queens, NEW YORK 11691
(40.594515128003, -73.76182654029463)"
After-School Programs,Middle School,"Jewish Services Coalition, Inc",Queens,"Jewish Services Coalition, Inc",718.327.6060,MiddleSchool,"1525 Central Avenue
Queens, NEW YORK 11691
(40.60566235698948, -73.75132461159502)"
