PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Childrens Arts & Science Workshops, Inc. -Bx",Bronx,"Childrens Arts & Science Workshops, Inc. -Bx",718-220-4444,14 to 21,"229 204th Street
Bronx, NEW YORK 10458
(40.87447472577226, -73.8850966664904)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Childrens Arts & Science Workshops, Inc. -Man",Manhattan,"Childrens Arts & Science Workshops, Inc. -Man",212-740-8170,14 to 21,"686 204th Street
Manhattan, NEW YORK 10034
(40.867820783175965, -73.92367507747998)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Chinatown Manpower Project, Inc.",Manhattan,"Chinatown Manpower Project, Inc.",212-571-1690,14 to 21,"70 Mulberry Street
Manhattan, NEW YORK 10013
(40.716141909295175, -73.99917280924103)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Brooklyn ,Brooklyn,Chinese American Planning Council - Brooklyn ,718-492-0409 ,14 to 21,"41 08 8th Avenue
Brooklyn, NEW YORK 11232
(40.65451161701759, -74.00003392912248)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Manhattan ,Manhattan,Chinese American Planning Council - Manhattan ,212-334-0083 ,14 to 21,"165 Eldridge Street
Manhattan, NEW YORK 10013
(40.721242188776046, -74.00888900022716)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Queens ,Queens,Chinese American Planning Council - Queens ,718-358-8899  ,14 to 21,"136 18 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,CAB Community Center,Bronx,"Citizens Advice Bureau, Inc. ",718-508-3193,14 to 21,"1130 Grand
Bronx, NEW YORK 10456
(40.8316941436386, -73.9160410469591)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Same as Agency Name,Brooklyn,Colony South Brooklyn Houses,718-643-2930,14 to 21,"297 Dean Street
Brooklyn, NEW YORK 11217
(40.68429415302254, -73.982115834364)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,CIS 117,Bronx,Community Association of Progressive Dominicans - Bronx,718-716-4021,14 to 21,"1865 Morris Avenue
Bronx, NEW YORK 10453
(40.84854841840716, -73.90843506819625)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Community Association of Progressive Dominicans - Manhattan,Manhattan,Community Association of Progressive Dominicans - Manhattan,212-781-4955,14 to 21,"2268 Amsterdam Avenue
Manhattan, NEW YORK 10032
(40.842949903796885, -73.93472104924099)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Community Counseling & Mediation,Brooklyn,Community Counseling & Mediation,718-875-7751,14 to 21,"1 Hoyt Street
Brooklyn, NEW YORK 11201
(40.69051850818798, -73.98506850506851)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Council of Jewish Organizations of Flatbush, Inc.",Brooklyn,"Council of Jewish Organizations of Flatbush, Inc.",718-252-4446,14 to 21,"1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61969757437525, -73.96431415429318)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Cypress Hills Local Development Corporation,Brooklyn,Cypress Hills Local Development Corporation,718-235-1521 ,14 to 21,"999 Jamaica Avenue
Brooklyn, NEW YORK 11208
(40.6907285274162, -73.87016567362916)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,East Harlem Council For Community Improvement,Manhattan,East Harlem Council For Community Improvement,212-860-6820,14 to 21,"413 120th Street
Manhattan, NEW YORK 10035
(40.79846398023503, -73.93320299844886)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"East Harlem Employment Services, Inc. STRIVE",Manhattan,"East Harlem Employment Services, Inc. STRIVE",212-360-1100,14 to 21,"240 123rd Street
Manhattan, NEW YORK 10035
(40.801631007365245, -73.9350355660456)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,East NY Development Corporation,Brooklyn,East NY Development Corporation,718-566-2129,14 to 21,"2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.67565526230447, -73.89675297527339)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Sat. Community Partnership Center.,Manhattan,Ecumenical Community Development Organization,212-531-3211 ,14 to 21,"413 125th Street
Manhattan, NEW YORK 10027
(40.81170677883874, -73.95473138300176)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718-331-6800,14 to 21,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326705934, -73.98919274272059)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"El Barrio's Operation Fightback, Inc.",Manhattan,"El Barrio's Operation Fightback, Inc.",212-410-7900,14 to 21,"320 Pleasant Avenue
Manhattan, NEW YORK 10035
(40.79583982753172, -73.9326049926322)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Goodwill Industries of Greater New York,Queens,Goodwill Industries of Greater New York,718-278-9667 ,14 to 21,"4 21 27th Avenue
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Greater Ridgewood Youth Council, Inc.",Queens,"Greater Ridgewood Youth Council, Inc.",718-456-5437 ,14 to 21,"62 04 Myrtle Avenue
Queens, NEW YORK 11385
(40.70122489161548, -73.88334858436963)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Harlem Commonwealth Council Inc - Vulnerable Youth,Manhattan,Harlem Commonwealth Council Inc - Vulnerable Youth,212-749-0900 ,14 to 21,"361 125 St
Manhattan, NEW YORK 10027
(40.81093102814808, -73.95289416586658)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Hellenic American Neighborhood Action Committee (HANAC),Queens,Hellenic American Neighborhood Action Committee (HANAC),718-204-2325 ,14 to 21,"23 16 30th Ave
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Bnos Menachem School,Brooklyn,"Henry Street Settlement, Inc. - Brooklyn ",718-493-1100,14 to 21,"739 New York Avenue
Brooklyn, NEW YORK 11203
(40.65587140189457, -73.94717280335094)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Helen's House & Youth Center,Manhattan,"Henry Street Settlement, Inc. - Manhattan ",212-254-3100  ,14 to 21,"301 Henry Street
Manhattan, NEW YORK 10002
(40.71399949305981, -73.98339877304709)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Queens Workforce 1,Queens,"Henry Street Settlement, Inc. - Queens ",718-557-8861,14 to 21,"168 25 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Henry Street Settlement, Inc. - Vulnerable Youth",Manhattan,"Henry Street Settlement, Inc. - Vulnerable Youth",212-254-3100,14 to 21,"265 Henry Street
Manhattan, NEW YORK 10002
(40.713875617781355, -73.98434298897786)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Inwood Community Services, Inc.",Manhattan,"Inwood Community Services, Inc.",212-942-0043 ,14 to 21,"651 Academy Street
Manhattan, NEW YORK 10034
(40.866018005306515, -73.92477264483693)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Italian American Civil Rights League,Brooklyn,Italian American Civil Rights League,718-642-2180 ,14 to 21,"1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.64607779528712, -73.87995018190169)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718-784-7447 ,14 to 21,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,The Lucile Palmaro Clubhouse,Bronx,Kips Bay Boys & Girls Club,718-893-8600,14 to 21,"1930 Randall Avenue
Bronx, NEW YORK 10473
(40.81782677019028, -73.85668537336207)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718-882-4000 ,14 to 21,"3450 Dekalb Avenue
Bronx, NEW YORK 10467
(40.8811069447426, -73.88170846616941)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,National Society for Hebrew Day School,Brooklyn,National Society for Hebrew Day School,718-252-4446 ,14 to 21,"1545 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.6198266571999, -73.9641398661296)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Department of Education,Manhattan,New York City Department of Education,212-374-2498  ,14 to 21,"52 Chambers Street
Manhattan, NEW YORK 10007
(40.713695753375475, -74.00528819904025)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Bronx,Bronx,New York City Housing Authority - Bronx,212-306-3985,14 to 21,"350 Livingston Street
Bronx, NEW YORK 10007
(40.71363051943297, -74.00913138370635)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Brooklyn,Brooklyn,New York City Housing Authority - Brooklyn,212-306-3985,14 to 21,"350 Livingston Street
Brooklyn, NEW YORK 10007
(40.6876074709794, -73.9806224759338)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Manhattan,Manhattan,New York City Housing Authority - Manhattan,212-306-3985,14 to 21,"350 Livingston Street
Manhattan, NEW YORK 10007
(40.71363051943297, -74.00913138370635)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Youth Education Thru Sports,Manhattan,New York City Mission Society,212-368-8400,14 to 21,"646 Malcolm X Blvd
Manhattan, NEW YORK 10037
(40.818574610432336, -73.93746544310494)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Phipps Community Education Center,Bronx,Phipps Community Development,718-542-0109,14 to 21,"1030 178thStreet
Bronx, NEW YORK 10460
(40.84134504810141, -73.88030387915799)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PAL-Foster Laurie Center,Bronx,"Police Athletic League, Inc. - Bronx ",718-389-5306,14 to 21,"991 Longwood Ave
Bronx, NEW YORK 10459
(40.817260540416946, -73.89773839589843)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Brownsville Beacon PAL,Brooklyn,"Police Athletic League, Inc. - Brooklyn ",718-389-5309,14 to 21,"985 Rockaway Ave
Brooklyn, NEW YORK 11212
(40.656451255408264, -73.90732282830548)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Police Athletic League, Inc. - Manhattan ",Manhattan,"Police Athletic League, Inc. - Manhattan ",718-389-5309,14 to 21,"441 Manhattan Avenue
Manhattan, NEW YORK 10026
(40.80669464442542, -73.95561864336202)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PAL-Foster Laurie Center,Queens,"Police Athletic League, Inc. - Queens ",718-389-5309,14 to 21,"199 10 11th Ave
Queens, NEW YORK 11412
(40.69812711747255, -73.75923519834566)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Police Athletic League, Inc. - Vulnerable Youth",Manhattan,"Police Athletic League, Inc. - Vulnerable Youth",718-389-5309,14 to 21,"34 1 2 East 12th Street
Manhattan, NEW YORK 10003
(40.734434119371144, -73.99401070079284)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Queens Community House, Inc.",Queens,"Queens Community House, Inc.",718-592-5757 ,14 to 21,"108 25 62nd Drive
Queens, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - LaGuardia CC,Queens,Research Foundation of CUNY - LaGuardia CC,718-482-5340,14 to 21,"29 10 Thomson Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - Medgar Evers College,Brooklyn,Research Foundation of CUNY - Medgar Evers College,718-270-6152,14 to 21,"1150 Carroll Street
Brooklyn, NEW YORK 11225
(40.66723830925684, -73.95227144143587)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,All City Leadership School,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718-381-9653 ,14 to 21,"1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.69784030864716, -73.91383248246076)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718-327-5300 ,14 to 21,"1920 Mott Avenue
Queens, NEW YORK 11691
(40.6038795254241, -73.7521789315517)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,SCO Family of Services,Brooklyn,SCO Family of Services,718-788-3500 ,14 to 21,"345 43rd Street
Brooklyn, NEW YORK 11232
(40.6510383207887, -74.0095131568878)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PS 35/1232,Brooklyn,"Sesame Flyers International, Inc.",718-221-8880 ,14 to 21,"905 Winthrop Street
Brooklyn, NEW YORK 11203
(40.65845142217417, -73.92913135988232)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Simpson Street Development Association, Inc.",Bronx,"Simpson Street Development Association, Inc.",718-589-1510,14 to 21,"997 163rd Street
Bronx, NEW YORK 10459
(40.82101228286123, -73.89341802447647)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718-292-3113,14 to 21,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Southern Queens Park Association,Queens,Southern Queens Park Association,718-276-4630 ,14 to 21,"177 01 Baisley Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"St. Mary's Community Services, Inc.",Brooklyn,"St. Mary's Community Services, Inc.",718-230-0827 ,14 to 21,"230 Classon Avenue
Brooklyn, NEW YORK 11205
(40.692595753923804, -73.96084829313692)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,St. Nicholas Neighborhood Preservation Corporation,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,718-599-9224 ,14 to 21,"185 Brooklyn
NEW YORK 11211
(40.711589765255496, -73.95817675075642)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"United Activities Unlimited, Inc.",Staten Island,"United Activities Unlimited, Inc.",718-448-4834,14 to 21,"485 Clawson Street
Staten Island, NEW YORK 10306
(40.56794668099169, -74.11535362601178)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - ",Brooklyn,"Vannguard Urban Improvement Association, Inc. - ",718-453-3330 ,14 to 21,"613 619 Throop Avenue
Brooklyn, NEW YORK 11216
(40.680758670876, -73.94926775090596)"
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - Vulnerable Youth",Brooklyn,"Vannguard Urban Improvement Association, Inc. - Vulnerable Youth",718-453-3330,14 to 21,"613 619 Throop Avenue
Brooklyn, NEW YORK 11216
(40.680758670876, -73.94926775090596)"
